headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
スクープ投稿　各地から桜だより　フジも見ごろ（MBC南日本放送）,https://news.yahoo.co.jp/articles/221a797d48d02e5308322f04709f5186df378498,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070681-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-02T19:38:00+09:00,2024-04-02T19:38:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,369,\nMBC南日本放送\nＭＢＣのスクープ投稿に、鹿児島県内各地から花の便りが寄せられています。\n\nいちき串木野市の観音ケ池市民の森の２日の様子です。撮影したモフモフさんからは「展望デッキにはじめてきてみました！まさにサクラの雲海！キレイ過ぎる！」とのメッセージをいただきました。\n\nそして、こちらは鹿児島市伊敷４丁目の公園です。公園内に１本、道路向かいにも１本の桜があり、今が見ごろということです。\n\n続いては鹿児島市小山田町です。名越交差点横の公園では、高台に植えられた桜が今の時期ライトアップされているそうです。\n\n一方、こちらは桜ではなく、藤の花です。南さつま市金峰町の中尾由美子さんの自宅の庭で見ごろを迎えていて、甘い香りに誘われてたくさんのミツハチが飛んできているということです。\nMBC南日本放送 | 鹿児島,[],[]
新入社員に聞いた“目指す社会人像は？”「この人のモノ買いたいと思われる営業マン」「挑戦する人」「後輩から慕われる」（MBC南日本放送）,https://news.yahoo.co.jp/articles/401a66ff9f573bd74c405ace7ce5dcd2d73a4df1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070679-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-02T19:35:00+09:00,2024-04-02T19:35:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,712,\nMBC南日本放送\n新年度がスタートし、きのう１日が入社式だった企業も多かったのではないでしょうか。新入社員セミナーで、目指す「社会人の姿」について聞きました。\n\n鹿児島県商工会議所連合会が２日に開いた新入社員セミナーには、県内３６社から１０８人が参加しました。電話対応の仕方や社会人としての心構え、ＳＮＳの使い方などについて２日間かけて行われます。\n\n２日は「一緒に働く人に好かれる人、魅力ある人」になるために、「いつも笑顔」「元気になったり楽しくなるプラスの言葉」「相手のために考える」の３つのポイントが紹介されました。\n\n（飲食業／調理）「いつも笑顔でというのが、相手に対する思いやりだと思ったので、心がけようと思った」\n\n（ガス事業）「学生のままではいけないと、すごく思った。自分なりに考えて仕事をしていきたい」\n\n会場でどんな社会人になりたいか聞いてみると…。\n\n（土木工事業）「後輩から慕われるような社会人になっていきたい」\n\n（機械・部品販売業）「誰からでも好かれるような、この人のものなら買うと思われるような、そんな営業マンになっていきたい」\n\n（菓子製造業／パティシエ）「仕事を任せていただくことが、まず成長していく上で大事。任せていただけた時にできないかもと思うのではなく、良い機会なので挑戦していこうと思えるような人になりたい」\n\n（ガス事業）「（社会人になり）楽しいと思っています。いろんな人に頼られる存在になっていきたい。お客さんからも頼られるのがかっこいいなと思う」\n\nセミナーはあす３日までと、４日・５日も行われます。\nMBC南日本放送 | 鹿児島,[],[]
児童３人の頭を平手打ち「泣くんだったら出て行って」女性教諭（５７）を懲戒処分　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/847d319c23e819257cf03f80e6e6bf06784d38b0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070684-mbcnewsv-000-1-view.jpg?exp=10800,2024-04-02T21:05:00+09:00,2024-04-02T21:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,603,\n県教育委員会は５０代の女性教諭が、児童の頭や額を手のひらやペンでたたいたほか、「泣くんだったら出て行って」などと不適切な発言をしたとして、減給３か月の懲戒処分としました。\n\n２日付けで減給３か月の懲戒処分を受けたのは、鹿児島地区の小学校に勤務する５７歳の女性教諭です。\n\n県教委によりますと、女性教諭は２０２２年の１０月上旬から１１月上旬にかけて、教室で児童３人を指導する際、少なくともあわせて９回、児童の頭を手のひらでたたいたり、額をペンでたたいたりしたということです。\n児童３人にけがはありませんでした。\n\n女性教諭はさらに、２０２２年、同じ児童らを指導する際に、「泣くんだったら出て行って」「先生をイライラさせたいの」などと、不適切な発言も複数回したということです。\n\n保護者の申し出や、学校が行った女性教諭本人への聞き取りなどで明らかになったもので、女性教諭は「子どもたちが問題を解けず、行動も時間がかかることなどにイライラしてしまった」「子どもたちの心に傷をつけてしまったことを悔やんでいる。申し訳ない気持ちで一杯」と話しているということです。\n\n県教委の中島靖治教職員課長は「体罰や不適切な指導・言動は児童・生徒の人格を傷つける絶対に許されない行為。児童・生徒ひとりひとりに寄り添った適切な指導を行うよう徹底する」とコメントしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070684-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/847d319c23e819257cf03f80e6e6bf06784d38b0/images/000']
桜中継　伊佐市・忠元公園　７００本見ごろ　鹿児島で唯一「さくら名所１００選」（MBC南日本放送）,https://news.yahoo.co.jp/articles/e7564c89d900b75a9fd1521b61834d48a4b7f3dd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070677-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-02T19:40:00+09:00,2024-04-02T19:40:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,321,\nMBC南日本放送\nシリーズ桜中継、桜の見ごろを迎えている伊佐市大口の忠元公園からお伝えします。\n\n忠元公園は鹿児島県で唯一、日本の「さくら名所１００選」にも選ばれている公園です。公園内には７００本以上の桜の木が植えられており、およそ２キロにわたって満開の桜並木を眺めることができます。\n\nまた今月７日までは「桜まつりウィーク」と題してちょうちんを設置。午後６時から午後９時ごろまで、ライトアップされた桜の木々が幻想的な雰囲気を醸し出し、夜桜見物も楽しめます。\n\nこちらの忠元公園は、公園の駐車場が３００台ほど停められますが、週末などは混雑するので乗り合わせなどの協力してほしいということです。\nMBC南日本放送 | 鹿児島,[],[]
シェラトンホテルで北薩のブリ、赤土バレイショ、大将季　鹿児島の食を発信する期間限定フェア（MBC南日本放送）,https://news.yahoo.co.jp/articles/189e477bc004179fbdc40f5ed5a14fe93e1b9366,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070680-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-02T19:43:00+09:00,2024-04-02T19:43:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,800,\nMBC南日本放送\n鹿児島市のシェラトン鹿児島で、長島産のブリや阿久根産の柑橘など、北薩の食材を堪能できるフェアが２日から始まりました。\n\n日本有数の養殖ブリの産地・長島町の「鰤王」の握りや、阿久根市で作られた県オリジナルの柑橘・大将季を使ったサラダに、出水産のエンドウ豆が入ったグラタンも。\n\n２日からシェラトン鹿児島で始まったのは「出水・長島・阿久根フェア」です。４階のビュッフェレストランでは、北薩の食材を使った和洋中からデザートまでおよそ３０種類が並びます。\n\n県産の旬の食材を使ってかごしまの食を発信しようと、ホテルと各自治体が企画し、志布志、指宿に続いて今回が３回目です。\n\nシェラトン鹿児島の深水政信総料理長です。自ら現地に足を運び、生産者の想いや食材の良さを届けたいと意気込みます。\n\n（シェラトン鹿児島 深水政信総料理長）「食材の良さを壊すことなく提供することが、私の任務だと思っている。皮も捨てることなく召し上がっていただきたい」\n\n熊本出身の総料理長が特に気に入っているというのが、長島町の「赤土バレイショ」。皮が薄い特徴を生かし、皮ごと使った素揚げや天ぷら、粘りを楽しめるポタージュなど、さまざまな形で提供されています。\n\nポタージュをいただきました。\n（記者）「舌触りはとてもトロっとしています。バレイショはこんなに甘いんだ！と驚きです」\n\n２日にフェアに訪れた人は…\n\n（曽於市から）「握り、鰤王の。甘いというか、おいしかった」\n\n（鹿児島市から）「ブリのカツと、大将季のジュレがおいしくてお代わりした。ジャガイモのポタージュもおいしい。大満足」\n\n北薩の食を堪能できるフェアは、シェラトン鹿児島で来月３１日までで、４階のビュッフェレストランはランチが５０００円、ディナーは７０００円です。\nMBC南日本放送 | 鹿児島,[],[]
双子の赤ちゃん治療しながら搬送「走る集中治療室」３代目こうのとり号運用　鹿児島市立病院（MBC南日本放送）,https://news.yahoo.co.jp/articles/e9aa9cab36441fd52efeca67b20b559bc2bebfff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070674-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-02T19:25:00+09:00,2024-04-02T19:25:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,569,\nMBC南日本放送\n救急車に医師が乗り、患者を治療しながら搬送するドクターカー。鹿児島市立病院で、生まれたばかりの赤ちゃん専用のドクターカーが更新され、出発式がありました。\n\n２日から運用が始まったのは、新生児用のドクターカー「こうのとり号」です。病院で生まれてすぐに危険な状態になった赤ちゃんのもとに医師や看護師が駆けつけ、治療しながら搬送する車で、こうのとり号は県本土のほか宮崎や熊本もカバーしています。\n\n鹿児島市立病院では２００１年に初代のこうのとり号が導入され、２０１０年からきのう４月１日まで２代目が運用されていましたが、今回は６０００万円をかけて３代目に更新されました。\n\n（記者）「ドクターカーの中に備わった２台の保育器。双子の赤ちゃんの治療や搬送にも対応できるということです」\n\n今回は最新の人工呼吸器や、呼吸障害の治療に使う医療機器が配備されました。\n\n（鹿児島市立病院新生児内科 徳久琢也部長）「新生児に特化した機材は特殊で高価なものが多い。赤ちゃんたちの搬送が安全にできることで非常に力強い武器、ツールになっている」\n\nこうのとり号は昨年度、１３８件出動したということで、新生児用のドクターカーは県内では市立病院と、いまきいれ総合病院で運用されています。\nMBC南日本放送 | 鹿児島,[],[]
生徒が先生役でハンセン病問題の授業　ラップでも発信する高校生「自分が差別する側なんだと意識したのが原点」（MBC南日本放送）,https://news.yahoo.co.jp/articles/fb23481f07ae20d7d89b1048bd2b52b9a90adae6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070676-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-02T19:28:00+09:00,2024-04-02T19:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,2324,\nMBC南日本放送\n鹿児島県鹿屋市の高校で行われたハンセン病問題について考える授業。生徒に授業をするのは先生役となった生徒です。企画した高校生は、元患者に出会ったことが活動の原点となりました。\n若い世代にハンセン病問題についてもっと考えてほしいと訴える高校生の取り組みが広がっています。\n\n\n「ハンセン病とは、らい菌という菌が起こす感染力が極めて弱い皮膚の病気です」\n\n鹿屋高校でこの日行われていたのは、ある授業の打合せ。生徒が先生役となって生徒に教える授業です。\n\nテーマはハンセン病問題。ハンセン病は、らい菌の感染で皮膚や末梢神経が侵される病気です。感染力が弱く、戦後すぐ特効薬が導入されましたが、国は１９９６年に「らい予防法」を廃止するまで強制隔離政策を続け、偏見や差別が拡大しました。\n\n授業では元患者の半生を紹介し、感想を話し合ってもらいます。企画したのは、ボランティア活動を行うインターアクト部・新３年の浜田憲汰さん。（※浜は、まゆはま）「生徒が伝えるハンセン病の授業」は去年に続き２回目です。\n\n（先生役の生徒）「もし（元患者が）『かわいそう』と感想が出たら、何て返したらいいか」\n\n（浜田憲汰さん）「かわいそうと言われたら、差別に屈しないで国と闘って裁判に勝った面がある。すごい、かっこいい人たちと伝えたら良いと思う」\n\n（浜田憲汰さん）「（授業では）仲間を増やしたい。１人の１００歩より１００人の１歩というのが自分のテーマ」\n\n\n「自分たちのような若い世代に、もっとハンセン病問題について考えてほしい」とこんなイベントにも…。\n\n（ＭＣ）「さあ鹿屋から来てくれました。ケンちゃんどうぞ」\n\n（浜田憲汰さんのラップ）「小さい体では背負いきれない体験。帰り際にした握手。『神経がだめになっているから冷たい』と言っていたその手は心まで温かくした」\n\n去年８月に鹿児島市で開かれた「高校生新聞ＲＡＰ甲子園」。浜田さんは、ハンセン病の元患者との出会いを歌い上げました。\n\n\n（浜田憲汰さん）「これは初めてじゃないか。ＮＰＯの活動が敬愛園の中で行われていて、その会に上野正子さんも参加していた」\n\n上野正子さん（９６）です。沖縄出身で、１３歳のときに鹿屋市のハンセン病療養所「星塚敬愛園」に強制隔離されました。\n\n国の誤った政策は違憲と訴えた国家賠償請求訴訟では、原告の一人として２００１年に勝訴。療養所で暮らしながら、９０歳を超えたいまも自らの体験を語る活動を続けています。\n\n（上野正子さん）「危ない、コップに触わらないでくださいと事務員が言ったので、それが最初に受けた差別だった」\n\n浜田さんが上野さんに出会ったのは、小学５年のときでした。\n\n（浜田憲汰さん）「敬愛園に行くときにすごく緊張してしまって、なぜか。父に教えられていた、ハンセン病は怖くないと。なのに恐怖心を持っていた。自分が差別する側なんだと意識したのが原点」\n\n知らないことで助長される差別の問題。そのことに気づかされた上野さんとの出会いには、小学校教諭として人権教育に取り組んできた父親の洋一朗さん（４７）の存在がありました。\n\n（父親・洋一朗さん）「学ぶところまではしても、自ら活動するというのはまた違うレベル。よくこんなに続けているなと感心する」\n\n\n「生徒が伝えるハンセン病の授業」の当日、１、２年生の１１のクラスで一斉に始まりました。\n\n（動画）「保健所や警察だけでなく、一般の人々も患者探しをするようになりました」\n\n（浜田憲汰さん）「まず動画の感想を話し合ってください」\n\n生徒たちは、かつてハンセン病の患者を地域から排除した「無らい県運動」が行われていたことにショックを受けたようでした。\n\n（２年生）「ユダヤ人狩りとやっていることはほぼ同じなのに、学んでいない」\n\n（２年生）「知らないから怖がって、正しい判断ができなくなっている」\n\n先生役を務めた鹿屋市出身の久木田樹里さん（新３年）です。星塚敬愛園を訪れたことはこれまでありませんでしたが、今回の授業の準備のため、今年１月、初めて入りました。\n\n（久木田樹里さん）「昔の話みたいにまとめていた部分もあったが、園の中で生活している人たちもいて、実際に起こったことというのが、よりはっきりと分かった」\n\n「同じ世代にハンセン病問題について知ってほしい」勉強を重ねてきた久木田さんは、自分の言葉で語りかけていました。\n\n（久木田樹里さん）「この人はここの部分が私と違うから、特別に何しようとか無意識に思ってない？無意識に思うことを意識してみることも大事だと思う」\n\n（１年生）「きょうの学びを生かして興味がわいたので、（敬愛園に）行ってみようと思った。自分と立場が似ている人から教わるのは、受け入れやすい」\n\n\n授業を企画した浜田さんは、「自分たちの住む地域に目を向けてほしい」と呼びかけました。\n\n（浜田憲汰さん）「このまちはより良い未来を作るために、学習することができる宝庫だとも言える。人権問題やこのまちについても学んで下さい」\n\n\n（浜田憲汰さん）「やり切った達成感がある。一人じゃないみたいな感じがあってうれしい。少しでも関心を持ってくれたらうれしい」\n\n自分たちのふるさと鹿屋市の星塚敬愛園で、強制隔離という歴史があり、いまも暮らす人がいることを知ってほしい。浜田さんの思いは、後輩に引き継がれていきます。\nMBC南日本放送 | 鹿児島,[],[]
牛のげっぷなどに含まれる温室効果ガス削減へ　鹿児島で新たな取り組み　県内の総排出量の２割が畜産由来（MBC南日本放送）,https://news.yahoo.co.jp/articles/32a349c7abb4f2ed06e192ebd7a1b3aff2be3ae6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070678-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-02T19:32:00+09:00,2024-04-02T19:32:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,616,\nMBC南日本放送\n地球温暖化の原因とされる温室効果ガスの排出をゼロにする＝カーボンニュートラルの実現が求められる中、全国初の取り組みが鹿児島で始っています。キーワードは牛のげっぷです。\n\n県によりますと、２０２０年度に県内から排出された温室効果ガスの量は１１８０万８０００トンです。全体の２割は、家畜が出すげっぷや排せつ物によるメタンや一酸化二窒素で、その半分以上は牛から出るものです。\n\n連携協定は、「和牛日本一」を誇り、肉用牛３４万頭を飼育する鹿児島で地球温暖化の原因とされる温室効果ガスの排出を抑えようと、県や鹿児島大学、畜産関係の企業など１３の団体が結びました。\n\n大手食品メーカーの味の素が開発した飼料を牛のエサに加えることで発育を促進し、肥育期間をこれまでより短くすることが期待されていて、その結果、牛のげっぷや排泄物の回数が減るため、温室効果ガスを抑えることに繋がるとしています。\n\n試験的に導入している畜産農家は変化を感じていると言います。\n\n（森ファーム・森義之社長）「大きくなったかはまだわかりにくい段階だが、毛のツヤがすごく良くなっているという違いが出ている」\n\n（塩田知事）「鹿児島が課題に率先して取り組むことが畜産王国、和牛日本一の鹿児島県としての責任もあると思っている」\n\n県は、この取り組みを県内の畜産農家に広げていきたいとしています。\nMBC南日本放送 | 鹿児島,[],[]
きょう２日夜遅くから落雷・激しい突風・急な強い雨に注意　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/e71f67b17d999bf1d914152fe2e0aad658fb66e3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070683-mbcnewsv-000-1-view.jpg?exp=10800,2024-04-02T18:57:00+09:00,2024-04-02T18:57:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,245,\n鹿児島県内ではきょう２日夜遅くから４日にかけて、落雷、激しい突風、急な強い雨に注意が必要です。\n\n気象台によりますと、県内には暖かく湿った空気が流れ込み、大気の状態が非常に不安定になる見込みです。\n\nこのため、県内では２日夜遅くから４日にかけて局地的に積乱雲が発達し、落雷、竜巻などの激しい突風、急な強い雨が降るおそれがあります。\n\n気象台は、発達した積乱雲が近づく兆しがある場合は、建物の中に移動するなど安全を確保するよう呼びかけています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070683-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/e71f67b17d999bf1d914152fe2e0aad658fb66e3/images/000']
【速報】紅麹サプリメント　２０代女性が健康被害訴え「手足のむくみ、けん怠感」　鹿児島県内２人目（MBC南日本放送）,https://news.yahoo.co.jp/articles/5cd6d6c42598783960df3a9c1fdb451157a08f21,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070672-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-04-02T18:04:00+09:00,2024-04-02T18:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,472,\nMBC南日本放送\n小林製薬の紅麹成分を含むサプリメントを摂取した人に健康被害が出ている問題です。鹿児島県内に住む２０代の女性が手足のむくみなどを訴えていることが分かりました。県内での健康被害はこれで２人目です。\n\n健康被害を訴えているのは、県内に住む２０代の女性です。\n県によりますと、女性は去年１１月ごろから小林製薬の「紅麹コレステヘルプ」を摂取し始めて、今年２月に「手足のむくみやけん怠感を感じるようになった」と話しているということです。\n\n女性が今月１日、近くの保健所に相談し判明したもので、１日時点で手足のむくみはおさまったものの、けん怠感は続いているということです。医療機関は受診しておらず、現在、サプリメントの摂取を中止しているということです。\n\n県が把握している県内の健康被害は、鹿児島市の７０代女性に次いで２人目です。\n\n県は回収命令が出ている３つのサプリメントの摂取を中止するほか、体調不良を感じた場合は医療機関を受診するか、近くの保健所に相談するよう呼びかけています。\nMBC南日本放送 | 鹿児島,[],[]
フェリー屋久島２　海上しけのため３日は全便欠航　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/df59db00412f13ed70cd84e16fd8154f94296b2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070671-mbcnewsv-000-1-view.jpg?exp=10800,2024-04-02T16:25:00+09:00,2024-04-02T16:25:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,74,\n海の便に乱れが出ています。鹿児島と屋久島を結ぶフェリー屋久島２は、あす３日、海上しけのため全便欠航となりました。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240402-00070671-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/df59db00412f13ed70cd84e16fd8154f94296b2c/images/000']
