headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
SNSで知り合った女性から３０万円だまし取った男逮捕　鹿児島市　ネットニュース見て警察に相談（MBC南日本放送）,https://news.yahoo.co.jp/articles/c157a4133d781a9898eddf0987994e37521006fd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-01-18T20:48:00+09:00,2024-01-18T20:48:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,419,\nＳＮＳで知り合った女性から現金をだまし取ったとして３２歳の男が逮捕されました。\n\n詐欺の疑いで逮捕されたのは、鹿児島市慈眼寺町の無職の男（３２）です。\n種子島警察署によりますと、男は去年３月上旬から６月下旬までの間に、ＳＮＳで知り合った鹿児島市の４０代の女性から３回にわたって現金合わせておよそ３０万円をだまし取った疑いが持たれています。\n\n男は県内の別の女性から現金をだまし取った疑いで、去年１１月に逮捕されていて、警察の捜査の中で男が自供したことやインターネットのニュースで男の逮捕を知った被害者が警察に相談したことから事件が発覚しました。\n男は、携帯電話の電子マネーアプリや口座への振り込みにより現金を受け取ったとされています。\n警察の調べに対し、男は「被害者にうそをついてお金をだまし取ったことは間違いない」と容疑を認めているということです。\n警察は、余罪について調べています。\nMBC南日本放送 | 鹿児島,[],[]
能登半島地震被災地へ連日鹿児島から派遣　医師「フェーズは感染症」保健師「寄り添い支援」（MBC南日本放送）,https://news.yahoo.co.jp/articles/78c1e531c7989a712c6031ac753e6ecc300af8ac,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069461-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-18T19:34:00+09:00,2024-01-18T19:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,825,\nMBC南日本放送\n能登半島地震の被災地で医療的な支援を行う鹿児島市立病院の災害派遣医療チーム＝ＤＭＡＴが１８日に出発しました。\n\n（鹿児島市立病院 坪内博仁病院長）「ご自分の体を守りながら、現地の皆さんの支援をしていただきたい」\n\n災害医療派遣チーム＝ＤＭＡＴとして派遣されたのは、医師や看護師ら５人です。\n\n５人が活動する最大震度６強を観測した石川県穴水町の病院では、断水が続いているうえ、酸素などが入った医療用ガスも足りず、被災した医療従事者への支援も必要だということです。\n５人は現地のチームと情報を共有し、被災者の診察や患者の搬送などを行う予定です。\n\n（鹿児島市立病院ＤＭＡＴ 奥田龍一郎救急科医）「求められるニーズもけがとかそういったものから、どちらかというと感染症というか、避難所での呼吸器感染症といったフェーズが変わってきている段階ではあるので、現地に入ってニーズをしっかりと確認して対応できれば」\n\n鹿児島市立病院のＤＭＡＴの派遣期間は今月２２日までです。\n\n\n県は国からの要請を受け、石川県輪島市に保健師らあわせて３０人を交代で派遣することを決め、１８日、壮行式がありました。\n\n県内の保健師が能登半島地震の被災地へ派遣されるのは、初めてです。被災地で避難生活を送る人たちの健康管理や、感染症対策など衛生管理を行うということです。\n１８日は、派遣される職員に激励の言葉が贈られ、職員の代表があいさつしました。\n\n（県・高齢者生き生き推進課 大園佳子地域包括ケア対策監）「被災者の気持ちに寄り添い、少しでも力になれるよう精一杯頑張ってきたい。行ってまいります」\n\n（県・新型コロナウイルス感染症感染対策防止課 田代光生保健技師）「少しでも健康と生活を支えていけたらという思いでいきたい」\n\n職員らはあす１９日に出発し、派遣期間は来月２９日までです。\nMBC南日本放送 | 鹿児島,[],[]
龍郷町で住宅火災　家族３人逃げ出し無事　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/457c53e6c8ed993406d190852b1771f0cb27164b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-01-18T23:50:00+09:00,2024-01-18T23:50:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,254,\n奄美大島の龍郷町で１８日夜、火事があり、住宅など２棟が全焼しました。\n奄美警察署によりますと、１８日午後７時４５分ごろ、龍郷町赤尾木で住宅が燃えていると近くの駐在所から通報がありました。火はおよそ１時間後に消し止められましたが、この火事で無職、渡武弘さん（７５）の木造平屋の住宅と木造２階建ての倉庫の合わせて２棟およそ１５０平方メートルを全焼しました。\n渡りさんは、３人暮らしで出火当時全員家にいましたが逃げ出しけが人はいませんでした。警察で火事の原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
出水で春の味覚ノリの収穫はじまる　節分の恵方巻用として出荷（MBC南日本放送）,https://news.yahoo.co.jp/articles/5e17f3ff1fb0a55e7899306ab3fc3d3bc1554257,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069462-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-18T19:39:00+09:00,2024-01-18T19:39:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,258,\nMBC南日本放送\n鹿児島県出水市の海岸で、特産の養殖ノリの収穫が始まっています。\n\nノリの収穫は、波が穏やかで潮が引いたタイミングで行われます。\n出水市高尾野町の海岸では１８日朝、機械を使ってノリを摘み取りました。ノリは乾燥させた後、２月の節分で食べる恵方巻用などとして出荷されるということです。\n\n（ノリ養殖業 山口省吾さん）「暖かくて雨が少なかったので心配していたが、平年通り獲れた。（きょうで）１万枚製品にする」\n\n出水市のノリの収穫は３月上旬まで続きます。\nMBC南日本放送 | 鹿児島,[],[]
屋久島沖オスプレイ墜落、防衛大臣政務官「飛行再開は安全確保最優先」現場海域で水質調査も（MBC南日本放送）,https://news.yahoo.co.jp/articles/2c96fe3138572ca313a0cab493b93be480285c49,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069463-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-18T19:37:00+09:00,2024-01-18T19:37:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,968,\nMBC南日本放送\n去年１１月、屋久島沖でオスプレイが墜落した事故です。松本尚防衛大臣政務官は１８日、鹿児島県の塩田知事と面会し、事故の後、日米で運用を停止しているオスプレイについて、「再開は安全確保を最優先する」と強調しました。また、現場海域で水質などの調査を行う考えも伝えました。\n\n（松本尚防衛大臣政務官）「（運用再開は）飛行の安全確保が最優先。事故状況・安全対策をしっかり確認し、地元の不安・懸念の払しょくに努める」\n\nこの事故は去年１１月、屋久島沖でオスプレイが墜落し、乗員８人のうち７人が遺体で見つかったもので、アメリカ軍は今月１１日に残る１人の捜索などを打ち切ったと発表しました。\n\n松本防衛大臣政務官は１８日、県庁で塩田知事と面会し、事故の後、日米で運用を停止しているオスプレイについて、「再開する場合は地元の懸念を払しょくする」と強調しました。\n\n（塩田知事）「事故原因が究明され、再発防止策が講じられるまでは運用停止を継続するよう、米側に引き続き求めるようお願いしたい」\n\nまた、松本政務官は、今月下旬から３月まで現場海域の周辺で海水や海底の土砂を採取し、機体から漏れた物質などの影響を調査する考えも伝えました。\n\n（松本尚防衛大臣政務官）「屋久島漁協の要望を踏まえ、魚介類の調査を含めしっかりと行っていく」\n\n捜索のために現場海域で漁を自粛した地元の漁業者に、経済的な補償を行う考えも改めて示しました。\n\nＱ．水質調査は事故からかなり経っているが、このタイミングで適切か？\n（松本尚防衛大臣政務官）「（捜索など）すべて終了したので、しっかり調査する」\n\n（塩田知事）「政府が漁業者に話を聞いた上で対応してもらえるということなので、しっかりと対応してほしい」\n\n松本政務官は午後５時半ごろ、屋久島漁協を訪れ、水質調査や補償などについて直接説明しました。\n\n（屋久島漁協 羽生隆行組合長）「我々の中では（事故の）はじめと終わりに説明に来てくれているので、そこは問題ない。ただ、途中、情報があまり入ってこなかったことは不満がある」\n\nこのあと、松本政務官は屋久島町役場を訪れ、荒木町長と面会し、今後の水質調査などについて説明しました。\nMBC南日本放送 | 鹿児島,[],[]
精神科医が見た能登半島地震「余震のたび眠れず」「支援者も疲弊」ショック・恐怖で持病悪化懸念も（MBC南日本放送）,https://news.yahoo.co.jp/articles/2df675199e0820a36dc78435c11f994bf4190b72,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069459-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-01-18T19:30:00+09:00,2024-01-18T19:32:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1268,\nMBC南日本放送\n能登半島地震では、被災した人たちの心のケアにあたるため、鹿児島の精神科医らが現地に派遣されています。今、被災地で求められているケア、そして見えてきた課題は？派遣された精神科医に聞きました。\n\n（県立姶良病院 堀切靖副院長）\n「表面的には元気で頑張っている方が多かった。逆にこちらが元気をもらう場面もあった」\n\n県立姶良病院の精神科医・堀切靖副院長です。\n堀切副院長は、院内の精神科医など４人でつくる災害派遣精神医療チーム「ＤＰＡＴ」のリーダーで、国の要請を受けて、今月１１日から５日間、石川県の珠洲市と輪島市で活動しました。\n\nＤＰＡＴは、大規模災害などで被災した人たちへの心のケアにあたる専門チームで、東日本大震災をきっかけに全国で整備が進みました。\n鹿児島では熊本地震のあと、県立姶良病院をはじめ、７つの病院にチームがつくられています。\n\n（県立姶良病院 堀切靖副院長）\n「（がれきで）上から押しつぶされている車もあった。実際に被災地の現場を目にすると、写真やテレビ画面を通して見るよりも深刻な状況だと肌感覚で分かった」\n\n被災者が抱える不安の１つが、今も続く余震です。\n体に感じる震度１以上の地震は今月１日以降、１４００回を超えています。\n\n（県立姶良病院 堀切靖副院長）\n「余震のたびに思い出し、不安になって眠れない人もいた。被災者の話をじっくり聞くのが基本」\n\n先の見えない避難生活。不安で眠れない人もいれば、症状が進んでうつ状態になっている人もいました。\n現地に行って見えた支援の限界もあったといいます。\n\n（県立姶良病院 堀切靖副院長）\n「アクセスが非常に悪く、普段１、２時間で行けるところを半日かけて行かないといけない。困っている人がいないか、探して回る活動はできていない」「内に秘めて黙って１人で我慢している人の支援に行けていない」\n\n心のケアは、避難所を運営する自治体職員など、支援する側にも必要だと考えています。\n\n（県立姶良病院 堀切靖副院長）\n「支援している人たちも被災、家が燃え市役所に寝泊まりしている人も。これからの課題は、支援している人たちのメンタルケア」\n\n２０１６年の熊本地震では、熊本県内で直接死が５０人、この４倍以上にあたる２１８人が災害関連死と認定されました。\n\n熊本県の調査では、関連死で亡くなったおよそ４割が「地震のショックと余震への恐怖」３割が「避難所生活などでの肉体的・精神的負担」が原因で持病の悪化や自殺などに至ったと分析していて、心のケアの重要性が浮き彫りとなりました。\n\n鹿児島でもいつ大災害が起こるか分からない中、ひとたび災害が起こると道路やライフラインの復旧が優先されがちですが、堀切副院長は、災害時の心のケアについても備えを進めてほしいと話します。\n\n（県立姶良病院 堀切靖副院長）\n「助けを受け入れる体制を平時から作っておかないといけない」\nMBC南日本放送 | 鹿児島,[],[]
１月１８日は１１８番の日　有効通報は約２％　ほとんど間違い・いたずら　十管「適正利用を心掛けてほしい」（MBC南日本放送）,https://news.yahoo.co.jp/articles/055733a27ea14a97adc23523a78952bcdf9eaab6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069456-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-18T19:21:00+09:00,2024-01-18T19:21:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,462,\nMBC南日本放送\n１１８番は、海で事件・事故が発生した際の緊急通報用の電話番号として、海上保安庁が運用しています。\n\n第十管区海上保安本部によりますと、去年、管内で受けた１１８番通報は１万４９０９件でした。そのうち有効な通報は３０４件で、全体のおよそ２％にとどまっています。残るおよそ９８％は間違いやいたずら、無言電話だったということです。\n\n１１８番通報を受けて十管が迅速に対応できた事案に、去年５月に下甑島沖の海上で発生した船舶火災があります。\n\n乗客と船長あわせて１４人が乗った瀬渡し船「未来丸」から出火。乗客の１人から「船で火災が発生し１４人が乗っている」と１１８番通報がありました。\n\n通報を受け、十管は巡視船艇やヘリコプターを出動させ、付近にいた船に救助を要請。１４人は漁船に無事救助されてけがはなく、船はその後沈没しました。\n\n十管本部は「いたずら電話などによって対応が遅れる可能性もあるため、１１８番の適正な利用を心掛けてほしい」と呼び掛けています。\nMBC南日本放送 | 鹿児島,[],[]
島民の避難完了まで５日　武力攻撃想定した図上訓練を鹿児島県庁などで実施（MBC南日本放送）,https://news.yahoo.co.jp/articles/5965ed497ba49df5c328b8484bba63e0934c7b71,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069458-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-18T19:25:00+09:00,2024-01-18T19:25:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,457,\nMBC南日本放送\n外国からの武力攻撃を想定し、鹿児島県や屋久島町は１８日、国の機関と連携して離島から住民を避難させる図上訓練を行いました。\n\n図上訓練には、県と屋久島町、熊本県などおよそ２０機関１８０人が参加しました。\n\n県は国民保護法に基づき、２００６年から毎年訓練をしていて、１８日は日本政府が「屋久島と口永良部島が武力攻撃される可能性があると判断した」との想定で行われました。\n\n県は、島民を船などで県本土や熊本県に避難させるのに５日かかるとみていて、担当者らは情報共有の手順などを確認していました。\n\n（塩田知事）「一番大きいのは（離島からの）移動をどうするか。船舶、航空の確保、避難して県本土などに来た後の避難先の確保などへの対応が必要になってくるのが課題」\n\n屋久島町では、１８日の図上訓練に続き、今月２１日にヘリや船を使った訓練がありますが、オスプレイ墜落で訓練の準備が整わず、予定されていた町民およそ３００人の参加は取りやめになっています。\nMBC南日本放送 | 鹿児島,[],[]
１万５０００人中３８人の精鋭「特殊救難隊」と十管本部が合同訓練　能登地震やオスプレイ墜落にも参加（MBC南日本放送）,https://news.yahoo.co.jp/articles/9b660522e8e13c0080754a8fb271cacd4b1e550e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069457-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-18T19:23:00+09:00,2024-01-18T19:23:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,572,\nMBC南日本放送\n海の事故の緊急通報番号１１８番にちなみ、きょう１月１８日は１１８番の日です。海の事故だけでなく、今回の能登半島地震でも人命救助にあたった海上保安庁の特殊救難隊らが参加した訓練が、鹿児島市でありました。\n\n海上保安庁の特殊救難隊は、高度な訓練を受けた海上保安官で、全国に１万５０００人いる中の３８人の精鋭です。\n\n普段は東京の羽田特殊救難基地に所属していますが、１８日はそのうち７人と十管本部の機動救難士３人が連携を確認するため合同で訓練しました。\n豪雨災害で家に人が取り残された想定で、高さおよそ３０メートルのヘリコプターからロープを使って救助する手順を確認しました。\n\n特殊救難隊は県内では去年、屋久島でのオスプレイ事故の捜索のほか、フェリーとしま２の火災の際には消火活動などを行いました。\n\n（羽田特殊救難基地・第五特殊救難隊 梅野貴大隊長）「海難現場で狭い船に降りる訓練をやっているが、陸上の特性もあるので、訓練の機会は必要と感じている」\n\n（十管本部・鹿児島航空基地 森慧機動救難士）「刺激を受けたし勉強になった。経験を積んで、よりよい人命救助を目指して頑張っていきたい」\n\n十管本部の機動救難士は、今年度これまでに６０回出動し、２６人を救助しています。\nMBC南日本放送 | 鹿児島,[],[]
１０代女性の体を触った疑い　介護士の男(７３)逮捕　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/d387c42da8b40e999a1d41332225894d6c81d5fe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069464-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-18T18:56:00+09:00,2024-01-18T18:56:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,281,\n１０代女性の体を触るなどした疑いで７３歳の介護士の男が逮捕されました。\n\n準強制わいせつの疑いで１８日に逮捕されたのは、鹿児島市中町の介護士・春山源寿容疑者（７３）です。\n\n県警によりますと、春山容疑者は去年１月下旬、県内に住む１０代女性の体を触るなどわいせつな行為をした疑いが持たれています。\n春山容疑者と女性に面識はなく、女性の関係者から被害届が出され、警察が捜査していました。\n\n警察の調べに対し、「逮捕事実は事実ではない」と容疑を否認しているということです。警察が詳しい状況や余罪についても調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069464-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/d387c42da8b40e999a1d41332225894d6c81d5fe/images/000']
屋久島うみがめ館理事が元理事を提訴「預金約５２５万円を不正支出」と主張　被告「徹底的に争う」（MBC南日本放送）,https://news.yahoo.co.jp/articles/43f466d32d095f990d962c347bc70d46b67284de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069465-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-18T19:18:00+09:00,2024-01-18T19:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,391,\nＮＰＯ法人屋久島うみがめ館の預金およそ５２５万円を不正に支出したとして、現在の理事らが前の理事らに対し損害賠償を求める裁判が鹿児島地方裁判所で始まりました。\n\n訴えを起こしたのは、ＮＰＯ法人屋久島うみがめ館の理事５人です。\n屋久島は国内最大のウミガメの産卵地で、屋久島うみがめ館は島に上陸するウミガメの調査・保護などを続けています。\n\n原告側は訴えで、「元理事の５人は２０２１年からおよそ１年間、うみがめ館の預金口座から業務委託費などの名目でおよそ５２５万円を不正に引き出した」などとし、５２５万円の返還を求めています。\n\n１８日の裁判で被告側の、前の理事５人は「支出は正当なもので的確な説明を行っている」として請求棄却を求めました。\n\n取材に対し、元理事の一人は「会計は正式に行われたもので徹底的に争う」とコメントしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240118-00069465-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/43f466d32d095f990d962c347bc70d46b67284de/images/000']
