headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
オスプレイ墜落　乗員３人を引き揚げ　収容は計６人に　残る２人は行方不明（MBC南日本放送）,https://news.yahoo.co.jp/articles/3c6552b5e1955052327c6f5e1044e397bbe0db2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068850-mbcnewsv-000-2-view.jpg?exp=10800,2023-12-06T20:49:00+09:00,2023-12-06T20:50:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,164,\n屋久島沖でアメリカ軍のオスプレイが墜落した事故に関して、アメリカ空軍はきょう６日、海中で見つかった５人の遺体のうち未収容だった３人を引き揚げたと発表しました。\n\nこれにより乗員８人のうち、６人が収容されたことになります。残り２人は行方不明のままで、アメリカ海軍は発見を目指すとしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068850-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/3c6552b5e1955052327c6f5e1044e397bbe0db2c/images/000']
オスプレイ墜落１週間　二転三転する情報…あの日何が？　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/21a229def696f47b3eea8eed553d61fbaf5a9781,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068848-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T20:34:00+09:00,2023-12-06T20:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1813,\nMBC南日本放送\n死者８人、過去最悪の被害となったオスプレイの墜落事故。かつてない事態に直面したこの１週間の動きをまとめました。\n\nＱ．何があった？\n（目撃者）「オスプレイが低空で旋回していた。（空港方向へ）降りてくる途中で１８０度ひっくり返った」\n\n先月２９日、午後３時前。屋久島沖に墜落したオスプレイ。島の多くの人々がその“瞬間”を間近で目撃していました。\n\n（目撃者）「急に回転し始めて、オレンジ色の炎が出て、１０秒しないうちに海面上に落ちて、こっぱみじんで（機体の破片が）散乱していた」\n\n墜落したオスプレイは、アメリカ軍横田基地の所属で、乗組員は８人。山口の岩国基地から沖縄の嘉手納基地に向かう途中でした。\n\n目撃証言などをまとめると、当時、機体は安房港方向から空港方向へ飛行。左のエンジンから火が出て、進行方向右に１８０度回転し、上下逆にひっくり返り、屋久島空港の南東沖で墜落したとみられています。\n\nそこから南に２キロ余りキロの海上で、機体の残がいとともに１人が発見されました。\n\n（救助した漁業者）「とにかく海からあげてあげないとと思って。このままだと流されてわからなくなる」\n\n\n【鹿児島市・十管本部】\n\nＱ．１名は乗っていた人？\n（総務課長）「そこは分からない」\n\nＱ．どういう人？\n（総務課長）「分からない」\n\nＱ．生死も？\n（総務課長）「分からない」\n\n救助されたのは男性で、その後、死亡が確認された。\n\n\n【屋久島空港に日米の対策本部を設置】\n\nＱ．どのような態勢で捜索？\n（屋久島町・荒木耕治町長）「いや、まだ協議中」なんでこういうことになったのか。事故のことも（詳細が）分からない」\n\nこの日から、日米による捜索が夜通し行われました。\n\nしかし、日本側の情報は二転三転。当初、８人と発表していた乗組員の数は６人に訂正され、その後、再び８人に訂正されました。また、「墜落」の表現も一時は「不時着水」となるものの、再び「墜落」に。アメリカ側の説明で振り回される形となりました。\n\nＱ．米軍、防衛省から適切な情報提供はある？足りてないことは？\n（十管総務課長）「そこについてはお答えする立場にない」\n\n\n【事故翌日の屋久島・安房港】\n（記者）「海上での捜索を終えた漁船が、回収した漂流物を運び込んでいます。当時の事故の激しさを物語っています」\n\n地元の漁船も捜索に協力し、機体の残がいを回収しました。さらに、米軍の救助チームも加わり、連日、ゴムボートで海へ。\n\n（救助チーム・曹長）「とても悲しい。行方不明の乗組員を見つけるため、あらゆる努力をしている」\n\nしかし、捜索範囲が広い上に、しけも重なり、進展が見られない日が続きます。\n\n（救助チーム・曹長）「きょうの捜索では特段何も見つからなかったが、海底の様子を把握できた。違う場所も同じようにチェックしていく」\n\n一方、引き揚げられた機体の一部や装備品などは日米地位協定に基づいて全て米軍に引き渡されました。\nこれにより、日本側での事故原因の究明は難しくなり、事故が起きても捜査が制限されるという日米地位協定の壁が改めて浮かび上がりました。\n\n漁業者も捜索に協力する中、アメリカ軍が漁協に面会を申し出ましたが、「用意する」と言われていた通訳の姿がなく…。アメリカ軍の対応に不満の声も上がりました。\n\n捜索が続く屋久島の海。今、高級魚・シマアジ漁の最盛期です。\n\n（漁業者）「ものものしい雰囲気なので、海に出るのも気が重い」\n\nさらに奄美空港にも「救難活動のため」として、オスプレイが飛来。飛行停止の対象にはなっていない海兵隊の機体とはいえ、島民からは不安の声も。\n\n（地元住民）「以前から（オスプレイの）安全性は気になっていたが、ちゃんと飛んでくれればいいが」\n\n\n事態が動いたのは墜落から５日が経った今月４日。海中で機体の主要部分の一部と、その周辺に５人の遺体が確認されました。そして、アメリカ国防総省は、乗員８人全員の死亡を認定したと発表しました。\n\n過去最悪の被害となったオスプレイ事故。防衛力強化のための日米連携が進む中で、改めて多くの課題をつきつけています。\nMBC南日本放送 | 鹿児島,[],[]
太陽ヘルスセンターが来年３月でいったん閉店へ　燃料高騰などで打撃　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/5fb5297f7553812d999c3ccc04e6a0bbb3e8f37b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068847-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T19:14:00+09:00,2023-12-06T19:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,527,\nMBC南日本放送\n鹿児島市の温泉施設「太陽ヘルスセンター」が、燃料価格高騰などの影響で来年３月でいったん閉店することが分かりました。\n\n鹿児島市武にある「太陽ヘルスセンター」には、来年３月での閉店を知らせる紙が、６日に貼られました。\n\n１９９０年に開業した太陽ヘルスセンターは、大浴場やサウナ、家族湯を備えていて、５月の端午の節句にはしょうぶ湯が、１２月の冬至にはゆず湯が提供されるなどして、幅広い層に親しまれてきました。\n\nしかし、燃料価格の高騰により、今年２月からは一時、蒸気サウナの利用停止を余儀なくされるなど赤字幅が拡大したことを加え、施設の老朽化などもあり、来年３月末をめどに、いったん閉店することを決めたということです。\n\n（利用者）\n「残念ですね。継続してもらえれば助かる」\n「また新しく探さないといけない。大変だあ。困りますね」\n\n店はいったん閉じますが、そのあとの利活用については未定だとしています。\n\n運営する種子島商事の平山義夫社長は、「鹿児島の温泉文化を残したい気持ちがあるため、運営をやめるのか、リニューアルするかなどは、これから検討していきたい」としています。\nMBC南日本放送 | 鹿児島,[],[]
トカラ列島近海で地震　鹿児島十島村で最大震度１　津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/8556ab19ae87ff9b6283163cbd39ad614d5b04ca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00269171-mbcnewsv-000-3-view.jpg?exp=10800,2023-12-06T19:19:00+09:00,2023-12-06T19:21:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,144,\n６日午後７時１６分ごろ最大震度１の地震がありました。震源はトカラ列島近海で震源の深さは約１０キロメートル。地震の規模を示すマグニチュードは１．８と推定されています。\n\n震度１を十島村の中之島で観測しました。\nこの地震による津波の心配はありません。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00269171-mbcnewsv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/8556ab19ae87ff9b6283163cbd39ad614d5b04ca/images/000']
オスプレイ墜落１週間　８人全員の死亡確認　残がい回収など続く　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/883423be297bdbffb505b40ef157576d7428eb46,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068849-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T19:16:00+09:00,2023-12-06T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,497,\nMBC南日本放送\n屋久島沖にアメリカ軍のオスプレイが墜落して６日で１週間です。アメリカ国防総省は、乗組員８人の死亡を認定したと発表しました。\n\n先月２９日に起きた墜落事故で、アメリカ国防総省は乗員全員が死亡したと発表し、８人の名前を公表しました。\n８人はいずれもアメリカ空軍所属で、２０代から３０代。パイロットの将校や飛行外科医、飛行技師などです。\n\n６日朝は、屋久島の安房港にアメリカ軍関係者が集まり、チャーターした地元漁船とゴムボート３隻に、ボンベやブイなどを載せ、現場海域へ向かいました。そして、海中から何かを引き上げる様子も見られました。\n\n乗組員８人のうち１人は墜落当日に死亡確認され、海中で５人の遺体が見つかっています。６日は、５人のうち未収容だった３人を引き揚げる作業が進められたと見られます。\n\n（米軍を乗せた漁船 川東竜馬船長）「ボートがブイの近くをぐるぐる回っていた。上がってきたらまた交代で（捜索していた。）早く家族のもとに返してあげたい」\n\nアメリカ軍は捜索から切り替え、遺体の収容と残骸の回収を進めています。\nMBC南日本放送 | 鹿児島,[],[]
北ふ頭スタジアム「天文館活性化の起爆剤に」天文館４団体が早期実現を鹿児島市長に要望（MBC南日本放送）,https://news.yahoo.co.jp/articles/359dbc4ce0fee6fdf270afa66b9755485d992928,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068845-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T19:10:00+09:00,2023-12-06T19:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,372,\nMBC南日本放送\n天文館のまちづくりに関わる団体が、鹿児島市の下鶴市長に本港区北ふ頭でのサッカースタジアム整備の早期実現を要望しました。\n\n要望をしたのは、天文館のまちづくりに関わる４つの団体の代表者です。北ふ頭での整備は、天文館エリアのにぎわいを取り戻す起爆剤になるとして、早期実現を求めています。\n\n（天文館商店街振興組合連合会 平岡正信代表理事）「天文館にとっては人が集まる施設はプラスに必ずなる」\n\n（鹿児島市・下鶴市長）「（４団体から）大きく期待をいただいていると感じている。より多くの人にスタジアムの必要性やもたらす効果などについて共感を広げていきたい」\n\n市は、県の検討委員会が来月中に取りまとめる本港区利活用のゾーニング案にスタジアムが盛り込まれるよう議論していく方針です。\nMBC南日本放送 | 鹿児島,[],[]
女子高生×特攻隊の映画「あの花が咲く丘で、君とまた出会えたら。」原作・汐見夏衛さん「戦争に思いをはせるきっかけに」（MBC南日本放送）,https://news.yahoo.co.jp/articles/e8c29cefa53cf403b729f5d87eb4dddb1dc919eb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068843-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T19:06:00+09:00,2023-12-06T19:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1694,\nMBC南日本放送\n映画「あの花が咲く丘で、君とまた出会えたら。」があさって８日に全国公開されます。\n戦時中にタイムスリップした現代の女子高生と、特攻隊員との出会いを描いた映画で、ＳＮＳを中心に「とにかく泣ける」と話題になったシリーズ累計発行８５万部を超える人気小説が原作です。\n原作者で、鹿児島市出身の作家汐見夏衛さんに思いを聞きました。\n\n主人公は現代の女子高生・百合。\n母とケンカして逃げ込んだ近所の防空壕跡で朝、目覚めると、戦時中の日本でした。\n混乱の中、自分を救ってくれた青年・彰に、次第に惹かれていく百合。しかし彼は、死を前提に出撃する「特攻隊員」でした。\n\n（汐見夏衛さん）\n「作家としてもデビューしていなくて趣味として書いていたので、まさかこんなことになるとはっていう感じ。あの頃の自分が知ったら、きっとびっくりする」\n\n鹿児島市出身の作家、汐見夏衛さん（３７）\n６年前まで、愛知県の高校で国語の教員をしていました。教職のかたわら執筆したというこの作品。「特攻」をテーマにしたきかっけは、中学生のころに訪れた知覧特攻平和会館でした。\n\n（汐見夏衛さん）\n「遺書や遺品を見ることで、本や映像で見るより悲しくて苦しくて、本当にずっと忘れられない経験。（小説として）形にするときにその経験が大きかった」\n\nしかし、教職時代に感じたのは、戦争の歴史を若い世代に伝えることの難しさでした。\n\n（汐見夏衛さん）\n「若い世代にとって遠い、歴史の教科書の中だけの話になっていて、遠い気持ちで見ているなというのを感じた」\n「興味を持ってもらえるよう授業をしていたが、授業で扱うのは限界がある。違う手段で小説にしてみたら関心を持ってもらいやすいかなと」\n\n若い世代に興味を持ってもらえる物語とは。たどりついたのは、現代の少女と特攻隊員の、時代を超えた異色のファンタジーラブストーリーでした。\n\n（汐見夏衛さん）\n「戦時中の女の子が主人公だと遠い感じがしてしまうので、現代の自分たちと同じような歳で、自分たちと同じ考え方の子を主人公にすることで、より自分の身に寄せて切実に考えてくれるんじゃないかと」\n「普段は関心を持たないような層の読者にも読んでもらいたいという狙い」\n\n作品はＳＮＳなどでも話題になり、今年１０月、姶良市の重富中学校の２年生が、文化祭で劇として上演しました。\n\n（汐見夏衛さん）\n「最高のものを作ろうと思ってくれたのがとても伝わって来た。想像もしなかった形でやってもらえて光栄」\n\nそして、おととい４日。文化祭での劇の上演が縁となり、重富中の２年生を対象にした、映画の先行上映が実現。\n\n主演の福原遥さんと、水上恒司さんからのサプライズメッセージも上映され、生徒たちから歓声があがりました。そして、汐見さんや、映画プロデューサーの西麻美さんが特別授業を行いました。\n\n（劇で彰役を演じた 有薗暖さん）\n「戦争の恐ろしさを理解することが出来た。彰役が出来たことは誇り」\n\n（劇で百合役を演じた 乾由梨さん）「身近な人の大切さや毎日過ごせる大切さを感じながら生きていきたい」\n\n（汐見夏衛さん）\n「戦争の記憶を風化させないことと、今自分が暮らしている日常で当たり前のように持っているものがどれだけ貴重なもので守らなければいけないものかを伝えたい」\n\nウクライナ侵攻やイスラエル・パレスチナ情勢など、世界的に緊張感が高まる中、作品が平和について考えるきっかけになればと語ります。\n\n（汐見夏衛さん）\n「海外のニュースを見たときに、今までだったら流していたかもしれないものを、ウクライナの人たちはどんな気持ちなんだろうと、読んでいない見ていないよりはもう少し深く考えることが出来るなら、そういう連鎖が世界を変えていくことになるので、そのきっかけのひとつになれたら」\n\n映画「あの花が咲く丘で、君とまた出会えたら」は、８日から全国で公開されます。\nMBC南日本放送 | 鹿児島,[],[]
高校生３１人乗ったバス横転事故　国交省が運行会社を再び立ち入り監査　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/fbcdddad27760999631f83dbd90cf9fcb7af49eb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068844-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T19:08:00+09:00,2023-12-06T19:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,581,\nMBC南日本放送\n鹿児島市で今年８月高校生ら３１人が乗った大型バスが横転した事故で、国土交通省はきょう６日、バス運行会社に立ち入り監査し、業務の改善を指示しました。\n\nこの事故は、鹿児島市春山町の県道で国分高校サッカー部の生徒３０人が乗った大型バスが横転したもので、生徒１０人が搬送され、うち３人が腰の骨やろっ骨を折る大けがをしました。\n\n国交省・九州運輸局は６日、バスを運行した鹿児島市の九州みやび観光に８月以来２回目の立ち入り監査を行い、当時の日報などの資料を調べました。\n\n(国土交通省・九州運輸局 藤本晃英運輸企画専門官）\n「運行管理関連に一部不備があったので、事業者に対して是正するよう指示した」\n\n今回の監査では乗務員教育の改善を指示したということで、国交省は、今後の改善結果を受けて処分を決める方針です。\n\n（九州みやび観光 本村雅樹社長)「乗務員教育も今まで以上にまた社員教育に対して徹底してやっていきたい」\n\nバスを運転していた６２歳の男性運転手は、先月末付で依願退職したということです。\n\nきょう６日の県議会の一般質問で、この事故への対応を問われた県は、「急しゅんな地形で抜本的な道路改良は難しい」としたものの、急カーブの解消や車両待避所の設置などを検討したいと答えました。\nMBC南日本放送 | 鹿児島,[],[]
曽木の滝公園イルミネーション　１００万球以上が輝く　「龍」も登場　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/26d7aa00aa8134bb289bc762c6a50a0bac90de9f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068841-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T19:02:00+09:00,2023-12-06T19:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,347,\nMBC南日本放送\n１２月に入って鹿児島県内各地でイルミネーションが見ごろを迎えています。伊佐市大口の「曽木の滝公園」を撮影しました。\n\n「曽木の滝公園」では今月１日からイルミネーションの点灯が始まりました。ＬＥＤ電球の数は１００万球以上と、去年の倍に増やしています。\n\nキリンやゾウなど動物たちのイルミネーションのほか、半年ほどかけて制作したという来年の干支をイメージした龍も存在感を放っています。\n\nまた、サンタクロースのコーナーもあり、「日本へ行ってきます」と書かれたボードは、クリスマスの後は、「フィンランドに帰ります」にかわるそうです。\n\n曽木の滝公園のイルミネーションは午後６時から午後９時までで、来年１月３１日まで点灯されます。\nMBC南日本放送 | 鹿児島,[],[]
６０００トン級以上の大型巡視船は国内最多に 「ゆみはり」初入港　鹿児島海保（MBC南日本放送）,https://news.yahoo.co.jp/articles/325a0cbb5e1ca147af2e560b7eec773dfa6517d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068842-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T19:04:00+09:00,2023-12-06T19:04:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,428,\nMBC南日本放送\n鹿児島海上保安部に配備された新たな大型巡視船「ゆみはり」が６日、鹿児島港に初入港しました。\n\n「ゆみはり」は総トン数が６０００トン、全長は１４０メートルあります。名前は弦を張った弓のように見える月にちなんだ「弓張月」から名づけられました。\n\n今年７月に配備された「あさなぎ」と同じ型の大型巡視船で、４０ミリ機関砲や遠隔放水銃などを備え、ヘリコプター２機を搭載できます。\n\n（巡視船ゆみはり 堀井和也船長）「最新鋭の船として機能を備えている。周辺の厳しい状況に対応できるように乗組員一丸となって訓練を積んで対応できるようにしていきたい」\n\n尖閣諸島周辺の警備強化などのため、鹿児島海上保安部には今年度、合わせて３隻の巡視船が配備されました。\n\n「ゆみはり」の配備で鹿児島海上保安部には大型巡視船が１０隻となり、このうち６０００トン級以上の大型巡視船は国内最多となる６隻となりました。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島市で川に車が転落　薩摩川内市ではスーパーに車突っ込む（MBC南日本放送）,https://news.yahoo.co.jp/articles/dbc27138ae9a931fcc8f2aa3fafad99e0ac0003e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068836-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T16:11:00+09:00,2023-12-06T16:11:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,376,\nMBC南日本放送\nきょう６日午前、鹿児島市喜入町の「道の駅喜入」近くの川に軽自動車が転落しました。\n\n警察によりますと、６日午前９時３０分ごろ、鹿児島市喜入町の「道の駅喜入」近くで、「車が川に転落した」と１１０番通報がありました。\n\n現場は「道の駅喜入」の駐車場から数メートル下の川で、車には７０歳代の男性が乗っていて警察と消防に救助されました。男性は病院に搬送されましたが、命に別条はないということです。\n\n警察が事故の原因を調べています。\n\n一方、６日午後１時前、薩摩川内市中郷１丁目ではスーパーの壁に乗用車が突っ込みました。\n\n薩摩川内警察署によりますと運転していたのは７０代の女性で、「アクセルとブレーキを踏み間違えた」と話しているということです。\n事故によるけが人はいませんでした。\nMBC南日本放送 | 鹿児島,[],[]
