headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【速報】〈更新〉鹿児島県霧島市で鳥インフル疑い　「死んだ羽数が増えている」と通報、肉用鶏10万羽飼養の養鶏場　県内今季2例目（南日本新聞）,https://news.yahoo.co.jp/articles/1f460f95995b501a255b557f593ffe4db1274905,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000016-minami-000-2-view.jpg?exp=10800,2024-12-19T23:05:22+09:00,2024-12-19T23:32:49+09:00,南日本新聞,minami,南日本新聞,467,（写真：南日本新聞社） 鹿児島県は１９日夜、霧島市福山の養鶏場で鳥インフルエンザの疑い事例が確認されたと発表した。遺伝子検査で感染が確認されれば同市では初めてで、今季、県内養鶏場での発生は出水市に続き２例目となる。 【写真】〈関連〉鳥インフルエンザ発生疑いの農場の場所を地図で確認する 疑い農場は肉用鶏約１０万羽を飼う。同日午後２時、系列指導員から姶良家畜保健衛生所（家保）に、死亡羽数が増加したとの通報があった。同家保が緊急に立ち入り、１０羽を簡易検査したところ、全羽がＡ型インフルエンザ陽性だった。 鹿児島中央家保による遺伝子検査結果は、２０日にも判明予定。陽性となり農林水産省が高病原性の疑いがあると判定すれば、家畜伝染病予防法に基づき全羽を殺処分する。 県は１９日、書面で対策本部会議を開催し、疑い農場の鶏や物品の持ち出し禁止、周辺農場の移動自粛を要請した。 家畜防疫対策課によると、疑い農場から半径３キロ内は９農場（３６万７２００羽）、半径３～１０キロ内には６３農場（６４０万４８００羽）が立地する。 南日本新聞 | 鹿児島,[],[]
経営難続く肥薩おれんじ鉄道、交付金活用へ法定協設置　23日に八代で初会合、24年度中の地域公共交通計画策定目指す（南日本新聞）,https://news.yahoo.co.jp/articles/e577009f8b87949bd2078abb8ca34b5df8ccbbbb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000015-minami-000-2-view.jpg?exp=10800,2024-12-19T20:37:21+09:00,2024-12-19T23:10:25+09:00,南日本新聞,minami,南日本新聞,569,〈資料写真〉肥薩おれんじ鉄道に乗車する高校生＝出水市の野田郷駅 鹿児島県は１８日、肥薩おれんじ鉄道（熊本県八代市）の経営安定化を図るため、国の「社会資本整備総合交付金」活用に向けた法定協議会を２３日に設立すると発表した。本年度内の地域公共交通計画策定を目指す。県が鉄道に関する法定協を設置するのは初めて。 【写真】〈関連〉肥薩おれんじ鉄道のルートと駅名を地図で確認する 国が関与して存廃を議論する「再構築協議会」とは別の枠組み。同鉄道や熊本、鹿児島両県、沿線７市町、ＪＲ九州、バス協会などで構成し、持続可能な運営策を話し合う。２３日に八代市で初会合を開き、今後のスケジュールなどを確認する。 交付金を受けるには、法定協で地域公共交通計画を作り、国土交通省から事業実施計画の認定を受ける必要がある。県は法定協の前段階として、事業者や沿線自治体が参加する「未来戦略検討委員会」を設置し、駅へのアクセス向上など経営改善の方向性を取りまとめた。２０２５年度に国交省の認定、２６年度に交付金の活用開始を見込む。 同鉄道を巡っては、県市町村振興協会の基金を活用した支援が２２年度で期限切れとなり、県と沿線３市が全県的支援の継続を要請。２３年度から５年間の期限付きで最大７億１９００万円を助成する枠組みを全４３市町村が容認した。 南日本新聞 | 鹿児島,[],[]
車が海に沈んでいる…漁業者から通報、車内にシートベルト着けた白骨化遺体見つかる　阿久根新港（南日本新聞）,https://news.yahoo.co.jp/articles/bd81fcb98e273b7537d9282521cd24b9157ecdd2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000014-minami-000-1-view.jpg?exp=10800,2024-12-19T20:35:28+09:00,2024-12-19T20:35:28+09:00,南日本新聞,minami,南日本新聞,252,（写真：南日本新聞社） 鹿児島県警阿久根署は１９日、阿久根市晴海町の阿久根新港で、水没した車両と男性１人の遺体を発見したと発表した。身元や死因を調べている。 【写真】〈関連〉阿久根市の位置を地図で確認する 同署によると、１６日朝、漁業者から「車が沈んでいる」と消防に通報があった。１７日午後に引き揚げ、運転席でシートベルトを着けた遺体を発見した。白骨化が進み、１９日の司法解剖で５０～６０代の男性と分かった。 灰色のトレーナーと紺色のズボンを着け、眼鏡があった。車は白い軽乗用車。 南日本新聞 | 鹿児島,[],[]
歳末せっせと、光る職人の技…ちっちゃくても本格派、ミニ門松作りピーク迎える　さつま町（南日本新聞）,https://news.yahoo.co.jp/articles/3d68a80be2db6f6e38b9302c4886221d6dcfb184,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000013-minami-000-1-view.jpg?exp=10800,2024-12-19T20:17:22+09:00,2024-12-19T20:17:22+09:00,南日本新聞,minami,南日本新聞,351,丁寧な作業でミニ門松を仕上げる町民＝１８日、さつま町の宮之城伝統工芸センター 竹のまちで知られる鹿児島県さつま町の宮之城伝統工芸センターで、恒例のミニ門松作りがピークを迎えている。１８日の作業では地元有志５人が、町内産のマダケ３本に次々とわらを巻き付けた。今季は２００セットを準備する。 【写真】〈関連〉完成したミニ門松を正面から見る 手頃なサイズが好評のミニ門松は高さ約６０センチ、直径約２０センチ。飾りにはマツ、ウメ、センリョウ、稲穂をあしらう。作り手の砂子田洋喜さん（７３）は「今年は地震や台風といった災害が多かった。来年は平穏な年になるよう願いを込めて手作りしている」と話した。 １セット５０００円（発送料込み６０００円）。要予約。同センター＝０９９６（５２）１３１３。 南日本新聞 | 鹿児島,[],[]
インフルエンザ感染拡大、県内5保健所が警報基準超える　前週から感染者倍増、最多は西之表（南日本新聞）,https://news.yahoo.co.jp/articles/2e95302330c81b47875687d4286344a75c9c0a01,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000012-minami-000-1-view.jpg?exp=10800,2024-12-19T18:25:21+09:00,2024-12-19T18:25:21+09:00,南日本新聞,minami,南日本新聞,353,（写真：南日本新聞社） 鹿児島県は１９日、９～１５日のインフルエンザ感染者について、８９定点医療機関から２５８１人の報告があったと発表した。前週から１５３６人増え、１定点当たりの感染者も２９．００人と２倍以上になった。県内全域に流行発生注意報が発令されているが、５保健所管内で警報基準（３０．００）を超えた。 医療資源が乏しい離島、馬毛島工事関係者が混雑に拍車 昨夏はコロナとインフルが同時多発…「医療は保てるのか」不安は募る 保健所別では西之表（１０２．００）が最多。このほか徳之島（４６．００）、鹿児島市（３５．９１）、鹿屋（３４．６３）、伊集院（３１．６０）が警報基準を超えた。姶良（２９．８２）、川薩（２９．００）も迫る。年代別では１０歳未満が１２６２人と半数近くを占める。 南日本新聞 | 鹿児島,[],[]
教員採用試験で短大生にうれしい特例導入へ…4年制大学編入希望なら合格後、最長3年間の採用猶予　大学3年生のチャレンジ試験や社会人選考も対象拡大　鹿児島県教委（南日本新聞）,https://news.yahoo.co.jp/articles/a7c19326e4c00a34f9092d2f7944528b9f5d7c1b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000011-minami-000-1-view.jpg?exp=10800,2024-12-19T18:00:22+09:00,2024-12-19T18:00:22+09:00,南日本新聞,minami,南日本新聞,541,（写真：南日本新聞社） 鹿児島県教育委員会は２０２５年実施の教員採用試験から、合格後に四年制大学編入を希望する短大生を対象に、大学卒業予定年月まで最長３年間採用を猶予する特例を新設する。意欲的な人材の確保が狙い。１８日発表した。県教委によると、短大を対象にした特例は珍しいという。 特例は、採用試験に合格した短大生のうち希望者を「大学編入学特例名簿」に登録する仕組み。大学卒業後の採用は、短大で取得した教員免許の２種ではなく１種の取得が条件となる。県内は短大進学率が高く、一定数の受験者がいることを踏まえた。県教委は受験者に占める短大生の割合は明らかにしていない。 大学３年生が一次試験の一部科目を受けられる教職教養チャレンジ試験も拡大する。小学校に加え、中学校と特別支援学校の教諭を志望する人も受けられるようにする。初めて実施した２４年は１１１人が受験し、５９人が合格。このほか、高校の情報、看護、家庭を対象にしてきた社会人選考に福祉も追加する。 県教職員課の中島靖治課長は、教員のなり手不足が深刻化する中、受験しやすい環境を整えることで「鹿児島の教育を担いたいという人材に多く挑戦してほしい」と話した。２５年の採用試験は、６月１５日に１次試験が行われる。 南日本新聞 | 鹿児島,[],[]
ダイヤの輝き…桜島山頂に沈む夕日、幻想的な光景広がる（南日本新聞）,https://news.yahoo.co.jp/articles/a026c6eccde266f94f73ca0db9d5e19b7079af2f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000010-minami-000-1-view.jpg?exp=10800,2024-12-19T16:21:00+09:00,2024-12-19T16:21:00+09:00,南日本新聞,minami,南日本新聞,350,（別カット）まばゆい輝きを放ちながら桜島山頂に沈む夕日＝１８日午後４時５８分、霧島市福山の中茶屋公園 桜島に沈む夕日が山頂に重なり宝石のように輝く「ダイヤモンド桜島」が見られる時季を迎えた。１８日夕、鹿児島県霧島市福山の中茶屋公園から望む桜島は、稜線（りょうせん）からまばゆい光が漏れ、幻想的な光景が広がった。 午後４時５５分ごろ、金色の太陽が山頂に近づくと、稜線の真ん中に沈み始めた。周囲は濃いあかね色に染まり、集まった家族連れら約１０人が盛んにシャッターを切っていた。 妹と一緒に見に来た霧島市国分の会社員、高橋英恵さん（２４）は「壮大な景色でとてもきれい。見に来てよかった」と話した。 霧島市によると、福山の惣陣ケ丘公園や廻城跡でも来年１月中旬にかけて見ることができる。 南日本新聞 | 鹿児島,[],[]
活性化の起爆剤か、迷惑施設か…さびれゆく山間の町に降ってわいた弾薬庫整備計画　官民挙げて積極誘致の一方で、情報少なく見えない将来像に不信募らす住民も（南日本新聞）,https://news.yahoo.co.jp/articles/8ce847196b8cca187b62da8b5934ab511280e47b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000009-minami-000-1-view.jpg?exp=10800,2024-12-19T15:30:21+09:00,2024-12-19T15:30:21+09:00,南日本新聞,minami,南日本新聞,1151,弾薬庫整備に向けた適地調査が進められる中岳＝１７日、さつま町永野 防衛省がさつま町で弾薬庫（火薬庫）整備を検討する方針を地元に伝えてから２０日で１年となる。候補地の中岳周辺（永野、中津川）では適地調査が進められ、自衛隊施設誘致を働きかける関係者は整備決定を期待する。一方、突如浮上した計画と受け止める住民は不信感を持ち、国や町に積極的な情報発信を求める声が上がる。 【写真】適地調査範囲のイメージ 整備に反対する「弾薬庫問題を考える会」の男性（７９）＝同町広瀬＝は、上野俊市町長と宮之脇尚美議長との連名で防衛省に出された施設誘致請願書（２０２１年１２月１４日付）の内容に驚いた。 中岳、紫尾山、鶴田ダム西南斜面を候補地に挙げ、立地が考えられる施設として野外訓練場や弾薬庫、中距離弾道ミサイル（ＩＲＢＭ）配備施設、オスプレイ発着場などを提案していた。 公文書開示請求し今年１月、初めて知った。男性は「賛否や意見が分かれる問題。町や防衛省は情報開示を徹底し、町民が考える機会をつくるべきだ」と語気を強める。 町では人口増や交付金による地域活性化を期待し、商工会を中心に主要団体でつくる「町防衛施設誘致推進協議会」が１８年に発足。町長や全町議も活動に賛同して官民で誘致を進めた。 ■ ■ 「自衛隊歓迎」「弾薬庫はいりません」。町内では賛否を訴えるのぼり旗や看板が目立つようになった。 関心の高まりがうかがえる一方、中岳から十数キロ離れた町中心部（宮之城地区）に住む自営業の４０代男性は「世間の目を気にして話しにくい状況もあるのだろうが、弾薬庫が同世代の間で話題に上ることは少ない」と明かす。 これまで同省による説明会は、中岳近隣の薩摩地区住民を対象にした３月の１度だけ。当日の資料や質疑は町ホームページで公開しているが、鶴田地区の７０代女性は「資料は分かりにくい。担当者に直接話を聞きたい」と訴える。 ■ ■ 国は本年度当初予算に適地調査費として２年分の１０億円を計上。地質や水質、環境などの調査について計画通りに進捗（しんちょく）しているとする。一方で適地として判断する時期や、地元が期待する施設整備に伴う交付金などについては明らかにしていない。 住民説明会を巡っては薩摩地区以外の町民に加え、薩摩川内市や霧島市など周辺自治体からも開催を要望する声が上がる。同省は取材に「丁寧な説明や適切な情報共有は大変重要。地元自治体と緊密に連携し適切に対応する」と答えた。 誘致推進協会長代行の男性（５６）は、少子高齢化や物価高騰を受け、町内の各業界は「疲弊するばかり」と指摘。弾薬庫整備が決まれば「地域振興への励みになる。可能な範囲で調査の進捗など、節目の情報発信に努めてほしい」と要望した。 南日本新聞 | 鹿児島,[],[]
お父さんの健康願った小学5年生のインスタントラーメンレシピ　全国1万件の応募の中から特別賞　県産食材の魅力引き出し、体も心もぽかぽかに（南日本新聞）,https://news.yahoo.co.jp/articles/d26c5e226cd79dd408d2a77dc80473064a219c09,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000008-minami-000-2-view.jpg?exp=10800,2024-12-19T11:30:23+09:00,2024-12-19T12:59:48+09:00,南日本新聞,minami,南日本新聞,984,竹之内さんが考案したラーメン（日本即席食品工業協会提供） 鹿児島市の清水小学校５年竹之内彩良さんが「第２３回インスタントラーメン小学生レシピコンクール全国大会」に九州・沖縄代表として出場し、服部栄養専門学校賞を受賞した。父親の健康を願って考案した県産食材を使った栄養たっぷりのレシピで、１万を超える応募の中から選ばれた。「自信作だけど、こんなに多くの中から選ばれるとは思わなかった」と喜ぶ。 【写真】全国大会特別賞のインスタントラーメンレシピを掲げる竹之内彩良さん＝鹿児島市の清水小学校 コンクールは日本即席食品工業協会主催。清水小では５、６年生の夏休みの課題にし全員分を応募した。当時、竹之内さんの父親が宮崎市に単身赴任中で、「お父さんに栄養をつけてもらうラーメンにしよう」と母親と一緒に取り組んだ。 「鹿児島の食材のおいしさもＰＲしたい」と作ったのは「塩こうじ漬 さつま鶏チャーシューのぽかぽかラーメン」。サッポロ一番塩ラーメンに、塩こうじに漬けたさつま地鶏のソテーや県産野菜を盛り付けた。 モロヘイヤなど栄養価の高い野菜を選んで試行錯誤しながら作り、「きれいな盛り付けに苦労した」と竹之内さん。父親には「さっぱりしておいしい」と好評だったという。 今回は過去最多の２１６校１万１７１７作品の応募があり、６地区１２人が全国大会に進んだ。大会は１２月１日に東京で開かれ、出場者が実際に調理し、できばえを競った。 特別賞は農林水産大臣賞、文部科学大臣賞など６賞あり、竹之内さんは服部栄養専門学校の教授が推薦し合議で決定したという。「肉を焼きながら野菜を切り、なるべく早く仕上げる練習を繰り返した。もっと難しい料理にも挑戦してみたい」と笑顔で話した。 【材料＝２人分】 インスタントラーメン２袋、さつま地鶏の胸肉１枚、ゆで卵１個、プチトマトのピクルス２個、ネギ１束、長芋５センチ、モロヘイヤ１束、シソ２枚、ブロッコリースプラウト１パック 【レシピ】 （１）ネギとシソを切る （２）ゆで卵を花のように飾り切りにする （３）約３時間塩こうじに漬けた鶏肉をソテーする。その後、フライパンで長芋とモロヘイヤを炒める （４）ラーメンをゆでる （５）スープを加え、鶏肉、長芋、モロヘイヤ、ブロッコリースプラウト、ゆで卵を盛り付け、最後にプチトマトを加えて完成 南日本新聞 | 鹿児島,[],[]
飛行中の海自P1哨戒機から部品落下の可能性　着陸後に左脚室灯カバーと固定ねじ1本紛失確認　鹿屋航空基地（南日本新聞）,https://news.yahoo.co.jp/articles/46c5a67adc0a6458adeb74aa4127513b39635d34,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000007-minami-000-1-view.jpg?exp=10800,2024-12-19T11:00:23+09:00,2024-12-19T11:00:23+09:00,南日本新聞,minami,南日本新聞,336,（写真：南日本新聞社） 海上自衛隊鹿屋航空基地（鹿児島県鹿屋市）は１８日、第１航空隊のＰ１哨戒機１機の左脚室灯カバーと、同カバーを固定するねじ１本を紛失したと発表した。同基地から鹿屋市、鹿児島湾、九州南方海域を飛行中に落下した可能性がある。経路上の同市に連絡し、同日午後９時現在、被害は確認されていない。 【写真】〈資料写真〉Ｐ１哨戒機 広報室によると、紛失したカバーは機体後方の左翼下部にあった。縦約５センチ、横約８センチ。プラスチックと耐熱ガラス部分があり、重さ約２３グラム。ねじはアルミ合金製で、長さ約１５ミリ、直径約４ミリ、重さ約２グラム。同日午前７時５５分に離陸し、同日午後３時５５分に戻った。直後の点検で紛失が確認された。原因は調査中。 南日本新聞 | 鹿児島,[],[]
「桜島や霧島連山の大噴火あれば川内原発への影響甚大」　危険性訴え、設置許可取り消し求める住民が意見陳述　福岡高裁（南日本新聞）,https://news.yahoo.co.jp/articles/b79ed0c397da80235aae35daded1ba4a1e3570bb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241219-00000006-minami-000-1-view.jpg?exp=10800,2024-12-19T10:30:22+09:00,2024-12-19T10:30:22+09:00,南日本新聞,minami,南日本新聞,507,川内原発の設置許可取り消しを求める横断幕を掲げて福岡高裁に向かう原告住民ら＝１８日、福岡市 九州電力川内原発１、２号機（薩摩川内市）が新規制基準に適合するとした原子力規制委員会の判断は火山リスクの検討が不十分だとして、住民ら２９人（うち鹿児島１１人）が国に設置許可の取り消しを求めた訴訟の控訴審第７回口頭弁論が１８日、福岡高裁であった。住民２人が意見陳述し、「大噴火の影響は甚大」などと火山が絡む原発災害の危険性を訴えた。次回２０２５年３月２６日で結審の予定。 意見陳述で、同市の女性（７６）は「桜島や霧島連山の大噴火があった場合、川内原発への影響は甚大だ」。いちき串木野市の男性（７３）は「北海道まで放射能が降り注ぎ、大人の決定に従わざるを得ない子どもたちが吸い込む可能性を否定できない」と指摘した。 このほか、住民側と国側が最終準備書面に基づき、見解の対立する火山リスク評価や規制委審査の妥当性などへの主張をそれぞれ述べた。 １９年６月の一審福岡地裁判決は規制委の審査基準「火山ガイド」が不合理ではないとした。新規制基準下の原発設置許可を適法とする初の司法判断を示し、請求を退けていた。 南日本新聞 | 鹿児島,[],[]
