headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
オスプレイ墜落　目撃者たちの証言「ひっくり返ってエンジンから火が」「くるくる横回転したあと落ちた」（MBC南日本放送）,https://news.yahoo.co.jp/articles/d3cf582aa1a6912efd1202cbeee87c1a26d90d50,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00169091-mbcnewsv-000-3-thumb.jpg?exp=10800,2023-11-29T20:13:00+09:00,2023-11-29T20:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,361,\nMBC南日本放送\nオスプレイが墜落する様子を目撃した人の証言です。\n\n（目撃者）\nオスプレイが低空で飛行していたので、馬毛島の視察に来たのかなと思って見ていたら、普通の飛行機が着陸するコースと全く同じコースで降りてきたから、不時着するのかなと思ったら、降りてくる途中で１８０度ひっくり返った。\n左のエンジンが火を噴いて爆発して、プロペラがぼーんと沖の方に飛んでいった。その直後、墜落した。\n\n事故の瞬間を目撃した漁業者の声です。\n\n\n（漁業者）\n空港の方に向かっている様子だったので、漁をしながら見ていた。すると、くるくる横回転を３回くらいして、オレンジ色の火花、ボンって爆発みたいな感じ。ものの１０秒もしないくらいで、海面に落ちた。その後、黒煙を出して墜落した。\nMBC南日本放送 | 鹿児島
オスプレイ墜落　専門家「エンジン不具合か、変速機の不具合か」（MBC南日本放送）,https://news.yahoo.co.jp/articles/74539b80a2397b70a20fbba8d0ef50b1cb1b236c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068697-mbcnewsv-000-3-thumb.jpg?exp=10800,2023-11-29T20:10:00+09:00,2023-11-29T20:12:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,296,\nMBC南日本放送\n今回のオスプレイ墜落について、専門家はどう見ているのか？聞きました。\n\n陸上自衛隊で航空機のパイロットも務めた元陸将で、新潟の国際大学・山口昇教授です。\n\n「左エンジンなのか、トランスミッション（変速機）が原因なのか分からない」「燃料が入っているので、エンジンが不具合になれば火は出る」\n「トランスミッション（変速機）に歯車がたくさんあり、結構な回転数なので、そこからも火は出る可能性はある」\n\n火を噴いたという左エンジンか、エンジンの出力をプロペラに伝えるトランスミッションか、他の原因か。墜落の原因は分かっていません。\nMBC南日本放送 | 鹿児島
オスプレイ墜落　通報男性「大きいドンという音」米軍所属で乗組員６人（MBC南日本放送）,https://news.yahoo.co.jp/articles/a992883daaec5e0a72cc6ab50a8c9afb2517c362,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068695-mbcnewsv-000-4-thumb.jpg?exp=10800,2023-11-29T20:17:00+09:00,2023-11-29T20:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,663,\nMBC南日本放送\n２９日午後２時半すぎ、アメリカ軍のオスプレイが屋久島沖に墜落しました。十管本部は引き揚げた１人が死亡したと発表しました。\n\n午後５時すぎの屋久島町小瀬田沖です。捜索にあたっているとみられる航空機が確認できます。\n\n第十管区海上保安本部によりますと、２９日午後２時４７分ごろ、「所属不明のオスプレイが屋久島沖で墜落した」と１１８番通報がありました。\n\n\nオスプレイはアメリカ軍横田基地所属で、アメリカ軍は乗組員について当初８人としていましたが、６人に訂正しました。\n\n十管所属の航空機が、現場の海上で機体の残骸のようなものや、転覆した救命いかだのようなものを確認したということです。\n\nまた、現場を捜索している屋久島町救難所の船が安房港から北北東のおよそ３キロの海上で１人を発見しましたが、死亡が確認されました。\n\n墜落の様子を目撃し通報した男性は「オスプレイが左エンジンから火をふいていた。ドンという大きい音がして旋回しながら墜落するのが見えた。海上にいた乗組員を３隻の船が救助するところを見た。オレンジ色の救難ボートも見えた」と話しています。\n\n屋久島空港に警察や消防が立ち上げた対策本部によりますと、「小瀬田沖の海上に機体の残骸のようなものが浮いている」との情報があるということです。\n\n\n国土交通省の関係者によりますと、オスプレイは山口県のアメリカ軍岩国基地を出発して、沖縄県の嘉手納基地に向かう途中だったという情報があります。\nMBC南日本放送 | 鹿児島
「家が燃えている」奄美大島・瀬戸内町で住宅・倉庫など３棟全焼　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/40e2c0ab2ce2ea2934502fe8924c67e1a43774c1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068701-mbcnewsv-000-1-view.jpg?exp=10800,2023-11-29T21:29:00+09:00,2023-11-29T21:29:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,302,\n奄美大島・瀬戸内町で２９日午後、火事があり、住宅や倉庫などあわせて３棟が全焼しました。\n\n瀬戸内警察署によりますと、２９日午後３時半ごろ、瀬戸内町古志で「家が燃えている」と、近くの住民が消防に通報しました。\n\n火はおよそ１時間半後に消し止められましたが、この火事で、建設作業員・沖島光丸さん７１歳が暮らす木造平屋の住宅と、隣接する沖島さん所有の倉庫、所有者不明の空き家のあわせて３棟・およそ２００平方メートルが全焼しました。\n\n沖島さんは１人暮らしで、出火当時、仕事で外出していて、けが人などはいませんでした。\n\n警察と消防が火事の原因を調べています。\nMBC南日本放送 | 鹿児島
トカラ列島近海で地震 鹿児島十島村で最大震度１ 推定M3.2 津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/a1263b1df5d9db7394e129eb9e17022da52eed62,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00279893-mbcnewsv-000-2-view.jpg?exp=10800,2023-11-29T22:51:00+09:00,2023-11-29T22:52:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,152,\n午後10時48分ごろ最大震度１の地震がありました。\n震源はトカラ列島近海で震源の深さは30キロメートル。\n地震の規模を示すマグニチュードは3.2と推定されています。\nこの地震による津波の心配はありません。\n\n各地の震度は、\n震度１が、鹿児島十島村\nです。\nMBC南日本放送 | 鹿児島
お歳暮商戦　山形屋に大ギフトセンター開設　世界遺産３０年の屋久島・復帰７０年の奄美など県内の逸品も　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/f792593fb85e1bb1250e59a2ad8dec2d8b72c722,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068688-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-29T19:08:00+09:00,2023-11-29T19:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,639,\nMBC南日本放送\nことしもあと１か月あまりで、お歳暮商戦もいよいよ本番です。鹿児島市の山形屋に２９日、ギフトセンターが開設されました。\n\nお歳暮の定番、洋菓子のセットに。ふるさとの味・さつま揚げの詰め合わせ。家族や友人みんなで楽しめる鹿児島黒豚のしゃぶしゃぶセット。\n２９日から本格開催となるお歳暮のギフトセンターでは、新商品１８６点を含む、およそ１３００種類から贈り物を選ぶことができます。\n\n（記者）「ことし節目を迎える屋久島や奄美大島の商品を集めたコーナーもあります」\n\n来月で世界自然遺産登録から３０年となる屋久島からは、島の代表的なフルーツ「たんかん」のハチミツのセットや、これからが旬の「ぽんかん」。\n\n日本復帰から７０年となる奄美大島は黒糖焼酎のセット。こちらは鶏飯や黒豚を使ったピザの詰め合わせ。冷凍の商品で、レンジで温めるだけでできたての本格的な味を楽しむことができます。\n\n（両親や親戚へ）「お子さんがいる方には量があるものを。両親には集まるので、お肉など喜んでもらえるものを探している」\n\n（子や孫へ）「若いからお肉の方がいいかなと思って、お肉を頭に入れている。人数が多いと１箱では足りないので、２箱を検討している。『おばあちゃん年金で食べているからいいよ』って言われるけど、これは親・おばあちゃんの役目」\n\nお歳暮の大ギフトセンターは、鹿児島市の山形屋６階に来月２５日まで開設されます。\nMBC南日本放送 | 鹿児島
約２万点がずらり 薩摩焼でお茶の試飲も「薩摩焼フェスタ」始まる　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/ed9a22345e51cb74aea72f5d0a56b22e9a98e5b1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068687-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-29T19:05:00+09:00,2023-11-29T19:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,850,\nMBC南日本放送\n鹿児島の伝統工芸品・薩摩焼を展示・販売する「薩摩焼フェスタ」が、２９日から鹿児島市で始まりました。\n\n４年ぶりにオープニングセレモニーも行われて始まった「薩摩焼フェスタ」。表面に貫入と呼ばれる細かいヒビが入り、豪華で繊細な絵付けがされた「白薩摩」や、素朴な趣きで主に庶民の生活の器として用いられてきた「黒薩摩」など、県内２７の窯元の作品およそ２万点が展示・販売されています。\n\n（来場者／静岡から旅行中）「（薩摩焼は）持っていないので、いろいろ見て買いたいなと。良かったです。なかなか窯元まで行くのに時間もかかったりするのでラッキーでした」\n\n年に１度の開催を心待ちにしていた人も…\n（来場者）「最初に来た時に、好きな感じのものがあったから。きょうは新作の湯飲みを。（Ｑ．またひとつコレクションが増えた？）はいそうです」\n\n（鹿屋市・天照窯 岩田鉄山さん）「毎年来ていただけるので楽しみ。注文もいただくから、来年はその注文の品を作ってきますねと。そんな話もできたりします」\n\n（来場者）「１年に１回。そういう感じでね。それもひとつの楽しみ」\n\nまた、初めての企画として、県内のお茶の生産者とコラボし薩摩焼でお茶を楽しむコーナーもあります。各窯元から試飲用の湯飲みが２つずつ提供されていて、好きな湯飲みを選んで飲むことができます。\n\n（レポーター）「私が選んだ湯飲みがこちらです。いれたての緑茶をいただきます。甘みがあって口当たりがまろやかで、温度もちょうど良くて美味しいです」\n\n（試飲した人）「お茶の甘みがすごく濃くて美味しかった。この小さな薩摩焼、きれいな柄が気に入ったので、これでいただいたら味が、家でいれるのと違っておいしかった」\n\nこのほか、陶芸や絵付けの体験などのイベントも行われる「薩摩焼フェスタ」は、鹿児島市のかごしま県民交流センター６階ギャラリーで来月３日まで開かれます。入場は無料です。\nMBC南日本放送 | 鹿児島
「みかんは小つぶ味は大つぶ」桜島小みかんの収穫開始　保育園児も味わい楽しむ（MBC南日本放送）,https://news.yahoo.co.jp/articles/9744a56b76eec2405e5c703b6bbc35c809a55b96,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068686-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-29T19:02:00+09:00,2023-11-29T19:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,545,\nMBC南日本放送\n鹿児島県の桜島で特産品の桜島小みかんのはさみ入れ式が行われ、保育園児が収穫を体験しました。\n\n（記者）「この小ささが特徴の桜島小みかん。こちらの農園ではおよそ３０万個が栽培されています」\n\n桜島小みかんは「世界一小さいみかん」ともいわれる直径５センチ足らずの小粒のみかんで、酸味が少なく甘いのが特徴です。\n国が品質が高いと評価した農林水産物を知的財産として保護するための地理的表示＝ＧＩにも登録されています。\n\n２９日は桜島の畑ではさみ入れ式が行われ、近くの保育園児たちが笑顔で収穫を体験しました。そして、たくさん収穫したあとは早速、その味を楽しみました。\n\n（保育園児）「美味しい」「甘酸っぱくて美味しい。みんなにも分けて食べる」\n\n今シーズンは台風が少なく、天候にも恵まれた影響で、見た目、味ともに満足のいく桜島小みかんができたと言います。\n\n（桜島柑橘ハウス振興会 白川隆会長）「みかんは小つぶ、味は大つぶと皮をむいた途端に香りが届く。今年のみかんは非常に美味しい。うんめぇみかんができたと。１個でも多く食べていただきたい」\n\n桜島小みかんの収穫は、来月上旬にピークを迎え、年内いっぱい行われます。\nMBC南日本放送 | 鹿児島
来月２日打ち上げの観測ロケット　機体公開（MBC南日本放送）,https://news.yahoo.co.jp/articles/8a073b0b52a7ebe68e4eff9e1150bef66eccf2e0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068700-mbcnewsv-000-1-view.jpg?exp=10800,2023-11-29T19:50:00+09:00,2023-11-29T19:50:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,303,\n鹿児島県肝付町の内之浦宇宙空間観測所から打ち上げられる予定の観測ロケットの機体が、報道陣に公開されました。\n\n公開されたのは、ＪＡＸＡ＝宇宙航空研究開発機構の観測ロケット「Ｓ－５２０－３３号機」です。全長８．９メートル、重さ２．３トンの小型ロケットで、次世代ロケットや探査機開発に役立てるため、大気圏突入などの実証実験の装置４つを搭載します。\n\n当初は今月２４日に予定されていた打ち上げは来月１日に延期されていましたが、ＪＡＸＡは２９日、気象条件が適さないためにさらに延期し、来月２日に打ち上げると発表しました。打ち上げの時間は、午後４時から午後４時半の間です。\nMBC南日本放送 | 鹿児島
オスプレイ墜落１人死亡　海に浮かぶ残骸の写真　海保が公開（MBC南日本放送）,https://news.yahoo.co.jp/articles/9b87623d5cb77242e1dc4216e42d0f6ea3be543a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068694-mbcnewsv-000-5-thumb.jpg?exp=10800,2023-11-29T18:30:00+09:00,2023-11-29T18:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,215,\nMBC南日本放送\nアメリカ軍のオスプレイが屋久島沖に墜落した事故で、新たな情報です。\n\n第十管区海上保安本部が先ほど公開した画像です。海にオスプレイの残がいのようなものが浮かんでいるのが見えます。\n\nまた、十管本部によりますと、オスプレイに乗っていた６人のうち、引き揚げた１人の死亡を搬送先の病院で確認したということです。\n\n十管本部は引き続き、航空機や船艇で捜索を続けています。\nMBC南日本放送 | 鹿児島
屋久島沖　オスプレイ墜落　時系列（MBC南日本放送）,https://news.yahoo.co.jp/articles/58f83c3361150b59049e1cff2ca36963f299ebde,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068691-mbcnewsv-000-3-thumb.jpg?exp=10800,2023-11-29T18:25:00+09:00,2023-11-29T18:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,437,\nMBC南日本放送\nオスプレイ墜落事故についていま、分かっていることを時系列でまとめました。\n\n九州防衛局によりますと、２９日午後２時４０分ごろ、屋久島沖でオスプレイがレーダーから消えました。\n\nほぼ同時刻に「屋久島空港近くの海岸にオスプレイが左エンジンから火をふいて着陸した」と１１０番通報が入ります。その直後、消防にも「安房港沖にオスプレイが落下したようだ」と通報が入っています。\n\n午後２時４７分ごろには「所属不明のオスプレイが屋久島沖で墜落した」と１１８番通報が入り、第十管区海上保安本部は対策本部を立ち上げ、巡視船６隻とヘリ２機を現場へ急行させます。\n\nそして午後４時ごろ、十管所属のヘリが現場海域で機体の残がいと転覆している救命いかだのようなものを発見。現場海域で漂流していた１人を屋久島救難所の船が発見し、機動救難士が引き上げました。\n\n\n救助された１人は意識・呼吸がない状態で安房港に搬送されました。\nMBC南日本放送 | 鹿児島
