headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
2025参院選 鹿児島選挙区自民党公認候補に園田修光氏　県連「独自調査で園田氏が優位」（南日本新聞）,https://news.yahoo.co.jp/articles/43ecd959a723218410b9aeffeb924f8edfcc8c10,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000013-minami-000-5-view.jpg?exp=10800,2024-12-24T22:35:22+09:00,2024-12-25T11:55:02+09:00,南日本新聞,minami,南日本新聞,504,公認候補に選ばれ、意気込みを語る園田修光氏＝２４日、鹿児島市真砂町 自民党鹿児島県連は２４日、２０２５年夏の参院選鹿児島選挙区（改選数１）の公認候補に、党本部が元参院議員の園田修光氏（６７）を選出したと発表した。党本部も２６日に正式発表する。会見で吉留厚宏県連幹事長は「党本部の独自調査で園田氏が優位だった」と理由を説明した。 鹿児島選挙区の自民公認候補選び 県連「2人推薦」を正式決定 党本部に判断委ねる 現職の尾辻秀久氏（８４）の勇退表明に伴い、県連が公募。党本部に園田氏と県議団推薦の外薗勝蔵県議（７３）の２人を推薦して判断を委ねていた。 ２３日に党本部で木原誠二選対委員長らの説明を受けた吉留幹事長によると、計３回実施した電話世論調査でいずれも園田氏が外薗氏を５～１１ポイントリードした。衆院の県内選挙区別でも、外薗氏の地元３区以外で上回った。 全県選挙となる参院選では、大票田の鹿児島市での支持が勝敗を左右する点や、年齢も踏まえて園田氏が選ばれたという。 ２４日は吉留幹事長に続いて園田氏も県連で会見。「まだやり残したことがある。社会保障や教育の格差をなくしたい」と述べた。 南日本新聞 | 鹿児島,[],[]
原告は声を上げる「故郷がなくなる。元の姿に戻して」…馬毛島自衛隊基地整備への住民訴訟、鹿児島地裁で第3回口頭弁論（南日本新聞）,https://news.yahoo.co.jp/articles/f0f32e8f6b811782b59decdc29b7ee57ebcf9ffe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000012-minami-000-2-view.jpg?exp=10800,2024-12-24T22:05:21+09:00,2024-12-24T22:54:24+09:00,南日本新聞,minami,南日本新聞,446,馬毛島の位置を地図で確認する 西之表市馬毛島の自衛隊基地整備を巡り、防衛省への市有地売却は裁量権を逸脱しており違法で価格も不適正として、市民３０人が八板俊輔市長と国に２億３４３０万円の損害賠償を請求するよう市に求める住民訴訟の第３回口頭弁論が２４日、鹿児島地裁（窪田俊秀裁判長）であった。馬毛島で生まれ育った原告は「故郷がなくなってしまう。元の姿に戻して」と訴えた。 【写真】〈馬毛島の変化を写真で比べる〉北側上空から見た馬毛島。左は２０２３年１月１２日撮影、右は２４年１月８日撮影＝いずれも本社チャーター機から 原告の女性は意見陳述で、「自然いっぱいで思い出もいっぱいな馬毛島が基地になることは絶対に許せない」と主張。防衛省に対しては「（開発による）悪影響もしっかり説明してほしい」と述べた。 同日、地元漁師が国に対し、同基地の工事差し止めを求める訴訟の口頭弁論もあった。原告の漁師浜田純男さん（６９）の本人尋問があり、結審した。判決は来年３月１１日に言い渡される。 南日本新聞 | 鹿児島,[],[]
これが鹿児島城西高の「勝ち飯」だ！サッカーボール状のご飯には「かつお節」、お約束「トンカツ」も…激励会でサプライズ（南日本新聞）,https://news.yahoo.co.jp/articles/9b8af268297ef375ae4fb29b104372fed6d98ce9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000011-minami-000-1-view.jpg?exp=10800,2024-12-24T21:00:21+09:00,2024-12-24T21:00:21+09:00,南日本新聞,minami,南日本新聞,462,白星を重ねられるようサプライズで出されたかつお節入りのサッカーボール状にした白米を頬張るサッカー部員ら＝２４日、日置市の鹿児島城西高校 ２８日に開幕する全国高校サッカー選手権に出場する鹿児島城西高校サッカー部の激励会が２４日、日置市の同校であった。調理科の生徒たちが、白星を重ねられるようにと“勝ち飯”を考案し、サプライズで差し入れた。 【写真】〈別カット〉白星を重ねられるようサプライズで出されたかつお節入りのサッカーボール状にした白米を頬張るサッカー部員ら＝２４日、日置市の鹿児島城西高校 贈ったのはトンカツと、かつお節が入ったサッカーボール状の白米。選手たちはおいしそうに頬張った。新田祐輔監督は「感動を与えられるような試合をしたい」。藤吉純誠主将は「全国大会に出られなかった先輩たちの思いも背負って日本一になれるように頑張る」と宣言した。 ８年ぶりの出場とあって、調理科の担当者らも早朝から準備し気合十分。３年の國生紫音（しの）さんは「トンカツを食べて活を入れ、ぜひ勝って」とエールを送った。 南日本新聞 | 鹿児島,[],[]
出火当時車に乗っていたが、火に気付き無事　軽ワゴン車1台に倉庫など全焼　薩摩川内市（南日本新聞）,https://news.yahoo.co.jp/articles/c8f3efa29f6a60ca9dfa129f4aa95997c770c1dc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000010-minami-000-2-view.jpg?exp=10800,2024-12-24T20:55:21+09:00,2024-12-24T23:04:02+09:00,南日本新聞,minami,南日本新聞,198,（写真：南日本新聞社） ２４日午前４時１５分ごろ、鹿児島県薩摩川内市入来町浦之名、電気工事業の男性（７７）方敷地内で火災があり、いずれも平屋の鉄筋倉庫６５平方メートル、木造倉庫４８平方メートル、軽ワゴン車１台を全焼した。 薩摩川内署によると、男性は１人暮らし。出火当時車に乗っていたが、火に気付き無事だった。火元を調べている。「煙が上がっている」と近隣住民が１１９番した。 南日本新聞 | 鹿児島,[],[]
【速報】バスケットボール全国高校選手権男子・川内初戦敗退　国学院久我山（東京）に91－99（南日本新聞）,https://news.yahoo.co.jp/articles/74e9f28556526d8256be82661757561c5dd94dc3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000009-minami-000-3-view.jpg?exp=10800,2024-12-24T17:35:08+09:00,2024-12-24T19:04:59+09:00,南日本新聞,minami,南日本新聞,145,前半、相手と競り合いながらシュートを狙う川内の鮫島（２４）＝東京体育館 バスケットボールの第７７回全国高校選手権は２４日、男子の１回戦などがあり、鹿児島県代表の川内は国学院久我山（東京）に９１－９９で敗れた。 【写真】前半、シュートを放つ川内の森永（８）＝東京体育館 南日本新聞 | 鹿児島,[],[]
納骨堂跡を掘り起こすと出た、大空襲の惨禍伝える焼損瓦　「国内随一の大建築」とされた2代目本堂か　都城（南日本新聞）,https://news.yahoo.co.jp/articles/ac4788e30d5dfc1cdf4f13b46b108e8b2586818e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000008-minami-000-2-view.jpg?exp=10800,2024-12-24T14:55:22+09:00,2024-12-24T20:13:21+09:00,南日本新聞,minami,南日本新聞,677,焼けた瓦片と、発見者の松元章徳さん＝都城市牟田町 宮崎県都城市牟田町の天竜山攝護（しょうご）寺の本堂脇で行われている納骨堂建て替え現場の地中から、多数の焼けた瓦が見つかった。１９４５（昭和２０）年８月６日の都城大空襲で焼失した２代目の本堂などで使われていた瓦とみられる。寺では戦後８０年を迎える直前に地中から姿を現した太平洋戦争の“証人”に驚いている。 【写真】都城大空襲で焼失した攝護寺の２代目本堂（攝護寺百年史から） 同寺職員の松元章徳さん（３８）が１１月下旬、１９６３（昭和３８）年建築の納骨堂を取り壊し、重機で掘り起こした場所に大量の瓦片があるのに気付いた。松元さんは、奈良大学文学部文化財学科出身。瓦の多くが火にあぶられて赤く変色していることから、空襲で焼失した２代目本堂などに使われていたものと判断した。 「攝護寺百年史」によると、同寺は１８７８（明治１１）年、都城島津家の米蔵屋敷跡に置かれた西本願寺都城説教所が始まり。１９１２（明治４５）年に完成した２代目本堂は、回廊、中門を有し、間口３０メートル、奥行き４５メートル。「浄土真宗本願寺派の末寺中、国内随一の大建築」とうたわれた。しかし、４５年８月６日午後２時ごろ、米陸軍機から投下された焼夷（しょうい）弾が本堂を直撃して周囲に燃え広がり、寺域の５分の４が灰じんと化した。 本堂は戦後の５６年再建され、２０２０年に現在のものに建て替えられた。 松元さんは「瓦は寺を復興する過程で埋められたのだろう。戦争の惨禍を伝える証人として来年、折に触れて展示したい」と話した。 南日本新聞 | 鹿児島,[],[]
教室きれいに…さあ冬休み　県内公立校で2学期の終業式（南日本新聞）,https://news.yahoo.co.jp/articles/6c80f02fd90ff15827598fdfcc3b4350176396e3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000007-minami-000-1-view.jpg?exp=10800,2024-12-24T12:15:27+09:00,2024-12-24T12:15:27+09:00,南日本新聞,minami,南日本新聞,397,教室の隅々まできれいに掃除する生徒たち＝２４日午前、鹿児島市の武岡台高校 鹿児島県内のほとんどの公立学校で２４日、２学期の終業式があった。クリスマスや正月を控えるが、受験生にとっては、年明けの大学入試へ最後の追い込みとなる冬休み。大掃除に汗を流して、１年を締めくくった。 【写真】１年の汚れを丁寧に落とす生徒たち＝２４日午前、鹿児島市の武岡台高校 鹿児島市の武岡台高校は、３年生の９割が来年１月１８、１９日の大学入学共通テストを受ける。生徒たちは雑巾やほうきを手に約１時間、教室の掃除した。国立大を志望する普通科３年、前野心菜さんは「学校行事を楽しんだ２学期を終え、残すは入試のみ。正月は大好きなお餅を我慢して、苦手な数学を勉強する」と気合を入れた。 終業式で、亀田誠校長は「理想の進路実現に向けて、焦らず、弱気にならず、ベストが出せるように頑張って」とエールを送った。 南日本新聞 | 鹿児島,[],[]
Xマスを彩る…店頭に並んだポインセチア華やか　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/18b09c83520688a123a149c536f305da9e0d997e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000006-minami-000-1-view.jpg?exp=10800,2024-12-24T11:32:22+09:00,2024-12-24T11:32:22+09:00,南日本新聞,minami,南日本新聞,395,売り場に並ぶ色鮮やかなポインセチア＝２３日午後、鹿児島市の「Ｍｓｔｙｌｅ マルヤガーデンズ店」 師走も深まり、シクラメンなど冬を代表する鉢植えが街なかを華やかに彩っている。鹿児島市の「Ｍｓｔｙｌｅ マルヤガーデンズ店」では２３日、鮮やかな赤色が目を引くポインセチアが店頭に並び、クリスマスムードを盛り上げていた。 【写真】（別カット）売り場に並ぶ色鮮やかなポインセチア＝２３日午後、鹿児島市の「Ｍｓｔｙｌｅ マルヤガーデンズ店」 今冬はピンクや黄色、白色、斑（ふ）入りのものなど１０品種以上を入荷。長く観賞できるポインセチアは人気が高く、１１月末から１２月初めにかけて売れ行きも好調という。葉がカールして柔らかな印象のウインターローズなど人気が高い。同店の柳瀬侑子さん（３５）は「クリスマスに限らず季節の花を家に飾って心を癒やしてもらえたらうれしい」と笑顔を見せた。 南日本新聞 | 鹿児島,[],[]
消火するゾウ…鼻を使って一斉放水　サーカス会場で消防訓練　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/d2db23bca1c7cbe7608d8fe6b0603a78498c8b65,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000005-minami-000-1-view.jpg?exp=10800,2024-12-24T11:03:22+09:00,2024-12-24T11:03:22+09:00,南日本新聞,minami,南日本新聞,404,ゾウも参加したサーカス会場での消防訓練＝２３日、鹿児島市本港新町のドルフィンポート跡地 鹿児島市のドルフィンポート跡地の特設会場で開催中の木下大サーカス鹿児島公演（南日本新聞社主催）の団員らが２３日、会場で消防訓練に取り組んだ。火災発生時の対応を確認した。 【写真】サーカス会場での消火訓練＝２３日、鹿児島市本港新町のドルフィンポート跡地 公演中に大テント近くの売店から出火した想定。団員ら約７０人が初期消火と通報、観客の避難誘導の手順を確認し、消防署員と大テントへ一斉放水した。初期消火訓練では、団員らが消火器の使い方を学んだ。ショーに出演するゾウ２頭もデモンストレーションで参加。水を勢いよく鼻から吹き出した。 中央消防署名山分遣隊の柿元博明副隊長は「来場者を幸せにする場所だという意識で防災に努めてほしい」。臼井邦夫専務は「安全第一で楽しいサーカスを見ていただきたい」と話した。 南日本新聞 | 鹿児島,[],[]
諏訪之瀬島で爆発2回、噴煙は1100ｍまで上がる（南日本新聞）,https://news.yahoo.co.jp/articles/50ae2b4a410f464e83d296228eaa711def11aa97,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000004-minami-000-1-view.jpg?exp=10800,2024-12-24T08:30:21+09:00,2024-12-24T08:30:21+09:00,南日本新聞,minami,南日本新聞,164,噴煙を上げる諏訪之瀬島の御岳（資料写真） 鹿児島県十島村・諏訪之瀬島の御岳で２３日、午後１１時までに爆発が２回あった。福岡管区気象台によると、噴煙の高さは最大１１００メートル。噴石の飛散は確認されていない。噴火警戒レベルは２（火口周辺規制）。 【写真】〈関連〉諏訪之瀬島など九州の主な火山を地図で確認する 南日本新聞 | 鹿児島,[],[]
横綱になるために「一番厳しい部屋を選んだ」　全日本8強、幕下最下位格付け出し資格得た福崎真逢輝（樟南高）は藤島部屋へ　来春場所で初土俵〈一問一答あり〉（南日本新聞）,https://news.yahoo.co.jp/articles/e9836cf262d21202fdb686be163e8df5cb2474eb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241224-00000003-minami-000-1-view.jpg?exp=10800,2024-12-24T07:03:22+09:00,2024-12-24T07:03:22+09:00,南日本新聞,minami,南日本新聞,817,大相撲藤島部屋への入門が決まり笑顔を見せる樟南高の福崎＝２３日、同校 全日本相撲選手権で８強入りした鹿児島市の樟南高３年の福崎真逢輝＝まある＝（１７）が２３日、鹿児島市の同校で記者会見し、大相撲の藤島部屋へ入門すると発表した。春場所（３月・大阪）の新弟子検査を受け、初土俵を踏む予定。福崎は「横綱目指して頑張ります」と意気込んだ。 【写真】〈関連〉藤島親方（右）と握手を交わす樟南高の福崎真逢輝＝同校 福崎は鹿児島県奄美市名瀬出身で、身長１７２センチ、体重１４０キロ。低く速く動きながらの突き押しが持ち味で、今年８月の全国総体で個人３位、１０月の国民スポーツ大会で個人優勝した。 １２月の全日本相撲選手権では大学や社会人の強豪選手を倒し８強入り。大相撲の幕下最下位格付け出し資格を得た。 会見に同席した藤島親方（元大関武双山）は「攻めの姿勢が魅力。大相撲の世界でいろいろな人と稽古をして頑張ってくれると思う」と期待を寄せた。 ◇古里・奄美の応援でここまで来られた 大相撲の藤島部屋に入門が決まった福崎の一問一答は次の通り。 －なぜ藤島部屋を選んだのか。 「突きや押しが得意な武双山時代の藤島親方に、小さい頃から憧れていた。小学生だった頃から自分を気にかけてくれ、いい時も悪い時も全て知ってもらっている。部屋をいくつか見学した時に、一番厳しかったのも決め手になった」 －入門後の目標は。 「高校の先輩である元大関の若嶋津を超えて、横綱を目指す。人間としても応援、尊敬してもらえるようになりたい」 「大相撲に挑戦できることにわくわくしている。お金を稼げるようになったら、学校に送迎バスやトレーニング器具を寄付したい」 －古里・奄美への思い。 「（相撲が盛んな）奄美でなければ競技を始めていなかった。島の人たちの応援があってここまで来られた。低い姿勢でどんどん前に出て、見ている人が楽しめる相撲を取って恩返ししたい」 南日本新聞 | 鹿児島,[],[]
