headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
鹿児島県公安委「個人が特定されない形で一部開示可能」　捜査対象事案の事件記録を「不開示」とした県警の決定を取り消す（南日本新聞）,https://news.yahoo.co.jp/articles/a6a0805fccfdfd37a75d6f7b0a0d98746cadedd3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000011-minami-000-3-view.jpg?exp=10800,2024-11-25T23:15:22+09:00,2024-11-25T23:46:24+09:00,南日本新聞,minami,南日本新聞,498,（写真：南日本新聞社） 鹿児島県警の公文書開示を巡り、懲戒処分などを受けた職員のうち捜査対象となった事案の事件記録を、存否を明らかにせず不開示とした県警の決定について、県公安委員会が２５日までに「個人情報を不開示とし、個人が特定されない形で一部を開示することは可能」などとして、決定を取り消す裁決をしていたことが分かった。２０日付。 【関連】鹿児島県警職員が捜査対象になった事件記録の開示請求、存在の有無明らかにせず「不開示」としたのは「不当」 審査会が答申 札幌市の男性記者が２０２３年３月に開示請求していた。県公安委が記者に通知した裁決書によると「存否を明らかにしないで不開示とした決定は妥当ではなく、改めて開示、不開示を決定すべき」としている。 県警は記者の開示請求を受け、２３年５月に「個人情報や公共の安全に関する情報に当たる」などとして不開示の決定をした。記者は同７月、決定の変更を求め県公安委に審査請求。県公安委は同８月、県情報公開・個人情報保護審査会に諮問し、今年１０月の答申を踏まえ裁決した。 県公安委は取材に「個別の事案について回答できない」としている。 南日本新聞 | 鹿児島,[],[]
【動画あり】昔ながらの一本釣り　高級魚シマアジ漁始まる　「オスプレイ墜落の海」に冬の風物詩　屋久島（南日本新聞）,https://news.yahoo.co.jp/articles/a95e72c5a82cb215e9fa04ba91501ddc34c995b6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000010-minami-000-1-view.jpg?exp=10800,2024-11-25T21:25:21+09:00,2024-11-25T21:25:21+09:00,南日本新聞,minami,南日本新聞,463,シマアジをたもですくう漁師＝２５日、鹿児島県屋久島沖 屋久島の冬の風物詩、シマアジ漁が始まった。昔ながらの手巻きの一本釣り。穏やかな天候に恵まれた２５日、島南東部の安房港から２隻が出漁し、２～４キロの良形を中心に２０匹釣り上げた。１２月下旬まで続く。 【写真】釣り上げたシマアジを運ぶ漁師＝２５日、鹿児島県屋久島沖 適度に脂がのり、深みのある味わいが特徴。屋久島漁協によると島外出荷が主で、例年４００～５００キロ水揚げされる。県本土で１キロ１５００～２０００円、東京・豊洲市場では５０００円で取引されることもあるという。 漁歴約３０年の中島正道さん（６９）は「一本釣りに憧れるきっかけになった漁。出だしとしてはいい出来だ」と笑顔だった。 漁場は、昨年１１月の米軍機オスプレイ墜落の現場近く。事故を目撃し、搭乗員の救助・捜索にもあたった中島さんは「いまだにオスプレイが飛び続け、トラブルも続く。人命より作戦を優先しているようで残念だ」とも語った。 事故から１年の２９日、米軍は屋久島町役場で慰霊式を開く。 南日本新聞 | 鹿児島,[],[]
現場検証や事情聴取の結果、所有する自宅兼事務所に放火疑いで男を逮捕　鹿児島西署（南日本新聞）,https://news.yahoo.co.jp/articles/15964ca0fb31c991a331b27dbad048dc11c95b02,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000009-minami-000-2-view.jpg?exp=10800,2024-11-25T21:05:27+09:00,2024-11-26T15:09:42+09:00,南日本新聞,minami,南日本新聞,272,全焼した火災現場＝１３日午前３時２５分ごろ、鹿児島市小野町 鹿児島市で１３日、住家兼事務所１棟を全焼した火事で、鹿児島西署は２５日、非現住建造物等放火の疑いで、同市小野町、会社経営の男（６３）を逮捕した。 逮捕容疑は１３日午前２時ごろ、当時１人で寝泊まりしていた同市小野町の工事事務所に火を付け、鉄骨平屋住家兼事務所１棟２６平方メートルを全焼させた疑い。 同署によると、男は左腕と右太ももをやけどし入院していた。当初「中で寝ていた」と話していたが、１４日の現場検証の結果や、退院後の本人への事情聴取などで放火と判断した。 南日本新聞 | 鹿児島,[],[]
「もらった物だ」会社名義のスマホを質屋へ　業務上横領で逮捕の男、容疑を否認　鹿児島西署（南日本新聞）,https://news.yahoo.co.jp/articles/004ff4cc1aed21f55a0f72f3a3ef4560a0c6ca3f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000008-minami-000-1-view.jpg?exp=10800,2024-11-25T19:05:23+09:00,2024-11-25T19:05:23+09:00,南日本新聞,minami,南日本新聞,244,（写真：南日本新聞社） 鹿児島西署は２５日、業務上横領の疑いで、鹿児島市宇宿３丁目、配送業の男（２８）を逮捕した。逮捕容疑は、同市の別の建設会社に勤めていた２０２３年１２月下旬、業務のため貸与されていた同社所有のスマートフォン１台（時価１０万円相当）を同市の質店に数万円で入質した疑い。 同署によると、「（スマートフォンは）もらった物だ」と否認している。２４年５月、同社が「スマートフォンを持ち逃げされた」と同署に被害を届け出た。同社や質店への聞き込みで特定した。 南日本新聞 | 鹿児島,[],[]
種子島初のプロボディーボーダー、目指すはトップ、そして世界…南種子の20歳、長身164センチのダイナミックな演技で挑む（南日本新聞）,https://news.yahoo.co.jp/articles/412f47b2fe3a8c6eb767d3fb3fa52517c0100e56,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000007-minami-000-1-view.jpg?exp=10800,2024-11-25T17:04:22+09:00,2024-11-25T17:04:22+09:00,南日本新聞,minami,南日本新聞,676,種子島出身で初のプロとなった岡澤未來さん＝西之表市安城の鉄浜海岸 種子島出身で初めてのボディーボードのプロ選手が誕生した。南種子町中之上の岡澤未來（みく）さん（２０）。スピードとキレを武器に、今季から日本プロ連盟（ＪＰＢＡ）のツアーに参戦。「トッププロになって世界で戦いたい」と大志を抱く。 【写真】波に乗って華麗に技を決める岡澤未來さん＝西之表市安城の鉄浜海岸 鹿児島県西之表市出身。マリンスポーツが得意な両親の影響を受け、種子島中学校２年の時にのめり込んだ。２０２２年、種子島高校３年で初めて臨んだ全日本選手権は初戦敗退。しかし、社会人となった翌年に準優勝と飛躍し、プロ転向への手応えをつかんだ。現在は地元の宇宙関連企業に勤める。 女子プロ選手では長身に位置付けられる１６４センチ。ダイナミックで見栄えのいい演技が持ち味だ。波の斜面を滑り上がるようにして飛び出し、空中で体を１回転させて着水するエルロロが得意技。サーフィンと異なり、ボディーボードは腹ばいになるため、「波がより高く見えてスリルがある」と魅力を話す。 ６月のツアー初戦で上位進出を果たし、ＪＰＢＡのプロ公認を獲得。今季は全４戦に出場したが、表彰台には届かなかった。「スタミナや左右のバランスなど、上位との壁を感じた」とプロ１年目を振り返る。 とはいえ、全国の舞台に打って出てまだ３年。着実にステップアップを重ねており、伸びしろは計り知れない。「たくさんの人に応援してもらい、感謝の気持ちでいっぱい。みんなを楽しませる試合ができるよう頑張ります」と力強く誓った。 南日本新聞 | 鹿児島,[],[]
毎晩飲み歩き、逆上し殴る妻…「自分が耐えるしかない」 表に出にくい男性のDV被害、大切なのは「男らしさ」より「あなたらしさ」（南日本新聞）,https://news.yahoo.co.jp/articles/ffbf39bcbcb80e7efff2c8ca5355d8c0be76cd5d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000001-minamic-000-1-view.jpg?exp=10800,2024-11-25T11:42:22+09:00,2024-11-25T11:42:22+09:00,南日本新聞,minami,南日本新聞,1136,（イメージ） 配偶者らから暴力を受けた際、男性は女性に比べ周囲に相談できない傾向がある。男性が被害を受けるはずがないとの偏見や、弱みを見せられないとの意識が背景にある。支援に携わる鹿児島県内の関係者は「孤立化や被害の潜在化を避けるためにもまずは相談を」と呼びかける。 【写真】主な相談窓口の電話番号はこちら 「自分が我慢すればいいと思っていた」。約１０年前、妻の暴力を機に離婚した県内の男性（４３）は振り返る。当時、妻と小学生、園児の４人家族。夫婦仲は良好だったが、男性が県外に単身赴任する少し前から歯車が狂い始めた。 妻は毎晩のように飲み歩いた。週末帰るたび、ごみ袋の山が増え、子どもは痩せ細っていた。長期の休みを取り、話し合いを試みたが、妻は逆上。棒状の物で殴打され、包丁で切り付けられた。とっさに首付近を押さえると、妻は「首を絞められた」と主張した。 「こうなる前に防げたのでは」。自責や妻への情から、事件化はせず病院にも行かなかった。これが離婚調停で裏目に。妻の暴力を訴えたが、証拠がないと一蹴される。近くに住む両親から子育ての協力が得られるなどの理由で妻が親権を得た。男性は「力で勝る分、耐えるしかなかった。どうすれば良かったのか、今も答えが出ない」と語る。 ２０２２年に県が公表した男女共同参画に関する意識調査によると、男性の１０人に１人が配偶者などから暴力や嫌がらせを受けた経験があった。人格否定や人間関係の過度な制限などの「精神的な嫌がらせ・脅迫」が最多で、「身体に対する暴行」、「性的な行為の強要」が続いた。 暴力を相談できなかったのは６３％で、女性の５０％を上回った。理由は「自分にも悪いところがあると思った」が最も多く、「相談しても無駄」「恥ずかしい」「自分さえ我慢すればやっていける」も目立った。 相談機関の体制には偏りがある。県や市町村が設置するドメスティックバイオレンス（ＤＶ）などに関する相談窓口１９カ所のうち、男性専用があるのは２カ所。相談日は月１～２回と女性専用に比べ少ない。男女とも相談できる窓口は１７カ所あったが、名称が「女性相談」となっている所もある。 性別を問わず相談を受ける薩摩川内市の配偶者暴力相談支援センターは、相談者１人に男女のペアで対応する。担当者は「相談しやすい性別は人によってさまざま。同性間の被害も念頭に置く必要がある」。 県男女共同参画センター（鹿児島市）は年間１７００件前後の相談があり、男性が１５％程度を占める。瀬戸山由起子課長は「男だからと我慢したり、周囲から『弱音を吐くな』と言われたりして抱え込みがち。大事なのは男らしさではなく、あなたらしさ。少しの悩みでも相談して」と話した。 南日本新聞 | 鹿児島,[],[]
21日に緊急着陸した米軍オスプレイ、24日も駐機続く　奄美空港（南日本新聞）,https://news.yahoo.co.jp/articles/31edd74a1a927293f55006870788dd2abc13c532,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000006-minami-000-1-view.jpg?exp=10800,2024-11-25T10:15:22+09:00,2024-11-25T10:15:22+09:00,南日本新聞,minami,南日本新聞,348,奄美空港に駐機する米軍輸送機ＣＭＶ２２オスプレイ＝２２日、奄美市笠利 ２１日に奄美空港（鹿児島県奄美市笠利）に緊急着陸した米軍輸送機ＣＭＶ２２オスプレイ１機は、２４日も整備のため駐機を続けた。九州防衛局は離陸予定について「米側に確認中」としている。民間機への影響はないという。 【関連、動画あり】米軍オスプレイの飛来目撃相次ぐ奄美大島 集落は低空飛行のごう音や振動にさらされている 屋久島沖墜落から半年、原因も明らかにされない中で住民の不安は募る 防衛局によると、ＣＭＶ２２は２１日午後４時１分、飛行中に警告灯が点灯したため予防着陸した。事前の使用届はなかった。所属は、米カリフォルニア州サンディエゴのノース・アイランド海軍航空基地第３０艦隊兵站（へいたん）多任務飛行隊。 南日本新聞 | 鹿児島,[],[]
右折待ちの車と接触、通行人110番され20歳男の酒気帯び発覚（南日本新聞）,https://news.yahoo.co.jp/articles/77be67f2fd60371338fbe06ccdd5f4acf069d58c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000005-minami-000-2-view.jpg?exp=10800,2024-11-25T10:05:31+09:00,2024-11-25T10:12:31+09:00,南日本新聞,minami,南日本新聞,235,（写真：南日本新聞社） 鹿児島中央署は２４日、道交法違反（酒気帯び運転）の疑いで、曽於市末吉町深川、会社員の男（２０）を現行犯逮捕した。逮捕容疑は同日午前７時２５分ごろ、鹿児島市春日町の国道１０号で、基準値を超える酒気を帯び乗用車を運転した疑い。 南さつま署の30代巡査長が酒気帯び運転で停職1カ月 不祥事相次ぐ鹿児島県警、懲戒処分は今年4人目 同署によると、対向車線で右折待ちしていたワゴン車と接触事故を起こし、発覚した。通行人が１１０番した。 南日本新聞 | 鹿児島,[],[]
戦後、子どもたちがドングリの実をまき、苗を育てたお金で買った「どんぐりピアノ」。70年前のピアノは今でも澄んだ音色が響く（南日本新聞）,https://news.yahoo.co.jp/articles/6a6f0bca811e38e5843d1682c2efc4e530781d03,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000004-minami-000-2-view.jpg?exp=10800,2024-11-25T07:00:21+09:00,2024-11-25T23:47:41+09:00,南日本新聞,minami,南日本新聞,694,７０年前から引き継がれるどんぐりピアノのコンサート＝鹿児島県霧島市の三体小学校 鹿児島県霧島市牧園の三体小学校で、７０年にわたり引き継がれる古いグランドピアノを使ったミニコンサートが開かれた。１９５４（昭和２９）年、子どもたちがドングリの実をまいて苗を育てた収益で購入した「どんぐりピアノ」。児童や卒業生、地域住民ら約５０人が集まり、その澄んだ優しい音色に耳を傾けた。 【写真】〈別カット〉７０年前から引き継がれる「どんぐりピアノ」のコンサート＝鹿児島県霧島市の三体小学校 どんぐりピアノは終戦直後の物のない時代、三体小や旧三体中学校の児童生徒や地区住民らが協力し、近くの山からドングリの実２００キロを拾い集め、５万本のクヌギの苗木に育てた。それを植林して得た２９万円で購入した。 初めは三体中で使われたが、牧園中に統廃合された６９年ごろ三体小に移された。ピアノを購入するまでのエピソードが忘れられていた時期もあったものの、年１回調律するなど、今でも大切に管理されている。 コンサートは、どんぐりピアノの会会長で、ピアニストの入来慶子さん（３５）とトロンボーン奏者の松尾光祐さん（３４）が出演。クラシックやジブリメドレーなど計１１曲を披露。最後は全児童５人と卒業生が加わり「どんぐりピアノの歌」を合唱して締めくくった。 ６年の神田柊人さんは「昔の人たちが大変な思いをして残してくれた三体小学校の宝物」と笑顔。入来さんは当時ドングリを拾い集めた中学生の孫に当たり「古いピアノとは思えないほど、澄んだ爽やかな音色が鳴る。これからもこのピアノを弾いていきたい」と話した。 南日本新聞 | 鹿児島,[],[]
「九州発祥の地」宮崎県五ケ瀬町の祇園山…「古生代化石の聖地」と言われるだけあり、土砂崩れ跡にはサンゴ化石がごろごろと（南日本新聞）,https://news.yahoo.co.jp/articles/ce4c8d59429e864264f8e4045627de648728bab3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000003-minami-000-2-view.jpg?exp=10800,2024-11-25T06:30:22+09:00,2024-11-25T10:31:31+09:00,南日本新聞,minami,南日本新聞,1036,クサリサンゴ（季刊奇蟲編集長・外村康一郎さん提供） ■サラリーマン化石ハンター・宇都宮聡さん 【写真】ハチノスサンゴ（季刊奇蟲編集長・外村康一郎さん提供） 今回は恐竜のいた時代よりずっと古い、古生代という時代の話です。九州山地のほぼ中央、宮崎県五ケ瀬町に祇園山（１３０７メートル）という石灰岩でできた、美しい姿の山があります。一見、何の変哲もない山ですが、太古の地殻変動で九州が誕生したとき最初に海面から“顔”を出した「九州発祥の地」と言われています。私たち化石を研究する者にとっては「古生代化石の聖地」です。 祇園山は、今から４億数千万年以上昔の古生代シルル紀という時代に、赤道近く、南方の浅く暖かい海で堆積した石灰岩で形成されたものが、プレートの動きに伴い、数千キロも北上したと考えられています。 シルル紀の岩塊（がんかい）は、規模の大小はあるものの、日本各地、北は関東山地から、紀伊半島、四国、九州まで、小窓のように点在しています。産地を線でつなぐと、東西千キロもの長さの細い帯状の断層が浮かび上がります。この帯は、最初に地質研究された場所、黒瀬川村（現・愛媛県西予市城川町）にちなみ、黒瀬川構造帯と名付けられています。 祇園山からは、蜂の巣のような六角形の横断面を見せるハチノスサンゴ類や、長いチェーンが連なる形状のクサリサンゴの化石が見つかります。これらは小さなサンゴチュウがすむ小部屋が、床板で仕切られながら積み重なったマンションのような集合体で、床板（しょうばん）サンゴと呼ばれています。 私が初めて祇園山に入ったのは１９９７年。直前に九州を襲った台風の影響で大規模な土砂崩れがあり、サンゴ化石がごろごろ転がっていました。その微細で美しい構造のとりこになり、足しげく通うようになった結果、９８年に新種の床板サンゴを発見。シリンゴポーラ・ウツノミヤイと名付けられました。祇園山には未知の床板サンゴ化石が眠っているのです。 【プロフィル】うつのみや・さとし １９６９年愛媛県生まれ。大阪府在住。会社勤めをしながら転勤先で恐竜や大型爬虫類の化石を次々発掘、“伝説のサラリーマン化石ハンター”の異名を取る。長島町獅子島ではクビナガリュウ（サツマウツノミヤリュウ）や翼竜（薩摩翼竜）、草食恐竜の化石を発見。２０２１年１１月には化石の密集層「ボーンベッド」を発見した。著書に「クビナガリュウ発見！」など。 (連載「じつは恐竜王国！鹿児島県より」） 南日本新聞 | 鹿児島,[],[]
1期目の実績「待機児童ゼロ実現」「公共施設オンライン予約導入」、業界団体や企業からの推薦…鹿児島市長に下鶴氏再選　市議補選は立憲民主元職の松尾晴代氏が当選（南日本新聞）,https://news.yahoo.co.jp/articles/268dfa859be9382a17778969404a0a5377bc301d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241125-00000002-minami-000-1-view.jpg?exp=10800,2024-11-25T06:03:22+09:00,2024-11-25T06:03:22+09:00,南日本新聞,minami,南日本新聞,780,当選を確実にし、花束を手に笑顔を見せる下鶴隆央さん＝２４日午後８時１２分、鹿児島市東千石町 任期満了に伴う鹿児島市長選と市議補選（欠員１）は２４日投開票され、市長選は現職の下鶴隆央氏（４４）＝無所属＝が新人で元市議の桂田美智子氏（７１）＝同、共産推薦＝との一騎打ちを制し、再選を果たした。投票率は２７．２１％で、前回２０２０年の３８．１６％を１０．９５ポイント下回った。 【関連】「全ての世代に選ばれるまちをつくる」思い新たに下鶴隆央さん 有権者7割以上の棄権に「市政の取り組みを丁寧に伝える」 鹿児島市長選 下鶴氏は待機児童ゼロ実現や公共施設オンライン予約導入など１期目の実績をアピール。人口減少時代にも「選ばれるまち」をつくると訴え、デジタル化推進による稼ぐ力向上、県や民間と連携した「オール鹿児島」でのサッカースタジアム整備などを掲げた。業界団体や企業から約２６０件の推薦を得たほか、県議時代からの人脈を生かし、草の根選挙で支持を広げた。 桂田氏はスタジアム整備の民間主導への転換を中心に、福祉の充実を訴えた。出馬正式表明が告示の約２週間前と出遅れ、知名度を高められず、主張を浸透させられなかった。 投票率は、１９５５（昭和３０）年以降で最低だった前々回２０１６年の２５．００％を上回ったものの、０８年の２５．４７％に次ぐ過去３番目の低さだった。明確な対立軸がなく、共産以外の県内政党が候補者推薦をしなかったこともあり関心が高まらなかったとみられる。 ◇ 元職２と新人３の計５人立候補した鹿児島市議補選は、立憲民主元職の松尾晴代氏（５０）が当選した。 当日有権者数は４８万８９１７人（男２２万３１２３人、女２６万５７９４人）。市長選の投票者総数は１３万３０３７人。市議補選の投票者総数は１３万２９８３人で投票率２７．２０％だった。 南日本新聞 | 鹿児島,[],[]
