headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
米軍オスプレイ　今月１４日以降、飛行再開の方針　九州防衛局は鹿児島県に説明も時期は明言せず（MBC南日本放送）,https://news.yahoo.co.jp/articles/42404cff81e4ae0f39900b5dd3099d3abc5d0c9e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070359-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-13T19:45:00+09:00,2024-03-13T19:46:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,444,\nMBC南日本放送\n屋久島沖での墜落事故を受け、飛行を停止しているアメリカ軍のオスプレイについて、軍は早ければ今月１４日以降、飛行を再開させる方針であることが分かりました。\n\n屋久島沖では去年１１月、アメリカ軍のオスプレイが墜落して、乗員８人全員が死亡しました。軍はこの事故を受けて、全世界のオスプレイの飛行を停止しています。\n\n関係者によりますと、アメリカ軍はオスプレイについて、あす１４日以降、飛行を再開させる方針を日本政府に伝えたということです。具体的な飛行の再開時期については、海軍、海兵隊、空軍でそれぞれ決定します。\n\n１３日夕方、九州防衛局の次長らが鹿児島県庁を訪れ、アメリカ軍のオスプレイの飛行再開について説明しましたが、具体的な時期については明言しませんでした。\n\nＱ．あすにも飛行の再開と報じられているが？\n\n（九州防衛局 池田眞人次長）「公式にはそういう情報には触れていない。我々からは何も申し上げることはない」\nMBC南日本放送 | 鹿児島,[],[]
西郷隆盛と糸子の三男・酉三の写真　異母兄弟・菊次郎と撮影「父のような軍人を目指していたのでは」（MBC南日本放送）,https://news.yahoo.co.jp/articles/9e69b38ee55b3212f89e1a7f1546a368a1e96723,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070357-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-13T19:34:00+09:00,2024-03-13T19:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,530,\nMBC南日本放送\n西郷隆盛の子どもが写った新たな写真が見つかりました。明治２５年１８９２年に撮影されたものとみられます。\n\n西郷隆盛と２人目の妻・愛加那との間に生まれた長男・菊次郎。隣に座っているのが３人目の妻・糸子との間に生まれた三男・酉三です。\n\n写真の裏に酉三の直筆と思われるサインがあり、西郷が西南戦争で亡くなった１５年後の明治２５年＝１８９２年、菊次郎が３１歳、酉三が２０歳の時に東京で撮影したものとみられます。\n\n菊次郎のひ孫にあたる福岡県在住の諌山尚子さんが保管していた写真を、依頼を受けた歴史研究家の原田良子さんが分析し、発表しました。\n\n酉三については、これまでその姿や詳しい経歴があまり知られていませんでしたが、今回、兄の午次郎とともに、陸軍士官学校への進学を目指す私学として設立された「成城学校」を途中で退学していたことも判明したということです。酉三は北海道鉄道の事務員でしたが、結核を患い３１歳で亡くなりました。\n\n原田さんは「西郷と糸子の間に生まれた３人全員が陸軍士官を目指していたことが分かった。陸軍大将だった父・西郷と同じ道を期待されていたと推察される」と話していました。\nMBC南日本放送 | 鹿児島,[],[]
サクラサク、イェーイ！　公立高校で合格発表「吹奏楽がんばる」「女子一期生がんばる」 鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/a008b52e0d83b93ad71c95a8938afaa0464de9a2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070361-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-13T19:48:00+09:00,2024-03-13T19:48:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,748,\nMBC南日本放送\n鹿児島県内の公立高校では１３日、合格発表がありました。\n\n鹿児島市の錦江湾高校では、午前１１時から合格者の番号が貼り出されました。受験生や保護者は番号を見つけると、写真を撮るなどして喜びを分かち合いました。\n\n（受験生）\n「めちゃくちゃうれしい。勉強頑張るのと吹奏楽部に入って頑張りたい」\n\n「うれしいです」\n「（母親）すごくうれしい。一生懸命がんばってたもんね」\n\n「自分のできることが（発揮）できてよかった。この学校で頑張る」\n\n一方、鹿児島商業高校は、公立の商業高校では全国で唯一の男子校ですが、志願者の減少を受け、新年度から男女共学になります。この春の入学者は２８０人で、このうち女子は７５人です。\n\n（受験生）\n「体験に来た時に先輩たちが優しくて、入ろうと思った。（女子）一期生なので、歴史に残るような良い態度で頑張りたい」\n\n「男女共学になったので受験した。うれしい。部活も勉強も恋愛も全部できたらいいな」\n\n「父が鹿商だったので同じ学校に入学できるのがうれしい。（中学では）コロナと校舎の建て替えで体育祭がなかったので、体育祭が楽しみ」\n\n合格を喜んだのは、在校生も。\n\n「女の子がいたので、これから変わるなと思った。体育祭ではすぐ脱げなくなると思うが、女の子の応援の声があると力になると思う」\n\n「困っていたら積極的に声をかけて助けてあげて、すぐ鹿商に馴れてもらえるよう努力したい」\n\n鹿児島商業高校の倍率は、去年はおよそ０．５倍と定員割れしていましたが、今年は全ての学科で１．２倍を超えました。\n\n公立高校の二次募集の試験は今月２１日で、合格発表は今月２２日です。\nMBC南日本放送 | 鹿児島,[],[]
早咲きのヨウコウザクラ　下向きだけど陽の光浴びて可憐に　濃いピンク満開（MBC南日本放送）,https://news.yahoo.co.jp/articles/d4ea1e89c08570cfbf89a6f88648da01a4741ab2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070362-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-13T19:53:00+09:00,2024-03-13T19:53:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,387,\nMBC南日本放送\n鹿児島県内では連日サクラの便りが届き始めています。気持ちのいいお天気だった１３日、鹿児島市で早咲きのサクラが見頃を迎えました。\n\n（レポーター）「鹿児島市のふれあいスポーツランドです。雲一つない青空の下、鮮やかなピンクが美しいです」\n\n鹿児島市のふれあいスポーツランドでは、１２種類のサクラを楽しむことができます。１３日は、早咲きの「ヨウコウザクラ」が見頃を迎えていました。\n\n濃いピンク色で下向きに咲くという特徴がある陽光桜。名前の通り、陽の光を浴びながら咲く満開のサクラに、散歩している人たちも思わず上を見上げていました。\n\n（散歩していた人）「きれいですね～ピンクで。お弁当持って来たい、サクラの木の下で」\n\nふれあいスポーツランドのヨウコウザクラは、今月下旬まで楽しめそうだということです。\nMBC南日本放送 | 鹿児島,[],[]
海上でうつぶせで浮いている男性見つかる　死亡を確認　ライフジャケット着用なく　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/acbecd7be3ad7eb13377f6a618729f24e7d74800,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-13T21:05:00+09:00,2024-03-13T21:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,391,\n肝付町の南東、約１１キロの海上で１３日、うつ伏せの状態で浮いた男性が見つかりました。\n\n海上で見つかったのは東串良町池之原に住む左官業・柳原和男さん（６７）です。\n\n肝付警察署によりますと、肝付町南方の南東、約１１キロの海上で１３日午前１１時４０分ごろ、志布志海上保安署の巡視艇がうつ伏せの状態で浮いている柳原さんを発見しました。\n柳原さんは船に引き揚げられましたが、その場で死亡が確認されました。\n\n親族によると１２日に柳原さんと連絡が取れなくなったことから行方不明届を出していて、志布志海上保安署や警察などが捜索していました。\n発見時、柳原さんはライフジャケットを着用していなかったということです。\n\n警察は親族の話などから柳原さんは釣りに出かけた際に何らかの原因で流された可能性もあるとみて原因や死因などを調べています。\nMBC南日本放送 | 鹿児島,[],[]
金箔大島に「あげ～」伝統工芸に新風　生産量１００分の１に紬職人の一手は？　世界三大織物「大島紬」（MBC南日本放送）,https://news.yahoo.co.jp/articles/872dc7e75361886e12c165506f0e52443e310827,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070356-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-13T19:23:00+09:00,2024-03-13T19:23:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1793,\nMBC南日本放送\n「世界三大織物」の一つといわれる伝統工芸品の大島紬。着物離れなどを背景に、その生産数は全盛期の１００分の１に落ち込み、職人の高齢化にも歯止めがかかっていません。\n逆境からのＶ字回復を果たそうと、職人たちが打ち出した一手とは？\n\n\n泥で染めた生地に金箔をのせた「太陽」。藍染めの生地に銀箔をあしらった「月」。いずれも奄美で受け継がれてきた大島紬です。\n\n若者にも受け入れられるモダンなデザインにこだわり、１１人の若手職人が立ち上げたブランドは、その名も「ａｇｅ！！」。\n\n（プロジェクトに参加 加工職人・南晋吾さん）「『あげ～』は方言で驚いたときに発する言葉」\n\n一般的な大島紬は「男物」と「女物」に仕立てられますが、「ａｇｅ！！」は性別にとらわれないデザインが特徴です。\n\n（プロジェクトに参加 加工職人・南晋吾さん）「長い間着られる無難なデザインが多い。斬新なデザインも取り入れながら販売につなげたい」\n\nお披露目されたのは東京・日比谷のギャラリーです。高級路線を打ち出す一方、古典的な柄の紬の生地を風呂敷にアレンジする試みも。型にとらわれない発想が生まれたのは、業界への危機感からです。\n\n奄美での大島紬の生産量は和装需要の低迷などを背景に、おととしは３０００反を割り込み、全盛期だった１９７２年の１００分の１に減りました。\n\n（締め職人・元允謙さん（４２））「これからの後継者不足を考えると、選びたいと思う職業でなければいけない。面白そうと思ってもらえる。しっかり売れてお金に変わることで、より魅力的になる」\n\n会場で機織りを実演するのは、中川裕可里さん（３４）。プロジェクトを立ち上げた職人の一人です。\n\n（織り職人・中川裕可里さん）「実際に織るところを見てもらったほうが緻密さを知ってもらえる」\n\nアトリエは奄美ではなく、神奈川県の相模原市です。１日に織り進められる生地は１５センチから２０センチ。３か月かけて１反を仕上げます。\n\n（織り職人・中川裕可里さん）「祖母の着物を借りて（着付けを）練習していた中に１枚、とても軽いものがあった。なんだこれはと衝撃を受けた。６時間から８時間織って、手のひら一杯分ぐらい」\n\n店頭での販売価格は１００万円を超える高級品ですが、中川さんが手にするのは…\n\n（織り職人・中川裕可里さん）「この柄で１０万円ぐらい。なので、生活ができない」\n\n着物好きが高じて２３歳のとき、奄美大島へ移住し、紬を織っていましたが、収入が安定せずに３年半後、実家がある神奈川に戻りました。\n\n（織り職人・中川裕可里さん）「帰るつもりはなく奄美に行ったが、アルバイトをしても貯金を崩しながらの生活」\n\n紬ファンを増やしたいと、アトリエで体験会も開くことも。奄美大島出身の私も織ってみることに…\n\n（記者）「母も祖母も大島紬を織っていたが、自分で織るのは初めて」\n\n（織り職人・中川裕可里さん）「島の人こそ、生活できないのが分かっているのでやりたがらない」\n\n収入面に加えて、後継者不足も深刻です。奄美の組合に所属する昔ながらの手織り職人は、この１０年間で７６４人から半数近くの３９０人に減り、平均年齢は７２．４歳です。\n\n奄美を離れて８年。中川さんはコールセンターと飲食店のアルバイトをかけ持ちしながら、奄美大島の織元に依頼され、機織りを続けています。\n\n\n中川さんたちが企画した新作の展示会には、若い世代の姿もありました。\n\n（職人志望の女性（２２））「新しい時代にぴったりな着物。今はパートをしているが、いずれは職人をやりたいと思っている」\n\n職人の卵が熱い視線を送るのは、機を織る中川さんです。\n\n（中川さんと職人志望の女性）\n「向こう（奄美）の方が織りやすい。奄美独特の湿気が」\n「Ｑ．こっちの湿気とは違う？」\n「向こうは重たくずっしりとくる」\n\n\n（織り職人・中川裕可里さん）「一回着てもらったら絶対好きになってもらうという思いがある。もう少し人気を取り戻してもらえるといいなという思いで織っている」\n\n職人たちが胸に秘めた思いは「アゲアゲ」。伝統産業の未来は暗くありません。\nMBC南日本放送 | 鹿児島,[],[]
住宅火災で２人死亡　亡くなったのは８０代夫婦と判明　鹿児島・日置市（MBC南日本放送）,https://news.yahoo.co.jp/articles/069a6ad8c9b5065c37a7fdb51dad142d939fed53,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070363-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-13T18:43:00+09:00,2024-03-13T18:43:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,281,\n鹿児島県日置市で１２日未明、住宅１棟が全焼し、焼け跡から２人が遺体で見つかった火事で、亡くなったのは、この家に住む８０代の夫婦と判明しました。\n\n１２日午前３時ごろ、日置市吹上町の今村義三さん（８１）の住宅から出火、木造平屋住宅が全焼し、焼け跡から２人が遺体で見つかりました。\n\n火事のあと今村さん夫婦と連絡が取れなくなっていましたが、警察で遺体の身元の確認を進めた結果、亡くなったのは今村さんと妻の正代さん（８５）と判明しました。\n警察で火事の原因を調べています。\n\n※今村さんの「今」は、「ラ」ではなく「テ」\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070363-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/069a6ad8c9b5065c37a7fdb51dad142d939fed53/images/000']
定数４５に６４陣営が立候補準備　鹿児島市議選　４月７日告示１４日投開票（MBC南日本放送）,https://news.yahoo.co.jp/articles/4038f71d1b01cca85c6b6a2463bd11f2e623babb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070353-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-13T19:13:00+09:00,2024-03-13T19:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,388,\nMBC南日本放送\n鹿児島市議会議員選挙は来月７日告示、１４日投票です。１３日は立候補予定者説明会が開かれました。定数４５に対し、６４の陣営が立候補を模索しています。\n\n１３日に開かれた鹿児島市議選の説明会には、６４陣営が出席しました。内訳は現職が３４人、元職が１人、新人が２９人です。\n\n【政党別】\n自民党 現職１６人、新人５人 計２１人\n公明党 現職３人、新人３人 計６人\n共産党 現職３人\n立憲民主党 現職２人、新人３人 計５人\n社民党 現職２人\n国民民主党 現職１人\n日本維新の会 新人３人\n参政党 新人１人\n無所属 現職７人、元職１人、新人１４人 計２２人\n\n鹿児島市議選の投票率は、前回の２０２０年は３７．３２％と、過去最低を更新しました。市民の選挙への関心をどう高めていくかも課題となりそうです。\nMBC南日本放送 | 鹿児島,[],[]
国宝・霧島神宮で御田植祭　田植えの準備をユーモラスな神事で（MBC南日本放送）,https://news.yahoo.co.jp/articles/6015b1d8abb55bcbb1e00955d504e36458e1c510,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070352-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-13T19:15:00+09:00,2024-03-13T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,382,\nMBC南日本放送\n鹿児島県霧島市の霧島神宮では、五穀豊穣を願う「御田植祭」が行われました。\n\n一年の五穀豊穣を願う「御田植祭」は、旧暦の２月４日に開かれます。霧島神宮では、田んぼに見立てた一角で、田植えまでの準備を描いた神事がありました。\n\n地元の氏子がシイの木の枝を「肥料」としてまいた後、翁と媼が暴れまわる牛に苦戦しながらも、ユーモラスな会話を交えながら田んぼを耕しました。\n\nそして、神職がモミや苗に見立てたサカキを撒くと、大きなしゃもじを持った田の神が登場し、「一生懸命働く人には豊作を約束する」と口上を述べました。\n\n撒かれたモミやサカキは縁起物とされ、訪れた人たちが拾い集めていました。\n\n（訪れた人）\n「自宅の神棚に飾ったり、他の人にもおすそわけをする」\n「すごくうれしい。大事にします」\nMBC南日本放送 | 鹿児島,[],[]
奄美大島近海で地震　奄美市などで最大震度２　津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/2268bb342cf514e7bd68a16899135e32f279faf1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00257838-mbcnewsv-000-2-view.jpg?exp=10800,2024-03-13T16:12:00+09:00,2024-03-13T16:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,178,\n１３日午後４時０８分ごろ最大震度２の地震がありました。\n震源は奄美大島近海で震源の深さは約７０キロメートル。\n地震の規模を示すマグニチュードは４．４と推定されています。\n\n各地の震度は、\n震度２が奄美市、喜界町、\n震度１が大和村、宇検村、瀬戸内町、天城町、\nです。\nこの地震による津波の心配はありません。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00257838-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/2268bb342cf514e7bd68a16899135e32f279faf1/images/000']
九州新幹線部分開業から２０年　変貌遂げた陸の玄関口「鹿児島中央駅」のこれから（MBC南日本放送）,https://news.yahoo.co.jp/articles/4411f0207c87573ed497efa05a6282dd3bcae78e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-00070355-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-13T19:20:00+09:00,2024-03-13T19:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1715,\nMBC南日本放送\n鹿児島中央駅と熊本の新八代駅の間で九州新幹線が部分開業して、きょう３月１３日で２０年です。部分開業を機に、鹿児島の陸の玄関口へと成長した鹿児島中央駅周辺。この２０年間で大きく変わりました。\n\n鹿児島、熊本、福岡を結ぶ九州新幹線。２００４年に部分開業した鹿児島中央と熊本の新八代の間は、先月までの２０年間でおよそ８１７４万人が利用しました。\n\n２００４年３月１３日、当時の「西鹿児島駅」は「鹿児島中央駅」に名前が変わり、九州新幹線が部分開業しました。博多まで、それまでより１時間半短縮され、最速２時間１０分で行けるようになり、２０１１年の全線開業後の現在は、最短１時間１６分で結びます。\n\n今月９日、鹿児島中央と新八代の間が１日乗り放題で、ドリンク券やグッズがついた切符が販売され、多くの新幹線ファンが２０周年を祝いました。\n\n（熊本から）「開通した時にときどき使っていた。初めて乗るときにすごく速くてびっくした」\n\n（県内から親子３世代で）「新幹線に子どもが乗るのが初めてなので、皆で一緒に乗れるのが楽しみ」\n\n（鹿児島市から）「開業したての頃に抽選で当たって乗った。子どもが新幹線が好き」「たのしみ！」\n\n新幹線「つばめ」の名付け親で、当時７歳だった永崎ちひろさんと、２０年前の駅長・中村修さんも再会し、あの日と同じように一緒に出発の合図を出しました。\n\n（「つばめ」名付け親・永崎ちひろさん）「２０年ぶりに同じつばめを送り出せたことは感慨深い。耐えてはいたが、涙も出そうになった。２０年間つばめが羽ばたいていて、私も札幌で演劇活動していて、同じく羽ばたいていけたら」\n\n（部分開業当時の鹿児島中央駅駅長 中村修さん）「ちひろちゃんを見て２０年経ったんだと感じた。当時を鮮明に思い出し感慨深いものがあった」\n\n\n（庵下龍馬さん）「ここで部分開業の時は商売していた。県外の客が数か月は来たので、そこそこ店にとってはよい効果がでた」\n\n当時を振り返るのは庵下龍馬さん（７２）です。飲食店などおよそ４０店が並ぶ駅前の一番街で、土産物店の２代目として商売をしていました。\n\n新幹線の開業前、生まれ育った商店街はバブル崩壊後の不況で、シャッターを閉める店が目立っていました。\n\n（一番街商店街振興組合 庵下龍馬さん）「商店街は疲弊していく時期だった。一番街の奥に行けば行くほどシャッター街になるのではと厳しい時期。部分開業が本当に現実化した時、空き店舗がだんだんと埋まりだした。商店街としては部分開業に期待が大きかった」\n\n鹿児島中央駅周辺では、新幹線の部分開業から半年後に「アミュプラザ鹿児島」がオープンしたのを皮切りに、ホテルなどが入る「鹿児島中央ターミナルビル」や２０２１年に一番街商店街の入口の再開発ビルに「Ｌｉ－Ｋａ１９２０」、西口では去年、ＪＲ鹿児島中央ビルが開業し商業施設「ＡＭＵＷＥ」がオープンするなど、この２０年で続々と再開発が進みました。\n\n今後も西口ではマンション建設が進められ、関係者によりますと、一番街商店街にある再開発ビルにはディスカウントストアの「ドン・キホーテ」の出店も計画されています。\n\n鹿児島中央駅の乗車数の１日平均は、部分開業で２０００人以上、全線開業で３０００人ほど増加し、コロナ禍で一時６０００人ほど落ち込んだものの、回復傾向にあります。\n\n庵下さんは再開発だけでなく、新幹線の利用客に市内を回遊してもらえる「魅力あるまちづくり」が必要だと話します。\n\n（一番街商店街振興組合 庵下龍馬さん）「鹿児島中央駅の強みは通過駅じゃない。終点でもあり始発でもある。必ずここで降り立って町を散策してもらえるチャンスを持った駅だと思っているので、商店街も中央駅周辺の町もまだまだ工夫すれば活気づく」\n\n鹿児島の交通の利便性を大きく変え、新たな観光客を呼び込んだ新幹線の部分開業から２０年。時代とともに変化する人の流れをこれからのまちづくりにどう生かしていくかが問われます。\nMBC南日本放送 | 鹿児島,[],[]
