headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
きょう１４日はホワイトデー「予算無限」「家族で仲良くできたら」男性客でにぎわう菓子売り場・生花店も　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/1a2f9e2e73d94c457cb85745d6b24b38dcc8e37f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070379-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-14T19:14:00+09:00,2024-03-14T19:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,739,\nMBC南日本放送\nきょう３月１４日はホワイトデーです。鹿児島県内のデパートや生花店は、お返しのプレゼントを求める客が多く見られました。\n\n鹿児島市の山形屋地下にあるお菓子売り場です。ホワイトデー向けのチョコレートやケーキなどが並びます。\n\n正午ごろ。会社の昼休みに合わせて、スーツ姿の男性客が続々と。\n\n山形屋では今年、さまざまな種類のチョコレートが入った詰め合わせ商品が人気で、１０００円から２０００円ほどの商品が売れ筋だといいます。\n\n（妻へ）「奥さんがチョコレートが好きなのでチョコレート返しをしようかなと。あげたけど自分でも食べようと思う。（Ｑ．予算は？）無限です」\n\n（妻へ）「バームクーヘンを買った。（Ｑ．いつもホワイトデーは贈っている？）とりあえずはやっている。記念日なので、そういう時じゃないとお返しもできないので」\n\n（妻と２人娘へ）「妻をイメージしたものを買った。（娘には）味より見た目が目がかわいいものを買おうと思う。お互い贈って贈られて家族仲良くできたらいいと思う」\n\nホワイトデーの定番と言えば「花」も。\n鹿児島市住吉町のこちらの生花店では１４日、カナダ出身の男性が店を訪れ、日本のホワイトデー文化を楽しんでいました。\n\n（妻と義母へ）「（カナダの）ホワイトデーは雪の日のこと、日本のホワイトデーはない、喜んでほしい、ハッピーホワイトデー」\n\n一番人気は、予算や好みに合わせて作るブーケ。ホワイトデー当日は例年、夕方から駆け込み客で忙しくなるそうです。\n\n（フローリスト飾り屋 下田平ひろみチーフ）「その人の人生や家庭を温かくする花かと思うと一生懸命お手伝いしたいと思う」\nMBC南日本放送 | 鹿児島,[],[]
保育園で“すりおろしたリンゴ”食べて６か月女児死亡　事故検証委が２２日に最終報告書提出へ（MBC南日本放送）,https://news.yahoo.co.jp/articles/f48a2def641028208441e1e4876bd415282781f3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070380-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-14T19:16:00+09:00,2024-03-14T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,478,\nMBC南日本放送\n鹿児島県姶良市の保育園で去年、園児がすりおろしたリンゴを食べたあと体調が急変し、死亡した事故です。市の検証委員会が、再発防止策を盛り込んだ最終報告書を来週２２日、湯元市長に提出することになりました。\n\nこの事故は去年４月、姶良市の「興教寺保育園」で、当時６か月の女の子がすりおろしたリンゴをおやつとして与えられたあと体調が急変し、窒息による多臓器不全でおよそ４０日後に死亡したものです。\n\n事故を受けて、市は去年６月、検証委員会を立ち上げ、検証委員会は今年１月の中間報告で、女の子が食べ物を詰まらせた原因について「究明は難しい」との認識を示していました。\n\n市によりますと、検証委員会は来週２２日に湯元市長に最終報告書を提出することになり、報告書には、リンゴなどの果物は加熱するよう求める国のガイドラインの徹底をはじめとした再発防止策が盛り込まれるということです。\n\n姶良市は、最終報告書が湯元市長に提出された後、その内容を市のホームページで公開するほか、県にも報告するとしています。\nMBC南日本放送 | 鹿児島,[],[]
「早すぎるんじゃないか」３か月ぶりにオスプレイ運用再開　九州防衛局が屋久島町・鹿屋市に説明（MBC南日本放送）,https://news.yahoo.co.jp/articles/ac3856c5e656aae5bb6e7152d0b1c5948ecbcbd1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070382-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-14T19:20:00+09:00,2024-03-14T19:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,620,\nMBC南日本放送\n屋久島沖での墜落事故を受け、全世界で飛行を停止していたアメリカ軍のオスプレイがきょう１４日、およそ３か月ぶりに沖縄で飛行を再開しました。防衛省の担当者が鹿児島県の屋久島町や鹿屋市を訪れ、再開について説明しました。\n\nアメリカ軍のオスプレイは、屋久島沖で去年１１月、乗員８人全員が死亡した事故を受け、全世界のオスプレイの飛行を停止していましたが、今月１４日、およそ３か月ぶりに沖縄県の普天間基地で飛行を再開しました。\n\n防衛省九州防衛局は１２日に続き、１４日も屋久島町を訪れ、役場と漁協に、オスプレイが１４日以降、飛行を再開することや現場海域の水質調査などについて伝えました。これに対し、漁業関係者からは、飛行再開に「早すぎる」との声が出ました。\n\n（屋久島漁協 羽生隆行組合長）「水質調査は終わっていないし、まだ補償もされていない。（飛行再開は）早かったと思う」\n\nまた、鹿屋市役所にも九州防衛局の担当者が訪れ、中西茂市長と面会しました。\n\n（鹿屋市 中西茂市長）「８日に解除を決定し、１４日から再開というのは早いなという気がする」\n\nこのように述べた上で、今後、詳細な情報提供を九州防衛局に求めたことを明らかにしました。\n\n日本国内では、アメリカ軍のほかに、陸上自衛隊もオスプレイ１４機を運用していて、防衛省は１４日以降、飛行を再開すると発表しています。\nMBC南日本放送 | 鹿児島,[],[]
被害女性は７人…強盗・強制性交等の罪　男に懲役１６年「通り魔的犯行で常習性が認められる」　鹿児島地裁（MBC南日本放送）,https://news.yahoo.co.jp/articles/195fc95e57a6f797cf271834d4a61cc65e3dd0ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070381-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-14T19:18:00+09:00,2024-03-14T19:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,384,\nMBC南日本放送\n複数の女性に性的暴行を加えた上、金を奪った罪などに問われていた男に対し、鹿児島地方裁判所は１４日、懲役１６年の実刑判決を言い渡しました。\n\n判決を受けたのは、住所不定の無職・山本健太被告（２６）です。\n\n判決によりますと、山本被告は２０２０年１０月からおよそ２年の間に、県内の路上などで１０代から２０代の７人の女性に対し、性的暴行やわいせつな行為をして、けがをさせるなどしたほか、このうち２人からは現金最大６０００円を奪ったものです。\n\n１４日の判決で、鹿児島地裁の小泉満理子裁判長は「通り魔的な犯行で、常習性が認められる。犯行は悪質で結果は重大」として、懲役２２年の求刑に対し、懲役１６年の実刑判決を言い渡しました。\n\n弁護側は控訴するかどうかについて、「被告と話し合って決める」としています。\nMBC南日本放送 | 鹿児島,[],[]
「お金がほしくて」野菜の無人販売所で現金１９００円入った料金箱盗んだ疑い　鹿児島市の無職（７２）逮捕（MBC南日本放送）,https://news.yahoo.co.jp/articles/7319c8e8124b279994d9be04a1a51d4ef4d69411,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070383-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-14T19:54:00+09:00,2024-03-14T19:54:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,298,\n鹿児島県薩摩川内市の無人販売所から、現金の入った料金箱を盗んだ疑いで、鹿児島市の無職の男が現行犯逮捕されました。\n\n窃盗の疑いで逮捕されたのは、鹿児島市上竜尾町の無職の男（７２）です。\n\n薩摩川内警察署によりますと、男は今月１４日午後２時半すぎ、薩摩川内市内にある農作物の無人販売所から現金１９００円が入った料金箱を盗んだ疑いです。\n\n現場では以前から同様の被害が続いていて、警察が警戒にあたっていたところ、男が犯行に及んだため、その場で現行犯逮捕しました。\n取り調べに対し「金がほしくて盗んだことは間違いない」と容疑を認めているということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070383-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/7319c8e8124b279994d9be04a1a51d4ef4d69411/images/000']
２０３０年の人手不足「鹿児島は６．７万人」シンクタンクが推計（MBC南日本放送）,https://news.yahoo.co.jp/articles/c61726e86453d65102932abf694b48442ee61d98,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070376-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-14T19:08:00+09:00,2024-03-14T19:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,556,\nMBC南日本放送\n今、様々な業種で課題となっている人手不足についてです。\n「鹿児島では２０３０年に、働き手が６万７０００人不足する」との推計を、民間シンクタンクが示しました。\n\n（九州経済調査協会調査研究部 片山礼二郎部長）\n「求人を出しても充足しないまま求人がたまっている」\n\n鹿児島市で１４日、人手不足をテーマに企業の経営者らが参加して開かれたセミナー。\n\n民間シンクタンク「九州経済調査協会」が人手不足の現状を示し、県内では２０３０年、６万７０００人の働き手が不足するという推計を紹介しました。\n\n九州では福岡県の１１万６０００人に次いで多く、人口１０万人以上の自治体でみると、鹿児島市で２万８００人、霧島市で４１００人、鹿屋市で３４００人が不足すると推計しています。\n特に医療や福祉関係の人手が足りなくなる恐れがあるということです。\n\n（九州経済調査協会調査研究部 片山礼二郎部長）\n「地域に愛着をもたらすのは地元の人たちとのかかわり。地元自治体が多文化共生の施策をどれだけ展開するか」\n\n九州経済調査協会ではこうした人手不足を克服するため、ＡＩやロボットを活用した省力化や、外国人を受け入れ、定着させる取り組みが必要と強調しました。\nMBC南日本放送 | 鹿児島,[],[]
砂浜にごみ、路上駐車…観光客回復も暮らしに影響　奄美の人気観光地が作った“独自ルール”（MBC南日本放送）,https://news.yahoo.co.jp/articles/9ae34d0b00122ab7441887dfdbc3bf6865810d75,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070375-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-14T19:06:00+09:00,2024-03-14T19:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1552,\nMBC南日本放送\n奄美大島では今、コロナ禍で落ち込んだ観光客が回復しつつあります。経済効果が期待できる一方で、今、問題なのがマナーを守らない観光客による暮らしへの影響です。\n観光と暮らしを両立するために、「独自のルール」をつくった集落があります。\n\n奄美大島・大和村の国直集落。１２０人ほどが暮らす小さな集落です。砕けたサンゴでできた白い砂浜が広がる国直海岸や、かつて防風・防火のために植えられ、今では人気の撮影スポットになっているフクギ並木。大和村で有数の観光地となっています。\n\n今月１０日、集落で開かれたウォーキング大会。島の内外からおよそ２００人が参加し、東シナ海を一望する宮古崎を目指しました。大会は、集落の住民が自分たちで運営し、参加者に手作りのカレーをふるまいました。\n\n（奄美市から参加）「集落がいろんな催しをして、奄美大島が活性化されていい」\n\n（大和村から参加）「集落の人たちで団結して協力してやることで、国直に来る機会が増えるので、とても素晴らしいと思った」\n\n奄美大島の観光客数は、２０１９年に５３万人と過去最多に。コロナ禍で落ち込んだものの、おととしは４１万人台に回復し、去年はこれをさらに上回ったとみられています。\n\n集落では、観光客の増加に伴って暮らしへの影響を心配する声もあがり、コロナ禍前の２０１９年に観光客向けの独自のルールをつくりました。\n\n車の運転は時速２０キロ以下でゆっくり走行する、午後１０時以降の花火は禁止するなど７つのルールです。\n\n集落では、訪れる観光客に看板を設置して呼びかけてきました。しかし…。\n\n「観光が賑わって活発な地域活動ができている中で、観光の負の面というのが出てきました」\n\n集落のウォーキング大会の後に開かれた、暮らしと観光の共存を考えるフォーラムでは、住民からルールが守られていない現状が報告されました。\n\n（集落の住民）「小さい集落なので歩くのに時間はかからない。（観光客が）車を狭い道路に止めると、車の行き来が困る。それらの（ルールは）守ってもらいたい」\n\n国直集落で行ったアンケート調査では、住民の８８％が観光客を歓迎する一方で、４７％が生活への影響を感じていると回答。\n\nその影響を見てみると、路上や砂浜のゴミの増加が２９％、スピードの出しすぎや路上駐車などの交通ルールの違反が２４％、騒音が１８％でした。\n\nこの日のフォーラムでは、ルールを守ってもらうため、ＱＲコードなどでルールを確認できる仕組み作りを求める意見も上がりました。\n\n（観光客）「海のようにルールを守ってもらわないと水難事故とか起きてしまう。（ルールは）大事にしていきたい」\n\n集落での生活など体験型観光を企画するＮＰＯ法人ＴＡＭＡＳＵの代表で、住民へのアンケート調査を行った中村修さんです。\n\n（中村修さん）「ありきたりな景勝地を見るだけではなく、地域の人たちの暮らしぶりを知る。地域の人たちと交流をしたいコアな観光客も多くいる」\n\n観光の楽しみ方も変わっていく中、観光客への最低限のルールは必要だと考えています。\n\n（中村修さん）「観光によって地域を疲弊させたり、そういったことは決してあってはいけない」\n\n大和村も、国直集落のような独自のルールづくりを広げていくべきと話します。\n\n（大和村企画観光課 藤村雄樹主査）「集落の住民がまず安心して生活できる中で、観光客も迎え入れる体制づくりが大事なのではないかと考えている」\n\nコロナ禍を経て、急速に回復しつつある観光客。観光と暮らしの両立をどう実現するか？模索が続いています。\nMBC南日本放送 | 鹿児島,[],[]
株価史上最高値…景気回復９割が「実感していない」　ＭＢＣアンケート調査から（MBC南日本放送）,https://news.yahoo.co.jp/articles/a06ab833cb9ce849a3d6ba73ef0176c535728770,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070377-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-14T19:09:00+09:00,2024-03-14T19:09:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1414,\nMBC南日本放送\n日経平均株価が一時４万円を超えし、バブル期につけた最高値を更新しました。国内の大企業では賃上げを実施するところも相次いでいます。そんな中景気回復の実感はあるのか、ＭＢＣアプリのユーザーに聞きました。\n\n（調査期間は３月７日～１０日で、２０代～７０代の男女１８０人から回答を頂きました。）\n\nＱ．景気の回復を実感していますか？という質問については、９３．３％が「していない」でした。\n「景気回復を実感している」とした人は６．７％にとどまりました。\n\nＱ．株や投資信託、積み立てＮＩＳＡなど投資をしていますか？という質問に対しては、「していない」と答えた人の割合は４８．９％でした。\n「している」と答えた人は４２．２％ですが、「今年中に始める予定」とした人も合わせると５１．１％になります。\n\n■投資をしている人は、株価の上昇で景気の回復を感じているのでしょうか？\n投資を「している」と答えた人７６人の中で、景気回復を「実感していない」と回答した人は７０人。\n投資をしている人のおよそ９２％が、株価が上がっているにも関わらず、景気回復が実感できていないことになります。\n\n投資をしている人で、景気回復を実感していない人の意見では、\n・「小売業に勤務していますが、販売実感がない」（３０代男性）\n・「会社の業績が悪く、賞与もないに等しい」（５０代男性）\n・「中小企業で働いていますが、株価上昇前と比べて給料も賞与も変わらない」（５０代女性）\nなど、「給料が上がらない」といった意見が目立ちました。投資をしている人で、景気回復を実感している人は、「株でもうかった」「資産運用が好調で、心理的余裕が出ている」といった意見が寄せられました。\n\n■投資はしていないが、景気の回復を実感している人もいっぽうで、投資はしていないが、景気回復を「実感している」としたのは、全体の２．２％。\n\n「少し月給が上がった」（４０代女性）\n「仕事の依頼が増えた」（７０代男性）\nなど、仕事が好調という人でした。\n\n■「物価高で家計苦しい」景気回復の実感遠い「景気の回復が実感できない」という回答をした人の多くが物価上昇による生活の苦しさを挙げました。\n\n具体的には、\n・日々の買い物が大変\n・食費や日用品など負担が来ています\n・家計が苦しい\n・年金生活者には景気がよくなった気がしない\n・投資どころか貯蓄すら厳しい\nといった意見がありました。\n\n「毎月ギリギリ」といった切実な声も寄せられました。\n・スーパーに行くと、商品がほぼほぼ値上げで財布が悲しくなります。（３０代女性）\n・賃上げも無し毎月ギリギリの生活。子育てもしづらく子ども医療費の窓口負担がゼロになるのは先々。鹿児島は全体的に遅れている感じです。（３０代女性）\n・給料上がらない、最低賃金は全国平均以下なのに税金や厚生年金はかなり引かれます。引かれる金額が増えました。景気が良いなんて全く思いません（４０男性）\n・物価が上がり実質賃金は下がる一方です。じっと耐えて切り詰め続けるしかないのだと感じます。株価が上がっても投資家や裕福な人が更に富を得るだけだと思います。（４０代男性）\n\n※ＭＢＣアプリを使ったアンケートで、統計に基づく世論調査とは異なります。\nMBC南日本放送 | 鹿児島,[],[]
特産品の茶を練り込んだ「ひとくちげたんは」を開発　錦江町×短大生コラボスイーツ発売　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/aa005804920ed4fc814022038dfc7ee6ef32296a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070369-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-03-14T16:07:00+09:00,2024-03-14T19:11:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,689,\nMBC南日本放送\n錦江町と短期大学の学生が一緒に商品開発した、コラボスイーツの販売が鹿児島県内で１４日から始まりました。\n\n錦江町の特産である緑茶を、たっぷりと練り込んだ香り高い味わいで、かわいらしいひとくちサイズのげたんは。その名も「錦江町産のお茶を練り込んだひとくちげたんは」です。\n\n錦江町と、鹿児島純心女子短期大学の学生が、協同で商品開発しました。鹿児島純心女子短期大学では、「地域貢献プロジェクト」の授業の一貫で、錦江町の特産品を使った商品をこれまでも開発しており、今回のげたんはで９つ目の商品となります。\n\n錦江町の特産品の、お茶とげたんはとの相性がよかったということで、贅沢に練り込んであるのが特徴です。販売初日の１４日は、学生と一緒に、錦江町のキャラクターくわがたガールズとでんしろうも店頭に立ち、美味しさをＰＲしました。\n\n（来客者）\n「お茶の風味がしてすごくおいしい、甘みもあって」\n「今から帰ってすぐ食べる」\n\n「抹茶の味」\n「おいしかった」\n\n（鹿児島純心女子短期大学２年 篠原菜々花さん）\n「とうとう販売の日がきて、うれしい気持ちでいっぱい」\n\n（鹿児島純心女子短期大学１年 池田桜乃さん）\n「おいしいと喜んでもらえてうれしかった」\n\n（鹿児島純心女子短期大学生）\n「ひとくちげたんは、ぜひ食べてみてください！」\n\n「錦江町産のお茶を練り込んだひとくちげたんは」は税込み１６０円で、今月２８日まで、県内のＡコープ・山形屋ストア・城山ストアーなどで販売される予定です。\nMBC南日本放送 | 鹿児島,[],[]
サツマイモが苦くて食べられなくなる　害虫「イモゾウムシ」鹿児島県本土で１６年ぶり確認（MBC南日本放送）,https://news.yahoo.co.jp/articles/0a7a803542e1717fe611df312e74f3d368c9edc1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070371-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-14T18:02:00+09:00,2024-03-14T18:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,453,\nサツマイモの害虫・イモゾウムシが鹿児島市で確認されました。県本土で確認されたのは、およそ１６年ぶりです。\n\nイモゾウムシは、奄美大島から南の南西諸島などに生息する体長３ミリほどの害虫で、幼虫はサツマイモを食い荒らす被害を出します。\n\n県や門司植物防疫所によりますと、鹿児島市喜入生見町の住宅で家庭菜園で育てて保管していたサツマイモに、イモゾウムシの成虫や幼虫がいるのが確認されたということです。\n\nイモゾウムシが県本土で確認されたのはおよそ１６年ぶりです。幼虫がサツマイモを食べると、異臭や苦みが出て食用や飼料用にできなくなります。\n\n県は今後、確認された周辺の植物を調査するなどして「発生状況を確認する」としています。\n\n県や植物防疫所は、サツマイモを食べて苦みがあったり、イモゾウムシを発見した際は連絡してほしいと呼びかけています。\n\n＜電話＞\n県・経営技術課：０９９－２８６－３１５５\n門司植物防疫所鹿児島支所：０９９－２２２－１０４６\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070371-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/0a7a803542e1717fe611df312e74f3d368c9edc1/images/000']
鹿児島黒牛の試食も １４日からＪＡグループ「春のたわわ祭り」（MBC南日本放送）,https://news.yahoo.co.jp/articles/3c59d6894345f31a77fde208ca7d7fd7bf854034,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240314-00070368-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-14T16:05:00+09:00,2024-03-14T16:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,457,\nMBC南日本放送\n鹿児島県内産の、農畜産物の消費拡大を図ろうとＪＡグループが、旬の食材をＰＲするイベントを１４日から開催しています。\n\nＪＡグループは、「たわわ祭り」と銘打って毎年、春と秋の年２回、県内産の旬の農畜産物や加工品などをＰＲしています。\n\n鹿児島市西谷山１丁目の「たわわタウン谷山」では、初日の１４日、５０年以上、学校給食に提供しているミカンジュース「ジューシー」に関するクイズ大会や、肉のギフトカード、米などが当たる抽選会が行われました。\n\nそして、先着２００人限定で鹿児島黒牛の試食会も行われ、買い物客らが足を止め、笑顔で味わっていました。\n\n（来客者）\n「とろけました。おいしい」\n\n「また食べたいです」\n\n「とても美味しくいただいた。幸せになる」\n\n（ＪＡ鹿児島県経済連 柚木弘文会長）\n「農家の皆さんの応援団として、ぜひ鹿児島の春を楽しんで」\n\n「春のたわわ祭り」は県内のＡ・コープなどで今月１７日まで開かれています。\nMBC南日本放送 | 鹿児島,[],[]
