headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
JR線路脇にあおむけ男性の身元不明遺体　日豊線が4本運休、遅延も含め700人に影響　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/08b91ba0c14aaf42a348ea33993468e7d0af98be,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000015-minami-000-2-view.jpg?exp=10800,2024-12-29T23:15:22+09:00,2024-12-29T23:24:36+09:00,南日本新聞,minami,南日本新聞,259,（写真：南日本新聞社） ２９日午前１１時５５分ごろ、鹿児島市稲荷町のＪＲ日豊線の線路脇に男性があおむけの状態で倒れているのが見つかり、死亡が確認された。 【写真】〈関連〉JR日豊線のルートと駅名を地図で確認する 鹿児島中央署によると、６０～７０代で身長約１６５センチ、体重約５５キロのやせ形。白髪の長髪で灰色の長袖シャツに青色のジーパン、黒色のスニーカーを身に着けていた。目立った外傷はなかった。通行人が発見し１１０番した。同線では一部区間で普通列車４本が運休。遅延を含め約７００人に影響した。 南日本新聞 | 鹿児島,[],[]
所長が119番「工場内のケーブルの一部が発火」…霧島市清掃センター4階の一部焼く（南日本新聞）,https://news.yahoo.co.jp/articles/9eb2c284b34e31baadb3cb2924ff2dc306d721de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000014-minami-000-1-view.jpg?exp=10800,2024-12-29T21:45:22+09:00,2024-12-29T21:45:22+09:00,南日本新聞,minami,南日本新聞,336,（写真：南日本新聞社） ２９日午後０時２０分ごろ、鹿児島県霧島市国分敷根の市敷根清掃センター内で火災があり、鉄筋コンクリート８階建ての４階の一部を焼いた。けが人はいなかった。 【写真】〈関連〉火災があった霧島市敷根清掃センター＝２９日午後４時５０分ごろ、同市国分敷根 霧島署と市環境衛生課によると、４階にはごみを溶融炉に入れる前に炭化させる熱分解ドラムなどがある。市からの委託を受け管理するタクマテクノス霧島事業所の５０代男性所長が「工場内のケーブルの一部が発火した」と１１９番した。出火当時、複数の作業員がおり焼却作業をしていた。 ３０日は開業する。年末年始休み後の４日から再開する。火災前の水準まで焼却能力が復旧するには２週間以上かかる見込み。 南日本新聞 | 鹿児島,[],[]
「見たことない昆虫」…調べてみたら日本一小さいカブトムシだった　生徒が相次ぎ発見、小宝島では初確認　十島村（南日本新聞）,https://news.yahoo.co.jp/articles/b1e91bb99646eb84eb12719786883fc7970f386f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000013-minami-000-2-view.jpg?exp=10800,2024-12-29T21:03:22+09:00,2024-12-29T21:19:23+09:00,南日本新聞,minami,南日本新聞,794,小宝島で初確認となったクロマルカブトムシの標本などを手にする小宝島学園生と牧野忠彰校長（同学園提供） 鹿児島県十島村小宝島で、これまで島内で公式に確認されていなかったクロマルカブトムシが初めて採集された。小宝島学園８年の前田志（こころ）さんと９年島弘大さんが、牧野忠彰校長に「見たことのない昆虫」を届けたことで新発見につながった。その後、７年の北原雅己さんも発見。同定した研究者がつくった標本を手にした３人の生徒は「もっと昆虫のことを調べてみたい」と喜んでいる。 【写真】〈関連＝カブトムシをアップで見る〉小宝島学園生が島内で捕まえたクロマルカブトムシ（小宝島学園提供） 牧野校長によると、カブトムシは５月２５日、前田さんと島さんが学園近くで登校中に３匹発見。鹿児島昆虫同好会の塚田拓さんに同定依頼し、クロマルカブトムシの雄１匹、雌２匹と分かった。 その後日本大学の専門家に確認したところ、小宝島で採集された記録はなく、１１月、新知見として塚田さんが同会の会報誌に報告した。体調は１２～１４ミリ。クロマルカブトムシは日本で一番小さいカブトムシで、十島村悪石島や喜界島、沖永良部島、沖縄県粟国島などで確認されているという。 ２人の生徒と牧野校長は、採集者として報告に名前が記載された。前田さんは「虫に興味はなかったが、今回のことで他の昆虫のことについても詳しく調べてみたいと思った」。島さんは「昔から虫は好きだった。だんだんと離れてしまっていたが、また興味がわいてきた」と話している。 十島村では本年度から７校が義務教育学校となっており、総合学習の時間を「トカラ科」として、島の自然や文化に目を向ける教育に取り組んでいる。牧野校長は「生徒が授業外で何げなく捕まえた昆虫が発見につながった。今後も身の回りにある多くの島の魅力に興味を持って調べてほしい」と期待している。 南日本新聞 | 鹿児島,[],[]
PTA行事、進む選択と集中…「前例踏襲さようなら」…外部委託も取り入れ、楽しめる工夫が広がる（南日本新聞）,https://news.yahoo.co.jp/articles/35296ec0ba8f37af71b736801d79684c93dbca1e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000012-minami-000-2-view.jpg?exp=10800,2024-12-29T20:33:21+09:00,2024-12-29T21:19:45+09:00,南日本新聞,minami,南日本新聞,1302,ＰＴＣＡ主催のイベントで鹿児島南特別支援学校生（中央）のオーナメント作りをサポートする学生ボランティア（左）＝鹿児島市の同校（画像は一部加工してあります） 保護者と教職員でつくる任意団体ＰＴＡが岐路に立たされている。少子化で学校の統廃合が進み、学校単位のＰＴＡ数は右肩下がり。共働き世帯が主流となり、活動を負担に感じる保護者は少なくない。全国では上部団体を脱退する動きも広がる。鹿児島県内の現状を追った。（連載「岐路に立つPTA～鹿児島の現場から③」より） 【シリーズ「岐路に立つPTA」を読む】崩れゆくPTAピラミッド…「子どものためなのに」…任意ゆえのジレンマ、保護者には強制感がのしかかる 会員の負担を減らしつつ、いかにＰＴＡ活動を続けるか－。各地で組織の在り方を見直す動きが広がる。 １２月中旬の休日、鹿児島市の鹿児島南特別支援学校に在校生と家族１５組が集まった。障害のある子ども向け美術教室「ピカソ」の講師を招き、キャンドルやリース作りを体験。大学生ボランティアの応援ももらった。 主催したのは同校のＰＴＣＡ。２０２３年度の開校を機に、保護者と教員に地域（Ｃｏｍｍｕｎｉｔｙ）を加えた組織にした。地域の団体や学生、社会福祉法人が参加し、人手や金銭面で協力する。 保護者と教員には毎年度、入会意思を確認する。年会費３０００円で、進路に役立つ施設への視察研修やイベントに参加できる。従来の専門部をなくし、恒例行事を担当する活動リーダーを新設。なり手がいなければ、行事自体を開催しない。 加入率は初年度が８割、本年度は６割だった。山田拓也会長（４９）は「選択制にしたことで、みんなが会の必要性と価値を、役員は会員ニーズと活動の目的を考えるようになった。前例を繰り返すのではなく、時代と共に柔軟に変化する組織にしたい」と語る。 ■□■ 同市の錦江台小ＰＴＡは、今春からボランティア制にした。ほぼ全ての世帯が加入するが、執行部以外の係は決めない。従来の活動は減らし、加入・非加入に関わらずイベントや活動ごとに協力者を募る。 １日に開いたマルシェは、執行部９人のほか、募集に手を挙げた６人で運営。キッチンカーを呼ぶなど従来のバザーから、親子で楽しめる催しに変えた。 会長４年目の内大久保清一さん（４７）は「形が変わっても、先生と保護者が協力して活動する組織は必要」と強調する。ＰＴＡは年ごとに人が入れ替わるゆえに改革しづらいが「手順を踏み、だめならまた見直せばいい」と考えている。 ■□■ 活動の一部を、外部に頼る動きも広がる。ＰＴＡ業務の委託先紹介や相談などに応じる「ＰＴＡ’Ｓ（ピータス）」は、鹿児島県内を含め全国約２１００のＰＴＡが利用する。４年前のサービス開始から利用者は右肩上がり。学校行事の受付や警備の代行、通学路の立哨の当番シフト作成、会議などのオンライン化が人気を集める。 役員経験をきっかけに発案した増島佐和子代表（５３）は「ＰＴＡの業務の中には、保護者がやらなくてもいい作業も多い。効率を上げて負担を減らすことで、前向きに参加できる仕組みはつくれる」と提言した。 南日本新聞 | 鹿児島,[],[]
公安委の事務局を県警がやっていて警察を管理できるのか？…研究者は批判する、機能しない制度設計で「県警は野放し状態」（南日本新聞）,https://news.yahoo.co.jp/articles/45bf121dc8498d2e0af5573237a3a2abc905badf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000011-minami-000-2-view.jpg?exp=10800,2024-12-29T18:00:21+09:00,2024-12-30T16:01:51+09:00,南日本新聞,minami,南日本新聞,1360,警察官の説明を受けながら繁華街を視察する県公安委の３委員＝２５日午後、鹿児島市中央町 鹿児島県警の不祥事を巡り、県警を管理する「県公安委員会」の在り方が問われている。県民の代表と位置付けられ、警察業務に県民の考えを反映させるという任務を負うが、活動内容が知られる機会はほとんどなく、機能しているか疑問視する声もある。連載「検証 鹿児島県警」の第２部は、県公安委の実態を捉え、県警の信頼回復へ果たすべき役割を考える。（連載・検証鹿児島県警第２部「問われる公安委」⑤より） 鹿児島県公安委「個人が特定されない形で一部開示可能」 捜査対象事案の事件記録を「不開示」とした県警の決定を取り消す 鹿児島県公安委員会は今月２０日、ホームページ（ＨＰ）の発信内容を改めた。 会議録に開催時間や出席者名などを記し、これまで伏せていた会議のやりとりは、出席者の発言を一部載せるようになった。９月２５日の定例会では、委員が「（職員が本部長に課題を直言する）改革推進研究会ではボトムアップ型で意見を求めることに意義がある。出席者が具体的な意見を出しやすいように配慮願う」と野川明輝前本部長らに求めたことが分かる。 しかし九州各県の公安委ＨＰと比べると、公開の迅速さに課題が残る。２５日時点では、会議録は９月分までしか掲載されておらず、２７日に１２月分まで載った。苦情申し出の案内先は、昨春の県警の組織改編で総務課に統合した「相談広報課」となったままだ。 ■ □ ■ 公安委制度を研究する専門家たちからは「県民の代表組織としての責任」について厳しい指摘が相次いだ。 京都産業大学の浦中千佳央教授（警察学）は「公安委が機能していたとしても、説明が足りなければ県民が正当性を判断できない」と話す。警察への不信感を払拭するためにも「どのような指導や監察をしているか、可視化を進める必要がある」と述べた。 透明性を求める声は他にもある。専修大学の白藤博行名誉教授（行政法）は「（定例会は）議題により傍聴できるものはある。全て非公開は理由を欠く」という。そもそも公安委が機能しない制度設計だとして「県警は野放し状態と言える」と批判。県公安委の事務局を県警が担っている実情から「警察を管理するという目的通りの仕組みにするならば、独自の事務局を設ける必要がある」と提言した。 ■ □ ■ ２５日午後６時すぎ。鹿児島市のＪＲ鹿児島中央駅前に、県公安委の石窪奈穂美委員長ら委員３人の姿があった。県警幹部ら約１０人と年末の繁華街を視察し、警戒に当たる警察官を激励する恒例行事だ。 南日本新聞は四つの質問を事前に提出していた。県公安委側は一つは応じるが、他の三つは「別の取材時に回答済み」との理由で受け付けられないと答えていた。 視察後、石窪委員長は直接取材に初めて応じた。すでに回答済みとされた、県警に対する県公安委の役割について質問をすると、「定例会などで説明を受けている県警の活動実態は、実際に視察して分かる部分もある。今後の公安委の活動に生かしたい」と述べた。 「今後の情報公開の在り方は」－。質問をさらに投げかけようとすると、県警担当者に打ち切られた。県公安委員と県警幹部らは次の予定があることを理由に立ち去った。 ＝第２部おわり＝ 南日本新聞 | 鹿児島,[],[]
低速、低騒音だから安心…アマミノクロウサギ観察ナイトツアーに電動車導入（南日本新聞）,https://news.yahoo.co.jp/articles/df12fca760ee21b3d7e70be0c5f3fa8fe1ff8455,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000010-minami-000-2-view.jpg?exp=10800,2024-12-29T16:00:22+09:00,2024-12-30T16:08:00+09:00,南日本新聞,minami,南日本新聞,550,「グリーンスローモビリティ」に乗ってナイトツアーに出発する関係者＝天城町当部 鹿児島県天城町と環境省は、アマミノクロウサギが頻繁に現れるスポットとして人気を集める同町当部集落で、低速電動車「グリーンスローモビリティ」による関係者向けのナイトツアーを実施した。国立公園区域を含む約１．８キロを低速、低騒音で走り、観察を体験した。 【写真】関係者を乗せた「グリーンスローモビリティ」＝天城町当部 ゴルフカート状の７人乗り。時速２０キロ未満で公道を走る。町や同省によると、当部には観光客が多く訪れるため、地域住民は夜間のエンジン音やライトの明かりに悩まされてきたという。電動車の導入で住民の負担軽減や希少野生動物の交通事故防止、脱炭素化を期待できる。 ナイトツアーは２１日あり、五十嵐清環境政務官や塩田康一県知事ら８人が試乗。初めて野生のクロウサギを観察したという塩田知事は「意外とすばしっこい。乗り心地も快適だった」と話した。 近くの高校講師、林倫成さん（５１）は「集落民としては歓迎だが、静かすぎてクロウサギが車両に気づかない恐れがある。検証が必要だ」と指摘した。 町は１４～１６日と２２日、一般客向けのツアーも実施した。観光関係者の意見を踏まえ、本格実施に向けて検討を進める。 南日本新聞 | 鹿児島,[],[]
【速報】JR九州、日豊線竜ケ水－鹿児島間で運転再開（南日本新聞）,https://news.yahoo.co.jp/articles/2f6c1b9aeb668a200ea3e993e45372bec5f41462,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000009-minami-000-2-view.jpg?exp=10800,2024-12-29T14:35:22+09:00,2024-12-30T18:38:44+09:00,南日本新聞,minami,南日本新聞,75,（写真：南日本新聞社） ＪＲ九州は、上下線で見合わせていた日豊線の竜ケ水－鹿児島間の運転を、２９日午後１時４０分ごろ再開した。 南日本新聞 | 鹿児島,[],[]
【速報】〈全国高校サッカー選手権〉鹿児島城西、金沢学院大付にPK戦で敗れる（南日本新聞）,https://news.yahoo.co.jp/articles/4fe5b2deeaf0c6591e3383b940dcdd8e739e60b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000008-minami-000-1-view.jpg?exp=10800,2024-12-29T14:05:29+09:00,2024-12-29T14:05:29+09:00,南日本新聞,minami,南日本新聞,140,前半、鹿城西・柳がシュートを放つ＝Ｕ等々力 サッカーの全国高校選手権第２日は２９日、神奈川県のＵｖａｎｃｅとどろきスタジアムなどで１回戦１５試合があった。鹿児島県代表の鹿児島城西は、金沢学院大付（石川）と対戦し、０－０で突入したＰＫ戦（３－４）で敗退した。 南日本新聞 | 鹿児島,[],[]
【速報】JR日豊線の竜ケ水－鹿児島間で運転見合わせ（南日本新聞）,https://news.yahoo.co.jp/articles/a0c1b7d601b718b27b1c33b2681b44771bc20efd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000007-minami-000-2-view.jpg?exp=10800,2024-12-29T13:15:24+09:00,2024-12-30T18:38:56+09:00,南日本新聞,minami,南日本新聞,106,（写真：南日本新聞社） ２９日午後０時５分ごろ、ＪＲ日豊線の竜ケ水－鹿児島間の線路脇に人が倒れていると警察から連絡があったとして、ＪＲ九州は確認のため同区間の上下線で運転を見合わせている。 南日本新聞 | 鹿児島,[],[]
「鹿実は走るのがきつすぎてサッカーを嫌いになりそうに…」　元日本代表の松井さんが振り返る高校時代　「でもあの時が一番成長した」（南日本新聞）,https://news.yahoo.co.jp/articles/d4111f732cbd7211b9d39338798a7d881a3f63ac,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000006-minami-000-1-view.jpg?exp=10800,2024-12-29T11:30:21+09:00,2024-12-29T11:30:21+09:00,南日本新聞,minami,南日本新聞,431,講演する松井大輔さん＝２７日、鹿児島市国際交流センター サッカー元日本代表の松井大輔さん（４３）が２７日、鹿児島市国際交流センターで小学生に講演した。「一生懸命になれるものを見つけ、自分を信じて突き進んで」とエールを送った。 【写真】〈別カット〉講演する松井大輔さん＝２７日、鹿児島市国際交流センター 松井さんは京都府出身、鹿児島実業高校卒で、第７８回全国高校選手権の準優勝メンバー。Ｊリーグのほかフランスなど欧州でも活躍した。２０１０年ワールドカップ南アフリカ大会では１６強入りに貢献。昨季限りで現役引退した。 講演では高校時代を「走る練習が多く、きつすぎてサッカーが嫌いになることもあったが、一番成長した時期だった」と回顧。けがに泣かされたこともあった競技人生を振り返り、「山あり谷あり。コツコツ続けることが大切」と話した。日本サッカー協会と全日空が企画。同市でのサッカーＵ－１２全国大会開催に合わせ、県外チームの約５０人を招待した。 南日本新聞 | 鹿児島,[],[]
もしも本格焼酎が人だったら、こんな感じ？…イラストレーターたちが推し酒を擬人化、アートに（南日本新聞）,https://news.yahoo.co.jp/articles/dcdcc284b03080897eed4b9ddbeec359e3f895a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241229-00000005-minami-000-1-view.jpg?exp=10800,2024-12-29T11:00:23+09:00,2024-12-29T11:00:23+09:00,南日本新聞,minami,南日本新聞,581,まむねむこさんが描いた浜田酒造の芋焼酎「海童 祝の赤」の擬人化イラスト（「鹿児島のお酒擬人化ファンアートプロジェクト」提供） 本格焼酎など鹿児島県産の酒類を擬人化したアート展が２８日、鹿児島市の商業施設「よかど鹿児島」で始まった。県内を中心に活躍するイラストレーターらが、好みの銘柄を“推し酒”として多彩に表現。アルコール離れが進む若年層へアピールする狙い。 【写真】白水汰一さんが描いた三岳酒造の芋焼酎「三岳」を擬人化したイラスト（「鹿児島のお酒擬人化ファンアートプロジェクト」提供） 擬人化は同市在住のイラストレーター、まむねむこさん（３７）が発案。２０２２年以降、焼酎のほかリキュールやウイスキーなど県内蔵元製品のファンが「鹿児島のお酒擬人化ファンアートプロジェクト」として、イラストをＸ（旧ツイッター）に投稿し始めた。 １３人の投稿から、蔵元の了承を得られた２０作品を展示。本格焼酎などの「伝統的酒造り」が国連教育科学文化機関（ユネスコ）無形文化遺産に登録されたばかり。まむさんは「県産酒類の今まで知らなかった魅力に出合う機会になれば」と期待する。 アート展は、特産品販売店「鹿児島ブランドショップ」が協力。展示銘柄の一部が試飲できるほか、限定ポストカードなどの無料配布もある。年内は２９日まで。１月は２～３１日（１４日は休み）。 南日本新聞 | 鹿児島,[],[]
