headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
市長こだわってきた「本港区」でのサッカースタジアム整備に否定的な見方「時間的な課題がある」（MBC南日本放送）,https://news.yahoo.co.jp/articles/e6cc3bcd368a2c9c1b2bae113eecd6dd576a8b34,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070139-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T19:33:00+09:00,2024-02-28T19:33:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,582,\nMBC南日本放送\nサッカースタジアムの新たな候補地を検討している鹿児島市の下鶴市長は、これまでに白紙となった４つの候補地がある本港区について、「時間的な課題がある」として整備に否定的な見方を示しました。\n\n鹿児島市はサッカースタジアムの整備で「中心市街地の活性化」を目指していて、これまで中心市街地に近い海沿いの地域「本港区」での整備を模索してきました。\n\nしかし当初検討していた「ドルフィンポート跡地」「浜町バス車庫」「住吉町１５番街区」の３か所は、すべて白紙になり、去年６月、新たに「北ふ頭」を表明したものの、鹿児島ユナイテッドＦＣが今シーズンＪ２に昇格する中、早期整備のためには港湾計画の変更に時間がかかるとして、今月、断念を表明しました。\n\n下鶴市長は２８日の市議会で、これまでこだわってきた本港区で、引き続き新たな候補地を探す可能性について問われると…。\n\n（鹿児島市 下鶴隆央市長）「本港区のスタジアム整備は、港湾計画の見直しが必要であり、時間軸の面で課題がある」\n\nこれまでに白紙となった４つの候補地がある「本港区」での整備については「港湾計画の見直しに時間がかかる」との理由で、否定的な見方を示しました。\n\n鹿児島市は引き続き中心市街地の活性化につながる場所での整備を模索する方針です。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島銀行　５年ぶりに頭取交代　郡山明久副頭取が頭取へ「地銀であることに徹底的にこだわる」（MBC南日本放送）,https://news.yahoo.co.jp/articles/c17302466c41411576f758d1fd958527477a8f90,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070140-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T19:35:00+09:00,2024-02-28T19:35:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,698,\nMBC南日本放送\n鹿児島銀行の頭取が５年ぶりに交代し、新しい頭取に郡山明久副頭取が就任することになりました。\n\n（郡山明久副頭取）「どういったことをやっていくか、数々の課題がある中で頭取を拝命したのは身の引き締まる思い」\n\n鹿児島銀行は２８日の記者会見で、新しい頭取に郡山明久副頭取が昇格し、現在の松山澄寛頭取は取締役を退任して相談役に就任すると発表しました。\n\n郡山副頭取は鹿児島市出身の６６歳です。横浜国立大学を卒業して１９８０年に入行。これまで隼人支店長や人事部長、代表取締役専務などを歴任し、２０１９年から代表取締役副頭取を務めています。\nデジタルを学ぶための行員向け動画に自ら出演するなど、風通しのいい鹿銀づくりに注力してきました。\n\n（郡山明久副頭取）「地銀であることに徹底的にこだわりたい。これまでの金融だけではないものを取り入れながら、地銀としての姿も変革させていかないといけない」\n\n退任する松山頭取は２０１９年から頭取を務め、キャッシュレス決済サービス「Ｐａｙどん」を南日本銀行などの口座でも利用できるようにするなど、金融機関と連携して地域経済の活性化を推進してきました。体調などを理由に今回の退任を決めたということです。\n\n（松山澄寛頭取）「（退任理由として）体調がまだ十分ではない点が一つ。中期経営計画という３年おきの計画を作っている。これが２０２４年４月スタートになるので、４月１日から郡山さんにお願いしたほうが区切りがいいのかなと」\n\nこの役員人事は２７日の取締役会で決定し、異動は４月１日付けです。\nMBC南日本放送 | 鹿児島,[],[]
バス運転手不足で…南国交通３月平日減便へ　平日→土曜ダイヤ＋臨時便「早起きしなきゃ」（MBC南日本放送）,https://news.yahoo.co.jp/articles/b012c5d596befddc4d9bc99417b43152c54077e3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070138-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T19:31:00+09:00,2024-02-28T19:31:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,540,\nMBC南日本放送\n南国交通は、運転手不足の影響で、来月４日からおよそ１か月間、鹿児島市内の路線バスを減便することになりました。\n\n南国交通が減便するのは鹿児島市内のすべての一般路線バスです。理由について、「慢性的な運転手不足に加え、退職などで想定を上回る欠員が出たため」としています。\n\n祝日を除く平日を土曜ダイヤで運行し、朝と夕方には臨時便を走らせます。１日７８便の減便になり、期間は、来月４日から２９日までです。土日は現在のダイヤで運行します。減便に利用者は…。\n\n（利用者）\n「（Ｑ．平日のダイヤが減便になるが？）知らなかった。子どもが療育に通っているので、送迎で毎朝（利用する）。毎日同じ時間に乗れるのがありがたくていつもバスに乗っていたので、どうしようかな」\n\n「会社もやむを得ない事情だと思う減便される時間に合わせて（行動する）」\n\n「学校の時は平日は毎日で、遊びも行くから週６とか（で利用）早起きしないと」\n\n南国交通は、新年度が始まる４月以降は現行ダイヤに戻したいとしていて、採用に力を入れるなど、対策を講じるということです。減便となる３月のダイヤは、南国交通のホームページや各停留所で確認できます。\nMBC南日本放送 | 鹿児島,[],[]
車庫の設置工事中にはしごから転落か　建設作業員の男性（７１）死亡　鹿児島・南九州市（MBC南日本放送）,https://news.yahoo.co.jp/articles/e0858a0fd5a43ff8c30afbfd79b1c0ad6c4797a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070143-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-28T19:35:00+09:00,2024-02-28T19:35:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,379,\n鹿児島県南九州市の民家で２８日午後、車庫の設置工事をしていた男性（７１）が倒れているのが見つかり、搬送先の病院で死亡しました。\n\n南九州警察署によりますと、２８日午後２時ごろ、南九州市頴娃町の民家で、車庫の設置工事をしていた男性が、作業用のはしごのそばで倒れているのを住人が発見し、消防に通報しました。\n\n倒れていたのは、南九州市頴娃町牧之内の建設作業員・雪丸好さん（７１）で、意識不明の状態で病院に運ばれ、およそ１時間半後に死亡しました。\n\n雪丸さんは、２８日午前８時ごろから、はしごを使って１人で溶接やペンキを塗る作業をしていました。車庫の高さは４メートルほどだったということです。\n\n警察は、現場の状況から、雪丸さんが作業中にはしごから転落した可能性があるとみて、当時の状況などを詳しく調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070143-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/e0858a0fd5a43ff8c30afbfd79b1c0ad6c4797a6/images/000']
鹿児島ロケット５号機　パラシュートの放出・データ取得できおおむね成功（MBC南日本放送）,https://news.yahoo.co.jp/articles/e51d7adb85003808ce83f64eee06d9f713d51981,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070137-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T19:17:00+09:00,2024-02-28T19:17:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,526,\nMBC南日本放送\n鹿児島大学が中心となって開発した鹿児島ロケット５号機が、２８日肝付町で打ち上げられました。\n\n鹿児島ロケット５号機「霧島レイ号」は、鹿児島大学や民間企業などが協力して、開発したもので、全長２．６メートル、重さ２０キロの小型ロケットです。\n\n去年打ち上げられた４号機は、想定より早くパラシュートが開いてしまい、打ち上げは失敗。この失敗を受けて５号機は、パラシュートの仕組みを改良し、高度２キロへの到達と飛行データの収集を目的としていました。\n\n鹿児島ロケット５号機は、２８日、午後２時半に肝付町の辺塚海岸から打ち上げられました。\n\n目標としていた高度２キロには届かず、パラシュートが切れたために機体は回収できませんでした。ただ、前回の失敗を受けて改良したパラシュートは予定のタイミングで放出でき、必要なデータの取得にも成功したということです。\n\n（鹿児島大学大学院 片野田洋教授）「機体本体は残念ながら回収できていないが、パラシュートの意図したタイミングでの放出という意味では成功。満足している」\n\n鹿児島大学は今後、得られたデータを分析し、６号機にいかしたいとしています。\nMBC南日本放送 | 鹿児島,[],[]
ふるさと新時代　休業したレジャー施設を歌声で復活「平成の大合併で町が端っこに」住民の奮闘　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/e7225d2184b1e861a91ed2f26d7c0040f356503f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070135-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T19:13:00+09:00,2024-02-28T19:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,2012,\nMBC南日本放送\n今から２０年前、鹿児島県内で始まった「平成の大合併」で、ふるさとはどう変わったのか？ニューズナウでは「ふるさと新時代」と題して、地域の今を見つめる特集をシリーズでお送りしています。２回目は、南九州市頴娃町です。\n\n頴娃町は２００７年に知覧町・川辺町と合併し、南九州市となりました。合併後、休業してしまったふるさとのレジャー施設を自分たちの手で立て直し、地域を盛り上げる新たな拠点にしようと奮闘する人がいます。\n\n\n南九州市頴娃町のレジャー施設「夢・風の里アグリランドえい」。４年前に大部分が休業し、ひと気の少なくなったこの施設で、先週日曜に開かれたのが…月１回の音楽ライブです。この日は、鹿児島・宮崎のバンド６組が会場を盛り上げました。\n\n（観客）\n「楽しさが伝わってきて、私も超楽しかったです」\n「こういうイベントがあると、若者が来やすくなる」\n\nイベントを企画したのは、旧頴娃町で生まれ育った浜田浩一さん（６０）です。\n\n（浜田さん）「この先僕らが頑張ることで、人がどんどん増えていくんじゃないか」\n\n\n合併前の旧・頴娃町がつくったアグリランドえい。オープンは１９９５年で、全国でリゾート施設の建設ブームが起きていたころでした。\n\n東京ドーム６．６個分の高台に、大きな遊具にゴーカート、ゴルフ場などがあり、ピーク時にはおよそ１５万人の来園者でにぎわいました。しかし２０１９年には２万人まで減少、２０２０年から休業しています。\n\n（浜田さん）「ずっと荒れて草だらけ。ちょっとずつでも手を入れないと」\n\n\n南九州市は２００７年に知覧町・川辺町・頴娃町が合併して誕生しました。当時の人口はおよそ４万２０００人でしたが、少子高齢化などからこの１７年で２割以上減少。\n\n減少幅を町ごとにみると、行政機能が集まる知覧町や、鹿児島市とアクセスしやすい川辺町は２割にとどまっていますが、頴娃町は合併前から３割減りました。６５歳以上の高齢者の割合も４３．９％と最も高くなっています。\n\n（浜田さん）「お店は無くなっていく。寂しくなっていく」\n\n旧頴娃町出身の浜田さん。ふるさとの変化を幼いころから見つめてきました。\n\n（浜田さん）「合併とかで端っこになった町には、何も残らない。それだったら、自分たちでもう１回、何か作ろう、元気になることをしよう、というのがぼくらの発想」\n\n\n高校時代に友達とバンドを組んで地元を中心に活動してきた浜田さん。音楽ライブで町を盛り上げようと２９歳の時、メンバーらとお金を出しあい、手作りの野外ライブステージをつくりました。\n県内外のバンドを招いた初めてのライブは１０００人の観客を集め、大成功。しかし、その後、活動は途絶えてしまいます。\n\n合併後、元気のなくなったふるさとを再び音楽で集える場所を復活させようと、２０１６年、現在のＮＰＯ法人わくわくプロジェクトを立ち上げました。\n南九州市に交渉し、休業中のアグリランドの施設を２００人が入るライブハウスに改修しました。\n\n（浜田さん）「これはもともとバーベキューハウスの座敷部分。壁を取り払ってステージを作った。廃校の学校からもらったカーテンをかぶせて、見た目をステージにしている。件費がかかってないので、材料代だけでも１０万円もかかっていない」\n\n地元の建設会社に務める浜田さん。訪れた人が宿泊できるロッジを４月にオープンする予定で、準備を進めています。\n\n（３０代の部下）「仕事の上司というより、小さい時から知っているおじちゃん。地元の人間としては尊敬」\n\n（浜田さん）「仕事を抜けることが多いので迷惑をかけていると思いながらも、みんながこう思ってくれたら、やりがいはある」\n\n\n現在、アグリランドは休業中ですが、土日祝日限定で乗馬体験や、キャンプ場をオープンさせるなど、若い世代を呼び込む仕掛けづくりが実り、去年、施設を訪れた人は２０００人を超えました。\n\n大好きな音楽を通して進める頴娃での拠点づくり。訪れた人たちの印象も変わりつつあります。\n\n（観客）「地方でイベントがあれば、いろんなところに足が出向くのでいい」\n\n（ライブ出演者）\n「このイベントがあるまで来たことがなかった。こんなすてきな場所があるんだなと」\n\n「頴娃の地名しか知らなかったが、ここに来たら音楽をしているみんながいる」\n\n平成の大合併を含め、時代とともに移ろうふるさとの姿。還暦を迎えた浜田さんは、次の時代を見据えています。\n\n（浜田さん）「自分が始めたころは全然道がなかった。でも歩き出して３０年やると、後ろについてくる人たちが道を広げていってくれた。上手く次の世代につなげることが僕の役目」\nMBC南日本放送 | 鹿児島,[],[]
「ファンタジックですてき」チャールズ・ファジーノの３Ｄアート展始まる（MBC南日本放送）,https://news.yahoo.co.jp/articles/bbc54acdaa27268ad7cfa3ca227a342345258596,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070136-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-28T19:15:00+09:00,2024-02-28T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,605,\nMBC南日本放送\n立体的に見える絵画作品「３Ｄアート」のアーティスト、チャールズ・ファジーノさんの作品展が２８日から鹿児島市で始まりました。メジャーリーグの大谷翔平選手の直筆サインボールに描かれた作品もあります。\n\nアメリカ・ニューヨーク出身のチャールズ・ファジーノさんが手がける「３Ｄアート」は、シルクスクリーンという版画を何層にも重ね、間にシリコン樹脂を入れて立体感を出し、ラメやスワロフスキークリスタルで動きをつける独特の技法で作られています。\n\n今回は新作も含めたおよそ５０点が展示販売されていて、日本を含む世界各地の街並みなどが表現されています。\n\n（来場者）「立体的でいいなと思いました。夢がありますね、ファンタジックですてきですね」\n\nファジーノさんはこれまでに、オリンピックやアメリカのメジャーリーグで公式作品も制作していて、会場にはエンゼルスに所属していた時の大谷翔平選手のほか、イチローさんの直筆サインボールに描かれた作品も展示販売されています。\n\n（ハイスピリッツアンドユウ 田中里佳副社長）「実際に見て楽しんでいただける、パワーの伝わる作品。今まで行ったことのない世界をファジーノの作品を通じて、バケーション気分でお楽しみいただければ」\n\nチャールズ・ファジーノ３Ｄアート展は、来月３日まで鹿児島市の山形屋で開かれています。\nMBC南日本放送 | 鹿児島,[],[]
薩摩川内市の小学校でタブレット使った試験的な防災授業「過去の災害にびっくり」「友達と共有できて意見聞けた」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/c158c9e42e1b03fa16890f5e5bdf9ea7041e86d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070134-mbcnewsv-000-4-thumb.jpg?exp=10800,2024-02-28T19:10:00+09:00,2024-02-28T19:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,506,\nMBC南日本放送\n薩摩川内市の小学校で２８日、タブレットによる情報通信技術を使った防災授業がありました。\n\n１級河川・川内川沿いにある育英小学校です。今年度、薩摩川内市と国の川内川河川事務所などが連携し、５年生の社会科の時間にＩＣＴ＝情報通信技術を使ったタブレットによる防災授業が試験的に進められています。\n\n２８日はその４回目で、風水害をテーマに、初めてマスコミなどに公開されました。\n\n５年１組では児童３３人が、市内でこれまでに発生した水害の写真などを見たあと、砂防ダムやハザードマップなど防災の取り組みについて学びました。\n\nそして風水害を防ぐためにどのような対策が必要か、グループごとに分かれてまとめ、タブレットで集約しました。\n\n（児童）「タブレットを使って授業をやるほうが良い。友達と共有できて、いろいろな人たちの意見が聞けたので良かった」\n\n「過去に川内川で大きな災害があったことにびっくりした。（災害の際は）冷静に周りの状況を見て避難したい」\n\nタブレットによる防災授業は別の小学校でも試験的に行われ、新年度中に完成する計画です。\nMBC南日本放送 | 鹿児島,[],[]
女性のスカート内を盗撮疑い　県職員の男（４９）送検　「たまたま撮影」と否認（MBC南日本放送）,https://news.yahoo.co.jp/articles/5c0973ce071054d8d205f061d2f059f110e97536,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070133-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T19:06:00+09:00,2024-02-28T19:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,284,\nMBC南日本放送\n商業施設で女性のスカートの中を盗撮した疑いで逮捕された県職員の男の身柄が２８日、送検されました。\n\n性的姿態等撮影の疑いで送検されたのは、県の監査委員事務局監査第二課主査の久木田進容疑者(４９)です。\n\n鹿児島西警察署によりますと、久木田容疑者は２６日夕方、県内の商業施設で買い物をしていた２０代女性のスカートの下にスマートフォンを入れて、中を撮影した疑いで現行犯逮捕されました。\n\n取り調べに対し、久木田容疑者は「意図的に盗撮したわけではない。たまたま撮影されていた」と話し、容疑を否認しています。\nMBC南日本放送 | 鹿児島,[],[]
ＪＲ指宿枕崎線　鹿児島中央～五位野　踏切の人身事故で運転見合わせ（MBC南日本放送）,https://news.yahoo.co.jp/articles/c282eef1aa381f16bf3a0add1fd540bf30fe5b16,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070132-mbcnewsv-000-4-view.jpg?exp=10800,2024-02-28T17:14:00+09:00,2024-02-28T17:17:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,123,\nＪＲ九州によりますと、２８日午後４時半すぎ、指宿枕崎線の南鹿児島駅と宇宿駅の間の二軒茶屋踏切付近で人と上りの普通列車が衝突する事故がありました。鹿児島中央駅と五位野駅の間の上下線が一時運転見合わせとなりました。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070132-mbcnewsv-000-4-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/c282eef1aa381f16bf3a0add1fd540bf30fe5b16/images/000']
JR指宿枕崎線、運転再開　鹿児島市の踏切で人身事故　鹿児島中央～指宿で遅れ（MBC南日本放送）,https://news.yahoo.co.jp/articles/1f3b5d37dea17f49834fa9621cc1560402b9d1a3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00164927-mbcnewsv-000-2-view.jpg?exp=10800,2024-02-28T18:25:00+09:00,2024-02-28T18:27:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,190,\nＪＲ九州によりますと、２８日午後４時半すぎ、指宿枕崎線の南鹿児島駅と宇宿駅の間の二軒茶屋踏切付近で人と普通列車が衝突する事故がありました。\n\n鹿児島中央駅と五位野駅の間で上下線が運転見合わせとなっていましたが、先ほど午後６時１０分から運転を再開しました。\n\n事故の影響で、指宿枕崎線は、鹿児島中央と指宿の間で運休や遅れが発生しています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00164927-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/1f3b5d37dea17f49834fa9621cc1560402b9d1a3/images/000']
