headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
インフルエンザ・新型コロナ感染者２週ぶり増加　流行発生警報続く　病床確保フェーズは引き下げ　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/cc00b53c25c80a98b8a322d17f13b9d1d6509440,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069843-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-09T19:37:00+09:00,2024-02-09T19:37:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,347,\nMBC南日本放送\nインフルエンザと新型コロナウイルスの感染者数が、ともに２週間ぶりに増加しました。\n\nインフルエンザの今月４日までの１週間の定点あたりの感染者数は、前の週より６・５４人多い２２・０２人で、２週間ぶりに増加しました。\n\n県内１４の保健所のうち、鹿屋・鹿児島市・姶良など６か所で警報レベルが続いています。\n\nまた、新型コロナの感染者数も前の週より４・６９人多い定点あたり１６・１３人と２週間ぶりに増加しました。\n\n一方、入院者数はおととい時点で、基準の５０５人を下回ったことから、県は病床確保のフェーズをＩから０に引き下げました。\n\n県は引き続き、手洗いや定期的な換気、マスクの着用などの基本的な感染対策を呼びかけています。\nMBC南日本放送 | 鹿児島,[],[]
県予算案解説　子育て支援・稼ぐ力に重点（MBC南日本放送）,https://news.yahoo.co.jp/articles/3f6cea617f29bf21639f4b69764edfd8b2bfbfb3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069845-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-09T19:43:00+09:00,2024-02-09T19:44:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1084,\nMBC南日本放送\n塩田知事は今回の予算編成でどのような点を重視したのでしょうか？\n県政担当の記者と解説します。\n\n知事は、予算編成のポイントとして、子育て支援とあわせ、公約に掲げている農林水産業や観光業、企業の「稼ぐ力」の向上、人材の確保・育成の三つに重点を置いたと説明しました。\n\n子育て支援については、少子化を克服し、将来的な人材を確保するために「ギアを上げて取り組む」と強調し、４６８億円が計上されました。\n\n中でも子ども医療費の窓口無料化は現在、住民税が非課税の高校生以下に導入されていますが、県は今後、課税世帯の未就学児に対象を拡大する方針を示していて、システム改修や関係者会議を開く費用などに７００万円が計上されました。\n\n窓口負担の無料化を求めて署名活動を行った小児科の医師や、子育て世帯に話を聞きました。\n\n（２児の母）「会計がなくなれば、子どもを安心して病院に通わせられる。負担がその場その場で、子ども２人を連れて行くと大変なので、負担が軽減されるのはすごく助かる」\n\n（１児の母）「面倒な手続きや、振込の確認も手間で面倒なので、拡充すれば負担も少なくなるし、子どもに向けた時間にも充てられる」\n\n（県小児科医会 湯浅由啓会長）「安心して受診するためにはこの制度は一番必要だと思う。やっと実現に向かって動き出したこと自体は非常に喜ばしいと思っている。ただまだいつからやるか、できるだけ早く実施してほしい」\n\nこのほか、結婚を希望する人の出会いを後押しする事業に３５００万円、県本土で医療機関を受診している離島の子どもたちの交通費や宿泊費を助成する事業に１５００万円が盛り込まれました。\n\n農林水産業の「稼ぐ力」を引き出す事業では「和牛日本一」のＰＲを強化する事業として６６００万円、観光関連では鹿児島にゆかりのあるアニメや映画などの情報を発信し、「推し旅」を促す事業に１６００万円が計上されました。\n\nただ、予算の裏付けとなる財政状況はどうなのでしょうか。台所事情は厳しいといえそうです。\n\n借金にあたる県債残高は来年度末見込みで１兆４８５０億円。今年度末と比べて３５１億円減りますが、県民１人あたりで９３万５０００円となっています。これに対し、預金にあたる基金残高は２５１億円で県民１人あたりで１万６０００円となります。\n\nコロナ禍からの経済回復の動きが本格化する来年度。限られた予算の中で鹿児島を活性化させるため、メリハリのきいた行政運営が求められています。\nMBC南日本放送 | 鹿児島,[],[]
鹿大生死亡の飲酒ひき逃げ事件から３年　損害賠償求め遺族が提訴　庭に咲く梅の花「生きていく支えに」（MBC南日本放送）,https://news.yahoo.co.jp/articles/8148ba01302b237bc8ea045b1dd4eec15bbb5311,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069847-mbcnewsv-000-2-view.jpg?exp=10800,2024-02-09T19:40:00+09:00,2024-02-09T19:41:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1160,\n鹿児島市で、鹿児島大学の男子学生が飲酒運転の車にひかれて死亡した事件からきょう９日で３年です。遺族は「事件の真実を知りたい」と、飲酒運転の男を相手に民事裁判を起こしています。\n\n（大喜さんの父親）「長いような早かったような何とも言えない３年間だった」\n\n亡くなった宮崎大喜さんの父親です。\n３年経った今も息子が亡くなった現実を受け入れられずにいます。\n\n（大喜さんの父親）「楽しかった思い出とか思い出して、思い出すと事故のことがついてくる、悲しくなって気持ちが沈んで苦しくなる」\n\n福岡出身で鹿児島大学・共同獣医学部の１年生だった宮崎大喜さんは、３年前の２月９日早朝、下宿前の交差点を自転車で渡っていたところ、信号を無視して時速９３キロで走ってきた車にはねられました。\n\n車を運転していた当時２５歳の建設作業員の男は８時間にわたり酒を飲んでいて、事故のあと大喜さんを救護しませんでした。\n\n男は刑事裁判で、危険運転致死と酒気帯び運転、ひき逃げの罪で、あわせて懲役９年１０か月の実刑判決を受け、現在服役中です。\n\n両親は被害者参加制度を利用してすべての裁判に出席しましたが、「男は不合理な説明を繰り返し納得できなかった」と話します。\n\nそして去年９月、「息子を失い精神的苦痛を受けた」として、民事裁判で男に慰謝料などを求めて福岡地裁に提訴。再び話を聞きたいと、男の証人尋問を請求する方針です。\n\n（大喜さんの父親）「なんでこんなことが起こったのか、何で停車して（救護して）くれなかったのか、どういう気持ちだったのかずっと考えてしまう」「（男に）会うのは苦痛以外の何ものでもないが、最後の手がかり、最後の手段として民事裁判に臨んで少しでも真実が聞けたら」\n\n事件現場には９日、大喜さんの大学の友人が花をもって訪れていました。\n\n危険な飲酒運転は後を絶たず、去年、県内で摘発された飲酒運転は３６６件で、事件が起きた３年前の１．４倍に増加しています。\n\n友人は「飲酒運転がない当たり前の社会になってほしい」と願っています。\n\n（大喜さんの大学同級生）「大喜とは仲良くて、命日だけはここに来て、年に１回会いに来ている。忘れないでいてあげたい」\n\n大喜さんが家族と暮らしていた福岡です。実家の庭の片隅に立つ小さな梅の木。\n\n大喜さんが高校を卒業した時、学校から記念にもらった苗木を両親が育ててきました。命日が近づくこの時期に、ひっそりと花をつけます。\n\n（大喜さんの母親）「悲しい気持ちになる時期なので、きれいに咲いてくれたことも嬉しい」「泣いて苦しんで生活しているのは（大喜も）望んでいないだろう。これから生きていく支えになる」\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069847-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/8148ba01302b237bc8ea045b1dd4eec15bbb5311/images/000']
鹿児島市真砂本町で不発弾見つかる　県庁近く住宅や商業施設集まる地域（MBC南日本放送）,https://news.yahoo.co.jp/articles/a07b44dff09e7f47aa9b9cae297a78b3d93d9c1e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069848-mbcnewsv-000-4-view.jpg?exp=10800,2024-02-09T23:31:00+09:00,2024-02-09T23:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,378,\n鹿児島市真砂本町の工事現場で、地中から不発弾が見つかりました。\n\n鹿児島市によりますと、９日午前１１時４５分ごろ、鹿児島市真砂本町の解体工事現場で、地面の中から不発弾のようなものが見つかったと警察に通報がありました。\n\n夜になって佐賀から陸上自衛隊の不発弾処理隊が到着し、調べたところ、見つかったのはアメリカ製の１００ポンド普通爆弾と分かりました。爆弾の信管は保護され、衝撃などが加わらなければ爆発の危険性はないということです。避難指示など避難の情報は出されていません。\n\n鹿児島市は午後１０時半に対策本部を設置し、今後、自衛隊や警察など関係機関と協議し、処理方法やスケジュールなどを決めていくとしています。\n\n現場は鹿児島県庁から西側におよそ９００メートル離れた、住宅や商業施設などが立ち並ぶ地域です。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069848-mbcnewsv-000-4-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/a07b44dff09e7f47aa9b9cae297a78b3d93d9c1e/images/000']
鹿児島県当初予算案一般会計８４００億円　未就学児の窓口医療費無料化など子育て関連４６８億円（MBC南日本放送）,https://news.yahoo.co.jp/articles/18e7cff46882db3787c0efd233269e24c1bd6679,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069846-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-09T19:46:00+09:00,2024-02-09T19:46:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,558,\nMBC南日本放送\n県の新年度当初予算案が９日、発表されました。総額は８４０５億円で、７年ぶりのマイナスですが、コロナ禍前の水準は確保したということです。\n\n（塩田康一知事）「誰もが安心して暮らし、活躍できる鹿児島を実現する予算として編成した」\n\n県の新年度一般会計の当初予算案の総額は８４０５億１０００万円です。新型コロナ対策と国体の経費が減っため、今年度の当初を５００億円下回り、７年ぶりのマイナス編成となりました。\n\n主な事業では子ども医療費の窓口無料化の対象者を、住民税が非課税の高校生以下から全ての未就学児に拡大するための事業など、結婚、妊娠・出産、子育てに関する事業に４６８億円、塩田知事が公約に掲げ、農林水産業や観光業、企業の「稼ぐ力」を引き上げる事業に１９９億円が計上されました。\n\n（塩田康一知事）「コロナ禍からの経済の回復を確かなものとし、経済を持続的に発展させ、県民の所得の向上を図る必要がある。農林水産業や観光関連産業、企業の稼ぐ力の向上に重点的に取り組みたい」\n\nまた、原油や物価高騰の影響を受けた事業者を支援する緊急対策も今年度に続いて盛り込まれ、７１億円が計上されました。新年度の予算案は今月２０日に開会する県議会に提案されます。\nMBC南日本放送 | 鹿児島,[],[]
腸管出血性大腸菌の感染者数　鹿児島で去年は１２６例　過去最多を更新　約６割が５歳以下の幼児（MBC南日本放送）,https://news.yahoo.co.jp/articles/056d2e834e7e5552aff050cfd30ce4d1e002c318,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069842-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-09T19:33:00+09:00,2024-02-09T19:33:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,295,\nMBC南日本放送\n鹿児島県内では腸管出血性大腸菌の感染者数が去年は１２６人で、過去最多を更新しました。\n\n県によりますと、県内の去年１年間の腸管出血性大腸菌の感染者数は１２６人でおととしと比べて９１人増加。１１年ぶりに１００人を超え、過去最多を更新しました。\n\n鹿屋市の保育施設で発生した７０人を超える集団感染が影響したとみられ、５歳以下の感染者が７５人と全体のおよそ６割を占めました。\n\n県は、感染者の多くが加熱不十分の肉を食べていたことから、肉料理は十分に加熱すること、生肉を使う箸と食事用の箸を使い分けるなどの対策を呼びかけています。\nMBC南日本放送 | 鹿児島,[],[]
奄振法５年延長法案を閣議決定「沖縄との連携強化」「移住促進」を新たな柱に　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/cf8c2d4213a38d0b1f571dfa3c3c75f517b117ff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069841-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-09T19:28:00+09:00,2024-02-09T19:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,460,\nMBC南日本放送\n政府は９日、今年度末で期限を迎える奄美群島振興開発特別措置法＝奄振法について、５年間延長する法案を閣議決定しました。\n\n奄振法は、奄美群島の社会インフラや産業を振興するため、日本復帰の翌年に制定された時限立法で、５年ごとに延長を重ねています。政府は、期限となっていた今年度末から、５年延長する改正法案を９日、閣議決定しました。\n\n国交省によりますと、来年度の奄振法関連の予算は、今年度を３％上回る総額２０５億６４００万円が計上されています。\n\n公共事業が３％増の１８１億８４００万円で、ソフトの非公共事業が今年度と同じ２３億８０００万円です。\n\n閣議決定された改正法案では、「沖縄との連携強化」を新たに掲げ、奄美から沖縄への農水産物の輸送費用や、沖縄へ向かう航空機・フェリー代の支援が盛り込まれています。\n\n移住を促進するための空き家の改修費や、先端技術を使った農業、学校の遠隔授業などデジタル技術を活用した事業への支援も新たに追加されました。\nMBC南日本放送 | 鹿児島,[],[]
屋久島オスプレイ墜落　「原因特定」報道に防衛大臣「回答差し控える」鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/4fd0caeba1307a5c38661a547b61f9620d82ec6f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069840-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-02-09T19:25:00+09:00,2024-02-09T19:27:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,493,\nMBC南日本放送\n木原防衛大臣は９日の会見で、屋久島沖でのオスプレイ墜落事故に関して、アメリカメディアが「国防総省が原因となった機器の故障を特定した」と報じたことについて問われましたが、「回答は差し控える」と述べました。\n\nこの事故は去年１１月、屋久島沖でオスプレイが墜落し、乗員８人のうち７人が遺体で見つかったもので、アメリカ軍は先月１１日までに残る１人の捜索などを打ち切りました。\n\nこの事故に関しては、アメリカのＡＰ通信が「国防総省が事故を引き起こした機器の故障を特定した」と報じていて、９日の会見でこのことについて問われた木原防衛大臣は・・。\n\n（木原稔防衛大臣）「現時点でお答えすることは差し控えますが、米側における所要の調査や分析作業は現在も継続しているものと認識をしております」\n\n「回答を差し控える」と述べました。\n\n一方、現在は停止しているオスプレイの運用の再開については、アメリカと緊密に連携して適切に対処していくとしたうえで、これまでにアメリカ側から運用に関する事前調整は来ていないことを明らかにしました。\nMBC南日本放送 | 鹿児島,[],[]
人が目で観測していた“晴れ・曇り・雨”の観測を自動化へ　鹿児島地方気象台（MBC南日本放送）,https://news.yahoo.co.jp/articles/fb95ff51b4e57882bcabc1e6098e60df311d6aec,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069839-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-09T19:22:00+09:00,2024-02-09T19:22:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,494,\nMBC南日本放送\n雲の間にのぞく青空。みなさんは、この空が晴れなのか曇りなのか分かりますか？\n鹿児島地方気象台ではこうした天気などを人が目で見て判断していますが、来月２６日からは機器が自動で行うことになりました。\n\n鹿児島地方気象台では、気温や風、降水量などは機器をつかって自動で観測していますが、晴れや曇り・雨などといったその日の天気や、どこまで見通しがきくのかといった視程の観測は、これまで、職員が目で直接見て行ってきました。\n\nしかし、来月２６日からは天気や視程の観測も敷地内に設置する観測機器で自動化することになったのです。\n\n気象レーダーや気象衛星を活用して、大気の状態を総合的に把握できるようになってきたことから、観測の自動化は全国で広がっています。これに伴って、今まで目視で観測していた竜巻や黄砂、ひょうなどの現象は観測を終了します。ただ、初霜や初氷、桜島の初冠雪については、これまでどおり目視で観測を行うということです。\n\nこれまで目視での観測に携わってきた職員は、自動化の後は防災対応の業務にあたるということです。\nMBC南日本放送 | 鹿児島,[],[]
２月９日は「肉の日」　黒毛和牛のすきやきが学校給食に　鹿児島県南さつま市（MBC南日本放送）,https://news.yahoo.co.jp/articles/b4e221bb52f06b917ef2732838bd770946c94b55,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069838-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-09T19:18:00+09:00,2024-02-09T19:19:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,354,\nMBC南日本放送\nきょう２月９日は、語呂合わせで「肉の日」です。それにあわせて南さつま市の小中学校では、黒毛和牛を使った給食が提供されました。\n\n南さつま市金峰町にある義務教育学校「金峰学園」で給食に出されたのは、すきやき。\n\n使われている牛肉は、市内で肉の生産加工をしている「スターゼンミートプロセッサー」が提供した県産の黒毛和牛です。\n\n南さつま市では８日と９日の２日間、提供されたモモスライス肉１２０キロを使って、市内の小中学校と義務教育学校、合わせて１４校でおよそ２６００食分が準備されたということです。\n\n（スターゼンミートプロセッサー・加世田工場 清水龍三工場長）「鹿児島で育った牛肉を、地元の子どもたちに食べてもらって健康にそだってほしい」\nMBC南日本放送 | 鹿児島,[],[]
舞うツルの向こうに“ダイヤモンド霧島”　早春の出水平野ならではの光景　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/c1f56e76e5ff69676cc2ccc5e09db0e12699fef7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240209-00069837-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-09T19:15:00+09:00,2024-02-09T19:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,334,\nMBC南日本放送\n出水平野で９日朝撮影された、この時期ならではの映像が届きました。\n\n出水平野を舞うツルの向こう側に見える霧島連山・韓国岳山頂に輝く朝日。宝石のように輝く姿は写真愛好家からは「ダイヤモンド霧島」と呼ばれています。\n\n今の時期に天候などの条件が整わないと見られないということで、９日は撮影に訪れている人の姿も見られました。\n\n輝く“ダイヤモンド霧島”と、朝日を浴びながら舞うツルが同時に見られる早春の出水平野ならではの光景。\n\n出水平野でこの冬を過ごしたツルの北帰行もすでに始まっている中で、希少なチャンスをいかして撮影することができました。\n\n撮影は、ＭＢＣふるさと特派員の赤木仁一さんでした。\nMBC南日本放送 | 鹿児島,[],[]
