headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「奄美群島ｅしまギフト」スタート　奄美群島１２市町村でふるさと納税返礼品に電子クーポン　九州初（MBC南日本放送）,https://news.yahoo.co.jp/articles/c1f0f0b250ec4691136aa757c7d1490b2b561b5f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070541-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-25T19:33:00+09:00,2024-03-25T19:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,475,\nMBC南日本放送\nふるさと納税の返礼品として、奄美群島の１２市町村で利用できる電子クーポン「奄美群島ｅしまギフト」が２５日からはじまりました。\n\n（日本航空鹿児島支店 久見木大介支店長）「従来型のふるさと納税では十分に恩恵を受けられなかった観光業、飲食業がターゲットになることで、地域の事業に経済効果をもたらすことが見込まれる」\n\n「奄美群島ｅしまギフト」は、奄美群島の１２市町村のいずれかにふるさと納税をすると、返礼品として電子クーポンが受け取れるもので、ＪＡＬグループのジャルパックが運営します。電子クーポンは、奄美群島の飲食店や体験施設など１５２の加盟店で使え、今後、増やす予定です。\n\n（瀬戸内町 鎌田愛人町長）「１つの島だけではなく、いろいろな島で新しい体験をしてみよう、そう思ってもらえれば更なる奄美群島の魅力発見につながる」\n\n旅先の複数の自治体で連携し、共通の返礼品を発行するのは九州では初めてで、全国では３例目です。対象の１２市町村に住民票がある人は利用できないということです。\nMBC南日本放送 | 鹿児島,[],[]
「新スタジアム早期整備を」県サッカー協会など２団体が塩田知事・下鶴市長に要望書提出（MBC南日本放送）,https://news.yahoo.co.jp/articles/343a954fe47f027d8e1167d67314be4e159d1403,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070542-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-25T19:37:00+09:00,2024-03-25T19:37:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,769,\nMBC南日本放送\n整備地の選定が難航している鹿児島市のサッカースタジアムについて、県サッカー協会の会長らが２５日、鹿児島市の下鶴市長と塩田知事にスタジアムの早期整備を求める要望書を提出しました。\n\n鹿児島市のサッカースタジアムの候補地を巡っては、「ドルフィンポート跡地」など３か所が白紙になったあと、県有地の「北ふ頭」案も県や関係者との調整が難航し、白紙となりました。\n\n２５日は、県サッカー協会の西原一将会長と県ラグビーフットボール協会の渡辺丈会長が、下鶴市長に早期整備を求めて要望書を出しました。\n\n現状の白波スタジアムでは、子どもたちの県大会などの日程がほかの競技と日程が重なり、利用が難しいことや、日本代表チームのキャンプ招致などを見据え、「白波スタジアムの改修ではなく、新たなスタジアムの早期整備」を求めています。\n\n（県ラグビーフットボール協会 渡辺丈会長）「子どもたちに夢を見せるためにはサッカーもラグビーも新しいスタジアムが必要だと感じている。１日でも早く実現していただければと思う」\n\n（下鶴市長）「Ｊ１昇格、ライセンスの取得に加え、子どもたちのプレーする場、あこがれの場としての新スタジアムの必要性の高さを今回の要望を通じて実感した。オール鹿児島で早期整備に向けて取り組んでいきたい」\n\n２つの団体は２５日、塩田知事にも要望書を提出し、塩田知事は「県・市で連携し、新しい候補地を検討したい」と答えました。\n\n（県サッカー協会 西原一将会長）「スタジアムをつくる機運が盛り上がってきている中で、今の実態を理解いただいて少しでも前に進めるようにという思いで要望した」\n\n候補地が白紙になった後、２つの団体が県と鹿児島市に要望書を提出するのは初めてです。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島大学で卒業式２３７２人が門出　鹿屋体育大学では懇親会で晴れ着の卒業生にステーキ肉（MBC南日本放送）,https://news.yahoo.co.jp/articles/8a2cb3afa13d782f6dd27056c7eca74fb8d13a9a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070544-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-25T19:42:00+09:00,2024-03-25T19:42:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,870,\nMBC南日本放送\n鹿児島県内の大学では２５日、卒業式が開かれた学校もありました。鹿屋体育大学では、晴れ着姿の卒業生に地元の牛肉ステーキがふるまわれました。\n\n鹿児島大学では、学部卒業生１８２３人、大学院修了生５４９人、合わせて２３７２人が新たな門出をむかえました。今年は５年ぶりに保護者らも参加し、コロナ禍前の形で開かれました。\n\n式では、佐野輝学長が「自信と誇りをもって未来に向かって羽ばたいてください」と卒業生を激励しました。\n\n（教育学部４年）「入学式もなくてオンラインの授業も多く、大学生活に不安がいっぱいだったが、素敵な友達もできて充実した４年間だった」\n\n（法学部・水産学部４年）「楽しかった。たまに連絡取り合って昔の話に花を咲かせられたら」\n\n（教育学部・大学院に進学）「３、４年生から少しずつ勉強・研究で充実感を得られた。いい先生になれるよう勉学に励みたい」\n\n（教育学部４年・保護者）「立派に育ってくれてよかったと安心」「４月から社会人になるので親孝行できるよう頑張ります」「楽しみにしています」\n\n鹿児島大学の就職内定率は２月末時点で、学部生が９４パーセント、大学院生が９７パーセントです。\n\n\n鹿屋市の鹿屋体育大学では、今年は１８５人が卒業、２６人が大学院を修了しました。\n\n式の後の懇親会では、地元の商工会議所などでつくる実行委員会から県産黒牛肉のステーキのふるまいも…。新型コロナの影響で中止していた恒例行事が５年ぶりに復活しました。\n\n（卒業生・剣道部）「本当においしくて、鹿屋市の人に感謝しています。最初（コロナの）制限とかがいっぱいあったが、その分、みんなといる時間が長くて、いい思い出ができた」\n\n（卒業生・なぎなた部）「とてもおいしくて、鹿屋で過ごせてすごくよかった。４月からは教員として働くので、これまで４年間学んだことを生かしながら、がんばりたい」\n\n晴れ着やスーツ姿の卒業生たちは、おいしそうに食べていました。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島市が人事異動発表　女性管理職２２．１％過去最高に（MBC南日本放送）,https://news.yahoo.co.jp/articles/b4c8d90ea3a787d07c80f7100efdc1b9278c39c7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070540-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-25T19:30:00+09:00,2024-03-25T19:30:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,331,\nMBC南日本放送\n鹿児島市は２５日、この春の人事異動を発表しました。女性管理職の割合は２２．１パーセントで過去最高を更新しました。\n\n異動規模は今年度より１８３人多い１７８７人で、役職定年による異動が含まれるため、多くなっています。\n管理職の女性の数は今年度より５人多い１０１人で、割合は２２．１パーセントと過去最高となりました。\n\n主なところでは、危機管理局長に水之浦達也産業振興部長が、産業局長には新小田洋子こども未来局次長が起用されます。\n建設局長には日高謙次郎都市計画部長、消防局長には斎藤栄次消防局次長が昇任します。\n\n異動は４月１日付けです。\n\n※日高謙次郎都市計画部長の「高」は、はしごだか\nMBC南日本放送 | 鹿児島,[],[]
鹿児島県薩摩地方で地震 霧島市で最大震度２ 津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/9653a93271032f20d49a776fe1a3a478853c5722,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00282980-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-25T23:48:00+09:00,2024-03-25T23:48:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,136,\n25日午後11時45分ごろ最大震度２の地震がありました。\n震源は鹿児島県薩摩地方で地震の規模を示すマグニチュードは2.9と推定されています。\n\n各地の震度は、\n震度２が霧島市、\nです。\nこの地震による津波の心配はありません。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00282980-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/9653a93271032f20d49a776fe1a3a478853c5722/images/000']
Ｖ３リーグ初参戦で初優勝！　フラーゴラッド鹿児島　来季は新Ｖリーグへ（MBC南日本放送）,https://news.yahoo.co.jp/articles/e4a9eff8aee1e5a446929db687304885947e49bd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070537-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-25T19:24:00+09:00,2024-03-25T19:24:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1241,\nMBC南日本放送\nバレーボールＶ３のフラーゴラッド鹿児島は２４日、静岡でＶ・ファイナルステージ、ファイナルに臨み勝利。リーグ参入１年目で初優勝を果たしました。\n\nレギュラーラウンド１位のフラーゴラッド鹿児島の今シーズンを締めくくる大一番。勝てばＶ３優勝が決まります。相手は長野ＧａＲｏｎｓ。会場には地元・日置市などから１００人を超えるサポーターが詰めかけました。\n\n（鹿児島からのサポーター）\n「７時間ぐらいかかった。（Ｑ．地元のチームがこのような舞台に立つのはどうですか？）素晴らしいですよね。とてもうれしいです」\n\n「今回、初めて試合にカメラを持ってきた。優勝を撮ろうと思って」\n\n立ち上がりからリズムを掴んだフラーゴラッド。強烈なスパイクを拾ったリベロ前田のレシーブが直接相手コートに入ります。宇検村出身・津田のサービスエースも。中盤、相手に粘られますが、持ち前の攻撃力で常にリードを奪い、第１セットを先取します。\n\n第２セットは先にセットポイントを握られますが、相手サーブのミスで同点に追いつくと、Ｖ３得点王・長友のスパイク。最後は相手スパイクがアウトとなり、第２セットも連取します。\n\n勢いそのままに、第３セットは相手を圧倒。ところがマッチポイントになってから、なかなかあと一点が奪えません。それでも、セットカウント３対０のストレート勝ち。\n\nフラーゴラッド鹿児島は、リーグ参戦１年目で初優勝の快挙を成し遂げ、かけつけたサポーターと喜びを分かち合いました。\n\n（津田大地選手）「（アウェーでも）ホームのように自分たちの力になっていて、きょうもその応援のおかげ」\n\n優勝を撮るためカメラを購入して静岡にやってきたサポーターの橋口佳代子さんは「来るか悩んだけど、来てよかった。撮るのはなかなか難しい」といいつつ、選手の笑顔をカメラにおさめていました。\n\n胴上げでは、チームの立ち上げから関わる川畑俊輔ＧＭの姿も。その目には涙が。\n\n（川畑俊輔ＧＭ）「この３年間は長かったなと言うのが正直な気持ち。チームを立ち上げた時、上手くいきそうで、上手くいかないことがいっぱいあった。そのことをマッチポイントをとって、あと１点がとれない時に思い出して、色々感じながらベンチに座っていた」\n\n（坂元健人主将）「来シーズン、Ｖ２に所属しているチームも入ってくるので、厳しい戦いが多くなると思う。チーム全員で戦って、最終的には優勝を目標に頑張っていきたい」\n\n最後のＶ３王者となったフラーゴラッド鹿児島。というのも、来シーズンからＶリーグの形が変わります。\n\nこれまでＶ１からＶ３まで３部でしたが、来季から「ＳＶ」と「Ｖ」の２つのリーグに再編され、フラーゴラッドは「Ｖリーグ」に所属する予定です。\nＶにはこれまでに１４チームがライセンスを交付されていて、今季Ｖ２だったチームなどと優勝を争います。\nMBC南日本放送 | 鹿児島,[],[]
Ｂ３鹿児島レブナイズ　今季最長１０連勝　森田が攻守にわたる活躍でチームの勝利に貢献（MBC南日本放送）,https://news.yahoo.co.jp/articles/d5d6d63858dffe7cc2a9897a01264105fcf70f0d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070536-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-25T19:20:00+09:00,2024-03-25T19:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,505,\nMBC南日本放送\nバスケットボールＢ３の鹿児島レブナイズは２３日・２４日、ホームで徳島と対戦。連勝を１０に伸ばし、シーズン終盤に勢いをつけました。\n\n５位の徳島ガンバロウズをホームに迎えた鹿児島レブナイズ。２４日の試合で活躍したのが、背番号１１の森田です。\n\n第１クォーター、相手ディフェンスを集め、フリーの松井にパス。（松井スリーポイント）アシストで得点につなげます。\n\n第２クォーターには、スティールからシュート。後半も勢いそのままに、スリーポイントシュートを鮮やかに決めると、今度はディフェンスをかわし、倒れながらもシュート。\n\n森田は１２得点・６アシストに２つのスティールと、攻守にわたる活躍で勝利に貢献。連勝を今季最長の１０に伸ばし、シーズン終盤戦で弾みをつけました。\n\n（森田雄次選手）「声掛けや味方をたきつける役割は自分が一番やろうという気持ちを持っている。残り４試合、プレーオフにつながるようなゲーム展開にできれば」\n\n３位キープのレブナイズ。今シーズンは残り４試合、次の試合は今月３０日・３１日、県体育館で６位の横浜と対戦します。\nMBC南日本放送 | 鹿児島,[],[]
不発弾で住宅街７００人避難　７９年前に米が空襲で投下か　交通規制で商業施設に影響も　鹿児島市真砂本町（MBC南日本放送）,https://news.yahoo.co.jp/articles/fab9142decb30529741b01141be5ff59e7b4af77,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070539-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-25T19:28:00+09:00,2024-03-25T19:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,892,\nMBC南日本放送\n鹿児島市で見つかったアメリカ製の不発弾の処理が、２４日に行われました。住民７００人が雨の中避難し、自衛隊の作業は無事に完了しました。\n\n（記者）「処理開始まで２時間前。土のうの中心に不発弾があります。処理に向け自衛隊が準備を進めています」\n\n鹿児島市真砂本町の解体工事現場で先月９日、およそ４５キロの不発弾が見つかりました。太平洋戦争中の７９年前、アメリカ軍が空襲で投下したものとみられています。\n\n（消防車アナウンス）「警戒区域内の住民は午前８時３０分までに警戒区域外へ避難してください」\n\n鹿児島市は半径１６６メートルを警戒区域に指定して立ち入りを禁止し、雨が降る中、住民およそ７００人が避難しました。\n\n（避難する人）「実家があるのでそこに避難する。大丈夫だと思う、信頼しているので」\n\nＱ．不発弾があると聞いてどう？\n（避難する人）「びっくりした、怖い。不発弾があると思わない。何十年と埋まって何事もなかったから今まで」\n\n警戒区域内にあるスポーツジムやコンビニは一時閉店。\n\nこちらの美容室は警戒区域外にありますが、臨時休業しました。\n「予約を取らないで閉めることにしました。大丈夫だと思うが（処理が）無事に終わってほしい」\n\n市が避難所に指定した近くの中学校や福祉施設には３０人が避難しました。\n\n（中学校に避難した人）\n「早く（処理が）終わればいいなと毎日思っていた」\n\n「誘導もしてもらい、声掛けも消防職員などがしてくれたので安心感があった」\n\n陸上自衛隊の不発弾処理隊が作業を始めて２３分後…。弾薬を作動させる「信管」が無事抜かれ、周辺の規制も解除されました。\n\n（西部方面後方支援隊第１０４不発弾処理隊 遠矢博史隊長）「爆発するリスクはゼロではなくある。（処理の）難易度は信管の腐食が進んでいたので、簡単ではなく難しい部類。（信管を）離脱でき安心している」\n\n不発弾は２４日のうちに大分分屯地に運ばれ、専門の業者によって処分されるということです。\nMBC南日本放送 | 鹿児島,[],[]
「電気記念日」生活支えて１０３年　大正１０年稼働の妙見発電所（MBC南日本放送）,https://news.yahoo.co.jp/articles/1079b562579b40dfe504c9a97958cb16ce92c808,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070535-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-25T19:16:00+09:00,2024-03-25T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,558,\nMBC南日本放送\nいまから１４６年前＝１８７８年の３月２５日に、日本で初めて公共の電灯が点灯されたことにちなみ、きょう３月２５日は「電気記念日」です。\n鹿児島県の霧島市牧園町には、１００年以上前に建てられ、今も現役で稼働する発電所があります。\n\n霧島市牧園町にある九州電力「妙見発電所」です。１９２１年＝大正１０年に建てられ、１０３年経った今も現役で稼働しています。\n\n発電機は３つあり、１号機は中津川から、２号機と３号機は天降川から水をとっています。歴史を感じさせる石造りの建物は、大正時代の発電所の構造を今に伝える建物として、２０１１年に国の登録有形文化財に指定されました。\n\n（九州電力鹿児島水力事業所 梅木祐一さん）「現在では珍しい石造り。水量が豊富で、比較的安定した電力供給が出来る」\n\n今月１２日。月に１度の定期点検が行われました。水の力を利用して水車を回し、そのエネルギーを電気に変える、水力発電。３つある発電機のうち、１号機は１分間に７２０回回転します。\n\n妙見発電所で作られた電気は、周辺のおよそ９３００世帯分をまかなっています。\n\n大正、昭和、平成、令和と１００年以上に渡り人々の生活を支えてきた妙見発電所は、きょうも動き続けます。\nMBC南日本放送 | 鹿児島,[],[]
オスプレイ墜落事故　救助・捜索に協力の漁協関係者らに感謝状　十管（MBC南日本放送）,https://news.yahoo.co.jp/articles/480ed8fab017e14bbddb57bfda3848fb933b2420,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070531-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-25T16:10:00+09:00,2024-03-25T16:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,432,\nMBC南日本放送\n屋久島沖で去年１１月、アメリカ軍のオスプレイが墜落した事故で、救助や捜索に協力した漁業関係者に十管が感謝状を贈りました。\n\n墜落事故では乗員８人全員が死亡しました。屋久島漁協では事故の直後から乗員の救助や捜索に協力しました。\n\n２５日は、第十管区海上保安本部の坂巻健太本部長らが屋久島町役場を訪れました。そして漁業者や屋久島町に対し、感謝状が手渡されました。\n\n（十管本部 坂巻健太本部長）\n「機体の回収も漁業、漁船の方がやっていただいたということで非常にありがたく思っている。地元の方のおかげ」\n\n（屋久島漁協 羽生隆行組合長）\n「日米の協定の関係があるのはわかりませんけど、すぐ捜索に出れるという状況が、今回は欲しかった。そうすれば、また状況は違ったのではないか。二度とこのような事故が起きないようやってもらいたい」\n\n漁協によりますと２日間でのべ１６隻が協力したということです。\nMBC南日本放送 | 鹿児島,[],[]
「許されざる誤り」水俣病訴訟請求棄却受け、原告らが街頭活動（MBC南日本放送）,https://news.yahoo.co.jp/articles/77e103346aed8dd364a88875e1bda777adc52690,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240325-00070530-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-25T16:12:00+09:00,2024-03-25T16:12:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,582,\nMBC南日本放送\n水俣病特別措置法の救済を受けられなかった、鹿児島県の住民らが国などに損害賠償を求めた裁判で訴えが退けられたことを受け、原告らが判決に抗議する街頭活動を鹿児島市で行いました。\n\n（原告団副団長 村山悦三さん）\n「私たちを切り捨てる、あたかも水俣病はもう終わったのだと」\n\nこの裁判は、水俣病の症状があるにも関わらず、特措法に基づく救済の対象とされなかったと訴える鹿児島県や熊本県の住民１４００人が、国や熊本県、原因企業チッソに損害賠償を求めたもので、今月２２日の判決で熊本地裁はこのうち１４４人について全員の請求を棄却しました。\n\n去年９月、同様の裁判で大阪地裁が原告全員を水俣病と認めていて、司法の判断が分かれる形となりました。\n\n２４日は出水市の原告や支援者らが、鹿児島市で街頭活動を行いました。\n\nこの中で判決を「許されざる誤り」としたうえで、２５人を水俣病と認めながら、提訴時期が遅いことを理由に損害賠償の対象外としたことについて、「いまだに救済されない水俣病被害者が存在することを示した」と訴えました。\n\n（原告団副団長 村山悦三さん）\n「熊本地裁での判決に大きな期待を寄せていたが、残念ながら全面的に敗北した。これに屈することなく、控訴して全員の救済に向けて頑張る決意」\nMBC南日本放送 | 鹿児島,[],[]
