headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「雷鳴のような大きな音」…コンクリ壁に車衝突、運転の72歳と後部座席の89歳死亡　福祉施設送迎中か、助手席の75歳も重傷　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/dfbd1c7fd62dae49f0b30368b75116fa8a92ffe3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000016-minami-000-2-view.jpg?exp=10800,2024-12-11T22:15:22+09:00,2024-12-11T22:51:22+09:00,南日本新聞,minami,南日本新聞,468,事故で大破した普通貨物車＝１１日午後２時５分ごろ、鹿児島西署 １１日午前９時２０分ごろ、鹿児島市上谷口町の県道で、普通貨物車が道路脇のコンクリート壁に衝突した。運転していた日置市東市来町湯田、介護老人保健施設職員の男性（７２）と後部座席に乗っていた鹿児島市上谷口町、無職女性（８９）が意識不明の状態で搬送され、間もなく死亡した。助手席の無職男性（７５）＝同市＝は右手首を折る重傷を負った。 【写真】〈別カット〉事故で大破した普通貨物車＝１１日午後２時５分ごろ、鹿児島西署 複数の近隣住民によると、無職女性は日中、日置市の福祉施設に通っており、事故当時は送迎中だったとみられる。 鹿児島西署と市消防局によると、現場は住宅街につながる市道と県道が交わる信号機のない丁字路。市道から坂を下って県道に出ようとした車が止まりきれず、道路脇の壁に正面から衝突した。近くの男性が「事故だ」と１１９番した。 事故現場に駆けつけた男性（８８）は「雷が鳴るような大きな音がした。車の前方は大破し、スペアタイヤが外れていた」と話した。 南日本新聞 | 鹿児島,[],[]
引き渡し時に管理票を受け取らず運搬　鹿児島市の産廃処理業者に30日間の事業停止命令　鹿児島県（南日本新聞）,https://news.yahoo.co.jp/articles/2fec61832b4a29dc18b630d72f2745e1cdfb79f5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000015-minami-000-1-view.jpg?exp=10800,2024-12-11T21:03:22+09:00,2024-12-11T21:03:22+09:00,南日本新聞,minami,南日本新聞,256,イメージ 鹿児島県は１１日、鹿児島市の産業廃棄物処理業者の産業廃棄物収集運搬業と特別管理産業廃棄物収集運搬業の事業停止命令を出した。期間は３０日間。 フォークリフト後進中、上がったままの別のフォークが腰に刺さり死亡 資格ない別の従業員が運転、降下処置せず 管理業者の副社長ら書類送検 鹿児島労基署 県によると、産業廃棄物の引き渡しを受ける際に必要な産業廃棄物管理票を排出事業者から受け取っていなかった。別の排出事業者の産業廃棄物と一緒に運搬していたという。市役所からの情報提供で判明した。 南日本新聞 | 鹿児島,[],[]
勘違いで実技講習を免除…未受講のまま修了証を交付　鹿児島労働局が自動車学校を処分　小型移動式クレーン運転（南日本新聞）,https://news.yahoo.co.jp/articles/a0cfbf8b85491e455df545f242fdeb16e212a132,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000014-minami-000-1-view.jpg?exp=10800,2024-12-11T20:51:22+09:00,2024-12-11T20:51:22+09:00,南日本新聞,minami,南日本新聞,351,イメージ 鹿児島労働局は１１日、薩摩川内市の自動車学校が行う小型移動式クレーン運転技能講習を、今月１０日から２カ月間、業務停止処分としたと発表した。法令で定める講習を受けていない受講者２人に修了証を交付していた。 24年問題に揺れるトラック業界…役員が過積載指示、鹿児島市の運送会社に事業停止処分 保有する全116台の使用停止命じる 九州運輸局 処分対象は、今年９月２１日から２３日までに２人が受けた技能講習。本来４学科２実技を受ける必要があったが、ワイヤロープの掛け方と荷重との関係などを学ぶ学科、荷下ろしの際に合図の出し方などを学ぶ実技講習をそれぞれ免除していた。 同局の立ち入り監査で発覚。同局によると、２人は免除条件を満たしていなかったが、学校側が勘違いし免除していた。 南日本新聞 | 鹿児島,[],[]
カーナビでお世話になってます…日本版GPS「みちびき6号機」を搭載、H3ロケット5号機は来年2月1日打ち上げ　種子島宇宙センター（南日本新聞）,https://news.yahoo.co.jp/articles/34e73dd26f49a4281b65c469aa7ed1c5901692f4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000013-minami-000-1-view.jpg?exp=10800,2024-12-11T20:43:21+09:00,2024-12-11T20:43:21+09:00,南日本新聞,minami,南日本新聞,506,（写真：南日本新聞社） 宇宙航空研究開発機構（ＪＡＸＡ）は１１日、新型基幹ロケット「Ｈ３」の５号機を来年２月１日に鹿児島県南種子町の種子島宇宙センターから打ち上げると発表した。カーナビや携帯電話の位置情報サービスに利用される内閣府の測位衛星「みちびき６号機」を搭載する。打ち上げ予定時間は午後５時半～７時半。予備期間は３月３１日まで。 〈2021年10月〉日本版GPS「みちびき」後継機成功 「新ビジネス創出に貢献」 位置情報を安定提供、経済、防災分野で活用 内閣府は２０１８年から４機体制でみちびきを運用している。今回の６号機に続いて、来年度は５号機と７号機の打ち上げを計画。７機体制になると、米国の衛星データなども活用している現在の位置情報サービスを「みちびき」だけで提供できる。位置情報の誤差は数センチという。 Ｈ３の５号機は、１～４号機と同様に固体ロケットブースター２機を使用し打ち上げる。ブースターは、地上燃焼試験中に爆発事故が２回連続で起きたイプシロンＳのエンジンと一部共通の部品が使われているが、ＪＡＸＡは影響はないと判断した。Ｈ３は現在、３機連続で打ち上げに成功している。 南日本新聞 | 鹿児島,[],[]
自称防水工の男「知りません」　60代男性宅に侵入し現金盗んだ疑いで逮捕　日置署（南日本新聞）,https://news.yahoo.co.jp/articles/7832d18436c597e0615d57d1fb118805f530fc61,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000012-minami-000-1-view.jpg?exp=10800,2024-12-11T20:40:21+09:00,2024-12-11T20:40:21+09:00,南日本新聞,minami,南日本新聞,208,（写真：南日本新聞社） 鹿児島県警日置署は１１日、住居侵入と窃盗の疑いで、日置市伊集院町土橋、自称防水工の男（３９）を逮捕した。 【写真】〈関連〉日置市の位置を地図で確認する 逮捕容疑は１日午後３時半ごろから９時ごろまでの間、同市の６０代男性宅に侵入し、現金８万円を盗んだ疑い。「知りません」と容疑を否認しているという。 被害に気付いた男性が署に届け出た。防犯カメラや聞き込みなどで特定した。 南日本新聞 | 鹿児島,[],[]
昼の勝負飯は黒牛VS海鮮　将棋・竜王戦第6局、佐々木八段が73手目を封じ初日終える　12日午前9時に再開　指宿（南日本新聞）,https://news.yahoo.co.jp/articles/31956229ffe8aadbc89a6f0e0c0c6a687a97f705,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000011-minami-000-1-view.jpg?exp=10800,2024-12-11T20:27:21+09:00,2024-12-11T20:27:21+09:00,南日本新聞,minami,南日本新聞,467,第３７期竜王戦７番勝負の第６局に臨む藤井聡太竜王＝１１日午前９時すぎ、指宿市の指宿白水館（日本将棋連盟提供） 将棋の藤井聡太竜王（２２）＝名人・王位・王座・棋王・王将・棋聖との七冠＝に佐々木勇気八段（３０）が挑戦する第３７期竜王戦７番勝負の第６局が１１日、鹿児島県指宿市の指宿白水館で始まった。これまで藤井竜王が３勝２敗で、４連覇に王手をかけている。佐々木八段が午後６時すぎ、７３手目を封じて初日を終えた。 【写真】〈関連〉封じ手を立会人に渡す佐々木勇気八段（手前左）＝１１日午後６時すぎ、指宿市の指宿白水館（日本将棋連盟提供） 対局は午前９時に先手の佐々木八段が飛車先の歩を指してスタート。「相掛かり」の戦型で展開した。 主催者によると、初日の昼食には藤井竜王が「鹿児島黒牛膳」、佐々木八段が「海鮮丼」と「すし」を選んだ。 竜王戦７番勝負は先に４勝した棋士がタイトルを獲得する。これまで、第１、３、５局を藤井竜王、第２、４局を佐々木八段が勝っている。 ２日目は１２日午前９時に再開し、午後に決着する見込みだ。 南日本新聞 | 鹿児島,[],[]
勤務先の整体院。20代女性に施術中、胸や下半身を触る…容疑で逮捕の柔道整復師は否認　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/4432aa44ebac2432260bc50de7e5619bcb002e69,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000010-minami-000-2-view.jpg?exp=10800,2024-12-11T20:13:22+09:00,2024-12-12T08:55:07+09:00,南日本新聞,minami,南日本新聞,256,（写真：南日本新聞社） 鹿児島県警は１１日、不同意わいせつの疑いで、鹿児島市紫原５丁目、柔道整復師の男（３１）を逮捕した。 「手品の練習台に…」とウソ、女性の手首を結束バンドで拘束し乱暴 被告の男、起訴内容認める「欲望がまさった」 鹿児島地裁初公判 逮捕容疑は１０月初旬、勤務先の県内の整体院内で、県内の２０代女性を施術中、胸や下半身を触るわいせつな行為をした疑い。 県警によると１０月上旬、女性が被害を届け出た。関係者への事情聴取で特定した。「わいせつ行為はしていない」と否認している。 南日本新聞 | 鹿児島,[],[]
豚4070頭が焼け死ぬ　豚舎4棟を全焼、7時間40分後に鎮火　技能実習生2人がのどにやけど　曽於（南日本新聞）,https://news.yahoo.co.jp/articles/6d32f40e6e9c2fcae41fee9423a3da1c85331331,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000009-minami-000-1-view.jpg?exp=10800,2024-12-11T19:35:23+09:00,2024-12-11T19:35:23+09:00,南日本新聞,minami,南日本新聞,289,出火した豚舎の消火活動をする消防署員や団員ら＝１１日、曽於市末吉町深川 １１日午前９時２０分ごろ、鹿児島県曽於市末吉町深川、エムケイ商事（都城市）の末吉ファーム豚舎から出火、木造平屋４棟計約４８３０平方メートルを全焼し、約７時間４０分後に鎮火した。従業員の外国人技能実習生男女２人がのどにやけどを負い、豚約４０７０頭が焼け死んだ。 【写真】〈関連〉曽於市の位置を地図で確認する 曽於署によると、出火当時は１１人の従業員がいた。豚舎は子豚舎など４種類に分けられており、従業員は「分娩（ぶんべん）舎から火が出ていた」と話しているという。従業員が１１９番した。 南日本新聞 | 鹿児島,[],[]
天敵温存植物「クレオメ」で害虫からトマトを守れ…野菜班の高校生が育てた苗配る　農家「農薬減らせる。ありがたい」（南日本新聞）,https://news.yahoo.co.jp/articles/ac09c232dbcbf412d0e4aafa4ba01aafa0874656,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000008-minami-000-1-view.jpg?exp=10800,2024-12-11T18:00:21+09:00,2024-12-11T18:00:21+09:00,南日本新聞,minami,南日本新聞,656,育てたクレオメをトマト農家に配る薩摩中央高校生＝さつま町虎居 鹿児島県さつま町虎居の薩摩中央高校生が、トマトの害虫を捕食する天敵昆虫の導入に欠かせない植物クレオメを育て、地元農家に配った。天敵による防除は薬剤使用を抑え、コスト削減や安心安全な生産が期待できる。県内の高校生が、天敵温存植物を栽培して配布する試みは珍しい。 【写真】生徒が採集したタバコカスミカメ（薩摩中央高校提供） トマトの施設栽培は、葉の汁を吸ったりウイルスを媒介したりする、害虫コナジラミ類、アザミウマ類の防除が課題。対策の一つとして、天敵昆虫タバコカスミカメ（体長３．５ミリ程度）の導入が有効とされ、ハウス内で定着させるために餌となるクレオメなどの配置が必要という。 クレオメを栽培したのは生物生産科３年の野菜班４人。地域農業の課題解決に取り組んでおり、カスミカメの導入普及を目指す県や町、ＪＡ北さつまの依頼を受け、天敵温存植物について理解を深めながら９月から配布用を育て始めた。 当日は、ＪＡ北さつまトマト部会の生産者１０人に苗１０鉢をそれぞれ配った。副部会長の楠元伸一さん（５１）は、昨年度からカスミカメを導入して効果を実感する一人。「農薬使用を抑えることで、散布作業も減らせる。会員にも広めたかったので、高校生の協力はありがたい」と感謝した。 野菜班の小島脩太郎さんは「これまで天敵温存植物について知識がなく、勉強になった。生産者の負担軽減につながればとの思いで大事に育てたので、役に立てばうれしい」と話した。 南日本新聞 | 鹿児島,[],[]
急上昇ワード1位は「県警」　今年「鹿児島県」と一緒にグーグル検索される（南日本新聞）,https://news.yahoo.co.jp/articles/9d9bb8dc7fb20aeaf83672714706c7771f5c79d2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000007-minami-000-1-view.jpg?exp=10800,2024-12-11T14:45:21+09:00,2024-12-11T14:45:21+09:00,南日本新聞,minami,南日本新聞,492,〈資料写真〉３０代男性巡査部長の懲戒免職処分で謝罪する牛垣誠首席監察官＝１１月２２日、鹿児島市の県警本部 インターネット検索大手のグーグルは１０日、２０２４年に「鹿児島県」と一緒に検索された急上昇キーワードの１位は「県警」だったと発表した。県警トップの不祥事隠蔽〔いんぺい〕疑惑や現職警察官による相次ぐ性犯罪、県議会による事実解明のための調査特別委員会（百条委員会）設置決議案の否決などがあり、関心が集まったとみられる。 盗撮、少女と性交…鹿児島県警不祥事の記事一覧を見る グーグルによると、調査期間は１月１日～１１月２０日で、全国の利用者が対象。急上昇キーワードは、昨年と比較して検索数が大きく伸びたもので、今年の話題や流行が反映されているという。２位は薩摩川内市や鹿児島市であった「市議会議員選挙」、３位は８月末に閉店した同市の「イオン鹿児島鴨池店」だった。 全体の１位は大谷翔平選手が移籍し、米大リーグのワールドシリーズで優勝した「ドジャース」。パリで開催された「オリンピック」が２位で、２月に大谷選手との結婚が発表された「田中真美子」さんが３位だった。 南日本新聞 | 鹿児島,[],[]
高齢者運転の車がコンクリート壁に衝突、２人が意識不明　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/c8363bfeaa84b57f1b750273e6977d728721801f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00000006-minami-000-1-view.jpg?exp=10800,2024-12-11T12:55:21+09:00,2024-12-11T12:55:21+09:00,南日本新聞,minami,南日本新聞,304,（写真：南日本新聞社） １１日午前９時２０分ごろ、鹿児島市上谷口町の県道で、普通貨物車が道路脇のコンクリート壁に衝突した。運転していた高齢男性と後部座席の高齢女性が意識不明の状態。助手席の高齢男性は意識はある。 【写真】車がコンクリート壁に衝突した現場＝１１日正午ごろ、鹿児島市上谷口町 鹿児島西署と市消防局などによると、３人が乗車。現場は路地と県道が交わる丁字路で、路地から県道に出ようとした車が止まりきれず、道路脇の壁に正面から衝突したとみられる。目撃者が１１９番した。 事故を目撃した男性（８８）は「雷が鳴るような大きな音がした。車は大破し、スペアタイヤも外れていた」と話した。 南日本新聞 | 鹿児島,[],[]
