headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【速報】南九州道の通行止め解除　伊集院IC－市来IC（南日本新聞）,https://news.yahoo.co.jp/articles/e0a87c09eae7a1660d816c0f10f208b95946c48f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000013-minami-000-1-view.jpg?exp=10800,2024-12-15T22:35:24+09:00,2024-12-15T22:35:24+09:00,南日本新聞,minami,南日本新聞,97,（写真：南日本新聞社） 交通事故のため上下線で通行止めとなっていた、南九州自動車道の伊集院インターチェンジ（ＩＣ）－市来ＩＣ間は、１５日午後１０時６分に規制が解除された。 南日本新聞 | 鹿児島,[],[]
〈JR貨物脱線〉傾いた機関車レールへ戻す作業に着手　運転再開未定、不通区間は明日16日からバスで代替運行（南日本新聞）,https://news.yahoo.co.jp/articles/80f4e5f7c7e9217a04e06e8061d0c2534ef1c68a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000012-minami-000-1-view.jpg?exp=10800,2024-12-15T22:25:29+09:00,2024-12-15T22:25:29+09:00,南日本新聞,minami,南日本新聞,604,傾いた機関車を水平にする作業員ら＝１５日午前９時半ごろ、薩摩川内市の川内駅 鹿児島県薩摩川内市平佐町のＪＲ川内駅構内で１２日未明に発生した貨物列車の脱線事故で、ＪＲ九州とＪＲ貨物は１５日、脱線した３両のうち先頭の機関車の復旧作業を進めた。車体をレールに載せるため、斜めに傾いた車両をおおむね水平に戻した。事故により運休が続いている鹿児島線川内－隈之城間は１６日からバスの代替輸送を始める。運転再開の時期は未定。 【写真】傾いた機関車を水平にする作業員ら＝１５日午前１０時４０分ごろ、薩摩川内市の川内駅 ＪＲ九州によると、１５日はジャッキなどで傾いた機関車を水平にし、後ろの貨車との連結を外した。１６日は貨車をジャッキで上げてレールの上に載せる。車両の一部は砕石（バラスト）に入り込んでおり、少なくとも丸１日かかる見込み。完了後に、機関車をジャッキでレールに載せる作業に入る。同日午前には、運輸安全委員会の調査官が再び現場入りする。 ＪＲ九州は１６日から当面の間、運休区間で代替バスをピストン運行する。平日の午前６～９時と午後４～８時に、１０～１５分間隔で川内駅東口と隈之城駅前を出発する。同区間を含む普通乗車券や定期券で利用できる。定員４５人。 貨物列車は１２両編成。１２日午前３時ごろ、先頭の機関車１両と続く貨車２両が脱線した。後方９両は１４日朝までに熊本市の熊本駅などに移動した。 南日本新聞 | 鹿児島,[],[]
320人が力強く、厳かに…師走に響く歓喜の歌声　鹿児島市宝山ホールで年末恒例、県民第九演奏会（南日本新聞）,https://news.yahoo.co.jp/articles/1937853b1542210dbc9722f7953fe73dad0df21e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000011-minami-000-2-view.jpg?exp=10800,2024-12-15T21:30:22+09:00,2024-12-15T22:29:52+09:00,南日本新聞,minami,南日本新聞,515,声量たっぷりに「歓喜の歌」を響かせるかごしま県民第九演奏会＝１５日、鹿児島市の宝山ホール 年末恒例の「かごしま県民第九演奏会」が１５日、鹿児島市の宝山ホールであった。オーケストラの演奏に合わせ、１６～９１歳の合唱団やソリスト計３２０人超による歓喜の歌声が会場に響き渡った。 【写真】高らかに歌声を響かせるソリストたち＝１５日、鹿児島市の宝山ホール ３７回目の今回は、国内外で活躍する藤本淳也さん（５６）＝埼玉県＝が初めて指揮。木下美穂子さん（ソプラノ）、福島史子さん（アルト）、米澤傑さん（テノール）、池水成孝さん（バリトン）と県内ゆかりのソリスト４人も駆けつけた。 かごしま県民第九オーケストラによるベートーベンの「序曲『レオノーレ』第３番」で幕開け。「交響曲第９番」では、共演した合唱団が力強く厳かに歌い上げ、約１５００人の観客を魅了した。 田上小学校３年の女子児童は「迫力があってきれいな歌声だった。いろいろな楽器の音色も心地よかった」と語った。藤本さんは「お客さんとの一体感ができ、気迫のこもった演奏になった」と振り返った。 演奏会の模様は３１日午後１時１０分から南日本放送（ＭＢＣ）で放映される。 南日本新聞 | 鹿児島,[],[]
分かっているはずなのについ…認知症の母と過ごす悪戦苦闘と自戒の日々を赤裸々に　霧島市の会社員女性が体験つづり自費出版（南日本新聞）,https://news.yahoo.co.jp/articles/d7be102364d2f8781a2ec54b3e2e75d0f009b1d6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000001-minamic-000-2-view.jpg?exp=10800,2024-12-15T21:00:21+09:00,2024-12-16T15:57:33+09:00,南日本新聞,minami,南日本新聞,565,認知症の母の介護体験をまとめた著書を手にする福留湖弓さん＝霧島市 鹿児島県霧島市国分の会社員福留湖弓さん（５７）が、介護体験をまとめた著書「認知症の母と娘 桜色の日々を過（すご）したい」を自費出版した。母と接する中で感じたもどかしさを振り返り、「本を通じて、同じ境遇にある人々の気持ちが少しでも和らげば」と話している。 福留さんは２０２３年１２月から８４歳の母と同居している。介護生活で感じた思いをその都度スマートフォンにメモし、記録を基に執筆した。物忘れが激しい母の言動に悪戦苦闘する様子を赤裸々につづる。 母は毎朝、新聞で日付を確かめ「今日はデイサービスはあるかな？」と繰り返し聞いてきたり、「財布をなくした」と騒いで家中を探し回ったりする。福留さんは、それが認知症の仕業と理解しながらも、つい口論になってしまったことを自戒する。 経験を基に「自分だけで背負い込まず、デイサービスやショートステイなど施設の協力を得ることが大切」と訴える。本は全国の地域包括支援センターなど約４０カ所に寄贈した。「まだ介護に接していない人にも手に取ってもらい、考えるきっかけになればうれしい」と話す。 １７８ページ、Ａ５判。１１００円。在庫は約８０冊あり、メールａｒｃｈｋｙｍ＠ｅｚｗｅｂ．ｎｅ．ｊｐで購入を受け付ける。 南日本新聞 | 鹿児島,[],[]
【速報】南九州道伊集院IC－市来IC間、事故で上下線通行止め（南日本新聞）,https://news.yahoo.co.jp/articles/3a51ca1eb7cd90b7e50f1885a786043dd60308e2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000010-minami-000-1-view.jpg?exp=10800,2024-12-15T20:25:23+09:00,2024-12-15T20:25:23+09:00,南日本新聞,minami,南日本新聞,169,（写真：南日本新聞社） 西日本高速道路によると、南九州自動車道の伊集院インターチェンジ（ＩＣ）－市来ＩＣは、交通事故のため、１５日午後７時半現在、上下線とも通行止めになっている。鹿児島県警高速道路交通警察隊によると、美山ＩＣから市来方面に１キロの路上で、普通車が横転する事故が発生した。復旧の見通しは立っていない。 南日本新聞 | 鹿児島,[],[]
なぜ既婚男性は結婚を「墓場」と呼び、家に帰りたがらない？　女性に偏る家事負担、不満たまり、すき間風…居心地よさ上げる「パラレル家事」のススメ（南日本新聞）,https://news.yahoo.co.jp/articles/563e1e27a5344fc642c2ff7543d39f9de4a84902,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000009-minami-000-1-view.jpg?exp=10800,2024-12-15T18:03:22+09:00,2024-12-15T18:03:22+09:00,南日本新聞,minami,南日本新聞,721,三木智有さん ■「かお」 「家事シェア」研究家として普及に取り組む三木智有（みき・ともあり）さん 「自分の時間がほしい」と言うと「俺と同じぐらい稼げ」 そんな夫の子育ては、休日に「子どもと昼寝する」だけ 家事を分担し良好な夫婦関係を育む「家事シェア」の研究家として、全国で普及に取り組む。鹿児島市で１１月に講演し「家族になって良かったと思える関係づくりが大切」と訴えた。 「結婚は人生の墓場」「家に帰りたくない」。インテリアコーディネーターとして居心地の良い家の空間づくりを目指していた１５年ほど前、周囲にはそう嘆く既婚男性が多かった。居心地が悪いのはなぜか、関心を持ったのが始まりだった。 既婚男女１００人に話を聞き、家庭内のイライラには家事自体に対する負担感とパートナーへの不満感という二つの側面があることが見えてきた。家事・育児を分担する重要さを痛感。妻からも「家事が好きではない」と打ち明けられ、家事シェア研究を本格的に始めた。妻が皿洗いをする間、夫が洗濯物をたたむなど夫婦で同時に取り組む「パラレル家事」を考案した。 自身も実家との連絡を妻任せにするなど、性別でやるべきことを無意識に分けていた時もあった。「役割の偏りについて妻が相談してくれたからこそ、気づけた。慣習にとらわれず、家庭ごとに納得できる形を見つけるのが大事」と力を込める。 「家事を分け合うのは当たり前になってきたが、まだまだ女性に負担が偏っている」と課題を挙げる。負担のギャップを埋めることが今後の目標だ。 鳥取県出身。東京都に妻と娘と暮らす。散歩が好きで１００キロウオークに年３回参加する。「怪談を聞きながら歩くのが楽しい」と話す４４歳。 南日本新聞 | 鹿児島,[],[]
【速報】B2鹿児島レブナイズ3連勝　愛媛に102－77（南日本新聞）,https://news.yahoo.co.jp/articles/d26632e2a4ea6cc0d1aeb192ec1c8652d71424de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000008-minami-000-1-view.jpg?exp=10800,2024-12-15T15:15:23+09:00,2024-12-15T15:15:23+09:00,南日本新聞,minami,南日本新聞,226,前半、ダンクシュートをたたき込むレブナイズのゲインズ＝薩摩川内市のサンアリーナせんだい バスケットボールＢリーグ２部（Ｂ２）西地区２位の鹿児島レブナイズは１５日、薩摩川内市のサンアリーナせんだいで同地区最下位の愛媛と対戦した。１０２－７７で勝利し、３連勝とした。通算は１５勝８敗。 【写真】前半、相手陣地にボールを運ぶレブナイズの兒玉＝薩摩川内市のサンアリーナせんだい 次戦は１８日、鹿児島市の県体育館で同地区５位の奈良と戦う。 南日本新聞 | 鹿児島,[],[]
ウントコドン、この地域には巨人がいるぞ～！　姉妹奮闘、巨大草履を奉納　南さつま・山神祭り（南日本新聞）,https://news.yahoo.co.jp/articles/727b778d99d815988231020f0c6d61f1051c91a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000007-minami-000-1-view.jpg?exp=10800,2024-12-15T15:03:21+09:00,2024-12-15T15:03:21+09:00,南日本新聞,minami,南日本新聞,538,巨大草履に悪戦苦闘するる姉妹＝南さつま市大浦町 鹿児島県南さつま市大浦町大木場地区の大山祇（おおやまづみ）神社で８日、無病息災を祈り、巨大な草履を奉納する「山神（やまんかん）祭り」があった。両足で重さ６０キロ、直径２メートルの丸い大草履を地元の大湊乃美さん（５１）、戸子田望美さん（４９）姉妹が履くように引きずった。女性が担うのは少なくとも４０年以上ぶりという。 【写真】〈関連〉南さつま市の位置を地図で確認する 大木場は平家の落人伝説が残っており、「巨人がいる」と思わせて追っ手を退散させるため、峠に１０畳ほどの草履を置いたのが起源とされる。若手男性が長年担当しているが男性限定の決まりはなく、「時代に即し、今年は女性にお願いしよう」と自治会役員会が姉妹に白羽の矢を立てた。 本来は２人で鳥居手前から拝殿までの約３０メートルを歩くしきたりだが、あまりにも重いため、補助役がつき手助けした。必死に運ぶ様子に観客も大声援。姉妹は「父が喜ぶだろうと思い引き受けた。かっこいいなと見続けてきた行事。皆さんの応援のおかげでやり遂げられうれしい」と笑顔。自治会長の大木勝彦さん（６５）は「姉妹の活躍で盛り上がった。集落に活気を呼ぶ伝統行事を継承したい」と語った。 南日本新聞 | 鹿児島,[],[]
Mitomaを超えろ！ Mimataの逸材　高卒から直で英プレミア挑戦、サウサンプトンへ進む日章学園高・高岡伶颯選手が故郷の大使に（南日本新聞）,https://news.yahoo.co.jp/articles/538063a1bdfe63e0ac3418807f32384cb190070c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000006-minami-000-3-view.jpg?exp=10800,2024-12-15T11:47:21+09:00,2024-12-15T12:05:03+09:00,南日本新聞,minami,南日本新聞,376,ふるさと大使の委嘱状を受け、笑顔を見せる高岡伶颯選手＝町役場 宮崎県三股町は、日章学園高校サッカー部ＦＷで、英プレミアリーグ・サウサンプトンへの来春加入が決まっている高岡伶颯（れんと）選手（１７）＝３年＝に「みまたふるさと大使」を委嘱した。 【写真】〈関連〉木佐貫辰生・三股町長（左）から委嘱状を受け取る高岡伶颯選手＝町役場 高校生への大使委嘱は初めて。高岡選手は昨年のＵ－１７Ｗ杯で４得点を挙げる活躍などで、世界最高峰のプロサッカーリーグに誘われた。木佐貫辰生町長は「世界の舞台で輝き、子どもたちの目標になって」と励ました。 現在、宮崎市で寮生活を送る高岡選手は「中学卒業後に地元を離れて初めて、何げない日常や豊かな自然のありがたさが分かった。三股で培った負けん気で、町の名前を世界に広められるよう頑張りたい」と決意表明した。 南日本新聞 | 鹿児島,[],[]
JR貨物脱線、機関車の復旧作業続く　川内－隈之城間はきょう15日も運休　鹿児島・川内（南日本新聞）,https://news.yahoo.co.jp/articles/4af7a52f25859ceab1f30a44e8d55f6d0e3f05bf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000005-minami-000-2-view.jpg?exp=10800,2024-12-15T10:15:21+09:00,2024-12-15T12:04:16+09:00,南日本新聞,minami,南日本新聞,224,脱線した貨物列車の先頭の機関車の復旧作業にあたる作業員ら。奥は運行中の九州新幹線＝１５日午前９時２０分ごろ、薩摩川内市の川内駅 鹿児島県薩摩川内市平佐町のＪＲ川内駅構内で１２日未明に発生したＪＲ貨物の列車脱線事故で、同駅では１５日、傾いた先頭の機関車を水平にするなど復旧作業が進められている。 【写真】脱線した貨車をレールに戻す作業をする作業員ら＝１４日午後６時ごろ、薩摩川内市の川内駅 ＪＲ川内－隈之城間は同日も運休する。 南日本新聞 | 鹿児島,[],[]
諏訪之瀬島で噴火1回　噴煙は1200ｍまで上がる（南日本新聞）,https://news.yahoo.co.jp/articles/f256f6b59154afd863af93c47ab939a7eaf46498,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241215-00000004-minami-000-1-view.jpg?exp=10800,2024-12-15T08:30:22+09:00,2024-12-15T08:30:22+09:00,南日本新聞,minami,南日本新聞,150,噴煙を上げる諏訪之瀬島の御岳（資料写真） 鹿児島県十島村・諏訪之瀬島の御岳で14日、噴煙量が中量以上の噴火が1回あった。福岡管区気象台によると、噴煙の高さは最大1200メートル。大きな噴石の飛散は確認されていない。噴火警戒レベルは２（火口周辺規制）。 【写真】九州の主な活火山 南日本新聞 | 鹿児島,[],[]
