headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
にぎりずしで食中毒、4日間の営業停止処分　調理従事者3人の便からノロウイルス検出　日置市の飲食店（南日本新聞）,https://news.yahoo.co.jp/articles/a41418889a57ca634d81555fb2c6be0415ef4146,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000013-minami-000-1-view.jpg?exp=10800,2024-12-28T21:11:21+09:00,2024-12-28T21:11:21+09:00,南日本新聞,minami,南日本新聞,337,〈資料写真〉ノロウイルスの電子顕微鏡像（国立感染症研究所ホームページより） 鹿児島県は２８日、提供したにぎりずしで食中毒が発生したとして、日置市東市来町湯田の飲食店「金太楼寿司」を２９日から４日間の営業停止処分にしたと発表した。３０人に下痢や嘔吐（おうと）などの症状があり、うち６人と調理従事者３人の便からノロウイルスが検出された。 【写真】〈関連〉日置市の位置を地図で確認する 県生活衛生課によると、同店は２３日、にぎりずし入りの弁当を作り、伊集院保健所管内の３団体計６７人に提供。２５日は来店した１団体１８人にすしや茶わん蒸しなどを出した。いずれの団体も調理日に食べた。症状が出た３０人は全員快方に向かっている。店は２７日から営業を自粛している。 南日本新聞 | 鹿児島,[],[]
こいつはドデカイ！ 185㎝、118㎏…ハタ科最大の高級魚「タマカイ」、6年ぶり鹿児島市魚類市場に水揚げ　29日から回転ずし店で販売へ（南日本新聞）,https://news.yahoo.co.jp/articles/d2243f1abf08a127123e5d2d260810d3be3ad6eb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000012-minami-000-2-view.jpg?exp=10800,2024-12-28T21:03:21+09:00,2024-12-29T10:41:28+09:00,南日本新聞,minami,南日本新聞,499,田中水産が競り落とした体長１８５センチ、体重約１１８キロのタマカイ（同社提供） ハタ科最大の高級魚「タマカイ」が今月、鹿児島市中央卸売市場魚類市場に水揚げされた。体長１８５センチ、体重約１１８キロ。鹿児島県内での水揚げは非常にまれで、同市場では２０１８年以来６年ぶり。２９日から、県内５店舗の回転ずし店「めっけもん」に１皿（２貫）４５１円で並ぶ。 【写真】〈アップで見る〉田中水産が競り落とした体長１８５センチ、体重約１１８キロのタマカイ（同社提供） 甑島周辺の漁場で１２月２２日、定置網にかかった。甘みのある白身魚で、脂乗りが良いのが特長。身質がしっかりしているため、数日～１週間ほど熟成させると食感がやわらかくなり、うまみが増すという。 仲卸業の田中水産（鹿児島市）がキロ単価２２００円の３０万円弱で競り落とした。同社は６年前に水揚げされた際も落札しており、取引のある寿福産業のめっけもんで提供していた。 田中水産の田中積社長（７５）は「前回とても好評だったのを覚えていて、絶対に競り落とそうと決めていた。鹿児島では珍しい魚なので、この機会にぜひ味わって」と呼びかけた。 南日本新聞 | 鹿児島,[],[]
「ただいま～」「おかえり～」…花咲く笑顔の再会、帰省ラッシュピーク　鹿児島中央駅（南日本新聞）,https://news.yahoo.co.jp/articles/d2abcab8249f73db6a6ff932d340993c4b879cbe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000011-minami-000-2-view.jpg?exp=10800,2024-12-28T20:45:22+09:00,2024-12-29T10:39:40+09:00,南日本新聞,minami,南日本新聞,347,改札口付近で再会を喜ぶ家族連れ＝２８日、鹿児島市のＪＲ鹿児島中央駅 年末年始を鹿児島で過ごす人々の帰省ラッシュが２８日、ピークを迎えた。鹿児島市のＪＲ鹿児島中央駅は大きな荷物を持った客であふれ、改札口で出迎えた家族らとの再会を喜んだ。 売れ筋は「げたんは」…コロナ5類移行後初のGW、選ばれる鹿児島みやげを調べてみた 京都市の公務員女性（３２）は娘（３）と１年ぶりに帰省。岡山県の沿線火災の影響で１時間ほど遅れ、「無事に着いてほっとした。白身の刺身を食べるのが楽しみ」。枕崎市から迎えに来ためいの２人は「一緒にイルミネーションを見に行く」と笑顔を見せた。 ＪＲ九州によると、九州新幹線の下り指定席は３１日まで満席の便が多くなっている。上りは１月４日がピークとなる見込み。 南日本新聞 | 鹿児島,[],[]
巡回中の警察官が職務質問し発覚…不同意性交容疑で20歳の自称会社員を逮捕　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/2fa024a53b0def68fb20225ef87d031887dc62ed,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000010-minami-000-1-view.jpg?exp=10800,2024-12-28T20:37:21+09:00,2024-12-28T20:37:21+09:00,南日本新聞,minami,南日本新聞,224,（写真：南日本新聞社） 鹿児島県警は２８日、不同意性交の疑いで、鹿児島市喜入中名町、自称会社員の男（２０）を逮捕した。 「手品の練習台に…」とウソ、女性の手首を結束バンドで拘束し乱暴 被告の男、起訴内容認める「欲望がまさった」 鹿児島地裁初公判 逮捕容疑は２７日午後４時ごろ～４時半ごろの間、県内に駐車中の車内で、県内の１０代女性に乱暴した疑い。 県警によると、女性にけがはなかった。巡回中の警察官が職務質問をして発覚した。 南日本新聞 | 鹿児島,[],[]
公安委員会は形骸化している…警察改革を徹底議論した四半世紀前の教訓はどこへ。欠ける客観視点、真のお目付け役へ組織は変われるのか（南日本新聞）,https://news.yahoo.co.jp/articles/5b98edcc4c8b17b4c98df9083d66cfd4c9650a01,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000009-minami-000-2-view.jpg?exp=10800,2024-12-28T18:03:21+09:00,2024-12-29T10:45:16+09:00,南日本新聞,minami,南日本新聞,1375,警察署協議会で要望を伝える委員（奥）＝１１月６日、鹿児島市の鹿児島南署 鹿児島県警の不祥事を巡り、県警を管理する「県公安委員会」の在り方が問われている。県民の代表と位置付けられ、警察業務に県民の考えを反映させるという任務を負うが、活動内容が知られる機会はほとんどなく、機能しているか疑問視する声もある。連載「検証 鹿児島県警」の第２部は、県公安委の実態を捉え、県警の信頼回復へ果たすべき役割を考える。（連載・検証鹿児島県警第２部「問われる公安委」④より） 不祥事続きの鹿児島県警 「お目付け役」の公安委員選びは県が主体に 塩田知事「（従来の県警推薦では）県民の疑念招きかねない」 公安委員会制度の役割に、過去にも大きな注目が集まったことがある。１９９９年から２０００年にかけて、神奈川県警本部長が警察官の覚醒剤使用を隠蔽（いんぺい）した事件や、新潟県警本部長による接待マージャン問題などの不祥事が相次ぎ、信頼回復へ進められた「警察改革」の時だ。 同年、国家公安委員会の要請で、弁護士やジャーナリストなど有識者６人でつくる「警察刷新会議」が発足。国民から「公安委員会は形骸化している」との批判があることを念頭に、警察に対する管理の在り方が議論された。 １１回の会議を踏まえ、国家公安委に向けた「緊急提言」では、公安委の監察点検機能や管理能力の強化に言及。「警察本部長による監察が十分でないときは是正すべきであり、第三者機関的な監察点検機能を果たすことが重要」とした。また、公安委を「活性化」すれば、他の第三者機関による監察は必要ないと結論付けた。 ■ □ ■ 提言を受けた国家公安委と警察庁は同年、警察が取り組むべき施策を「警察改革要綱」として取りまとめ、公表した。市民の声を理解、反映する必要があるとして、「警察署協議会」の設置を柱の一つに据えた。 協議会は基本的に各警察署に置かれる。鹿児島の場合、２７署全てにあり、地域事情に精通する住民などを県公安委が委員として委嘱する。任期は２年。公安委とは別の視点から、警察業務に対して意見する役割がある。 １１月６日、鹿児島市の鹿児島南署であった協議会では、委員から、不審な訪問販売への対策や道路標識の早期修繕などを求める声が上がった。署側は地域の治安状況などを説明した。 この日の前日、前県警生活安全部長から「隠蔽疑惑」を指摘された野川明輝本部長（当時）が県警から転出した。信頼回復に向けた活動を求める委員はいたが、疑惑に触れる場面は見られなかった。 ■ □ ■ 警察改革では、公安委や警察署協議会の「客観視点」が重要だと確認された。それは今も生かされているのか。同志社大学政策学部の太田肇教授（組織論）は「組織内部に切り込み、問題の核心を捉えられる主体は、現時点ではないと言っていい」と厳しい。 理由に、警察組織の閉鎖性と業務内容の専門性が障壁になっていると指摘する。「公安委も協議会も警察行政に関しては全くの素人。住民目線で警察に意見するという理念は分かるが、実際は警察の報告ありきの活動になっているというジレンマがある」 いずれの機関も、人選における抜本的改革が必要とした上で、「警察に厳しい態度で臨める組織や団体から候補者を募るなど、仕組みの再考が求められる」と提言した。 南日本新聞 | 鹿児島,[],[]
【速報】B2鹿児島レブナイズ　ホームで福島に連勝　66－54（南日本新聞）,https://news.yahoo.co.jp/articles/82651cad55253ad586d8d5786ebcfcd5168ca618,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000008-minami-000-1-view.jpg?exp=10800,2024-12-28T16:15:22+09:00,2024-12-28T16:15:22+09:00,南日本新聞,minami,南日本新聞,186,前半、ドリブルで攻め上がるレブナイズの飴谷＝鹿児島市の県体育館 バスケットボールＢリーグ２部（Ｂ２）西地区２位の鹿児島レブナイズは２８日、鹿児島市の県体育館で東地区７位の福島と対戦し、６６－５４で勝利した。第１５節に連勝し通算成績は１９勝９敗。 【写真】前半、３点シュートを放つレブナイズの上良＝県体育館 次節は来年１月４、５日、愛媛と敵地で戦う。 南日本新聞 | 鹿児島,[],[]
老舗ホテル大きな決断。新婚旅行ブームに火をつけ、Jキャンプ誘致に昭和レトロのゲーセン…各世代のノスタルジーが詰まる指宿いわさきホテル6月休館、地元の思いは？（南日本新聞）,https://news.yahoo.co.jp/articles/b4dcebf086ece7df1a807eb2a73ea0c1881667a8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000007-minami-000-3-view.jpg?exp=10800,2024-12-28T16:00:21+09:00,2024-12-29T10:45:38+09:00,南日本新聞,minami,南日本新聞,693,来年６月から休館する指宿いわさきホテル＝２６日、指宿市 ２０２５年６月からの休館が明らかになった指宿市の指宿いわさきホテルは、開業７０年近い歴史を持ち、１９７２年の太陽国体では天皇皇后両陛下が宿泊するなど、市の観光業をけん引してきた。観光関係者は「指宿振興に大きな役割を果たしてきた」と述べる一方、受け入れ態勢の低下を懸念し早期の再開を望んだ。 【関連】コロナ禍後も団体旅行は不振、富裕層向け「ヴィラ中心のリゾート」へ転換 指宿いわさきホテル、休館は「数年の間」 「指宿を引っ張ってくれたリーダー的存在だ」と話すのは、同市の温泉旅館いぶすき秀水園の湯通堂（ゆつどう）温（あたか）社長（７０）。指宿いわさきホテルは、湯治場で有名だった指宿にいち早く近代リゾートを取り入れ、「新婚旅行ブームの火付け役となった」と地元の観光関係者は声をそろえる。 約３３万平方メートルの広大な敷地には美術館やサッカー場も備え、複数のＪリーグクラブのキャンプも受け入れてきた。９月に営業終了したジャングルプールは多くの家族連れでにぎわい、レトロな機種をそろえるゲームセンターには国内外からファンが集う。運営する岩崎グループ（鹿児島市）の岩崎芳太郎社長は「それぞれのノスタルジーがある」と振り返る。 指宿市観光協会の川畑徳廣専務理事（６６）は「指宿の観光を大きく支え、育ててきたホテル。海外客の受け入れ実績も豊富で、休館のインパクトは大きい」。営業再開時期は未定で、今後、市内ではいぶすき菜の花マラソンのようなイベント時の客室不足も懸念される。「なるべく早く再開の動きを示して」と話した。 南日本新聞 | 鹿児島,[],[]
さ、さ、寒い…桜島で初冠雪を観測　平年より10日遅く（南日本新聞）,https://news.yahoo.co.jp/articles/d84ee1f2d1b39650dcd6bc81d394ba9cd85a4e33,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000006-minami-000-2-view.jpg?exp=10800,2024-12-28T11:45:21+09:00,2024-12-28T12:14:17+09:00,南日本新聞,minami,南日本新聞,181,山頂付近が冠雪した桜島＝２８日午前１０時５９分、鹿児島市与次郎１丁目 鹿児島地方気象台は２８日、鹿児島市の桜島で今シーズンの初冠雪を観測した。平年より１０日遅く、昨シーズンより７日遅い。西高東低の冬型の気圧配置で、県内には強い寒気が流れ込んでいる。 【写真】〈別カット〉山頂付近が冠雪した桜島＝２８日午前１１時４２分、鹿児島市与次郎１丁目 南日本新聞 | 鹿児島,[],[]
崩れゆくPTAピラミッド…「子どものためなのに」…任意ゆえのジレンマ、保護者には強制感がのしかかる（南日本新聞）,https://news.yahoo.co.jp/articles/2970ea18d53821bb49f95b6f11cc07a471449c4b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000005-minami-000-2-view.jpg?exp=10800,2024-12-28T11:33:00+09:00,2024-12-28T12:16:16+09:00,南日本新聞,minami,南日本新聞,1372,（写真：南日本新聞社） 保護者と教職員でつくる任意団体ＰＴＡが岐路に立たされている。少子化で学校の統廃合が進み、学校単位のＰＴＡ数は右肩下がり。共働き世帯が主流となり、活動を負担に感じる保護者は少なくない。全国では上部団体を脱退する動きも広がる。鹿児島県内の現状を追った。（連載「岐路に立つPTA～鹿児島の現場から①」より） 【写真】〈関連〉鹿児島県内のPTA数と児童生徒数の年次ごと推移をグラフで見る 今年２月、鹿児島市の錫山小中学校に保護者たち十数人が集まった。ＰＴＡの役員を決めるためだ。娘２人が通う女性（４４）は、長い沈黙に耐えられず会長に手を挙げた。 児童生徒２９人のうち、娘たちを含め約半数は校区外から通う。学校の近くに住んでいない世帯だと活動に参加しにくい保護者が多く、地元の人は既に一通り役員を経験済みだ。 負担軽減を図るため、保護者が学ぶ場である「家庭教育学級」と登下校の見守りに活動を縮小した。会長経験を通じて地域とつながりができたことは感謝するが、次のなり手が見つかるのか不安は拭えない。 娘が以前通った数百人規模の学校で役員を務めた際も、係を決めるのに苦労した。「『子どものため』という本来の姿から外れ、『全員に何かやらせるため』になっていた。強制的な感じをなくし、少ない人数でも回る仕組みに変えないと破綻する」と感じている。 ■□■ ＰＴＡは日本ＰＴＡ全国協議会（日Ｐ）＝太田敬介会長＝を頂点にピラミッド構造となっており、各校のＰＴＡから市郡町村、都道府県の協議会・連合会、日Ｐへと会費を納めている。 全国では少子化に加え、「ＰＴＡへの入退会は任意だから、入らなくても構わない」といった意識が広がったため会員が減り、上部団体の解散も起きている。 岡山県ＰＴＡ連合会は９月、都道府県単位で初めて、本年度末で解散することを表明。東京都の小学校やさいたま市、千葉市の協議会は日Ｐから退会したほか、都道府県組織から退会したり解散したりする市町村組織もある。 ■□■ 鹿児島県ＰＴＡ連合会（県Ｐ連）によると、県内には２７の市郡ＰＴＡ連絡協議会があり、解散の動きはない。学校単位のＰＴＡは２０２４年度７４４と１０年前から約１割減ったが、統廃合や休校が主な要因だという。ただ、中には県Ｐ連や市郡Ｐ連を抜けたＰＴＡもある。 県内のある小学校は２３年度、上部団体を退会。保護者全員の同意を得て、ＰＴＡに代わる保護者会のような組織をつくり、学校や地域とコミュニケーションを取る。全児童が対象の保険には引き続き加入し、家庭教育学級など必要と判断した活動も続けている。 元ＰＴＡ役員の女性（４７）は「学校行事や家庭のことで精いっぱいで、上部組織の会合に参加する人を確保するのが大変だった。原点に戻ることにした」と明かす。今のところ、困ったことや不利益はない。 ◇PTAとは ペアレント（親）、ティーチャー（教員）、アソシエーション（組織）の略。戦後に米国側が設立を勧め、文部省（現文部科学省）の指導で全国につくられた。保護者と教員が協力し、子どものために活動する社会教育団体との位置付け。ＰＴＡ会費の一部で都道府県や市郡町村などの上部団体が運営され、日本ＰＴＡ全国協議会には児童生徒１人当たり年１０円が納められている。 南日本新聞 | 鹿児島,[],[]
契約額の累計1兆円超へ…防衛省、25年度馬毛島整備予算案に473億円　基地の完成時期は計画の3年遅れ、30年3月末（南日本新聞）,https://news.yahoo.co.jp/articles/23704f6ea3e06ab6e10a31c6c96663ae172a7eb5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000004-minami-000-2-view.jpg?exp=10800,2024-12-28T11:03:21+09:00,2024-12-29T18:48:28+09:00,南日本新聞,minami,南日本新聞,857,〈馬毛島の変化を写真で比べる〉北側上空から見た馬毛島。左は２０２３年１月１２日撮影、右は２４年１月８日撮影＝いずれも本社チャーター機から 防衛省は２７日閣議決定された２０２５年度予算案に、鹿児島県西之表市馬毛島への米軍空母艦載機陸上離着陸訓練（ＦＣＬＰ）移転を伴う自衛隊基地整備の関連費として、４７３億円（契約ベース）を計上した。南日本新聞の集計では、調査段階だった１２年度からの契約額の合計が１兆円を超えた。 【写真】２０２５年度予算案の馬毛島基地整備（米軍再編関係分・単位：億円） 調査費を計上した１２年度から、２４年度当初までに積み上げた予算（契約ベース）は８８２１億円。防衛省は「各年度に支払われる歳出ベースが事業費を反映している」として、その後の累積額を明らかにしていないが、２４年度補正に９４５億円を盛り込んでおり、今回の４７３億円を加えると、１兆２３９億円になる。 ２５年度予算案の契約ベースの４７３億円は、滑走路や航空保安施設、隊舎、格納庫、係留施設の整備が中心。種子島では、管理事務所や物流倉庫、ヘリポートなどの整備を進める。工期の延長に伴う追加的な経費も一部含まれている。 防衛省は、米軍普天間飛行場（沖縄県宜野湾市）の名護市辺野古への移設計画で、総事業費を現時点で約９３００億円と試算。馬毛島については、特殊な施工条件などを理由に見込み額を示していない。調査段階の１５年度から２３年度までの支出済み額は約３４８７億円。２５年度予算では歳出ベースで５３１億円を積む。 馬毛島の自衛隊基地本体は２３年１月に着工し、当初は４年程度の工期を見込んでいた。防衛省は２４年９月、基地の完成時期が計画より３年遅れの３０年３月末になると発表。滑走路の建設は２７年に終了する見通しで、ＦＣＬＰは２８年１月以降に始まる可能性がある。 滑走路の点検などに当たる約９０人規模の航空自衛隊馬毛島先遣隊（仮称）は２４年度に春日基地（福岡市）に配置、２５年度に一部の約６０人が馬毛島で勤務を始める。 南日本新聞 | 鹿児島,[],[]
九州で相次ぐ牛伝染病「侵入許すな」　致死率は低いが、ワクチン接種県は米輸出停止　ランピースキン病への警戒強める（南日本新聞）,https://news.yahoo.co.jp/articles/e986a2b7ad90e1a49d2f9811a64db9f6eeb363cc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241228-00000003-minami-000-1-view.jpg?exp=10800,2024-12-28T07:03:22+09:00,2024-12-28T07:03:22+09:00,南日本新聞,minami,南日本新聞,1109,ランピースキン病に感染した牛。皮膚に結節が生じるのが特徴（モンゴル国中央獣医学研究所提供） 福岡や熊本県で牛の伝染病「ランピースキン病」が発生している。口蹄疫（こうていえき）と異なり致死率は低く多くは自然治癒するが、乳量減少や出荷制限による経済的ダメージは少なくない。ワクチン接種県の牛肉は米国へ輸出できなくなるため、和牛生産の盛んな鹿児島県に侵入すれば影響は大きく、関係者は警戒を強めている。 【写真】〈関連〉ランピースキン病に感染した牛。皮膚が病変している（モンゴル国中央獣医学研究所提供） ランピースキン病はサシバエなど吸血昆虫の媒介で広がる牛の病気で、人には感染しない。１１月６日に福岡県糸島市の乳用牛で国内初発生し、１２月２６日までに福岡県１９農場（乳用１８９頭、肉用２頭）、熊本県３農場（内訳非公表）で確認された。発症牛の隔離や自主淘汰（とうた）といった対応がとられており、感染が相次いだ福岡県は１１月２１日から半径２０キロ内の希望農場でワクチン接種を始めた。 ただ１２月１２日以降、ワクチンを接種した牛がいる県から米国へ牛肉を輸出できなくなった。接種開始日以降に接種県内で生まれたり、飼養されたりした牛の肉が対象。これらの牛は米国向け輸出牛肉を取り扱う認定施設に搬入できない。農林水産省によると、規制対象範囲の縮小を求めて現在、米国側と協議している。 鹿児島県にとって米国は牛肉の主要な輸出先。県畜産振興課によると、県内には対米輸出の認定処理施設が４カ所あり、２０２３年度の県内牛肉輸出量は米国向けが３４３トン。全体の２割弱に当たり、国・地域別で３番目に多い。 認定施設の一つ、ナンチク（曽於市）の坂元秀明輸出促進部長は「現時点で大きな影響はないが、万が一、県内で発生し、ワクチンを打つ事態になれば影響は大きい。基本的な防疫対策を徹底してもらっている」と話す。ＪＡ県経済連肉用牛事業部の担当者も「米国向けは輸出用の３割弱を占める。国内でさばくとなると、需給バランスが崩れてしまう」と懸念する。 侵入・まん延防止へ向け特に吸血昆虫対策が求められており、牛舎の害虫駆除、農場に出入りする車両の消毒や殺虫の徹底などが推奨されている。詳細は農水省ホームページに掲載している。 ◇ランピースキン病 ウイルスが引き起こす牛の届出伝染病。主に蚊やサシバエ、ダニなど吸血昆虫の媒介で広がるが、感染動物との接触でうつる場合もある。皮膚に発疹のような結節ができるのが特徴で、発熱や食欲不振、乳量の減少などの症状が見られる。死亡率は１～５％。海外では乳用種のホルスタインが感染しやすいという報告がある。 南日本新聞 | 鹿児島,[],[]
