headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
震度４の喜界島「揺れが続き心配」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/56d9b767672c5e87919bc184a1af93c1ce7293b8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-15T20:11:00+09:00,2024-03-15T20:12:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,123,\n１５日午後７時３２分ごろの地震で震度４を観測した喜界町の男性は「１０秒ほど揺れたあと、揺れがいったん止まり、再び５秒ほど揺れた。物が倒れることはなかったが、その後も、揺れが続いているので心配」と話していました。\nMBC南日本放送 | 鹿児島,[],[]
奄美大島近海震源の地震相次ぐ　これまでに３回　奄美市・喜界町で最大震度４　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/b4fb91ebf9214d1d9306ae7eadd198dd96133466,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070403-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-15T20:28:00+09:00,2024-03-15T20:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,424,\n１５日午後７時半過ぎ、奄美大島近海を震源地とする地震があり、奄美市と喜界町で最大震度４を観測しました。\n\n奄美大島近海を震源地とする地震は、これまでにあわせて３回起きていますが、いずれも津波はありません。１５日午後７時３２分、奄美大島近海を震源地とする地震がありました。震源の深さはごく浅く、地震の規模を示すマグニチュードは５・５と推定されています。\n\nこの地震で、震度４を奄美市と喜界町で、震度３を瀬戸内町、十島村で、震度２を大和村、宇検村、龍郷町、天城町で観測しています。\n\nこのあと奄美大島近海では、午後７時３４分にマグニチュード４．８で最大震度３の揺れを、午後８時４分にはマグニチュード４．９で最大震度２の揺れをいずれも奄美市と喜界町で観測する地震がありました。\n\nいずれの地震も津波はありませんでした。警察や消防などによりますとこれまでにけが人や被害の情報は入っていないということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070403-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/b4fb91ebf9214d1d9306ae7eadd198dd96133466/images/000']
焼けた山林は東京ドーム２個分…６時間経っても延焼中「山から煙が見える」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/80522d9808a0f6d5bde27479d30e365531a1d19f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070404-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-15T20:34:00+09:00,2024-03-15T20:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,317,\n伊佐市の山林で１５日午後、火災が発生し、現在も消火活動が続いています。\n\n警察と消防によりますと、１５日午後２時ごろ、伊佐市大口針持で「山から煙が見える」と近隣の住民から消防に通報がありました。\n\n通報からおよそ６時間たった現在も延焼中で、午後６時時点でおよそ１０万平方メートル、東京ドームおよそ２個分の山林が焼けました。けが人はおらず、近くの建物などへの被害の情報も入っていないということです。\n\n消防は１５日、午後７時に消火活動を中断し、火が近くの建物に燃え移らないか警戒を続けています。\n\nまた、伊佐市は午後４時半に災害対策本部を立ち上げ、情報収集を行っているということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070404-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/80522d9808a0f6d5bde27479d30e365531a1d19f/images/000']
奄美大島近海で地震　奄美市などで最大震度２　津波の心配なし　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/f8e7ed41c97ee5add47e28094f3e6b9d090584ac,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00272194-mbcnewsv-000-2-view.jpg?exp=10800,2024-03-15T20:07:00+09:00,2024-03-15T20:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,181,\n１５日午後８時０４分ごろ最大震度２の地震がありました。\n震源は奄美大島近海で震源の深さは約４０キロメートル。\n地震の規模を示すマグニチュードは４．９と推定されています。\n\n各地の震度は、\n震度２が奄美市、喜界町、\n震度１が宇検村、瀬戸内町、龍郷町、鹿児島十島村、\nです。\nこの地震による津波の心配はありません。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00272194-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/f8e7ed41c97ee5add47e28094f3e6b9d090584ac/images/000']
甲突川沿いは桜のつぼみ少しずつ…各地で２０度超、この先も４月並みの暖かさに　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/a70a6d54f725e63f18928f6f4797f66f683c45bd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070400-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-15T20:05:00+09:00,2024-03-15T20:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,559,\nMBC南日本放送\n１５日の鹿児島県内は、県本土でも２０度を超え、暖かい１日となりました。桜の名所、鹿児島市の甲突川沿いでは今、この暖かさに誘われて、桜のつぼみがほころび始めています。\n\n（記者）「ＭＢＣ近くのソメイヨシノです。まだつぼみは固いものが多いのですが、こちら。３輪ほど花が開き始めています」\n\n鹿児島市の甲突川沿いでは、市街地を中心に５００本ほどのソメイヨシノが植えられています。多くの木はまだつぼみのままですが、中には花が咲いた枝もありました。\n\n１５日の県内は高気圧に覆われてよく晴れて、最高気温は、肝付町２２．２度、鹿児島市２１．７度など、４月並みの暖かさになりました。\n\n県内はこの先もしばらく暖かい日が続く見込みで、日本気象協会によりますと、鹿児島市は去年より２日遅い４月７日に桜が満開となる見込みです。\n\nところで、甲突川の左岸緑地帯では、１５日から恒例の「春の木市」が始まりました。\n\n植木や鉢物、果樹の苗木などあわせて１６店舗が出店し、マリーゴールドやイワツツジなどおよそ１０００種類・２万本の草花や木が並んでいます。\n\n（購入客）\n「華やかで楽しい。久々に（友人とも）会える」\n\n春の木市は５月６日まで開かれています。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島県人事固まる　総合政策部長に長島和広氏か　新ポスト・子ども政策局長は新川康枝氏（MBC南日本放送）,https://news.yahoo.co.jp/articles/a0a20ec877978225e493d275610e39e9b48bde4a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070399-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-15T20:04:00+09:00,2024-03-15T20:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,322,\nMBC南日本放送\nこの春の県幹部の人事が固まりました。総合政策部長には、長島和広危機管理防災局長が起用される見込みです。\n\nＭＢＣの取材によりますと、退職する前田洋一総合政策部長の後任には、長島和広危機管理防災局長が就くとみられます。\n\n後任の危機管理防災局長には、桑代毅彦総合政策部次長が起用される見通しです。\n\n退職する悦田克己観光・文化スポーツ部長の後任には、西正智総合政策部地域政策総括監が就く見込みです。\n\nまた、くらし保健福祉部の中に新たにつくられる「子ども政策局」の局長には、新川康枝大島支庁長の起用が有力とみられています。\n\n県の人事異動は今月１８日、正式発表されます。\nMBC南日本放送 | 鹿児島,[],[]
奄美大島近海で地震 奄美市などで最大震度３　津波の心配なし　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/98a79db5a16da66b36ddbff00dcaaa6c8e7739a2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00268613-mbcnewsv-000-2-view.jpg?exp=10800,2024-03-15T19:48:00+09:00,2024-03-15T19:49:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,172,\n１５日午後７時３４分ごろ最大震度３の地震がありました。\n震源は奄美大島近海で地震の規模を示すマグニチュードは４．８と推定されています。\n\n各地の震度は、\n震度３が奄美市、喜界町、\n震度１が宇検村、瀬戸内町、龍郷町、鹿児島十島村、屋久島町、天城町、\nです。\nこの地震による津波の心配はありません。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00268613-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/98a79db5a16da66b36ddbff00dcaaa6c8e7739a2/images/000']
勝みなみ選手「上々の滑り出し」Ｖポイント×ＥＮＥＯＳゴルフトーナメント開幕　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/12086120d56d236b19a26faa899aa44bef6bd28e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070397-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-15T19:54:00+09:00,2024-03-15T19:54:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,492,\n女子プロゴルフツアーのＶポイント×ＥＮＥＯＳゴルフトーナメントが、１５日、姶良市の鹿児島高牧カントリークラブで開幕しました。\n\n今年の大会には、今シーズンの開幕戦で優勝した岩井千怜選手や、２年連続の賞金女王・山下美夢有選手ら、プロとアマチュアの１０８人が出場しました。\n\n中でも１５日、最も大きな拍手で迎えらたのは…\n\n勝みなみ選手。去年からアメリカツアーに挑戦し、経験を積んだ勝がいきなり魅せます。\n\nパー５の１番ホール、セカンドショットでグリーンに乗せ、イーグルチャンス。イーグル発進でギャラリーを沸かせます。\n\nこのあとも安定したプレーで、後半にスコアを伸ばした勝は、４アンダー、トップと３打差の６位タイで初日を終えました。\n\n（鹿児島市出身 勝みなみ選手）「あすもたくさんバーディーをとって元気を届けられるように頑張りたい」\n\n県出身者ではそのほか、皆吉愛寿香選手が１アンダーで２９位タイなどとなっています。\n\n大会は、１６日も予選ラウンドが行われ、上位５０位タイまでの選手が日曜日の決勝ラウンドに進みます。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070397-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/12086120d56d236b19a26faa899aa44bef6bd28e/images/000']
ぬいぐるみゲットだぜ！！　「ポケモンセンター」がアミュ鹿児島にきょう１５日から登場（MBC南日本放送）,https://news.yahoo.co.jp/articles/1c03008bce854ff9d0d96ef311b8699b864130c4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070396-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-15T19:51:00+09:00,2024-03-15T19:51:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,626,\n世界で人気のゲームポケットモンスターです。鹿児島市に１５日、グッズが集まる限定ショップがオープンし、初日から多くの親子連れでにぎわっています。\n\nピカチュウ、イーブイ、カビゴンなど人気キャラクターたち。アミュプラザ鹿児島で１５日から期間限定でオープンしたのが、ポケットモンスターのグッズが集まる「ポケモンセンター出張所」です。\n\nゲームに登場する施設を再現した、オフィシャルショップの出張店舗でアミュプラザ鹿児島では初めてです。\n\n店内には最新のポケモンの等身大ぬいぐるみや、歴代キャラクターの手のひらサイズのぬいぐるみがずらり。靴下や文房具、アクセサリーなどおよそ８００種類のオリジナルグッズが集まっています。\n\n「人形買いました。人形とおにいちゃんのポケモンカード買った。楽しかった」\n\n（高校３年生）「めったにないことなのでうれしい。クラスが一緒でポケモン（ゲーム）していると知って仲良くなった。好きな友達と来られてよかった」\n\n（宮崎から）\n「リザードン、ポケモンカード。いろんななポケモンの人形があって面白かった」\n\n「絞りましたかなり。出張所だけど中身がたくさんで面白かった」\n\nアミュプラザ屋上の観覧車ではポケモンデザインの特別なゴンドラが登場しています。\n\nポケモンセンター出張所は５月１２日までの営業で、グッズによっては売り切れとなる場合もあるということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070396-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/1c03008bce854ff9d0d96ef311b8699b864130c4/images/000']
有事などで利用の県内８候補地　鹿児島県「さらに広がる可能性」（MBC南日本放送）,https://news.yahoo.co.jp/articles/3fc66595c24755af4f56c97d907f459987d96cef,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070398-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-15T19:59:00+09:00,2024-03-15T19:59:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,666,\nMBC南日本放送\n国は、防衛力強化に向けて民間の空港や港を自衛隊などが、普段から使えるように整備する方針で、鹿児島県内の施設も８か所が候補地に挙がっています。その候補地が今後、増える可能性があることが明らかになりました。\n\n（自民党 柴立鉄平県議）「どんどん指定が広がる可能性は」\n\n（県の担当者）「今後検討を進める中で、いろんな港湾が検討の候補となる可能性はあると国から聞いている」\n\n国は、有事の際などを想定して、自衛隊と海上保安庁が普段から訓練などに利用できるよう、全国の空港と港を「特定利用空港・港湾」として整備する方針です。\n\n鹿児島県によりますと、国は南西諸島での有事の可能性を想定し、県内ではあわせて８か所を候補に挙げています。鹿児島空港や川内港などが避難住民の受け入れ先、西之表港や名瀬港などが部隊を展開する拠点などとしています。\n\n１５日の県議会で、県は、候補地が今後、さらに増える可能性があると説明しました。県議からは…。\n\n（共産党 平良行雄県議）「米軍も合わせて使う形になってくると思う。県内の安全、命が非常に脅かされる状況が発生しないか気になる」\n\n（公明党 松田浩孝県議）「なぜここが選ばれたか分からない。市町村に説明もない」\n\n（安原達 土木部長）「昨今のさまざまな県民の不安も重々承知している。あらゆる観点から疑問を書き連ねて国にぶつけているところ」\n\n県は今後、国と協議を進め、候補地の指定に合意するか対応を考える方針です。\nMBC南日本放送 | 鹿児島,[],[]
大谷翔平選手が贈ったグローブ「野球しようぜ！」のはずが「できない」…学校の事情を調べてみると（MBC南日本放送）,https://news.yahoo.co.jp/articles/25f64cd3ef10fb65cb9fc1874f865e29bf5cf0ca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00070395-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-15T19:46:00+09:00,2024-03-15T19:47:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,2106,\nMBC南日本放送\n１５日話題になった大谷翔平選手です。先日、結婚を発表してから初めて妻の写真をＳＮＳで公開しました。夫婦２人でファンの前にも現れました。\n\nその大谷選手といえば、子どもたちに「野球しようぜ」とメッセージを添えて全国の小学校に贈ったいわゆる「大谷グローブ」も話題になりました。\n\n実は今、学校の事情で、子どもたちが自由に使えないケースも出ているんです。何が起きているのでしょうか？\n\n去年１２月ごろから、県内すべての小学校に３つずつ届いた、大谷グローブ。全校児童２人の鹿児島市喜入の一倉小学校では、昼休みや体育の時間にグローブを使って、キャッチボールを楽しんでいます。\n\n一方で、児童数の多い小学校ではどのように活用しているのでしょうか？全校児童９１０人の谷山小学校では…。\n\n（記者）「ありました大谷グローブ、鍵もしてあり大事に展示してある」\n\n学校では、届いたグローブを全てのクラスに順番に回し、子どもたちが触ったり、はめてみたりできるようにしたといいます。そして現在は、地域の人にも見てもらえるよう校長室前に展示しています。\n\n（谷山小学校 長友充男校長）「（地域の人から）『見せてもらえますか？』と問い合わせが数件あって、（見に来たのは）５、６人だが、見たいという人が続いているので、しばらく展示する予定」\n\n地域の大人も、ひと目見たいと訪れていますが、子どもたちからは…。\n\n（６年生）「ニュースとかで３人しか児童がいない学校が、普通に使っていて、使いたいなとずっと思っていた」\n\n「（何がしたい？）キャッチボール」\n\nグローブを自由に使えないのには、児童数の多い学校ならではの事情がありました。\n\n（６年生）「野球ボールを使ったら前に怒られた」\n\n（谷山小学校 長友充男校長）「人数が多いから昼休みは校庭いっぱいに人がいる。そのなかで野球はむずかしい」\n\n児童数５００人以上の、鹿児島市の公立小学校２６校を取材したところ、大谷グローブを職員室などに保管または、展示している学校は１５校と半数以上でした。「児童が多く、校庭で使うとけがをするおそれがある」という理由がほとんどでした。\n\n一方で、９校は、昼休みなどに子どもたちが使えるものの、「柔らかいボールに限定する」「教職員がいる時に使う」など、ルールを作っています。\n\nさらにグローブの数も…。\n\n（Ｑ．３つという数は？）\n（谷山小学校 長友充男校長）「無理は言えないが、もっとあったらうれしい。奪い合いになる、まわらない子どもにとっては不公平になるし難しい」\n\n児童の多い学校では安全面や公平性から、大谷選手の言う「野球しようぜ！」とはいかないようです。そんな中、児童数４４６人、日置市の妙円寺小学校でも、昼休みでは使えないものの…。\n\n大谷グローブを使ってみたいという子どもたちの願いをかなえるため、保護者らが休日の校庭で野球イベントを企画。地域の住民や子どもたち５０人以上が集まりました。\n\n（妙円寺児童）\n「（Ｑ．使ってみたいと思っていた？）はい（Ｑ．今の気持ちは？）うれしい、夢がかなったみたい」\n\n安全のため保護者が見守る中、子どもたちは３つのグローブを交替で使いながらキャッチボール。\n\n（妙円寺児童）\n「軽くて使いやすい」\n「妙円寺翔平チームでーす」\n\nそして大人も一緒に試合。子どもも大人も一緒になって野球を楽しみました。\n\n（保護者）「（大谷グローブが）贈られると分かっていたので、孫には来た？来た？と聞いていた」\n\n（親子）「（子どもが）ソフトボールを経験していないので、大谷さんを通じて目標とか夢とか新たなものができればと思う」\n\n（Ｑ・夢できた？）「たくさん打ちたい」\n\n（企画した妙円寺小おやじの会 大内山渡会長）「ひとりでも（野球に）興味をもってくれる子が増えればと思い企画。大谷選手みたいに野球もうまくて、立派な人間になってほしい」\n\n保護者のアイデアで子どもたちは大谷グローブを思う存分、使えたようです。\n\n（Ｑ・大谷グローブ使った？）\n（妙円寺児童）「うん。楽しかった、もっと野球したいと思った」\n\n「（大谷さんから）『野球頑張れよ』みたいな感じがした」\n児童数が多いため、校長室に展示していた谷山小学校。グローブが使えないことを残念がりつつも…。\n\n（谷山小児童）\n「（野球を）知らない人も興味が出ただろうし、知っている子もがんばってうまくなったら、（大谷選手みたいに）みんなにグローブを配れるんだと感じた」\n\n「今も野球やっているけど、もっと大谷選手みたいな選手を目指したい」\n\nグローブが使えなくても、野球に興味をもってほしいという大谷選手の思いは伝わっているようです。\n\n今回、取材した谷山小学校、妙円寺小学校ともに、今後、昼休みなどで大谷グローブを使えるようにできないか、検討していくということです。\nMBC南日本放送 | 鹿児島,[],[]
