headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
保育園ですりおろしリンゴ食べ女児が死亡した事故　当時の園長を業務上過失致死疑いで書類送検　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/97f6c75f070eda17b39ef657516efbc76779b841,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000013-minami-000-2-view.jpg?exp=10800,2024-12-06T23:45:25+09:00,2024-12-07T00:00:13+09:00,南日本新聞,minami,南日本新聞,355,認可保育所「興教寺保育園」＝姶良市 鹿児島県姶良市の認可保育所「興教寺保育園」で昨年４月、すりおろした生のリンゴを食べた６カ月の女児が急変し、約４０日後に死亡した事故について、鹿児島県警が当時の男性園長らを業務上過失致死の疑いで、鹿児島地検に書類送検したことが６日、県警や関係者などへの取材で分かった。 6カ月女児死亡、食物誤嚥で窒息か 保育園のリンゴすったおろし器には7、8ミリの穴 遺族の代理人によると、死因は誤嚥し窒息状態になったことが原因とみられる多臓器不全だった。 市は今年３月下旬、有識者らでつくる検証委員会の報告書を公表。離乳食の与え方に関し、リンゴは加熱して提供するといった国の事故防止指針に沿っていなかったとして、誤嚥窒息防止の「危機管理が不十分」などと指摘していた。 南日本新聞 | 鹿児島,[],[]
息子を刺殺した父に懲役10年の判決　被告は殺意否認も「背部を狙う」「強い力で刺した」ことから殺意を認定　鹿児島地裁（南日本新聞）,https://news.yahoo.co.jp/articles/64e6a4500066cd325f80c4c178986f7266af35da,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000012-minami-000-2-view.jpg?exp=10800,2024-12-06T21:30:21+09:00,2024-12-06T23:53:17+09:00,南日本新聞,minami,南日本新聞,415,（写真：南日本新聞社） 同居する長男を包丁で刺殺したとして殺人の罪に問われた鹿児島市東坂元３丁目、飲食店手伝いの男（７１）の裁判員裁判判決公判が６日、鹿児島地裁であり、小泉満理子裁判長は懲役１０年（求刑懲役１２年）を言い渡した。 【関連】息子を刺殺した父は、殺意を否認した。検察は「安易で短絡的な意志決定」と論告…71歳男に懲役12年求刑 鹿児島地検 被告はこれまでの公判で「殺意はなかった」と主張していた。小泉裁判長は判決理由で、背部を狙って強い力で刺していることから「死亡しても構わないという意思があった」として、殺意を認めた。 判決によると、被告は２０２３年１１月２４日、長男＝当時（４８）＝に、引き継いだ事業の勤務態勢について複数回電話したことでトラブルになり、同日午後７時３４分ごろから同４８分ごろまでの間、自宅で長男の太ももや背中を刃体約１８センチの包丁で突き刺し、出血性ショックで死亡させた。 南日本新聞 | 鹿児島,[],[]
市道沿いの斜面の一部　幅30m、高さ15mわたって崩れ、片側交互通行　現場は9月に崩れた場所の上　原因は調査中　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/7246dd4f36df4793a152b3467698a24dade8a25f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000011-minami-000-1-view.jpg?exp=10800,2024-12-06T21:00:21+09:00,2024-12-06T21:00:21+09:00,南日本新聞,minami,南日本新聞,478,斜面が崩れ、片側通行となっている市道＝６日、鹿児島市武３丁目 鹿児島市武３丁目で、市道沿いの斜面の一部が崩れた。市道路維持課によると、４日、近隣住民からの通報で発覚した。けが人はいない。崩れたモルタル撤去などのため現在、片側交互通行になっている。 【写真】斜面が崩れ、片側通行となっている市道＝６日、鹿児島市武３丁目 現場は市道武岡墓地線沿い。道路を挟んで住宅地があり、周辺には小中学校や市営墓地、長島美術館がある。同課によると、斜面は幅約３０メートル、高さ約１５メートルにわたって崩れた。原因は調査中で、５日夕まで市職員が現場の監視を続けた。 ９月にも今回崩れた場所の下側部分が幅、高さそれぞれ１メートルほど崩れ、１０月に土のうを積んで対応していた。市は、これまで斜面の一部に設置していた仮設防護柵を、今回の崩落箇所まで延長させようと、１２月市議会定例会に工事費約１８００万円を盛り込んだ補正予算案を提案していた。 同課の内村伸二課長は「安全第一に通行してほしい。防護柵の設置を含め、どんな対策ができるか早急に検討する」と話した。 南日本新聞 | 鹿児島,[],[]
銀行員装い「銀行員の家族しか作れない定期預金が…」とうそ　計800万円をだまし取った56歳の男を容疑で逮捕　薩摩川内署（南日本新聞）,https://news.yahoo.co.jp/articles/1b49766e953d617eb7bef3216ee15a8a9af26bf1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000010-minami-000-1-view.jpg?exp=10800,2024-12-06T20:35:22+09:00,2024-12-06T20:35:22+09:00,南日本新聞,minami,南日本新聞,297,（写真：南日本新聞社） 薩摩川内署は６日、銀行員を装って現金８００万円をだまし取ったとして、詐欺の疑いで、本籍鹿児島市、住所不定、無職の男（５６）を逮捕した。 逮捕容疑は２０２１年７月上旬、県内の６０代女性に知人を通して「銀行員の家族しか作れない、利息の高い定期預金がある」などとうそを言い５００万円を、同９月中旬には女性に「定期預金を上乗せすれば旅行が当たるキャンペーンがある」などと言って３００万円をだまし取った疑い。 同署によると、男と女性は面識がある。女性が署に相談し発覚した。男は２３年１１月～２４年５月、傷害と詐欺容疑で鹿児島中央署と姶良署に逮捕されている。 南日本新聞 | 鹿児島,[],[]
おせち商戦異状あり…人手足りない物流業界「2024年問題」追い打ち、正月前納品へ広がる予約受け付け前倒し　読めない年末年始状況、お歳暮など「余裕持って注文を」（南日本新聞）,https://news.yahoo.co.jp/articles/e0f4a72b475b1b4434307cf31f3fd04917c68a2e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000009-minami-000-1-view.jpg?exp=10800,2024-12-06T18:00:21+09:00,2024-12-06T18:00:21+09:00,南日本新聞,minami,南日本新聞,953,来年のおせちを吟味する客＝鹿児島市の山形屋 トラック運転手の残業規制強化により物流が滞る「２０２４年問題」の影響で、鹿児島県内でお歳暮やおせち商戦に変化が生じている。物流業界は慢性的な人手不足で、年末年始はさらに人繰りも難しくなる。運送業や荷主らは混乱を招かないよう試行錯誤しながらも「確実に届けるためにも早めの予約を」と協力を呼びかける。 【写真】明和食品が販売するおせち 年末に配送が集中する「おせち料理」では近年、予約の早期化が進む。城山ホテル鹿児島（鹿児島市）は９月１日から受け付けを始めた。２４年問題を見据え、昨年からは冷凍しない「生おせち」は九州限定販売とした。小宇都貴文マーケティング部長（５０）は「安心して正月を迎えてもらうため早め早めに対応している」。 明和食品（同市）も昨年より半月ほど早い１０月中旬に予約受け付けを始めた。鹿児島ならではのメニューで特色を出したところ、昨年は県外発送の割合が２割以上に増えた。今年はなじみの配送委託業者から「数百個単位は大きい配送センターへ納品を」と依頼があり、川邊篤史社長（３７）は「どこも人手不足。本格的な準備はこれからだが、少しでも早く納品できるよう工夫していく」と話す。 １１月２８日にお歳暮大ギフトセンターを開設した山形屋（同市）の山口政博食品統括部長（６０）は「物流業者と密に連携しており影響は小さいと思う」。ただ、２４年問題の初年度ということもあり影響は読めない。購入者には「従来より到着まで時間がかかる場合がある」と事前案内する。 働き方改革による労働基準法改正により、４月からトラック運転手の時間外労働は年９６０時間が上限となった。運転手の労働環境の改善が期待される一方で、従来通り同じ荷物を同じ日時に送り届けるには人が足りない。県トラック協会の鳥部敏雄会長（６８）は「臨時で人手を補うのが難しい業界。年末ならなおさら」と理解を求める。 全国に物流網を持つヤマト運輸（東京）は、帰省などによる交通渋滞も考慮し、荷物の送り主に対し日数に余裕を持って送るよう依頼する。同社広報課の久米莞爾さん（３０）は「幹線輸送や飛行機、フェリーの活用など、他企業とも連携しながら業界全体で輸送効率を向上させていきたい」と話した。 南日本新聞 | 鹿児島,[],[]
真冬の夜は幻想的な光の世界へ…陸の玄関口を手始めに、鹿児島市内の「映える」スポット巡りはいかが？【動画あり】（南日本新聞）,https://news.yahoo.co.jp/articles/b97ce300af1a22011c5afb2000586a1092fffc50,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000008-minami-000-1-view.jpg?exp=10800,2024-12-06T15:30:21+09:00,2024-12-06T15:30:21+09:00,南日本新聞,minami,南日本新聞,479,薩摩切子をモチーフにした「光の塔」＝アミュ広場 師走の夜は“光の街”に－。鹿児島市の天文館公園を約１００万球の発光ダイオード（ＬＥＤ）で彩り、幻想的な花畑を演出した「天文館ミリオネーション２０２５」など市内４カ所で、計約１２７万球の色鮮やかなイルミネーションが輝きを放っている。 【写真】明るく彩られるケヤキ並木＝みなと大通り公園 ケヤキ並木が温かな光で飾られたみなと大通り公園や、竹燈籠８０本を使ったツリーがお目見えした城山ホテル鹿児島、薩摩切子をモチーフとする塔が輝くＪＲ鹿児島中央駅前のアミュ広場など、見どころや美しさは四者四様。１人で光の世界に没頭するのも、家族でわいわいと巡るのもまた楽しい。いずれも入場無料。 会場や点灯期間、時間は次の通り。 ■天文館公園（千日町、１月１３日まで午後６～１０時、１００万球） ■みなと大通り公園（易居町、１月３１日まで午後６～１０時、６万球） ■城山ホテル鹿児島（新照院町、２月１６日まで午後５～１１時、３万６０００球） ■アミュ広場（中央町、１月１３日まで午後５時～午前０時、１８万球） 南日本新聞 | 鹿児島,[],[]
温泉の街・指宿の名所復活!　薩摩富士ながめ波の音に癒やされながらポカポカ砂むし　山川「砂湯里」被災超え3年ぶり営業再開（南日本新聞）,https://news.yahoo.co.jp/articles/a457dcd304ac708bd19af291d20ae05cbea47cb9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000007-minami-000-2-view.jpg?exp=10800,2024-12-06T11:30:21+09:00,2024-12-06T13:56:33+09:00,南日本新聞,minami,南日本新聞,508,約３年ぶりに再開した砂むし温泉を楽しむ来館者＝５日、指宿市の山川砂むし温泉「砂湯里」 近くの斜面が崩壊し、復旧のため休館していた鹿児島県指宿市の山川砂むし温泉「砂湯里」が５日、約３年ぶりに営業を再開した。開館前にセレモニーがあり、関係者らがテープカットをして祝福。一般客も次々と訪れ、開聞岳や東シナ海を望む砂浜で波の音を聞きながらの入浴を楽しんだ。 【写真】砂浴場からは、東シナ海や開聞岳が見渡せる＝５日、指宿市の山川砂むし温泉「砂湯里」 セレモニーでは、同市の打越明司市長が「リスタートを迎えられてうれしい。指宿にとって新たな魅力を発信していく場所にしていきたい」とあいさつ。一般客で最初に来館した同市山川山下町の団体職員西高典さん（５３）に、無料招待券などの記念品が贈られた。西さんは「下からの温かさと、砂の重みが心地よい。ロケーションも最高」と満足げだった。 「砂湯里」は２０２１年１１月、背後地が高さ３０メートル、幅５０メートルにわたって崩落。臨時休館して復旧工事が行われていた。入浴料は浴衣代込み大人１１００円、小学生以下６００円。水曜定休。年末年始など繁忙期は特別料金で営業する。 南日本新聞 | 鹿児島,[],[]
不祥事続きの鹿児島県警、掲げた改革の旗は「新着情報」に埋もれ目立たず…新本部長「改善の余地ある」と公式HPの発信強化に意欲（南日本新聞）,https://news.yahoo.co.jp/articles/e16686d4dbd6be081f6647583706468ff0e84956,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000006-minami-000-2-view.jpg?exp=10800,2024-12-06T11:00:21+09:00,2024-12-06T11:04:59+09:00,南日本新聞,minami,南日本新聞,375,鹿児島県警HPのトップページ 鹿児島県警で相次ぐ不祥事を巡り、岩瀬聡本部長は５日、ホームページによる公式見解や対応状況の情報発信について「改善の余地がある。しっかり対応する」との認識を明らかにした。宮崎、佐賀両県警が取り組んでいる、本部長の顔写真付きのあいさつ文掲載についても検討する考えを示した。 【写真】〈関連写真〉鹿児島県警の不祥事再発防止対策について答弁する岩瀬聡本部長＝３日、県議会 同日の県議会一般質問で答えた。この中で、ホームページには再発防止対策や議会で配った一部資料が載せられているものの、説明が足りず、県民に伝わりにくいとの指摘があった。 岩瀬本部長は同日までに、県警職員に対し「変化を恐れず新しいアイデアや発想に耳を傾け、これまでと異なる手法への挑戦を尊重することが大切だ」と指示したことも明らかにした。 南日本新聞 | 鹿児島,[],[]
口永良部島　噴火警戒レベル2へ上げ（南日本新聞）,https://news.yahoo.co.jp/articles/2b2d1f9f8d10f6c14c27709e94e6bc2cf681194d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000005-minami-000-2-view.jpg?exp=10800,2024-12-06T08:05:21+09:00,2024-12-06T23:54:37+09:00,南日本新聞,minami,南日本新聞,217,屋久島町の口永良部島 福岡管区気象台は６日、屋久島町・口永良部島の噴火警戒レベルを１（活火山であることに留意）から２（火口周辺規制）に引き上げた。 新岳火口と古岳火口から約１キロ圏内での大きな噴石と火砕流、新岳火口の西側約２キロ圏内の火砕流に警戒を呼びかけている。 同気象台によると、古岳火口付近の浅いところを震源とする火山性地震が増加し、同日午前６時までの２４時間に３０回発生。火山活動が高まっているとした。 南日本新聞 | 鹿児島,[],[]
本格焼酎、伸びしろしかない！　今は日本酒に遠く及ばない海外知名度だけれど…ユネスコ登録を追い風に、鹿児島の本気が試される（南日本新聞）,https://news.yahoo.co.jp/articles/6aa31fc7f6581635d781113d8abd85fae76c1722,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000004-minami-000-1-view.jpg?exp=10800,2024-12-06T07:03:21+09:00,2024-12-06T07:03:21+09:00,南日本新聞,minami,南日本新聞,1095,焼酎を試飲する台湾からのツアー客。県観光連盟が支援した＝１１月１９日、霧島市福山町佳例川の谷山農園 本格焼酎など日本の「伝統的酒造り」が、国連教育科学文化機関（ユネスコ）の無形文化遺産に登録された。政府は国産酒類の輸出拡大や観光振興、地域活性化に結びつけたい考えだが、焼酎は日本酒（清酒）と比べて海外での認知度が低い。鹿児島県内の関係者は「焼酎はこれから」と登録を追い風に、輸出拡大や訪日客の蔵元ツアー増加といった好循環に期待を寄せる。 【写真】〈関連〉焼酎と清酒の輸出量にはこれだけの差が…違いをグラフで見比べるとよく分かる 「日本酒も海外人気を得るまで１０年かかった」と話すのは知覧醸造（南九州市）の森暢社長（５５）。地元産の芋と茶を使う「知覧Ｔｅａ酎」は、２０２１年のフランスでの国際品評会で最高賞だった。ただ同国での引き合いは受賞直後の一度切りで、取引の継続には焼酎自体になじみを持ってもらう必要を痛感した。「ユネスコ登録はいい機会。業界全体で盛り上げたい」 県酒造組合によると、県産焼酎の輸出量は正式に記録を取り始めた１８年度（４月～翌年３月）以降、４２９～７００キロリットルで推移。酒造年度（７月～６月）で比較すると、全体出荷量の１％にも満たない。一方の清酒は、新型コロナウイルス禍や中国の景気後退などで落ち込みはあるものの、この１０年でほぼ倍増した。 県は１７年度から、国内外であるアジアやヨーロッパ向けの商談会や展示会参加を後押しする。米国への焼酎輸出拡大を目指し２１年度からは宮崎、熊本、大分との４県合同プロジェクトもスタート。登録勧告となった１１月中旬には、米国の著名バーテンダーらを招いた産地視察などを開いた。 県販路拡大・輸出促進課の牧元禎治課長は「バーテンダーやバイヤーなど、現地で影響力がある人に焼酎への理解を深めてもらうことが普及には効果的。今はまだ種まきの時期。官民連携で地道な活動を続ける」と意気込む。 登録では、日本の風土や気候に合わせながら、杜氏（とうじ）らが手作業で洗練してきた背景も評価された。観光業界では、日本の酒造り文化を知りたい外国人が増えると見る。県観光連盟は１１月、台湾の飲食店経営者による焼酎ツアーを支援。約３０人が原料の芋畑や蔵元を巡り焼酎への理解を深めた。 海外誘致部の高江奉子マネジャーは「ユネスコ登録により、有名な観光地でなくとも蔵元がある地域に人を呼び込める。現地で味わった焼酎や産物を帰国後に購入することも見込める」。１００を超す蔵元がある「焼酎王国」の特色が、地域活性化へつながる可能性に期待した。 南日本新聞 | 鹿児島,[],[]
イプシロンSロケット、年度内打ち上げ「不可能」　燃焼試験中、亀裂からガス漏れ後に爆発か　JAXAが会見（南日本新聞）,https://news.yahoo.co.jp/articles/9d5a18294a8b7949b966ac3ef69ba9e3d082a9c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241206-00000003-minami-000-2-view.jpg?exp=10800,2024-12-06T06:27:01+09:00,2024-12-06T11:03:31+09:00,南日本新聞,minami,南日本新聞,625,燃焼試験中に爆発した「イプシロンＳ」の２段目エンジン＝１１月２６日、南種子町の種子島宇宙センター（ＪＡＸＡ提供） 宇宙航空研究開発機構（ＪＡＸＡ）は５日、小型固体燃料ロケット「イプシロンＳ」のエンジン燃焼試験中の爆発事故を受け、当初予定していた本年度中の打ち上げは「現実的に不可能」との認識を示した。爆発は燃焼ガスが漏れた後に起きたとみられるが、原因については現在も調査中としている。 【写真】〈別アングル〉燃焼試験中に爆発した「イプシロンＳ」の２段目エンジン＝２６日、南種子町の種子島宇宙センター（ＪＡＸＡ提供） 東京都で開いた事故原因調査状況の説明会で明らかにした。ＪＡＸＡによると、原因調査や爆発で損傷した地上施設の復旧に必要な期間は現段階で不明。再試験も必要なため、年度内の打ち上げは技術的にも極めて困難とした。イプシロンＳは、内之浦宇宙空間観測所（鹿児島県肝付町）から年度内の打ち上げを目指していた。 燃焼試験は種子島宇宙センター（同県南種子町）で１１月２６日にあり、エンジン点火から約４９秒後に爆発した。燃焼ガスは、エンジンノズルの継ぎ目や、何らかの理由でエンジンケースにできた亀裂から漏れた可能性があるという。 ＪＡＸＡは岡田匡史宇宙輸送技術部門長をトップとする調査チームを設置し、原因究明に当たっている。 同エンジンは昨年７月の秋田県での燃焼試験でも爆発事故が発生した。前回試験では燃焼ガスの漏えいはなかった。 南日本新聞 | 鹿児島,[],[]
