headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「怖くなって逃げた」県職員男性死亡のひき逃げ事件　２１歳会社員の男逮捕　酒気帯び運転の疑いも（MBC南日本放送）,https://news.yahoo.co.jp/articles/121dea024178e62274b0c6dc3f8bb322dc7112e4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070507-mbcnewsv-000-3-view.jpg?exp=10800,2024-03-22T21:17:00+09:00,2024-03-22T21:19:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,320,\n鹿屋市で２２日未明、男性がひき逃げされ死亡した事件で、警察は２２日夜、市内に住む２１歳の男を逮捕しました。\n\nひき逃げと酒気帯び運転の疑いで逮捕されたのは、鹿屋市吾平町上名の会社員・川平陸人容疑者（２１）です。\n\n警察によりますと、川平容疑者は２２日午前２時半ごろ、鹿屋市寿の市道で酒気を帯びた状態で乗用車を運転し、県大隅地域振興局の職員、野元隆春さん（５７）をひき逃げし死亡させた疑いです。\n\n事故後、警察が市内の商業施設の駐車場で前方が破損した車に乗っていた川平容疑者を発見し、２２日夜、逮捕しました。\n\n取り調べに対し、「怖くなって逃げた」と供述し、容疑を認めているということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070507-mbcnewsv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/121dea024178e62274b0c6dc3f8bb322dc7112e4/images/000']
「報告する娘はこの世にいない。二度と起きないように」６か月女児「すりおろしリンゴ」食べたあと死亡…検証委が最終報告　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/e5aa52e3bfadf800968b84e9040b671a05f7cb77,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070501-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-22T19:17:00+09:00,2024-03-22T19:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,699,\nMBC南日本放送\n姶良市の保育園で去年、園児がすりおろしたリンゴを食べたあと死亡した事故で、検証委員会は２２日「リンゴが窒息の原因となった可能性が高い」とした一方、原因の究明には至らなかったと結論づけました。\n\nこの事故は去年４月、姶良市の「興教寺保育園」で、当時６か月の女の子がすりおろしたリンゴをおやつとして与えられたあと体調が急変し、窒息による多臓器不全でおよそ４０日後に死亡したものです。\n\n去年６月に立ち上げられた市の検証委員会は２２日の最終報告書で「リンゴが窒息の原因となった可能性が高いと考えられる」とした一方、原因については「究明することは難しい」と結論づけました。\n\n（検証委員会 伊東安男委員長）「直前に摂取したリンゴが原因だと考えられる程度でしか表現できない」\n\n再発防止に向けては「子どもの発達に応じて離乳食を進めること」「保護者との連携を密にすること」「リンゴなどの果物は加熱するよう求めた国のガイドラインを守ること」など７つの提言が盛り込まれました。\n\n（姶良市 湯元敏浩市長）「すべての保育施設と共有し、保護者が安心して子どもを預けられるよう取り組む。姶良市独自のガイドラインも作りたい」\n\n女の子の両親は「私たち遺族の立場から検証してくれていると感じましたが、報告する娘はこの世にはもういません。提言をいかして二度と事故が起こらないようにしてほしいです」とコメントしています。\n\n興教寺保育園は「報告書をいただき次内容を真摯に受け止め、引き続き再発防止に向けた取り組みを行って参ります」としています。\nMBC南日本放送 | 鹿児島,[],[]
小学校で卒業式「泣きそうになった」保護者「手がかからなくなりうれしくもさみしい」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/9a622708ab428377a005836ff2e658a45a33c3d5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070505-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-22T19:30:00+09:00,2024-03-22T19:31:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,782,\nMBC南日本放送\n県内のほとんどの公立小学校で２２日、卒業式がありました。\n\n鹿児島市の鴨池小学校では２２日、６年生８２人に卒業証書が手渡されました。\n\n卒業生は運動会で踊った「チェストおはら」を披露し、在校生や先生、保護者に６年間の感謝を伝えました。\n\n（卒業生）\n「２年生から転入してきたけど、すぐ友達ができて楽しかった」\n\n「楽しかったけどさみしかった」\n\n（保護者）「６年間が走馬灯のように流れて、いい式だった」\n\n奄美大島・大和村の大棚小学校では、たった一人の卒業式でした。\n\n卒業生の杉島希空さんは、６年間同級生がいませんでしたが、全校児童１０人ときょうだいのように過ごしていて、面倒見の良いお姉さんだったようです。\n\n（卒業生 杉島希空さん）「みんなと過ごした学校生活はとっても楽しかったよ」\n\n（５年生 前田龍清さん）「（希空さんは）何事にもあきらめず、最後までやりきっていたのですごいなと思いました」\n\n（卒業生 杉島希空さん）「さびしい気持ちもあるけど中学校でもがんばりたい。部活とか勉強を一緒に同級生とするのが楽しみ」\n\n一方、この春、閉校する曽於市の高岡小学校では最後の卒業式でした。\n\n卒業生は、新田尚輝さん一人で、在校生４人と思い出や感謝の言葉を交わした後、みんなで歌を歌いました。\n\n（４年 達脇萌花さん）「みんなに優しくて、面倒見がいい人でした」\n\n（卒業生 新田尚輝さん）「地域と一緒にやった運動会が、一番思い出に残っている」\n\n高岡小学校は、今月末に末吉小学校に統合され、１５１年の歴史に幕を下ろします。卒業生の門出を祝うとともに学校との別れを惜しみました。\n\n県内の公立小学校ではこの春、およそ１万４８００人が卒業します。\nMBC南日本放送 | 鹿児島,[],[]
殺人未遂容疑で逮捕送検の女性を不起訴処分に　鹿児島地検「諸般の事情を考慮」（MBC南日本放送）,https://news.yahoo.co.jp/articles/e63cd14a205c26eb03a5fea8c22b617ab9786a6c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070506-mbcnewsv-000-2-view.jpg?exp=10800,2024-03-22T19:46:00+09:00,2024-03-22T19:47:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,317,\n奄美市で去年１０月、６０代女性と１０歳未満の男の子２人を殺害しようとした疑いで逮捕・送検されていた女性について、鹿児島地方検察庁は２２日、不起訴処分としました。\n\n不起訴処分となったのは、３０代の無職の女性です。女性は去年１０月、自宅で大島郡に住む６０代女性と１０歳未満の男の子２人の胸などを包丁で突き刺すなどして殺害しようとしたとして逮捕・送検されていました。３人の命に別状はありませんでした。\n\n検察はその後、女性の刑事責任能力を調べるため、鑑定留置を行っていましたが、鹿児島地検は、２２日付で女性を不起訴処分とし釈放しました。理由について地検は、「諸般の事情を考慮した」としています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070506-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=359&exp=10800'],['https://news.yahoo.co.jp/articles/e63cd14a205c26eb03a5fea8c22b617ab9786a6c/images/000']
「水俣病は病気ではなく事件」“不当判決”法廷で見守った男性…５５歳で医師の診断「君こそが水俣病。なぜもっと早く」（MBC南日本放送）,https://news.yahoo.co.jp/articles/dd0cad6447c6f39b8fd08e1768b92d6d2e2db53d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070499-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-22T19:24:00+09:00,2024-03-22T19:24:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,847,\nMBC南日本放送\n今回の集団訴訟が始まって１１年。原告団の１人で、子ども時代を水俣で過ごした鹿児島県出水市の男性も、２２日の判決を見守りました。\n\n出水市からは２２日朝、原告６０人ほどが熊本地裁へ向かうバスに乗り込みました。出水市の谷添政一さん（６８）原告団の副団長です。\n\n（水俣病集団訴訟原告 谷添政一さん）「きょうは午前３時から寝られなかった。公正公平な判決を願っている」\n\n水俣病は１９５６年に公式確認された四大公害病の１つです。熊本の原因企業・チッソがメチル水銀を含む排水を海に流し、汚染された魚介類を食べた人たちが手足のしびれなど神経障害を起こしました。\n\n国は２００９年、症状がありながらも水俣病と認定されていない人を救済する特別措置法をつくりましたが、地域の線引きなどを理由に対象外になった人たちもいました。\n\n出水市出身の谷添さんは小学４年の時、家族で水俣市に引っ越し中学生まで暮らしました。当時の八代海の光景が今でも目に焼きついています。\n\n（水俣病集団訴訟原告 谷添政一さん）「魚の浮いてる状況が一尾二尾ではない、目に入ってくる魚の量が」\n\n４０代から手足のしびれなど異変を感じ、５５歳の時、病院で水俣病と診断されました。しかし、特措法で設けられた救済策の申請期限はすでに過ぎていました。\n\n（水俣病集団訴訟原告 谷添政一さん）「毎朝こむら返りで起きて痛くて起きる、今も耳鳴りがゴーとなっている」「なんで君はもう少し早く（受診に）来なかったと言われた。君こそが水俣病だと」\n\n原告の平均年齢はおよそ７５歳と高齢化が進み、この１１年の裁判の間に２４６人の仲間が亡くなりました。一刻も早い救済を願い、臨んだ２２日の判決。\n\n（水俣病集団訴訟原告 谷添政一さん）「忘れられない一日。侮辱された感じ、ここまできて」「もちろん控訴しますよ。そういう事件なんだ」\n\n原告の長い戦いはこれからも続きます。\nMBC南日本放送 | 鹿児島,[],[]
３１３億円新体育館事業費含む当初予算案可決　鹿児島県議会（MBC南日本放送）,https://news.yahoo.co.jp/articles/4c0ee524de1011630906326a567217c5131e6ebf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070492-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-22T16:11:00+09:00,2024-03-22T16:11:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,620,\nMBC南日本放送\n鹿児島県議会は２２日、事業費が３００億円を超える見込みの新たな総合体育館関連を含む、新年度当初予算案を原案通り可決しました。\n\n（松里保廣議長）\n「よってこの議案は委員長報告の通り、可決されました」\n\n県議会では２２日、総額８４０５億１０００万円の一般会計当初予算案が可決されました。予算案には、県が計画している新しい総合体育館の関連事業費が含まれていますが、資材の高騰などで当初の２４５億円から３１３億円に膨らむ見込みです。\n\n（無所属 橋口住眞県議）\n「県民の血税を投じる以上、需要予測とコスト試算が不可欠。需要予測を誤れば、負の遺産を県民に負わせることになりかねない」\n\n４人の議員が可決に反対の討論をしましたが、賛成多数で原案通り可決されました。また、２２日は今年夏の県知事選挙に立候補の意向を示している、自民党県議の米丸麻希子さんの辞職が認められました。\n\n（知事選に出馬意向 米丸麻希子氏）\n「鹿児島のさらなる発展のため、新しいことに身を投じようと思う」\n\n県知事選には現職の塩田康一さんも立候補を表明していて、米丸さんは総合体育館のドルフィンポート跡地での建設反対を訴える考えです。\n\nなお、２２日は県の教育長に地頭所恵さんを再任する人事同意案も可決されました。地頭所さんの任期は２０２７年３月までです。３月定例会は今月２６日までです。\nMBC南日本放送 | 鹿児島,[],[]
インフルエンザ感染者数２週連続で増加　新型コロナは減少（MBC南日本放送）,https://news.yahoo.co.jp/articles/ae6921956ee71fd1e15f70cf73e240b637fff9a9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070493-mbcnewsv-000-2-view.jpg?exp=10800,2024-03-22T19:06:00+09:00,2024-03-22T19:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,239,\n鹿児島県内では、インフルエンザの感染者が２週連続で増加しました。\n\nインフルエンザの今月１７日までの１週間の定点あたりの感染者数は前の週より１．６９人多い１４．４２人で、２週連続で増えました。保健所別では、姶良、鹿屋、鹿児島市、名瀬で警報レベルとなっています。\n\nまた、新型コロナの定点あたりの感染者数は、前の週より０．１１人減って６．１１人でした。\n\n県は引き続き、手洗いやマスクの着用などの基本的な感染対策を呼びかけています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070493-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/ae6921956ee71fd1e15f70cf73e240b637fff9a9/images/000']
市丸グループ会長の市丸良一さん（９４）が死去　種子島出身タクシー３台で創業（MBC南日本放送）,https://news.yahoo.co.jp/articles/6a16d7f76bd334a20f42206a6e595a52b24b286c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070489-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-22T15:39:00+09:00,2024-03-22T19:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,616,\nMBC南日本放送\nタクシーやアミューズメント事業を展開する、市丸グループの会長の市丸良一さんが２１日亡くなりました。９４歳でした。\n\n市丸グループによりますと市丸良一さんは１９３０年（昭和５年）、中種子町生まれで１９５１年（昭和２６年）、市丸産業合名会社を設立。３台のタクシーで事業を開始しました。\n\nその後、昭和市丸交通を設立し、１９８７年には鴨池タクシーを買収。２００２年には昭和市丸交通と、鴨池交通の２つのタクシー事業の営業権を新会社の鶴丸交通に譲渡し、４３４台という県内最大のタクシー会社をスタートさせました。\n\nまた２００４年には、ふるさと種子島と鹿児島を結ぶ航路に参入し、船会社「コスモライン」を設立。高速船「ロケット」を就航させました。\n\n種子・屋久航路の高速船や、フェリーを運航するほかの企業との運賃競争や利用客の争奪戦となりました。\n\nまたこの間、市丸グループの社長や会長を歴任し、不動産、ガソリンスタンド、ボウリング場やパチンコなど事業を拡大し、従業員１０００人近いグループに成長させました。\n\n市丸グループによりますと、市丸さんは病気のため２１日夜、亡くなったということです。市丸良一さんの通夜は２４日（日曜日）の午後６時から。\n\nまた葬儀告別式は２５日（月曜日）の午前１１時から。いずれも鹿児島市東千石町の西本願寺鹿児島別院で執り行われます。\nMBC南日本放送 | 鹿児島,[],[]
奄美“結いの心”で世代を越えてＳＤＧｓ　海岸清掃とゴミ生かしたアートで健康づくり　大島高校のアイデア（MBC南日本放送）,https://news.yahoo.co.jp/articles/fcba82ce47e9924d7485d215ec519e91b159de86,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070496-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-22T19:09:00+09:00,2024-03-22T19:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1144,\nMBC南日本放送\n鹿児島県内の高校生がＳＤＧｓの取り組みやアイデアを競うコンテストが今月、鹿児島市で開かれました。\n優秀賞に選ばれたのは大島高校です。島の人たちと世代を越えた交流で健康づくりや環境保護につなげる取り組みです。\n\n（発表）「一つの空間を共有するだけでなく、一つの作品を通して、多世代がつながる新たな交流の形を見いだす」\n\n今年で２回目となった「ＳＤＧｓＱｕｅｓｔみらい甲子園」県内の高校６４チームのなかから優秀賞に選ばれたのは大島高校の取り組みです。授賞式のあと、地元奄美でも発表しました。\n\n（大島高校２年 福崎心結さん）「奄美大島の住民の健康と美しい海を守る」\n\nきっかけは奄美市の男性の平均寿命が７９．２歳で、全国１７１８市町村の中でワースト３５位となっている現状でした。\n\n島の人たちの健康づくりのために何かできないか？注目したのが海岸清掃＝ビーチクリーンの取り組みです。\n\n健康な体づくりには１日８０００歩が推奨されていますが、参加者は４０分間に平均およそ１６００歩あるきました。\n\n参加した４０代の女性はアンケートに「世代に関係なく一体感が生まれ達成感がありました」と答えました。\n\n（発表）「身体的健康だけではなく社会的健康の促進や、海洋ゴミ問題に対する意識の向上が期待できる」\n\n一方、足腰が弱くビーチクリーンに参加できない高齢者のために思いついたアイデアが、集まった海洋ゴミでつくるアートです。\n\n（記者）「生徒たちの活動は地域や世代を越えて広がっていきます」\n\n今月７日、龍郷町の介護施設の高齢者と一緒に、アート作品をつくりました。\n\nそうして出来上がった作品が・・・\n\n「絵を遠くから見ると一見クジラに見えますが、近くで見ると和月のみなさんと作った一つ一つの作品から成り立っています」\n\n参加した８０代の女性はアンケートで「細かい作業で短時間でも頭を使いました。子どもたちのピースと組み合わせてどんな作品になるか楽しみ」と回答。\n\n健康増進は「体力づくり」だけでなく交流を通じて「誰かと繋がっているという感覚」を持つことも大切だと生徒たちは気づきました。\n\n（大島高校２年 安田琉夏さん）「とても良い活動だと友達に褒められた」\n\n（発表を聞いた生徒）\n「高齢者との関わりを気にして生活したい」\n\n（大島高校２年 文みらいさん）「日常にある世代間交流になるよう、奄美大島全体でできる活動になったらいい」\n\n世代を越えた「結いの心」で奄美で持続可能な環境保全と健康づくり。生徒たちの取り組みが続きます。\n\n※福崎さんの崎は「たつさき」\nMBC南日本放送 | 鹿児島,[],[]
トカラ列島近海で地震　鹿児島十島村で最大震度１　津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/d8e772b3a4e49102df60dec05286c71e257a3f1a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00250639-mbcnewsv-000-3-view.jpg?exp=10800,2024-03-22T14:11:00+09:00,2024-03-22T14:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,148,\n２２日午後２時０８分ごろ最大震度１の地震がありました。\n震源はトカラ列島近海で震源の深さは約１０キロメートル。\n地震の規模を示すマグニチュードは２．１と推定されています。\n\n震度１を鹿児島十島村で観測しました。\nこの地震による津波の心配はありません。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00250639-mbcnewsv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/d8e772b3a4e49102df60dec05286c71e257a3f1a/images/000']
「水俣病の症状」も特措法による救済対象外　熊本地裁が原告１４４人全員の訴え棄却（MBC南日本放送）,https://news.yahoo.co.jp/articles/a718fcd6d2e28a6f9fb3116a0f473ab29e6d07e8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240322-00070485-mbcnewsv-000-5-thumb.jpg?exp=10800,2024-03-22T11:30:00+09:00,2024-03-22T19:27:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,450,\nMBC南日本放送\n水俣病特別措置法に基づく救済を受けられなかった、鹿児島県や熊本県の住民たちが国などに対し損害賠償を求めている裁判で、熊本地裁は、原告全員の訴えを棄却しました。\n\nこの裁判は、水俣病の症状があるにも関わらず、特措法に基づく救済の対象とされなかったと訴える鹿児島を含む１４００人が、国や熊本県、原因企業チッソに１人あたり４５０万円の損害賠償を求めていたものです。\n\n２２日はこのうち１４４人の判決で、熊本地裁は全員の請求を棄却しました。２５人については水俣病と認めたものの、損害賠償を請求できる「除斥期間」を過ぎているとして、損害賠償の対象とはしませんでした。\n\n（原告・長島町から）\n「非常に腹立たしい。何を考えているのか」\n「残念で仕方ない。現地のことをよく知って判断を」\n\n水俣病の症状を訴える人の救済をめぐっては、去年９月、大阪地裁が原告全員を水俣病と認めて国などに賠償を命じていて、司法の判断が分かれる形となりました。\nMBC南日本放送 | 鹿児島,[],[]
