headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
架空の工事を発注し業者から賄賂受け取る…収賄罪などで起訴の52歳職員懲戒免職　小林市（南日本新聞）,https://news.yahoo.co.jp/articles/d1540111ca1757e39ee4b3bdca880009067f0553,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000011-minami-000-3-view.jpg?exp=10800,2024-12-20T22:15:21+09:00,2024-12-21T23:26:22+09:00,南日本新聞,minami,南日本新聞,406,〈イメージ写真〉 宮崎県小林市は２０日、架空の工事を発注し賄賂を受けたとして、加重収賄や虚偽有印公文書作成・行使、詐欺罪で起訴された同市上下水道局上下水道課主幹（５２）を懲戒免職処分にしたと発表した。処分は１９日付。 被告が市に提出した事実申立書などによると、６月、上下水道局が発注する工事などで有利に計らう見返りに水道事業者から現金約２１万７０００円を受け取ったほか、架空の修繕工事の書類を作成して市から水道事業者名義の口座に代金約２８万８０００円を振り込ませたとしている。宮崎地検は９月、宮崎地裁に起訴した。 市は、被告が申立書で起訴内容と起訴事実以外の１５事業（事業費計約３００万２０００円）で架空請求を認め、内部調査で事実を確認できたとして処分を決めた。 宮原義久市長は「市の信用を失墜させ、市民の期待を裏切ったことを心より深くおわびする。信頼回復に全力で努める」とコメントした。 南日本新聞 | 鹿児島,[],[]
公用車運転中に赤信号に気付かず侵入、衝突事故　60代職員を戒告処分　垂水市（南日本新聞）,https://news.yahoo.co.jp/articles/5c5ef26a0547a531d80e03e5ef5e810743210f89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000010-minami-000-1-view.jpg?exp=10800,2024-12-20T22:05:23+09:00,2024-12-20T22:05:23+09:00,南日本新聞,minami,南日本新聞,313,（写真：南日本新聞社） 垂水市は２０日、公用車を運転中に信号を無視し人身事故を起こしたとして、市長部局の会計年度任用職員の６０代男性職員を１８日付で戒告処分にしたと発表した。 市によると、職員は６月１７日、業務で市内を走行中、赤信号に気づかず県道交差点に進入。右側から来た車と衝突し、運転していた男性に軽傷を負わせた。１０月３０日、自動車運転処罰法違反（過失運転致傷）で鹿屋簡易裁判所から罰金４０万円の略式命令を受けた。 戒告は市職員の交通事故・交通法令違反行為に対する懲戒処分規程に基づく。尾脇雅弥市長は「再びこのような事故を起こさないよう、全職員一丸となり安全運転に取り組む」とのコメントを出した。 南日本新聞 | 鹿児島,[],[]
明け方を待つ夜空見上げてギョッ…隕石? 火球? UFO? 流れる光の塊が徐々に分裂、専門家の見立て　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/7a6cb531dc6d43861ada2df60ed59a8135a87ce7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000009-minami-000-2-view.jpg?exp=10800,2024-12-20T21:30:22+09:00,2024-12-20T23:14:35+09:00,南日本新聞,minami,南日本新聞,431,光輝きながら夜空を飛行する物体＝１９日午前４時ごろ、鹿児島市城南町から撮影（川畑友和さん提供） 指宿市山川の漁業川畑友和さん（４６）は１９日午前４時ごろ、光の塊がゆっくりと分裂しながら夜空を横切っていく様子を鹿児島市城南町から撮影した。光の塊は大気圏に突入して燃えた人工衛星とみられる。動画は交流サイトのＸ（旧ツイッター）で公開されており、注目を集めている。 【写真】〈別カット〉光輝きながら夜空を飛行する物体＝１９日午前４時ごろ、鹿児島市城南町から撮影（川畑友和さん提供） 川畑さんは、魚の出荷の帰りに目撃。「隕石（いんせき）、火球、ＵＦＯか」と初めて見る光景に驚いたといい、「被害が出なくて良かった」と話した。撮影した動画は約１分。 せんだい宇宙館（薩摩川内市）の前田利久館長（６１）は、「ゆっくり落ちながら分裂している点から、大型の人工衛星と思われる。見られるのは珍しい」と説明。専門家には中国の宇宙船と指摘している人もいるという。 南日本新聞 | 鹿児島,[],[]
おやつは道ばたの花の蜜、60代はまだ若手…東京と比べて光るふるさとの良さ　九州のすみっこの町の若手職員が冊子で魅力をPR　全国コンで大賞受賞（南日本新聞）,https://news.yahoo.co.jp/articles/28aced949f6043831565fcf11628c412745c7fb7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000008-minami-000-2-view.jpg?exp=10800,2024-12-20T21:00:21+09:00,2024-12-20T23:14:05+09:00,南日本新聞,minami,南日本新聞,594,全国の大賞を受けた冊子「まんなかと、すみっこと。」を制作した南大隅町役場職員＝町役場 南大隅町の若手職員が作り、本土最南端の町と東京の暮らしや風景を比較した冊子「まんなかと、すみっこと。」が、全国の自治体などでつくる地域活性化センター（東京）の「地域プロモーション大賞」のパンフレット部門で、７４点の中から大賞に選ばれた。 【写真】冊子「まんなかと、すみっこと。」 冊子はＡ５判で５１ページ。「おやつは道ばたの花の蜜」「６０代は若手」など、町の魅力をユニークに紹介。写真や文、デザインが、すべて職員の手作りであることが評価された。 左面に東京、右面に南大隅の町の姿や暮らしを掲載。無人販売については、スマートフォンだけで買い物ができる東京と、農家野菜や果物を売る農家の無人市がある南大隅を比較。東京では自転車で配達するフードデリバリーがあるが、南大隅ではおばあちゃんからのおすそ分けがあることも紹介している。 中心になって冊子を作った町民保健課の女性職員（２９）は「不便さや地理的に不利な部分など、町の等身大の姿を見てもらいたいと思っていた。大変光栄な賞を受け、うれしい」と語った。 冊子は町役場で手に入るほか、ホームページでも公開する。町企画観光課＝０９９４（２４）３１１３。動画部門では、喜界町の「優しさも、おすそ分け」が、応募１０４点の中から大賞に選ばれた。 南日本新聞 | 鹿児島,[],[]
ステゴサウルスの背板は放熱機能だけじゃない…ボーンヒストロジーで解き明かす、恐竜の生態と進化の過程（南日本新聞）,https://news.yahoo.co.jp/articles/579f782fd9467527ab10739c8d12eeff9301efb7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000007-minami-000-1-view.jpg?exp=10800,2024-12-20T17:00:22+09:00,2024-12-20T17:00:22+09:00,南日本新聞,minami,南日本新聞,867,岡山理科大学の林昭次准教授。持っているのはクビナガリュウの背骨 ■サラリーマン化石ハンター・宇都宮聡さん 【写真】２０１７年にモンゴル・ゴビ砂漠で行った恐竜化石発掘現場（林さん提供） 私は現在、大阪で再発見した大型海生爬虫類・モササウルス類の化石の研究を、岡山理科大学の林昭次准教授（４３）と共同で行っています。林さんは古生物学や進化生物学が専門で、ボーンヒストロジー（骨組織学）という手法で、恐竜の化石などを調べています。今回は林さんに、研究の内容や古生物学の楽しみ方などを聞きました。 －ボーンヒストロジーとはどのようなものですか？ 「骨を切断し薄くスライスすることで、内部の組織を観察し、骨の機能や成長について研究する手法です。この手法を用いると、従来は推定が難しいとされてきた、絶滅動物の成長速度や代謝といった生理、運動様式、装飾物（トサカやとげなど）の機能といった生態を明らかにできます」 －ボーンヒストロジーを用いて、どのような発見をしましたか？ 「例えばステゴサウルスの背中の板の血管構造が、放熱機能を持つことです。成体になると背板が巨大化することから、ディスプレイ（求愛や威嚇など）として使われていたことも分かりました。ほかに、ヤクシカなど大小の島々に生息するシカ類は、島が地殻変動などで大陸から分離した期間が長くなるほど、長寿化と成長の遅延化が起こることなども確認しました」 －今後、どのような研究を進めたいですか？ 「大阪和泉層群のモササウルス類やモンゴル・ゴビ砂漠の恐竜類などの化石を調べ、生態や進化を明らかにしていきたいです」 －鹿児島の読者にメッセージを。 「鹿児島は、長島町・獅子島や薩摩川内市・甑島で恐竜化石がたくさん出ている、日本でも珍しい『恐竜王国』です。古生物学を通じて、地球や生命の歴史の素晴しさに興味を持ってもらえることを願っています。また、私が所属する岡山理科大学では来年度、『恐竜学科』が新設されます。恐竜や古生物の研究をさらに発展させる学科として、ご期待ください」 南日本新聞 | 鹿児島,[],[]
物価高、人件費アップで経営が苦しい…理容、飲食、クリーニングなど生活衛生11業種が県に支援を県に要望（南日本新聞）,https://news.yahoo.co.jp/articles/f909e5ea25267d35732983ed181663bc61966fb8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000006-minami-000-1-view.jpg?exp=10800,2024-12-20T11:53:22+09:00,2024-12-20T11:53:22+09:00,南日本新聞,minami,南日本新聞,384,塩田康一知事に要望書を手渡す県生活衛生同業組合連合協議会の肥後辰彦会長（右）＝１９日、鹿児島県庁 理容や飲食、クリーニングなど１１の業種で構成する鹿児島県生活衛生同業組合連合協議会（肥後辰彦会長）は１９日、県庁で塩田康一知事と面会し、物価高や人件費上昇などで苦しい経営が続く業界に支援を求める要望書を渡した。 「出費だけが増えている」…物価高騰の恩恵受けぬ地方経済、選挙の度に言葉躍る「地方活性化」はどこに 要望は２０２５年度予算での各組合に対する補助の継続や、活動周知での連携などを盛り込んだ。塩田知事は「県民の生活に密着した仕事。要望を踏まえ、取り組みたい」と述べた。 県食肉生活衛生同業組合理事長を務める肥後会長は「経費を価格転嫁できず利益を減らす一方、賃上げが続き、人手不足も深刻だ。県民の安心安全を守る各業界を支えてほしい」と話した。 南日本新聞 | 鹿児島,[],[]
延べ1500人投入しても捜査は難航…離島の女性殺害事件から1カ月、いまだ容疑者特定できず　徳之島・伊仙（南日本新聞）,https://news.yahoo.co.jp/articles/941ca3c08c7e6a0264d1c4e72947c497f6436af5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000005-minami-000-1-view.jpg?exp=10800,2024-12-20T11:45:21+09:00,2024-12-20T11:45:21+09:00,南日本新聞,minami,南日本新聞,548,発生から１カ月となる事件現場＝１９日午後１時１５分ごろ、伊仙町佐弁（画像は一部加工しています） 鹿児島県伊仙町佐弁の住宅で、住人の女性保育士が殺害された事件は、２０日で発生から１カ月となった。県警は徳之島署に捜査本部（本部長・中野誠刑事部長）を設置し、これまで延べ約１５００人の捜査員を投入。現場付近の聞き込みや検問を続けているが、容疑者の特定には至っていない。 【写真】事件現場を地図で確認する 県警などによると、亡くなった女性（５５）は１１月２０日午後６時すぎに自宅で見つかった。関係者が「帰宅すると妻が倒れており冷たくなっている。出血して切り傷がみられる」と１１９番した。上半身に鋭利な物でできたとみられる複数の傷があり、消防は「首から出血があった」と説明している。 ２２日の司法解剖の結果、死因は出血性ショックと判明。「解剖結果や遺体の状態などを総合的に判断した」として、県警は同日、徳之島署に捜査本部を設置した。室内の状況や死亡推定時刻、女性の傷の状態などについて、捜査本部は「捜査に支障がある」として明らかにしていない。凶器も見つかっていない。 同署の久保和隆次長は「容疑者の早期摘発へ、捜査を粛々と続ける」としている。捜査本部は引き続き情報提供を求めている。 南日本新聞 | 鹿児島,[],[]
【速報】霧島の養鶏場で鳥インフルエンザ確認、10万羽の殺処分始まる（南日本新聞）,https://news.yahoo.co.jp/articles/7c248a898cafe36388454652f5bb0332030cfe46,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000004-minami-000-3-view.jpg?exp=10800,2024-12-20T11:15:33+09:00,2024-12-20T11:51:36+09:00,南日本新聞,minami,南日本新聞,185,発生農場に向かうため防護服を着てバスに乗り込む鹿児島県職員ら＝２０日午前９時４５分ごろ、霧島市福山 高病原性鳥インフルエンザが疑われる霧島市福山の養鶏場について、鹿児島県は２０日、遺伝子検査で陽性を確認し、同日午前１０時から、肉用鶏約１０万羽の殺処分を始めた。養鶏場での陽性確認は今季、県内２例目。 【写真】鳥インフルエンザの発生場所を地図で確認 南日本新聞 | 鹿児島,[],[]
早くみんなに会いたいゾウ…芸達者の動物たち、準備万端　木下大サーカスあす開幕（南日本新聞）,https://news.yahoo.co.jp/articles/edaa2501c625b999ea4885bb6008dd0bff548fd2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000003-minami-000-1-view.jpg?exp=10800,2024-12-20T11:05:22+09:00,2024-12-20T11:05:22+09:00,南日本新聞,minami,南日本新聞,458,場内を移動する木下大サーカスのゾウ＝１９日、鹿児島市のドルフィンポート跡地 木下大サーカス鹿児島公演（南日本新聞社主催）は２１日、鹿児島市本港新町のドルフィンポート跡地特設会場で開幕する。ショーに出演するゾウやポニーなどの動物は、本番に向けて準備万端。観客に会うのを心待ちにしている。 【写真】本番に備えゆっくりと過ごすポニー＝１９日、鹿児島市のドルフィンポート跡地 アジアゾウの「カンムーン」「カンマイ」の２頭は、体高約２．３メートルの雌。小さな台に乗ったり、観客に帽子をかぶせたりする芸を器用にこなすという。調教師のジョーさん（４９）は「拍手をもらうと耳をパタパタと動かして喜ぶ。頑張る姿を見に来て」と来場を呼びかける。 ７頭のポニーは隊列を組み、台に前足を乗せたり、寝転んだりする。舞台裏では牧草を食べてのんびり。調教師マイケル・ハウズさん（５４）は「７頭の性格はバラバラだが、本番では息の合った動きを見せてくれる。間近で楽しんでほしい」と話した。ショーにはこのほかライオンも出演する。 南日本新聞 | 鹿児島,[],[]
「一部出荷者との関係悪化」議員が指摘…道の駅管理者の指定議案を否決　長島町最終本会議　町は再公募へ（南日本新聞）,https://news.yahoo.co.jp/articles/884b65b8982d375fe53e670b53315ebd3bd1c356,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000002-minami-000-1-view.jpg?exp=10800,2024-12-20T07:03:21+09:00,2024-12-20T07:03:21+09:00,南日本新聞,minami,南日本新聞,386,〈資料写真〉２０１０年２月、開店を待ちわびる買い物客ら＝長島町山門野のだんだん市場 鹿児島県・長島町議会は１８日開かれた最終本会議で、町内２カ所の道の駅にある物産販売施設の指定管理者指定議案を否決した。町は再度公募する方針。 【写真】〈関連〉長島町の位置を地図で確認する 対象の物産販売施設は、道の駅ながしま併設のポテトハウス望陽、道の駅黒之瀬戸だんだん市場併設の長島物産館など。町は２０２５年４月以降も引き続き現在と同じ業者を指定管理者とする議案を９日に提出していた。１８日の本会議で、同社と一部出荷者との関係悪化などを指摘する声が上がり、反対多数で否決となった。 町水産景観課によると、公募に３社の応募があり、町選定委員会が実績や安定経営を評価し、同社を選んだ。同課は「利用者や出荷者に迷惑をかけないよう、再度選定委員会で話し合う」としている。 南日本新聞 | 鹿児島,[],[]
脱線車両の移動すべて完了　川内駅、事故から8日　鹿児島線（川内－隈之城）の再開時期はいまだ不明〈動画あり〉（南日本新聞）,https://news.yahoo.co.jp/articles/cdd41863eb0169c9f2d8cac3368984cf35216fe6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241220-00000001-minami-000-1-view.jpg?exp=10800,2024-12-20T06:27:21+09:00,2024-12-20T06:27:21+09:00,南日本新聞,minami,南日本新聞,506,貨車を押して移動させる作業員ら＝１９日午後３時４０分ごろ、薩摩川内市の川内駅付近 鹿児島県薩摩川内市平佐町の川内駅構内で１２日未明に発生した貨物列車の脱線事故で、ＪＲ九州とＪＲ貨物は１９日、現場に残る機関車と貨車の計２両をレールに載せ、移動した。発生から８日目で全車両が現場から移された。運休が続く鹿児島線川内－隈之城間の再開のめどはたっていない。 【写真】〈関連〉保守車両に押され脱線現場から移動する機関車＝１９日午後７時４０分ごろ、薩摩川内市の川内駅付近 ＪＲ九州によると、同日は貨車をレールに戻した後、作業員が手で押すなどして移動。機関車もレールに載せ、保守用車と連結して駅のホームへ動かした。 ２０日は線路など設備の復旧を進める。作業には時間を要する見通しで、運転再開の時期は未定。 貨物列車は１２両編成。１２日午前０時１１分熊本操車場発、同３時４５分鹿児島駅着の予定だったが、３時ごろに先頭の機関車１両と続く貨車２両が脱線した。けが人はいなかった。運輸安全委員会が原因を調査している。 同社は当面の間、運休区間の代替バスや、九州新幹線の川内－鹿児島中央間の振り替え輸送を続ける。 南日本新聞 | 鹿児島,[],[]
