headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
1週間前に続き…米オスプレイ、また奄美空港に緊急着陸　飛行中に警告灯、午後9時現在なお駐機続ける（南日本新聞）,https://news.yahoo.co.jp/articles/97194dcdd9cf9c9a4a6f594dd76de256cc05dfe1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000015-minami-000-1-view.jpg?exp=10800,2024-11-21T22:45:22+09:00,2024-11-21T22:45:22+09:00,南日本新聞,minami,南日本新聞,524,奄美空港に緊急着陸した米軍輸送機ＣＭＶ２２オスプレイ＝２１日午後７時２０分すぎ、奄美市笠利の同空港（上島啓さん提供） ２１日午後４時１分、鹿児島県奄美市笠利の奄美空港に米軍輸送機ＣＭＶ２２オスプレイ１機が緊急着陸した。九州防衛局は、飛行中に警告灯が点灯したため予防着陸したとしている。午後９時現在も駐機を続けている。けが人や民間機への影響は確認されていない。 【写真】〈関連〉１１月１４日、緊急着陸したオスプレイの前で米軍に状況を聞く陸自隊員ら＝１４日、午後２時すぎ、奄美市の奄美空港 県港湾空港課によると、午後３時５５分に那覇空港事務所から奄美空港管理事務所へ連絡があった。事前に空港使用届は出されていなかった。奄美空港の運用時間は午前８時～午後７時半。運用時間外の離着陸には許可が必要となる。 奄美空港には１４日にも、米軍普天間飛行場（沖縄県宜野湾市）所属のオスプレイＭＶ２２が緊急着陸した。警告灯が点灯したため、同空港で整備し約５時間後に離陸した。整備支援のため同型機２機も着陸した。 県は米軍機の予防着陸を受け、原因究明の徹底と再発防止に万全を期すこと、速やかな情報提供を行うことを米軍に申し入れるよう国に要請した。 南日本新聞 | 鹿児島,[],[]
税法上の認識が足りなかった…姶良市、委託料315万円を過払い　指摘受けるまで7年余り気付かず（南日本新聞）,https://news.yahoo.co.jp/articles/7ad4cf79dcc984ba801b639d63cabd573b469d86,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000014-minami-000-2-view.jpg?exp=10800,2024-11-21T22:05:21+09:00,2024-11-21T22:56:32+09:00,南日本新聞,minami,南日本新聞,403,姶良市役所本庁舎 鹿児島県姶良市は２１日、介護予防事業の委託料の消費税分約３１５万円を事業所へ過払いしていたと明らかにした。税法上の認識不足が原因。返還義務が消滅していない２０２０年度以降の約１４８万円の返還を１１事業所に求める。国・県が負担した分の返還手続きも進める。 【写真】〈関連〉姶良市の位置を地図で確認する 市福祉部によると、消費税法の規定で、介護予防・日常生活支援総合事業の委託料が非課税だったにもかかわらず、市は消費税が自動計算される請求書のひな型を作成。事業開始の１７年度から、今年５月に事業所側の指摘を受けて誤りに気付くまで使っていた。 １１事業所に個別に謝罪し、税務署への修正申告を求める。他事業で同様の事案がないか調査中。前薗智雄部長は「行政への信頼を損ねる事態となり申し訳ない。組織として認識不足で、チェック体制が不十分だった。再発防止に努める」としている。 南日本新聞 | 鹿児島,[],[]
採卵鶏7万羽（58％）を殺処分、埋却にも着手　高病原性鳥インフル陽性、12万羽飼養の養鶏所　出水（南日本新聞）,https://news.yahoo.co.jp/articles/33509e6f5e8b64ba47dba5907e89e20ff95f10cb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000013-minami-000-2-view.jpg?exp=10800,2024-11-21T21:25:21+09:00,2024-11-22T11:00:31+09:00,南日本新聞,minami,南日本新聞,478,殺処分した鶏を埋却処理する県職員ら＝２１日、出水市高尾野（鹿児島県提供） 鹿児島県は２１日、採卵鶏約１２万羽を飼う出水市高尾野の養鶏場で発生した県内今季初の高病原性鳥インフルエンザで、同日午後３時までに約７万羽（５８％）を殺処分したと発表した。県職員ら計約１４０人が交代で作業に当たっており、殺処分した鶏の埋却も同日早朝から始めた。 【写真】〈関連〉出水市の位置を地図で確認する ２０日に高病原性の陽性を確認し、同日午前７時から殺処分を開始。県の防疫対策マニュアルでは、３～６万羽規模で２４時間以内の殺処分、７２時間以内の埋却完了を目安としている。 今回は埋却地が養鶏場から約４キロ離れており、殺処分した鶏や卵はトラックで運ぶ。県によると、これまでに運搬中を含めトラブルは発生していない。 全ての防疫措置完了の１０日後、発生農場から半径３キロ内にある移動制限区域１６農場でウイルスの有無を検査。陰性であれば、半径３～１０キロ内の７３農場で、鶏や卵の搬出制限が解除される。２１日午後３時現在、他の県内農場からの異常は報告されていない。 南日本新聞 | 鹿児島,[],[]
病死か…車庫から市道へ出ようとした車と衝突、運転の男性が死亡　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/e232bf207cd48d119f306f8772f9880c154e5236,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000012-minami-000-1-view.jpg?exp=10800,2024-11-21T20:55:34+09:00,2024-11-21T20:55:34+09:00,南日本新聞,minami,南日本新聞,284,（写真：南日本新聞社） ２１日午前６時２５分ごろ、鹿児島市西伊敷２丁目の市道で、同市西伊敷３丁目、団体職員の男性（５３）の普通乗用車が、車庫から市道へ出ようとした普通乗用車＝同市の６０代男性運転＝に衝突した。団体職員男性は意識不明の状態で病院に搬送され、間もなく死亡した。病死とみられる。鹿児島西署は死因を明らかにしていない。 【写真】病死か…車庫から市道へ出ようとした車と衝突、運転の男性が死亡 鹿児島市 同署などによると、死亡した男性に目立った外傷はなく、男性にもけがはない。男性が「事故だ」と１１０番した。死亡と事故との関係を調べている。 南日本新聞 | 鹿児島,[],[]
冬空に笑顔満開　海べりの石垣の里、清楚にたくましく…サツマノギク見頃　22日は「小雪」、南さつま市笠沙で見つけた季節の花（南日本新聞）,https://news.yahoo.co.jp/articles/c28ee55492d7e33e2c624b95f68d92811a96f855,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000011-minami-000-2-view.jpg?exp=10800,2024-11-21T20:33:21+09:00,2024-11-22T11:03:54+09:00,南日本新聞,minami,南日本新聞,471,冬空の下鮮やかに咲き誇るサツマノギク＝２１日午前、南さつま市笠沙 ２２日は二十四節気の「小雪」で、雨が雪に変わり始める頃とされる。「石垣の里」として知られる鹿児島県南さつま市笠沙の大当集落では２１日、サツマノギクがひんやりとした海風に揺れていた。白いかれんな花は、場所によって１２月中旬ごろまで楽しめそうだ。 【写真】〈別カット〉集落の石垣を彩るサツマノギク＝２１日午前、南さつま市笠沙 サツマノギクはキク科の多年草。薩摩半島西岸や甑島などの海岸沿いに自生するが年々減少し、住民グループ「サツマノギクを植える会」が海辺や道路沿いに５年前から植栽する。今年は１１月初旬に咲き始めた。 同会の橋口一郎代表（７２）は「石垣に広がる様を見ていると心が和む。清楚（せいそ）でたくましい花を守り残していきたい」と話した。 鹿児島地方気象台によると、２１日の鹿児島市の最低気温は１３．１度。２２日の予想も１３度で、平年より２度高い。最高気温も平年より高い状態が続いている。週末の２３、２４日の予想最低気温は１０度で平年並みに下がる。 南日本新聞 | 鹿児島,[],[]
アロママッサージ施術中の女性客にわいせつ行為、警察に届けられ発覚…容疑で65歳男を再逮捕　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/1a0b1c8c49c2f48427e1cb530e1128a5acf9c2de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000010-minami-000-1-view.jpg?exp=10800,2024-11-21T20:26:21+09:00,2024-11-21T20:26:21+09:00,南日本新聞,minami,南日本新聞,273,（写真：南日本新聞社） 鹿児島県警は２１日、不同意わいせつの疑いで、鹿児島市光山２丁目、無職の男（６５）を再逮捕した。 「手品の練習台に…」とウソ、女性の手首を結束バンドで拘束し乱暴 被告の男、起訴内容認める「欲望がまさった」 鹿児島地裁初公判 再逮捕容疑は１０月中旬、当時経営していた県内のアロママッサージ店で、客として訪れた県内の２０代女性の体を、施術中に触るわいせつな行為をした疑い。 県警によると、女性が１１月上旬に届け出た。容疑を否認している。容疑者は１０月３１日、別の不同意わいせつ容疑で同署に逮捕されていた。 南日本新聞 | 鹿児島,[],[]
【速報】米軍オスプレイ、また奄美空港に着陸　事前の使用届なし、14日にも緊急着陸（南日本新聞）,https://news.yahoo.co.jp/articles/b764b899e8de1613e01308868a46a0e151ba1f58,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000009-minami-000-1-view.jpg?exp=10800,2024-11-21T18:15:10+09:00,2024-11-21T18:15:10+09:00,南日本新聞,minami,南日本新聞,261,〈資料写真〉１１月１４日、緊急着陸したオスプレイの前で米軍に状況を聞く陸自隊員ら＝１４日、午後２時すぎ、奄美市の奄美空港 ２１日午後４時１分、米軍の輸送機オスプレイ１機が奄美空港（鹿児島県奄美市笠利）に着陸した。午後５時半現在も駐機を続けている。けが人や民間機への影響は出ていない。 【写真】〈関連〉奄美空港の位置を地図で確認する 県港湾空港課によると、事前の使用届は出ていない。着陸６分前に那覇空港事務所から奄美空港管理事務所に連絡があった。奄美空港には１４日にも米軍のオスプレイが緊急着陸した。 南日本新聞 | 鹿児島,[],[]
風車9→8基、土捨て場9→3カ所に…八重山風力が国と県の勧告受け計画を修正　希少種クマタカへの影響「小さい」（南日本新聞）,https://news.yahoo.co.jp/articles/c7581ac72aa918eb1c4406a1e46c986e1e3c7b89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000008-minami-000-2-view.jpg?exp=10800,2024-11-21T17:00:21+09:00,2024-11-21T19:13:25+09:00,南日本新聞,minami,南日本新聞,731,（写真：南日本新聞社） 鹿児島市と薩摩川内市にまたがる八重山周辺で風力発電施設を計画する事業者が２０日までに、県知事意見や経済産業省の勧告を受けて進めていた事業計画の見直し案をまとめた。風車を９基から８基に、土捨て場を９カ所から３カ所に削減するなどの内容。来春にも環境影響評価（環境アセスメント）の最終段階である評価書を経産省に届け出、早ければ２６年の着工を目指す。 【関連】近くに住宅、希少種の巣も…八重山風力発電が環境に配慮し計画見直し 着工遅れ来年3月以降に 風車9基から7～8基に削減 事業者は、ヴィーナ・エナジー（本社シンガポール）の子会社「かごしま郡山風力合同会社」。２０２１年１２月に公告した準備書では約４３９ヘクタールの敷地に９基の設置を想定していた。 準備書への知事意見は、風車から１キロ内にある民家や希少種クマタカへの影響、土石流の発生を懸念。経産省も、地元自治体との協議などを踏まえた計画の見直しを勧告していた。 同社によると計画見直しにより、敷地は約１７０ヘクタールに縮小し、風車から１キロ内の民家は５８軒から５１軒に減少。残土は約４分の１の１５万立方メートルとなる。クマタカについては、「追加調査で影響は小さいと判断した」としている。 同社は今月中旬、見直し案の住民説明会を開いた。案に納得しない住民もおり、風車が自宅から１キロ内にできる予定の園田眞須美さん（６１）＝鹿児島市郡山岳町＝は「騒音や景観、土砂災害への不安は解消されておらず、知事意見などが十分反映されていない」と話した。 事業計画を盛り込む評価書について、制度上、地元自治体は意見を述べる権限はない。評価書の内容については最終的に経産省が判断する。 南日本新聞 | 鹿児島,[],[]
大隅半島に初出店、イオンかのやSCがオープン　無印良品など20の専門店　開店前から1500人が列　鹿屋市（南日本新聞）,https://news.yahoo.co.jp/articles/e35e1b3f2a0b827b1af3573fed5e5ffc97fc63a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000007-minami-000-2-view.jpg?exp=10800,2024-11-21T13:25:22+09:00,2024-11-21T18:38:39+09:00,南日本新聞,minami,南日本新聞,579,プラッセだいわ鹿屋店跡地に開店したイオンかのやショッピングセンター＝２１日、鹿屋市白崎町 鹿屋市白崎町のプラッセだいわ鹿屋店跡地に２１日、大隅半島初出店となる「イオンかのやショッピングセンター（ＳＣ）」が開店した。県内６店舗目。大隅半島産の食材をはじめ、飲食や物販テナントが出店する。２６日までオープニングセールを開く。 【写真】開店を待ちわびた買い物客でにぎわうイオンかのやショッピングセンター＝２１日、鹿屋市白崎町 午前９時の開店前から約１５００人の列ができた。オープニングセレモニーでは、イオン九州（福岡）の中川伊正社長（５８）が「鹿屋市と連携して活性化やサービス向上に取り組む。地域のお客さまに満足していただけるようがんばりたい」とあいさつした。 オープンと同時に客が続々と入店、食品売り場や雑貨店などで商品を吟味し買い物を楽しんだ。同市寿６丁目の神田幸雄さん（７５）は「息子が地元で生産するピーマンが売られていてうれしくて購入した。近くに住んでいるので便利になってありがたい」と話した。 同ＳＣは商業エリア１～３階と屋上駐車場がある鉄筋コンクリート４階建てで、延べ床面積２万５２８９平方メートル。食材や衣服、雑貨を扱う直営店のほか、大隅地区初出店となる生活雑貨ブランドの無印良品やダンケンコーヒーといった２０の専門店が入る。 南日本新聞 | 鹿児島,[],[]
山形屋の北海道物産展を楽しみにしているのは県民だけじゃなかった…ゴルフ、観光、そして飲み会　出店者も鹿児島満喫中（南日本新聞）,https://news.yahoo.co.jp/articles/aa4f865518cf36595624bd1d57b884086a8954aa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000006-minami-000-1-view.jpg?exp=10800,2024-11-21T11:38:21+09:00,2024-11-21T11:38:21+09:00,南日本新聞,minami,南日本新聞,993,根強い人気を誇る海鮮弁当 ６０回目を迎えた山形屋（鹿児島市）の「北海道の物産と観光展」では、例年約１３０人の出店関係者が鹿児島を訪れる。期間中、出店者はどのように過ごしているのか。探ってみると、鹿児島を楽しみながら鹿児島のファンとなり、数字では計れない経済効果に貢献する存在だった。 【写真】鹿児島を満喫する出店者ら＝２０日夜、鹿児島市の居酒屋０１７よか晩 山形屋から徒歩３分に立地するホテル＆レジデンス南洲館では、客室約７割の４５室を物産展関係者が占める。橋本龍次郎取締役（６０）は「毎年常連の皆さんで確実に予約が埋まるのはありがたい。ビジネス客や観光客が戻りきらない新型コロナウイルス禍では特に助けられた」と歓迎する。 北海道との気候差を考慮し、館内のエアコンの設定温度は２～３度低くする。白くまアイスや朝食の黒豚しゃぶしゃぶといった鹿児島らしいおもてなしも好評で、生ふりかけ販売の「木の屋」の吉野康司さん（６１）は「どこよりも疲れが取れて癒やされる。私の定宿」と信頼を寄せる。 吉野さんは出店歴２８年目。物産展開催１週間前には鹿児島入りし「北海道から友達を呼んでゴルフをするのが定番です」。今年も県内各地のゴルフ場を巡る予定で、店舗入れ替えで休みとなった１９日は出店者同士でコンペを楽しんだ。 約２０年通う食肉加工販売「春雪さぶーる」の渡辺哲治さん（５４）は国分山形屋や川内山形屋にも出店するため、１年の約３分の１を鹿児島で過ごす。常連客も多く「お帰り」の言葉が期間中の疲れを忘れさせる。 休日の楽しみはレンタカーでのドライブで、湧水町の丸池湧水や曽於市の溝ノ口洞穴といったスポットを回る。鹿児島が大のお気に入りといい「優しい県民性と豊かな自然が大好き。『北海道だけでなく、鹿児島も観光して』とあちこちでＰＲする」と明かす。 鹿児島市の「居酒屋０１７よか晩」では、店主の森玲奈さん（４０）が昔、山形屋従業員として同展を担当していた縁で多くの出店者が集う。会期中は北海道展で仕入れた食材も並び、出店者が居合わせるとたまに実演もある。「お店も物産展も宣伝になる。相乗効果です」と笑った。 九州経済研究所（ＫＥＲ、同市）の福留一郎経済調査部長（５８）は「食材に精通する舌の肥えた人々が見た鹿児島の魅力を広域的に発信する効果は、消費額以上に大きいだろう」と話した。 南日本新聞 | 鹿児島,[],[]
豊作に感謝、来季もよろしく…田の神担いで田んぼ見回り　さつま町（南日本新聞）,https://news.yahoo.co.jp/articles/70381427933e4e508f30348ac553ddfe219a1aa4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000005-minami-000-1-view.jpg?exp=10800,2024-11-21T11:04:21+09:00,2024-11-21T11:04:21+09:00,南日本新聞,minami,南日本新聞,420,下狩宿の住民に担がれ、稲刈り後の田んぼを見回る田の神＝１９日午後、さつま町求名 米どころで知られる鹿児島県さつま町求名の下狩宿集落で１９日、田の神講があった。住民代表が各所で重さ約７０キロの田の神像を棒につるして担いで歩き、収穫後の田んぼを見せて実りに感謝。来季の豊作を祈った。 【写真】集落を巡るため、トラックの荷台に収まる田の神＝１９日午後、さつま町求名 田の神像は農民の姿でかさをかぶり、右手にしゃもじ、左手に棒を持つ。以前は各戸が持ち回りで預かったが、少子高齢化で負担が大きく、２００５年から公民館で保管。田んぼ巡りも軽トラックの荷台に載せて所々で担いでいる。 巡回後、住民らは公民館で新米の餅を詰めた藁苞（わらづと）を田の神像にかけて安置し、飲食を楽しんだ。下狩宿公民会の新屋敷敏雄会長（７１）は「今季は夏場の高温や収穫期の雨で例年より収量が少なかった。伝統行事を守りつつ、来季はいい年にしたい」と話した。 南日本新聞 | 鹿児島,[],[]
