headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
わずかに狂ったプラン…「これが駅伝の難しさ」　女子・神村学園は連覇と7年連続表彰台逃す　瀬戸口は誓った「最強のチームになって都大路に戻る」（南日本新聞）,https://news.yahoo.co.jp/articles/1dca652b45670fae71659b1b7f0fe68da2abf7af,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000012-minami-000-2-view.jpg?exp=10800,2024-12-22T20:35:21+09:00,2024-12-22T23:57:54+09:00,南日本新聞,minami,南日本新聞,1015,神村学園の１区野口（右）が小倉にたすきを渡す＝京都市 全国高校駅伝競走大会は２２日、京都市のたけびしスタジアム京都を発着するコースであった。女子（５区間２１．０９７５キロ）は長野東が１時間７分２７秒で２年ぶり２度目の頂点に立った。９年連続３１度目出場の神村学園は１時間８分４１秒で５位となり、連覇と７年連続の表彰台を逃した。入賞は９年連続１８回目。 【写真】〈関連〉第３中継所、神村のムトニ（右）が黒神にたすきをつなぐ＝京都市 連覇が懸かった神村は１区野口が２７位と出遅れた。２区小倉は区間８位、３区ムトニは区間３位で追い上げ、４区黒神が区間６位の好走で入賞圏内の５位まで順位を上げた。アンカー瀬戸口は区間３位の走りで前を追ったが、表彰台には届かなかった。 ◇焦点～３年２人が意地、順位押し上げ 神村は後半に追い上げを見せたが、連覇に届かなかった。５位でのゴールに、有川哲蔵監督は「プランが少し狂うとこういう展開になる。駅伝の難しさを改めて感じた」と振り返った。 前半は我慢して３区ムトニで先頭に立ち、後半勝負－が連覇への青写真だった。しかし、序盤の出遅れが響いて優勝争いに絡めなかった。 最長６キロでエース区間の１区を走った２年野口は、後半の上りに苦しみ２７位。後方から追い上げる難しい展開で意地を見せたのが３年の２人だった。 ２区の小倉主将は「野口が必死で走る表情が走りながらずっと頭にあった」と奮起。区間８位の力走で流れを引き戻し、３区ムトニの好走につなげた。 ９位でたすきを受けた４区黒神は県大会でメンバー落ちの悔しさを味わった。「都大路はやっぱり走って締めくくりたかった」。優勝した昨年３区で順位を上げたのに続き、今年も入賞圏内に押し上げた。 外国人留学生の区間制限などルール変更があり、連覇の重圧と戦い続けた１年間。２年生アンカーの瀬戸口は「来年はもう一度優勝する。最強のチームになって都大路に戻る」と決意を口にした。 ◇生徒ら学校で応援「粘り強さに感動」 いちき串木野市の神村学園では、生徒ら約１５０人がスクリーンに映し出したテレビ中継越しにレースを見守った。紅白のメガホンなどを手に応援し、アンカー瀬戸口が競り合いに勝って５位でゴールすると一番の盛り上がりを見せた。 チアリーディング部の高等部２年橋之口結心さんは「最後の粘り強い走りに感動した。『お疲れさま』と声を掛けたい」とねぎらった。 南日本新聞 | 鹿児島,[],[]
JR貨物脱線、レールや枕木を取り外し復旧作業　道床交換機を投入、砕石吸い上げ　川内－隈之城間は運休続く（南日本新聞）,https://news.yahoo.co.jp/articles/98a6830207964196dcdcda7ffd2e4cb3610178ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000011-minami-000-2-view.jpg?exp=10800,2024-12-22T20:27:21+09:00,2024-12-22T23:56:58+09:00,南日本新聞,minami,南日本新聞,370,道床交換機で砕石を吸い上げる脱線現場＝２２日、薩摩川内市の川内駅付近 鹿児島県薩摩川内市の川内駅構内で１２日未明に発生した貨物列車の脱線事故で、現場では２２日、レールや枕木を取り外しての復旧作業が進められた。ＪＲ九州の道床交換機という大型機械を投入し、砕石を吸い上げた。鹿児島線の川内－隈之城間は運休が続いている。 【写真】〈別アングル〉道床交換機で砕石を吸い上げる脱線現場。後方右に九州新幹線、左に脱線した機関車が確認できる＝２２日、薩摩川内市の川内駅付近 貨物列車は１２両編成。１２日午前３時ごろ、先頭の機関車１両と貨車２両が脱線した。脱線車両は１９日までにすべて移動させ、２０日から線路など設備の復旧に着手している。 同社は当面の間、運休区間の代替バスや、九州新幹線の川内－鹿児島中央間の振り替え輸送を続ける。 南日本新聞 | 鹿児島,[],[]
【速報】B2鹿児島レブナイズ6連勝ならず　敵地で熊本に76－81　次戦はホームで福島戦（南日本新聞）,https://news.yahoo.co.jp/articles/87f7014931bd08d9d9c616123519ae74bea7ad7f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000010-minami-000-1-view.jpg?exp=10800,2024-12-22T19:25:27+09:00,2024-12-22T19:25:27+09:00,南日本新聞,minami,南日本新聞,185,（写真：南日本新聞社） バスケットボールＢリーグ２部（Ｂ２）西地区２位の鹿児島レブナイズは２２日、敵地で同６位の熊本に７６－８１で敗れた。６連勝はならず、通算成績は１７勝９敗。 221センチのハームス選手はバスの屋根に手が届く…B2鹿児島レブナイズのラッピングバスが登場 レブナイズの次戦は２７、２８日、鹿児島市の県体育館で東地区７位福島と戦う。 南日本新聞 | 鹿児島,[],[]
無人の枇榔島でなぜか繁殖した侵入植物「トウチク」…伐採続け30年、ついに1本も見当たらず　生態系守る取り組み結実（南日本新聞）,https://news.yahoo.co.jp/articles/5d042c2d40daadd3acbd8b6de3a1966e7a26a1c9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000009-minami-000-1-view.jpg?exp=10800,2024-12-22T17:39:22+09:00,2024-12-22T17:39:22+09:00,南日本新聞,minami,南日本新聞,959,１１月１８日に枇榔島で行われた調査。トウチクは確認されなかった（志布志市教育委員会提供） 鹿児島県志布志市の国指定特別天然記念物「枇榔島亜熱帯性植物群落」で、生態系を崩す恐れがあった侵入植物「トウチク」の排除に成功した可能性が高まった。１１月の現地調査で見つからず、適期の伐採による対策が成功したとみられる。寺田仁志文化庁非常勤調査員（７１）＝鹿児島市＝は「排除できたのではないかと推察される。今後も継続的なモニタリングが必要だ」と話している。 【写真】１９９７年に枇榔島で行われた調査時の写真。竹が高く成長し林立している（志布志市教育委員会提供） １９９４年に本紙が「枇榔島にナゾの竹茂る 南方産？ 生態系を一部侵食」と報道し、島での繁茂が問題視されてきた。その後、自治体や管理者の大隅森林管理署、専門家による会議で対応を協議。定点調査と伐採を行うようになった。 寺田さんによると、トウチクは通常直径２～３センチだが、当時の枇榔島では８センチほどになり、高さ約１２メートルに成長した数千本が林立し、ビロウ林にも迫っていた。駆除を始めたが減らないため、２００６年度に全て伐採する方針を決定。初夏と秋の年２回、伐採と抜き取りを重ねた結果、２１年度以降は確認されなくなった。 今年は１１月１８日に現地調査と植生管理会議を開催。排除に成功したとみられるため、調査を３年に１回にすると決めた。市教育委員会生涯学習課は「今後も専門家のアドバイスと大隅森林管理署の協力の下、経過観察を続けていきたい」としている。 寺田さんは国天然記念物の指定・保護の調査を担当し、枇榔島のトウチク対応にも０６年から携わる。「モウソウチクや外来種に悩まされる地域も多い。時間をかけて根気強く対策すれば効果が出ることや、文化財を守るため、自治体や所有者らが長く努力していることを知ってもらえれば」と説明している。 ■枇榔島 志布志市の沖合約４キロに位置する、周囲約４キロ、面積１７．８ヘクタール、標高８３メートルの無人島。日南海岸国定公園に含まれ、ビロウを中心とする亜熱帯植物群の宝庫で、１９５６（昭和３１）年に「枇榔島亜熱帯植物群落」として国特別天然記念物に指定された。中腹に枇榔神社がある。かつては海水浴客らでにぎわった。 南日本新聞 | 鹿児島,[],[]
大好評だった「切り絵御朱印」、巳年は100枚増やし400枚に　伊佐・郡山八幡神社で元日から販売（南日本新聞）,https://news.yahoo.co.jp/articles/85a1a685b9ada389f005c2071c5e35ed2cc781a9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000008-minami-000-1-view.jpg?exp=10800,2024-12-22T17:07:22+09:00,2024-12-22T17:07:22+09:00,南日本新聞,minami,南日本新聞,391,（別カット）えとの蛇などが描かれた新春特製の切り絵御朱印＝伊佐市の郡山八幡神社 鹿児島県伊佐市大口大田の郡山八幡神社は元日から、えとの蛇などが描かれた新春特製の切り絵御朱印を販売する。１００枚限定だった今年は３時間でなくなったため、４００枚に増やした。 【写真】えとの蛇などが描かれた新春特製の切り絵御朱印＝伊佐市の郡山八幡神社 切り絵は第５弾。薄灰色の紙に、国の重要文化財に指定されている神社本殿や松竹梅などをあしらった。紅白をイメージし台紙は赤にした。本殿はこれまで斜めから見た外観だったが、今回は正面から描いた。 氏子総代会の山下和弘会長（６８）によると、元日は例年３０００人以上が訪れ、午前１０時から混み出すという。「早朝参拝で一年の安息を祈り、良い年を送ってほしい」と話す。 切り絵御朱印は初穂料千円。元日午前０時から販売し、なくなり次第終了する。 南日本新聞 | 鹿児島,[],[]
【全国高校男子駅伝】初出場の鹿児島工は40位（南日本新聞）,https://news.yahoo.co.jp/articles/a1bfec9f782fa2c1aa9b51b6712d8bd2fb5e4e85,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000007-minami-000-1-view.jpg?exp=10800,2024-12-22T14:55:26+09:00,2024-12-22T14:55:26+09:00,南日本新聞,minami,南日本新聞,103,初出場の男子・鹿児島工 第７５回全国高校男子駅伝競走大会は２２日、京都市のたけびしスタジアム京都を発着する７区間４２．１９５キロであり、鹿児島県代表で初出場の鹿児島工は４０位だった。 南日本新聞 | 鹿児島,[],[]
【全国高校女子駅伝】神村学園が5位　初出場の鹿児島は21位（南日本新聞）,https://news.yahoo.co.jp/articles/b69c0449e107cd8782d45add246b1e0f1c9e1c38,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000006-minami-000-2-view.jpg?exp=10800,2024-12-22T11:45:22+09:00,2024-12-22T12:49:00+09:00,南日本新聞,minami,南日本新聞,200,スタートする神村学園・野口（４６）ら１区の選手＝２２日、たけびしスタジアム京都 第３６回全国高校女子駅伝競走大会は２２日、京都市のたけびしスタジアム京都を発着する５区間２１．０９７５キロであり、鹿児島県代表の神村学園は５位だった。初出場の鹿児島は２１位。 【写真】神村学園の１区野口（右）が小倉にたすきを渡す＝京都市 神村学園は９年連続３１度目の出場。入賞は９年連続１８回目。 南日本新聞 | 鹿児島,[],[]
衆院鹿児島3区支部長は前回落選の小里氏に　自民県連が了承　自民入り希望の三反園氏がいる2区は議題に上がらず（南日本新聞）,https://news.yahoo.co.jp/articles/3cc2f5baab1a7a47985b32e0fb5bdeef867ade0a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000005-minami-000-2-view.jpg?exp=10800,2024-12-22T11:13:22+09:00,2024-12-22T11:26:26+09:00,南日本新聞,minami,南日本新聞,501,小里泰弘氏 自民党は２１日、次期衆院選の公認候補となる鹿児島３区支部長に１０月の衆院選で落選した小里泰弘氏の選任を事実上決めた。鹿児島市であった県連の執行部役員・選対常任委員合同会議で党本部案を了承した。近く正式決定する。２区は党本部からの提示がなく、議題に上らなかった。 【写真】落選確実の報を受け、支援者らに頭を下げる小里泰弘さん＝１０月２７日、薩摩川内市平佐１丁目 会議は冒頭以外非公開。終了後に会見した森山裕県連会長は、１０日に党本部から文書で小里氏の支部長選任の打診があったと説明。「選挙結果が大変厳しかったので、さらに頑張らなければならないという声があった」と述べた。 ２区は保岡宏武氏が落選し、支部長不在の状態。無所属で当選した三反園訓氏が自民入りを希望している。森山会長は「県連に判断をお願いする段階にない。ただ、衆院は常在戦場。できるだけ早く決める」と述べた。県連の議論を踏まえて党本部が決定する手法も一つの選択肢との認識を示した。 三反園氏の処遇については「（三反園氏が所属する）自民党・無所属の会の取り扱いは大事な課題。横にらみしながら決めていく」とした。 南日本新聞 | 鹿児島,[],[]
刃物で脅されたコンビニ店員、現金渡した直後に犯人を取り押さえる　鹿児島市でコンビニ強盗　容疑の59歳男を現行犯逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/5670e2de3fb6c849e3e9fda6b908cd4a06b81043,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000004-minami-000-3-view.jpg?exp=10800,2024-12-22T09:15:24+09:00,2024-12-22T10:04:28+09:00,南日本新聞,minami,南日本新聞,371,強盗現場のコンビニを調べる警察官＝２２日午前７時２０分ごろ、鹿児島市上之園町 ２２日午前３時２５分ごろ、鹿児島市上之園町のファミリーマート上之園町店に男が押し入り、男性店員をナイフのような刃物で脅し、現金約２０万円を奪った。男は男性店員からすぐにその場で取り押さえられた。鹿児島中央署は強盗容疑で同市加治屋町、無職男（５９）を現行犯逮捕した。 【写真】（別カット）強盗現場のコンビニを調べる警察官＝２２日午前７時２０分ごろ、鹿児島市上之園町 同署によると、男は店舗入り口から侵入。店員が男に現金を渡した直後に男から刃物を奪い、そのまま取り押さえた。男は所持金はなく、「強盗に入ったことは間違いない」と供述している。店員にけがはなかった。 現場はＪＲ鹿児島中央駅から約５００メートル離れた、ナポリ通りや高麗本通りの近く。 南日本新聞 | 鹿児島,[],[]
待ちわびたよ～初滑り!　高原の爽やかな風に吹かれて老いも若きもスーイスイ　日本最南端の屋外アイススケート場が営業スタート　えびの高原（南日本新聞）,https://news.yahoo.co.jp/articles/79a141c6f93889edb6ab919f3d8094990e054815,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000003-minami-000-1-view.jpg?exp=10800,2024-12-22T07:00:22+09:00,2024-12-22T07:00:22+09:00,南日本新聞,minami,南日本新聞,428,スケートを楽しむ子どもたち＝２１日、えびの市のえびの高原屋外アイススケート場 宮崎県えびの市末永の標高１２００メートルにある、日本最南端の「えびの高原屋外アイススケート場」が２１日、今季の営業を始めた。鹿児島、宮崎、熊本などからスケートファンが駆け付け、初滑りを楽しんだ。 【写真】それぞれのペースで初滑りを楽しむ来場者＝２１日、えびの市のえびの高原屋外アイススケート場 昨年より２週間遅れの開場。毎年、シーズンパスを購入して通うという鹿児島市武岡２丁目の無職男性（７８）は「昨晩は興奮して寝付けなかった。顔見知りの仲間と久しぶりに会えて楽しいし、高原の爽やかな風を浴びながらの滑りは格別」と話した。 来年２月末まで営業予定。天候によって開場できない場合もあり、事前問い合わせを推奨している。午前９時～午後５時（入場午後４時まで）。入場料は大人１０００円、中高生８００円、小学生６００円。えびの高原ホテル＝０９８４（３３）０１６１。 南日本新聞 | 鹿児島,[],[]
戦地へ向かった父の死を知り畑に崩れ落ちた母。食べ物は堅いトウモロコシくらい。衰弱した弟は終戦の日に命が尽きた。家族を失った母の涙を克明に思い出す【証言 語り継ぐ戦争】（南日本新聞）,https://news.yahoo.co.jp/articles/4740340da21a74b372449113c37eeb4b3b064655,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000002-minami-000-1-view.jpg?exp=10800,2024-12-22T06:30:22+09:00,2024-12-22T06:30:22+09:00,南日本新聞,minami,南日本新聞,1148,父清為さんの遺影や職員録を手にする黒木義廣さん＝曽於市大隅町岩川 ■黒木義廣さん（８３）曽於市大隅町岩川 警察官だった父清為が鹿屋警察署に赴任していた１９４１（昭和１６）年１月、四男として生まれた。官舎で生活した思い出はあるが、父の記憶は全くない。 父は沖縄への増援部隊として輸送船「富山丸」に乗り込んでいた太平洋戦争終盤の４４年６月、米潜水艦の魚雷攻撃で撃沈され、徳之島町亀徳沖に沈んだ。３４歳だった。 約３カ月後、死亡通告書が届き、畑作業をしていた母エミは倒れるように泣き崩れた。 戦死後、官舎を出なければならなくなり、父の実家がある曽於市大隅町岩川に移り住んだ。家の裏手には防空壕（ごう）があり、兄に服を引っ張られながら度々逃げ込んだ。食べるものがなく、２歳下の弟義昭にも堅いトウモロコシを食べさせるしかなかった。何もかも不足し、薬もない時代。弟は次第に衰弱し、８月１５日の終戦の日に息を引き取った。 幼かったこともあり戦争の記憶はほとんどない。しかし、家族を失った時の母の涙は克明に覚えている。母の泣いた顔を見たのはこの２度だけだった。 経済的に進学する余裕はなく、中学を出て１６歳で大工に弟子入りした。父が勤めたことのある旧百引駐在所（現鹿屋市輝北）周辺を仕事で訪れると、住民から「黒木さんの息子か」と歓迎された。父を覚えていてくれる人がいることがうれしかった。 父を近くに感じようと２２歳の頃、富山丸の慰霊祭に初めて参加した。絶対に泣かないと決めていたが、沈没海域に菊を手向けると涙をこらえきれなくなった。以来３０回以上、父の眠る海を訪れている。 今年は沈没から８０年の節目。撃沈された６月２９日に鹿児島市の護国神社であった慰霊式に出席すると、思わぬ出会いがあった。 太平洋戦争で死没した元県警職員の遺族に当時の職員録の写しを配布している県警ＯＢの川原裕さん（７４）＝鹿児島市上福元町＝の知人と知り合い、職員録の写しを送ってもらうことになったのだ。 職員録は川原さんの父で同じく県警ＯＢの高秋さんの遺品。８４年前の４０年に発行された。１１月中旬、届いた職員録を見ると、父の欄には「司法係（看守）」と役職が記されていた。どんな仕事をしていたのか初めて知った。形見として仏前に供えた。 記憶や思い出がなくても、今の自分があるのは両親のおかげと、この８０年間亡き父に思いを寄せてきた。一方で「おやじさえ生きていればこんな苦労はせずにすんだ」と思ったことは何度もある。 各地の紛争で報じられる子どもたちの姿は自分や死んだ弟と重なる。９６歳で亡くなった母が踏ん張ってくれなければ生き延びられなかった。戦争なんて絶対にしてはいけない。 （２０２４年１２月２１日付紙面掲載） 南日本新聞 | 鹿児島,[],[]
