headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
南国交通の路線バスが乗用車と衝突　乗客１人が軽傷　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/20584a67262a4bf0a24ef96e6f3491272971914a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-11T21:08:00+09:00,2024-03-11T21:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,254,\n鹿児島市で１１日夕方、路線バスと乗用車が衝突し、バスの乗客１人が軽いけがをしました。\n\n鹿児島中央警察署によりますと、１１日午後６時半ごろ、鹿児島市清水町の国道１０号で、４０代の会社員の女性が運転する乗用車が、左車線に車線変更した際、後方から来た南国交通の路線バスに衝突しました。\n\nバスには乗客およそ３０人が乗っていて、女性１人が首の痛みを訴える軽いけがをしました。\n\n警察はバスの運転手や、乗用車を運転していた女性に話を聞くなどして事故原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
東日本大震災から１３年　志布志湾沿岸の防災設備を専門家が視察「避難の仕方や防災のあり方考えて」（MBC南日本放送）,https://news.yahoo.co.jp/articles/6cc434fc2ed2967f408b255a00c798a9dd6d3730,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070320-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-11T19:36:00+09:00,2024-03-11T19:36:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1942,\nMBC南日本放送\n東日本大震災から１３年、鹿児島県内では３０年以内に７０～８０％の確率で起こるとされる南海トラフ巨大地震に備えて、ハード面の整備が進んでいます。一方で、専門家は「自然は想定を超えてくる」と警鐘を鳴らし、一人一人が備えることが大切と訴えます。\n\n\n（井村准教授）「東日本大震災で津波が越えてくる映像とフラッシュバックする」\n\n地震地質学が専門の鹿児島大学・井村隆介准教授です。東日本大震災を受け、現在も避難施設の整備が続けられている志布志湾沿岸を一緒に歩きました。\n\n（井村准教授）「６メートル超の津波がやってくると津波でやられてしまう」\n\n\n死者・行方不明者１万８４２０人。東日本大震災では、国内で観測史上最大となるマグニチュード９を観測。高さ１０メートル以上の巨大津波が発生し、東北・関東地方の太平洋沿岸部に壊滅的な被害が出ました。\n\nこれまでに発生した地震などをもとに県が想定している地震です。鹿児島湾直下や県西部直下、トカラ列島や奄美群島太平洋沖など１２の地震があります。\n\n鹿児島を含む西日本で対応が迫られる南海トラフ巨大地震では、県内で最大震度６強、屋久島で１２メートル、大隅半島の太平洋側で最大およそ８．５メートルの津波が想定されています。\n\n\n志布志湾に面した東串良町です。南海トラフ地震では最大７．３メートルの津波が想定されています。去年７月、標高１２メートルにある役場の隣に、およそ２億９０００万円かけて防災庁舎を整備しました。\n\n１階には水や非常食、簡易トイレなどを保管。２階は対策本部室で、関係機関と情報を共有し、町民に避難情報などを発信します。\n井村准教授は「施設などのハードに加え、訓練などのソフトにも注力すべき」と話します。\n\n（井村准教授）「確実に進んでいるが、防災はどこまでいけば１００％絶対に全員の命を守れるかがない。東串良町が被害受けると大崎町、志布志市、肝付町と被害を受けている。それを想定し（連携した）訓練をするべき」\n\n（東串良町総務課 内村大輔係長）「どのように情報手段を取得すべきか、取得できないときにどう動くべきか、想定しながら体制を構築していかなければならない」\n\n\n一方、こちらは志布志市です。去年９月、海岸近くの押切西集落に３５００万円あまりをかけて津波避難所を整備しました。\n\n集落には、南海トラフ地震発生から３６分後に最大７メートルの津波が到達すると想定されています。避難所の標高は８．３メートルと想定される津波より高い場所にありますが、横を通る国道側から見ると、その高さは地面とほとんど変わりません。\n\n（集落住民）「避難タワーができるものだと思っていたから、この盛土では心配でどうしようもない」\n\n（集落住民）「スロープで国道側に渡れるように作ってほしいと、市の説明会で要望伝えた」\n\n集落は安楽川と菱田川に挟まれて、海岸だけではなく、川を遡上する津波が堤防を越えるリスクがあるほか、渋滞などを防ぐために徒歩避難が原則です。１キロほど離れた高台まで避難が難しい人のために、今回、避難所が整備されました。\n\n市は「県の想定に基づいて整備しさらに高くする計画はない」として、「今後は住民から要望があった備蓄倉庫の設置などを計画している」としています。\n\n（井村准教授）「避難所が絶対に安全な場所ではない。時間に余裕があれば、さらに高台に移れるように国道に出て、向こうの高台に避難できるように、工夫しておくことが必要」\n\n地元の中学生は家族と避難場所を確認するなど、日頃から地震に備えていると言います。\n\n（志布志市の中学生）「家具を固定したり、ハザードマップを確認したり、地域の人たちと逃げる場所を確認することが一番大切」\n\n（井村准教授）「自分の命を守ることが大事。みんなで遊んでて今（地震が）起こるかもしれない。その時に命を守ることを頑張って取り組んでください」\n\n（中学生）「ありがとうございました」\n\n\n（井村准教授）「今ある想定を簡単に超えてくるのが自然だということを知っていてほしい。ここにいると防災マップもないし、避難所がどこか一般の人は知らない。（いざというときに）自分で判断しないといけない。\n東日本大震災から１３年ということを考えて、もう一度身のまわりの避難の仕方や防災のあり方を考えてほしい」\n\n\n東日本大震災から１３年。いざという時に、自分や大切な人の命を守るために「今できること」は何なのか。教訓を忘れずに一人一人が考えることが大切です。\nMBC南日本放送 | 鹿児島,[],[]
与論空港に１０日から米軍ヘリ３機着陸　１機は１１日も駐機「離陸めど立たず」（MBC南日本放送）,https://news.yahoo.co.jp/articles/a50d468064e0d7ebb37402587bff3f0d95dc8697,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070316-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-11T19:20:00+09:00,2024-03-11T19:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,372,\nMBC南日本放送\n日米共同訓練に参加していたアメリカ軍のヘリコプターが１０日、与論空港に着陸し、現在もとどまり続けています。\n\n鹿児島県や関係者によりますと、１０日午後３時前、沖永良部島で日米共同訓練に参加していたアメリカ軍海兵隊所属のヘリコプター「ＵＨ－１Ｙ」１機が与論空港に着陸しました。「警告灯が表示されたため、予防着陸した」ということです。\n\n与論空港にはさらに午後６時前と、１１日の午後５時前にも別のアメリカ軍のヘリコプターがそれぞれ着陸しました。最初の１機は１１日午後５時現在もとどまったままです。\nけが人はなく、民間航空機の運航にも影響はありませんでした。\n\n九州防衛局は「安全に飛行できるよう整備を行っていると防衛省から聞いている」としていますが、離陸のめどは立っていません。\nMBC南日本放送 | 鹿児島,[],[]
米軍オスプレイ飛行停止措置を解除　防衛省「安全対策は合理的」　屋久島漁業関係者「原因追究を」（MBC南日本放送）,https://news.yahoo.co.jp/articles/5820bbcb952e57c2da249417c4a4ef20c3097673,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070318-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-11T19:25:00+09:00,2024-03-11T19:25:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,834,\nMBC南日本放送\n屋久島沖の墜落事故を受け、全世界で飛行を停止しているオスプレイについて、アメリカ軍は飛行停止措置を解除しました。屋久島の住民からは不安の声がきかれます。\n\n屋久島沖で去年１１月、アメリカ軍のオスプレイが墜落し、乗員８人全員が死亡した事故を受け、アメリカ軍は全世界のオスプレイの飛行を停止していましたが、今月８日に飛行停止の措置を解除しました。\n\n防衛省は「部品の不具合が原因で、オスプレイの設計と構造に問題はなく、アメリカ軍の原因分析や安全対策は合理的」としています。\n\n\n屋久島では。\n（漁業者）「（再開は）やめてほしい。アメリカ兵の家族もたまったもんじゃないと思う。あれだけ事故が多いと」\n\n（屋久島漁業協同組合 鮫島洋一参事）「はっきり国民にも報告がない中で再開というのは早いのではないか。原因追究をもうちょっとしてほしい」\n\n（住民６０代）「（オスプレイは）必要。誰が守ってくれるかといえば米軍しかいない。その中で反対ばかりしてもはじまらない」\n\n（住民３０代）「（オスプレイの運用は）なくなったと思っていた。アメリカでも日本でも飛行再開は嫌」\n\n\n鹿児島県内の空港では、これまでにアメリカ軍のオスプレイがたびたび緊急着陸しているほか、低空飛行も確認されています。\n\n【鹿児島市】\n（会社員４０代）「安全性が保障されているわけではないと思うので、本当に飛ばしていいのか疑問」\n\n（４０代）「みなさんが不安にならない程度まで理解されるように（飛行再開は）もう少し時間がほしい」\n\n（大学生１０代）「飛んでほしくないというのもあるが、安全面もちゃんと考えてはいると思う。国防のことだから」\n\n\n再開時期について防衛省は「日米の間で緊密に調整を行う」としていて、塩田知事は「事故原因や再発防止策について、国に丁寧な情報提供を求めたい」とコメントしています。\nMBC南日本放送 | 鹿児島,[],[]
東日本大震災から１３年　各地で犠牲者に祈り（MBC南日本放送）,https://news.yahoo.co.jp/articles/1faf5958412f8f97b990600ae0f118dec5675e00,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070319-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-11T19:42:00+09:00,2024-03-11T19:42:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,856,\nMBC南日本放送\n東日本大震災の発生から、きょう３月１１日で１３年です。警察庁の発表では先月時点で、亡くなったのは１万５９００人、行方不明者は２５２０人で、鹿児島県内には現在も１２の市町村に８０人が避難しています。１１日は各地で犠牲者へ祈りが捧げられました。\n\n半旗が掲げられた、鹿児島市役所。震災が発生した午後２時４６分になるとサイレンが鳴り、職員らが黙とうを捧げました。鹿児島市からは、これまでに１５４人の職員が被災地での支援にあたっています。\n\n（２０１１年に宮城県利府町で支援 市街地まちづくり推進課・岩山和史さん）「何万という人が水を求めて（給水箇所に）来た光景は、今も強く印象に残っている」\n\n（２０２２年に宮城県気仙沼市で支援 道路建設課・吉元太朗さん）「（おととし震度６強の地震で）修復しても壊れるのはあっという間なのだと怖く感じた。二度とこのような大きい災害に見舞われないよう願いながら黙とうをした」\n\n\n同じ時刻、鹿児島中央駅前では。\n\n（高校１年生）「（当時は）３歳。社会の授業などで（当時の映像を）見る。（見たときどう思った？）こんな目にあいたくない」\n\n当時、旅行先のアメリカで地震のニュースを見たという女性は。\n\n（６０代女性・７０代男性）「なんで映画の宣伝でもやっているのかと、ちょっと結びつかなかった」「（できることは）義援金ぐらいしかない」「（被災地が地震前と）同じような生活になれば」\n\n（９歳の息子・母親）「（Ｑ．東日本大震災は知っている？）知らない」\n「地震については非常時ことは伝えているが、そういうことがあったと伝えていきたい」\n\n\n鹿屋市では、東日本大震災と能登半島地震での犠牲者を追悼するセレモニーが行われ、地元の松下保育園の園児などが「ふるさと」などを合唱しました。\n\n（参加者）「今年は能登まで届くように大きい声で歌おうねと練習してきた。一刻も早く復興出来るように願っている」\nMBC南日本放送 | 鹿児島,[],[]
宮崎県の自衛官　未成年にわいせつ行為の撮影要求の疑いで逮捕（MBC南日本放送）,https://news.yahoo.co.jp/articles/e41bf964c3d985404f64646aa6c636366e08623b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070321-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-11T19:04:00+09:00,2024-03-11T19:04:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,502,\n鹿児島県内の少女にわいせつな行為を撮影させてＳＮＳで送信するよう要求した疑いで、宮崎県のえびの駐屯地所属の２０歳の自衛官の男が逮捕されました。\n去年の刑法改正で追加された「１６歳未満の者に対する面会要求等」の疑いで鹿児島県警が逮捕したは初めてです。\n\n１６歳未満の者に対する面会要求等の疑いなどで逮捕されたのは、陸上自衛隊・えびの駐屯地所属の一等陸士・前田一星容疑者（２０）です。\n\n県警によりますと、前田容疑者は去年９月中旬、県内の１０代の少女に１６歳未満と知りながら、わいせつな行為をスマホで撮影させＳＮＳで送信するよう要求した疑いがもたれています。\n\n２人はＳＮＳで知り合ったとみられ、取り調べに対し、前田容疑者は「間違いありません」と容疑を認めているということです。\n\n「１６歳未満の者に対する面会要求等」は、１６歳未満の未成年が性被害にあうのを防ぐため、去年の刑法改正で追加されたもので、県警が逮捕したのは今回が初めてです。\n\nえびの駐屯地司令の大江良治一等陸佐は「隊員の服務指導を徹底し、全力で再発防止に努める」とコメントしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070321-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/e41bf964c3d985404f64646aa6c636366e08623b/images/000']
フラーゴラッド９連勝　レギュラーシーズン１位確定（MBC南日本放送）,https://news.yahoo.co.jp/articles/cfc26a36ebe1e494ae1be920f8850467cc60c216,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070313-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-11T19:10:00+09:00,2024-03-11T19:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,249,\nMBC南日本放送\nバレーボールＶ３・フラーゴラッド鹿児島は９連勝。レギュラーラウンド１位を決めました。\n\nフラーゴラッド鹿児島は９日・１０日に千葉で２連戦。９日は警視庁に、１０日は千葉に勝ち、連勝を９に伸ばしました。\n\nこの結果、レギュラーラウンド１位が確定。今月２４日のＶ３優勝を決める試合に進むことが決まりました。\n\n次の試合は今度の土日、１６日・１７日にホームの日置市でリーグ最終戦に臨みます。連勝を伸ばして優勝決定戦に繋げられるか注目です。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島レブナイズ　今季最多１１５得点で６連勝　ホーム連勝でプレーオフ進出も決定（MBC南日本放送）,https://news.yahoo.co.jp/articles/ae26e51d3b5cd99cf961ab51304fab6e82e9f71f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070314-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-11T19:14:00+09:00,2024-03-11T19:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,660,\nMBC南日本放送\nバスケットボールＢ３リーグの鹿児島レブナイズは今週末、ホームで豊田合成に連勝し、Ｂ２昇格をかけたプレーオフ進出を決めました。\n\n９日の試合に勝ち、Ｂ２昇格をかけたプレーオフ進出を決めた３位の鹿児島レブナイズ。１０日も１７位の豊田合成スコーピオンズとホームで対戦しました。\n\nクラブ史上最多の３８１２人の観客を前に、レブナイズは第１クォーターから猛攻を仕掛けます。\n\n開始直後、リチャードソンのパスに反応したゲインズジュニアが華麗なアリウープ。さらに中島らの連続スリーポイントなどで得点を重ね、第２クォーターが終わった時点で２５点のリード。前半を折り返します。\n\n後半もレブナイズの攻守の切り替えが光り、試合終了間際には再びゲインズジュニアが立て続けに豪快なダンク。\n\n出場した６人が二桁得点を上げる活躍で、今シーズン最多の１１５得点を上げ、６連勝を飾りました。\n\n（藤本巧太選手）「目の前の試合を勝ち進むことで、プレーオフにも繋がると思う。１戦１戦勝ちを全員で意識していきたい」\n\nレブナイズは９日・１０日の連勝で、Ｂ２昇格をかけたプレーオフへの進出を決めましたが、１０日に２位の香川も勝利したため、順位は３位から変わらず。\n\n上位８チームで行われるプレーオフはトーナメント方式で行われ、より上位のチームのホームで開催されることから、一つでも順位をあげたいレブナイズ。次の試合は今月１６・１７日にアウェイで１３位の岐阜と対戦します。\nMBC南日本放送 | 鹿児島,[],[]
「スタジアム候補地の選定を最優先に」鹿児島市議会　常任委条件付きで可決（MBC南日本放送）,https://news.yahoo.co.jp/articles/63e142d27d63169474f4119b2b9e0c3c8bd1aeff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070311-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-11T19:00:00+09:00,2024-03-11T19:00:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,320,\n候補地が白紙に戻った鹿児島市のサッカースタジアムについて、１１日の鹿児島市議会では「候補地の選定を最優先する」とした条件を付け、関連議案を原案通り可決しました。\n\n１１日に開かれた鹿児島市議会の委員会では、新年度のサッカースタジアム整備関連事業として、先進地視察の旅費や機運向上のイベントに８１０万円の予算を盛り込んだ議案の採決が行われ、賛成多数で原案通り可決されました。\n\nただ、候補地が２度、白紙となったことを踏まえ、「予算の執行より候補地の選定を最優先すること」とした附帯決議がつけられました。\n\n議案は今月１８日の最終本会議で採決が行われ、原案通り可決される公算が大きくなっています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070311-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/63e142d27d63169474f4119b2b9e0c3c8bd1aeff/images/000']
メイクアップや身だしなみで就職活動の第一印象アップへ　専門学校で資生堂がセミナー（MBC南日本放送）,https://news.yahoo.co.jp/articles/9f29b87b239ac9f26843368d5220db8a68f18b02,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070310-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-11T19:08:00+09:00,2024-03-11T19:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,437,\nMBC南日本放送\n来年春入社の就職活動が今月、解禁されました。鹿児島市の専門学校では、身だしなみやヘアメイクなどを学び第一印象アップにつなげようと、セミナーが開かれました。\n\n鹿児島市のＫＣＳ鹿児島情報専門学校では本格化する就職活動を前に、学生に身だしなみやヘアメイクについて学んでもらおうと、初めてセミナーを開きました。\n\n１１日は化粧品メーカー・資生堂の講師が「第一印象」は６～７秒で決まるといわれていることなどを紹介し、学生たちは表情を柔らかくする練習や、健康的な印象になるよう、スキンケアの基礎からメイクアップまで学びました。男子学生の中には初めて化粧品を使った人もいて、印象の変化を実感していました。\n\n（学生）「教えてもらう機会がなく、実践できなかった。表情や化粧のことなども聞いたので、いかしながら（就職活動を）頑張っていきたい」\n\n（学生）「笑顔が大事だと思うので、そういった場面でいかせていけたらいい」\nMBC南日本放送 | 鹿児島,[],[]
デヴィ夫人「ただのでかい箱」県の体育館建設に反対する集会「多様な意見吸い上げて」　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/bcc18e5de45a54cc64b7945326ecc61457debc87,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240311-00070308-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-11T16:13:00+09:00,2024-03-11T16:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,807,\nMBC南日本放送\n鹿児島市本港区のドルフィンポート跡地で、県が計画している新体育館の建設に反対する集会が、９日、鹿児島市で開かれました。\n\n（企業支援会社代表 門田晶子さん）\n「体育館を建てることに反対しているわけではない。美しい桜島と海の街並みを、壊すことに反対している」\n\n県は本港区のドルフィンポート跡地に、新たな総合体育館＝スポーツ・コンベンションセンターを建設し、５年後の供用開始を目指しています。\n\n建物の高さを押さえるなどして、景観や街並みとの調和に配慮する方針ですが、９日開かれた体育館建設に反対する集会では、建築家やまちづくり団体の代表などから景観が損なわれるとの意見や、議論が不十分だという指摘がありました。\n\n（建築家 政所顕吾さん）\n「ドルフィンポート跡地南側に体育館を建てた場合、ふさわしいのかは議論していくべき。鹿児島が生まれ持った最高の資源である桜島をフル活用するまちづくりが重要」\n\n（地域課題に取り組む団体代表 坂口修一郎さん）\n「日常的に市民が訪れて、クルーズ船や観光客を受け入れて、暮らす人と外から来る人が交流する場所になるのが一番良い」\n「多様な意見を吸い上げることができていないのが一番の問題」\n\nまた、今年１月、塩田知事に体育館の建設を中止するよう訴え、デヴィ夫人の愛称で親しまれるタレントのデヴィ・スカルノさんも異議を唱えました。\n\n（デヴィ夫人）\n「オペラハウスのようでも何でもない。ただのでかい箱。そんなもの建てられたら目も当てられない。鹿児島県の人は怒らない。もっと怒って下さい」\n\n（参加者）\n「桜島の景観が隠れてしまうのと安全面も考えたときに、ほかの場所の方が良い」\n\n「どういうものを建てるのかと、鹿児島の文化に根付いたもの（との関係）を、あまり考えずに話が進んでいる」\nMBC南日本放送 | 鹿児島,[],[]
