headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
こんなところ、あんなところにジェンダーが…ピンときてる？ 日常生活に潜むモヤモヤ　違和感解消するためにはまず「対話」（南日本新聞）,https://news.yahoo.co.jp/articles/8fea85cf385f466f9e6f615110954232232cc34b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000012-minami-000-2-view.jpg?exp=10800,2024-12-21T21:30:21+09:00,2024-12-22T10:05:40+09:00,南日本新聞,minami,南日本新聞,904,日常で経験した男女間の「モヤモヤ」を語り合う参加者＝１１月２４日、出水市中央公民館 男女間の価値観や意識の差から生じる「モヤモヤ」を題材に、ジェンダー平等を考えるセミナーが１１月下旬、出水市中央公民館であった。参加した市民ら１４６人は講演やワークショップを通し、違和感を解消するための対話の大切さを確かめた。 【写真】ジェンダー問題の解決に向け、話し合いの重要性を説く清田隆之さん＝１１月２４日、出水市中央公民館 セミナーでは「おしゃべりから始める 私たちのジェンダー入門」などの著書がある文筆家の清田隆之さん（４４）が、「こんなところにジェンダーが！？」と題して講演した。 清田さんは、人気アニメの家族だんらんを描いた場面が、交流サイト（ＳＮＳ）で話題となった事例を紹介。父親や夫は座って乾杯し、母親と妻は立って料理や飲み物を運んでいる画像を、男性ユーザーが、古き良き日本の家族像として投稿したことから物議を醸したという。 実際に女性から、同じような状況になることを理由に「お盆や正月に実家に帰るのが憂鬱(ゆううつ)だ」と相談を受けることも多いという。清田さんは、性別役割分業意識が根強く残っていると指摘。「違和感を抱いたり、何か嫌だなと思ったりしたら、遠慮なくしゃべった方がいい」と呼びかけた。 ワークショップでは参加者が５、６人のグループに分かれ、モヤモヤを感じた体験を語り合った。 市の男性職員（３１）は、同僚の女性から「化粧せずに出勤すると、非常識だと思われる」との悩みを聞いた。「男性にはピンとこない価値観があることをあらためて実感した」と振り返った。 同市の６０代女性は、家族で海水浴に行った際、上半身裸になるのをためらう小学生の孫に「男なんだから」と諭した経験を述懐。「知らぬ間に『男らしさ』を押し付けてしまい後悔した。性別を問わず、誰も傷つけない接し方を考えたい」と語った。 セミナーは、県男女共同参画室が、地域におけるジェンダー平等の推進を図ろうと企画した。出水市を皮切りに、今月は天城町でも開催。来年１月には、市町村長を対象にしたトップセミナーを鹿児島市で開く。 南日本新聞 | 鹿児島,[],[]
越冬ツルただ今1万928羽…先月末から2000羽減少、「万羽鶴」はキープ　出水平野で中学生クラブ員らが第2回計測（南日本新聞）,https://news.yahoo.co.jp/articles/53ef3b14895f6595c2ae463ef83db7e459fc1f15,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000011-minami-000-2-view.jpg?exp=10800,2024-12-21T20:00:21+09:00,2024-12-21T22:50:17+09:00,南日本新聞,minami,南日本新聞,370,荒崎でツルの羽数調査に臨む生徒たち＝２１日午前７時、出水市荘 出水平野で越冬するツルの今季２回目の羽数調査が２１日、鹿児島県出水市高尾野町下水流の東干拓休遊地と同市荘の荒崎休遊地であり、１万９２８羽を記録した。１１月３０日の１回目より、２０６４羽少なかった。 【写真】荒崎一帯で群がるツル＝２１日午前７時２０分、出水市荘 内訳はナベヅル８９９８羽、マナヅル１９１７羽、クロヅル８羽、カナダヅル３羽、ナベクロヅル２羽。 地元の高尾野中学校と義務教育学校・鶴荘学園の両ツルクラブと、県ツル保護会の約１００人で数えた。荒崎を担当した鶴荘学園９年でツルクラブの井上晟部長は「荒崎から出て行くツルと、東干拓側から入ってくるツルが入り乱れて計測が難しかった」。来年１月１２日の今季最後の羽数調査に向け「精度を高めたい」と話した。 南日本新聞 | 鹿児島,[],[]
1往復550万円だが背に腹は…生活物資担うフェリー屋久島2欠航2カ月半、代替船の安定運航へ町が1.1億円支出決める　県は静観の構え（南日本新聞）,https://news.yahoo.co.jp/articles/1b68ca4c15dbcebe610b3fbfe848fb8907eb33ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000010-minami-000-1-view.jpg?exp=10800,2024-12-21T18:03:21+09:00,2024-12-21T18:03:21+09:00,南日本新聞,minami,南日本新聞,641,エンジン関連のトラブルで欠航が続く「フェリー屋久島２」＝１１月３０日、鹿児島市本港区南ふ頭 鹿児島と屋久島を直通で結ぶ「フェリー屋久島２」の長期欠航を受け、屋久島町は２０日、代替輸送手段として貨物船「ぶーげんびりあ」の臨時運航を継続させる関連経費１億１５５０万円の支出を決めた。来年１月末までの分で、事業者と早期に運航・荷役業務の委託契約を結ぶ考え。 【写真】〈関連〉２月１０日、火災事故で欠航した十島村営船の代替船として、村へ運ぶ荷物を積み込む貨物船「ぶーげんびりあ」＝鹿児島市七ツ島１丁目の谷山港 同日の町議会最終本会議に補正予算案を提出し、全会一致で可決された。１往復にかかる経費を５５０万円とし、１２月は既に運航した実績を含めて９～３０日の計９回分、１月は週３往復で計１２回分を計上した。財政調整基金を充てる。 ぶーげんびりあの臨時運航について、荒木耕治町長は「これまで非常事態対応として事業者に頼っている状況だった」と説明。運航日程が直前まで決まらないケースもあり、代替輸送手段を安定確保しておきたい狙いがある。 一方、町によると、代替輸送を担う事業者側は、県を交えた支援体制を求めている。県交通政策課は取材に「屋久島２は島民の生活を守るために必要な交通手段」としつつ、町への支援について「現時点で決まったものはない」と答えた。 屋久島２は１０月４日の定期点検でエンジン機器のトラブルが見つかり、翌日から欠航している。運航再開のめどは立っていない。 南日本新聞 | 鹿児島,[],[]
【速報】B2鹿児島レブナイズ5連勝　敵地で熊本撃破 91-71（南日本新聞）,https://news.yahoo.co.jp/articles/eb83442c2b22d3a7650195563bf8311995623a20,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000009-minami-000-1-view.jpg?exp=10800,2024-12-21T17:25:22+09:00,2024-12-21T17:25:22+09:00,南日本新聞,minami,南日本新聞,124,（写真：南日本新聞社） バスケットボールＢリーグ２部（Ｂ２）西地区２位の鹿児島レブナイズは２１日、敵地で同地区６位の熊本に９１－７１で勝利した。５連勝とし、通算成績は１７勝８敗。 レブナイズは２２日、同会場で熊本と再戦する。 南日本新聞 | 鹿児島,[],[]
橋脚基盤に硬い岩盤、工期大幅遅れの隼人道路4車線化　掘削機に替え「発破」でめど、来夏ごろ完成見込み（南日本新聞）,https://news.yahoo.co.jp/articles/b575a6e9eba84c0d0525e76e3c0dec9d046cc518,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000008-minami-000-2-view.jpg?exp=10800,2024-12-21T17:03:21+09:00,2024-12-21T17:29:47+09:00,南日本新聞,minami,南日本新聞,390,（写真：南日本新聞社） 西日本高速道路九州支社は２０日、鹿児島県・隼人道路の隼人東インターチェンジ（ＩＣ）－隼人西ＩＣの３．７キロで進める４車線化が、来年夏ごろに完成する見込みと発表した。 物流は向上したが、住民「眠れない」 近接家屋まで1m余り…元町道が国道に、現場で何が? さつま・佐志IC近く #こちら373 同支社によると、具体的な完成日は未定。当初は２０２４年度中の予定だった。同区間にある清水川橋（霧島市）の橋脚の基礎工事中に硬い岩盤が見つかったとして今年４月、完成遅れの見通しを発表していた。掘削機から、火薬を使った「発破」に変更したことでめどが付いた。 隼人道路の４車線化は隼人東ＩＣ－加治木ＩＣ（７．３キロ）の全線で１８年３月に事業化。隼人西－加治木の３．６キロは２２年１１月に整備が完了している。今年３月時点での総事業費は約２９２億円。 南日本新聞 | 鹿児島,[],[]
県都の路線バス網がピンチ…委託路線は民間に差し戻され、貸し切り事業撤退には市議会が異例の否決…窮地に立つ鹿児島市交通局（南日本新聞）,https://news.yahoo.co.jp/articles/06811893c5c00fd1b239325af9235121992e0b75,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000007-minami-000-2-view.jpg?exp=10800,2024-12-21T11:47:21+09:00,2024-12-21T13:02:32+09:00,南日本新聞,minami,南日本新聞,1308,鹿児島市交通局の貸し切りバス事業で使われている車両＝同市新栄町 鹿児島市議会は２０日、最終本会議を開き、交通局の貸し切りバス事業廃止に関する議案を否決した。収益性が見込めるなどとして、議会側から「廃止は時期尚早。休止を」との意見が出ていた。市長提出議案の否決は１９７５（昭和５０）年以来４９年ぶり。市はこれを受けて、事業を存続させ、運用の在り方など今後検討する。 【関連】市営バス運転手不足が深刻化…同じく人手不足の民間委託先が一部路線を差し戻し 安定運行の人数確保へ「貸し切り事業」から撤退 鹿児島市 議案は、運転手不足を理由に２０２５年３月末で同事業を廃止するための条例廃止。本会議では仮屋秀一（自民）、三反園輝男（市民連合）の２議員が反対討論し、採決の結果、賛成９（公明、にじとみどり、無所属１）、反対３５（自民、立憲社民、市民連合、共産、無所属５）で否決された。同議案は１２月１３日の常任委員会でも否決となっていた。 本会議後、下鶴隆央市長は取材に「路線バスを守るため今ここで手を打つ必要があると考えた」と改めて提案理由を説明。否決については「議会が審議の上、（事業の存続が）市民のためになると判断した。市議会が権能を発揮した結果だ」と述べた。 ◇ 鹿児島市議会は１２月定例会で、交通局の貸し切りバス事業廃止に関する議案を否決した。運転手不足と路線バス維持について、緊急に解決すべき課題と捉える交通局に対し、反対した議員は収益性や将来展望を論じた。質疑、答弁の論点はかみ合わず、危機感の温度差が浮き彫りとなった。 最終本会議で反対討論をした議員は、処遇改善で運転手確保の可能性があることや、今後の収益性が期待される点などを強調した。バスなどの運転手不足は全国で顕著で、官民が試行錯誤を重ねている。しかし特効薬はなく、多くの事業者が窮地に立たされている現状に照らせば、市議会は極めて楽観的だったと言わざるを得ない。 廃止ではなく一時休止し、状況を見極めることを勧める意見もあった。ただ、いつ、どの指標で評価し、再開の可否を判断するかといった具体にはほとんど踏み込まなかった。問題の先送りではないか。 たとえ貸し切り事業を休止し、その後に人員の余裕ができたとしても、優先すべきなのはすでに縮小している官民路線バス網の“回復”だ。こうした視点での議論もほしかった。 交通局側の説明も説得力を欠いた。存続させた場合の路線バス減便数を示せず、ダイヤ改正に向け時間的猶予がないという内向きの理由を挙げるばかり。議員からは経営努力を求める声も多数上がった。運転手確保を急ぐのはもちろん、２０１２年度以来続けてきた民間委託の功罪も、いま一度検証すべきだ。 同市議会では４９年ぶりに市長提出議案の否決。しかし所管する産業観光企業委員会の審議は３時間ほど。言論の府として、たびたび夜通しで意見を戦わせ、熟議を尽くす往時のような熱気は感じられなかった。 「４９年ぶりとはいっても『軽い』否決だった」とベテラン市議。「拙速」との批判は、事業廃止を提案した市ばかりでなく、市議会が下した結論にも向けられている。 南日本新聞 | 鹿児島,[],[]
プッカプカでポッカポカ…風邪も吹っ飛ぶ？　老舗浴場が冬至恒例の名物湯　鹿児島市・錦湯（南日本新聞）,https://news.yahoo.co.jp/articles/c2e8bc4d071a0d0ec38010dab1a87fddcc44185f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000006-minami-000-2-view.jpg?exp=10800,2024-12-21T11:27:21+09:00,2024-12-21T16:51:34+09:00,南日本新聞,minami,南日本新聞,383,ボンタンの浮かぶ岩風呂を楽しむ利用客＝２０日、鹿児島市下荒田３丁目の「錦湯」 １００年以上の歴史を持つ鹿児島市下荒田３丁目の公衆浴場「錦湯」で２０日、恒例のボンタン湯が始まった。利用者は、岩風呂のボンタンを眺めるなど雰囲気を楽しんだ。冬至の２１日から２日間、ユズとボンタンを湯船に浮かべる。 重機使って2日がかり デ、デカい…掘り出したのは重さ78キロ、10年物？のおばけヤマイモ １９１７（大正６）年創業。３代目の岩切純也代表（７２）が「温泉の魅力と、季節感を視覚で味わってほしい」と二十数年前から続けている。今回も阿久根市産のボンタン約４００個、日置市伊集院産のユズ約２００個を準備した。 週１度は足を運ぶ公務員の澄川顕弘さん（２７）＝鹿児島市＝は「ボンタン湯のおかげでリラックスできた。朝は風邪気味だったのに体調がよくなった」と喜んだ。 南日本新聞 | 鹿児島,[],[]
迫りくるインフル猛威…5保健所管内で警報基準超え、県内42校で学年・学級閉鎖（南日本新聞）,https://news.yahoo.co.jp/articles/a2be74b08288e623aa24abfb0ed6efb7389724f8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000005-minami-000-1-view.jpg?exp=10800,2024-12-21T11:05:22+09:00,2024-12-21T11:05:22+09:00,南日本新聞,minami,南日本新聞,300,（写真：南日本新聞社） 鹿児島県は２０日、１６～２０日にインフルエンザで鹿児島市、加世田、伊集院、川薩、出水、姶良、鹿屋、西之表、徳之島の各保健所管内の小学校８校、中学校３校、高校２校で学年閉鎖、小学校２３校、高校３校、幼稚園、中学校、特別支援学校各１校が学級閉鎖したと発表した。 医療資源が乏しい離島、馬毛島工事関係者が混雑に拍車 昨夏はコロナとインフルが同時多発…「医療は保てるのか」不安は募る ９～１５日の県内８９定点医療機関の定点当たり報告数は２９．００人。県内全域は流行発生注意報が発令中で、西之表や鹿児島市、鹿屋など５保健所管内では警報基準（３０．００）を超えた。 南日本新聞 | 鹿児島,[],[]
けあらしに裾揺らがせて 桜島悠然と　厳しい寒さ到来、きょう「冬至」（南日本新聞）,https://news.yahoo.co.jp/articles/d25abf6d6d92359700250855f5be40ec18925dae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000004-minami-000-2-view.jpg?exp=10800,2024-12-21T07:00:22+09:00,2024-12-21T11:09:32+09:00,南日本新聞,minami,南日本新聞,411,冷え込みで発生する「けあらし」と桜島＝２０日午前７時４１分、姶良市の重富漁港 ２１日は１年で最も昼が短く、寒さが本格化するとされる冬至。鹿児島県内は２０日朝、放射冷却が強まり厳しい寒さとなった。伊佐市で今季最低気温の氷点下４．１度を観測するなど、県内９地点で氷点下になった。鹿児島市も今季最低の３．８度と冷え込んだ。 【写真】冷え込みで発生した「けあらし」の中、港に戻る漁船＝２０日午前７時５０分、姶良市のなぎさ公園あいら 鹿児島湾奥では、海面から立ち上る水蒸気が冷たい空気にさらされて湯気のように見える「けあらし」が発生。湾を一望できる姶良市脇元のなぎさ公園あいら一帯からは、ゆらゆらと揺れる様子を散歩途中の市民らがカメラを向ける姿も見られ、午前８時頃まで観察できた。 鹿児島地方気象台によると、２１日は気圧の谷や寒気の影響により曇りや雨となる見込み。鹿児島市の予想最低気温は８度と寒さは和らぐ。 南日本新聞 | 鹿児島,[],[]
計画凍結中の川内原発3号機増設「知事同意」　国が推進する次世代革新炉設置でも有効？　塩田知事「新たに手続き必要ではないか」（南日本新聞）,https://news.yahoo.co.jp/articles/acba722e5117daf04bbc7b6f6549fdcc38e520a0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000003-minami-000-1-view.jpg?exp=10800,2024-12-21T06:30:22+09:00,2024-12-21T06:30:22+09:00,南日本新聞,minami,南日本新聞,581,（写真：南日本新聞社） 鹿児島県の塩田康一知事は２０日、九州電力が川内原発（薩摩川内市）に次世代革新炉を新設する場合の対応について、「知事同意が必要ではないか」との考えを述べた。３号機増設に対する２０１０年の伊藤祐一郎知事（当時）の同意は計画凍結中の現在も有効とする一方、国が推進する次世代炉の設置には新たな同意手続きの必要性を示した形だ。 南日本新聞の取材に答えた。「違う（次世代炉の）計画が出てきた時の手続きは精査しないと分からないこともある」と話した。３号機増設は改めて凍結とした。 国が１７日示した次期エネルギー基本計画の原案では、廃炉を決めた原発を持つ電力会社に対し、別の自社原発で次世代炉への建て替えを認める方針を明記。九電は玄海原発１、２号機（佐賀県）の廃炉作業中で、川内原発での新設を可能にする内容との見方が出ている。 伊藤氏は３号機増設に同意した後、福島第１原発事故を経て計画の手続き凍結を表明した。塩田知事はこれを踏襲。原案に絡んでは、鹿児島は既に国のエネルギー政策に一定の役割を果たしてきたとして「地域の理解が得られる状況とは思えない」と川内原発への建て替えに難色を示している。 九電の池辺和弘社長は１８日、薩摩川内市で報道陣に３号機増設の社内議論は進んでいないとしつつ、「原子力はこれから絶対に必要だ」と説明した。 南日本新聞 | 鹿児島,[],[]
川内駅JR貨物脱線「レールや枕木、分岐器など大きく損傷」　JR九州社長会見　運転再開見通せず代替バスの増便も検討（南日本新聞）,https://news.yahoo.co.jp/articles/09badc29c923c71364b1b9ebb6a32176fd02dde1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241221-00000002-minami-000-2-view.jpg?exp=10800,2024-12-21T06:15:21+09:00,2024-12-21T13:16:30+09:00,南日本新聞,minami,南日本新聞,530,事故現場で設備の復旧に当たる作業員ら＝２０日午後４時半ごろ、薩摩川内市の川内駅付近 鹿児島県薩摩川内市の川内駅構内で１２日に発生した貨物列車脱線事故で、ＪＲ九州は２０日、損傷したレールなどの取り換え作業に入った。古宮洋二社長は福岡市であった定例会見で、「１００トン前後の機関車が脱線したため、主要設備の損傷が激しい」と述べ、運転再開の時期は見通せないとした。 【写真】〈関連〉脱線した列車を調べる関係者＝１２日、薩摩川内市の川内駅 古宮社長は事故後の経過を説明。「レールや枕木、分岐器などの設備が大きく損傷し復旧に時間がかかっている。迷惑をかけて大変申し訳ない」と陳謝した。原因については「運輸安全委員会が調査中のため申し上げられない」と述べた。運休が続く鹿児島線川内－隈之城間の代替バスは、状況次第で増便を検討する。 海老原毅鹿児島支社長は同日、報道陣に対し、事故前日の夜に現場の近隣住民から「大きな音がした」と通報が寄せられたと説明した。事故が起きる前に複数の乗務員に確認したが異常は確認されず、問題ないと判断したという。音と事故との因果関係は不明。 貨物列車は１２両編成。１２日午前３時ごろ、先頭の機関車１両と貨車２両が脱線した。 南日本新聞 | 鹿児島,[],[]
