headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【速報】鹿児島レブナイズ、ホームで開幕2連勝　福岡に79-72　バスケB2（南日本新聞）,https://news.yahoo.co.jp/articles/d29b3ec5d51a48b5c03d4aa6c9400059ccb497da,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000009-minami-000-1-view.jpg?exp=10800,2024-10-06T16:25:24+09:00,2024-10-06T16:25:24+09:00,南日本新聞,minami,南日本新聞,162,\n懸命な守備を見せるレブナイズのリチャードソン（３４）ら＝西原商会アリーナ\nバスケットボールりそなグループＢリーグ２部（Ｂ２）の鹿児島レブナイズは６日、鹿児島市の西原商会アリーナで福岡と対戦し、７９－７２で勝ち、開幕２連勝を飾った。\n\n レブナイズの次戦は１２、１３日、同会場で福井と戦う。\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000009-minami-000-1-view.jpg?pri=l&w=640&h=462&exp=10800'],['https://news.yahoo.co.jp/articles/d29b3ec5d51a48b5c03d4aa6c9400059ccb497da/images/000']
【速報】J2鹿児島ユナイテッドFC 連勝ならず　敵地で横浜に0-1（南日本新聞）,https://news.yahoo.co.jp/articles/640e2f7d2e28e6e6dbefb63eff2fd30994b553e7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000008-minami-000-1-view.jpg?exp=10800,2024-10-06T16:05:25+09:00,2024-10-06T16:05:25+09:00,南日本新聞,minami,南日本新聞,282,\n前半、シュートを放つ鹿児島ＵのＤＦ渡邉＝ニッパツ三ツ沢球技場\nサッカーＪ２の鹿児島ユナイテッドＦＣ（鹿児島Ｕ）は６日、横浜市のニッパツ三ツ沢球技場で横浜ＦＣに０－１で敗れた。通算成績は６勝８分け２０敗。勝ち点は２６で１９位。\n【写真】前半、ゴール前にクロスを送る鹿児島ＵのＭＦ星＝ニッパツ三ツ沢球技場\n鹿児島Ｕは前半１６分に横浜ＦＣに先制を許し０－１で折り返した。後半はＧＫ泉森の好セーブなどで追加点を許さなかったが、横浜ＦＣの堅い守備を破れなかった。\n\n 鹿児島Ｕの次戦は１９日、鹿児島市の白波スタジアムで愛媛と対戦する。\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000008-minami-000-1-view.jpg?pri=l&w=627&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/640e2f7d2e28e6e6dbefb63eff2fd30994b553e7/images/000', 'https://373news.com/_news/photo.php?storyid=202318&mediaid=8&page=2']"
大衆浴場隣に待望の食事どころができた　さつま・紫尾「神の湯食堂」　看板メニューはみそちゃんぽん、Uターンした元ホテル料理人が腕を振るう（南日本新聞）,https://news.yahoo.co.jp/articles/7d56baf0204221563cdc618fe6dcd423321a4540,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000011-minami-000-2-view.jpg?exp=10800,2024-10-06T21:00:21+09:00,2024-10-06T22:47:44+09:00,南日本新聞,minami,南日本新聞,592,\n神の湯食堂の外観＝さつま町紫尾\n鹿児島県さつま町紫尾の紫尾区営大衆浴場に隣接するふれあい館内に、「神の湯食堂」がオープンした。一帯にはしばらく食事どころがなかったこともあり、評判も上々。管理人の松崎文也さん（６４）は「これから寒くなるので温泉と合わせて温かい食事も味わって」と話す。\n【写真】看板メニューのみそちゃんぽん＝さつま町紫尾\n紫尾出身の松崎さんは大阪でホテルの料理人などを務めて約４０年過ごし、２年前に兄弟を看病するためＵターン。今年４月から、自治公民館の委託を受けて浴場と同館の管理人を務める。\n\n 同館は地元青果物や加工品の販売、休憩所として利用されてきたが、食堂を求める地元の声も多く一部スペースを改修。８月上旬の開店にこぎ着け、松崎さんが腕を振るう。\n\n 看板メニューは、町内産をはじめ、５種類のみそをブレンドしたみそちゃんぽん（１０００円）。このほか焼きそばやうどんなど麺類が中心の献立で、ピーマンやタマネギなどの地元食材を積極的に使っている。\n\n ５０年以上前に祖父も浴場の管理人を務めていたという松崎さん。「不思議な縁を感じる。新鮮な食材をはじめ、少しでも紫尾の魅力を発信する拠点にしていけたら」と意気込んだ。\n\n 食堂は午前９時～午後５時（ランチ午前１１時～午後２時）、火曜定休。０９９６（５９）８９７５。\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000011-minami-000-2-view.jpg?pri=l&w=640&h=427&exp=10800'],"['https://news.yahoo.co.jp/articles/7d56baf0204221563cdc618fe6dcd423321a4540/images/000', 'https://373news.com/_news/photo.php?storyid=202323&mediaid=8&page=2']"
南北130キロ、5日間かけ実走24キロ…船を乗り継ぎ7島たどってゴールを目指す珍マラソン　138人力走、島民あげておもてなし　十島村（南日本新聞）,https://news.yahoo.co.jp/articles/ee93ec3b63b54d4710961aad92612df41bd1a147,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000010-minami-000-1-view.jpg?exp=10800,2024-10-06T18:00:22+09:00,2024-10-06T18:00:22+09:00,南日本新聞,minami,南日本新聞,498,\n一斉にスタートする参加者＝５日午前６時すぎ、十島村口之島\n南北１３０キロに連なる鹿児島県十島村の有人７島を、村営船フェリーとしま２で移動しながら走る「トカラ列島島めぐりマラソン大会」が５日開催された。県内外から１３８人が参加した。\n【写真】十島村の各島を地図で確認する\n大会は今年で１８回目。参加者は４日午後１１時に鹿児島港を出港。６時間かけて口之島に到着後、午前６時１３分にスタートした。全員が走り終えたら次の島に移動し、北から順に島を巡った。\n\n １周約４．９キロで最長の口之島や、同約２．４キロで最短の宝島など計２４キロのコース。ランナーは各島で住民の声援やもてなしを受けながら力走した。諏訪之瀬島は御岳の噴火による降灰でコースを変更した。\n\n ゴールの宝島では交流会が開かれた。島特産のトビウオや大名竹の天ぷらを味わい、ステージでのスチールドラムの演奏を楽しんだ。初めて参加した鹿児島市上荒田町の医師平瀬雄規さん（４０）は２０００年から２年間、同村の巡回診療にあたった。「先生が来たと喜んでくれた。島の人の元気な姿を見てうれしかった」と話した。\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000010-minami-000-1-view.jpg?pri=l&w=640&h=434&exp=10800'],"['https://news.yahoo.co.jp/articles/ee93ec3b63b54d4710961aad92612df41bd1a147/images/000', 'https://373news.com/_news/photo.php?storyid=202301&mediaid=8&page=2']"
鮮やかコスモス風に揺れ、「寒露」迎えて秋深まる…はずがまだまだ暑い　鹿児島市で真夏日を記録（南日本新聞）,https://news.yahoo.co.jp/articles/c0d40b656aceb60ea8b48295b84f5ea50ab0062f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000012-minami-000-2-view.jpg?exp=10800,2024-10-06T21:30:22+09:00,2024-10-06T22:20:57+09:00,南日本新聞,minami,南日本新聞,415,\n青空に映える赤やオレンジ色のキバナコスモス＝６日、鹿児島市の錦江湾公園\n二十四節気の一つ「寒露」を８日に迎える。秋が本格的に深まり、野草に冷たいつゆが宿る頃とされるが、６日の鹿児島市内は最高気温が３１．２度の真夏日となった。７～１３日の同市内の予想最高気温は２８～３０度で若干下がるが、平年よりは高くなる見込みという。\n【写真】〈別カット〉色鮮やかなキバナコスモスが広がる錦江湾公園＝６日、鹿児島市平川町\n同市平川町の錦江湾公園では、赤や黄色のキバナコスモスが来場者の目を楽しませている。風に揺れる花を眺めながら、散策したり写真撮影をしたりする姿も。夫婦で訪れた同市の自営業引地巧さん（３０）は「色とりどりの花がきれい。１０月でも暑く、昨年より秋の訪れが遅い気がする」と話した。\n\n 鹿児島地方気象台によると、６日の県内は３３の観測地点のうち２５地点で最高気温が３０度以上の真夏日となった。\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000012-minami-000-2-view.jpg?pri=l&w=429&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/c0d40b656aceb60ea8b48295b84f5ea50ab0062f/images/000', 'https://373news.com/_news/photo.php?storyid=202334&mediaid=8&page=2']"
「ノリ!　来たでぇ～!」　83歳サポーターの生きがいはJ2鹿児島ユナイテッドFC藤本選手の“推し活”　神戸時代から続く応援、SNSで交流も　数十年ぶりの帰郷で対面、泣いて、笑って、「元気出た!」（南日本新聞）,https://news.yahoo.co.jp/articles/b34ff752668942abdee564b38c7313410750c7f0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000005-minami-000-1-view.jpg?exp=10800,2024-10-06T11:30:21+09:00,2024-10-06T11:30:21+09:00,南日本新聞,minami,南日本新聞,551,\n鹿児島Ｕの藤本憲明選手（右）と対面し喜ぶ松本照子さん＝鹿児島市喜入\nサッカーＪ２・鹿児島ユナイテッドＦＣ（鹿児島Ｕ）のＦＷ藤本憲明選手（３５）を“推し活”で応援する神戸市在住の松本照子さん（８３）＝姶良市出身＝が、Ｊリーガーと高齢者の交流事業の一環で鹿児島市を訪れ藤本選手と対面した。\n【写真】〈別カット〉鹿児島Ｕの藤本憲明選手（右）と対面し喜ぶ松本照子さん＝鹿児島市喜入\n松本さんは認知症を患い、数年前から神戸市の高齢者施設で暮らす。入所してすぐ交流事業に参加する機会に恵まれ、当時Ｊ１神戸にいた藤本選手を「かわいい」と気に入り応援するようになった。鹿児島Ｕに移籍後もＳＮＳなどでやり取りを続けてきた。同施設の介護福祉士大野裕子さん（４７）は「応援が生きがいになっている」と感謝する。\n\n 松本さんは、数十年ぶりに帰郷して９月２８日のホーム戦を応援。「楽しかった。元気が出た」と喜んだ。翌日に藤本選手に会うと、感極まって涙を流し、「あんたは根性がある。頑張れ」とエールを送った。\n\n 藤本選手はサイン入りユニホームをプレゼントし「照子さんのおかげで勝てました。ありがとう」と感謝。「いろいろな人に応援され、もう一度頑張らないとと責任感が生まれた」と話した。\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000005-minami-000-1-view.jpg?pri=l&w=640&h=476&exp=10800'],"['https://news.yahoo.co.jp/articles/b34ff752668942abdee564b38c7313410750c7f0/images/000', 'https://373news.com/_news/photo.php?storyid=202297&mediaid=8&page=2']"
地域の足が細る中、持続可能な公共交通確立へAIオンデマンド「チョイソコ」スタート　会員登録→乗車予約→AIが行き先に応じて効率的なルートを設定　運賃は200円（南日本新聞）,https://news.yahoo.co.jp/articles/85a183c7e4d030213c81d6e05729f03882edc8ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000007-minami-000-1-view.jpg?exp=10800,2024-10-06T15:30:21+09:00,2024-10-06T15:30:21+09:00,南日本新聞,minami,南日本新聞,570,\n出席者に見送られ、出発する「チョイソコいずん」の車両＝１日、出水市役所野田支所\n鹿児島県出水市は１日、人工知能（ＡＩ）を取り入れたオンデマンド交通「チョイソコいずん」を、高尾野と野田の両地域で始めた。市役所野田支所で出発式があり、出席者約４０人は安全運行と多くの利用を願った。\n【写真】出水市で始まる公共交通体系の路線図\n利便性向上などを目的とした乗り合い型の移動サービスで、ふれあいバスに代わって導入した。市くらし安心課によると、県内での「チョイソコ」システム本格運行は志布志市、霧島市に続き３例目。\n\n 北と南のエリアがあり、停留所は約２３０カ所。利用者は事前に会員登録した上で予約、ＡＩが行き先や予約状況に応じて効率的なルートを設定する。車両はミニバンタイプで定員６人。\n\n 運行は平日と第２、４土曜日（祝日、お盆、年末年始運休）。運賃は２００円、小学生以下・障害者手帳持参は半額。１０月から３カ月間は無料で乗れる。\n\n 式で椎木伸一市長は運営・運行事業者らを前に「持続可能な地域公共交通の実現に向けた第一歩」とあいさつ。関係者はテープカットを拍手で祝い、出発を見送った。\n\n １日は、路線を１０から６にしたふれあいバスや、ルートなどを見直した乗り合いタクシーも、新体系で始まった。\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000007-minami-000-1-view.jpg?pri=l&w=640&h=390&exp=10800'],"['https://news.yahoo.co.jp/articles/85a183c7e4d030213c81d6e05729f03882edc8ad/images/000', 'https://373news.com/_news/photo.php?storyid=202300&mediaid=8&page=2']"
目の前を小動物が横切り転倒か　ミニバイクの70歳男性が意識不明の重体　薩摩川内市（南日本新聞）,https://news.yahoo.co.jp/articles/68237fe0fe185b28a5372fec1721e657a4299da4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000006-minami-000-1-view.jpg?exp=10800,2024-10-06T11:55:22+09:00,2024-10-06T11:55:22+09:00,南日本新聞,minami,南日本新聞,211,\n（写真：南日本新聞社）\n５日午後１１時ごろ、薩摩川内市樋脇町塔之原の県道川内加治木線で、姶良市蒲生町上久徳、職業不詳の男性（７０）のミニバイクが転倒しているのを通行人が発見し１１９番した。男性は病院に運ばれたが、意識不明の重体。薩摩川内署によると、現場は片側１車線の直線。近くの防犯カメラに、同市入来方面へ走行する男性の前方を小動物のような影が横切り、直後に転倒する様子が映っていたという。\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000006-minami-000-1-view.jpg?pri=l&w=640&h=441&exp=10800'],['https://news.yahoo.co.jp/articles/68237fe0fe185b28a5372fec1721e657a4299da4/images/000']
より早く、より簡単に…巨大地震へ備え着々　津波想定し、車いす入所者の垂直避難へスロープ手作り　志布志の介護老人保健施設で実地訓練（南日本新聞）,https://news.yahoo.co.jp/articles/62d31ac1ffffe0acf37c3afa242a2f3f53171fc0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000004-minami-000-2-view.jpg?exp=10800,2024-10-06T10:30:23+09:00,2024-10-06T11:08:58+09:00,南日本新聞,minami,南日本新聞,859,\n避難用スロープでロープを使い、車いすを引き上げる職員＝志布志市有明のありあけ苑\n鹿児島県志布志市の介護老人保健施設「ありあけ苑」は、８月の日向灘地震を受け、津波発生時の避難場所となる隣接の旧有明病院内階段に「避難用スロープ」を設置した。車いすの入所者を迅速・安全に２階へ避難させる狙いで、職員の負担軽減も図る。９月２５日、訓練形式で使い方を確認した。\n【写真】避難用スロープでロープを使い、車いすを引き上げる職員＝志布志市有明のありあけ苑\nありあけ苑は、志布志湾沿岸の通山地区にあり、海抜７メートル以下で海から約３３０メートルの距離に立地。車いすや寝たきりの人を含む約８０人が入所し、昼間は約４０人が働く。\n\n 施設は平屋建てのため、万が一の時は、病院２階に避難する計画。ただ、エレベーターはなく狭い階段を上らなければならない。２０１１年の東日本大震災後、２人がかりで車いすを持ち上げ２階へ運ぶ訓練をしてきたが、体重４０～５０キロの人が乗った車いすを運ぶのは職員負担が大きく、時間もかかっていたという。\n\n 今回、他県の施設を参考に、階段の傾斜に合わせた「避難用スロープ」を手作り。病院は閉院しているため、常設が可能になった。\n\n ２５日の研修会には約４０人が参加。防災担当の職員が施設の立地、南海トラフ巨大地震に伴う津波の想定到達時間・水位を示し、「命を守るため、水が届かない所へ逃げること」と呼びかけ。その後、災害時に役割分担する「アクションカード」で行動を確認。車いすにつないだロープを引っ張り引き上げる人と下から押す人の２人一組で階上に避難させる体験をした。\n職員からは「スロープの方が人力で運んだ時より楽だった」「夜の停電時の準備が必要」「そもそも病院は地震に耐えられる強度か不安」などの意見が出た。\n\n 井ノ上友成事務長は「避難の段取りを職員が体験できた。日々最善の手を一人一人が考えることがいざという時の行動につながる。今後も発展させたい」と話した。\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000004-minami-000-2-view.jpg?pri=l&w=640&h=449&exp=10800'],"['https://news.yahoo.co.jp/articles/62d31ac1ffffe0acf37c3afa242a2f3f53171fc0/images/000', 'https://373news.com/_news/photo.php?storyid=202186&mediaid=8&page=2']"
諏訪之瀬島で噴火2回、うち1回は連続噴火　噴煙は1200ｍまで上がる（南日本新聞）,https://news.yahoo.co.jp/articles/82a725da64fc5b45fecc4c1ac02924ca9a82d419,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000003-minami-000-1-view.jpg?exp=10800,2024-10-06T08:30:21+09:00,2024-10-06T08:30:21+09:00,南日本新聞,minami,南日本新聞,187,\n噴煙を上げる諏訪之瀬島の御岳（資料写真）\n鹿児島県十島村・諏訪之瀬島の御岳で５日、午後１１時までに噴煙量が中量以上の噴火が２回あった。うち１回は連続噴火。福岡管区気象台によると、噴煙の高さは最高１２００メートル。大きな噴石は確認されていない。噴火警戒レベルは２（火口周辺規制）。\n【写真】〈関連〉諏訪之瀬島など九州の主な火山を地図で確認する\n南日本新聞 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241006-00000003-minami-000-1-view.jpg?pri=l&w=426&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/82a725da64fc5b45fecc4c1ac02924ca9a82d419/images/000', 'https://373news.com/_news/photo.php?storyid=202294&mediaid=8&page=2']"
