headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
馬毛島基地工事の作業員運ぶ輸送船　葉山漁港で座礁　鹿児島県西之表市（MBC南日本放送）,https://news.yahoo.co.jp/articles/7e6399971b1fb9ab708d17dfcff5e1848bece25e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069158-mbcnewsv-000-1-view.jpg?exp=10800,2023-12-25T22:28:00+09:00,2023-12-25T22:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,374,\n国が整備を進める自衛隊・馬毛島基地の工事関係者を運ぶ船が２５日夕方、馬毛島の漁港で座礁しました。\n\n種子島海上保安署によりますと２５日午後５時前、馬毛島基地整備の工事関係者を運ぶ船の船長から「葉山漁港内で座礁し、自力航行できなくなった」と通報がありました。\n\n船は「第一クインエンゼル」全長およそ１５メートル総トン数１６トンで、通報からおよそ３０分後にほかの輸送船に曳航され、乗り上げたサンゴ礁を離れました。\n\n工事関係者を乗せるために種子島から馬毛島の葉山港に向かっている途中だったということで、船に乗っていたのは船長を含め船員３人で、工事関係者は乗っておらず、けが人もいないということです。海への油の流出も確認されていません。\n\n種子島海上保安署が今後、座礁した原因を調べることにしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069158-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/7e6399971b1fb9ab708d17dfcff5e1848bece25e/images/000']
奄美群島日本復帰から７０年　奄美市おがみ山で市民集会（MBC南日本放送）,https://news.yahoo.co.jp/articles/a3668661dee6dd40446b88d94c51affc0ca775b1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069154-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-25T18:26:00+09:00,2023-12-25T18:26:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,529,\nMBC南日本放送\n奄美群島が日本に復帰してきょう１２月２５日で７０年です。島では、苦難の歴史と先人たちの偉業を振り返りました。\n\n奄美市では２５日、復帰運動のリーダーだった泉芳朗の像に花が手向けられました。\n\n戦後およそ８年間、アメリカ軍政下におかれた奄美群島は、日本本土と自由な行き来ができず、食料も不足する中、日本復帰を求める声が高まりました。\nそして１４歳以上の９９．８％の署名や断食などの復帰運動により、１９５３年１２月２５日に日本に復帰しました。\n\n２５日の集会では、日本復帰を祝う「朝はあけたり」をうたい、先人たちの功績を称えました。\n\n（復帰当時１４歳）「次世代に引き継いで平和こそ私たち奄美の発展につながる」\n\n午後からは、泉芳朗のおい・泉宏比古さんが講演しました。\n\n（泉宏比古さん）「芳朗は詩人だったということもあって、（文化的）素養があった。平和とか非暴力というものを根っから持っていた」\n\nそして、当時を体験した人の話を子どもたちが聞いて、リアルな歴史として受け継いでいくことが大切だと話しました。\n\n２５日夜は、ちょうちん行列や花火などで復帰７０年を祝います。\nMBC南日本放送 | 鹿児島,[],[]
５年ぶり２度目の日本一　神村学園女子駅伝部が凱旋（MBC南日本放送）,https://news.yahoo.co.jp/articles/0d19ac6a20fd2fbf464095405b1423a3f06d564f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069155-mbcnewsv-000-1-view.jpg?exp=10800,2023-12-25T18:28:00+09:00,2023-12-25T18:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,352,\n全国高校駅伝で日本一となった神村学園駅伝部が２５日、学校に戻り、優勝を報告しました。\n\n２５日午後５時半、鹿児島県いちき串木野市の神村学園に、駅伝部の選手らが戻ってきました。\n\n２４日の全国高校駅伝に１、２年生主体で臨んだ神村学園。３位でアンカーにつなぐと、キャプテンで唯一の３年生、留学生のカロラインが２位に順位を上げます。\n最後のトラック勝負で相手をかわし、５年ぶり２回目の優勝を果たしました。\n\n学校にもどった選手たちを在校生らが出迎えました。\n\n（１年 瀬戸口凛選手）「一人ひとりがチームのためにベストな走りをし、次の走者にたすきを渡す瞬間まで全力で駆け抜けられた」\n\n（３年 カリバ・カロライン選手）「みなさんのおかげで私の力になった」\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069155-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/0d19ac6a20fd2fbf464095405b1423a3f06d564f/images/000']
鹿児島市電　インフルエンザ感染の運転士増加→減便へ「人員確保が困難」（MBC南日本放送）,https://news.yahoo.co.jp/articles/d8514074120539ff100425edbe1f618f3fd13f00,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069156-mbcnewsv-000-2-view.jpg?exp=10800,2023-12-25T18:51:00+09:00,2023-12-25T18:52:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,174,\n鹿児島市電は、運転士のインフルエンザ感染が増えたことを理由に、あさって２７日から２日間、通常の１日６５６便から５５３便に減便します。\n通常、平日は４分から７分間隔で運転していますが、６分から８分間隔になるということです。\n\nなお、運転士の感染状況によっては、減便期間をさらに延ばす可能性もあるとしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069156-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/d8514074120539ff100425edbe1f618f3fd13f00/images/000']
寿司１パックを持参した保冷バッグに入れて…　派遣社員の男（４４）窃盗の疑いで逮捕（MBC南日本放送）,https://news.yahoo.co.jp/articles/a34be6bd4b00de91775589a80b854eb9977eb7d1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069157-mbcnewsv-000-2-view.jpg?exp=10800,2023-12-25T21:14:00+09:00,2023-12-25T21:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,282,\n鹿児島市のディスカウントストアから寿司１パックを盗んだ疑いで、自称・派遣社員の４４歳の男が現行犯逮捕されました。\n\n鹿児島南警察署によりますと男は２５日午後５時ごろ、鹿児島市内のディスカウントストアに陳列してあったおよそ８００円の寿司１パックを盗んだ疑いです。\n\n男が、持っていた保冷バッグに寿司を入れて店の外に出たところを店側が見ていて男に声をかけたということで、店の関係者が「万引き犯を捕まえている」と警察に通報しました。\n\n警察の調べに対し男は「寿司を盗んだことは間違いない」と容疑を認めているということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069157-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/a34be6bd4b00de91775589a80b854eb9977eb7d1/images/000']
枕崎市のかつお節工場　外国人技能実習生が監理団体の組合など提訴「寮の環境劣悪だった」（MBC南日本放送）,https://news.yahoo.co.jp/articles/a12f1e3e0ba47e90e7c5fabd534bae60bc1cc01a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069151-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-25T18:20:00+09:00,2023-12-25T18:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,425,\nMBC南日本放送\n鹿児島県枕崎市のかつお節工場で働いていた外国人実習生４人が「寮の環境が劣悪だった」などとして、受け入れ団体などに対し損害賠償を求める訴えを起こしました。\n\n鹿児島地方裁判所に訴えを起こしたのは、「枕崎市水産物振興協同組合」に２０１８年から今年４月までの間に技能実習生として受け入れられていたフィリピン人女性４人です。\n代理人弁護士らが２５日、オンラインで会見を開きました。\n\n訴えによりますと、４人は「寮の広さが国の基準を満たしていなかった上、事前の説明とは異なる重労働で体調を崩し、精神的にも苦痛を受けた」などして組合などに対し、あわせておよそ９７５万円の損害賠償を求めています。\n\n国は組合に対し「適切な技能実習計画の作成指導を行っていない」などとして、今月、改善命令を出しています。提訴を受け、枕崎市水産物振興協同組合は「訴状を見ていないのでコメントできない」としています。\nMBC南日本放送 | 鹿児島,[],[]
屋久島沖オスプレイ墜落、機体引き揚げ・残る１人の捜索へ潜水調査　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/26cd37b653b34cb305367bf7463f97cf58ffa83d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069150-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-25T16:19:00+09:00,2023-12-25T18:24:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,383,\nMBC南日本放送\n屋久島沖でオスプレイが墜落した事故で、捜索活動に伴って設定されている漁の自粛エリアが縮小されました。\n\n屋久島沖では先月２９日、アメリカ軍のオスプレイが墜落し、乗員８人のうち７人が遺体で見つかったものの、残り１人の行方が分かっていないほか、機体の主要部分が屋久島空港の南東沖に沈んだままです。\n\n現場の海域では２５日、アメリカ軍のサルベージ船から複数のダイバーが海に潜る様子が見られました。関係者によりますと、残る１人の捜索と、機体の主要部分の引きあげのために海中の状況を改めて確認したということです。\n\n一方、防衛省は今月９日から一部エリアで漁の自粛を求めていますが、２５日から範囲を４分の１程度に縮小するよう、町と漁協に伝えたということです。捜索範囲が絞られたことが背景にあるとみられています。\nMBC南日本放送 | 鹿児島,[],[]
原発運転延長容認の薩摩川内市長「不安払拭へ原発安全性向上を」九電に要望（MBC南日本放送）,https://news.yahoo.co.jp/articles/d7323a878e2a0f64ade0d1b962498b6c41f97ce5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069152-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-25T18:22:00+09:00,2023-12-25T18:22:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,427,\nMBC南日本放送\n川内原発の２０年の運転延長を容認した鹿児島県薩摩川内市の田中市長は２５日、九州電力の池辺社長と面会し、安全性の向上に向けた取り組みを要望しました。\n\n川内原発がある薩摩川内市の田中良二市長は２５日、大田黒博市議会議長とともに福岡市の九電本社を訪れ、池辺和弘社長に安全な運転管理の徹底や、不安払拭のための情報公開などを求める４項目の要望書を手渡しました。\n\n（薩摩川内市・田中良二市長）「原子力発電所に対する不安を持つ市民がいることは事実。不安払しょくに向けた取り組みを、ぜひお願いしたい」\n\n（九州電力・池辺和弘社長）「新しい知見の情報収集、検討を行い、さらなる安全性、信頼向上に努めていく」\n\n田中市長らはこのあと、２０年の運転延長を認可した原子力規制委員会を訪れ、安全対策への厳正な指導を求める要望書を提出。２６日は鹿児島県庁で塩田知事に、防災対策の強化などを要望する予定です。\nMBC南日本放送 | 鹿児島,[],[]
奄美群島日本復帰７０周年　苦難の歴史と先達の偉業をしのぶ（MBC南日本放送）,https://news.yahoo.co.jp/articles/2cc5cd72a9b4fb2776dd66c9483bc37759feca6f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069148-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-25T16:07:00+09:00,2023-12-25T16:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,461,\nMBC南日本放送\nきょう１２月２５日は、奄美群島が日本に復帰して７０年の記念の日です。奄美市では復帰までの苦難の歴史と先人たちの偉業を振り返りました。\n\n戦後、奄美群島は日本から切り離され、１９４６年から８年間、アメリカ軍政下におかれました。日本本土と自由な行き来ができず、食料も不足する中、日本復帰を求める声が高まりました。\n\nそして当時の人口およそ２２万人のうち１４歳以上の９９．８％の署名活動や断食などにより、１９５３年のきょう、１２月２５日に悲願の日本復帰を果たしました。\n\n２５日は、復帰運動のリーダーだった泉芳朗の像が建つ奄美市のおがみ山で集会が開かれました。そして詩人でもあった泉芳朗の断食悲願の詩が朗読され、日本復帰を祝う歌「朝はあけたり」を歌い先人たちの功績を称えました。\n\n（復帰当時１４歳）「（復帰運動は）大きな平和に対する礎。次世代に引き継いで平和こそ奄美の発展につながる」\n\n２５日は、市民たちは提灯行列や花火などで復帰７０年を祝います。\nMBC南日本放送 | 鹿児島,[],[]
出水市の住宅兼店舗全焼で２人遺体　住人夫婦と連絡取れず（MBC南日本放送）,https://news.yahoo.co.jp/articles/a939ed852a75b40b58530248409c4a8a38dddf23,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069147-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-25T16:08:00+09:00,2023-12-25T16:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,392,\nMBC南日本放送\n出水市で２５日未明、火事があり、住宅兼店舗１棟が全焼し、焼け跡から２人が遺体で見つかりました。現在、この家に住む夫婦と連絡が取れていません。\n\n出水警察署によりますと、２５日午前５時半すぎ、出水市野田町下名の住民から「野田郷駅の方向から炎が見える」と１１９番通報がありました。\n\n火はおよそ２時間半後に消し止められましたが、この火事で、商業・木下英孝さん（８７）の木造２階建て住宅兼店舗１棟およそ１４０平方メートルが全焼し、焼け跡から２人が遺体で見つかりました。\n\n木下さんは７０代の妻と２人暮らしで、現在、２人と連絡が取れなくなっているということです。この火事で隣接する倉庫や鉄筋コンクリート造りの空き店舗の一部も焼けました。\n\n現場は、肥薩おれんじ鉄道の野田郷駅の前で、警察で遺体の身元の確認を急いでいます。\nMBC南日本放送 | 鹿児島,[],[]
住宅兼店舗全焼で２人遺体　住人夫婦と連絡取れず　消火活動で肥薩おれんじ野田郷駅の前は一時交通規制（MBC南日本放送）,https://news.yahoo.co.jp/articles/f99799a237f71abe3ac863bfa70d6e74265f900c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231225-00069146-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-25T12:12:00+09:00,2023-12-25T12:12:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,404,\nMBC南日本放送\n鹿児島県の出水市で２５日未明、火事があり、住宅兼店舗１棟が全焼し、焼け跡から２人が遺体で見つかりました。現在、この家に住む夫婦と連絡が取れていません。\n\n出水警察署によりますと、２５日午前５時半すぎ、出水市野田町下名の住民から「野田郷駅の方向から炎が見える」と１１９番通報がありました。\n\n火はおよそ２時間半後に消し止められましたが、この火事で、商業・木下英孝さん（８７）の木造２階建て住宅兼店舗１棟、およそ１４０平方メートルが全焼し、焼け跡から２人が遺体で見つかりました。\n\n木下さんは７０代の妻と２人暮らしで、現在２人と連絡が取れなくなっているということです。\nこの火事で隣接する倉庫や鉄筋コンクリート造りの空き店舗の一部も焼けました。\n\n現場は、肥薩おれんじ鉄道の野田郷駅の前で、消火活動のため周辺は一時交通規制が行われました。\nMBC南日本放送 | 鹿児島,[],[]
