headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
〈鹿児島市長選〉市民の関心高まらず？過去3番目に低い投票率　今回と併せ過去20％台だった選挙での共通点とは…（南日本新聞）,https://news.yahoo.co.jp/articles/9e5947ebe39662158219f79b00adab881e7dbf5e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000014-minami-000-3-view.jpg?exp=10800,2024-11-24T22:55:22+09:00,2024-11-25T11:42:02+09:00,南日本新聞,minami,南日本新聞,1010,一票を投じる鹿児島市長選の有権者＝２４日、鹿児島市の中洲小学校 ２４日投開票があった鹿児島市長選の投票率は２７．２１％で、過去最低だった２０１６年の２５．００％は上回ったものの３番目に低かった。衆院選から間もない短期決戦で市長選の存在感が薄まったほか、両候補の主張の違いが際立たず、市民の関心は高まらなかった。有権者の７割に当たる約３５万５０００人が棄権した。 【写真】〈関連〉鹿児島市長選挙投票率の推移をグラフで見る 同市長選は１９８３（昭和５８）年以降、投票率が５割を切る状況が続き、特に直近の４回は２０～３０％台と低迷。今回と過去２０％台だった９６年、２００８年、１６年の計４回はいずれも現職と新人の一騎打ちだった。 今回は告示の約１カ月前に衆院が解散。陣営の体制づくりが遅れたことも影響が大きかった。両候補の主張に関しても、サッカースタジアムの整備手法などで細かな違いはあったが、市民生活に関わる大きな対立軸に発展しなかった。 市議補選との同日選で、投票率は最低とはならなかったが、新人４人で争った前回２０年の３８．１６％から１０．９５ポイント減らした。 市長選で２０％台となるのは鹿児島市以外の九州・沖縄の中核市、政令指定都市では珍しい。大分市が０７年２５．０２％、那覇市が１９９６年２５．９７％、熊本市が２０２２年２８．２６％にとどまっている。 ■ □ ■ 鹿児島市長選と市議補選（欠員１）の期日前投票の投票者数は４万２８２４人となり、前回２０２０年を６３３２人下回った。選挙人名簿登録者数（１６日現在）に占める割合は８．６９％で、前回より１．１７ポイント下がった。市選挙管理委員会が２４日発表した。 期間は１８～２３日の６日間。投票所は市役所本庁と８支所、東桜島合同庁舎、イオンモール鹿児島（東開町）、市勤労者交流センター（中央町）、鹿児島大学、鹿児島国際大学の計１４カ所に開設した。ほかに主権者教育の一環として市長選・市議選では初めて、市立３高校（鹿児島玉龍、鹿児島商業、鹿児島女子）で実施した。 期間中最多は最終日の２３日で１万２１５０人。投票所別では市役所本庁が１万９３人で最多。谷山支所が６４８７人、イオンモール鹿児島６３４２人。旧５町域は計４９０１人だった。市立３高校では生徒ら１６６人が投票した。 前回２０年は投票率が３８．１６％で期日前投票は４万９１５６人が利用した。 南日本新聞 | 鹿児島,[],[]
【速報】鹿児島市長選投票率27.21％（南日本新聞）,https://news.yahoo.co.jp/articles/eb2f061dce5c8094ad047ddd8c60ca8bbf703706,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000013-minami-000-1-view.jpg?exp=10800,2024-11-24T22:15:21+09:00,2024-11-24T22:15:21+09:00,南日本新聞,minami,南日本新聞,146,一票を投じる鹿児島市長選の有権者＝２４日、鹿児島市の中洲小学校 ２４日に投票があった鹿児島市長選の投票率は２７．２１％で、前回２０２０年の３８．１６％を１０．９５ポイント下回った。 同日選となる市議補選の投票率は２７．２０％だった。元職２、新人３の計５人が立候補した。 南日本新聞 | 鹿児島,[],[]
霧島連山新燃岳で火山性地震増加　24日午後3時までの24時間で79回　火山活動が今後高まる可能性　気象庁が現地調査（南日本新聞）,https://news.yahoo.co.jp/articles/19551effc63a956520e132caa88c206e3574ab12,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000012-minami-000-2-view.jpg?exp=10800,2024-11-24T21:10:22+09:00,2024-11-25T00:23:58+09:00,南日本新聞,minami,南日本新聞,326,〈資料写真〉霧島連山・新燃岳＝2022年3月２日、霧島市牧園町 鹿児島、宮崎県にまたがる霧島連山の新燃岳で火山性地震が増加し、気象庁の機動調査班が２４日、現地調査した。西側斜面の地熱域に特段の変化は認められず、噴気も確認されなかった。 【写真】〈関連〉新燃岳など九州の主な活火山を地図で確認する 鹿児島地方気象台によると、火口直下を震源とする火山性地震は２４日午後３時までの２４時間で７９回、１０日間で２３３回発生した。２４時間で１００回、１０日間で３００回を超えると噴火警戒レベル１（活火山であることを留意）から２（火口周辺規制）に引き上げる。 火山活動が今後高まる可能性があり、気象台は火山情報に注意するよう呼びかけている。 南日本新聞 | 鹿児島,[],[]
【速報】鹿児島市長選 下鶴隆央氏が再選確実（南日本新聞）,https://news.yahoo.co.jp/articles/9afc471e78c0639f412956af4faca30db6a3af2b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000011-minami-000-1-view.jpg?exp=10800,2024-11-24T20:15:21+09:00,2024-11-24T20:15:21+09:00,南日本新聞,minami,南日本新聞,100,下鶴隆央氏 任期満了に伴う鹿児島市長選は２４日投票があり、現職の下鶴隆央氏（４４）が、新人の元市議桂田美智子氏（７１）＝いずれも無所属＝との一騎打ちを制し、再選が確実となった。 南日本新聞 | 鹿児島,[],[]
推し活は認知症予防に効果？ 「急に頑固に」「入浴を面倒がる」…それ、イエローカード！　物忘れだけじゃない。危険信号や注意点を専門家に聞いた（南日本新聞）,https://news.yahoo.co.jp/articles/b5f129b79703d593ef4597f71056d9abfac3e37b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000010-minami-000-1-view.jpg?exp=10800,2024-11-24T18:03:00+09:00,2024-11-24T18:03:00+09:00,南日本新聞,minami,南日本新聞,1002,会場からの質問に答える石塚貴周副センター長＝鹿児島市のライカ南国ホール 「認知症を正しく知ろう」と題した公開講座が１０日、鹿児島市のライカ南国ホールで開かれた。精神科医で、鹿児島大学病院にある県基幹型認知症疾患医療センターの石塚貴周副センター長（４４）が講演し、認知症を疑うポイントや脳活性化のヒントを語った。要旨を紹介する。 【写真】〈関連〉認知症予防のポイントをチェックする 認知症は主にアルツハイマー型、レビー小体型、脳血管性、前頭側頭型の四つ。脳疾患で起こる脳血管性以外は、それぞれ特定のタンパク質が脳神経細胞を破壊させて起こる。 記憶力低下や情緒不安定などの症状は、細胞に情報を届ける脳神経伝達物質の働きが低下して現れる。機能回復が期待できる段階で気付けるかが重要になる。認知症手前の軽度認知障害（ＭＣＩ）にある時に、予防や治療に取り組むのが望ましい。 ＭＣＩは日常生活に支障はないが、「昔はそんな人ではなかった」と思う行動が出る。物忘れだけでなく人柄の変化もポイント。頑固になったり周囲への配慮が減ったり、外出や入浴を面倒がるのも黄信号とされる。他にも嗅覚の低下は記憶を担う海馬が衰えている可能性がある。歯もかみ合わせが悪かったり歯周病を放置したりすると、認知症リスクが高まる。 ただ高齢者の意欲低下は認知症ではなく、うつの可能性もある。頭やおなか、足など体の痛みなどがあり、病院を回っても原因が分からなければ、うつも念頭に専門医を訪ねてほしい。 世界保健機関（ＷＨＯ）は、認知機能低下を防ぐ１２項目のガイドラインを定めている。まず定期的な有酸素運動。１日４０分のウオーキングなどを週３回、１年続けると、脳の会話や記憶をつかさどる部分が２％増えたとの報告がある。 禁煙は長年続けないと効果がないと思いきや、４年未満でもリスクが低下したとのデータがある。睡眠は夜は５～８時間、昼寝は３０分以内が最もリスクが低い。ただ睡眠時に無呼吸がある人は要注意だ。 趣味でリスクが減ると言われる。わくわくすることを集団で楽しむのが大事。アイドルやタレントの「推し活」もその一つになる。 県内には離島を含め１２カ所の認知症疾患医療センターがある。おかしいなと思ったら、まず専門医に相談を。鹿大病院にある県基幹型認知症疾患医療センターも地域や民間のサービスと手を取り合い、支えていきたい。 南日本新聞 | 鹿児島,[],[]
【速報】B2鹿児島レブナイズ、福岡に連敗　71－84（南日本新聞）,https://news.yahoo.co.jp/articles/68727cefb6fe33c05bf5e6ea7e54ca14f62af1f7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000009-minami-000-1-view.jpg?exp=10800,2024-11-24T15:35:21+09:00,2024-11-24T15:35:21+09:00,南日本新聞,minami,南日本新聞,213,前半、ゴール下に攻め込むレブナイズの伴馬＝鹿児島市の西原商会アリーナ バスケットボールＢリーグ２部（Ｂ２）の鹿児島レブナイズは２４日、鹿児島市の西原商会アリーナで福岡に７１－８４で敗れた。今季成績は１０勝７敗で、２位に後退した。 【写真】前半、相手陣内にボールを運ぶレブナイズの兒玉＝鹿児島市の西原商会アリーナ 次戦は３０日、１２月１日、いちき串木野市のＦアリーナいちき串木野で東地区の山形と対戦する。 南日本新聞 | 鹿児島,[],[]
命がにぎわう島、箱庭に再現しました　動植物150種だけじゃない、岩石もあるよ　世界自然遺産センターが徳之島に完成（南日本新聞）,https://news.yahoo.co.jp/articles/bd5c8c740f3c324db870a82c33cd38c19c407d52,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000008-minami-000-1-view.jpg?exp=10800,2024-11-24T15:03:21+09:00,2024-11-24T15:03:21+09:00,南日本新聞,minami,南日本新聞,498,徳之島の森を再現したコーナー＝２２日、徳之島町花徳の徳之島世界遺産センター 環境省は２２日、「徳之島世界遺産センター」（鹿児島県徳之島町花徳）の報道関係者向けの内覧会を開いた。「奄美・沖縄」の世界自然遺産の価値を伝え、保全活動に向けた拠点施設を目指す。１２月２２日にオープンする。 【写真】〈関連〉徳之島の岩石を実物展示するコーナー＝２２日、徳之島町花徳の徳之島世界遺産センター 剥製や標本の動植物約１５０種を「いのちのにぎわい箱庭」コーナーに展示し、森を再現。大型モニターの「徳之島を旅してみよう」コーナーはタッチパネルで操作し、３６０度の眺望を楽しめる。島内のさまざまな地質や岩石の実物も展示する。 日本語や英語、中国語など４言語に対応する。ソファやテラス席でくつろげ、子連れでも楽しめるスペースを設けた。 施設は木造平屋、延べ床面積４４９平方メートル、総事業費８億２８５０万円。島中央部の幹線道路沿いで「道の駅」に隣接する。オープンに先立ち２１日、記念式典がある。 「奄美・沖縄」では、２０２２年７月に開館した奄美大島世界遺産センター（奄美市住用）に次いで２施設目。 南日本新聞 | 鹿児島,[],[]
【速報】バレーVリーグ男子・フラーゴラッド鹿児島 2連勝　大同特殊鋼をストレートで破る（南日本新聞）,https://news.yahoo.co.jp/articles/8756e4a9e3ecae6f212a8d54e0dc235cae71dc01,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000007-minami-000-1-view.jpg?exp=10800,2024-11-24T14:45:25+09:00,2024-11-24T14:45:25+09:00,南日本新聞,minami,南日本新聞,242,第３セット、速攻を打つＦ鹿児島の藤原＝都城市早水公園体育文化センター バレーボールＶリーグ男子西地区のフラーゴラッド鹿児島（Ｆ鹿児島）は２４日、都城市の早水公園体育文化センターで大同特殊鋼知多レッドスターと戦った。３－０（２５－１６、２５－２２、２５－１８）で２連勝し、リーグ成績を６勝２敗とした。 【写真】第１セット、スパイクを決めるＦ鹿児島の笠利＝都城市早水公園体育文化センター 次は１２月７、８日、大阪市のフィットネス２１東淀川体育館でクボタと対戦する。 南日本新聞 | 鹿児島,[],[]
ロケット打ち上げ見学の〝その先〟へ…夢かなったら宇宙へのロマンふくらんだ。「将来はJAXA職員になって、発令ボタン係になりたい」（南日本新聞）,https://news.yahoo.co.jp/articles/37d6e83f09f9d4b82583ead7c4939dd30c5b80e9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000006-minami-000-2-view.jpg?exp=10800,2024-11-24T11:47:21+09:00,2024-11-24T11:55:26+09:00,南日本新聞,minami,南日本新聞,411,〈資料写真〉１１月４日、ごう音とともに上昇するＨ３ロケット４号機＝南種子町の種子島宇宙センター 気分はロケット開発者－。鹿児島県南種子町の種子島宇宙センターで２３日、普段は入れない射場などの打ち上げ施設に潜入するスペシャルバスツアーがあった。家族連れらが参加、宇宙へのロマンをかき立てていた。 【写真】〈関連〉Ｈ２Ａロケットの発射管制室を見学する参加者＝２３日、南種子町の種子島宇宙センター 同センターの総面積は約９７０万平方メートル。参加者は、事故時にスタッフの身を守るために地下２階にあるＨ２Ａロケットの発射管制室や退避トンネルを見学したり、Ｈ３ロケットが打ち上げられる射場から空を眺めたりした。 地元の長谷小学校４年久野桃佳さんは「将来はＪＡＸＡ（宇宙航空研究開発機構）の職員になってロケット発射時の発令ボタンを押す係になりたい。実現したい気持ちが強まった」と笑顔。宇宙と同様に夢は無限大だ。 南日本新聞 | 鹿児島,[],[]
艇体はベニヤ張り、先端に爆薬250キロ。海の特攻兵器「震洋」を平和継ぐ語り部に。家族にも触れさせなかった祖父の遺品は、かつて基地があった南の島へ託された（南日本新聞）,https://news.yahoo.co.jp/articles/8f4ac6edc54529da7bb0c93aa383065b35305849,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000005-minami-000-3-view.jpg?exp=10800,2024-11-24T11:23:21+09:00,2024-11-24T11:46:47+09:00,南日本新聞,minami,南日本新聞,845,故藤山益夫さん 鹿児島県瀬戸内町埋蔵文化財センターに、太平洋戦争末期、旧日本海軍が投入した水上特攻兵器「震洋」の１０分の１模型が寄贈された。１９４４（昭和１９）年１１月、同町内に初の震洋隊が配備されて８０年。同センターは「町にこれまで持ち運びできる震洋の模型はなかった。子どもたちの平和学習などに大いに活用させてもらいたい」と喜んでいる。 【写真】〈関連〉寄贈した震洋の１０分の１模型を持つ海田悟史さん＝瀬戸内町埋蔵文化財センター（海田さん提供） 寄贈したのは、姶良市の県職員、海田悟史さん（３０）。模型は、２０２１年に９２歳で亡くなった祖父・藤山益夫さんの都城市山田町の自宅書斎にあった。指揮官が使用した５型で、本物同様のベニヤ製の艇体に、エンジンなど細部も正確に再現されている。 海田さんによると、藤山さんは太平洋戦争中の１９４４年、鹿児島海軍航空隊で甲種飛行予科練習生（予科練）を卒業。福岡・玄海基地を経て、岡山・倉敷で終戦を迎えた。１年余の短い軍歴中、震洋に接点を持つ機会があったとみられる。模型を制作者から託され、家族にも決して触れさせないほど大切にしていた。 藤山さんの死後、祖母の善子さん（９１）から遺品整理を任された海田さんは、模型の精巧な造りに驚き、有効に活用してくれる贈呈先として、三つの震洋隊が進出していた瀬戸内町を選んだ。海田さんは「本物と同じベニヤで作られた艇体に実際に触れてもらうことで、戦争の狂気や悲惨さを知ってもらえれば、祖父も満足だと思う」と話した。 ◇震洋とは 海軍の水上特攻艇。ベニヤ張りで先端に爆薬２５０キロを積み、自動車のエンジン２基で最大速度４０キロを出せた。敵上陸部隊を水際で食い止めるため、体当たり攻撃するのが目的で、１９４４年８月、正式兵器に採用された。終戦時には１１３隊、配備艇は約６２００隻に達した。１型（１人乗り）、５型（２人乗り）の２種あり、５型は全長６．５メートル、幅１．８６メートル、高さ０．９メートル。 南日本新聞 | 鹿児島,[],[]
諏訪之瀬島で噴火2回、噴煙は900ｍまで上がる（南日本新聞）,https://news.yahoo.co.jp/articles/a9536d194f166d4ba54275d7c14698af5a2966df,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241124-00000004-minami-000-1-view.jpg?exp=10800,2024-11-24T08:30:21+09:00,2024-11-24T08:30:21+09:00,南日本新聞,minami,南日本新聞,171,噴煙を上げる諏訪之瀬島の御岳（資料写真） 鹿児島県十島村・諏訪之瀬島の御岳で２３日、午後１１時までに噴煙量が中量以上の噴火が２回あった。福岡管区気象台によると、噴煙の高さは最高９００メートル。大きな噴石は確認されなかった。噴火警戒レベルは２（火口周辺規制） 【写真】〈関連〉諏訪之瀬島など九州の主な火山を地図で確認する 南日本新聞 | 鹿児島,[],[]
