headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
角界入り直前の逸ノ城を破った現職公務員　36歳になっても健在、島内一決定戦を13連覇　相撲に懸ける熱い思い　種子島（南日本新聞）,https://news.yahoo.co.jp/articles/7c729aa69f3183e4efcf6a5c5ddbf129cb2a1d1b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000018-minami-000-2-view.jpg?exp=10800,2023-12-01T20:21:21+09:00,2023-12-02T00:52:40+09:00,南日本新聞,minami,南日本新聞,743,\n一般の部決勝で得意の突き押しを見せる三枝幸太郎さん（中央）＝中種子町野間\n相撲どころの鹿児島県・種子島で、１０年以上無敗の絶対的な「横綱」がいる。西之表市職員の三枝幸太郎さん（３６）。１１月２６日に中種子町であった種子島相撲大会では、腕に覚えのある若手らの挑戦をはね返し、１３大会連続１５度目の優勝を果たした。市内の相撲クラブの監督でもあり、「教え子の前では負けられない」と胸を張った。\n【写真】〈関連〉種子島相撲大会があった中種子町の位置を地図で確認する\n大会を締めくくる一般の部決勝。三枝さんは得意の突き押しで優位な体勢をつくり、最後は相手を豪快につり出し。期待に応える圧倒的な強さを見せ、会場は大歓声に包まれた。\n\n 身長１７６センチ、体重１３０キロ。小学２年で相撲を始め、中学、高校は相撲部がなかった代わりに柔道で鍛えた。種子島高校を卒業し、２００７年に市役所に入ると再び相撲の道へ。県代表に名を連ね、国体をはじめ、多くの全国大会に出場した。\n\n 県内の相撲関係者に知られた逸話がある。１３年の全日本青年選手権で、プロ入り直前だった大相撲元関脇の逸ノ城と対戦。立ち会いから果敢にぶつかり、突き落として勝った。「１９０センチ超えで見上げるほどの大きさ。勝たなければ次に進めず、必死に相撲を取った結果」と振り返る。\n\n 県連盟の女子強化部長を務め、女子相撲の普及にも力を注ぐ。指導する「西ノ海相撲クラブ」では小中学生の女子が３人いる。１０月の全国大会でいずれもベスト８以上の好成績を残した。「国体でも五輪でも男子だけの競技はほとんどない。国技を廃れさせないためにも、自分なりに面白さを伝えていければ」と、教え子たちに温かい目を向ける。\n南日本新聞 | 鹿児島
晴れやかな新年を…正月用縁起物の準備本格化　霧島神宮　三が日の人出は26万人見込む（南日本新聞）,https://news.yahoo.co.jp/articles/dd9f424fd55b9314077e40a8ef8ef49f1d17434d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000019-minami-000-2-view.jpg?exp=10800,2023-12-01T20:33:22+09:00,2023-12-02T00:51:59+09:00,南日本新聞,minami,南日本新聞,419,\n正月用縁起物の準備作業が本格化する霧島神宮＝１日、霧島市\n鹿児島県霧島市の霧島神宮で正月を迎える準備が本格化している。１日はみこ３人が熊手やお守り、来年の干支（えと）「辰（たつ）」の置物などを一つ一つ手に取って検品していた。作業は年明け後も続く。\n【写真】〈別カット〉正月用の縁起物を検品する巫女＝１日、霧島市の霧島神宮\nお守り３２種類１５万個、御神札（おふだ）３万枚、破魔矢類１万２０００本などを用意する。みこ１年目の小林溜奈さん（１８）は「参拝者が気持ちよく新年を迎えられるように完全な状態でお渡ししたい」と気を引き締めていた。\n\n １日は授与所で縁起物の取り扱いも始まった。埼玉県川口市から訪れた藤井明子さん（５４）は紅白弓矢を購入。「玄関に飾って、家族が健康で過ごせるようにお願いしたい」と話した。\n\n 神宮によると、今年の三が日の人出はおよそ２５万５０００人。来年は２６万人を見込む。\n南日本新聞 | 鹿児島
新型コロナ感染者 11週ぶり増加に転じる　インフルは警報発令中、14校で休校や学年・学級閉鎖　鹿児島県内（南日本新聞）,https://news.yahoo.co.jp/articles/0100d22e13b5c525b02f9cdbd9a5853d5b543ce9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000017-minami-000-1-view.jpg?exp=10800,2023-12-01T19:15:22+09:00,2023-12-01T19:15:22+09:00,南日本新聞,minami,南日本新聞,528,\n（写真：南日本新聞社）\n鹿児島県は１日、２０～２６日の新型コロナウイルスの感染者について、県内８９定点医療機関から１９８人の報告があったと公表した。前週より７９人多く、１１週ぶりに増加した。１医療機関当たりの平均感染者は２．２２人だった。\n【写真】〈関連〉保健所別の感染者数が一目で分かる表\n１医療機関当たりの平均感染者を県内１４保健所別に見ると、鹿児島市２．９１人、指宿２人、加世田１．８３人、伊集院１．８人、川薩２．４３人、出水０．８人、大口３．５人、姶良２．２７人、志布志１人、鹿屋１．５人、西之表１．５人、屋久島２．２５人、名瀬３．５人、徳之島２．４人。\n\n 県内の入院患者は１１月２９日午前０時時点で６５人。重症はいなかった。入院患者数に応じた４段階のフェーズ設定は「ゼロ」だった。\n\n インフルエンザの感染者は前週比７０１人増の３０４７人で、６週連続で増加した。県は県内全域を対象とした流行発生警報を１１月３０日に発令している。\n\n １１月２７日～１２月１日に学年・学級閉鎖があったのは鹿児島市、姶良、志布志、西之表、徳之島各保健所管内の小中学校など計１３校だった。休校は川薩の小学校１校だった。\n南日本新聞 | 鹿児島
高病原性鳥インフル、今季初ナベヅルから検出　出水市、防疫レベル最高ランクに引き上げ（南日本新聞）,https://news.yahoo.co.jp/articles/bf36c8028ef3b2cc52ba7f0dac7421a0f89f0e2f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000021-minami-000-1-view.jpg?exp=10800,2023-12-01T21:45:21+09:00,2023-12-01T21:45:21+09:00,南日本新聞,minami,南日本新聞,483,\n〈資料写真〉荒崎休遊地一帯を飛ぶツルの群れ＝出水市荘\n鹿児島県は１日、出水市東干拓地区で１１月２８日に回収したナベヅル１羽の死骸から、高病原性鳥インフルエンザウイルス（Ｈ５Ｎ１亜型）を検出したと発表した。県内の野鳥関連での確認は今季１０例目で、ナベヅルからは初。\n【写真】〈関連〉今後の対策の準備に追われる市職員＝１日、出水市役所\n県自然保護課によると、２８日にナベヅル３羽の死骸を回収。鹿児島大学がウイルス分離検査を実施し、１羽について高病原性と確定した。\n\n このほか県は同市荒崎地区で、１１月２７日に採取した野鳥のねぐらの水からも高病原性鳥インフルエンザウイルス（同）が検出されたとした。荒崎、東干拓地区の計１４カ所で採取。荒崎２カ所の試料について確定した。\n\n ナベヅルでの確認を受け、出水市は独自の防疫対策レベルを最高ランクに引き上げた。２日からは東干拓と荒崎の計３カ所に有人の車両消毒ポイントを設ける。週２回だった車両による路面消毒を毎日実施する。４日は県や商工団体と対策本部会議を開き、今後の対策を確認する。\n南日本新聞 | 鹿児島
「怒り覚える」墜落事故翌日も奄美上空にオスプレイ　「飛行停止、強い態度で国に求めて」 市民団体が知事宛てに要請書（南日本新聞）,https://news.yahoo.co.jp/articles/edb0c976482521197c5cc9cd3998714ef0498128,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000020-minami-000-1-view.jpg?exp=10800,2023-12-01T20:47:22+09:00,2023-12-01T20:47:22+09:00,南日本新聞,minami,南日本新聞,395,\n要請書を手渡す下馬場学代表（左）＝１日、鹿児島県庁\n市民団体「鹿児島に米軍はいらない県民会議」と「県護憲平和フォーラム」は１日、鹿児島県屋久島沖で起きた米空軍輸送機ＣＶ２２オスプレイ墜落事故を受け、国内のオスプレイの飛行停止を求める要請書を鹿児島県の塩田康一知事宛てに提出した。\n【写真】〈関連〉墜落したとみられる機体と同型の米空軍ＣＶ２２輸送機オスプレイ＝２０１８年６月、奄美市の奄美空港\n同フォーラムの下馬場学代表（６８）は、事故翌日の３０日夜に奄美市上空を飛ぶオスプレイを確認したといい、「怒りを覚える。上空を飛ばさないよう強い態度で国に求めてほしい」と要望。磨島昭広事務局長（６７）は西之表市馬毛島で進む自衛隊基地整備に触れ「訓練でどんな飛び方をするのか不安でたまらない」と訴えた。\n\n このほか、事故原因や米軍機の飛行ルートの開示を求めた。\n南日本新聞 | 鹿児島
「長射程ミサイルは9条違反」　宮崎県弁護士会、敵基地攻撃能力に反対声明　首相らへ送る（南日本新聞）,https://news.yahoo.co.jp/articles/4b5873674a4893210161e193ef60b49faa1389c2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000016-minami-000-1-view.jpg?exp=10800,2023-12-01T18:01:27+09:00,2023-12-01T18:01:27+09:00,南日本新聞,minami,南日本新聞,392,\n陸上自衛隊の瀬戸内分屯地に配備されている１２式地対艦誘導弾。政府は、１２式を長射程化する開発を進めている＝奄美市名瀬\n宮崎県弁護士会（永友郁子会長）は３０日、他国領域のミサイル基地などを破壊する反撃能力（敵基地攻撃能力）保有に反対する会長声明を首相や衆参両院議長、主要政党に送ったと発表した。送付は２９日付。\n\n ２９日に成立した２０２３年度補正予算で、政府は反撃能力に使われる国産長射程ミサイルの早期取得費などを盛り込んだ。\n\n 声明では、長射程ミサイルなど相手国の領域に直接脅威を与える攻撃的兵器は憲法９条２項が保持を禁じる「戦力」に該当し、９条に違反すると指摘。\n\n 安保法制にある「存立危機事態」で、集団的自衛権の行使として反撃能力が用いられた場合、「専守防衛」の原則を逸脱する相手国への先制攻撃になる恐れがあることに懸念を示した。\n南日本新聞 | 鹿児島
鹿児島県民なら誰もが知ってる柄、北欧風のガラス食器に！　大正時代から変わらぬパッケージがモチーフ（南日本新聞）,https://news.yahoo.co.jp/articles/e0aadee5de9773867a3dfdece2e797c1212a8011,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000014-minami-000-2-view.jpg?exp=10800,2023-12-01T15:03:21+09:00,2023-12-01T15:39:44+09:00,南日本新聞,minami,南日本新聞,519,\nボンタンアメのパッケージデザインがモチーフのマグカップとボウル\nセイカ食品（鹿児島市）は、企業や自治体とコラボした商品を企画・販売するヒキダシ（東京）と協業し「ボンタンアメ」のパッケージをモチーフにしたデザインの食器を１日から販売する。\n【写真】【別カット】ボンタンアメのパッケージデザインがモチーフのマグカップとボウル\n米国発祥のガラス食器ブランド「ファイヤーキング」のマグカップ（４１８０円）とボウル（４４００円）で、それぞれミルクホワイトとサファイアブルーの２色。フィンランドを拠点にするデザイナー、エリ・シマツカさんがイラストを担当。温かみのある雰囲気が特徴の北欧テイストでボンタンを描いた。\n\n ファイヤーキングジャパン公式オンラインストアと山形屋（鹿児島市）、鹿児島空港（霧島市）で販売する。今後、同じデザインで食器以外も販売する。\n\n ボンタンアメはセイカ食品が１９２５（大正１４）年に発売。同社によると、県外でもＪＲ駅売店や一部スーパーで販売している。ボンタンがイラストから写真になるなど若干の変更はあるが、紺色の背景にボンタンを合わせたパッケージは発売当初からのものだという。\n南日本新聞 | 鹿児島
冬のボーナス、どう使う？　最多「生活費の補填」に続き20～50代が選んだ使い道とは（南日本新聞）,https://news.yahoo.co.jp/articles/edaf7a22d8fdb49dcb876921d392a123b92b7404,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000015-minami-000-1-view.jpg?exp=10800,2023-12-01T17:28:21+09:00,2023-12-01T17:28:21+09:00,南日本新聞,minami,南日本新聞,764,\n鹿児島銀行本店ビル＝鹿児島市金生町\n鹿児島銀行と九州経済研究所（ＫＥＲ）は３０日、冬のボーナスの使い道の調査結果をまとめた。「貯蓄・資産形成」が４９．５％で今年夏の調査と比べ７．２ポイント増と大きく伸びた。ＫＥＲは「２０２４年１月から新ＮＩＳＡ（少額投資非課税制度）が始まる。将来への不安から資産形成を目指す人が増えているのでは」とみる。\n\n 最も多かったのは「生活費の補填（ほてん）」が６８％（１．６ポイント減）。「ローン返済」は２７％（４．８ポイント減）、「旅行・レジャー費」が２１．７％（２．８ポイント減）。物価高を背景に財布のひもは固いようだ。\n\n 年代別では、１０代を除く全年代で「生活費の補填」がトップ。２０～５０代は「貯蓄・資産形成」が２位で、６０代以上は「交際費」が２位だった。\n\n 調査は２０２３年１０月下旬、南日本新聞社のインターネット調査「みなみアンケート」で実施。６００人が回答した。\n\n◇ボーナス額伸び悩み\n\n 鹿児島銀行と九州経済研究所（ＫＥＲ）は３０日、県内企業の２０２３年冬のボーナス支給計画の調査結果を発表した。「支給する」企業は前年比１ポイント増の８０％だった。賞与支給に前向きな企業は多いが、支給額の増加率では、前年に約半数を占めた「５％以上」の企業が２５％に低下。物価高や人件費増を背景に増加率は伸び悩んだ。\n１人当たりの平均支給額は「前年並み」が６４％。「増やす」は４ポイント増の２８％。うち「１～３％未満」が３９％で最多。「５～１０％未満」が１４％、「１０％以上」が１１％。増加の理由は、「社員の意欲向上」が４ポイント増の６８％、「業績が向上」が１０ポイント減の２８％だった。\n\n 調査は１０月下旬に実施。３１４社が回答した。\n南日本新聞 | 鹿児島
墜落の米軍オスプレイ、エンジンから出火か　専門家「聞いたことない」　演習頻発で事故の連鎖懸念（南日本新聞）,https://news.yahoo.co.jp/articles/aa5fecfbaf12cdd421c682d33dd266ce9d22df2b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000012-minami-000-1-view.jpg?exp=10800,2023-12-01T12:05:26+09:00,2023-12-01T12:05:26+09:00,南日本新聞,minami,南日本新聞,1063,\n墜落したとみられる機体と同型の米空軍ＣＶ２２輸送機オスプレイ＝２０１８年６月、奄美市の奄美空港\nエンジンが炎上し、回転しながら落下した－。米軍輸送機オスプレイが鹿児島県の屋久島沖で墜落した２９日の事故について、専門家らは「エンジンから火を噴いて墜落したのは初めてではないか」とし、老朽化で連鎖する可能性を危惧する。１人が死亡し７人が行方不明になっているのは世界で頻発するオスプレイ事故でも異例。米軍の法的な特権を認めた日米地位協定の壁を念頭に第１０管区海上保安本部は手探りの対応を迫られている。\n【写真】【表】オスプレイによる鹿児島県内空港への緊急着陸が一目で分かる\nオスプレイは２０１２年に国内配備。以降、海外を中心に事故が続く。航空評論家の青木謙知さん（６８）は「機体を調べないと原因は分からないが、エンジン故障による可能性が高い。オスプレイの事故では聞いたことがない」。何らかの理由で機体が傾くと、エンジンに空気が入らず発火することもある。大破した残骸から「操縦する余裕がなく、切羽詰まった状況で高い上空から落ちたのでは」と推測した。\n\n 事故機は墜落直前、屋久島空港に緊急着陸しようとした形跡がある。防衛省によると、過去５年にオスプレイが国内の民間空港に危険を未然に防ぐために予防着陸したのは、緊急を含め２４回。県内は半数超の１３件で、全て奄美群島だった。\n\n 沖縄国際大の前泊博盛教授（安全保障論）は米軍演習が頻発する現状に「過剰な使用でエンジンの摩耗が進み、事故は起きる環境にあった」と強調する。「整備を見直さなければ連鎖するだろう」\n\n 国内での米軍機事故を巡っては、米軍が日米地位協定を盾に日本の捜査を拒むケースが繰り返されてきた。１６年に沖縄県名護市沿岸部でオスプレイが大破した事故では、米軍が海上保安部の捜査協力に応じず、機長が特定されないまま書類送検された。\n前泊教授は地元漁協が機体の回収に関与していることに触れ、「米軍は本来、残骸も財産として回収するのだが」と首をかしげる。\n\n 「全てが手探りだ」。前代未聞の事態に１０管関係者は嘆く。民間機の場合、搭乗員の名簿による人物特定なども海保側が主導。今回は名前や性別の情報さえない。ある幹部は「できることに限界がある」と話す。\n\n 一方、防衛省によると、オスプレイのエンジンには一般の航空機と同様に放射性物質が使われている。木原稔防衛相は３０日、「人体や環境への影響は問題ないレベルだ」と述べた。\n南日本新聞 | 鹿児島
屋久島沖オスプレイ墜落、米軍が現場海域の捜索開始　ゴムボート2隻で出発「海保と連携して調査予定」（南日本新聞）,https://news.yahoo.co.jp/articles/08425d6ad03cfd6f8cabee5ac082f456e9ca2ac0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000013-minami-000-1-view.jpg?exp=10800,2023-12-01T13:05:30+09:00,2023-12-01T13:05:30+09:00,南日本新聞,minami,南日本新聞,592,\nゴムボートで安房港を出発する米軍関係者＝１日午前１０時、屋久島町安房\n鹿児島県屋久島沖の米空軍輸送機ＣＶ２２オスプレイの墜落事故で、米軍の調査チームは１日午前１０時すぎ、屋久島町の安房港を出発し、捜索を始めた。事故発生後、米軍が上空以外から現場を調査するのは初めてとみられる。\n【写真】ゴムボートにエンジンを取り付ける米軍関係者＝１日午前９時半、屋久島町安房の安房港\n発動機付きのゴムボート２隻に計９人が分かれて乗り、墜落現場周辺の海域に向かった。チームの１人、デイビッド・ストーン曹長は報道陣に「陸軍と空軍の混成メンバー。昨日、沖縄から屋久島に入った。海上保安庁と連携して調査する予定だ」と話した。\n\n 正午までに、同町の屋久島空港には米軍の輸送機やヘリコプターが次々と着陸した。\n\n 第１０管区海上保安本部や自衛隊は２４時間態勢で捜索を続けている。１０管はこれまで水中音波探知機（ソナー）を使い、沖合で複数の隆起を確認。潜水作業に当たる特殊救難隊を投入して確認を急いでいる。操縦席などの機体主要部だった場合、内部に搭乗員が取り残されている可能性がある。フライトレコーダーは見つかっていない。\n\n １日早朝も現場海域で複数の艦船や潜水士を確認できたが、風が強く波も高いため小型の船は展開しにくい状況という。同日は漁船による捜索はない。\n南日本新聞 | 鹿児島
「危険極まりないオスプレイ 全面撤去を」 共産党鹿児島県委員会、知事へ要請　県民連合も飛行中止求める（南日本新聞）,https://news.yahoo.co.jp/articles/8fcefaf87f2566c61620a08b4f389142f5133ec1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231201-00000011-minami-000-1-view.jpg?exp=10800,2023-12-01T11:38:21+09:00,2023-12-01T11:38:21+09:00,南日本新聞,minami,南日本新聞,401,\n墜落したとみられる機体と同型の米空軍ＣＶ２２輸送機オスプレイ＝２０１８年６月、奄美市の奄美空港\n鹿児島県屋久島沖で起きた米空軍輸送機ＣＶ２２オスプレイ墜落で、共産党鹿児島県委員会は３０日、オスプレイの全面撤去などを求める文書を塩田康一知事宛てに提出した。県議会会派の県民連合も国内での飛行中止などを要請した。\n【写真】【地図】オスプレイ墜落現場と残骸が見つかった地点を確認する\n県委員会の松崎真琴副委員長は「危険極まりない構造的欠陥のある航空機。上空を飛ぶと県民の命を危険にさらすことになる」と指摘。米軍が事故原因の究明結果と訓練内容を公表するよう国に要請することを申し入れた。\n\n 県民連合の福司山宣介会長は「一歩間違えば人家に落ちかねず、さらなる大惨事を招いていた」と強調。知事として、米軍、防衛省に原因究明やオスプレイの飛行ルートを全面開示するよう求めた。\n南日本新聞 | 鹿児島
