headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
出水平野で“つくし”あちこちに　長さ２０センチに成長「春はそこまで」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/d656b33d308a67aba864dc622010fea126cac819,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069944-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-15T19:33:00+09:00,2024-02-15T19:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,340,\nMBC南日本放送\n出水平野では今、田んぼの土手などあちこちでつくしが顔を出しています。\n\n住民によりますと、暖かい日が続いたせいか、例年より成長がはやく、長さ２０センチほどまで育ったものもありました。出水平野では、北帰行をはじめたツルとともに、春の訪れを感じさせる風景が広がっています。\n\n（近くの住民）「はやいですね、大きくなってますね。春がそこまで来ているんだなと感じる」\n\n県内は、南から暖かく湿った空気が流れ込み、１５日の最高気温は、奄美市で２４．７度、西之表市で２２．２度、鹿児島市でも２１．３度など、各地で４月並みの暖かさとなりました。\n\n１６日・１７日は少し気温が下がるものの、平年より暖かい日が続く見込みです。\nMBC南日本放送 | 鹿児島,[],[]
「口論になって腹が立った」女性に馬乗りになり大けがさせた疑い　作業員の男（５５）逮捕　鹿児島県警（MBC南日本放送）,https://news.yahoo.co.jp/articles/9882f13d5d67de6092ad3a4d3aa9e3090b745bb2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069945-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-15T19:32:00+09:00,2024-02-15T19:32:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,331,\n面識のある６０代の女性に馬乗りになって暴行し、胸の骨を折る大けがをさせた疑いで、５５歳の男が逮捕されました。\n\n傷害の疑いで逮捕されたのは、奄美市名瀬久里町の作業員・谷村利彦容疑者（５５）です。\n\n鹿児島県警によりますと、谷村容疑者は１５日午前０時前、県内に住む６０代の女性の自宅で、女性に馬乗りになるなどの暴行をくわえ胸の骨を折る大けがをさせた疑いがもたれています。女性は全治およそ１か月の重傷です。\n\n谷村容疑者は当時、酒を飲んだ状態で、女性とは面識があったということです。取り調べに対し谷村容疑者は容疑を認め「口論になって腹が立った」と話しているということです。\n警察が詳しい経緯や動機などを調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069945-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/9882f13d5d67de6092ad3a4d3aa9e3090b745bb2/images/000']
鹿児島市がマイナンバーカード２枚紛失　キャビネット内保管　フォルダごと捨てたか（MBC南日本放送）,https://news.yahoo.co.jp/articles/79d8a069e8079e35427ab6afdb1e74168d7a9cc4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069943-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-15T19:30:00+09:00,2024-02-15T19:30:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,475,\nMBC南日本放送\n鹿児島市は１５日、市役所内で保管していたマイナンバーカード２枚を紛失したと発表しました。\n\n鹿児島市によりますと紛失したマイナンバーカード２枚は、去年４月に国から鹿児島市に届いたものの一部で、対象者が受け取りに来なかったため、市役所内のカギの付いたキャビネットで管理していました。\n\n今月６日に受け取りを勧める通知を対象者に送る際にキャビネットに保管されていたおよそ１９００枚のうち２枚がなくなっていることに職員が気づき、関係場所を探したものの見つからなかったということです。\n\n市によると担当職員が、複数のマイナンバーカードを入れているキャビネット内の厚紙製のフォルダが空になったと思い、２枚のカードが残っているのに気づかず、フォルダごと捨てた可能性が高いとしています。対象者には連絡が取れ次第、謝罪するとともに再交付や番号変更などの対応を行うとしています。\n\n鹿児島市は「フォルダの廃棄手順を決めるとともに、フォルダを透明なものにするなど再発防止を徹底したい」としています。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島信用金庫の職員（２９）逮捕　顧客の通帳で３５万円引き出した疑い（MBC南日本放送）,https://news.yahoo.co.jp/articles/80c3473a6cf54360549ccffd2f38bb34f2ba451f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069941-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-02-15T19:23:00+09:00,2024-02-15T19:24:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,518,\nMBC南日本放送\n鹿児島信用金庫の職員の男が、顧客の通帳を不正に使い、現金３５万円を引き出した疑いで逮捕されました。\n\n窃盗の疑いで逮捕されたのは、鹿児島信用金庫の職員で、霧島市国分中央６丁目に住む前田塁容疑者（２９）です。\n\n警察や鹿児島信用金庫によりますと、前田容疑者は今月３日、鹿児島信用金庫国分支店のＡＴＭで、顧客の女性の通帳を使って３５万円を引き出した疑いがもたれています。\n\n女性が通帳をなくして再発行した際に見覚えのない引き出しがあったことから発覚しました。取り調べに対し前田容疑者は容疑を認めているということです。\n\n鹿児島信用金庫によりますと前田容疑者は牧園支店に勤務し、営業を担当していました。内部調査に対し、「引き出した金はギャンブルや借金返済にあてた」と話しているということです。\n\n鹿児島信用金庫の市川博海理事長は「事件を厳粛に受け止め、内部管理体制の充実・強化に取り組む」とコメントしています。\n\n鹿児島信用金庫では２０２１年、職員が客の預金を無断で解約したり、預かった金を着服したりするケースが相次いで発覚し、４人が懲戒解雇処分となっています。\nMBC南日本放送 | 鹿児島,[],[]
桜島で１４日夜噴火　４年ぶりに噴煙５０００メートル超　鹿児島地方気象台「噴火警戒レベルの範囲内」（MBC南日本放送）,https://news.yahoo.co.jp/articles/9b1f23d5a5cb9fa21314c1f9467ceda5f56ccba7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069942-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-02-15T19:26:00+09:00,2024-02-15T19:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,510,\nMBC南日本放送\n桜島は１４日夜の噴火で、４年ぶりに噴煙が火口から５０００メートルまで上がりました。\n\n火口から噴煙とともに噴き出すオレンジ色の火柱。噴石が飛んでいるのも確認できます。\n\n１４日午後６時３３分、桜島の南岳山頂火口で爆発的噴火が発生しました。噴煙は５０００ｍまで上がり、大きな噴石が火口から１．３キロの５合目まで飛散。灰は火口から北東に流れました。桜島で噴煙が５０００ｍを超えたのは２０２０年８月以来です。\n\n（記者）「５０００ｍ超える高さの噴煙が観測されたが街に大きな変化はない」\n\n（鹿児島市民）「なんか臭いなと思い。においがしたから噴火したかもねと話していた」\n\n桜島での噴火は２０１５年には１２００回を超えていましたが、去年、おととしは２００回余り、今年は６回と減少傾向です。桜島では噴火警戒レベル３の入山規制が継続中で、１５日は午後５時時点で噴火は確認されていません。\n\n気象台は、「レベル３の活動の範囲内で顕著な山体膨張は確認されていない」とした上で、火口からおおむね２キロの範囲で大きな噴石や火砕流に警戒するよう呼びかけています。\nMBC南日本放送 | 鹿児島,[],[]
“午前５時間授業・１コマ４５分→４０分”大幅な時間割改革のワケは？課題は？　鹿児島市立広木小学校（MBC南日本放送）,https://news.yahoo.co.jp/articles/9748aee4e1f3732189ef93fb23e5ec97d77f7b5d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069938-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-15T19:14:00+09:00,2024-02-15T19:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1977,\nMBC南日本放送\n小学校の授業は午前中に４時間目まで、午後から５時間目が一般的ですが、鹿児島市の小学校で午前中に５時間目まで授業を行うという、思い切った取り組みが始まっています。どうしてなのか？その理由や狙いを取材しました。\n\n全校児童７２０人。鹿児島市の広木小学校です。５時間目が始まりましたが、時刻は…まだ正午前。一般的に５時間目は給食や昼休みのあとですが、広木小では先月から午前中におこなっています。\n\n去年１２月までの時間割と比べると、午前の授業は４コマから５コマに。時間は５分ずつ短くなりました。\n\n（松元義人教諭）「５分短くなったので何を教えるかという内容をしっかり持たないといけない。子どもの活動を増やせるよう工夫をしている」\n\nタブレットも有効に使い、資料配りや質問・発表に使っていた時間を少しでも省きます。\n\n（松元義人教諭）「（データ上で）子ども同士が直接やりとりもできるので助かる。４５分よりも子どもの集中力が増す、やる気が高まっている」\n\n（小学生）「（Ｑ．午前５時間授業は？）おなかが空く」「（Ｑ．集中力は？）高まる」\n\n１コマ５分短縮ですが、学校独自の学習の時間をつくり、子どもたちが１年間に必要な授業時間は従来通り確保できています。\n\n（池浦也寸志校長）「教職員が働きやすい職場、働き甲斐を感じられる職場にする」\n\n改革の理由のひとつが教職員の長時間労働です。県の調査では、およそ７６００人いる公立小学校の教職員のうち、国が上限とする月４５時間を超えて残業をした人は、全体の１９％、１４００人余り。全体の１．６％は過労死基準とされる８０時間をオーバーしています。\n\n（池浦也寸志校長）「子どもが４時くらいに帰ると勤務時間は４５分しか残されていない。そこからあすの準備をして帰るのは難しい」\n\nこちらは６年生の水曜日の時間割です。教職員の勤務時間は午前８時１５分から午後４時４５分。改革前、子どもたちは午後３時５０分に下校でしたが、現在は授業の５分短縮に加え、朝読書の廃止や６時間目を別の日に移すなどして下校時刻は午後２時３５分に。\n\n教職員が教材研究などに充てる放課後は５５分から２時間１０分と、倍以上に増えました。学校の調査では、教員全員（２８人）が新しい時間割の方が「よい」と回答しました。\n\n（松元義人教諭）「公務の教材研究の時間も増えるので、ありがたい。すごく働きやすくなっている」\n\n同じ取り組みはすでに横浜市などがおこなっていて、国も「授業短縮で生まれた時間を各校が自由に使い、学校ごとの課題に応じた指導をしてほしい」としています。\n\n広木小学校は週に４日、３０分間の「シン広木タイム」として、学習の定着をはかる時間にしました。タブレットを使う子やプリント学習をする子など、それぞれが課題に取り組んでいます。\n\n学校の調査では、子どもたちの８４％が「新しい時間割になってよかった」と回答。\n\n（小学生）「帰る時間が早くなるから別にいい」「放課後宿題をする余裕が増える」\n\n一方、「改革前がよかった」と回答した理由の多くは、昼休みについてです。これまで４５分あった昼休みは、「あおぞらタイム」として２５分に短くなりました。\n\n（小学生）「遊ぶ時間も短いし、掃除の時間も短くなっていろいろ大変」「（４５分の）昼休みのほうがいっぱい遊べる」\n\n学校では昼休みが短くなった分、体育館を開放したり竹馬や一輪車の貸し出しを実施。児童らも工夫して遊んでいます。\n\n（小学生）「昼休み短いから目一杯遊ぶぞと思って、いっぱい遊ぶようになった」「一輪車とかも遊べるようになったから、こっちの方が楽しく遊べる」\n\n（あおぞらタイム実行委員会６年生）「この辺一帯はサッカーで遊ぶゾーン、この辺はドッジボールという感じで決めた」\n\n一方で、課題も見えてきました。それは、最大で７５分早まる下校時刻です。\n\n（池浦也寸志校長）「共働きの人もいる。帰ったら家で一人ということで、心配という人も」\n\n保護者からは「仕事もある中、子どもの帰宅時間が早まると困る」など、時間割変更への否定的な意見がおよそ７０件あったといいます。\n希望する児童には、従来の下校時間まで学校に残り宿題などをできるようにしています。\n\nただ、この対応を続けるのでは、改革になりません。長くなった放課後のより良い過ごし方を検討中です。\n\n（池浦也寸志校長）「子どもにとって不都合・不利益なものであれば、やってはいけない。双方にとって良いと思われることはやり続け改善し、広がっていけば」\n\n教育現場の新しい試みは続きます。\nMBC南日本放送 | 鹿児島,[],[]
現役東大生が教えます！　進路・勉強法・大学生活　種子島の中学校で交流授業（MBC南日本放送）,https://news.yahoo.co.jp/articles/9a4e7f7f4699d05db5fd8d02a6b5826b67d25ad3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069937-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-15T19:12:00+09:00,2024-02-15T19:12:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,700,\nMBC南日本放送\n種子島の中学生が１５日、島を訪れている現役の東大生と交流し、進路選びや勉強法を学びました。\n\n鹿児島県西之表市の種子島中学校で授業をしたのは、東京大学と大学院の学生１２人です。\n\nこの交流授業は、西之表市と東京大学が協力して、島の中学生が卒業後の進路を考えるためのキャリア教育の一環として毎年行っているものです。\n\n１５日は中学１・２年生およそ２４０人を対象に、医学部や工学部などで学ぶ現役の東大生が「東大生のキャリアデザイン」をテーマに話しました。\n\n受験勉強での苦労や大学生活での楽しいところ、今後の進路選びで考えてほしいことなどを自身の経験を交えて伝え、中学生からは苦手な勉強方法などについて質問が相次ぎました。\n\n（中国から留学している東大生）「日本の離島がどんな感じか知りたかった。日本の中学生と接する機会がないので、かわいかった」\n\n（祖父が中種子町在住の東大生）「種子島のことを話すと笑顔で答えてくれて緊張が和らいだ。種子島では都会の部分など知らないと思うので、よい機会になれば」\n\n（中学２年生）「最初は頭が良い人が集まっていて手が届かない場所だと思っていた。自分が進みたいと思っている道にゆっくりでも達成できたらいい、という考えがいいと思った」\n\n（中学２年生）「後悔しない選択をするという言葉が印象に残った。２人の言葉を心にとめて行動していきたい」\n\n東大生はあす１６日、島の高校生にも授業を行います。あさって１７日まで種子島に滞在し、Ｈ３ロケット２号機の打ち上げなどを見学する予定です。\nMBC南日本放送 | 鹿児島,[],[]
Ｊ２開幕を前に　鹿児島ユナイテッドＦＣが知事を表敬訪問　スタジアム整備については…（MBC南日本放送）,https://news.yahoo.co.jp/articles/f2d23733ba54ad210b6419d44009a8be095897cd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069933-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-15T19:02:00+09:00,2024-02-15T19:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,562,\nMBC南日本放送\n５年ぶりのＪ２に挑む鹿児島ユナイテッドＦＣの選手や監督らが、シーズンの開幕を前に１５日、県庁を訪れ、活躍を誓いました。\n\n県庁を訪れたのは、鹿児島ユナイテッドＦＣの徳重剛代表と、大島康明監督、木村祐志キャプテンの３人です。\n徳重代表は、塩田知事にチーム状態やＪ２の現状を報告し、選手らのサイン入りユニホームや写真などを贈りました。\n\n（徳重代表）「楽しみでもあるが、厳しい戦いになると予想している」\n（塩田知事）「レベルも高いから、それを上回って頑張って」\n\n知事に抱負を聞かれた木村選手は「頑張ります」と笑顔で応えました。\n\n（徳重代表）「厳しい戦いが待っている。去年からのチームの積み上げがどこまで通用するか、楽しみも感じている。現実的に１５位以上を目指し、そして虎視眈々と上位６位以内（Ｊ１昇格プレーオフ圏内）を目指す」\n\nまた、鹿児島市が整備を進めるスタジアムについて、下鶴市長が北ふ頭案を白紙に戻したことについては…。\n\n（徳重代表）「北ふ頭の断念は大きな決断だったと思う。今後は県と市が候補地を一緒に探すという報道も見たので、改めて前に進む期待もある」\n\nユナイテッドＦＣのＪ２開幕は今月２５日、アウェーで群馬と対戦します。\nMBC南日本放送 | 鹿児島,[],[]
焼き芋だけじゃない！今度はマグマ桜島大根電車　大根音頭にクラフトビール（MBC南日本放送）,https://news.yahoo.co.jp/articles/58b62f57089e1fb094ed64c2268499977c19d4e7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069936-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-15T19:09:00+09:00,2024-02-15T19:09:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,715,\nMBC南日本放送\nやきいもを味わいながら鹿児島市電で巡る人気イベント、「マグマやきいも電車」が現在運行中ですが、１５日はこちら。コラボ企画「マグマ桜島大根電車」が１日限定で鹿児島市を走りました。\n\n「マグマ桜島大根電車」は、鹿児島市の魅力を味わいながらまちを巡る体験型路面電車「マグマやきいも電車」と共に鹿児島の冬を盛り上げようと今回はじめて企画されました。\n\n１５日正午と午後６時発の２便限定で、鹿児島市交通局から鹿児島駅まで行って折り返すおよそ１時間のルートで運行しました。\n\nマグマコラボ電車の第一弾「マグマ桜島大根電車」は、市内の企業から提案のあった中から選ばれた企画で、その魅力を知ってもらおうと生産農家らがＭＣを担当。\n\n市電に乗った人たちは桜島大根音頭が流れる車内で、「大根三昧弁当」を食べながら桜島大根を使ったクラフトビールを楽しんでいました。そしてお土産も・・・\n\n（参加者）「家に帰っても桜島大根を食べられる」\n\nまさに桜島大根尽くし！参加者はダイコン愛が溢れる空間を堪能していました。\n\n（参加者）\n「食べるものも飲むものも、両方桜島大根で満喫した。（Ｑプログラムで楽しかったのは？）桜島大根音頭かな？一緒に踊ったりするのが一体感が出て、初めての方ばかりだったけど楽しかった」\n\n（参加者）「農家さんの話を聞けたのが楽しかった、食べてるものがどうやって作られているのかが伝わってきて、とてもよかった」\n\n１６日は、コラボ電車の第二弾として「マグマ深海魚電車」、そして１８日は、第三弾の「マグマミュージック電車」も運行される予定です。\nMBC南日本放送 | 鹿児島,[],[]
かごしま景観大賞に脇本海岸保護に取り組む団体　ウミガメの産卵場所確保も（MBC南日本放送）,https://news.yahoo.co.jp/articles/7600d2b241b00df6dc12c8cb747480b4e9bad2ef,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069934-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-15T19:05:00+09:00,2024-02-15T19:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,429,\nMBC南日本放送\nかごしま景観大賞の表彰式がありました。大賞に輝いた団体の活動の始まりは、犬の散歩からでした。\n\nかごしま景観大賞は、景観づくりに取り組む人や団体を表彰するもので、今年度の大賞には、阿久根市で活動するＮＰＯ法人、脇本海岸ウミガメ・シロチドリ会が選ばれました。\n\n海岸沿いに住む大川内良一理事長は、毎日犬と散歩する海岸をきれいにしたいと、およそ２．５キロにわたる海岸でゴミ拾いや落書きを消す活動を続けています。ウミガメの産卵場所の確保への取り組みも評価されました。\n\n（脇本海岸ウミガメ・シロチドリ会 大川内良一理事長）「個人的には２３年。ＮＰＯとしてはまだ日が浅いけど、継続していく中で大賞もらったことはご褒美。糧にして、またこれからも頑張りたい」\n\n優秀賞には、いちき串木野市の「登山道のある岬・羽島崎」の山根史朗さん、薩摩川内市の「武家屋敷群入来麓地区」の入来花水木会が選ばれました。\nMBC南日本放送 | 鹿児島,[],[]
他人の通帳で現金を引き出した疑い　鹿児島信用金庫の職員を逮捕（MBC南日本放送）,https://news.yahoo.co.jp/articles/58e08abe033dd9d64b935ca0e4046c296312f381,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240215-00069930-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-15T16:14:00+09:00,2024-02-15T16:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,429,\nMBC南日本放送\n鹿児島信用金庫の職員の男が、他人の通帳を不正に使い、現金３５万円を引き出した疑いで逮捕されました。\n\n窃盗の疑いで逮捕されたのは、鹿児島信用金庫の職員で、霧島市国分中央６丁目に住む前田塁容疑者（２９）です。\n\n警察によりますと前田容疑者は今月３日、鹿児島信用金庫国分支店のＡＴＭで、面識のある女性の通帳を使って３５万円を引き出した疑いがもたれています。女性が通帳をなくして再発行した際に見覚えのない引き出しがあったことから発覚しました。取り調べに対し前田容疑者は容疑を認めているということです。\n\n鹿児島信用金庫によりますと前田容疑者は牧園支店に勤務し、営業を担当していました。内部調査に対し、「引き出した金はギャンブルや借金返済にあてた」と話しているということです。\n\n鹿児島信用金庫の市川博海理事長は「事件を厳粛に受け止め、内部管理体制の充実・強化に取り組む」とコメントしています。\nMBC南日本放送 | 鹿児島,[],[]
