headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「鹿児島市や港湾関係者と連携を」　検討委員会が塩田知事にゾーニング案を提出（MBC南日本放送）,https://news.yahoo.co.jp/articles/39a9fdafbab3126621d06825776e2ba2f649b8da,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069695-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-31T19:22:00+09:00,2024-01-31T19:22:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,858,\nMBC南日本放送\n鹿児島港本港区の利活用について話し合う県の検討委員会の北崎委員長が、どのエリアにどのような役割を持たせるのかをとりまとめたゾーニングの案を塩田知事に提出しました。\n\n（検討委員会 北崎浩嗣委員長）\n「着実に本港区のまちづくりを行っていただきたい。よろしくお願いします」\n\n鹿児島港本港区の利活用について話し合う県の検討委員会は、８回の会合を経て今月２４日、ゾーニングの案をとりまとめました。\n\nまとまった案では、ドルフィンポート跡地は、県が計画している新たな総合体育館・スポーツコンベンションセンターを建設し、にぎわいの核として「県民が親しむエリア」とし、住吉町１５番街区は会議施設などを想定した「交流・観光エリア」に、\n鹿児島市がサッカースタジアム整備を目指す北ふ頭は、「集客力を持ち中心市街地と相乗効果もたらすエリア」とされ、整備の可能性は残されました。\n\n３１日、ゾーニング案を提出した北崎委員長は、今後、案に基づいて行うまちづくりについて、鹿児島市や港湾関係者と連携しながら進めていく重要性を指摘しました。\n\n（県の検討委員会 北崎浩嗣委員長）\n「港湾なので、交通事情とか港湾の仕事と十分に連携しないと前に進まない」\n\n（県の検討委員会 北崎浩嗣委員長）\n「これから具体的な施設や整備にとりかかるが、（ゾーニング）案の中にいろんな県民の意見が盛り込まれているので、それを生かしてほしい」\n\n（塩田知事）\n「この地域は港湾の機能が有しているので、県内全体を見渡したうえで、物流やにぎわいの機能を、どう整備していくかという観点が必要。まちづくりに向けて、鹿児島市や関係団体とも協議しながら、より良いまちづくりに取り組んでいきたい」\n\n県はゾーニング案について、来月１日から３月１日までパブリックコメントを行い、県民の意見を募ったうえで、今年度中に正式に策定する見通しです。\n\n※北崎委員長の「崎」は「たつさき」\nMBC南日本放送 | 鹿児島,[],[]
立民・川内博史氏が衆院比例九州で繰り上げ当選の可能性（MBC南日本放送）,https://news.yahoo.co.jp/articles/6530739d03830de64b16b55d6382585fab0c3ebe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069696-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-31T19:26:00+09:00,2024-01-31T19:26:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,451,\nMBC南日本放送\n立憲民主党の元衆議院議員、川内博史さん（６２）が、衆議院比例九州で繰り上げ当選する可能性が出てきました。\n\n自民党派閥の政治資金パーティを巡る裏金事件では、長崎３区選出の谷川弥一衆議院議員が政治資金規正法違反で略式起訴されて議員辞職しました。\n\nこれを受けて行われる４月２８日投開票の補欠選挙に立憲民主党の比例九州の議員が出馬することから、九州比例名簿で次点だった川内さんに、繰り上げ当選する可能性が出てきたものです。\n\n川内さんは２０２１年の衆議院議員選挙で鹿児島１区から立候補しましたが、自民党の宮路拓馬さんに破れて比例での復活もなりませんでした。\n\n（立憲民主党 川内博史氏）\n「このままもし決定するとすれば、鹿児島のみなさんのために全力を尽くして政治を変えるために頑張りたい」\n\n九州比例の議員が辞職届は出さないことから補欠選挙への立候補で自動失職となれば、選挙会を経て川内さんの繰り上げ当選が決まることになります。\nMBC南日本放送 | 鹿児島,[],[]
「今年こそは笑って昇格を」Ｊ２清水エスパルスが鹿児島市でキャンプイン（MBC南日本放送）,https://news.yahoo.co.jp/articles/ab4b8811cb28515c08a890610d043d9fef0ca387,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069692-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-31T19:16:00+09:00,2024-01-31T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,554,\nMBC南日本放送\nサッカーＪ２の清水エスパルスが、キャンプのために３１日、鹿児島市に到着し、歓迎式が行われました。\n\n今年で１９回目となる鹿児島市でのキャンプのために到着した清水エスパルスの選手や監督たち。みなと大通り公園には、市職員やサポーターが集まって歓迎しました。\n\n去年はＪ１昇格プレーオフ決勝で敗れて１年でのＪ１復帰を逃し、くやしい思いをした清水エスパルス。Ｊ１復帰を目指す鹿児島市のキャンプでスタミナをつけてほしいと、鹿児島黒牛や黒豚などが贈られました。\n\n（清水エスパルス 秋葉忠宏監督）「皆さんから大きなパワーとエネルギーをいただきながら、素晴らしいトレーニングをして、必ず大きな成果を出せる、そういう土台作りに１年努めていきたい」\n\n（清水エスパルス 乾貴士選手）「今年は暖かいからうれしいのと、豚しゃぶがすごく好きなのでそれが楽しみ。去年は本当にくやしい思いをしたので、今年こそはみんなで最後に笑って昇格できるようにしたいと思う」\n\n清水エスパルスのキャンプは来月１０日まで、鹿児島市のふれあいスポーツランドなどで行われ、期間中は見学もできます。２月４日にＪ２モンテディオ山形と、１０日にＪ１ジュビロ磐田との練習試合も行われます。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島市立３高校で「２０２５年度入試から自己推薦制度の導入を」活性化委が提案「起爆剤に」（MBC南日本放送）,https://news.yahoo.co.jp/articles/4dc92bed849e8b98ffa8d014557dd8fcbd890f59,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069694-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-31T19:18:00+09:00,2024-01-31T19:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,813,\nMBC南日本放送\n鹿児島市立の高校３校の活性化策を話し合う委員会が３１日、生徒が自らを推薦して推薦入試を受けられる制度を、再来年度から導入するよう市教育委員会に提案しました。\n\n「入学者選抜における自己推薦については、速やかに検討していただきたい」\n\n鹿児島玉龍、鹿児島商業、鹿児島女子の３つの鹿児島市立高校の活性化策を話し合う委員会が提案したのは、生徒が自らを推薦する自己推薦制度の導入です。\n\n従来の推薦入試は、中学校ごとに推薦を希望する生徒の校内選考が行われ、中学校の校長が推薦する学校長推薦でした。\nそれに対し、自己推薦制度は、生徒みずからが高校に対して得意分野での実績などをアピールすることで、推薦入試を受けることができるようにするものです。\n\n提言では、これまでの学校長推薦に加え、自己推薦制度も再来年度から導入すべきとしています。九州では福岡、佐賀、長崎、熊本、宮崎の５県で導入されていて、鹿児島市で行われれば県内で初めてとなります。\n\n鹿児島商業と鹿児島女子は近年、一般入試での定員割れが続いていて、来月、予定されている推薦入試の出願数は、鹿児島玉龍を含めた３高とも推薦枠に満たない状況になっています。\n\n委員会は、制度の導入によって高校が教育方針を練り直し活性化が図れるほか、生徒も受検を見据えた豊かな中学校生活が送れることをあげています。\n\n（市立高等学校活性化委員会 大坪治彦委員長）「３校のさらなる活性化のためには、一つの起爆剤になり得る。各学校の個性化をアピールできるかが鍵になる」\n\n（原之園哲哉教育長）「市立３高校は伝統校だが、変わらないためには変わり続けないといけないと思う。学校と相談しながら、スピード感を持って進めていきたい」\n\n原之園教育長は今後、各校の意見を踏まえながら制度の導入に向けた検討を進める考えです。\nMBC南日本放送 | 鹿児島,[],[]
「春超えて夏」各地２０度超えで季節外れの暖かさ　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/d8bbb3f1fd77311d4f4eb491f39b4b682031d9eb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069697-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-31T19:29:00+09:00,2024-01-31T19:29:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,432,\nMBC南日本放送\n寒暖の差が大きい今年の冬。３１日は、先週の雪が嘘ような季節外れの暖かさとなりました。気温が５月並みまで上がったところもありました。\n\n（記者）「だんだんと日差しが出てきて、春先のような暖かさ。街の人の装いもこれまでより薄手になっている」\n\n「朝学校に行くときはマフラーをしていたけれど、学校を出たら暖かくてはずした」\n\n「春超えて夏」\n\n「（服装）ミスった、暑い。ダウンを脱いだら肌着だから脱げない。我慢」\n\n３１日の県内は南からの暖かい空気が流れ込み各地で気温が上がりました。\n日中の最高気温は、日置市で２２．５度、屋久島で２５．３度と、５月下旬から上旬並みで１月の観測史上最も高くなりました。\n\nそのほか鹿児島市、南さつま市、枕崎市、阿久根市など各地で２０度を超えました。\n\nあす１日以降、県内は前線の影響でぐずついた天気となるものの、気温が平年を上回る日が続く見込みです。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島はスポーツキャンプ本番　Ｊリーグ秋春制移行の影響は？（MBC南日本放送）,https://news.yahoo.co.jp/articles/8667b66f1fba48828978a12d58fe10b140913b7f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069691-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-01-31T19:13:00+09:00,2024-01-31T19:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,2131,\nMBC南日本放送\n県内にはプロスポーツチームが続々とキャンプ入りしていて、春に向けたスポーツキャンプシーズンは本番を迎えています。\n\n今シーズンの県内の状況を見てみると、奄美大島ではあす１日からプロ野球・横浜の２軍がキャンプを予定しています。\n県本土では鹿児島市や指宿市など５つの市や町で、Ｊリーグと女子プロサッカーなど、国内外の合わせて１６チームがキャンプします。\n\nその一つが今シーズンからＪ１に復帰するジュビロ磐田です。鹿児島でのキャンプは２３年連続２７回目。\n\n１４シーズンぶりにＪリーグ復帰した元日本代表ゴールキーパー川島永嗣選手らを見ようと、雨にも関わらず、初日から多くのファンが練習を見守りました。\n\n（大分から）「頑張っているとこを見たいなと思って来た。頑張っているからいっぱい応援しよう」\n\n（熊本から）「鹿児島に来てくれてうれしい。選手の掛け声などを直に聞くことができるので、試合とは違う楽しみを見られるので、キャンプを見ることが好き」\n\nサインや写真撮影など、練習後のファンとの交流もキャンプの魅力です。\n\n選手だけでなくスタッフ、多くのファン来訪にもつながると期待されるスポーツキャンプ。市や町は誘致に力を入れてきました。\nその効果もあってか、受け入れた団体の数はコロナ禍以前は増加傾向が続いていました。\n\n２０１９年は、南九州総体が開かれた年だったため、特異な増加とみられますが、１２００～１３００ほどで推移し、ゆるやかに増加していました。\n\nしかし、新型コロナの影響で２０２０年は激減。その後、回復してきているものの、コロナ禍前の水準には届いていない状況です。\n\nチームを誘致しようと、県が今年度、立ち上げたのが、「かごしまスポーツ合宿・キャンプガイド」というサイトです。\n利用したい施設を選ぶと、周辺の宿泊施設も表示されます。\n\n「宿泊施設」も選手たちのサポートに力を入れています。\n鹿児島市のサンロイヤルホテルです。\nこれまでに侍ジャパンの社会人代表や水泳のイギリス代表、ラグビーの東芝など国内外のさまざまなチームを受け入れてきました。\n今はジュビロ磐田が宿泊していて、今年で２７回目となります。\n\n（鹿児島サンロイヤルホテル・販売促進部 鵜木純治課長代理）\n「選んでいただいたうれしさと責任感があるので、チームの要望はできる限り受け入れができるようにと思って対応してきた」\n\n開幕前の大事な時期で、ハードな練習も行われるため、ホテル側は選手の食事や身体のケアの面でサポートしています。\n\n食事面では、朝、昼は１５種類以上、夜は３５種類以上のメニューを用意し、栄養バランスの他、ライブキッチンを実施するなど、選手の楽しみも考慮。\nメニューはチームスタッフからチェックを受け、細かな要望に対応しています。また、天然温泉やサウナも備え、選手たちにも好評です。\n\n（ジュビロ磐田 山田大記選手）\n「鹿児島で選手みんな泊まって練習するのは、いいコミュニケーションの機会にもなるし、食事・温泉、本当にいい環境で練習させてもらえる。きついけど、いつも鹿児島に来るのを楽しみにしている」\n\nスポーツキャンプ地として定着している鹿児島ですが、今後、不確定な要素もあります。それが、Ｊリーグの「秋春制移行」です。\n\n２０２６シーズンからは、ヨーロッパなどの海外主要リーグと同じくリーグが８月に開幕し、５月末ごろまで行われるようになるのです。\n\n秋春制を導入することでキャンプに影響はあるのでしょうか。県内最多６つのクラブを誘致している鹿児島市の担当者に聞きました。\n\n（鹿児島市スポーツ課 東上床隆課長）\n「今のところは具体的な話はまだ行われていない。夏場にキャンプを受け入れた実績はないので、仮に相談があった場合、これまで施設を他の大会で使っていることもあると思う。心配というまではいかないが、今までにないところである」\n\nシーズン移行による影響は今はまだ見えておらず、情報収集に努めているのが現状だということです。\n\n気候が温暖な鹿児島は冬場のキャンプ地のイメージが強く、夏場でも選ばれるのでしょうか。\n\n県内の宿泊関係者からは「８月開幕に向けて体力をつけ、暑さに慣れる必要があるため、夏場でも選ばれるのではないか」との声も聞かれました。\nただ、その場合、夏場のスポーツ大会の日程などさまざまな調整が必要になります。\n\n一方、秋春制では、１２月半ばから２か月ほどの休止期間「ウインターブレーク」が設けられます。\n休止中のミニキャンプなどが行われるのであれば、誘致のチャンスが増える可能性もあります。\n\n選手やファンなど多くの人が鹿児島を訪れ、鹿児島の人たちにとってもスポーツの魅力に触れる機会となるだけに多くのチームに訪れてほしいですね。\n\nそのためにもまずは今、鹿児島を訪れている選手たちに充実したキャンプをしてもらい、キャンプ地としての実績を積み上げていくことが大切になります。\nMBC南日本放送 | 鹿児島,[],[]
ＭＢＣラジオ北薩ＡＭ中継局　２月１日から運用休止　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/0c5f7b51668e4c925ca8fb3db88b51a6935ba967,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069690-mbcnewsv-000-2-view.jpg?exp=10800,2024-01-31T19:03:00+09:00,2024-01-31T19:04:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,495,\nＭＢＣ南日本放送の北薩地域にあるＡＭラジオの中継局が、あす２月１日から運用を休止します。\n\nＭＢＣなど民放ＡＭラジオ各局では、災害対応と外国からの混信対策を目的に２０２８年までのＦＭ放送への移行を目指していて、２月１日から一部の中継局の運用を休止します。\n\nＭＢＣでは、阿久根、大口、川内の３つのＡＭ中継局を２月１日から休止します。なお、出水市、阿久根市、薩摩川内市、伊佐市、さつま町、長島町のエリアは、周波数９３．７ＭＨｚのＦＭ放送でＡＭと同じ内容を放送しています。\n\nまた、多くのエリアでは、霧島市隼人にあるＡＭ親局からの電波も届くため、おおむねＡＭ１１０７ｋＨｚが聞こえる見込みですが、一部地域では聞きにくくなる可能性があります。\nその場合は、スマートフォンやパソコンのアプリ「ｒａｄｉｋｏ」でも放送を聞くことができます。\n\nなお、３つの中継局は運用休止後、必要な手続きを経て廃止される予定です。\n\nＡＭ中継局の運用休止に関するお問い合わせは、ＭＢＣ技術部、もしくはラジオ業務部・電話０９９－２５４－７４５６で対応しています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069690-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/0c5f7b51668e4c925ca8fb3db88b51a6935ba967/images/000']
赤くて辛いマグマ飯　市長も汗だくで実食！　マグマやきいも電車に合わせて沿線２３店舗で（MBC南日本放送）,https://news.yahoo.co.jp/articles/15b9e43820e2e5ca518aee46d7e39f593e2a193f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069693-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-01-31T19:06:00+09:00,2024-01-31T19:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,947,\nMBC南日本放送\n鹿児島市電に乗りながら焼き芋を楽しむ「マグマやきいも電車」が今年も運行されます。イベントをさらに盛り上げようと、沿線の飲食店では期間限定メニューを楽しめるグルメ企画も始まっています。\n\n鹿児島市が主催の、焼き芋を食べながら市電で街を巡るイベント「マグマやきいも電車」は今年で３回目。２月１０日から２４日まで運行します。\n\n沿線の飲食店では、今月２６日から期間限定のオリジナルメニューを楽しむことができるコラボ企画が始まっています。\n\n市電が走る鹿児島市街地をさらに盛り上げようと企画されたその名は…「マグマ飯」です。マグマや桜島を連想させる赤くて、辛くて、山盛りのオリジナルメニューを味わうことができます。\n\n２年目となる今年は飲食店や事業所など２３店が参加。３１日はそのうちの一つ、鹿児島市役所の地下食堂で試食会が開かれました。\n\n地下食堂で提供されるマグマ飯は、「和牛肉巻き桜島麻婆」。県産の黒毛和牛を網の上で香ばしく炙り、桜島をイメージしてご飯の上に贅沢に盛り付けたインパクトのある逸品です。\n\nマグマをイメージした麻婆ソースは、ピリッとした辛さだけでなく痺れも加えた本格的な味わいで、試食した下鶴市長らが汗をぬぐう姿も…\n\n「このへんからもう汗が」「ジワっとくる辛さですね」\n\n値段は「いいにく」にちなみ１２９０円です。ほかにも、噴煙に見立ててトッピングされた豆苗や、辛さを和らげる隠し味のポテトサラダなど、見た目のインパクトに負けないこだわりと工夫が爆発したマグマ飯を味わっていました。\n\n（鹿児島市 下鶴市長）「鹿児島の冬にわくわくと元気をもたらすマグマ飯を、それぞれのお店でぜひ堪能してもらえたら」\n\n（市役所地下食堂 橋口仁店長）「地下食堂でしか食べられないメニューになっているので、ぜひ食べにきてもらえれば」\n\n（マグマやきいも電車企画運営 クリエイティブディレクター・アフロマンスさん）「体で鹿児島とかマグマを感じられる企画になっているので、この地下食堂やマグマ飯を街をまわって楽しんでもらえたら」\n\nマグマ飯は、鹿児島市内の飲食店２３店舗で来月２５日まで提供されます。\nMBC南日本放送 | 鹿児島,[],[]
パリ五輪へ向け岡澤セオン選手らボクシング日本代表が練習公開　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/34a9b4d0d22f8c2445bac238b771eefbe34216e0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069688-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-31T17:32:00+09:00,2024-01-31T17:32:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,341,\n岡澤セオン選手らボクシングの日本代表が鹿屋市で合宿を行い、練習の様子が公開されました。\n\n日本代表の合宿には、鹿屋市を拠点に活動し、今年夏のパリオリンピックへの出場が内定している岡澤セオン選手ら１０人が参加しました。練習も公開され、代表の選手は実戦さながらのスパーリングやシャドーボクシングをこなし、軽快な動きを見せていました。\n\n（岡澤セオン選手）「応援してくれる人たちに見てもらえるのは、すごくうれしかった。ぼくが鹿屋に来て、本当にたくさんの人に支えてもらって今があるので、恩返しができるように、必ずパリオリンピックでは金メダルを取って帰ってきます」\n\nパリオリンピックのボクシング競技は、７月２７日から８月１０日まで行われます。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069688-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/34a9b4d0d22f8c2445bac238b771eefbe34216e0/images/000']
馬毛島・葉山港のしゅんせつ工事が完了　防衛省が県に伝える（MBC南日本放送）,https://news.yahoo.co.jp/articles/eb4e7a4bc447ebda781fb07d9485805a7259f00b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069689-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-31T19:00:00+09:00,2024-01-31T19:00:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,410,\n自衛隊基地の整備とアメリカ軍の訓練移転が計画される鹿児島県西之表市・馬毛島で、おととし８月から行われていた葉山港のしゅんせつ工事が完了しました。\n\n防衛省は、馬毛島の東にある葉山港の沖合に３００メートル、幅３４メートルの範囲＝およそ１万３０００平方メートルの海底を水深３メートルの深さまで掘り下げるしゅんせつ工事をおととし８月から行っていました。\n\n鹿児島県によりますと、その工事が今月２７日に完了したとの情報が、３０日に防衛省から県に伝えられたということです。\n\n港のしゅんせつは、漁船の座礁を防ぐためとして種子島漁協が国に求めて始まったものですが、去年１月に基地工事が始まってからは工事資材などを島に運び入れるのに使われています。\n\nなお、３１日は、馬毛島での廃棄物の減量のため、汚泥の脱水装置と乾燥処理装置を４台ずつ島内に設置したことも国から県に伝えられました。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069689-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/eb4e7a4bc447ebda781fb07d9485805a7259f00b/images/000']
「娘を守ってやれなくて苦しい」政府認定拉致被害者・特定失踪者家族の声を聞くＹｏｕＴｕｂｅライブ（MBC南日本放送）,https://news.yahoo.co.jp/articles/3cf8c452dc5a16fb45f0e572f114593c4304da4e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240131-00069686-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-31T16:05:00+09:00,2024-01-31T16:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,535,\nMBC南日本放送\n政府が認定している拉致被害者や拉致の疑いがある特定失踪者の家族らが鹿児島市で動画を配信し、問題の解決を訴えました。\n\n（植村留美さんの父・植村照光さん）\n「娘を守ってやれなかったということが１番苦しい」\n\n鹿児島市で今月２５日に行われたライブ配信に参加したのは４組の家族です。\n\n１９７１年、大崎町から宮崎空港に行く途中で失踪した園田一さん・敏子さん夫妻の娘夫婦で鹿屋市に暮らす前山利恵子さん・光秋さん。\n１９９５年、大阪で失踪した植村留美さんの両親で湧水町の植村照光さん・光子さんらが悲痛な思いを語りました。\n\n（植村留美さんの母・植村光子さん）\n「１日でも早く娘が帰ってくることを思いながら頑張っていきたい」\n\n（園田一さん敏子さん夫妻の娘・前山利恵子さん）\n「とにかく１日でも早く真相解明できたら、いつどうなってもいいくらいに思っている。知らないまま人生を終わりたくないので、これからも協力をお願いしたい」\n\n動画は「ＹｏｕＴｕｂｅ」で配信されています。\n\n特定失踪者の救出を目指す民間団体「特定失踪者問題調査会」では０３－５６８４－５０５８で情報提供を受け付けています。\nMBC南日本放送 | 鹿児島,[],[]
