headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「大谷グローブ商店街を行く」学校から地元店に出張展示　大谷翔平選手からのプレゼントに大人も興奮（MBC南日本放送）,https://news.yahoo.co.jp/articles/a780e0efd60af539d633f4332efb669730694b39,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070711-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-03T19:20:00+09:00,2024-04-03T19:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1363,\nMBC南日本放送\n大リーグ・ドジャースの大谷翔平選手が、去年から今年にかけて全国の小学校にグローブを贈り、話題になりました。\n子どもたちがグローブを使う機会が減る春休み期間中、鹿児島県の志布志市では、飲食店や施設などへ貸し出す、出張展示が行われています。\n\n「はいチーズ」「良いチャンスに巡り合えた。よかった」\n\n（記者）「こちらのガソリンスタンドに飾られているのは、あの大谷翔平選手のグローブ。店の人もうれしそうです」\n\n（店員）「軽い。客にグローブがあるよと紹介したら喜ばれた」\n\n３日、志布志市有明町伊崎田のガソリンスタンドに飾られたグローブ。１月上旬、大谷翔平選手から地元の伊崎田小学校に贈られたものです。\n\n（大山昭二校長）「（届いたときは）子どもたちは大変興奮して、グローブに触れた、使えたことに喜んでいた」\n\n子どもたちが使うとき以外は校長室の前に飾ってありますが、喜んだのは子どもたちだけはありません。\n\n（大山昭二校長）「学校に出入りする業者が見つけて、大谷グローブだと。どうぞ触ってくださいと声をかけたら、とても喜んでくれた。大人も喜んでもらえるということで、大谷グローブから出かけて行ったら良いのかなと」\n\nそこで始動したのが、「大谷グローブ伊崎田商店街を行く」プロジェクト。子どもたちがグローブを使わない春休み期間を利用して、校区を走る県道６３号沿いを中心に、飲食店や施設など２０か所で１日ずつ回し、貸し出します。\n\n初日は、４５年続く菓子店です。\n\n（お菓子の大園 大園玲一さん）「やっぱりかっこいい。テンション上がる。お客さんもニュースで見るだけで、見たり触ったりする機会はないので、こういう機会があって良かった」\n\n（客）「初めて見た。夢が詰まったグローブ」「（はめてみて）ばっちり。（大谷選手が）大好きなのでラッキー」\n\nピーク時には７００人を超えていた伊崎田小の全校児童は、今年度は６５人。学校に届いた大谷グローブは、子どもだけでなく地域住民の話題になっています。\n\n（お菓子の大園 大園玲一さん）「人が減って自分たちが子どものころよりにぎわいが減っていると感じる。今話題の旬のものなので、地域の活性化にも良いなと思った」\n\nこちらの飲食店でも。\n「これ、大谷さんのグローブ」\n「そうなんだ。（写真を撮りながら）良い企画だね」\n\n（客）「ニュースでしか見たことがないからありがたい。自分も小さいときはソフトボールをしていたので良い記念になった」\n\nグローブを貸し出すことになった伊崎田小の子どもたちは…\n\n「小学生だけに配られたから、大人たちも見たいと思ったから良いと思った」\n「校長先生が良い人だと思った」\n\n大谷グローブを中心に、大人も子どもも一緒に笑顔になる、伊崎田地域の春休みです。\n\n（大山昭二校長）「子どもたちが喜んで提供してくれたグローブを地域の活性化に繋げていきたい」\n\n（小学生）「大谷選手ありがとう、みんなも見に来てね」\n\n伊崎田地区でのグローブの出張展示は今月４日までで、地域の旅を終え、学校に戻ります。\n\n※伊崎田の「崎」は、たつさき\nMBC南日本放送 | 鹿児島,[],[]
台湾付近Ｍ７．７の地震　沖縄県で３０センチ津波　鹿児島の交通にも影響（MBC南日本放送）,https://news.yahoo.co.jp/articles/d2d5520de0c4afb0d0aa23632fb46ce32ca5ccd0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070714-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-03T19:29:00+09:00,2024-04-03T19:29:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,950,\nMBC南日本放送\n３日午前、台湾付近を震源地とする地震で、沖縄県に、一時津波警報が発表されました。この影響で県内にも空の便に乱れが出ました。\n\n午前８時５８分ごろ、台湾付近を震源とするマグニチュード７．７の地震が発生しました。映像は、台湾東部・花蓮市にある１２階にある部屋の、地震発生時の映像です。家具が大きく左右に揺れ、棚の扉が開き物が落ちてきています。\n\nこの地震で、最大震度４を沖縄県で観測し、沖縄地方に一時、津波警報が出され、与那国島と宮古島で３０センチ、石垣島で２０センチの津波が観測されました。その後、警報は注意報に切り替えられ、正午に解除されました。県内で、被害の情報は入っていません。\n\n気象庁は、揺れの強かった地域では、今後およそ１週間は最大震度５弱程度の強い揺れを伴う地震に注意するよう呼びかけています。\n\nまた、今後しばらく漁や磯釣り等を行う際は注意を呼びかけています。\n\n（記者）「地震の影響で鹿児島と離島を結ぶ便に欠航や運行見合わせが出て、カウンター前は混雑しています」\n\n那覇空港事務所によりますと、津波警報をうけ那覇空港は午前９時半ごろからおよそ１時間半、民間機の着陸を停止しました。\n\nこの影響で羽田空港から沖縄に向かっていた日本航空の便が、目的地を変更して鹿児島空港に着陸。およそ１００人を乗せたまま駐機場で２時間半待機したあと那覇空港に向け離陸しました。\n\nまた、鹿児島空港発着の便ではジェイエアの奄美大島と徳之島を結ぶあわせて４便が欠航。全日空とソラシドエア共同運航の那覇行きが３時間半遅れで出発するなど影響がでました。\n\nこちらの男性は妻と孫２人のあわせて４人で沖縄の宮古島へ観光に行く予定でしたが…。\n\n（沖縄旅行キャンセル）\n「すべてキャンセルした。孫が沖縄初めてだったので、きれいな海を見せてあげたかった」\n\n「『沖縄に行っても思い切り楽しめないかも』と孫が言ったので」\n\n「自然災害だから仕方ない。いつか（沖縄に）行けたら」\n\n一方、海の便では沖縄の本部港に入港していたクイーンコーラルプラスが沖合に一時退避しましたが、安全を確認しながら通常通り運航しました。\nMBC南日本放送 | 鹿児島,[],[]
「好きＳＵＫＩ九州」スイーツ中心にグルメ集合　新幹線で福岡人気店パンストックも　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/ecd0ae8e51a33d8cb3e049219c23f6a11dd29988,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070710-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-04-03T19:12:00+09:00,2024-04-03T19:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,795,\nMBC南日本放送\n九州各県の話題の商品や特産品を集めた物産展が、３日から鹿児島市で始まりました。新幹線で届いたばかりの商品も並んでいます。\n\nドーナツ型をした可愛いフォルムや、冷たいクリームがたっぷり包まれたメロンパン、こちらはチョコレートがぎっしり詰まったエッグタルトです。\n\n鹿児島市の山形屋で３日から始まった「好きＳＵＫＩ九州」。これまでも九州で話題の特産品を集めたイベントはありましたが、スイーツを中心に取りそろえたのは今回が初めてで、九州各県から５２社が並びます。\n\n（訪れた人）\n「（子どもが）イチゴのパフェが食べたいと言って（来た）。おいしい」\n\n「地鶏の炭火焼２つ買った。チキン南蛮もおいしかった」\n\n中でもにぎわっていたのが…\n\n（記者）「多くのお店が出店する中、注目はこちらのお店。けさ福岡で焼いたパンを新幹線で運んで販売しています」\n\n福岡の人気店「パンストック」です。朝、店で焼き上げたパンは博多駅を出発し、正午ごろに鹿児島中央駅に到着。話題の店とあって、販売前には行列ができ、整理券が配られました。\n\n「明太フランスを待っている」\n「ＴｉｋＴｏｋとかで有名。楽しみ」\n\n用意されたのはハニートーストやフレンチトーストなど１１種類。４０分以上並んだ客もいて、思い思いのパンを選んでいました。\n\n「無事買えた。福岡のパン屋さんのパンが買えるのは、すごくいい」\n\n１番人気の明太フランスは１００個用意されましたが、買えなかった人も。\n\n「３人くらい前で終わった。明太フランスしか頭になくて、でも全部おいしそう」\n\n会場にはこのほか、佐賀牛を贅沢に使ったステーキ弁当や、鹿児島黒豚を使った角煮弁当などもあります。\n\n山形屋の「好きＳＵＫＩ九州」は今月８日まで開かれています。\nMBC南日本放送 | 鹿児島,[],[]
日本人の流儀として「地震はどこで起きるかわからない」　専門家　普段から地震・津波に備えイメージを！（MBC南日本放送）,https://news.yahoo.co.jp/articles/69ccbc9d76cf7640dc90973f0d3d79f6af647f5a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070712-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-04-03T19:27:00+09:00,2024-04-03T19:27:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,852,\nMBC南日本放送\n日本から離れた３日の台湾での地震では、鹿児島で揺れはなかったものの、海面変動などへの注意が呼びかけられました。\n専門家は、県内にも津波注意報が出されていた可能性もあるとして、普段から備えについてイメージしておくことが大切と訴えます。\n\n（鹿児島大学 井村隆介准教授）「正月に起こった能登半島地震とほとんど同じぐらいの大きさ。台湾で起こった地震だが、離れた与那国島、石垣島、宮古島で、震度４に近いような揺れが観測されるような、大きな地震が台湾で起こった」\n\n地震地質学が専門の鹿児島大学・井村隆介准教授です。今回地震のあった台湾の東側は、過去にも大きな地震が起きている地域だと指摘します。\n\n（鹿児島大学 井村隆介准教授）「１９９９年（の地震）で２０００人以上の方が亡くなった場所。これまでも（大きな地震が）起こってるよう場所で、（今回も）地震が起こった」\n\n鹿児島県内で揺れは観測されませんでしたが、海面変動の情報が出されました。３日、津波の情報が出されたのは沖縄だけでしたが、状況次第では、隣の鹿児島にも注意報が出されていた可能性があると話します。\n\n（鹿児島大学 井村隆介准教授）「（鹿児島は）注意報も出てないから安全だと思ってしまうことの方がもっと怖い。沖縄まで出てるんだから私たちも注意しなければいけないと考えてほしい」\n\nそのうえで、地震や津波の際に自分はどう行動するのか、普段からイメージしておくことが大切と話します。\n\n（鹿児島大学 井村隆介准教授）「遠くで起こった地震、津波では、遠くの高台まで行く。能登半島地震のように、揺れがまずやってきて、その後に津波警報が出る時、もう本当にすぐ来るぞっていうような場合は、海辺の人っていうのはもう一目散に逃げる」「地震を感じなくても海辺にいて津波警報が出たらどうするのかは、住んでる場所関係なしにどこであうのかも分からないので。日本人の流儀として知っておくべき」\nMBC南日本放送 | 鹿児島,[],[]
貨物フェリー「新さつま」種子島・西之表港岸壁に接触　けが人なし　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/03df2171ccdce4e8bcfb26074bd530cdca38db6b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-03T22:33:00+09:00,2024-04-03T22:35:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,305,\n鹿児島県種子島の西之表港で３日、貨物フェリーが岸壁に接触する事故がありました。けが人はいませんでした。\n\n種子島海上保安署によりますと、３日午後３時すぎ、種子島の西之表港に入港しようとした貨物フェリー「新さつま」２５５７トンが岸壁に接触しました。\n\n新さつまは鹿児島新港を午前１１時半前に出港し、乗客４人と乗組員６人のあわせて１０人が乗っていましたが、けが人はいませんでした。\n\n新さつまはその後、自力航行して午後４時すぎ西之表港に入港し、油も流出していないということです。船尾側にはこすり傷やへこみが確認されていて、種子島海上保安署が事故の原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
顧客の金引き出した疑いで逮捕の鹿児島信用金庫・元職員　地検が「不起訴処分」（MBC南日本放送）,https://news.yahoo.co.jp/articles/ffefebacb5a824cace3e179538c7af77020593b4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070707-mbcnewsv-000-1-view.jpg?exp=10800,2024-04-03T19:04:00+09:00,2024-04-03T19:04:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,366,\n顧客の通帳を使い、不正に現金３５万円を引き出した疑いなどで逮捕された鹿児島信用金庫の元職員の男性を、鹿児島地方検察庁は不起訴処分としました。\n\n不起訴処分となったのは、鹿児島信用金庫の２０代の元職員の男性です。\n\n男性は、今年２月に鹿児島信用金庫・国分支店のＡＴＭで、顧客の女性の通帳を使い３５万円を不正に引き出した疑いと、おととし１月、霧島市の７０代女性の家に侵入し現金１万円を盗んだ疑いで逮捕・送検されていました。\n\n男性は、取り調べに対して、いずれの容疑も認めていたということです。\n\n鹿児島地検は、先月２９日付で男性を不起訴処分にしました。不起訴の理由について地検は「回答できない」としています。\n\nなお鹿児島信用金庫は、先月１４日付で男性を懲戒解雇処分にしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070707-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/ffefebacb5a824cace3e179538c7af77020593b4/images/000']
桜中継　いちき串木野市・観音ケ池市民の森（MBC南日本放送）,https://news.yahoo.co.jp/articles/703984a26ce936c13053b33cee2cad8f067ead9d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070709-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-03T19:10:00+09:00,2024-04-03T19:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,539,\nMBC南日本放送\n鹿児島県内の桜の名所のひとつ、いちき串木野市の観音ケ池市民の森から桜中継です。\n\n県推奨の「森林浴の森」７０選のひとつ、いちき串木野市の観音ケ池市民の森です。この時間はライトアップもされて、明りに照らされた桜が幻想的です。\n\nここ観音ケ池市民の森は、池をめぐって谷のようになっている地形にソメイヨシノが１０００本あまり植えられています。毎年およそ３万人の花見客が訪れる、鹿児島県でも一、二を争う桜の名所です。\n\n観音ケ池はもともと、市来農芸高校のみかん山でした。およそ４０年前、当時のいちき町に観光資源が欲しいということで、町の土地となり、ソメイヨシノが植えられました。\nそれが、今では池を中心に桜で覆いつくされるような、県内屈指の光景が楽しめるようになりました。\n\n今の時期しか食べられないのが「観音ケ池桜饅頭」です。敷地内にある観音茶屋で売られています。１個１３０円で表面は淡いピンク色で、持つとずっしりと重いです。\n\n指定管理者によりますと、今月１４日まで午後６時から午後１０時の間、ちょうちんとＬＥＤによるライトアップも行われています。\nいちき串木野市の観音ケ池市民の森からお伝えしました。\nMBC南日本放送 | 鹿児島,[],[]
美術館の楽しみ方提案します！　学芸員が出す「処方箋」で困りごと解決（MBC南日本放送）,https://news.yahoo.co.jp/articles/132691611cea755c5e27387e21878168142952d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070708-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-04-03T19:07:00+09:00,2024-04-03T19:09:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1076,\nMBC南日本放送\n普段、美術館に行きますか？「作品の見方が分からない」とか、「美術の知識がないから楽しめないのでは…」と感じることもあります。\n鹿児島市立美術館ではそういった「困りごと」を解決しようと、処方箋として作品の楽しみ方を提案しています。学芸員が出す処方箋。その効き目とは？\n\n（作品を見比べる親子）\n「墨？黒と白だけなのに色がついているように見える」\n\n「あっちの西郷さんのほうが、かっこ良かった」\n\n鹿児島市立美術館で始まった企画展。「美術館を楽しもう鑑賞の処方箋」をテーマに、所蔵している４５００点の中から選ばれた絵画や彫刻など２５点が展示されています。\n\n家族で美術館を訪れたのは初めてだというこちらの親子。西郷隆盛が描かれた作品を鑑賞する前、目にしたのは…\n\n「二つの作品を比べてその良さを言葉に出してみましょう」というアドバイスです。医師が出す薬の処方箋になぞらえ、鑑賞のポイントが提案されていました。\n\n（鹿児島市立美術館 前野耕一学芸員）「作品をどう見ていいのか分からないとか。楽しみ方が分からないとか。作品をいろいろな楽しみ方で味わってもらえたらいいと思って企画した」\n\nいくつかの作品を比べてみたり、鑑賞する人の会話が進むきっかけをつくったり。「美術館に親しんでほしい」と学芸員が考えた仕掛けがあちこちに散りばめられています。\n\n「作品をぐるりと回って見てみましょう」という処方箋が出された立体作品では…\n\n（小学６年）「私は貝殻に見えた」\n\n（父親）「人が隠れて住めそうなものだと思った」\n\n（小学４年）「秘密基地に見えた」\n\n同じ作品でも見え方は三者三様です。\n\n（小学６年）「人それぞれの感覚が違うことで、家族でもより仲が深まりそう」\n\n（父親）「会話のきっかけにもなるし、見方のヒントを書いてくれている」\n\n会場では、５４の作品が描かれた「アートカード」の中から、相手が選んだ一番好きな作品を推理していくゲームも体験できます。\n\n（鹿児島市立美術館 前野耕一学芸員）「質問を５、６個受ける。『はい』か『いいえ』だけ答えるので絞り込み、最後に私のお気に入りの作品を選ぶゲームになる」\n\n（鹿児島市立美術館 前野耕一学芸員）「作品を見る視点が広がる。『また行ってみよう』と思ってもらえると一番ありがたい」\n\n一人で作品の世界に浸るもよし、友達や家族と会話するもよし。市立美術館の企画展は来月１２日までです。\nMBC南日本放送 | 鹿児島,[],[]
台湾付近Ｍ７．７の地震　沖縄県で津波観測　専門家「震源が国外でも身を守る行動を」（MBC南日本放送）,https://news.yahoo.co.jp/articles/ca1d5536aa1524a70f08947deabb79d290d06ca7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070704-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-04-03T16:15:00+09:00,2024-04-03T16:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,552,\nMBC南日本放送\n３日午前、台湾付近を震源地とする地震で、津波警報が一時、沖縄県に発表されましたが、その後、注意報に切り替えられ、正午に解除されました。\n\n午前８時５８分ごろ、台湾付近を震源とするマグニチュード７．７の地震が発生しました。この地震で、最大震度４を沖縄県で観測し、沖縄地方に一時、津波警報が出されましたが、その後、注意報に切り替えられ、正午に解除されました。\n\nこれまでに与那国島と宮古島で３０センチの津波が観測されましたが、県内では、被害の情報は入っていません。\n\n気象庁は、揺れの強かった地域では、今後およそ１週間は最大震度５弱程度の強い揺れを伴う地震に注意するよう呼びかけています。\n\n地震地質学が専門の鹿児島大学・井村隆介准教授は、震源が国外にあり揺れを感じない地震でも、海の近くにいる場合は、地震や津波情報に注意し身を守る行動をとってほしいと話します。\n\n（鹿児島大学・地震地質学 井村隆介准教授）\n「台湾としては、これまでも地震が起こってるようなところで地震が起こった。震源が遠地であっても津波はやってくる。海のそばで情報を聞いた時にどう行動するのか、揺れを感じた時にどう行動するのかっていうのを確かめておいてほしい」\nMBC南日本放送 | 鹿児島,[],[]
志學館大学で入学式　「大学でしかできない挑戦したい」「資格たくさん取りたい」　３２０人が新生活スタート（MBC南日本放送）,https://news.yahoo.co.jp/articles/a9a9f1d404e5e9f8a587ecdf9615ec646b3ca555,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070706-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-04-03T19:02:00+09:00,2024-04-03T19:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,420,\nMBC南日本放送\n鹿児島市の志學館大学で３日に入学式があり、３２０人が新しい生活をスタートしました。\n\n鹿児島市紫原の志學館大学にはこの春、新たに３２０人が入学しました。\n\n３日の入学式には大学１年生やその家族らが出席し、飯干紀代子学長が「できる限りたくさんの人と関わり、異なる考え方に触れ、自分のポテンシャルを高めてください」とエールを送りました。\n\nその後、法学部１年の伊田美咲さんが新入生の宣誓をしました。\n\n（伊田美咲さん）「学業に励むとともに、社会の期待に応える人間となるために、努力することを誓います」\n\n新たな一歩を踏み出した１年生たちは…\n\n「心理学を中心に学んでいくので、資格を中心にたくさん取っていきたい」\n\n「大学でしかできないこととかに、たくさん挑戦して成長していきたい」\n\n志學館大学の授業は来週８日から始まり、本格的な新生活がスタートします。\nMBC南日本放送 | 鹿児島,[],[]
「人らしきものが浮いている」川内川で身元不明の女性遺体…黒系ワンピース　死後数日以上経過か　鹿児島・さつま町（MBC南日本放送）,https://news.yahoo.co.jp/articles/4d12284389bb9d74c4191b77aa46eefad09e512b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070715-mbcnewsv-000-5-view.jpg?exp=10800,2024-04-03T18:29:00+09:00,2024-04-03T18:30:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,293,\n鹿児島県のさつま町を流れる川内川で３日午後、女性の遺体が見つかり、警察が身元の確認を急いでいます。\n\nさつま警察署によりますと、３日午後３時ごろ、さつま町船木で近くの住民から「川内川に人らしきものが浮いている」と通報がありました。\n\n警察が駆け付けたところ、川内川に浮いている女性の遺体が見つかりました。女性の身長はおよそ１６０センチ、長い黒髪で、黒系のワンピースを身に着け、靴は履いていませんでした。\n\n死後数日以上、経過しているとみられ、警察は身元や死因を調べています。\n現場はさつま町の山間で、周囲に民家などはないということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-00070715-mbcnewsv-000-5-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/4d12284389bb9d74c4191b77aa46eefad09e512b/images/000']
