headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
ビール5箱（計2万1000円分）を営業中のスーパーから盗んだ疑い　男２人逮捕　防犯カメラなどから特定　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/221f78caf08b3f6bc0f2efeffa367be91bc008c9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069789-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-06T20:22:00+09:00,2024-02-06T20:22:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,328,\n曽於市のスーパーマーケットから、ビール５箱、合わせて２万１０００円相当を盗んだ疑いで、２０代と３０代の男２人が逮捕されました。\n\n窃盗の疑いで逮捕されたのは、曽於市財部町の無職の男（２９）と、宮崎県都城市の塗装業の男（３４）です。\n\n曽於警察署によりますと、２人は共謀して去年４月２０日から２５日にかけて、曽於市で営業中のスーパーマーケットからビール５箱、合わせて２万１０００円相当を盗んだ疑いが持たれています。\n\n店側が在庫がないことに気がついて被害届を出し、警察が防犯カメラの映像などから２人を特定しました。\n\n２人は知人同士で、警察は、関係や認否については捜査に支障があるため明らかにしていません。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069789-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/221f78caf08b3f6bc0f2efeffa367be91bc008c9/images/000']
コアラも“推せる”鹿児島市が始めたクラウドファンディング型ふるさと納税とは（MBC南日本放送）,https://news.yahoo.co.jp/articles/5a5be5ce6e41962b5e7f485e7806cada2c9f9ad2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069784-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-06T19:21:00+09:00,2024-02-06T19:21:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1450,\nMBC南日本放送\n鹿児島市は、今年度クラウドファンディング型ふるさと納税を導入しました。その一つがコアラのエサ確保です。\n寄付の際に「返礼品」を選ぶのではなく、応援したい「プロジェクト」を選ぶこの取り組み。目標額１０００万円で、期限はあと１か月を切りました。その狙いや進捗状況は？\n\n鹿児島市の平川動物公園といえば、飼育頭数が日本一のコアラ。現在、１６ひきが来園者を楽しませています。\n\n（来園者）「ここに来ないと見ることができないので、本ではなく実際に目で見たらいいかなと」\n\n人気の一方で、多くの手間や費用がかかるコアラ。ユーカリの葉の柔らかい新芽部分だけしか食べず、多い日には１日１キロほど食べます。１６ひき全体で年間３３トンのユーカリを消費します。\n\n（飼育展示課 村上浩一さん）「ここに２千本ぐらい植えています」\n\n園内にあるユーカリの農場です。安定確保のため、県内およそ２０か所で、２万本以上を栽培。ただ、ユーカリは気候の影響を受けやすい上、近年は人件費や輸送コスト上昇で、費用がかさみ苦労しています。\n\n（飼育展示課 村上浩一さん）「例えば昨年、すごい寒波が来てユーカリが被害を受けたが、お金があることで安定的に供給できる。専門の業者に供給が難しくなった分を補てんできる」\n\nそこで、鹿児島市が始めたのがクラウドファンディング型ふるさと納税です。ふるさと納税は通常、「返礼品」を選んで寄付しますが、「クラウドファンディング型」は、「プロジェクト」の中から自分が共感したものに寄付します。\n自治体が力を入れている政策を知ってもらう機会になり、寄付の活発化も期待できます。\n\n市が現在、民間のふるさと納税サイト「ふるさとチョイス」で寄付を募っているプロジェクトは４つあります。\n\n▼待機児童をゼロにするために保育士への就職奨励金など\n▼次世代を担うグローバル人材の育成\n▼桜島に整備される新しい学校の魅力向上\n▼飼育頭数日本一の平川動物公園のコアラのエサの安定確保\n\n期間は、エサの確保が来月２日、そのほかは今月２８日までですが、おおむね順調に集まっていて、目標金額の１０００万円に達しなくても寄付されます。寄付にはこんなコメントも添えられていました。\n\n「大好きなコアラ達が安心してこれからも生きていけますように。少しでも力になれたら幸いです」\n\n「一度は行きたいと思っています。応援しています！」\n\n（飼育展示課 村上浩一さん）「温かい言葉をもらって飼育員も励みになっている。支援してくれる人に感謝の気持ちでいっぱい」\n\n取り組みは各地で広がりをみせていて、クラウドファンディング型ふるさと納税は昨年度、全国１７８６自治体のうち、２割ほどが導入。鹿児島県内では、指宿市で砂むし温泉の崩落したのり面復旧工事、かのやばら園のリニューアル費用などで活用が始まっています。\n\n鹿児島市は今年度は試験的に導入しましたが、来年度の実施を検討しています。\n\n（市ふるさと納税推進室 石宮聡室長）「市への関心を高めてもらい、できれば寄付をして応援してもらうのが狙い。思った以上に反応をもらっている。来年度に向けて、実施する方向で検討していけたら」\n\n返礼品の魅力だけでなく、そのまちを応援してくれるファンを継続的に増やせるか。ふるさと納税の新たな活用に自治体の取り組みが始まっています。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島県新年度当初予算案　総額８４００億円か　「稼ぐ力」に重点　夜間中学設置費用など計上見込み（MBC南日本放送）,https://news.yahoo.co.jp/articles/7bbb14e1912501b0d41b0a21b5de78f1bdfbad1d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069786-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-06T19:24:00+09:00,2024-02-06T19:24:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,511,\nMBC南日本放送\n鹿児島県の新年度一般会計当初予算案の総額が、今年度を５００億円下回り、８４００億円規模となる見通しであることが分かりました。総額は下がるものの、塩田知事が公約に掲げる「稼ぐ力」を引き上げる事業に手厚く配分される見込みです。\n\nＭＢＣの取材によりますと、県の一般会計当初予算案は今年度当初の８８９５億円を５００億円下回り、７年ぶりにマイナスとなる見込みです。\n\n新型コロナウイルスが５類へ移行したことで緩和されたコロナ対策の費用や、今年度の予算には盛り込まれた「かごしま国体」の開催経費が減少したことが要因です。\n\n一方、原油価格や物価の高騰で影響を受けた企業などへの支援策も盛り込まれるほか、塩田知事が公約に掲げ、農林水産業や観光業、企業の「稼ぐ力」を引き出す事業にも手厚く配分される見込みです。\n\nまた、来年４月に鹿児島市に開校する夜間中学の設置費用や、姶良市や垂水市の施設を活用し、来年４月の開校を目指す林業大学校の設置費用も計上されるものとみられます。\n\n県の新年度当初予算案は今月９日に発表され、２０日に開会する定例県議会に提案されます。\nMBC南日本放送 | 鹿児島,[],[]
サトウキビをトラックから降ろす作業中に荷台の扉に挟まれ死亡　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/779e4e35cbd20af7b714bb94c3122b034fc33f37,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-02-06T22:29:00+09:00,2024-02-06T22:29:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,302,\n６日午後、喜界町の製糖工場でサトウキビをトラックから下ろす作業をしていた６２歳の男性が、トラックの後部扉に挟まれ死亡しました。\n\n奄美警察署の調べによりますと、６日午後３時ごろ喜界町内の製糖工場でサトウキビを大型トラックから下ろす作業をしていた喜界町白水の作業員、清水龍一さん６２歳がラックの後部扉に挟まれ、病院に運ばれましたがおよそ３時間後に死亡しました。\n事故当時現場では、清水さんとトラックの運転手の２人が作業をしており、清水さんは挟まれた後、自力でトラックの助手席に戻り、体調不良を訴え病院に運ばれたということです。警察で事故の原因や死因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
ひき逃げで高校生に軽傷負わせた市職員に停職６か月懲戒処分　鹿児島県薩摩川内市（MBC南日本放送）,https://news.yahoo.co.jp/articles/bd445c8caf67111499b4887bcb87200719f61c16,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069788-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-06T20:06:00+09:00,2024-02-06T20:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,442,\n軽乗用車で高校生が乗る自転車と接触して軽傷を負わせ、現場から一時逃走したとして、薩摩川内市は２０代の女性職員を停職６か月の懲戒処分としました。\n\n処分を受けたのは、市役所本庁に勤務する２０代の女性職員です。\n\n市によりますと、この女性職員は去年１０月、軽乗用車を運転して駐車場から県道に出ようとした際に高校生の乗った自転車と接触したもので、警察に通報せず救護もしないまま自宅に帰り、１時間後に再び現場に戻って警察官に名乗り出たものです。高校生は右ひじを打撲する軽傷でした。\n\n女性職員は先月５日にひき逃げと過失運転傷害の疑いで鹿児島地検に書類送検されて、２６日付けで川内簡易裁判所から罰金５０万円の略式命令を受け今月２日に全額納付しました。\n\nこれを受けて市が６日、停職６か月の懲戒処分としたもので、田中良二市長は「全職員に対し交通法令の遵守を徹底するとともに市政に対する信頼回復に全力で取り組んでまいります」とコメントしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069788-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/bd445c8caf67111499b4887bcb87200719f61c16/images/000']
ギョーザのまち日本一目指す鹿児島　購入額順位はコロナ後の影響もあって…（MBC南日本放送）,https://news.yahoo.co.jp/articles/e11f563138a8b796460296d02eb7b46c0694d152,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069782-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-06T19:16:00+09:00,2024-02-06T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1275,\nMBC南日本放送\n総務省は６日、去年１年間の家計調査を発表しました。ギョーザの購入額が前回４位だった鹿児島はＰＲに力を入れ、日本一を目指していましたが、今回は何位だったのでしょうか？\n\n（鹿児島市の餃子専門店）「率直に残念は残念ですね」\n\n６日に発表された去年１年間の１世帯あたりのギョーザの購入額は、浜松市が４０４１円で８回目の日本一に輝きました。２位は前年覇者の宮崎市、３位は宇都宮市でした。\n一方、鹿児島市は２０５９円で全国１３位。全国４位だったおととしと比べ、購入額が９４０円減り、順位を大きく落としました。\n\n県内の飲食店などでつくる鹿児島ぎょうざ協議会では、日本一を目指して２年前からＰＲを進めてきましたが…。\n\n（鹿児島ぎょうざ協議会）「厳しいというか、残念」\n\n６日に発表された購入額は、店からのテイクアウトやスーパーでの購入が対象です。協議会では、新型コロナ５類引き下げによる外食需要の高まりで、ギョーザを自宅で食べる機会が減ったことなどが背景にあるとみています。\n\n（鹿児島ぎょうざ協議会）「（上位の）浜松も宇都宮も街としてギョーザを根付かせている。歴史の差や、市民とのギョーザを通じた深さの差が出た。（協議会設立は）鹿児島が一番後発」\n\n一方で、おととしの２９９９円を上回れば上位も狙えるだけに、協会は巻き返しを図りたいとしています。\n\n（鹿児島ぎょうざ協議会）「トップ３の額を見ると食い込めないわけではない。大体３０００円を超えると３位以内を狙える。鹿児島市は３０００円は超えるポテンシャルはある。目指すのはトップ３」\n\n鹿児島市の餃子専門店「餃子のあかり」です。食べやすいサイズと手軽さもあってからか、客の８割が女性という日もあり、男性客の開拓が課題だといいます。\n\n（餃子のあかり 森祐人天長）「もっと男性にもお土産に買ってもらいたい。試行錯誤しながら、（上位の）可能性は十分ある」\n\n日本一を目指し店がそれぞれ試行錯誤する中、客も…。\n\n（客）「（鹿児島のギョーザは）おいしいと思う。お店もいろいろあるし。ちょこちょこ来ようかなと思う」\n\nぎょうざ協議会も模索を続けています。\n\n（鹿児島ぎょうざ協議会）「黒豚はじめキャベツの一大産地。ギョーザの楽しさ・おいしさ・面白さを伝えていきたい」\n\n協議会は、４月には鹿児島中央駅でＰＲイベントを予定していて、鹿児島のぎょうざの魅力発信に取り組みたいとしています。\n\n\n６日に発表された家計調査では、鹿児島市が消費額日本一になった品目が３つありました。\n\n◆焼酎\n鹿児島市が１万４３０７円と、２位の大分のおよそ１．３倍で圧倒的１位に。\n\n◆揚げかまぼこ\nさつま揚げなどの「揚げかまぼこ」も６７３２円と、２位の長崎を大きく突き放しました。\n\n◆干ししいたけ\n５７２円、僅差で１位に。\n\nその他、まんじゅうは、前回の３位からひとつ順位をあげて２位でした。\nMBC南日本放送 | 鹿児島,[],[]
怖っ！オオカミ型ロボットで有害鳥獣から国有林を守れ　全国初の取り組み「今後の道筋となるよう期待」（MBC南日本放送）,https://news.yahoo.co.jp/articles/a482fa078588930fcd76c40192988f1ceb3b85a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069787-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-06T19:19:00+09:00,2024-02-06T19:19:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,927,\nMBC南日本放送\nシカなどの有害鳥獣から国有林を守るため、鹿児島県の伊佐市などがあるマシーンを導入し、その除幕式が開かれました。関係者が期待を寄せるその秘密兵器とは…。\n\n勇ましい遠ぼえに、ＬＥＤライトで点滅する鋭い赤い目。シカやイノシシなどの野生動物から森や畑などを守るために開発されたオオカミ型ロボット、その名も「モンスターウルフ」です。\n\n北海道の企業が開発したもので、１体およそ６５万円。５０種類以上の音と光で威嚇し、シカやサルも一目散に逃げていきます。\n\n伊佐市では近年、シカやイノシシなどに木の皮や新芽が食べられる被害が増えていて、猟友会がおととし駆除したシカは２９３３頭で４年前の１．１３倍、イノシシは８１６頭で２．３８倍と、国の担当者も頭を悩ませています。\n\n（北薩森林管理署 佐藤敏郎署長）「シカネットだけでは防除効果はあるが、それだけでは獣害被害対策は効果的ではない。生息頭数を減らさないといけない」\n\nそこで、国と伊佐市、県猟友会の３者は去年１１月に被害対策協定を締結。その取り組みの１つとして、およそ２ヘクタールの国有林にモンスターウルフ２体を設置し、猟友会が周辺およそ２０か所にわなを仕掛けます。\n防除と捕獲を効率的に行う取り組みは、全国初ということです。\n\n（記者）「思った以上に大きな音。シカの被害が増える国有林で果たして効果はあるのでしょうか？」\n\n（開発したウルフ・カムイ 太田裕治副社長）「『がんばれよ、守ってくれよ地域を』って感じ。森の守り神として、シカやイノシシから森を守って欲しい」\n\nその迫力に、猟友会も期待を寄せます。\n\n（県猟友会伊佐支部 清水剛吏支部長）「昔から言うようにオオカミが怖いのは人間もシカも一緒。これで効果が出れば一番いい」\n\n（伊佐市 橋本欣也市長）「効果をあげてくれれば、今後の道筋が見えるので期待している」\n\n今後、カメラを設置するなど効果を検証し、有効と判断されれば追加購入も検討する方針です。\n\n北の大地で生まれたモンスターウルフ、鹿児島で効果を発揮することができるのか？今後の展開に注目です。\nMBC南日本放送 | 鹿児島,[],[]
南さつま市４人死亡の火災　焼け跡から見つかった遺体は住人一家と判明　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/910134d06382db76c02e9cd18046b541b8dc91e3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069776-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-06T16:13:00+09:00,2024-02-06T16:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,347,\nMBC南日本放送\n南さつま市で今月１日、住宅１棟が全焼して焼け跡から４人が遺体で見つかり、警察が身元の確認を進めていましたが、この家に住む家族４人と判明しました。\n\nこの火事は、今月１日午後１０時半前に南さつま市金峰町宮崎の有村トシ子さん（９８）の木造２階建て住宅１棟が全焼し、焼け跡から４人が遺体で見つかったものです。\n\n警察が遺体の身元の確認を進めていましたが、南さつま警察署によりますと、ＤＮＡ鑑定などからこの家の住人で火事の後、連絡が取れなくなっていた有村トシ子さんと長男の哲也さん（７６）、その妻・敬子さん（７６）、トシ子さんの長女の山下令子さん（６７）と判明しました。\n\n警察は４人の死因を調べるとともに、火事の原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
ピーチ奄美－大阪、成田便が運休・減便　最大２１８人搭乗　観光に影「搭乗率上げなければ」（MBC南日本放送）,https://news.yahoo.co.jp/articles/194c5e0b063af97f14490b61658e36b1b52239de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069781-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-06T19:13:00+09:00,2024-02-06T19:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1073,\nMBC南日本放送\n格安航空会社＝ＬＣＣのピーチ・アビエーションの奄美と大阪を結ぶ路線は、１１月から運休が続いています。奄美－成田線も今後、減便や運休が行われる計画で観光への影響が懸念されています。\n\nピーチ・アビエーションの奄美－大阪線は、２０１９年から１日１往復していましたが、去年１１月下旬から今月８日まで運休します。今月９日以降、３月までは１週間に３往復が再開しますが、４月から６月いっぱいは再び運休となります。\n\nピーチ・アビエーションは理由について「コロナ後に復活した国際線に機材を回したため」としています。成田と結ぶ路線についても現在１週間に５往復運航されていますが、ゴールデンウィーク後の５月７日から６月いっぱいは運休します。\n\n（奄美から大阪へ観光）「毎月東京か大阪に遊びに出かけていたが、ピーチがなくなって、なかなか行けなくなった。影響はかなりある。ぜひ再開してもらいたい」\n\n（大阪から奄美へ帰省）「若い人は絶対良いと思う。ピーチでないとだめ。あんなに安いのはない」\n\n奄美空港と大阪、成田を結ぶ便は、ピーチが運休した場合、それぞれ日本航空の１日１往復のみになるため、観光業にも影響がでています。\n\n（ホテルビッグマリン奄美 向井純一社長）「冬場、学生のお客様も多い。やはり『ピーチだったら安く来られたけど』という声もちらほらきている」\n\n奄美市の「ホテルビッグマリン奄美」ではレンタカーもあつかっていて、去年６月に３０台増やし、現在２２０台で営業しています。\n\n（ホテルビッグマリン奄美 向井純一社長）「レンタカーの方も稼働台数が目に見えて落ちている状況。通年飛んでいるというのが、お客様にとって安心感。先の予定が立てづらくなってしまうから、選択肢として奄美大島という選択が難しくなってしまう」\n\nピーチの機体は１便で最大２１８人搭乗できます。観光協会は、１年を通して運航するためにも「搭乗率を上げる努力が必要」と話します。\n\n（奄美大島観光協会 越間得晴会長）「首都圏という大きなマーケットから運休が始まるということで、かなり危惧はしている。奄美大島の観光の魅力というのを、もう一段階深掘りして魅力あるものにして、ＰＲして既存の航空路線をいっぱいにする。そういった所から始めていきたい」\n\nピーチの奄美と大阪、成田を結ぶ便が１日１往復に戻るのは、今年７月から９月の予定で、今後の運航計画については「搭乗率をみながら判断したい」としています。\nMBC南日本放送 | 鹿児島,[],[]
“和牛甲子園”で日本一　鹿屋農高をＪＡが横断幕で祝福「農家に勇気と元気を」鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/577bde9c361ca4dce08168e725b915fcd6d29e07,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069777-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-06T16:11:00+09:00,2024-02-06T16:11:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,517,\nMBC南日本放送\n牛を飼育する高校生が競う「和牛甲子園」で日本一に輝いた鹿屋市の鹿屋農業高校の生徒らにお祝いの横断幕が贈られました。\n\n鹿屋農業高校に６日、地元のＪＡ関係者から贈られた横断幕。「日本一」と書かれれています。\n\n生徒らは先月、全国の２５道府県から４１校が参加した「和牛甲子園」に出場して、総合評価部門で最優秀賞を受賞。学校として初めての日本一に輝きました。\n\n横断幕はその活躍を祝って作られたもので、生徒たちが枝肉評価部門で最高評価を得た牛肉のパックとともに生徒代表に手渡されました。\n\n（鹿屋農業高校・畜産科２年 門原真央さん）\n「取り組み発表と枝肉評価部門で最高評価を頂いた、後輩たちにそれを引き継いでほしい」\n\n（鹿屋農業高校・畜産科２年 長嶺葉月さん）\n「牛には総合優勝を取らせてくれて、ありがとうという気持ち」\n\n（ＪＡ鹿児島きもつき 下小野田寛組合長）\n「今、和牛農家が大変厳しい状況。鹿屋農高の素晴らしい成績が、農家に勇気と元気を与えてくれるのでは」\n\n横断幕を贈られた生徒たちは、喜びの表情を見せながら記念写真におさまっていました。\nMBC南日本放送 | 鹿児島,[],[]
ウクライナ風チーズケーキがコンビニに　侵攻２年…女性が込めた祖国への思い　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/19e028b17b8b87c9da5351a0879b6441786bcfed,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240206-00069778-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-02-06T16:09:00+09:00,2024-02-06T16:11:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,652,\nMBC南日本放送\nロシアによるウクライナへの侵攻が始まって今月２４日で２年です。鹿児島市で暮らすウクライナ出身の女性が監修したスイーツが６日から県内のコンビニで販売されています。女性が込めた思いとは？\n\nしっとりとしたカッテージチーズ入りの生地に、レーズンとレモン果汁を加えたチーズケーキ。\nウクライナに長く伝わるスイーツのひとつで、６日から、ファミリーマートで販売が始まりました。\n\n監修したのは、７年前にウクライナから来日し、鹿児島市で暮らす郡山虹夏さん（２７）。\nおととし２月に始まったロシアによるウクライナへの侵攻で、祖国にいた母親と妹が鹿児島で避難を続けています。\n\n虹夏さんは去年から、県内のイベントでウクライナ料理を販売する移動店舗のオーナーシェフを務めていて、今回、ウクライナ県人会を通して販売が決まりました。\n\n（スイーツを監修した郡山虹夏さん・ウクライナ出身）「おいしいウクライナの文化を通じて、ウクライナのことを忘れないでほしい」\n\n（南九州ファミリーマート商品開発グループ 黒木貴博さん）「日本で味わえないようなチーズケーキ。（虹夏さんは）『ウクライナ料理を日本人に食べてもらうことが幸せ』と言っていた。私たちも同じ」\n\n「リヴィウ風ウクライナチーズケーキ」は１個２９８円（税込み）で、来月４日まで鹿児島・宮崎県内のファミリーマートで販売されます。\n売り上げの一部は、ウクライナ県人会に寄付されるということです。\nMBC南日本放送 | 鹿児島,[],[]
