headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
道路脇の標識に衝突し酒気帯び運転の疑い発覚　81歳男を現行犯逮捕　鹿児島西署（南日本新聞）,https://news.yahoo.co.jp/articles/0f67f76a5fea116523dcdee8e6e5f9187dcb97a2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000013-minami-000-1-view.jpg?exp=10800,2024-12-02T23:05:24+09:00,2024-12-02T23:05:24+09:00,南日本新聞,minami,南日本新聞,165,（写真：南日本新聞社） 鹿児島西署は２日、道交法違反（酒気帯び運転）の疑いで、鹿児島市田上台１丁目、無職の男（８１）を現行犯逮捕した。逮捕容疑は同日午後６時５５分ごろ、近くの市道で、基準値を超える酒気を帯び軽乗用車を運転した疑い。同署によると、道路脇の標識に衝突する事故を起こした。近隣住民が１１０番した。 南日本新聞 | 鹿児島,[],[]
JAL機着陸後のパンク原因 ブレーキシステムに不具合か　タイヤが固定され摩擦ですり減った可能性　鹿児島空港（南日本新聞）,https://news.yahoo.co.jp/articles/127b6b6309421623386336ee49aaf9b0720bb3ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000012-minami-000-3-view.jpg?exp=10800,2024-12-02T21:30:22+09:00,2024-12-03T10:49:27+09:00,南日本新聞,minami,南日本新聞,470,鹿児島空港着陸後にパンクした日航機のタイヤ＝３０日午後１時４５分ごろ、霧島市の同空港（冷水悠真さん提供） １１月３０日、鹿児島空港（霧島市）に着陸した日本航空（ＪＡＬ）のボーイング７３７のタイヤがパンクした原因について、ＪＡＬは２日、「アンチロックブレーキシステムの不具合によりタイヤがすり減った」との見方を明らかにした。 【写真】着陸後にタイヤがパンクし、白煙を上げた日航機＝３０日午後１時４５分ごろ、霧島市の鹿児島空港（冷水悠真さん提供） ＪＡＬによると、不具合が出たとみられるのはブレーキ時にタイヤが固定されることを防ぐシステム。正常に作動しなかったことで着陸時に一部のタイヤが固定され、摩擦ですり減ったことによりパンクしたと推定している。詳細な原因は引き続き調査している。 パンクは１１月３０日午後１時４５分ごろ、羽田発鹿児島行き６４７便ボーイング７３７が着陸後に機体右側後方のタイヤで発生。白煙が上がったものの火災は発生せず、乗客１４４人と乗員６人にけがはなかった。滑走路は一時閉鎖され、欠航や遅れが出た。 南日本新聞 | 鹿児島,[],[]
夜のコインランドリー、洗濯機付近で不審な動き…理由なく立ち入った疑いで26歳の県立高校教員を逮捕　薩摩川内署（南日本新聞）,https://news.yahoo.co.jp/articles/a642a5ff02af3ff04d59011cf02f59e5532e0b1e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000011-minami-000-1-view.jpg?exp=10800,2024-12-02T21:02:21+09:00,2024-12-02T21:02:21+09:00,南日本新聞,minami,南日本新聞,279,（写真：南日本新聞社） 薩摩川内署は２日、建造物侵入の疑いで、県立高校教員の男（２６）＝鹿児島県薩摩川内市宮内町＝を逮捕した。 逮捕容疑は、６月８～１３日の夜間、３回にわたり、正当な理由なく同市のコインランドリーに侵入した疑い。 同署によると、店の従業員が６月１０日、洗濯機を触るなどの不審な動きをする人がいるとして、同署に相談。防犯カメラの映像などで男を特定した。容疑を認めている。 鹿児島県教育委員会の中島靖治教職員課長は「再三指導しているにも関わらず事案が発生したのは憂慮すべきこと。事実であれば厳正に対処する」とコメントした。 南日本新聞 | 鹿児島,[],[]
借りた重機を借金担保で無断転売　業務上横領容疑の会社役員逮捕　鹿児島南署（南日本新聞）,https://news.yahoo.co.jp/articles/df39f4065b7542c97ab9eea1e41da512a7f30661,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000010-minami-000-1-view.jpg?exp=10800,2024-12-02T20:35:22+09:00,2024-12-02T20:35:22+09:00,南日本新聞,minami,南日本新聞,233,（写真：南日本新聞社） 鹿児島南署は２日、業務上横領の疑いで、霧島市霧島大窪、会社役員の男（６６）を逮捕した。逮捕容疑は、自身が勤める会社が福岡県の会社から借り受けた油圧ショベル機２台（時価計１８００万円相当）を、昨年４月、県内で２回にわたって借入金の担保として引き渡し、横領した疑い。同署によると、今年３月３０日に被害法人が「賃貸契約中の重機が無断で転売されている」と届け出た。同署は捜査に支障があるとして、引き渡し先を明らかにしていない。 南日本新聞 | 鹿児島,[],[]
【速報】国道447号の全面通行止め解除　出水市上大川内鮎川－伊佐市大口白木（南日本新聞）,https://news.yahoo.co.jp/articles/c479b8e2f74b1acbf14f1e8d8eee65bd9263ec60,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000009-minami-000-1-view.jpg?exp=10800,2024-12-02T18:35:27+09:00,2024-12-02T18:35:27+09:00,南日本新聞,minami,南日本新聞,117,（写真：南日本新聞社） 鹿児島県北薩地域振興局によると、崩土のため全面通行止めとなっていた、出水市上大川内鮎川と伊佐市大口白木間の国道４４７号は点検が終わり、２日午後１５時半ごろから片側交互通行に切り替わった。 南日本新聞 | 鹿児島,[],[]
「らしさ」に縛られる男たち。根強く残る男性優位な社会構造は、逆に男性を苦しめている…2000人の声から浮かぶ「今」（南日本新聞）,https://news.yahoo.co.jp/articles/6604e26e82a958dbfaee4cf1b3713303c425d20e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000008-minami-000-1-view.jpg?exp=10800,2024-12-02T18:03:21+09:00,2024-12-02T18:03:21+09:00,南日本新聞,minami,南日本新聞,1291,（イメージ） 南日本新聞「こちら３７３」は国際男性デー（１１月１９日）に合わせ、「男らしさ、女らしさ」に関するアンケートを実施した。男性に男らしさが必要かを尋ねると、女性より男性が「必要」と感じる傾向があった。「男ならできる」など「らしさ」に基づく差別や偏見について、男性の２人に１人が感じた経験があると回答。専門家は「男性優位な社会構造は女性だけでなく、男性も苦しめている」と訴える。 【写真】〈関連〉「男性に男らしさは必要？」などアンケート結果をグラフで見る 男らしさが「必要」としたのは男性が７９％、女性は７１％だった。男性に男らしさを求めた経験が「ある」のは女性が６２％で、男性の４７％を１５ポイント上回った。 京都橘大の浜田智崇准教授（男性心理）によると、「責任のある役職に就くのは男性」など従来の「男性が優位な社会」では、男らしさが経済的な安定と結びつきやすい。男性が家計の柱となれば、女性も経済力を求めざるを得ない。自身の男らしさが脅かされないよう女性に「男性をたてる女性らしさ」を求める傾向もある。 アンケートでは、「らしさ」に起因する差別や偏見を半数近くの男性が感じるとした。具体的な差別や偏見について「『男だろ』『男ならできる』と言われる」「男は仕事、女は家庭」「跡取りは男性がなるべきだ」との回答が目立った。 浜田准教授は「男性間の格差が広がり権力や財力のあるわずかな男性以外は、『男性優位なはずなのに恩恵がない』という剝奪感や『何か成し遂げなければ負け』といった重圧を感じやすい」と指摘。「男性優遇の解消は、重圧からの解放や性別に縛られない生き方の選択につながる。女性だけでなく男性にも利点が多い」と話した。 ◇ アンケート結果によると、全体の７割が男性に男らしさが「必要」とし、求めた経験があると回答。半数超が「らしさ」に基づく差別や偏見を感じた経験があった。 １１月２２～２４日、ウェブ上で実施、１０～９０代の２０５７人（男性１０３４人、女性９８５人、その他・答えたくない３８人）が答えた。 男らしさは「やや必要」が５３％で「とても必要」を含めると７４％を占めた。女らしさの「必要」は７３％だった。 身の回りで「らしさ」に基づく差別・偏見を感じた経験は「ややある」が４３％で、「かなりある」と合わせ５７％だった。男女別では「ある」と回答した女性は６７％で、男性の４７％を大きく上回った。 男性に男らしさを求めた経験が「ある」は５４％、女性に女らしさを求めた経験は４９％だった。女らしさを求められたと感じた経験のある女性は５６％で、男らしさを求められた経験のある男性３７％を１９ポイント上回った。 「らしさ」の概念が行動に影響を「与えている」としたのは男性６０％、女性６１％で男女で差はなかった。 男らしさを感じるものとして挙がったのは「弱い存在を守る」「リーダーシップがある」「経済力がある」が多く、女らしさは「気遣いができる」「家庭的」「優しい」が目立った。 アンケートは多様な声を聞くのが目的で、無作為抽出の世論調査とは異なる 南日本新聞 | 鹿児島,[],[]
巨人・菅野、阪神・森下を育てた甲子園4度Vの監督が語る「プロ野球選手になる条件」　練習で大事なこと、指導者や子どもに伝えたいこと…門馬敬治氏に聞いた（南日本新聞）,https://news.yahoo.co.jp/articles/0356881301a6cec1bb0e68cd7516560a78e9c34e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000007-minami-000-1-view.jpg?exp=10800,2024-12-02T15:03:21+09:00,2024-12-02T15:03:21+09:00,南日本新聞,minami,南日本新聞,802,自身の指導観について話す門馬敬治さん＝姶良市の加治木中 １１月３０日に鹿児島県姶良市であった中学校の軟式野球指導者向け講習会で、創志学園高校野球部（岡山県）の門馬敬治監督（５４）が講師を務めた。東海大相模高監督時代は甲子園で計４度優勝し、巨人・菅野智之ら多くのプロ選手も育てた。プロに行く選手の条件などを聞いた。 －強いチームをつくる方法をどう考えるか。 「リーダーが思いを選手と共有できるか、選手がリーダーの思いを上回るモチベーションでいられるか。そこが重要だ」 －日頃の練習の中で意識していることは。 「選手が『感じる』『考える』ことを大切にしている。一つの練習、アドバイス、プレーをどう感じられるか。試合でデータを使うが、頭に入れるだけではなく生かすことが大事。そのために相手のピッチャーやバッターのことを感じないといけない」 「主体性を持たせること。何もないところから自分で考え、結果に責任も取る。それができないといいプレーはできない」 －プロに行く選手の条件とは何か。 「力があるのは最低条件。その上に素直さ、欲張り、上昇志向などたくさんの資質がある。超負けず嫌いが生き残る。（菅野）智之にしても、（阪神の）森下にしてもみんな負けず嫌いだった」 －鹿児島の印象、野球のイメージは。 「鹿児島には監督２年目で南日本招待野球で最初に来た。甲子園で言えば、鹿児島実業の定岡正二さんと東海大相模の原辰徳さんの延長１５回の熱闘が印象深い」 －鹿児島の指導者や子どもたちにひと言。 「最終的に一番大事にしないといけないのは野球ではなく、家族、先生、仲間など身近な人。野球は人がするスポーツだからだ」 ◇ もんま・けいじ 横浜市出身。東海大相模高から東海大に進学。同高校コーチを経て、１９９９年に監督となり、甲子園を春夏計４度制覇した。創志学園高では今年３月の選抜高校野球に出場した。 南日本新聞 | 鹿児島,[],[]
和牛というけど餌は輸入頼り…目指せ“純国産”、産学学プロジェクトが始動した。地域課題も解決へ意気込む農業高校生（南日本新聞）,https://news.yahoo.co.jp/articles/33bf4fe5f210439f46fcd0ba2a0d630ad2a3a77b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000006-minami-000-2-view.jpg?exp=10800,2024-12-02T11:51:00+09:00,2024-12-02T11:55:54+09:00,南日本新聞,minami,南日本新聞,737,国産の餌を牛に与える鹿屋農業高校の生徒＝鹿屋市の同校 鹿児島県立鹿屋農業高校（鹿屋市）と南州農場グループの飼料会社南州エコプロジェクト（錦江町）、鹿児島大学がタッグを組み、国産飼料で育てた“純国産”の和牛や黒豚の生産実現へ向けたプロジェクトを始動させた。同社開発の国産トウモロコシや大麦、大豆などを使う飼料を同校の牛や豚に１１月から試験的に与えており、来秋の初出荷を目指す。 【写真】国産の飼料で肥育する予定の和牛と、世話をする高校生＝鹿屋市の鹿屋農業高校 肉用牛や豚を飼育するには通常、大量の穀物が必要となるが、日本では飼料原料の大半を輸入に頼っている。一方で、大隅地域では農家の高齢化により遊休農地や耕作放棄地が増えている。プロジェクトは、両課題を解決しつつ新たな付加価値を生み出す狙い。 同社が鹿屋、垂水、南大隅、錦江、肝付の２市３町の耕作放棄地などで育てた飼料用作物で濃厚飼料を製造し、同校の牛１頭に１年間で３．９トンを給餌する計画。豚８頭にも試験的に給餌する。鹿大共同獣医学部畜産学科は飼料設計や肉質検査で協力する。稲わらなどの粗飼料も国産を使用し最終的に一部添加物を除き、餌の９５％以上を国産にして育てる予定だ。 同社は以前から、南州農場で出る堆肥の利用や耕作放棄地での飼料用作物生産に力を入れてきた。総務部の大野徹係長（２７）は「耕畜連携の推進によって、持続可能な飼料生産体系を構築し、農家の安定経営や生産した肉の高付加価値化を目指したい」と語る。 同校３年の森元陽哉さんは「輸入飼料を使って育てた牛に負けない良い牛を作りたい」と意気込む。プロジェクトのクラウドファンディングを１２月５日から始める予定。同社＝０９９４（２５）１１２９。 南日本新聞 | 鹿児島,[],[]
汽笛鳴らして出発進行！　線状降水帯による大雨で線路に土砂流入…JR日南線が運行再開（南日本新聞）,https://news.yahoo.co.jp/articles/35f95133b90b0fdb087068e7ac64432c4ef2f5a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000005-minami-000-2-view.jpg?exp=10800,2024-12-02T10:25:21+09:00,2024-12-02T11:47:46+09:00,南日本新聞,minami,南日本新聞,434,ＪＲ日南線運行再開を祝い、串間市職員に見送られる始発列車＝２日午前５時５０分、志布志市のＪＲ志布志駅 鹿児島と宮崎をつなぐＪＲ日南線は２日、南郷－志布志間の運行を再開した。宮崎県内で発生した線状降水帯による大雨で線路に土砂が流入し、１０月２２日から不通となっていた。始発の志布志駅（志布志市）で午前５時５０分、出発式があった。 【写真】〈関連〉ＪＲ日南線のルートと駅名を地図で確認する 沿線４市（志布志、串間、日南、宮崎）でつくる日南線利用促進連絡協議会が再開を祝い、志布志、串間、南郷の３駅で出発式を開き、乗客にカイロを配布した。志布志駅では日南線イメージキャラクター「ニッチー」が乗り込み、協議会が見送る中、特別に汽笛を鳴らし出発した。 ＪＲ九州宮崎支社企画運輸課の竹之下仁志さん（３５）は「代行バスが運行していたとはいえ、通学生は（鉄路の）再開を喜んでいるのではないか。沿線自治体や地域の皆さんと共に日南線を盛り上げていきたい」と話した。 南日本新聞 | 鹿児島,[],[]
諏訪之瀬島で噴火2回　噴煙は1300ｍまで上がる（南日本新聞）,https://news.yahoo.co.jp/articles/bc5ab95d01bb00a3a841c9f5fb45f00c9ce53247,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000004-minami-000-1-view.jpg?exp=10800,2024-12-02T08:30:21+09:00,2024-12-02T08:30:21+09:00,南日本新聞,minami,南日本新聞,166,噴煙を上げる諏訪之瀬島の御岳（資料写真） 鹿児島県十島村・諏訪之瀬島の御岳で1日、午後11時までに2回の噴火があり、噴煙量が中量以上の噴火は1回あった。福岡管区気象台によると、噴煙の高さは最大1300メートル。大きな噴石の飛散は確認されていない。噴火警戒レベルは２（火口周辺規制）。 【写真】九州の主な活火山 南日本新聞 | 鹿児島,[],[]
「今年も豊漁になれば」シラスウナギ漁が解禁　無許可漁には厳しい罰則も　鹿児島県大崎町の菱田川（南日本新聞）,https://news.yahoo.co.jp/articles/248cc4b229c6a68c554f821a2f5de70b88b38393,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-00000003-minami-000-2-view.jpg?exp=10800,2024-12-02T07:00:21+09:00,2024-12-02T11:48:26+09:00,南日本新聞,minami,南日本新聞,420,海面をライトで照らし、シラスウナギをすくう人たち＝１日午後６時過ぎ、大崎町の菱田川河口 鹿児島県内のシラスウナギ（ニホンウナギの稚魚）の２０２４年度漁が１日、日没と同時に解禁された。大崎町の菱田川河口では採捕者１００人余りが腰まで水に漬かり、ライトで照らしながら、大きな網で稚魚をすくい上げていた。 【写真】〈別カット〉海面を照らし、シラスウナギを網ですくう採捕者＝１日午後６時４１分、大崎町の菱田川河口 シラスウナギは近年、漁獲量の減少が続いているものの前年度は好調で、採捕量は過去１０年で最多の７６７キロに上った。約１時間で７匹を取った同町菱田の川越ミヨ子さん（６９）は「選んだ場所が良く、今までで一番好調。今年も豊漁になれば」と話した。 県水産振興課によると、２４年度漁期は資源保護のため、計３０日間の休漁期間を挟み来年３月末の日の出まで。無許可で採捕すると、３年以下の懲役か３０００万円以下の罰金が科される。 南日本新聞 | 鹿児島,[],[]
