headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
一足早い春　奄美でヒカンザクラ開花　指宿では早咲きの桜も　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/00cb1b2593b74f29918d4a685fa430108f34c0d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069443-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-01-17T19:23:00+09:00,2024-01-17T19:25:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,341,\nMBC南日本放送\n一足早い春の便りが届き始めています。奄美市の名瀬測候所では１７日午前、ヒカンザクラが５～６輪咲いているのが確認され、開花が発表されました。\n平年より３日、去年よりも３日早い発表です。\n\n一方、指宿市山川にあるフラワーパークかごしまでは、早咲きのサクラ「イズノオドリコ」が６０本植えられていて、先週から開花が始まっています。\nまた、濃いピンク色で下向きに花が咲くのが特徴の「カンヒザクラ」も咲いていて、８分咲きの木もありました。\n\n青空のもとで、訪れた人たちが花々を眺めたり写真を撮ったりしていました。\n\n県本土は１７日までは穏やかに晴れて“お花見日和”となりましたが、１８日からは天気が下り坂となる見込みです。\nMBC南日本放送 | 鹿児島,[],[]
「川に浮いている人がいる」川で一部白骨化した遺体見つかる　警察が身元特定急ぐ　鹿児島県霧島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/aee354a9c65c357d1b27f698c16397c7340e0db2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069445-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-17T21:19:00+09:00,2024-01-17T21:19:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,281,\n霧島市溝辺町の川で１７日午後、一部が白骨化した遺体が見つかり、警察が身元や死因を調べています。\n\n霧島警察署によりますと、１７日午後３時２０分に霧島市溝辺町有川で作業をしていた人から「川に浮いている人がいる」と１１０番通報がありました。\n\n遺体は、川の深さ１０センチほどのところにうつぶせに倒れている状態で見つかり、一部が白骨化していました。\n\n性別や年齢は分かっておらず、緑色の上着と黒色のズボンを身につけていたものの、靴は履いていませんでした。\n\n警察は、身元の特定を急ぐとともに、死因などを調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069445-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/aee354a9c65c357d1b27f698c16397c7340e0db2/images/000']
軽乗用車で横断歩道上の歩行者をはねてけがさせた疑い　会社員の男（４３）現行犯逮捕　鹿児島県霧島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/1f672a5c91d16ceb22bcb37b801a7fc175023fe4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069447-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-17T21:58:00+09:00,2024-01-17T21:58:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,312,\n霧島市隼人町で横断歩道を渡っていた女性を軽乗用車ではねてけがをさせたとして、運転していた会社員の男（４３）が現行犯逮捕されました。\n\n過失運転傷害の疑いで現行犯逮捕されたのは、霧島市横川町中ノの会社員の男（４３）です。\n\n霧島警察署によりますと、男は１７日午後６時すぎ、霧島市隼人町内山田の県道で軽乗用車を運転し、横断歩道を渡っていた女性（２２）をはねてけがをさせた疑いです。\n女性は病院に運ばれましたが、命に別状はないということです。\n\n現場は片側１車線の県道で交通量は多く、信号は設置されていない場所だということです。\n\n警察は、当時の状況などを詳しく調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069447-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/1f672a5c91d16ceb22bcb37b801a7fc175023fe4/images/000']
「親戚が亡くなり福岡に行くために…」うそを言って就職予定の会社から給料５万円前借り　詐欺容疑で男（３３）逮捕　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/28fdc72c8ec8acdafa3656c4750af34aeff7c89e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069446-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-17T21:56:00+09:00,2024-01-17T21:56:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,388,\n「親戚が亡くなったので福岡に行くために給料を前借させてほしい」などとうそを言い、就職予定だった会社から現金５万円をだまし取ったとして、アルバイト従業員の男（３３）が逮捕されました。\n\n詐欺の疑いで逮捕されたのは、住所不定のアルバイト従業員の男（３３）です。\n\n阿久根警察署によりますと、男はおととし６月初旬に就職予定だった長島町の会社に「親戚が亡くなったので福岡に行きたいが、交通費がないのでお金を貸してほしい。働いて返す」などとうそを言い、給料の前借りの名目で現金５万円をだまし取った疑いが持たれています。\n\nその後、男が出社せず、連絡も取れなくなったため、会社が警察に相談していました。\n\n警察の調べに対し、男は「親戚が亡くなったのはうそで、金は居酒屋での飲食宿泊費に使った」などと話し、容疑を認めているということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069446-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/28fdc72c8ec8acdafa3656c4750af34aeff7c89e/images/000']
おやつの後、体調急変し６か月女児死亡　「原因究明は難しい」検証委員会が中間報告　鹿児島県姶良市の保育園（MBC南日本放送）,https://news.yahoo.co.jp/articles/496a96c15fe989471fc89a89a8640109ca8feb94,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069442-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-17T19:21:00+09:00,2024-01-17T19:21:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,855,\nMBC南日本放送\n鹿児島県姶良市の保育園で、生後６か月の女の子がおやつを食べたあと体調が急変し、その後死亡した事故です。市の検証委員会は１７日、「原因究明は難しい」との認識を示しました。\n\n（事故検証委員会 伊東安男委員長）「専門家でも警察でもないので、原因究明は私たちの手では、難しいという判断をしている」\n\nこの事故は去年４月、姶良市にある私立の「興教寺保育園」で、当時６か月の女の子が、おやつとして、すりおろしたリンゴを与えられたあと体調が急変したものです。\n\n女の子は意識不明の状態で搬送され、およそ４０日後に死亡しました。死因は、食べ物を詰まらせ窒息したことによる多臓器不全で、気管に７ミリから８ミリの食べ物が詰まっていました。\n\n姶良市は去年６月、保育関係者や弁護士らでつくる検証委員会を立ち上げ、遺族や保育園への聞き取りのほか、市内の保育施設などに離乳食についてのアンケートを行うなどして、原因分析や再発防止策を検討してきました。\n\n伊東安男委員長は１７日の中間報告で、女の子がなぜ食べ物を詰まらせてしまったのか「究明は難しい」との認識を示しました。\n\n（事故検証委員会 伊東安男委員長）「すりつぶしたリンゴを与える過程を保育園で見せてもらったが、それを見る限り、原因究明にあたる部分は分からなかった。いろんな要因が重なって起こったことは間違いない」\n\n検証委は「保育の現場では現在、人手不足や研修の不十分さ、保護者との連携不足などが課題となっている」としたうえで、再発防止策のとりまとめを進めています。\n\n（事故検証委員会 伊東安男委員長）「なかなか現実問題として、３人の子どもを１人の保育士で見るのは大変。どこで起きても不思議はない状況があるのではないか。ある意味で警鐘を鳴らした事故だった。二度とこういうことが起きないためにどうするかが検証委員会に課された課題」\n\n検証委員会は３月には報告書をとりまとめる方針です。\nMBC南日本放送 | 鹿児島,[],[]
ＪＲ指宿枕崎線　特急列車が人をはね約２時間運転見合わせ　普通列車１２本が運休（MBC南日本放送）,https://news.yahoo.co.jp/articles/011ae30422bb68e7f63fc26d0e04497d3cc8d53f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069441-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-17T19:18:00+09:00,2024-01-17T19:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,314,\nMBC南日本放送\n鹿児島市のＪＲ宇宿駅で１７日午後、指宿枕崎線の特急列車が人をはねました。指宿枕崎線は一時、運転見合わせとなり、列車が運休するなど影響が出ました。\n\n警察やＪＲ九州によりますと、１７日午後２時ごろ、鹿児島中央駅を出発した指宿枕崎線の特急列車「指宿のたまて箱５号」が、宇宿駅を通過中に線路で人をはねました。はねられた人は死亡しました。\n\n列車には乗客・乗員あわせて２９人が乗っていましたが、けがはありませんでした。\n\n指宿枕崎線は、鹿児島中央と指宿の間でおよそ２時間にわたって上下線とも運転を見合わせ、普通列車１２本が運休するなど、およそ８００人に影響が出ました。\nMBC南日本放送 | 鹿児島,[],[]
復習のつもりが本番の解答を誤配布　鹿児島学習調査で教諭が問題と解答を事前配布「勘違いで配ってしまった」（MBC南日本放送）,https://news.yahoo.co.jp/articles/e386dd1ef8aef2125721abb5963996ee35e9790c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069440-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-17T19:16:00+09:00,2024-01-17T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,447,\nMBC南日本放送\n県内の小・中学生を対象とした学力調査をめぐり、２つの中学校で、誤って事前に問題や解答が配布されていたことがわかりました。\n\n小・中学生を対象にした鹿児島学習定着度調査は、今月１６日と１７日に行われました。\n\n県教育委員会によりますと、問題や解答が事前に配られたのは、南薩地区と大隅地区の中学校です。調査を行う前に、復習のため去年の問題を配った際、教諭が誤って今年の問題や解答を配りました。「教諭の勘違いで配ってしまった」ということです。\n\n誤配布のあと、２つの中学校では予定通り学力調査が行われましたが、県教委は「正確な調査にならない」として該当する生徒の結果は反映させないとしています。\n\n県教委は県内すべての小・中学校に対し、問題や解答の取り扱いを厳正に行うよう文書で通知したということです。\n\n学習定着度調査は、県内の公立の小学５年、中学１年、中学２年を対象に市町村別の学力を調査するもので、毎年行われています。\nMBC南日本放送 | 鹿児島,[],[]
能登半島地震　給水隊として現地入りした水道局職員が見た被災地　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/59054608a0e19146a81f7c9e1204dd53a11d1372,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069444-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-01-17T19:10:00+09:00,2024-01-17T19:11:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1205,\nMBC南日本放送\n能登半島地震は発生１７日目。\n災害関連死を含む死者が２３２人に上るなど、大きな被害が出ていて、鹿児島からも支援チームが続々と現地入りしています。\n応急給水隊として活動した鹿児島市水道局の職員に、被災地の現状や今後の備えなどについて聞きました。\n\n（第１班の隊長を務めた・鹿児島市水道局 駒走好文さん）\n「北に行けば行くほど道路損傷がいろいろ陥没、隆起、段差、亀裂ありまして」\n\n給水隊の第１班の隊長を務めた鹿児島市水道局の駒走好文さんです。\n鹿児島市水道局は、今月５日に出発した５人１組の給水隊を皮切りに順次、給水隊を送っていて、現在、第３班が活動しています。\n\n隊員らが活動した石川県能登町では、１６日時点でも６１００戸が断水したままで、住民は公民館などで給水を受けています。\n\n現地入りした駒走さんはまず、各地で道路が損傷していて復旧や支援に難しさを感じたといいます。\n\n（第１班の隊長を務めた・鹿児島市水道局 駒走好文さん）\n「能登町は金沢市から５、６時間かかるようであれば物資にも影響があり、まずは道路の改善、復旧が急がれる」\n\n第２班の隊長を務め、鹿児島に戻った甲斐利彦さんは、被災者はトイレの水に苦労していたと話します。\n\n（第２班の隊長を務めた・給排水設備課 甲斐利彦さん）\n「（流す）水をいっぱい持ってトイレにいかないといけないので、子どもや年配の方は負担が大きかった」\n\n大雪も降る過酷な環境の中で行われた給水活動。住民からの感謝が支えになったといいます。\n\n（第１班の隊長を務めた・鹿児島市水道局 駒走好文さん）\n「遠くから来たんですね。感謝の声をかけてもらってこちらが元気づけられた」\n\n現地では第４班が今月２６日まで活動する予定ですが、石川県では能登半島を中心に５万２０００世帯余りで断水が続いていて、県は復旧まで２か月以上かかるとの見通しを示すなど、長期化のおそれもあります。\n\n（第１班の隊長を務めた・鹿児島市水道局 駒走好文さん）\n「まだ復旧の見通しはたっていないが、断水・応急給水活動については長期化する可能性がある。市もできる限り支援協力していきたい」\n\n国などは災害時にライフラインが止まった場合に備えて普段から水などを備蓄するよう呼びかけています。１人１日３リットルが目安とされ、１週間分の備蓄が望ましいとされていますが、今回のように長期化するおそれもあります。\n\n鹿児島市水道局では災害時に給水拠点となる９２か所をホームページで公開していて、そうした情報もみながら日頃から災害への備えを考えてほしいとしています。\n\n１７日は阪神・淡路大震災から２９年の日でもあります。今一度、災害にどう備えるのか、そして命をどう守るのか考える日としましょう。\nMBC南日本放送 | 鹿児島,[],[]
「少しでも復興の役に」大新潟展が山形屋で始まる　グルメや雑貨を買って応援　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/a745834a7ad4866079baf47fe4da4d1a1a0889b2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069439-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-01-17T19:14:00+09:00,2024-01-17T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,852,\nMBC南日本放送\n鹿児島市の山形屋で、新潟県の旬の味覚や工芸品などを集めた「大新潟展」が始まりました。能登半島地震で被災した地域からの出展もあります。\n\n（馬場真一営業本部長）\n「鹿児島のお客様が新潟の皆さまの応援に沢山来られると思う。少しでも新潟の経済を動かすことにお役に立てる取り組みが出来れば」\n\n１７日から山形屋で始まった大新潟展。\n今月１日に発生した能登半島地震で、新潟県は最大で震度６弱を観測し、５０人近くがけが、４６００棟以上の建物が被害を受けました。\n地震発生から２週間余りで開かれた今回は５６社が出展し、およそ１３００品を販売しています。\n\n日本酒を出品している佐渡市の北雪酒造では、酒瓶が割れたり、貯蔵していたタンクからおよそ２６０リットルの酒がこぼれたりする被害がありました。\n\n（北雪酒造 相澤慎さん）\n「商品として提供できない、今年は厳しい状況」「鹿児島の方にお酒を紹介できる機会はうれしく思う。新潟を頑張って明るく盛り上げたい」\n\n米粉で作ったカラフルなパンを焼きたてで提供する新潟市のＫｉｎｏベーカリー。中には、柿の種をトッピングした新潟らしい変わり種も並びます。\n\n大正５年から続くこちらの老舗和菓子店は、よもぎの団子を笹で包んだ新潟銘菓・笹団子を、かわいらしいパンダにアレンジ。\n弾力のある餅に甘さ控えめのあんこが詰まっています。\n\n南魚沼市からは、魚沼産コシヒカリからでる米ぬかや玄米などを利活用して作られたカイロが初登場。レンジで温めて繰り返し使えます。\n\n初日から多くの人が訪れ、グルメや雑貨、工芸品など幅広い新潟の魅力に触れていました。\n\n「北雪酒造の日本酒を買った。辛口でおいしかった。震災がかわいそうで仕方がない、はやく復興してほしい」\n\n「お酒とおつまみとベーグルを買った。少しでも復興に役立てれば」\n\n大新潟展は鹿児島市の山形屋で、今月２３日まで開かれています。\nMBC南日本放送 | 鹿児島,[],[]
３０年来の夢がついに…！県本土最南端で初醸造ワインが完成！花瀬ワインのお披露目会　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/53ffa60f0b1c10488317e42b8d84e62447df70d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069437-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-01-17T19:07:00+09:00,2024-01-17T19:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,621,\nMBC南日本放送\n錦江町にある本土最南端のワイナリーで初めて醸造されたワインが完成し、１７日披露されました。\n\n赤ワインの代表的な品種・メルローを使ったすっきりとした味わいの赤に・・・早摘みのデラウェアでキリっと仕上げた白。\nロゼは、巨峰の皮からも成分を抽出し、エレガントな香りと味わいが広がります。\n\n手がけたのは錦江町にある県本土最南端のワイナリー、花瀬ワイナリーです。\n代表の浜田隆介さんはおよそ３０年前、錦江町花瀬地区にある亡くなった父のブドウ農園を引き継ぎました。ワイン向きのブドウの栽培などに取り組み、去年８月、ワインを初めて醸造。夢だったという花瀬ワインが完成しました。\n\n（花瀬ワイナリー醸造家 浜田隆介さん）\n「どう表現すればいいか分からないほどどうれしい。花瀬というまちを皆さんに知っていただいて、喜んでいただけるようなものになればいいと思う」\n\n１７日は錦江町の職員やワインバーの関係者ら、およそ９０人がその味を確かめていました。\n\n（参加者）\n「ロゼが一番好き。甘くもないし、食事に合いやすいワインだと思ってたくさん飲んでしまった」\n\n「鹿児島のワインって初めて飲んだ気がする、今まで意識して飲んだことがなかったので、すごくいいなと思った」\n\n花瀬ワインは、来月２０日から、オンラインショップで販売されます。\n\n※浜田さんの浜は「まゆはま」\nMBC南日本放送 | 鹿児島,[],[]
山形屋の紙の手提げ袋　３月から有料化へ　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/df8b635fc62c2e57dc1a199a6b05978fb3e1299f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069438-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-01-17T19:12:00+09:00,2024-01-17T19:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,518,\nMBC南日本放送\n山形屋といえば、こちらの紙の手提げ袋。\n買い物や贈り物などで多くの県民に使われているこの袋は、これまで無料でしたが、今年３月から、有料化されることになりました。\n\n３月から有料化されることになったのは、山形屋のロゴの入った紙製の手提げ袋です。\n価格は税込みで、白い袋は１１円、茶色いクラフト袋は３３円、ワイン用の袋は５５円で、鹿児島・宮崎の各店舗やサテライトショップ、山形屋ストアなどが対象となります。\n\n山形屋は２０２０年にプラスチック製のレジ袋を有料化し、客にマイバッグの利用を促してきました。しかし、無料の紙製手提げ袋の利用が増えるなどし、おととしの使用量は前年より１１．４トン増加しました。\n\nそうした中で、環境保全に関する取り組みをさらに進めるため、３月から有料化することを決めたのです。\n\n（山形屋広報室 坂口博英部長）\n「コロナ禍から経済活動も徐々に活発化し、紙手提げ袋の使用量も増えている。お客様にはご負担をかけるかもしれないがご理解いただければ」\n\n山形屋は、有料化については店内に設置したお知らせやホームページで、周知を図っています。\nMBC南日本放送 | 鹿児島,[],[]
