headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「きれいに疑い晴れて」大谷翔平選手の会見に街の人は…水原一平氏の違法賭博に関与否定（MBC南日本放送）,https://news.yahoo.co.jp/articles/4e10cca3f3df1ec9d1679984763e7183451d7187,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070557-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-26T19:59:00+09:00,2024-03-26T19:59:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,783,\n大谷選手の通訳が違法賭博に関与していた疑いでドジャースを解雇された問題。大谷翔平選手は２６日、初めてこの問題について会見し、自身の関与を否定しました。このニュース、街の人はどう思ったのでしょうか。\n\n（大谷翔平選手）「彼（水原氏）が僕の口座からお金を盗んで、僕の周りにも嘘をついていたのが結論です」\n\n日本時間の２６日に会見を開いた大谷選手は、通訳の水原氏が大谷選手の口座に勝手にアクセスして送金していたと話し、違法賭博について自身の関与を否定しました。\n\n（大谷翔平選手）「僕自身も信頼していた方の過ちっていうのを悲しくというかショックです」\n\n\n２６日に行われた大谷選手の会見。街の人はどう見ているのでしょうか。\n\n（２０代）「大谷が悪くはないと思ったので、かわいそうだなと。最初にあのようになってしまうと、なかなか（試合への）気持ちが乗らないんじゃないかと思う」\n\n（１０代）「裏切られた形になってとても残念。割り切って野球のことだけ考えてやればいい」\n\n（７０代）「きれいに疑いが晴れるのを。結婚もしたばかりだし、かわいそう。涙出てくる」\n\n自身の関与を否定した大谷選手に同情の声が上がった一方で、調査中のため本人の説明のみで質疑応答がなかったことに詳しい説明を求める声も。\n\n（２０代）「お互い言っていることが本当なのかなと思う（Ｑ．はっきりしないと応援したい気持ちには）そうですね。もうちょっと具体的に知りたい」\n\n（６０代）「残念なのは会見で質疑応答がなかった。日本の宝。これはこれとして、自分の才能を生かした成績を残してくれるだろうと期待している」\n\n鹿児島県内でも多くのファンがその活躍に期待する大谷選手。ファンの気持ちに応えるためにも、さらなる説明が求められます。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070557-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/4e10cca3f3df1ec9d1679984763e7183451d7187/images/000']
鹿児島市で住宅２棟全焼　２人の死亡　居住夫婦と連絡取れず（MBC南日本放送）,https://news.yahoo.co.jp/articles/9f46fa3e113447e9d6b88d8c519c4f41f6185f3f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070559-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-26T20:07:00+09:00,2024-03-26T20:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,476,\nMBC南日本放送\n鹿児島市で２６日朝、住宅２棟が全焼し、２人が死亡しました。現場は密集した住宅街で、一帯には煙が広がり、一時騒然としました。\n\n朝の住宅街に激しく火柱が上がり、黒い煙が覆っています。\n警察などによりますと、鹿児島市郡元２丁目で２６日午前７時半ごろ、火事に気付いた近くの住民から通報がありました。\n\n（記者）「周囲は住宅地ですが、煙が充満し、辺りは真っ白で見えません」\n\nこの火事で、無職の牧野隆雄さん（７３）の木造２階建ての住宅と、隣接する３階建て住宅のあわせて２棟が全焼。牧野さんの住宅からは、合わせて２人が見つかり、死亡しました。\n\n現場は住宅などが密集する地域で、避難する住民の姿もみられました。\n\n（近くの住民）\n「隣が燃えていると危ないなと、すぐ避難した」\n「こっちに来るんじゃないかと、どきどきだった」\n\n牧野さんは７０代の妻と二人暮らしですが、現在、牧野さん夫婦２人と連絡がとれておらず、警察で遺体の身元の確認を進めるとともに、火事の原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
地価公示　住宅地・龍郷町と商業地・奄美市が上昇率トップに　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/91bf312bdd70625b82b83480787a03b7a682d71d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070555-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-26T19:53:00+09:00,2024-03-26T19:53:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1132,\nMBC南日本放送\n全国の土地の価格＝地価が２６日に公示され、鹿児島県全体は３２年連続で下落しました。鹿児島市は商業地・住宅地ともに３年連続で上昇した一方、上昇率でみると、トップは奄美大島でした。何が起きているのか、取材しました。\n\n（記者）「鹿児島中央駅西口を出てすぐの場所では、マンションの建設が進んでいます。向かいの建物は解体された後、マンションが建てられる予定だということです」\n\n２６日に公表された地価公示。国が調査した今年１月１日時点の１平方メートルあたりの土地の価格＝地価です。\n\n県内の住宅地で最も地価が高かったのは、鹿児島市西田２丁目１６番の２６万４０００円。国によりますと、鹿児島中央駅周辺に再開発ビルなどが相次いでオープンし、生活の利便性が高まる中、分譲マンションなどの需要が伸びているということです。\n\n「（Ｑ．マンションのチラシなどは入っている？）入っている。便利だし、いいな思う」\n\n「建物がすごく増えていて、遊んだり買い物をしたりするのにはすごく便利。（Ｑ．価格も含め、暮らすのは？）個人的には厳しい」\n\n一方、県全体でみると、商業地・住宅地などをあわせた平均地価は７万１０００円で、３２年連続で下落しました。\nこのうち、住宅地の平均価格は県全体は４万３５００円で、２６年連続で下落した一方、鹿児島市では９万３６００円と３年連続で上昇しました。\n上昇率でみると、トップは奄美大島・龍郷町瀬留玉里のプラス３．６％。奄美市のベッドタウンとしての需要が底堅いようです。\n\n商業地も県全体の平均は１２万９３００円と、３３年連続で下落したのに対し、鹿児島市の平均地価は２９万１６００円と、３年連続で上昇。最も地価が高かったのは、鹿児島市東千石町１３番の１１５万円でした。\n\nしかし、上昇率でみると…。\n\n（記者）「今年６月に完成予定のこちらの分譲マンションは、４９戸すべてが完売しています」\n\n奄美市の繁華街、屋仁川通り近くの名瀬入舟町です。プラス３．２％と、県内で唯一３％を超えました。近くの名瀬港の一部を埋め立てたエリアに分譲マンションなどの建設が進んでいます。地域にホテルが２棟建てられるなど、回復する観光需要も地価を押し上げたとみられています。\n\n（ホテルサンデイズ奄美を経営 竹山真之介社長）「（観光回復などが）価格上昇につながっている。世界遺産の登録があったので、少しずつお客さんがコロナ後に戻ってきつつある」\n\nこのほか、離島の商業地では、西之表市東町が馬毛島での基地工事に伴う工事関係者の増加でプラス２．０％と、県内で６番目の上昇率でした。\nMBC南日本放送 | 鹿児島,[],[]
小林製薬の「紅麹」鹿児島県内にも影響　福山黒酢が一部製品を自主回収　サプリ製品利用者「えええという感じ」（MBC南日本放送）,https://news.yahoo.co.jp/articles/ba07a0a575da950dab11bd36aaed6cb3fd6857c7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070558-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-26T20:04:00+09:00,2024-03-26T20:04:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,810,\nMBC南日本放送\n小林製薬の紅麹の成分を含むサプリメントを摂取した人に健康被害が出ている問題は、全国に影響が広がっています。鹿児島県内の醸造メーカーでも原料に使用していた一部製品の自主回収を発表しました。\n\nこの問題は、今月２２日、小林製薬が、紅麹の成分を含むサプリメントを摂取した人に腎疾患など健康被害が確認されたと発表したものです。\n\nさらに、２６日、紅麹が使用された製品を利用していた人が腎疾患により死亡し、製品との因果関係を調査していると発表しました。そのほかＪＮＮの調べでは、腎疾患などでの入院の申告は今月２５日までに８０件近くにのぼるとしています。\n\n小林製薬の紅麹は、食品メーカーなど５２社に原料として供給しており、県内にも影響がでています。\n\n霧島市の福山黒酢では、一部製品の原料に紅麹を使用しており、黒酢やドレッシングおよそ１１万４０００本を自主回収すると、２５日に発表しました。福山黒酢では、使用しないよう呼びかけていますが、「健康被害などは確認されていない」としています。\n\n一方、鹿児島市の８０代男性は、小林製薬の紅麹が含まれた山本漢方製薬のサプリメントを今月２０日から２５日まで毎日、摂取していました。\n\n（鹿児島市・８０代男性）「えええという感じです。『小林製薬から仕入れたものです。直ちに中止をしてください』と（言われた）」\n\n男性は２６日朝、紅麹が含まれていることに気づき、メーカーに問い合わせて知ったと言います。県内で被害が広がることに不安を感じています。\n\n（鹿児島市・８０代男性）「店頭に出してあるなら、引っ込めて欲しい。鹿児島県でもあるかもしれないなと、１人でも２人でも被害が広がらなければと思う」\n\n小林製薬では、対象となる製品をホームページ上で発表しており、これらの使用を中止するよう呼びかけています。\nMBC南日本放送 | 鹿児島,[],[]
今月末に鹿児島県内の１７小学校・１０中学校が閉校へ　さつま町永野小学校も１４６年の歴史に幕（MBC南日本放送）,https://news.yahoo.co.jp/articles/515eb2b1e8fc4e2eb5f790d1c6a0085d60519e16,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070554-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-26T19:46:00+09:00,2024-03-26T19:46:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1411,\nMBC南日本放送\nこの春、鹿児島県内では、児童数の減少にともなって薩摩川内市、曽於市、南さつま市、さつま町、十島村の５つの市町村で、中学校あわせて１０校・小学校１７校が閉校します。\n\nこの中で、さつま町では求名、永野、中津川の３つの小学校が閉校し、中津川小学校に新たに「薩摩小学校」が誕生します。\nこのうち、開校から１４６年、地域に愛されながらも幕を閉じることになった「永野小学校」の最後の日々を取材しました。\n\n\nさつま町東部の山あいにある、永野小学校です。創立は明治１０年＝１８７７年で、１４６年を迎えたこの春、閉校することになりました。ピーク時の昭和２５年には児童数は７００人を超えましたが、その後、減少が続き、今年度は１３人だけです。\n\n（田邑八重子校長）「地域の方々のさびしさは大きいものかなと感じた。減ることはさびしいことだが、子どもたちにとって適正な学びができる場所を作っていかないといけない」\n\n近づく閉校。学校での日常がひとつずつ、終わりを迎えます。子どもたちが毎日、楽しみしている“あの時間”も。\n\n「永野小学校で食べる最後の給食です。最後と聞くと少しさびしさも感じますが、こどもたち、みんな美味しそうに食べています」\n\n最後の給食は、子どもたちに人気の奄美の鶏飯、サケのカツとゼリー、牛乳でした。\n\n（６年生）「このメンバーで食べられるというのが最後。すごく思い出に残ったのでうれしい」\n\n昼休みの風景も、この日が最後に。\n\n（２年生）「（Ｑ．昼休みの時間はどうですか？）楽しい。（Ｑ．永野小でみんなで昼休み遊べなくなっちゃうけど）やだ」\n\n（緒方一行教頭）「１３人全員で遊ぶ感じ。いつも。それが小規模校の良さ」\n\n１、２年生の担任・甫立玲菜教諭。着任した学校の閉校は２回目の経験です。前回はおととし、同じくさつま町の流水小学校でした。\n\n（甫立玲菜教諭）「２つ目かぁと思って。授業もそうだし、休み時間とか昼休みも、ひとつでも子どもたちが永野小での思い出が作れたら」\n\n\n人口およそ７００人の永野地区。６５歳以上の高齢者の割合は５４％と高く、小学校は地域の人が集う拠点でもありました。\n\n（甫立玲菜教諭）「本当に地域の人が温かくて。地域に愛されている学校というのをすごく感じた」\n\n（５年生）「（Ｑ．地域の人たちはどんな人が多い？）優しい人たちが多い」\n\n（５年生）「Ｑ．永野小に通えなくなるのは？）一番好きな学校だからずっといたいくらい。ここで卒業したかった」\n\n\n今月２２日、永野小学校、最後の卒業式。６年生４人を、保護者と住民が一緒に送り出しました。\n\n（卒業生４人）「今ここに、卒業証書を手にしました」\n\n（在校生・５年生２人）「多くの先輩が、そしてみなさんが残した良き伝統を、新しい薩摩小学校につないでいきます」\n\n（卒業生）「少しさびしいけど、卒業できてうれしかった」\n\n（卒業生）「（Ｑ．中学生での目標は？）まずは友達を作るところから」\n\n永野小学校を卒業した地域の人も…。\n\n（７０代）「それはもう残念。（統合で）友達はたくさんできる」「これでもう終わりだもんねぇ…」\n\n開校から１４６年。地域と歩んできた長い歴史が幕を閉じようとしています。\nMBC南日本放送 | 鹿児島,[],[]
静かにスイスイ♪鹿児島市初のＥＶ路線バスがお披露目　座席にはＵＳＢポートも（MBC南日本放送）,https://news.yahoo.co.jp/articles/3064e936007ee594f45923018348c0d2de2a2ec0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070556-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-26T19:57:00+09:00,2024-03-26T19:57:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,534,\nMBC南日本放送\n鹿児島市交通局で初めてとなる電気自動車＝ＥＶ路線バスが、今月２７日から導入されることになり、２６日にお披露目されました。その乗り心地は？\n\n２６日にお披露目されたのは、鹿児島市が初めて導入するＥＶ路線バスです。定員は５２人で、およそ５時間で満充電でき、最大２８０キロの走行が可能です。\n\n鹿児島市は２０５０年までに温室効果ガスの排出量実質ゼロを目指していて、今回、国からの補助金を活用し、１台６２００万円で２台導入しました。お披露目のあと、関係者にバスの内部が公開されました。\n\n車内の照明や換気、ヒーターなどの操作はタッチパネルになっていて、サイドミラーも液晶です。乗り心地は…？\n\n（記者）「走行中の振動が少なく、走り出しもなめらかで乗っていて疲れにくいです。音も静かで快適。座席にはＵＳＢポートが備えつけてあります」\n\nバスにはコンセントもあり、災害時には電源車としても活用できます。\n\n（鹿児島市交通局バス事業課 岩元育朗課長）「ぜひ多くの皆さんに乗車いただき、乗り心地の良さを体感してもらいたい」\n\nＥＶバス２台は、あす２７日から宇宿・桜ケ丘地区で実験的に運行が始まります。\nMBC南日本放送 | 鹿児島,[],[]
１４１年の歴史に幕…気象台の天気観測は職員の目から“機器”に　最後の１日「さみしさも…」（MBC南日本放送）,https://news.yahoo.co.jp/articles/cd10002f5836b2d48e9d895fffeb619b5f725369,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070553-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-26T19:34:00+09:00,2024-03-26T19:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1597,\nMBC南日本放送\n日々の天気は、明治時代からおよそ１４０年間、気象台の職員が空を目で見て観測してきました。しかし、長年続いてきた人の目による“昔ながらの観測”がきょう２６日で終わり、鹿児島の気象観測は時代の転換点を迎えました。\n\n\n２６日正午前、鹿児島市東郡元町にある気象台の屋上で、空を見上げる職員。これが最後の観測です。\n\n（鳥越悠平さん）「１４１年続いた観測の最後で、とてもさみしい気持ち」\n\n気象台では、気温や風、降水量などは機器を使って自動で観測していますが、晴れや雨などの天気は、職員が直接、空を見る「目視」で観測してきました。\n\n気象台で毎日の「目視観測」が始まったのは、１４１年前の明治１６年、前身の鹿児島測候所だったころ。観測初日、１月１日の記録では、鹿児島市は午後から雨が降ったと残っていました。\n\nでは実際、どのように天気を目で判断するのでしょうか？\n\n基準となるのは、空全体に占める雲の割合です。雲が１割以下であれば「快晴」、２割から８割なら「晴れ」、９割以上なら「くもり」と判断します。\n\n黙々と、空を見上げること３０秒。\n\n（東島成良さん）「天気が良いので、もう大丈夫（Ｑ．もう終わった？）そうですね、きょうは天気がいいので」「全体を１０と見たらどれくらい雲があるのか。少しあるので、『０＋』と雲の量をとった」\n\nこの日、正午の鹿児島市の天気は「快晴」と判断しました。\n\n（東島成良さん）「それでは発信します。これで一通り、観測して発信まで」\n\n観測を始めて東京の気象庁に記録を送るまで、作業時間は１５分ほど。午前０時を除いて、３時間ごとに１日７回、５人の職員が交替で屋上に上がり観測してきました。\n\nしかし、こうした「人の目」による観測にも、時代の波が…。\n\n（沖園卓也主任技術専門官）「気象レーダー、気象衛星などを活用し、大気の状態を総合的に判断できるようになり、目視観測を自動化することになった」\n\n気象台に務めて３５年の沖園卓也主任技術専門官です。\n\n（沖園卓也主任技術専門官）「ベテランの人に教えてもらって（代々）観測をしてきた。これまで毎日欠かさず、職員が目視観測をしてきたので、とても感慨深いものがある」\n\n観測の自動化は、業務の効率化などから全国の気象台に広がっていて、奄美市の天気を観測する名瀬測候所では２０１９年に自動化されました。\n\n今回は鹿児島とともに札幌、福岡などでも自動化され、目視の観測が残るのは、東京と大阪だけとなります。自動化されるのは、天気だけではありません。\n\n（東島成良さん）「山がひょっこり。開聞岳です」\n\n見通しのきく距離＝視程も、人の目で測ってきました。気象台から基準となる開聞岳までの距離は４１キロ。この日は、山がややかすんで見えることから…\n\n（東島成良さん）「視程は４０キロくらい」\n\n長年の経験にもとづいたこの観測も、自動化されることになりました。\n\nそして、２６日正午。最後の天気の目視観測です。空全体に占める雲の量は「１０割」。最後の観測は「くもり」でした。\n\n（鳥越悠平さん）「（これまで）先輩職員から丁寧に教えてもらって、きょう最後の観測を終えた。業務としては終わるが、技術として引き継いで、今後、予報や防災業務に役立てたい」\n\n\n観測が自動化される一方で、２６日で終わる観測もあります。例えば、気象衛星や機器ではとらえることのできない「竜巻」や「ひょう」のほか、「快晴」「薄曇」といった晴れの度合いなど、３０項目の観測が２６日で終わります。\n\n霜や冠雪なども終わりますが、シーズン最初の初霜や初氷、桜島の初冠雪などは、これまで通り目視で観測するということです。\nMBC南日本放送 | 鹿児島,[],[]
橋をイメージした花畑が登場　「夢追い長島花フェスタ」３月３０日から開催（MBC南日本放送）,https://news.yahoo.co.jp/articles/b1e278821b05901152639a5f9065453dcbe53359,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070550-mbcnewsv-000-5-thumb.jpg?exp=10800,2024-03-26T16:09:00+09:00,2024-03-26T16:12:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,378,\nMBC南日本放送\n５０万本の花で春の長島町を彩る「夢追い長島花フェスタ」の開催を前に、ＰＲ隊がＭＢＣを訪れました。\n\n今回で１４回目の「夢追い長島花フェスタ」では、パンジーやビオラなど１００種類５０万本の花が長島町指江のサンセットの丘や沿道など町内を彩ります。\n\n\n今年は、長島町と阿久根市を結ぶ黒之瀬戸大橋の開通５０周年を記念して、青い橋をイメージした花畑も登場するということです。また来月２８日には、４年ぶりに特産のじゃがいも堀り体験が復活するほか、３５００人にじゃがいものプレゼントもあります。\n\n（ＰＲ隊）「４年ぶりの開催で様々なイベントも実施しますのでぜひお越しください、お待ちしています」\n\n「夢追い長島花フェスタ」は、サンセットの丘をメイン会場に今月３０日から来月３０日まで開かれます。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島市で住宅２棟全焼　２人の死亡　居住夫婦と連絡取れず（MBC南日本放送）,https://news.yahoo.co.jp/articles/5b0baf495d4ba6cff9f14911342561fd5d116c91,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070551-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-26T16:08:00+09:00,2024-03-26T16:09:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,476,\nMBC南日本放送\n鹿児島市で２６日朝、住宅２棟が全焼し、２人が死亡しました。\n\n朝の住宅街に火柱が上がり一帯を黒い煙が覆っています。警察や消防によりますと、鹿児島市郡元２丁目で２６日午前７時半ごろ、近くの住民から「近くの家が燃えている」と１１０番通報がありました。\n\nこの火事で、無職の牧野隆雄さん（７３）の木造２階建ての住宅１棟と隣接するコンクリート造りの３階建て住宅１棟のあわせて２棟が全焼しました。\n\n牧野さんの住宅からは、男性１人が発見され病院に搬送されましたが、死亡が確認されました。さらに、焼け跡から別の１人も遺体で見つかり、これまでにあわせて２人が死亡しました。\n\n隣接する住宅の住民は火事に気づいて逃げ出し、無事でした。\n\n（近くの住民）\n「燃えていて熱風が来ていた。こっちに来るんじゃないかとどきどきだった。」\n\n牧野さんは７０代の妻と二人暮らしで、現在、牧野さん夫婦２人と連絡がとれていないということで、警察で遺体の身元の確認を進めるとともに火事の原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
タイヤパンクさせた疑いで会社員の男(39)を再逮捕　過去には「１００回やった」と供述も（MBC南日本放送）,https://news.yahoo.co.jp/articles/f182695ae220098e523f024a6698b3c38f41b6e1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070560-mbcnewsv-000-4-view.jpg?exp=10800,2024-03-26T18:34:00+09:00,2024-03-26T18:37:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,472,\n駐車場に停めていた車のタイヤに穴を開けた疑いで、鹿児島市の会社員の男が逮捕されました。男は別の車に同様の行為をした疑いで今月５日に逮捕されていて、当時、「同様の犯行を１００回ぐらいやった」と話していました。\n\n器物損壊の疑いで逮捕されたのは、鹿児島市広木１丁目の会社員の男（３９）です。\n\n鹿児島南警察署によりますと、男は今年２月、鹿児島市内の駐車場に停めていた軽自動車のタイヤ２本に鋭利なもので穴を開け、パンクさせた疑いが持たれています。\n\n車の持ち主の男性が警察に被害を届け出て発覚したもので、互いに面識はなく、警察の調べに対して男は「私がやったことに間違いない」と話し、容疑を認めているということです。\n\n男は今月５日に別の車に同様の行為をした疑いで逮捕されていて、当時、同様の犯行を１００回ぐらいやった」と供述していました。\n\n\n鹿児島南警察署管内では、車のタイヤをパンクさせられる被害が去年から今年にかけて数十件寄せられているということで、警察が引き続き、関連を調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070560-mbcnewsv-000-4-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/f182695ae220098e523f024a6698b3c38f41b6e1/images/000']
「燃えて熱風が」鹿児島市で住宅が全焼　２人の死亡を確認（MBC南日本放送）,https://news.yahoo.co.jp/articles/664f096875cd838a56c63df4e6924f1d01032d52,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240326-00070548-mbcnewsv-000-9-thumb.jpg?exp=10800,2024-03-26T11:19:00+09:00,2024-03-26T11:27:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,439,\nMBC南日本放送\n鹿児島市で２６日朝、住宅が全焼し２人が死亡しました。\n\n警察や消防によりますと、鹿児島市郡元２丁目で２６日午前７時半ごろ、近くの住民から「火事です」と１１０番通報がありました。\n\n火はおよそ３時間半後に消し止められましたが、この火事で牧野隆雄さん（７３）の木造２階建ての住宅１棟が全焼したほか、周辺の住宅１棟も燃えているということです。\n\n現場では、男性１人が発見され病院に搬送されましたが、死亡が確認されました。その後、焼け跡から別の１人が遺体で見つかり、これまでにあわせて２人が死亡しました。\n\n（近くの住民）\n「燃えていて熱風が来ていた。こっちに来るんじゃないかとどきどきだった。」\n\n\n牧野さんは７０代の妻と二人暮らしとみられ、現在、牧野さん夫婦２人と連絡がとれていないということで、警察で遺体の身元の確認を進めるとともに火事の原因を調べています。\n\n現場は中郡小学校近くの住宅街です。\nMBC南日本放送 | 鹿児島,[],[]
