headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
知人が泊まる宿泊施設の部屋に侵入　現金約４０万円盗んだ疑い　建設作業員の男（２５）逮捕　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/1520e3d7e3638665f843eaa8ce44bfb12b32f46b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068655-mbcnewsv-000-4-view.jpg?exp=10800,2023-11-27T22:12:00+09:00,2023-11-27T22:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,284,\n今年４月、大島郡内の宿泊施設の客室に侵入して現金およそ４０万円を盗んだ疑いで２５歳の男が逮捕されました。\n\n住居侵入と窃盗の疑いで逮捕されたのは、三重県四日市市の建設作業員の男（２５）です。\n\n沖永良部警察署によりますと、男は今年４月６日午前７時ごろから午後１時４５分ごろまでの間、大島郡内にある宿泊施設に侵入し、大島郡内の３０代の男性会社員が宿泊していた部屋から現金およそ４０万円を盗んだ疑いが持たれています。\n\n２人は知人同士で、取り調べに対し、男は「盗んだことに間違いありません」と容疑を認めているということです。\nMBC南日本放送 | 鹿児島
息子（４８）殺害疑いで父親（７０）逮捕送検　住民「奥さんがかわいそう」　経営する飲食店は休業　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/7c6e7ed80106eceda60ea214f84484b011d57bde,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068649-mbcnewsv-000-2-view.jpg?exp=10800,2023-11-27T19:34:00+09:00,2023-11-27T19:35:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,828,\n鹿児島市の自宅で息子の背中を刺すなどして殺害した疑いで７０歳の父親が逮捕されました。父親は息子の経営する飲食店を手伝うこともあったということで、関係者からは驚きと心配の声が聞かれます。\n\n（記者）「事件から３日経ち、規制線は外れましたが、中を窺い知ることはできません」\n\n殺人の疑いで逮捕・送検されたのは、鹿児島市東坂元３丁目の飲食店手伝い・田井幸秀容疑者（７０）です。\n\n鹿児島中央警察署によりますと、田井容疑者は今月２４日夜、自宅で同居する息子で、会社経営・兆さん（４８）の背中など複数か所を包丁で刺すなどして殺害した疑いが持たれています。\n警察の調べに対し、田井容疑者は「包丁で息子を刺して殺しました」と、容疑を認めているということです。\n\n田井容疑者は妻と兆さんと３人暮らしですが、事件当時、妻は外出中で自宅には２人しかおらず、田井容疑者は酒を飲んでいたということです。\n\n事件から３日経った２７日、近隣住民の間では驚きと心配の声が広がっています。\n\n（近くの住民）\n「ただショック。こういうことが起こるとは夢にも思わなかったし、ただただ奥さんがかわいそうだと思う」\n\n「びっくりしましたよ。初めてですね、こういう事件は」\n\n近くの住民は田井容疑者について「一緒に酒を飲んだことがあるが、優しくて明るい人だった」、亡くなった兆さんについては「挨拶したら返してくれて、最近も特に変わった様子はなかった」と話しています。\n\n関係者によりますと、兆さんは県内で飲食店を３店舗経営していましたが、今年５月までに２店舗を閉店。父親の田井容疑者と母親も店を手伝っていたということです。\n\n鹿児島市内の店舗は、事件の翌日から臨時休業していて、しばらくの間、休業するということです。\n\n警察は、これまでに親子の間でトラブルは把握していないとして、動機やいきさつなどを調べています。\nMBC南日本放送 | 鹿児島
店内に置き忘れたバッグ盗んだ疑い中には現金約１８万円　窃盗容疑で無職の男（７９）逮捕　鹿児島・薩摩川内市（MBC南日本放送）,https://news.yahoo.co.jp/articles/f98571349e421417089c9464b1742ee9fe2b01e8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068654-mbcnewsv-000-4-view.jpg?exp=10800,2023-11-27T20:57:00+09:00,2023-11-27T21:00:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,358,\n鹿児島県の薩摩川内市で今年８月、６０代の女性がホームセンターの店内に置き忘れたバッグを盗んだ疑いで、７９歳の男が逮捕されました。\n\n窃盗の疑いで逮捕されたのは、薩摩川内市尾白江町に住む無職の男（７\n９）です。\n薩摩川内警察署によりますと、男は今年８月２６日午後６時前、薩摩川内市内のホームセンターで６０代の女性が店内に置き忘れていた手提げバッグを盗んだ疑いが持たれています。手提げバッグには現金およそ１８万円やポーチ、ポイントカードなど１８点が入っていたということです。\n\n女性が警察に被害届を出し、警察は防犯カメラなどの情報から男を特定したということです。２人の間に面識はありませんでした。\n\n取り調べに対し男は、「身に覚えがない」と話し、容疑を否認しています。\nMBC南日本放送 | 鹿児島
奄美大島・瀬戸内町に自衛隊港湾施設整備へボーリング調査開始「住民に説明がない」の声も　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/34b28609d12629767470d4338a869991836ad707,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068651-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T19:41:00+09:00,2023-11-27T19:41:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,591,\nMBC南日本放送\n奄美大島・瀬戸内町への自衛隊の港湾施設の整備に向けて、防衛省が２７日からボーリング調査を始めました。\n\n防衛省は、瀬戸内町・古仁屋港の須手地区周辺に、自衛隊の物資補給や部隊輸送の拠点となる港湾施設をつくる計画です。\n\n具体的な整備計画を立てるために海底の地盤などを調べるボーリング調査について、港を管理する県は今月１７日に許可し、防衛省は２７日、調査を始めました。県が許可した調査期間は来年１月末までです。\n\n防衛省はボーリング調査などに今年度６億円を計上していて、港湾施設に燃料タンクや倉庫の整備なども検討していますが、施設の完成時期は明らかになっていません。\n\n奄美大島ではこれ以外に、瀬戸内分屯地への新たな火薬庫、奄美駐屯地の施設強化などが計画されているほか、日米の訓練も相次いで実施されています。\n\n中国の海洋進出や台湾での有事を念頭にした防衛強化が進むことに、住民は…。\n\n（瀬戸内町民）\n「（国から）説明がない。ネットニュースを見て初めて知るので、（説明を）してほしい」\n\n「きょうから（ボーリング調査開始）と知っている人も少ないだろう。メリット・デメリットをもっと考える機会があったらいい」\n\n住民から「地元への説明不足」の声も上がる中、奄美大島の防衛強化は着実に進んでいます。\nMBC南日本放送 | 鹿児島
重度心身障害者医療費助成　来年７月から手続き簡素化・対象拡大へ（MBC南日本放送）,https://news.yahoo.co.jp/articles/fbcc89b64c69725f0c4f386ad2512784e8593821,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068650-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T19:38:00+09:00,2023-11-27T19:38:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,400,\nMBC南日本放送\n重度の心身障害者に対する医療費の助成制度について、鹿児島県が来年７月から手続きを簡素化し、対象を拡大することが分かりました。\n\n１級や２級の障害者手帳などを持つ重度の心身障害者が医療費の助成を受ける場合は、現在は、医療費を病院で一度支払い、市町村の窓口で申請を行ってから口座に振り込まれる「償還払い方式」ですが、県は、申請の手続きが必要ない「自動償還払い方式」に変更する方針です。\n\nまた、現在の対象は重度の身体・知的障害者およそ４万人ですが、１級の手帳を持つ精神障害者６００人あまりにも拡大します。\n\n関係者によりますと、これらの変更を伴う新しい制度を来年７月から導入する方針だということです。\n\n重度心身障害者への医療費助成制度については、塩田知事がマニフェストで「簡素化を前向きに検討する」とし、県が検討を行っていました。\nMBC南日本放送 | 鹿児島
天城町の展示スペースからハブ１１匹“脱走”　依然２匹は行方不明で捜索中　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/48331264189c23f1c3bc1224c45ac87206b05671,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068648-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T19:30:00+09:00,2023-11-27T19:30:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,457,\nMBC南日本放送\n鹿児島県の天城町役場のハブの展示スペースからハブが逃げ出しているのが見つかりました。今も２匹の行方が分かっておらず、捜索が続いています。\n\n２７日も天城町役場の周辺では、役場の職員らが、いなくなったハブの捜索を続けていました。\n\n天城町によりますと、今月２４日午前、天城町役場の敷地内にあるハブの展示スペースから１匹が逃げ出しているのを観光客が発見しました。職員がかけつけ確認したところ、１６匹いるはずのハブが５匹しかおらず、１１匹がいなくなっていたということです。\n\n町は、町民や近くの学校に警戒を呼びかけ、逃げたヘビの捜索をはじめ、２６日夜までに９匹を発見し捕獲しました。残る２匹の行方はまだわかっていません。\n\n町の職員が展示スペースの清掃の後、排水溝のバルブを閉め忘れたことが原因とみられていて、天城町の森田弘光町長は「町民の皆様に心配をおかけし深くお詫び申し上げる。残り２匹の捜索を継続し、再発防止に努めます」とコメントしています。\nMBC南日本放送 | 鹿児島
あさって２９日は「いい肉の日」日本一の鹿児島黒牛を県庁食堂で！限定ハンバーグ登場（MBC南日本放送）,https://news.yahoo.co.jp/articles/85bfb96fc2d63dd1322b3a2aedeb6bb22e98b55b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068647-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T19:25:00+09:00,2023-11-27T19:25:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,526,\nMBC南日本放送\nあさって１１月２９日は語呂合わせで「いい肉」の日です。県庁食堂では、鹿児島黒牛を使った限定メニューの提供が２７日から始まりました。\n\n２７日から１週間限定でメニューに加わった、鹿児島黒牛１００％のハンバーグ定食。２００グラムあり、食べ応え抜群です。\n\n去年、鹿児島で開かれた和牛オリンピックで日本一になった鹿児島黒牛の消費拡大を図ろうと、県が取り組む「食べて応援うんまか鹿児島の牛肉」キャンペーン。\n\nあさって２９日の「いい肉」の日に合わせて、県庁食堂では、牛肉を使った新メニューの第２弾が、２７日から始まりました。\n\n（記者）「ふわふわで、口当たりがとてもなめらか。牛肉１００％のお肉のうま味がぎゅっと感じられて、とてもおいしい」\n\n昼食に訪れた塩田知事は。\n（塩田知事）「おいしい。ふわっとしている。これから年末に向けてボーナスも出るだろうし、（鹿児島黒牛を）お歳暮の贈答用品としても使って欲しい」\n\n県庁食堂での限定メニューは、水曜と金曜日がハンバーグ、火曜と木曜は鹿児島黒牛の角煮丼で、どちらも税込み８８０円です。１日３０食限定で、食堂は一般の人も利用できます。\nMBC南日本放送 | 鹿児島
スタジアム整備で連携は？塩田知事と下鶴市長「点数なかなか難しい」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/696ca60220870462c7c21f77ffa129e58bc20a63,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068653-mbcnewsv-000-2-thumb.jpg?exp=10800,2023-11-27T19:10:00+09:00,2023-11-27T19:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,719,\nMBC南日本放送\n塩田知事と鹿児島市の下鶴市長によるトップ会談が２７日に開かれました。市が目指す北ふ頭でのサッカースタジアム整備をめぐり、２人は「オール鹿児島で取り組む」考えを共有しましたが、双方が連携が取れているかどうかについては評価を避けました。\n\n年に１回、開かれている知事と鹿児島市長の意見交換会。注目されたのが、鹿児島市が北ふ頭で検討するサッカースタジアムの整備問題です。\n\n（塩田知事）「鹿児島市との連携、県内全体への経済波及効果をしっかりと検討し、着実に取り組み進めたい」\n\n（鹿児島市・下鶴市長）「忌憚のない意見を交わし、双方の立場の理解を深め、新たな展望を開く機会になることを期待」\n\n北ふ頭のスタジアム構想を巡っては、県は鹿児島市に、北ふ頭の港湾機能維持やにぎわい作りなどを満たした「スタジアムの具体的な整備像」を示すよう求めています。\n\nこうした中、塩田知事は今月の定例会見で、「北ふ頭しかないということでもないのではないか」と述べ、北ふ頭以外での議論の可能性に言及しました。\n\n「県と市にすれ違いが起きているのでは？」との記者の指摘に対しては…\n\n（塩田知事）「すれ違っていると言うか、オール鹿児島で取り組むのが基本ベース」\n\n（下鶴市長）「乗り越えるべき課題について共有しながら協議を続けたい」\n\nＱ．スタジアム整備に向けた連携に点数をつけるなら？\n\n（塩田知事）「点数はなかなか難しい。県と市の役割、連携がはっきりしていない」\n\n（鹿児島市・下鶴市長）「まったく同じ考え」\n\n県と市の連携については、お互い評価を避けました。\nMBC南日本放送 | 鹿児島
青森りんご出前授業　皮まで丸ごと“スターカット”がおすすめ　リンゴ、雪、ねぶた祭り（MBC南日本放送）,https://news.yahoo.co.jp/articles/e1523f77e27d979b81932ebdb7aadbe3877801b8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068646-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T19:21:00+09:00,2023-11-27T19:21:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,677,\nMBC南日本放送\nリンゴの生産量日本一の青森県を身近に感じてもらおうと、鹿児島市の小学校で出前授業が開かれました。\n\n「青森りんご出前授業」は、青森産リンゴの卸売りやＰＲを行う山口九州地区青森りんごの会が開いたもので、鹿児島市では８年ぶりの実施です。\n鹿児島市の城南小学校では２７日、５・６年生の児童を対象に授業がありました。\n\n鹿児島市から１４００キロ離れた青森県では、リンゴの生産量が日本一で５０種類が栽培されていることや、青森市が全国で１番雪が積もる県庁所在地であることなどを学びました。\n\nそして、栄養の多い皮まで食べやすいリンゴのカット法で、横向きで輪切りにすると芯が星形にみえる「スターカット」が紹介され、子どもたちに今が旬の「名月」というリンゴが贈られました。\n\n（６年生）「（Ｑ．青森は行ったことある？）ない」「（Ｑ．授業を受けてどう？）行ってみたい、雪が降るところ、ねぶた祭にいきたい」\n\n（６年生）「（Ｑ．青森のことは知っていた？）あまり知らなかった。青森に行ってリンゴを食べたいと思った」\n\n（５年生）「（Ｑ．リンゴは好きな食べ物の何番？）１番目です、本当に」「（Ｑ．もらったリンゴはどう食べる？）スターカット」\n\n（山口九州地区青森りんごの会事務局 中村昌也さん）「青森県と鹿児島県、距離は離れているけど、リンゴもたくさん食べてもらっているし、これをきっかけにぜひ青森県にきてもらえたらと」\n\n青森りんごの授業は、２８日も鹿児島市の２つの小学校で行われます。\nMBC南日本放送 | 鹿児島
気持ちが上がる４０００個の光　県庁ロビーに高さ５メートルのイルミネーションツリー　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/0bf33aeb5c35ca98e84dcade12112c856348d365,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068645-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T19:17:00+09:00,2023-11-27T19:17:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,524,\nMBC南日本放送\nあと４日で、１２月です。鹿児島県庁には、２７日からイルミネーションツリーが設置されました。\n\n（記者）「青や緑、オレンジなどの光が輝いています。下には、ぐりぶーファミリーがサンタ姿で彩りを添え、クリスマスムード盛り上げています」\n\n県庁１階に２７日設置されたのは、高さおよそ５メートルのイルミネーションツリー。県庁では、１９９７年から毎年この時期にツリーを設置しています。\n\n今年は、カラフルな６色のＬＥＤライトおよそ４０００個が輝き、県のマスコットキャラクター・ぐりぶーファミリーもサンタクロース姿に。\nまた、エイズの正しい知識を普及啓発するレッドリボン月間に合わせて、ツリーには赤いリボンが飾られています。\n\n「きれい。今撮った写真。すてきだと思って」\n「いろいろな色が発色しているところがきれい。気持ちも上がりますね」\n\n（管財課 井手耕二課長）「ぐりぶー家族が温かい雰囲気でみなさんを出迎えているので感じていただければ」\n\nツリーの点灯時間は、月曜日から金曜日が午前９時から午後９時、土曜日曜、祝日は午前１０時から午後９時までで、来月２５日まで飾られます。\nMBC南日本放送 | 鹿児島
県立夜間中学校の校名　いろは、開光、開陽、さくら、なのはな…　ネットで投票スタート（MBC南日本放送）,https://news.yahoo.co.jp/articles/952b3b36f3190d5da875f412e3b3618ccd06d713,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068643-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T19:06:00+09:00,2023-11-27T19:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,523,\nMBC南日本放送\n鹿児島市の開陽高校の敷地内に再来年４月、県内で初めて夜間中学が開校します。この学校の校名について、県教委は２７日からインターネットでの投票を始めました。\n\n夜間中学は、戦後の混乱などで義務教育を受けられなかった人たちが通う学校で、国勢調査によりますと、県内には小学校を卒業していない人や、最終学歴が小学校の人が合わせておよそ１万８０００人います。\n\nそのため県は、入学対象者が多い鹿児島市で、開陽高校の敷地内に再来年４月、県内で初めて夜間中学を開校する予定で、校名について２７日からインターネットでの投票を始めました。\n\n投票する校名案は、応募があった１６３件から設置準備委員会が選んだもので、\n（１）いろは中学校\n（２）開光中学校\n（３）開陽中学校\n（４）開陽いろは中学校\n（５）さくら中学校\n（６）なのはな中学校\nの６つの案です。\n\n一から学び直す意味を込めた「いろは」や、桜島や人生を開花させるイメージがある「さくら」などの言葉が使われています。\n\nインターネット投票は来月４日まで行われ、県教委は投票結果を参考に来年１月ごろに校名を決める方針です。\nMBC南日本放送 | 鹿児島
