headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
好奇心に負け…女性隊舎への侵入見つかった22歳陸士長を懲戒処分　酔って見知らぬ他人の家に上がり込んだ陸曹も　陸自都城駐屯地（南日本新聞）,https://news.yahoo.co.jp/articles/83eff2aef9a241a8611ed92bdf4bbbfefc2d990f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000012-minami-000-2-view.jpg?exp=10800,2024-11-26T22:00:22+09:00,2024-11-27T10:53:50+09:00,南日本新聞,minami,南日本新聞,325,（写真：南日本新聞社） 陸上自衛隊都城駐屯地（都城市）は２６日、都城市内の民家に侵入した第４３普通科連隊の男性２等陸曹（３１）と、駐屯地内の女性自衛官隊舎に侵入した同連隊の男性陸士長（２２）を、それぞれ停職４日の懲戒処分とした。 ２等陸曹は、２０２２年６月１８日、市内飲食店で飲食後、酔った状態で面識のない他人の家に上がり込んだ。翌朝、本人が駐屯地に住居侵入を報告した。陸士長は２３年８月２８日、女性隊舎に侵入したところを、女性隊員に見つかった。「好奇心から侵入した」と話しているという。 同連隊の石岡直樹連隊長は「自衛隊員として国民の信頼を低下させる行為。隊員の服務指導と教育を徹底し、再発防止を図る」とのコメントを出した。 南日本新聞 | 鹿児島,[],[]
馬毛島基地建設現場で作業中の重機横転、運転の男性がけが　搬送へ向かった船も護岸に衝突、海に投げ出された船員がけが　西之表市（南日本新聞）,https://news.yahoo.co.jp/articles/f6255f6b3f64388f86c49295c638f20525a9286c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000011-minami-000-2-view.jpg?exp=10800,2024-11-26T21:55:25+09:00,2024-11-26T23:22:26+09:00,南日本新聞,minami,南日本新聞,474,〈資料写真〉馬毛島 ２５日午後１時半ごろ、西之表市馬毛島の自衛隊基地建設現場で、工事作業中だったバックホウ（ショベルカー）１台が横転し、運転手の男性が肋骨（ろっこつ）にひびが入るけがを負った。同日午後３時１０分ごろには、運転手を搬送するため同島に入港しようとした船が葉山漁港で護岸に衝突し、座礁。船員の男性が海に投げ出され、頭に外傷を負い肩を骨折した。 種子島署によると、悪天候などで現地入りできず、工事現場での捜査は後日行う。種子島海上保安署によると、船は工事作業員輸送船（６９トン）で４人が乗船、同市の西之表港を出港した。葉山港の船舶を係留する岸壁そばの護岸に衝突した。 防衛省は「工事や輸送の作業手順、危険箇所の再確認など安全管理の徹底を受注者に指示した」とコメントした。工事は続けており、原因を調べ中断すべきか見極めるという。 馬毛島では１０月、スリランカ国籍の男性が排水をためる穴に油圧ショベル機ごと転落して死亡する事故が起きている。県は、国に原因究明と再発防止を求め「対策について説明してほしい」と口頭で伝えた。 南日本新聞 | 鹿児島,[],[]
冬の浴室ご用心‼　昨季の県内入浴死9割が70代以上　温度差で血圧急変、心臓に負荷　知っておきたい専門家が勧める望ましいお風呂の入り方（南日本新聞）,https://news.yahoo.co.jp/articles/fa361af2add363767ed2699f2f0085ac13475fbd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000010-minami-000-3-view.jpg?exp=10800,2024-11-26T21:00:28+09:00,2024-11-26T23:21:57+09:00,南日本新聞,minami,南日本新聞,953,（写真：南日本新聞社） 寒くなる季節から増加するのが、浴室内での突然死（入浴死）だ。特に高齢者が多く、浴室や浴槽の温度差で血圧が急激に変動し心臓に負荷がかかる「ヒートショック」が主な原因とされている。鹿児島大学大学院法医学分野の研究グループは昨年、全国で初めて危険度を知らせる入浴時警戒情報の発表を始めた。今年も１１月から始めた林敬人教授に、県内の状況や予防策を聞いた。 【写真】冬季の県内入浴死者数をグラフで見る 研究グループは県警捜査１課の協力を得て、２００６年～１９年の県内の入浴死を分析。発生しやすい最高気温や最低気温、日内の気温差を算出し、警戒指標を作成した。昨年１１月から２月にかけ、県内を１９カ所に分けて毎日の状況を「注意」「警戒」「危険」の３段階で研究グループのホームページで公開した。２月からはＬＩＮＥアプリで毎日午後４時に通知した。 ２３年１１月～２４年２月の県内の入浴死者数は１１５人。うち７０代以上が９割を占める。６０代は７人で、６０歳未満はいなかった。警戒情報との関係について、林教授は「高齢層に変化はなかったが、情報にアクセスしやすい若い世代で死者が減った。多少の効果が見えるのでは」と説明する。 入浴死を防ぐには、どうすればよいか。注意すべきは「温度差」という。血圧は温度が低いと上がり、温度が高いと下がる。林教授は、気温が低い朝晩ではなく、午後２～３時の比較的暖かい時間帯の入浴を勧める。３８～４０度の湯で、つかるのは５分以内が望ましいとする。肩までつかると水圧がかかり、心臓や循環器系の疾患が起こりやすくなるため、できるだけ避けた方がよいという。 高齢者に対しては、周囲の声かけも重要だ。熱くなりがちな一番風呂は避けるよう促したり、風呂に入っている間も声をかけたりする。林教授は「昨季は平均気温が高く、危険レベルが数日続くことはなかった。住んでいる地域が『危険』だったら１日風呂に入らない選択も考えていいのでは。独り暮らしの人は、温泉なら周囲に誰かいるので安心できる」と話す。 研究グループは１２月と１月に鹿児島市の中央保健センターや南部保健センターで市民講座を開く。林教授は「入浴死を１人でも防ぐため、警戒情報を知って役立ててもらえたら」と願う。 南日本新聞 | 鹿児島,[],[]
小学校の塀乗り越えた侵入者を目撃、110番　容疑の33歳男を現行犯逮捕　奄美署（南日本新聞）,https://news.yahoo.co.jp/articles/6dc3d1b9c24f40349db5c0c0d34601dc0be35281,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000009-minami-000-1-view.jpg?exp=10800,2024-11-26T20:55:21+09:00,2024-11-26T20:55:21+09:00,南日本新聞,minami,南日本新聞,166,（写真：南日本新聞社） 奄美署は２６日、建造物侵入の疑いで、鹿児島県奄美市名瀬佐大熊町、職業不詳の男（３３）を現行犯逮捕した。逮捕容疑は同日午前８時ごろ、奄美市内の小学校敷地内に正当な理由なく侵入した疑い。同署によると、学校の塀を乗り越えて侵入した男を学校職員が目撃し、１１０番した。同署が動機を調べている。 南日本新聞 | 鹿児島,[],[]
キャンセル料求め「俺が誰かわかっているのか」　恐喝未遂の疑いで暴力団幹部の77歳男を逮捕　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/673181f6951eb0634299aa87538382b9209a0a93,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000008-minami-000-1-view.jpg?exp=10800,2024-11-26T19:15:30+09:00,2024-11-26T19:15:30+09:00,南日本新聞,minami,南日本新聞,273,（写真：南日本新聞社） 志布志署と鹿児島県警組織犯罪対策課は２６日、恐喝未遂の疑いで、鹿屋市寿８丁目、指定暴力団四代目小桜一家傘下組織幹部で会社員の男（７７）を逮捕した。逮捕容疑は１０月３１日午後４時半ごろから同５時ごろまでの間、県内で農機具売買に関して、県内の６０代男性に「キャンセル料などを払え、俺が誰かわかっているのか」などと言い、現金を脅し取ろうとした疑い。同署によると、農機具はトラクターで、男性から同署に相談があり捜査していた。２人に面識はある。男は「キャンセル料を脅し取ろうとした覚えはない」と否認している。 南日本新聞 | 鹿児島,[],[]
待望の歌詞は自筆のファクスで届いた。送り主は谷川俊太郎さん「生徒が心を込めて歌える詞を目指します」　楠隼中高・校歌誕生の裏側（南日本新聞）,https://news.yahoo.co.jp/articles/cdca69989f9f8269263e128e6a7cf06aa6808178,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000007-minami-000-1-view.jpg?exp=10800,2024-11-26T18:05:21+09:00,2024-11-26T18:05:21+09:00,南日本新聞,minami,南日本新聞,453,児童にやさしく語りかける谷川俊太郎さん＝２０１３年１０月、湧水町米永のいきいきセンターくりの郷 鹿児島県肝付町の楠隼中高一貫教育校の校歌は豪華な顔ぶれが並ぶ。歌詞は先日亡くなった詩人の谷川俊太郎さん、作曲はＮＨＫ交響楽団正指揮者の下野竜也さん。 【写真】〈関連〉谷川俊太郎さんが作詞した楠隼中高の校歌の歌詞を見る 「楠が拡がる空へ 隼が羽ばたく彼方」で始まる詞は「志す宇宙は無限」と壮大なスケールで紡がれる。「時代の圧力に負けずに自分にひそむいのちのパワーを信じて生きて」とのメッセージが込められている。 全国に数々の校歌を残した谷川さんは生前、その発想法について、本紙記者に「生徒たちが楽しく、心を込めて歌える歌詞を書くことを目指す。これは思いではなく、技術が問題ですね」と答えている。 作詞を依頼したのは、初代校長を務めた池田学園池田中・高副校長の山崎巧さん（６３）。谷川さんのファンだった山崎さんが粘り強く交渉し、実現にこぎ着けた。待ちに待った詞は自筆のファクスで届けられた。 南日本新聞 | 鹿児島,[],[]
鹿児島県議会、県警幹部を招致へ　警官盗撮事件隠ぺい疑惑、来月中旬に参考人質疑　署長と本部長つないだキーマン（南日本新聞）,https://news.yahoo.co.jp/articles/35f16fa3ceaf2c36a59f6e2b646a9d7811cb570c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000006-minami-000-1-view.jpg?exp=10800,2024-11-26T15:03:21+09:00,2024-11-26T15:03:21+09:00,南日本新聞,minami,南日本新聞,888,（写真：南日本新聞社） 鹿児島県警枕崎署員の盗撮事件で昨年１２月に署の捜査が２日間中断したことに関し、鹿児島県議会が来月の総務警察委員会で、前首席監察官（現鹿児島中央署長）を参考人招致する方針であることが２５日、分かった。前首席監察官は野川明輝前本部長と前枕崎署長（退職）の連絡を担っており、野川氏と署との具体的なやりとりをただし、真相解明や再発防止を図るのが狙い。 【写真】〈関連〉枕崎署員による盗撮事件の認知から逮捕までの流れを時系列の一覧表で確認する 関係者によると、総務警察委は来月中旬に開かれる見通し。前首席監察官が招致される日程は未定だが、出席する見通し。前枕崎署長にも出席を要請したが、体調不良を理由に辞退するという。 県警によると昨年１２月、盗撮事件で署員（当時）の関与が浮上。２２日に報告を受けた野川氏は、警察官の不祥事で通常行う自身の指揮とせず、前首席監察官を通じ署による捜査を指示した。署側は捜査中断と受け取り、実際に２日間ほどストップした。 事件を巡っては前生活安全部長＝国家公務員法（守秘義務）違反の罪で起訴＝が、野川氏が事件を隠蔽（いんぺい）しようとしたと主張している。野川氏は否定。県警は「伝達ミス」としているが、やりとりのメモなどは残っていないとし、県議会では野党会派を中心に追及が続いている。 総務警察委は、霧島署員のストーカー事案について前霧島署長（現生活安全部長）に、また捜査書類の廃棄を促すようにも受け取れる「刑事企画課だより」について当時の課長（現警務部参事官）に、参考人として詳細をただすことも検討している。 ◇ 元枕崎署員の盗撮事件 ２０２３年１２月１５日に女子トイレに侵入し県内の３０代女性を盗撮したとして、県警は２４年５月１３日、建造物侵入と性的姿態撮影処罰法違反（撮影）の疑いで枕崎署警備課の巡査部長＝当時＝を逮捕した。６月に停職３カ月の懲戒処分とし、巡査部長は依願退職した。少なくとも８０回盗撮したとされ、このうち２３回が罪に問われた。９月、鹿児島地裁は懲役２年執行猶予３年の有罪判決を言い渡した。 南日本新聞 | 鹿児島,[],[]
大型箱モノ事業、全国で宙に…100億円を積み増しても「応札ゼロ」　新体育館だけじゃない「アレもコレも足りない」現実（南日本新聞）,https://news.yahoo.co.jp/articles/ea22697b77c136aed3827f1f6c0456bd1183245a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000005-minami-000-1-view.jpg?exp=10800,2024-11-26T11:38:21+09:00,2024-11-26T11:38:21+09:00,南日本新聞,minami,南日本新聞,1240,鹿児島県が新総合体育館の整備を計画しているドルフィンポート跡地（中央）＝１月１２日、鹿児島市（本社チャーター機から撮影） 人件費や建築資材の高騰が続き、鹿児島県の新総合体育館をはじめ公共施設事業の入札不調が全国の自治体で相次いでいる。コストがどこまで上昇するか見通せない中、各自治体は事業費の増額や規模縮小などの判断を迫られている。 【写真】〈関連〉公共施設の入札不調…全国の主な事例を一覧表で分かりやすく 鹿児島県は、鹿児島市の鹿児島港本港区ドルフィンポート跡地に新体育館を計画。事業費削減のために民間資金を活用した社会資本整備（ＰＦＩ）手法を初めて導入し、設計、建設から運営、維持管理までを包括発注する。 ２年前の基本構想から６８億円増えた３１３億円の事業費で４月に入札公告した。５月に県内外の事業者でつくる２グループが入札の意向を示したが、９月の入札日にいずれも辞退届を出し、不調となった。 ４月の入札説明会に参加した１グループを含む３グループへ県が１０月末に聞き取りしたところ、物価や人件費の高騰で３１３億円に収まらなかったという。聴取結果を踏まえ、増額や事業内容、整備・運営手法の見直しを視野に入れる一方、規模や機能の見直しは「基本的に困難」としている。 全国の自治体も腐心している。名古屋市は国際会議場の施設改修に加え、展示場と立体駐車場の新設を計画。ＰＦＩを採用し、２０２２年に事業費４２６億円で入札公告したが、不調になった。国が公表する公共工事設計労務単価などをもとに人件費と資材の高騰分１０６億円を積み増し、５カ月後に５３２億円で再公告。それでも応札者はいなかった。 市は財政上の理由からさらなる増額は厳しいと判断し、展示場と駐車場の新設を断念。ＰＦＩから運営と維持管理を外し、設計と建設のみを担うデザインビルド（ＤＢ）方式に変更した。物価高が続く中、事業者が長期間管理するリスクは高いと考えたという。２３年に４５１億円で公告し、入札された。担当者は「二度目の入札不調は衝撃的だった。物価高が続けば事業費がさらに上がる可能性もあった」と明かす。 神戸市のスポーツ施設「ポートアイランドスポーツセンター」は２３年１０月に入札不調になった。聞き取った事業者は要因に建設業界の人手不足も挙げる。担当者は「人手不足の解消時期が分からず、１年たった今もいつ再公告するか決められない状況だ」と話す。 沖縄県でも今年９月、国際会議や展示会などの「大型ＭＩＣＥ」の入札で参加事業者が現れなかった。検証委員会をつくり、不調の要因や方針を協議する。 自治体の公共工事に詳しい上智大学の楠茂樹教授は「自治体財政が厳しい中、当初計画のまま事業費だけを増やすのは厳しい面もある。計画見直しは、公共施設としての利便性や福利厚生の観点から、優先順位をつけて考えるべきだ」と説明。「業者に落札可能な額も示す必要がある。各自治体には難しいかじ取りとなるだろう」と指摘した。 南日本新聞 | 鹿児島,[],[]
ロケット燃焼試験で火災発生　固体燃料のイプシロンS、種子島宇宙センター（南日本新聞）,https://news.yahoo.co.jp/articles/af508a5c4b910895d6ca21a6c043864ef13620c3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000004-minami-000-4-view.jpg?exp=10800,2024-11-26T09:45:25+09:00,2024-11-26T11:25:58+09:00,南日本新聞,minami,南日本新聞,188,〈資料写真〉種子島宇宙センター 宇宙航空研究開発機構（ＪＡＸＡ）は２６日、南種子町の種子島宇宙センターで、開発中の小型固体燃料ロケット「イプシロンＳ」の２段目エンジンの燃焼試験を行ったが、異常燃焼が起きて火災が発生した。ＪＡＸＡが状況を確認している。試験は午前８時半から開始した。 【動画】イプシロンロケット6号機、打ち上げ失敗 JAXAが「指令破壊」 南日本新聞 | 鹿児島,[],[]
警官と少女の性交事案に「被害者、家族におわび」 岩瀬鹿児島県警本部長　「責任持って再発防止対策進める」と謝罪、対策の進捗管理担う「改革推進委員会」非公開の方針維持（南日本新聞）,https://news.yahoo.co.jp/articles/3cb5933e81003d4f1e09cdcd69ecf426ca70c4e5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000003-minami-000-2-view.jpg?exp=10800,2024-11-26T07:00:21+09:00,2024-11-26T10:07:06+09:00,南日本新聞,minami,南日本新聞,638,定例会見に臨む岩瀬聡本部長（左手前から２人目）ら県警幹部＝２５日午後３時２５分ごろ、鹿児島市の県警本部 鹿児島県警の警察官が１６歳未満の少女と知りながら性交し、懲戒免職となった事案について、岩瀬聡本部長は２５日の定例会見で「被害者や家族、県民におわび申し上げる。さらに信頼を損なう事案で大変遺憾だ。責任を持って再発防止対策を進める」と謝罪した。性犯罪に特化した対策の必要性は「（現行策に掲げる）高い職務倫理の養成に、大きな目的として含まれている」と述べるにとどめた。 【写真】記者の質問に答える岩瀬聡本部長＝２５日午後３時２５分ごろ、鹿児島市の県警本部 ５日着任し、初の定例会見に臨んだ岩瀬本部長は「しっかりと対策を進めなければ、県警の運営が立ち行かなくなってしまうという危機感のようなものを感じる」と言及。塩田康一知事が２２日の定例会見で「個人の問題ではなく組織の問題だ」との認識を示したことについて「特効薬があるとは思えず、工夫しながら対策を続けることが大切だ。組織として職員の倫理感を高める取り組みが足りないと言われれば、その通りだと思う」と話した。 対策の進捗〔しんちょく〕管理などを担う改革推進委員会を原則非公開とする方針は維持する考えを表明した。その上で「外部講師や県公安委員会、議会の声を柔軟に議論に取り入れ、成果に反映させる」と強調。性犯罪に特化した対策は「効果が期待できる全く新しい観点が出れば、もちろん排除せずに取り組む」と語った。 南日本新聞 | 鹿児島,[],[]
県下一周駅伝日置チーム一筋 船迫義和さん死去　選手、監督、審判員として60年　区間賞・新記録の数々　米ボストン・マラソン5位入賞も（南日本新聞）,https://news.yahoo.co.jp/articles/05634ea9e0e8c365ee1d74d44e95f11c45d66403,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000002-minami-000-2-view.jpg?exp=10800,2024-11-26T06:30:21+09:00,2024-11-26T15:24:55+09:00,南日本新聞,minami,南日本新聞,310,船迫義和さん県下一周駅伝日置チーム元監督 鹿児島県下一周駅伝日置チーム元監督の船迫義和（ふなさこ・よしかず）さんが８日午前８時５３分、悪性リンパ腫のため日置市内の病院で死去した。８６歳。通夜と葬儀は近親者のみで済ませた。 【関連】第72回県下一周駅伝は2025年2月15日号砲 19日までの5日間で開催 伊集院町（現日置市）出身で、鹿児島県下一周駅伝に第１回大会から参加。日置チーム一筋で選手として２０年間出場したのち、監督と審判員でも２０年ずつ携わり、第６０回大会で引退した。選手時代は区間賞を２９回獲得し、うち１７回が新記録。３度の総合優勝を経験した。米ボストン・マラソン５位の入賞歴もある。 南日本新聞 | 鹿児島,[],[]
