headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
２度白紙のスタジアム候補地　塩田知事「新候補地を鹿児島市と検討」も連携像示さず（MBC南日本放送）,https://news.yahoo.co.jp/articles/a5729d84f27b9498cb3b8ab5848119ad46307237,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070119-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-27T19:39:00+09:00,2024-02-27T19:39:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,814,\nMBC南日本放送\n候補地が２度白紙に戻り、迷走する鹿児島市のサッカースタジアム整備を巡る問題です。塩田知事は２７日の県議会で、「新たな候補地を市と一緒に検討する」と強調したものの、具体的な連携のあり方は示しませんでした。\n\n（柳議員）「新たな候補地を模索していくことになるが、県として（市との）連携のあり方は？」\n\n２７日の県議会代表質問で焦点の１つとなったのが、鹿児島市のサッカースタジアム整備候補地を巡る動きです。\n\n候補地を巡っては、「ドルフィンポート跡地」など３か所が白紙になったあと、市が県有地の「北ふ頭」での整備を打ち出したものの、県などと調整が難航し、今月、塩田知事の提案で再び白紙となりました。\n\n市がきのう２６日に「市有地に建設できる土地がない」ことを示した中、塩田知事は「市と連携して新たな候補地を検討する」考えを強調しました。\n\n（塩田知事）「今後、市と一緒に新たな候補地を検討したい。引き続き、市と連携をはかりながら実現に向け、オール鹿児島で取り組む」\n\n具体的にどう鹿児島市と連携するかは示しませんでした。\n\nもう１つ、焦点となったのが、県が本港区に計画するイベントなどのコンベンション機能を備えた新たな総合体育館です。資材の高騰などで事業費が当初より６８億円増え、３１３億円にふくらむ見通しの中…。\n\n（柳議員）「新しい体育館をつくる議論からスタートしたが、スポーツコンベンションセンターに名称が変わり、予算も３００億円を超え、当初想定していたものとは明らかに違う。原点に戻って再考できないか？」\n\n（塩田知事）「単なるスポーツだけでなく、コンベンションにも活用することで、施設の維持管理費をできるだけかせぐ。理解を求めていきたい」\n\n施設の維持管理費を、イベントなどの収益で「できるだけまかなう」とし、理解を求めました。\nMBC南日本放送 | 鹿児島,[],[]
吹上砂丘荘閉館に反対する請願・陳情５件を不採択　日置市議会常任委（MBC南日本放送）,https://news.yahoo.co.jp/articles/9e0ab9a5baf3b121998d7aff7dba3a7b71ca338d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070121-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-27T19:56:00+09:00,2024-02-27T19:56:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,366,\n鹿児島県の日置市が市議会に提案した直営の宿泊施設・吹上砂丘荘を来年の３月末で閉館する議案に反対する請願・陳情５件について、常任委員会は２７日、いずれも不採択にしました。\n\n１９７０年にオープンした日置市直営の宿泊施設・吹上砂丘荘について、市は施設の老朽化や従業員確保の難しさなどから来年３月３１日で閉館する議案を、２月２１日に市議会に提案しました。\n\nしかし、住民説明会で一部の住民から撤回を求める声が上がり、市議会には閉館の議案に反対する請願・陳情が５件提出されていました。\n\n市議会事務局によりますと、２７日の常任委員会で請願・陳情５件が審議され、いずれも不採択になったということです。請願・陳情は来月５日の本会議で採決が行われ、不採択となった場合、閉館の議案審査に入る予定です。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070121-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/9e0ab9a5baf3b121998d7aff7dba3a7b71ca338d/images/000']
チューリップ３０本余りの球根盗まれる　鹿屋市・霧島ケ丘公園（MBC南日本放送）,https://news.yahoo.co.jp/articles/911be641cc33e821c790a3176a0fe1b9af25ecda,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070116-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-27T19:32:00+09:00,2024-02-27T19:32:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,398,\nMBC南日本放送\n鹿児島県鹿屋市の霧島ケ丘公園で、チューリップ３０本余りの球根が盗まれる被害がありました。\n\n小さな紫の花、ムスカリが見ごろを迎えている「かのやばら園」。そのばら園がある花の名所・鹿屋市の霧島ケ丘公園で、チューリップが盗まれたと分かったのは、今月２５日の午後でした。\n\n霧島ケ丘公園管理事務所によりますと、公園の入り口付近にある花壇の数か所で土が掘られ、３０本余りのチューリップの球根がなくなっていることにスタッフが気づきました。\n\nチューリップは去年１２月に植えられ、来月中旬から見ごろを迎える見通しでした。花壇には、注意を呼びかける看板が置かれています。\n\n（霧島ケ丘公園管理事務所 二間瀬泰史さん）「今回盗まれた本数は少なかったが、今後このようなことが起こらないよう、霧島ケ丘公園事務所では、周知徹底に努めてまいりたい」\nMBC南日本放送 | 鹿児島,[],[]
高校生の感性を３０秒動画に　高校生動画コンテスト「ＭＢＣ高校生クリエイターズアワード」初開催（MBC南日本放送）,https://news.yahoo.co.jp/articles/5009c52f4535c1d9946c377ac1f91c4b82b3d4ba,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070115-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-27T19:28:00+09:00,2024-02-27T19:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,933,\nMBC南日本放送\n高校生が制作した動画のコンテスト、シナプスプレゼンツ「ＭＢＣ高校生クリエイターズアワード」が鹿児島市で初開催されました。個性豊かな作品が集う中、グランプリに輝いたのは一体どんな作品でしょうか。\n\n「ＭＢＣ高校生クリエイターズアワード」は、鹿児島の若い世代の創作活動を応援しようと、今年初めて開かれました。参加対象は、県内に住む高校生。個人、団体問わず自由なテーマで３０秒の動画を制作するもので、４８作品が寄せられました。\n\nよかど鹿児島のプロジェクションマッピングなどを手がける県出身のクリエイティブディレクター伊原亮さんら４人の審査員が、発想力、撮影・編集技術、メッセージ性などを審査しました。\n\n準グランプリ２作品のうちのひとつは、加治木高校写真部の作品。部活に打ち込む生徒と、その姿を記録する写真部員たちの、青春あふれる３０秒間です。\n\n（加治木高校２年 小浜春人さん）「皆の力を合わせて作った作品なので、努力が報われてうれしかった」\n\n準グランプリ２作品目は、鹿児島情報高校３年・小湊定宗さんの作品。夏はかき氷を求めて多くの人が行列を作る、鹿児島市の氷店「柳川氷室」の冬の仕事風景を、ドキュメンタリー風に撮影しました。\n\n（鹿児島情報高校３年 小湊定宗さん）「氷と言えば夏というイメージがあるが、あえて冬にすることで、冬も裏方で頑張っている姿を見てもらえればと思った」\n\nグランプリに輝いたのは、出水高校２年の島本葵さん。スマホで見るだけでなく、実際にその場所に行って感じることの大切さをイラストと実写で表現しました。\n\n（出水高校２年 島本葵さん）「ほかの人は映像技術を持っているが、私は無いので、絵で戦うしかないなと。鹿児島の良さも入れて、面白く何度も見せられたらいいなと描いた」\n\n島本さんは、視聴者からの投票で選ばれる「県民賞」もＷ受賞しました。\n\n受賞作品を含むノミネート作品６つは、今月２８日からＭＢＣテレビで番組の合間に放送される予定です。また、二次審査を通過した２０作品は「ＭＢＣ高校生クリエイターズアワード」のホームページで見ることができます。\nMBC南日本放送 | 鹿児島,[],[]
九州道をわき見運転で車衝突　息子（３）放り出され死亡　母親に有罪判決「シートベルト適切に着けず」（MBC南日本放送）,https://news.yahoo.co.jp/articles/c5b9eedbf2c60c29900cde6d32ea54699b8c313e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070117-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-27T19:35:00+09:00,2024-02-27T19:35:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,413,\nMBC南日本放送\n鹿児島市の九州自動車道で去年、軽乗用車が中央分離帯に衝突し、３歳の男の子が死亡した事故で、裁判所は２７日、運転していた母親に対し、執行猶予付きの有罪判決を言い渡しました。母親は、自分と息子のシートベルトを適切に着けていませんでした。\n\nこの事故は去年３月、鹿児島市の九州自動車道下り、薩摩吉田インターと鹿児島北インターの間で、軽乗用車が中央分離帯に衝突し、愛媛県に暮らす当時３歳の男の子が車外に放り出され死亡したものです。\n車を運転していたのは男の子の母親で、過失運転致死傷の罪に問われていました。\n\n愛媛県の松山地裁は２７日の判決で、「助手席に座る息子に気を取られ、わき見をして事故を起こした」「自分と息子のシートベルトを適切につけておらず、責任は軽視できない」とした上で、禁錮１年４か月の求刑に対し、禁錮１年４か月、執行猶予３年の有罪判決を言い渡しました。\nMBC南日本放送 | 鹿児島,[],[]
「映画とは違う」「大きくて驚いた」溝辺中２年生が海の仕事の現場に潜入　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/177c71db9f10dc0656f19a4ab14c37e2d6c1b9bb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070114-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-27T19:26:00+09:00,2024-02-27T19:26:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,636,\nMBC南日本放送\n霧島市の中学生が海の仕事に触れました。若い世代に海の仕事の魅力を伝えようと、２７日、造船所などの見学会が開かれました。\n\n２７日午前、鹿児島新港に停泊中のフェリー波之上を見学したのは、霧島市の溝辺中学校の２年生１８人です。\n\n見学会は、海の仕事を知ってほしいと、鹿児島運輸支局が２００８年から毎年開いていて、子どもたちは特等の客室や操舵室を見てまわりました。\n\n午後は、鹿児島市七ツ島の造船所を訪れ、船舶の修理や検査などを見学しました。この日のために準備されていた「溝辺中」の文字に切り抜いた鉄板が披露され、子どもたちは部品を加工する技術の高さに触れていました。\nまた、普段は見られないフェリーの船底についているプロペラの大きさなどに驚いていました。\n\n（中学生）「見えない部分にもあんなに大きいものがあったのだと、びっくりした。性別の境目もなく、みんな楽しそうに仕事をしていたのでいいなと思った」\n\n（中学生）「映画では簡単にしているようなことが、実際は連携が必要だし、技術が必要ということが一番違うと感じた。船の関係で仕事している人はすごいと思った」\n\n（鹿児島運輸支局 木本昭二さん）「海の仕事について身近に働いている人がいないと触れる機会がないと思うので、今回の機会を今後に生かしてほしい」\n\n鹿児島運輸支局では、今後も子どもたちが海の仕事と関わる機会をつくりたいとしています。\nMBC南日本放送 | 鹿児島,[],[]
奄美大島のマングース根絶の見通し　環境省の検討委員会（MBC南日本放送）,https://news.yahoo.co.jp/articles/d0f9e48c59f65e8395c3602a75267a4676ee1f4c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070113-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-27T19:23:00+09:00,2024-02-27T19:23:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,617,\nMBC南日本放送\n奄美大島で防除が進められているマングースについて、環境省は今年度、捕獲がなければ、ことし９月にも根絶宣言する見通しとなりました。\n\nマングースは特定外来生物に指定されていて、アマミノクロウサギなど希少な野生生物を捕食することから、奄美大島では２０００年から防除事業を行っています。\n\n１９７９年に数十匹が放たれたマングースは、２０００年前後のピーク時にはおよそ１万匹に増えたと思われ、アマミノクロウサギが激減しました。\n\n環境省は捕獲の専門チームを結成し、最大で３万基のわなを設置したほか、およそ４５０台のセンサーカメラを設置し、モニタリングを続けました。\nその結果、２０１８年の４月の捕獲を最後に、およそ６年間マングースは見つかっていません。\n\n２７日に開かれた環境省の検討会では、根絶を表す数値が昨年度高い数値を示し、今年度も１００％近い高い数値が予想されることから、このまま年度末まで捕獲がなければ、マングースは「根絶」したとされると結論づけました。\n\n（検討委員 東京女子大学・石井信夫名誉教授）「これだけの広さの島からマングースを根絶させるというのは世界で初めての達成なので、非常に時間をかけて慎重にやってきた。２４年間これまで続いたわけだが、ようやく終わりが見えた」\n\n環境省は、数値が確定されれば、ことし９月ごろに根絶宣言する見通しです。\nMBC南日本放送 | 鹿児島,[],[]
廃棄物リサイクル処理施設で火災　通報から４０時間後に鎮火　鹿児島・姶良市（MBC南日本放送）,https://news.yahoo.co.jp/articles/70b11965a9d4fef9e7d413ed0fc1ac4c59427fc3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070110-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-27T19:18:00+09:00,2024-02-27T19:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,321,\nMBC南日本放送\n鹿児島県姶良市の廃棄物処理施設で火事があり、２５日から消火活動が続いていましたが、２７日午後、通報から４０時間後に鎮火しました。\n\n火事があったのは、姶良市加治木町西別府の廃棄物処理施設、丸山喜之助商店・鹿児島中央資源化センターの廃棄物を選別する施設です。\n\n２５日午後１１時前に火が出ましたが、当初、消火の水が足りなかったことや、鉄くずや金属など廃棄物の表面に水をかけても鎮火できなかったことなどから、消火活動が続いていました。\n\nおよそ４０時間たった２７日午後３時すぎに鎮火しましたが、およそ１８００平方メートルが全焼しました。\n警察や消防で出火の原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
解剖数は九州２位も解剖医はたった１人　担い手課題　鹿児島県内での法医解剖２８８件で過去最多（MBC南日本放送）,https://news.yahoo.co.jp/articles/22cbaf400622fe06c5ed26e5e406cb1c75fec966,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070111-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-27T19:20:00+09:00,2024-02-27T19:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1349,\nMBC南日本放送\n去年、鹿児島県内で行われた法医解剖は、過去最多の２８８件でした。鹿児島で法医解剖ができる医師は１人しかおらず、担い手不足が課題となっています。\n\n（鹿児島大学大学院・法医学分野 林敬人教授）「できる限り、この人がどうして亡くなったのか、誰かに殺されたんじゃないか、解明したい」\n\n鹿児島大学大学院の林敬人教授です。２０１９年に教授に着任して以降、県内の法医解剖を１人で行っていて、宮崎からも毎年１０件ほど依頼が入ります。\n\n鹿児島大学大学院が行った法医解剖は、おととし２２３件で過去最多となり、去年はさらに更新し、６５件増え２８８件でした。\n\n解剖までの流れです。事件現場の遺体や、自宅で亡くなった人の死因がわからない場合、警察や海上保安部などが医師立ち合いのもと「検視」を行い、犯罪性がないかどうかを判断します。そして、検視でも死因がわからない場合に法医解剖が行われます。\n\n警察庁や鹿児島大学大学院によりますと、九州で法医解剖ができる医師は福岡は７人、長崎３人、熊本・宮崎は２人、大分・佐賀・鹿児島は１人です。\n\n一方、去年、法医解剖された件数を県別にみると、鹿児島は最も多い福岡の３７３件に次いで２番目に多い２６６件。医師一人あたりが行う解剖の件数でみると、鹿児島県の林教授が２６６人と最も多く、２番目の大分県より１００件以上多くなっています。勤務日はほぼ毎日解剖を行っている計算になります。\n（福岡３７３件、佐賀８７件、長崎１８４件、熊本１４７件、大分１５６件、宮崎６８件）\n\n背景にあるのが、解剖医の担い手不足です。解剖医は、患者を診たり治療することがない、遺体の死因を研究する専門医です。この１０年間で鹿児島大学医学部を卒業した１０００人あまりのうち、法医分野に進んだ医師はゼロです。\n\n（林教授）「医学部に入学しても法医を選ぶ学生は少ない。本来、臨床医の医者になろうと思って医学部に入る学生が大多数なので」\n\n県警が取り扱った遺体は、去年は２１５５人。毎年２０００人前後で推移していて、県警は「犯罪により亡くなった人の見逃しを防ぐため、司法解剖を依頼するケースは増えている」と話します。\n\nまた国は、災害で亡くなった人の身元確認体制の充実を図るため「解剖率２０％以上」を掲げていますが、現在、県警が取り扱う遺体のうち、解剖が行われるのは全体の１３％ほどです。\n\n林教授は、「国の目標を達成するのには１人では限界がある」としながらも、「死因がわからない人を１人でも多く見ることで、犯罪死や虐待死の見逃しを防ぎたい」と話します。\n\n（林教授）「中には事件性があったり、死因不詳のご遺体が多数ある。少しでも多くの遺体を解剖して死因を究明できればと思っている。国の目標として（解剖率）２０％以上を掲げているので、鹿児島県も２０％（年間約４００件）までは上げたい思いがある」\n\n鹿児島大学大学院では再来年の春、博士課程を修了する学生が１人いて、６年ぶりに法医解剖医が２人体制となる予定です。\n\n鹿児島大学は、法医解剖医の仕事現場を見学してもらうなど、担い手確保に努めたい考えです。\nMBC南日本放送 | 鹿児島,[],[]
反原発グループ　能登地震受け「運転延長の賛否を県民アンケートで確認」要請　運転延長認可の川内原発めぐり（MBC南日本放送）,https://news.yahoo.co.jp/articles/5c684ff88cf6d6a5de65d3b3da78281105d3d34b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070109-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-27T19:16:00+09:00,2024-02-27T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,416,\nMBC南日本放送\n２０年の運転延長が決まった川内原発について、市民グループは２７日、「能登半島地震で不安を持っている人もいる」として、改めて運転延長の賛否について県民アンケートをとることなどを塩田知事に求めました。\n\n要請書を出したのは反原発の市民グループです。川内原発は去年１１月、原子力規制委員会に運転延長が認可され、１２月に鹿児島県も地元の薩摩川内市もその判断を容認しました。\n\n市民グループは２７日、「県や地元が容認した後に能登半島地震が発生し不安を持っている人もいる」として、運転延長の賛否について改めて県民アンケートをとることなどを塩田知事に求めました。\n\n（川内原発３０キロ圏住民ネットワーク 高木章次代表）「知事は改めて県民がどう考えているか確認するべき」\n\n市民グループは要請書で、原発事故が起きた際の避難計画の実効性などを検証する分科会の設置も求めています。\nMBC南日本放送 | 鹿児島,[],[]
長島町沖の八代海で座礁したタンカー　自力航行で米ノ津港に到着　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/0917cbff75c7d8ae1369e26ed6ae255df4c49c22,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240227-00070106-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-27T16:16:00+09:00,2024-02-27T16:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,410,\nMBC南日本放送\n長島町沖の八代海でタンカーが座礁した事故です。船は２７日、乗り上げた浅瀬から離れ、自力で出水市の米ノ津港に到着したということです。\n\n天草海上保安署によりますと、２５日午後９時半すぎ、神戸港から出水市の米ノ津港に向かっていた民間会社のタンカー「かいうん丸」３８１トンが、長島町待島の西およそ１６０メートルの浅瀬に座礁しました。船には乗組員４人が乗っていて、けがはありませんでした。\n\n海上保安署によりますと、２７日午前９時半すぎ、民間会社から依頼を受けたタグボート２隻が、浅瀬から引き出し、タンカーは自力で米ノ津港に向かったということです。\n\nかいうん丸は、普段はアルコールを運んでいますが、当時は空で、これまでに燃料の流出も確認されていません。\n\n事故当時の海域に注意報や警報は出ていなかったということで、海上保安署が座礁した原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
