headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
就寝中、火事に気付き逃げ出す　71歳女性は煙を吸って体調不良、40代息子はやけど　曽於市で住家全焼（南日本新聞）,https://news.yahoo.co.jp/articles/39bdcf0013a32c35e6fb547a000b25cf5e33a330,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000012-minami-000-1-view.jpg?exp=10800,2024-12-26T22:05:24+09:00,2024-12-26T22:05:24+09:00,南日本新聞,minami,南日本新聞,222,（写真：南日本新聞社） ２５日午後１１時ごろ、鹿児島県曽於市末吉町岩崎、無職の女性（７１）方から出火、木造平屋住家約２２５平方メートルを全焼した。 曽於署によると、女性は４０代の息子と２人暮らし。煙を吸って体調不良を訴えている。息子は頬と呼吸器にやけどを負ったが、２人とも命に別状はない。 ２人は出火時、別々の部屋で就寝中で、火事に気づいて逃げ出した。近隣住民が「家が燃えている。火柱が立っているようだ」と１１９番した。 南日本新聞 | 鹿児島,[],[]
片側1車線の見通しのいい直線で車が正面衝突　80歳女性が死亡　薩摩川内市（南日本新聞）,https://news.yahoo.co.jp/articles/3fa90f61de6a43f24e03c5e397ff7ef6fa88cb47,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000011-minami-000-1-view.jpg?exp=10800,2024-12-26T21:30:21+09:00,2024-12-26T21:30:21+09:00,南日本新聞,minami,南日本新聞,233,（写真：南日本新聞社） ２６日午前７時１０分ごろ、鹿児島県薩摩川内市樋脇町塔之原の県道で、近くの飲食店従業員の女性（８０）の軽乗用車と同市の２０代女性の乗用車が正面衝突した。飲食店従業員の女性は胸などを強く打ち、病院に搬送されたが、間もなく死亡した。 薩摩川内署によると、現場は片側１車線の見通しのいい直線。飲食店従業員の女性が対向車線にはみ出した可能性があるとみて捜査している。女性も搬送されたが、命に別条はなかった。通行人が１１０番した。 南日本新聞 | 鹿児島,[],[]
被害届を受け渋る警察署…女性は県公安委に苦情を申し立てたが、返答は「対応は不適切。指導した」との通知のみ。知事もついに改革へかじを切った（南日本新聞）,https://news.yahoo.co.jp/articles/f1bc254b3403ce64a096723b689dca78d3e4602b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000010-minami-000-1-view.jpg?exp=10800,2024-12-26T21:09:21+09:00,2024-12-26T21:09:21+09:00,南日本新聞,minami,南日本新聞,1392,県公安委員会が入る県警本部庁舎＝１１月、鹿児島市鴨池新町 鹿児島県警の不祥事を巡り、県警を管理する「県公安委員会」の在り方が問われている。県民の代表と位置付けられ、警察業務に県民の考えを反映させるという任務を負うが、活動内容が知られる機会はほとんどなく、機能しているか疑問視する声もある。連載「検証 鹿児島県警」の第２部は、県公安委の実態を捉え、県警の信頼回復へ果たすべき役割を考える。（連載・検証鹿児島県警第２部「問われる公安委」③より） 鹿児島県警の「受け渋り」は昔から？…詐欺被害を訴えても、南署は取り合わず「個人間の貸し借りだ」 「相談者の心情に配慮した対応を」。鹿児島県公安委員会は３月、相談に訪れた女性への対応が不適切だったとして、鹿児島南署を指導した。女性は、５０代の男に複数回にわたって２０００万円以上をだまし取られたと訴えていた。 女性によると、２０２２年に３回相談した。署の警察官は「犯罪の構成要件に当たらない」として取り合わなかった。女性はその後、別の署に相談。被害届は受理され、男は詐欺の疑いで逮捕された。 署の対応への不満から、女性は２３年８月、窓口の県警を通じて県公安委へ苦情を申し立てた。半年以上たった２４年３月、県公安委は「県警に事実関係の調査を求めたところ、署の対応は適切さに欠けると判断した」として、南署を指導した旨を女性に通知した。ただ、具体的な議論の過程は明らかにされていない。 ■ □ ■ 県公安委は、活動状況をホームページで公表している。県警本部庁舎内にある公安委員室で開く定例会と臨時会の会議録を載せており、県警からの報告や県警に対する決裁事項を公にしている。 内容によっては毎回、文言がほぼ変わらないものもある。例えば、苦情に関しては「警察本部から苦情事案の受理について説明があり、これを審議の上、決裁した」とだけ記している。職員の処分に関わるものも「警察本部から監察事案について報告があった」とするにとどめている。県警総務課は「公表すべきでない内容や個人情報が含まれるため、あえて省略している」と理由を説明する。 県公安委は苦情の処理過程について、「調査の結果、警察職員の不適切な職務執行が判明すれば、定例会で指導している」と回答した。 南日本新聞は１２月２日、同課を通じて定例会の取材を申し入れたが、「捜査情報や処分者のプライバシーに関する情報が扱われる上、室内の構造が明らかになってしまう」との理由で実現しなかった。 ■ □ ■ 県警の不祥事が相次いで以降、県公安委に対する県の姿勢に変化が見られる。塩田康一知事は１０月の定例会見で「県公安委と県警の関係がこれまで通りでいいのかどうかが議論されている」と述べた。 県議の問題提起を受け、１１月には委員の選出方法にも踏み込んだ。これまでは県警が提示する参考情報を基に選考していたが、「県民から疑念を招きかねない」と言及。「選出プロセスを見直し、幅広い候補者の中から人選する」として、県が主体となって候補者を選ぶ方針を表明した。 情報公開のあり方についても指摘した。「行政として活動する以上は、内容をできるだけオープンにする必要がある」との見解を示した。 県公安委ホームページに載せている定例会と臨時会の会議録は１２月２５日現在、９月を最後に更新されていない。 南日本新聞 | 鹿児島,[],[]
選手会が音頭、郷土ゆかりのプロ野球選手を派遣　宮崎には阪神、広島の伸び盛りの若手がやってきた！　小林市で野球教室（南日本新聞）,https://news.yahoo.co.jp/articles/c66e894ad038a09e6c4dd24f2154d4dacd907249,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000009-minami-000-1-view.jpg?exp=10800,2024-12-26T15:03:21+09:00,2024-12-26T15:03:21+09:00,南日本新聞,minami,南日本新聞,455,児童のバッティングを指導する羽月隆太郎選手＝小林市南西方 野球人口を増やすために日本プロ野球選手会と日本マクドナルドが支援する体験会が２１日、宮崎県小林市の小林総合運動公園野球場であった。未経験者と野球を始めて１年以内の児童約４０人が現役プロ２人と交流した。 【写真】〈関連〉児童らと交流する小幡竜平（右）と羽月隆太郎の両選手＝小林市の小林総合運動公園野球場 体験会は、同市の野尻クラブスポーツ少年団、永久津ベースボールクラブの両軟式チームが合同で開催。宮崎県にゆかりがある広島カープ・羽月隆太郎選手（２４）＝宮崎市出身、神村学園高卒＝と、阪神タイガース・小幡竜平選手（２４）＝大分市出身、延岡学園高卒＝が選手会から派遣された。 児童は両選手にバッティングで球を捉えるこつやキャッチボールの大切さを学び、「練習を重ねてうまくなってほしい。プロ野球で一緒にプレーしよう」と励まされた。 小林市の紙屋小学校４年坂上希恵（のあ）さんは「プロ選手からアドバイスをもらえてうれしかった」と話した。 南日本新聞 | 鹿児島,[],[]
【速報】迫る猛威、感染者が前週から倍増…県内全域にインフル警報、最多は西之表（南日本新聞）,https://news.yahoo.co.jp/articles/c2a6db5ba386cfcdebe2a91fd727c7550fac4dcd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000008-minami-000-2-view.jpg?exp=10800,2024-12-26T12:35:21+09:00,2024-12-26T22:53:17+09:00,南日本新聞,minami,南日本新聞,297,（写真：南日本新聞社） 鹿児島県は２６日、県内全域にインフルエンザ流行発生警報を発令した。１６～２２日の県内８９定点医療機関当たりの患者数は６５．５７人で、前週（２９．００人）の２．２６倍となり、警報基準の３０人を超えた。県内全域への警報発令は２０２３年１１月以来。 医薬品が足りない…メーカー不正やコロナ禍に10月からの制度改正が追い打ち、後発薬は特に不足する恐れ 県感染症対策課によると、報告数は５８３６人で、前週から３２５５人増えた。保健所別では、西之表の１０４．００人が最多。鹿屋、指宿、鹿児島市、姶良、川薩、伊集院、加世田、徳之島、出水でも警報レベルを超えた。 南日本新聞 | 鹿児島,[],[]
これだ、私の天職は。性別を理由に夢をあきらめる時代じゃない…圧倒的女性社会に身を投じたバスケットマン。JAC初の男性CA、推しは千葉ジェッツ（南日本新聞）,https://news.yahoo.co.jp/articles/d4a2d8d27d8ac9e11aa90db79caf49c19d8fbca3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000007-minami-000-1-view.jpg?exp=10800,2024-12-26T11:45:21+09:00,2024-12-26T11:45:21+09:00,南日本新聞,minami,南日本新聞,719,日本エアコミューターで初の男性ＣＡとなった本橋献人さん＝霧島市 ■「かお」 日本エアコミューター初の男性ＣＡになって半年、本橋献人（もとはし・けんと）さん 【写真】〈関連〉笑顔の接客を心がけているという本橋献人さん＝霧島市 鹿児島県霧島市の日本エアコミューター（ＪＡＣ）で初の男性客室乗務員（ＣＡ）となり、６月の初フライトから半年がたった。機内ではきびきびとした動きに、爽やかな笑顔。真面目で明るい人柄がにじむ。「ずっと夢だった仕事に就けてうれしい。毎日が楽しい」と白い歯を見せる。 ４月に入社し約２カ月の訓練を終え、鹿児島発沖永良部行きの便でデビューした。「乗務前は緊張していたが、接客しているうちに自然と緊張が解けた」と振り返る。 離島便を中心に運航するＪＡＣ。飛行時間が短い路線が多い。「少しでも快適な旅に」とキャンディーサービスに真心を尽くす。徐々に顔なじみも増え、「離島住民の生活の足を支えている」と実感する。 進路に迷っていた高校３年生の頃、英語の女性教諭が話していたＣＡへの憧れを聞き、興味を持った。人と関わりながら、飛行機でいろいろな場所に行ける。「これだ」と思い、ＣＡに照準を定め、流通経済大で国際観光を学んだ。アイルランドに語学留学し夢に近づけた。 社会に染みついたジェンダーバイアス（性別に基づく固定観念）に疑問を抱く。「女性のＣＡが多いが、性別を理由に夢をあきらめるような時代ではない。これからなりたいと思う人を後押ししたい」と話す。 静岡県吉田町出身。小学校から大学までバスケットボールに打ち込んだ。週末は推しチームのＢリーグ１部千葉ジェッツを応援する。霧島市国分で一人暮らしする２３歳。 南日本新聞 | 鹿児島,[],[]
鹿児島県公安委員長が年末特別警戒を視察、警察官を激励「一連の非違事案で厳しい視線。県民に寄り添う対応が信頼回復に」（南日本新聞）,https://news.yahoo.co.jp/articles/4bedc09270e48e509180a1d16f6aebecc1526f17,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000006-minami-000-2-view.jpg?exp=10800,2024-12-26T11:27:21+09:00,2024-12-26T11:29:24+09:00,南日本新聞,minami,南日本新聞,315,鹿児島西署の川路康隆刑事官の説明を受けながら視察する県公安委員会の石窪奈穂美委員長（前列右）ら＝２５日午後６時５分ごろ、鹿児島市中央町 鹿児島県公安委員会の石窪奈穂美委員長ら委員３人は２５日、鹿児島市のＪＲ鹿児島中央駅周辺の繁華街で県警の年末特別警戒を視察した。 「防犯カメラに写っていても逮捕は難しい」。被害届を受け渋る警官…提示された書面に小売業の女性は目を疑った 鹿児島西署の川路康隆刑事官から人通りの多い場所など地域情勢について説明を受けながら約２０分巡回。鹿児島中央駅前交番で石窪委員長は「一連の非違事案で警察には厳しい目が向けられているが、県民へ寄り添った対応が信頼回復につながる」と激励した。 南日本新聞 | 鹿児島,[],[]
基準値の240倍…市老人福祉センター温泉施設からレジオネラ属菌を検出　えびの市（南日本新聞）,https://news.yahoo.co.jp/articles/a0f653875515854c33d45b7ff93e3ce357a5e9b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000005-minami-000-2-view.jpg?exp=10800,2024-12-26T11:15:35+09:00,2024-12-26T11:29:02+09:00,南日本新聞,minami,南日本新聞,281,レジオネラ属菌検出に伴う臨時休館を伝える文書（同ホームページより） 宮崎県えびの市は２５日、同市老人福祉センター内の温泉施設から２４日、基準値を超えるレジオネラ属菌が検出されたと発表した。市は同日から施設の利用を中止。現時点で健康被害を訴える連絡は入っていない。 市福祉課によると、年１回実施する自主検査で１６日に貯湯槽排水口から採取した検体から、基準値の２４０倍のレジオネラ属菌が検出されたと、検査機関から２４日連絡があった。他に検体を採取した男女浴槽からは検出されなかった。 同施設は市内在住の６０歳以上が利用対象。営業再開日は未定。 南日本新聞 | 鹿児島,[],[]
諏訪之瀬島で噴火4回　大きな噴石が300ｍ飛ぶ　噴煙は1200ｍまで上がる（南日本新聞）,https://news.yahoo.co.jp/articles/9b67a79aeec1d4316a415d997b193f5eff237321,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000004-minami-000-1-view.jpg?exp=10800,2024-12-26T08:30:21+09:00,2024-12-26T08:30:21+09:00,南日本新聞,minami,南日本新聞,156,噴煙を上げる諏訪之瀬島の御岳（資料写真） 鹿児島県十島村・諏訪之瀬島の御岳で25日、噴煙量が中量以上の噴火が4回あった。福岡管区気象台によると、噴煙の高さは最大1200メートル。大きな噴石が火口から北東に300メートル飛んだ。噴火警戒レベルは２（火口周辺規制）。 【写真】九州の主な活火山 南日本新聞 | 鹿児島,[],[]
勤務先の女子トイレで出産後に殺害　容疑のインドネシア国籍の技能実習生「産んだ後の記憶はない」と否認　鹿児島中央署（南日本新聞）,https://news.yahoo.co.jp/articles/79cf656ffccb7d0d7cec369a749e4a48b6b1736d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000003-minami-000-2-view.jpg?exp=10800,2024-12-26T07:00:23+09:00,2024-12-26T11:28:41+09:00,南日本新聞,minami,南日本新聞,538,（写真：南日本新聞社） 勤務先のグループホーム＝鹿児島市＝で、出産したばかりの女児に暴行を加え殺害したとして、鹿児島中央署は２５日、殺人の疑いで、インドネシア国籍の技能実習生の女（１９）＝同市＝を逮捕した。「赤ちゃんを産んだことは間違いないが、その後の記憶はない」と容疑を否認している。 逮捕容疑は２０日午前１１時半ごろ、介護職員として勤務するグループホーム２階の女子トイレの個室で出産後、女児に何らかの暴行を加え殺害した疑い。 同署によると、同１１時半ごろ、トイレの個室で出血しうずくまっている女を同僚が発見し１１９番した。その後、建物そばの屋外のコンクリート上に倒れている女児が見つかった。母子ともに搬送され、同午後３時２０分ごろ、病院側が「インドネシア人の女性がグループホームで出産した後、運ばれてきた」と１１０番した。 女児は発見時、目立った外傷はなかった。搬送時は意識があったが、２２日に死亡した。２４日の司法解剖の結果、死因は頭部外傷による脳障害と多臓器不全と判明。女の退院を待ち、２５日逮捕した。女児が発見された具体的な場所については「捜査に支障がある」として明らかにしていない。 女は８月に技能実習生として来日。未婚で同居家族はいない。 南日本新聞 | 鹿児島,[],[]
お正月に食べる魚といえば…ブリでしょ！養殖ブリ生産日本一の町では出荷が最盛期　長島〈動画あり〉（南日本新聞）,https://news.yahoo.co.jp/articles/402ad3f8c98618120219c7a423612d4d36a4b141,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241226-00000002-minami-000-1-view.jpg?exp=10800,2024-12-26T06:30:21+09:00,2024-12-26T06:30:21+09:00,南日本新聞,minami,南日本新聞,393,ブリの出荷作業に追われる漁業者ら＝２５日、長島町の薄井漁港 養殖ブリ生産日本一の鹿児島県長島町の東町漁協で、正月用の出荷が最盛期を迎えている。同漁協本拠地の薄井漁港では２５日、約２万６０００匹が水揚げされ、関係者が加工や箱詰めなどの作業に追われた。 【写真】〈別カット〉ブリの出荷作業に追われる漁業者ら＝２５日、長島町の薄井漁港 年一番の繁忙期とあり、この時期は家族や隣近所、同業者らが助け合って作業するのが慣例。あちこちで丸々と育ったブリを手際良く計量し、ベルトコンベヤーで運ぶ様子が見られた。 同漁協によると、２年物の４キロ台が中心。今夏の猛暑や赤潮の影響で例年より小さめという。全国から注文があり、一本ものと加工を合わせ、１２月だけで約４０万匹の出荷を見込む。 山下伸吾組合長（６４）は「品質には自信がある。県内の皆さんにも、ぜひ味わってほしい」と話した。 南日本新聞 | 鹿児島,[],[]
