headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
鹿児島湾の赤潮被害額１億１５００万円　ブリ・ヒラマサなど４万匹以上死ぬ（MBC南日本放送）,https://news.yahoo.co.jp/articles/f5c9c4a225d0d17c56c3460d5430773fc360b478,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070170-mbcnewsv-000-4-thumb.jpg?exp=10800,2024-03-01T19:36:00+09:00,2024-03-01T19:39:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,296,\nMBC南日本放送\n鹿児島湾で赤潮被害です。県は、鹿児島湾の有害プランクトンによる赤潮の漁業被害額が、きょう１日までに１億１５００万円にのぼっていると明らかにしました。\n\n鹿児島湾では、有害プランクトン「ヘテロシグマアカシオ」による赤潮が発生し、県は先月１４日から赤潮警報を発表しています。\n\n県のまとめでは、１日正午までに確認された漁業被害は、養殖のブリ・ヒラマサなど合わせておよそ４万５０００匹、被害額はおよそ１億１５００万円にのぼっています。\n\n県は漁業関係者に対し、エサやりを止めたり、いけすに避難させたりなど、対応を呼びかけています。\nMBC南日本放送 | 鹿児島,[],[]
山形屋・紙製の手提げ袋、きょう１日から有料化「残念だけど仕方ない」「資源を有効利用」　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/88013e1100485def49bc9a0fdeaa6985bf537f64,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070174-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-01T19:26:00+09:00,2024-03-01T19:27:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,702,\nMBC南日本放送\nこちらは、３月から「有料化」となりました。山形屋の「紙製の手提げ袋」です。鹿児島ではおなじみのデザインですよね。\n有料化の初日、消費者はどう受け止めたのか？取材しました。\n\n鹿児島市の山形屋です。紙袋が有料化された１日、マイバックを持っている人が多く見られました。有料化となったのは、山形屋のロゴの入った「紙製の手提げ袋」で、白い袋は４種類とも１１円。２種類の茶色いクラフト袋は３３円、ワイン用の袋は５５円です。\n\n（マイバッグ持参）「だいたいエコバッグ。必ず（バッグに）入れている。贈り物の時は当然（紙製の手提げ袋）」\n\nＱ．その時に応じて使い分ける？\n「そうなると思います」\n\n（紙製手提げ袋を購入）「残念だけど仕方がない。どこも有料になっているから」「やっぱり山形屋はこの袋とあの白い袋でないと、山形屋で買い物したという気がしない」\n\n山形屋では環境保全の取り組みの一環として２０２０年にレジ袋を有料化したところ、かわりに無料の紙製の手提げ袋を使う客が増え、おととしの使用量は前の年より１１．４トンと大きく増えました。こうした中、環境保全の取り組みをさらに進めようと、有料化を決めたといいます。\n\n（山形屋広報担当 坂口博英部長）「マイバッグを持っている人が、きのうよりも増えている。廃棄物削減と資源の有効利用ということで今回、有料化した。お客さまに不便もしくは負担をかけるが、ご理解いただけたらと思う」\n\n紙袋の手提げ袋の有料化は、山形屋のほか、サテライトショップ、山形屋ストアなどグループの全店が対象です。\nMBC南日本放送 | 鹿児島,[],[]
「住宅が燃えている」焼け跡から１人の遺体、住人男性(６６)と連絡とれず　鹿児島・枕崎市（MBC南日本放送）,https://news.yahoo.co.jp/articles/d566c60a78906e09dc0919d547ecc540a949418e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070178-mbcnewsv-000-6-view.jpg?exp=10800,2024-03-01T21:16:00+09:00,2024-03-01T21:22:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,298,\n鹿児島県枕崎市で1日午後、住宅１棟が全焼し、焼け跡から１人が遺体で見つかりました。\n\n枕崎警察署によりますと、1日午後３時半すぎ、枕崎市高見町で「住宅が燃えている」と、近所の住民から消防に通報がありました。\n火はおよそ２時間半後に消し止められましたが、この火事で、前之園知さん（６６）の木造平屋の住宅１棟が全焼したほか、同じ敷地にある倉庫の一部が焼け、住宅の焼け跡からは１人が遺体で見つかりました。\n\n前之園さんは１人暮らしで、火事のあと、連絡がとれていないということです。\n\n警察は、遺体の身元の確認を進めるとともに、火事の原因を調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070178-mbcnewsv-000-6-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/d566c60a78906e09dc0919d547ecc540a949418e/images/000']
鹿児島市役所に“書かない窓口”　進学・転勤時期の混雑緩和なるか？「すごく楽になった」の声も（MBC南日本放送）,https://news.yahoo.co.jp/articles/810a5a651e84710539bea562c59ec8b3ccaf4bd0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070175-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-01T19:29:00+09:00,2024-03-01T19:30:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,597,\nMBC南日本放送\n役場で転入届や住民票の写しなどを発行する時に、これまでは紙の申請書に書いていた名前や住所。鹿児島市役所で１日から、こうした申請書の手書きをする手間を省いた「書かない窓口」がスタートしました。\n\n鹿児島市役所の市民課です。これまでは、転入届などの申請書を書くための記載台がありましたが、１日は撤去されています。\n\n１日から始まった「書かない窓口」。これまで時間がかかっていた申請書類の記入を省き、氏名や住所などを職員に口頭で伝えて、最後に署名をすれば手続きが完了します。\n\nこれから迎える進学や就職などの時期は、窓口が２～３時間待ちとなるケースもあった中、利用者が書類を書く手間を減らして混雑を緩和しようと１日、スタートしました。\n\n（鹿児島市役所市民課 塘正平課長）「デジタルを活用して、市民の待ち時間を減らす。書かないことで負担も減らすという取り組み」「例えば４人家族で、今まで６０分かかっていた手続きを４０分に。３分の２の程度の時間短縮を目標にしている」\n\n（利用者）\n「（始まったのは）知らなかった。きょうと言われて知った。すごい楽になった。簡単なのでびっくりした」\n\n鹿児島市によりますと県内では長島町・出水市に続き３番目だということで、鹿児島市役所では、本庁の市民課と谷山支所の市民課で対応しています。\nMBC南日本放送 | 鹿児島,[],[]
大谷翔平選手が結婚「幸せムードに乗ってホームランを」鹿児島からも祝福の声（MBC南日本放送）,https://news.yahoo.co.jp/articles/848b69f4d2a3a4e045321529a4017221e1e1bb14,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070177-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-01T19:33:00+09:00,2024-03-01T19:33:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,698,\nMBC南日本放送\n突然の発表に驚いた人も多かったのではないでしょうか。きのう２９日、結婚を発表したドジャースの大谷翔平選手。県内からも祝福や、これからの活躍に期待する声が聞かれました。\n\n大リーグ・ドジャースの大谷翔平選手。２９日、自身のＳＮＳで日本人女性との結婚を発表しました。日本時間のけさ、取材に応じた大谷選手は…。\n\n（ドジャース 大谷翔平選手）「全体的な雰囲気が合っている。一緒にいて楽しいし、ずっといるところを想像できた」\n\n大谷選手の結婚発表に、県内からも祝福の声が…。\n\n「僕は日ハムファンなので、めっちゃうれしかった。幸せムードにのっかってホームランをめちゃくちゃ打ってほしい」\n\n「いい人が見つかったんだなと思って見ていた／今まで以上に頑張ってください」\n\n「幸せになってほしい、ガンガン活躍して。元気で奥様を大事にして、ワンちゃんと一緒に。応援しているので活躍してほしい」\n\nこちらは、鹿児島市の山形屋で開催されている絵画展。大谷選手の直筆サインボールで作った作品が展示されています。会場に訪れた人も…。\n\n「びっくりしました。きのうもホームラン打ってくれたので期待しています」\n\n祝福の声は離島からも。今年１月、大谷選手からグローブが贈られた奄美市の大川小中学校です。いつも、昼休みの時間に贈られたグローブを使ってキャッチボールをして遊んでいるといいます。子どもたちからも驚きと喜びの声が。\n\n「びっくりした」\n\n「おめでとうという気持ちが強かった」\n\n「大谷選手おめでとうございます」\nMBC南日本放送 | 鹿児島,[],[]
ＪＡＣ　飛行機部品の不具合で３日・４日は離島便一部欠航　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/f42e371a9e19f9131bd7b83f9c7fbafd358c5c15,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070166-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-01T16:46:00+09:00,2024-03-01T16:46:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,516,\n日本エアコミューター（ＪＡＣ）で飛行機の部品に不具合が見つかり、鹿児島空港と離島を結ぶ一部の便が３日と４日に欠航することになりました。\n\n日本エアコミューターによりますと、きょう１日、飛行機の点検をしたところ、ＡＴＲ型機１機で部品の不具合が見つかりました。\n\n部品の交換作業のため、３日・日曜日と４日・月曜日は、鹿児島空港と離島を結ぶ一部の便が欠航します。欠航が決まっているのは、次の便です。\n\n３日・日曜日\n▼午前１１時５５分 鹿児島発種子島行き\n▼午後１時５分 種子島発鹿児島行き\n▼午後２時２０分 鹿児島発奄美大島行き\n▼午後４時５分 奄美大島発鹿児島行き\n\n４日・月曜日\n▼午前９時 鹿児島発奄美大島行き\n▼午前１０時４５分 奄美大島発鹿児島行き\n▼午後０時３５分 鹿児島発沖永良部行き\n▼午後２時半 沖永良部発鹿児島行き\n▼午後４時半 鹿児島発屋久島行き\n▼午後５時４５分 屋久島発鹿児島行き\n\n日本エアコミューターは、今後の整備作業の状況によって、期間が延びる可能性があるとして、ホームページなどで最新の状況を確認してほしいと呼びかけています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070166-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/f42e371a9e19f9131bd7b83f9c7fbafd358c5c15/images/000']
「ごみと一緒に扱うことも…」離島に念願のペット火葬場が完成　「ペットも家族と同じように」（MBC南日本放送）,https://news.yahoo.co.jp/articles/076e297875d0348c9e3666ec94219438d6b0104d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070172-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-01T19:21:00+09:00,2024-03-01T19:22:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1588,\nMBC南日本放送\n今や「家族の一員」とも言われるようになった犬や猫などのペット。県内でもペット専用の霊園や火葬場が増えつつありますが、離島にはこうした施設が無いところもあります。離島であっても、家族と同じようにペットを見送りたい。そんな願いを叶える取り組みが種子島で始まっています。\n\n草木が植えられ、ドッグランも併設されたこちらの施設。中種子町に去年９月にオープンしたペット用の火葬場です。\n\n（林洋司さん）「ペットを実際に飼っている人が、目の前でお骨を拾う時は、よほど大事にしてきたんだなと感じる」\n\nペット用の火葬場を作った、西之表市の林洋司さん（８１）。自身も２匹のネコを飼う「猫好き」です。\n\n鹿児島市で育った林さん。かつて父や祖父が暮らした種子島に１２年前に移り住み、島で墓や庭用の石材店を立ち上げました。\n\n（林洋司さん）「種子島に対する思い入れは、結構強くある。暮らしやすい、仕事しやすい。島に住み続けてきた理由の１つ」\n\n林さんがペット用の火葬場をつくろうと考えたきっかけ。それは、「種子島にもペットの火葬場がほしい」という、島のペット愛好家からの声でした。\n\n（林洋司さん）「ごみと一緒に焼却場に持っていき、一緒に焼却される。家族同様に過ごしてきた猫や犬が、そうなるのがいたたまれないという人が多い」「焼くだけの手伝いでもできれば」\n\nゴミ処理場入りまたはノイズ島内の家庭ごみなどが集まる種子島清掃センターです。ペットの死がいが持ち込まれるケースは、毎年２０件ほどあります。ペットのための火葬場がない離島では、ペットが死んだ際、自宅の庭にそのまま埋葬するか、一般ごみと同じように扱うしかありませんでした。\n\nこのため、清掃センターでは、飼い主の思いに少しでも応えようと、職員が自主的に、ペットの死がいを一般のごみと別に受け取り、手作りの祭壇でまつった後にごみの焼却炉に入れています。\n\n（種子島清掃センター 前田秀夫所長）「ちゃんとした箱に入れて、涙目で持ってくる人もいる。専用の施設がないから、持ってきたという話も聞くので、施設できて良かった」\n\n火葬場での見送り少しみせる種子島で野良ネコの保護活動をする吉岡裕美さん。ペットの火葬場を待ち望んでいた１人です。\n\n吉岡さんは、病気の犬・猫を保護するケースも多く、死んだ時の対応に悩んいました。\n\n（吉岡裕美さん）「本当に助かっている。林さんも動物が好きなので飼い主に寄り添ってくれる。すごく良い雰囲気で家族的な火葬」\n\nこの日、林さんのペット火葬場に、新たな依頼者が。愛犬の火葬を子どもたちと見守る中種子町の西田篤弥さんと妻・佳澄さん。西田さん一家が見送ったのは、雌犬のぴんちゃんです。\n\nぴんちゃんは、西田さん夫婦に３人の息子が生まれる前からともに暮らし、子どもたちの成長を見守るお姉ちゃんのような存在でしたが、がんなどの闘病の末、１４歳で旅立ちました。\n\n（西田篤弥さん）「幸せだったよ、がんばったね、来てくれてありがとう。息子たちより年上で見守ってくれていたのでお姉さんみたいな存在」\n\n（佳澄さん）「鹿児島に渡る人もいるが、ばたばたすることなくゆっくりお別れまで過ごせて、良い見送りができたなと思う」\n\n（長男・旺太朗くん）「ぴんちゃんの骨ってこんなに小さかったんだなと思った。今まで１１年間見守ってくれてありがとう」\n\n（林洋司さん）「ペットは家族だとみんな思っている。こういう施設が必要なのは間違なかった」\n\n同じ悩みを抱えるほかの離島にも今後、ペットの火葬場を作りたいという林さん。家族と同じようにペットを見送りたいと願う、離島住民の思いに応えるための取り組みは続きます。\nMBC南日本放送 | 鹿児島,[],[]
インフル・コロナ感染者ともに減少も警報レベル続く　鹿児島県内（MBC南日本放送）,https://news.yahoo.co.jp/articles/cc522711dd8249b8a1fdcfa5dc2faaf8899153fc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070167-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-03-01T19:15:00+09:00,2024-03-01T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,293,\nMBC南日本放送\n感染症情報です。県内ではインフルエンザ、新型コロナともに、感染者が減少しました。\n\nインフルエンザの先月２５日までの１週間の定点あたりの感染者は、前の週より５・８８人少ない１４．１５人で、２週連続で減少しました。ただ、県内１４の保健所のうち、▼警報レベルが鹿児島市、姶良、鹿屋、名瀬で▼注意報レベルが伊集院など４カ所で続いています。\n\nまた、新型コロナの定点あたりの感染者は、前の週より２．０８人少ない６．８０人で、３週連続で減りました。\n\n県は、引き続き手洗いや定期的な換気などの基本的な感染対策を呼びかけています。\nMBC南日本放送 | 鹿児島,[],[]
ＪＡＣプロペラ機に部品不具合　３日・４日は離島便一部欠航　日本エアコミューター（MBC南日本放送）,https://news.yahoo.co.jp/articles/f3d4133ba2fcc40fdfdaf71e420434d8feaf75d6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070169-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-03-01T19:18:00+09:00,2024-03-01T19:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,423,\nMBC南日本放送\n日本エアコミューターで飛行機の部品に不具合が見つかり、鹿児島空港と離島を結ぶ一部の便があさって３日と４日に欠航することになりました。\n\n日本エアコミューターによりますと、１日、飛行機の点検をしたところ、ＡＴＲ型のプロペラ機１機で、尾翼と機体をつなぐ部品の不具合が見つかりました。部品の交換作業のため、３日・日曜日と４日・月曜日は、鹿児島空港と離島を結ぶ一部の便が欠航します。\n\n３日に欠航するのは、鹿児島と種子島を結ぶ１往復、奄美大島を結ぶ１往復のあわせて４便です。\n\n４日は、鹿児島と、奄美大島、沖永良部、屋久島を結ぶそれぞれ１往復、あわせて６便が欠航します。\n\n欠航便には２日間であわせておよそ３００人が搭乗予定でした。日本エアコミューターは、今後の整備作業の状況によって、期間が延びる可能性があるとして、ホームページなどで最新の状況を確認してほしいと呼びかけています。\nMBC南日本放送 | 鹿児島,[],[]
高校で卒業式　鹿児島城西「応援される選手になりたい」日ハム指名・明瀬選手らも（MBC南日本放送）,https://news.yahoo.co.jp/articles/a9675f27afbbbfb1485798fd5eff980c974f9016,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070163-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-01T16:09:00+09:00,2024-03-01T16:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,429,\nMBC南日本放送\nきょう１日から３月です。県内の多くの高校で卒業式があり、あわせて１万人以上の生徒が新たな門出を迎えました。\n\n日置市の鹿児島城西高校では１日、４２２人が卒業の日を迎えました。卒業式では、各クラスの代表の生徒に、秋武達朗校長から卒業証書が手渡されました。\n\nまた、１日は、卒業を迎えた生徒のうち、プロ野球北海道日本ハムファイターズから４位指名を受けた明瀬諒介さんと、Ｊ２・藤枝ＭＹＦＣに入団した芹生海翔さんに、学校からスポーツ特別功労賞が贈られました。\n\n（明瀬諒介さん）「チームメイトがいたからここまで来られた。挨拶や礼儀を学校で学んだ。応援される選手になりたい」\n\nまた、去年、２０歳以下のアジア陸上競技選手権大会・男子８００メートルで金メダルに輝いた立迫大徳さんらには学園賞が贈られました。\n\n県などによりますと、この春、県内の高校では１万人以上の卒業生が学び舎をあとにします。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島市の学習塾昴で入社式　１１人が入社（MBC南日本放送）,https://news.yahoo.co.jp/articles/ae6e35dfe638025750861a33196abe49b39abdce,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240301-00070164-mbcnewsv-000-6-thumb.jpg?exp=10800,2024-03-01T16:07:00+09:00,2024-03-01T16:12:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,308,\nMBC南日本放送\n続いては、新年度を前にひと足早く、新たな一歩です。鹿児島市に本社がある学習塾で１日、入社式が開かれました。\n\n鹿児島をはじめ九州内に６０を超える学習塾を展開する昴では新入社員が中旬ごろから始まる春季講習で教壇に立つため、毎年、ひと足早く入社式を行っています。\n\n式では、新入社員１１人に西村秋社長から一人一人に辞令が交付されました。\n\n（新入社員）\n「たくさんの生徒に慕われるような先生になれるようがんばりたい」\n「日常の話もしながら生徒一人ひとりに寄り添えるよう」\n\n新入社員は、研修を受けたあと現場に配属され、春季講習の教壇に立ちます。\nMBC南日本放送 | 鹿児島,[],[]
