headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
職務質問で発覚…基準値超えの酒気で運転、しかも免許取り消し処分中　容疑で38歳の男を現行犯逮捕（南日本新聞）,https://news.yahoo.co.jp/articles/e8998380b4e21f1eb93921a8c114be344d366a3f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000016-minami-000-1-view.jpg?exp=10800,2024-12-12T23:25:25+09:00,2024-12-12T23:25:25+09:00,南日本新聞,minami,南日本新聞,164,（写真：南日本新聞社） 鹿児島西署は１２日、道交法違反（無免許、酒気帯び運転）の疑いで鹿児島市西俣町、自称大工の男（３８）を現行犯逮捕した。 逮捕容疑は同日午後６時５５分ごろ、近くの市道で基準値を超える酒気を帯び、軽トラックを運転した疑い。同署によると、免許取り消し処分を受けていた。職務質問で発覚した。 南日本新聞 | 鹿児島,[],[]
〈詳報〉分岐器近くで脱線痕確認　川内駅構内貨物列車脱線事故で運輸安全委員会、調査官2人を派遣　川内－隈之城間は再開めど立たず（南日本新聞）,https://news.yahoo.co.jp/articles/c6dbed9617978c2049ecdbb3c474d6a56e136136,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000015-minami-000-3-view.jpg?exp=10800,2024-12-12T23:25:22+09:00,2024-12-12T23:50:12+09:00,南日本新聞,minami,南日本新聞,842,脱線した列車を調べる関係者＝１２日、薩摩川内市の川内駅 １２日午前３時ごろ、薩摩川内市平佐町のＪＲ鹿児島線川内駅構内で、１２両編成の貨物列車が脱線した。けが人はいなかった。ＪＲ九州とＪＲ貨物は同日会見を開き、車輪と車軸からなる輪軸が線路の分岐器通過時に脱線した可能性があると明らかにした。運輸安全委員会は午後、調査官２人を派遣。発車直後の分岐器近くに脱線痕があることを確認した。 【写真】脱線した列車を撮影する運輸安全委員会の鉄道事故調査官＝１２日、薩摩川内市 事故の影響で、ＪＲ鹿児島線川内－隈之城間の上下線は始発から終日運転を見合わせた。ＪＲ九州によると、普通列車６５本が運休し、約７０００人に影響した。１３日も終日運休が決まり、再開の見通しは立っていない。肥薩おれんじ鉄道は１２日、上川内－川内間で一時運転を見合わせた。 ＪＲ九州とＪＲ貨物によると、列車は１２日午前０時１１分熊本操車場発、同３時４５分鹿児島着の予定で、コンテナには野菜や飲料水を積んでいた。川内駅に一時停止後、時速１５キロで走行。分岐器を通過し進路変更する際に運転士が横揺れを感じ、非常ブレーキをかけた。点検したところ、先頭の機関車１両と貨車２両が脱線していた。機関車は６軸全て、貨車は１両目が４軸全て、２両目は３軸が線路から外れていた。機関車は線路右側に脱線している。 調査官２人は、同日午後２時４０分に現地入り。車両の下をのぞき込んだり、写真や動画を撮ったりした。調査終了後、取材に応じた高橋正樹鉄道事故調査官は「車両がレールの上に乗っており危険な状態で、予定していた調査ができていない。車両を移動させて詳しく調べる」と話した。 ＪＲ九州は同日、鹿児島中央－川内間で九州新幹線による振替輸送を実施。１３日以降も続ける。バスなどの代替輸送はしない予定。ＪＲ貨物は熊本－鹿児島間をトラックで輸送する。 事故を受け、薩摩川内市は市役所内に「ＪＲ貨物列車脱線事故連絡調整会議」を立ち上げた。 南日本新聞 | 鹿児島,[],[]
将棋「竜王戦」、藤井竜王が防衛し4連覇　七冠を維持し年内のタイトル戦終える　さて2人の「今日の昼食」は（南日本新聞）,https://news.yahoo.co.jp/articles/bee968ea5fc97cdd27f44f5c0f8d656275e31cb3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000014-minami-000-2-view.jpg?exp=10800,2024-12-12T22:05:28+09:00,2024-12-12T22:17:50+09:00,南日本新聞,minami,南日本新聞,632,感想戦で対局を振り返る藤井竜王＝１２日午後４時２０分、指宿市の指宿白水館 将棋の藤井聡太竜王（２２）＝名人・王位・王座・棋王・王将・棋聖との七冠＝に佐々木勇気八段（３０）が挑んだ第３７期竜王戦７番勝負の第６局は１２日、鹿児島県指宿市の指宿白水館で再開し、藤井竜王が勝った。対戦成績４勝２敗で防衛し、４連覇を果たした。七冠を維持して年内のタイトル戦を終えた。 【写真】感想戦で対局を振り返る藤井竜王＝１２日午後４時半、指宿市の指宿白水館 同日の対局は藤井竜王が終始優勢を保ち、中盤で粘りを見せる佐々木八段を下した。終局後藤井竜王は「苦しい場面もあったが、最後は余裕を持って指せた」と話した。佐々木八段は「少ないチャンスを生かせなかった」と振り返った。 主催者によると、同日の昼食は藤井竜王が「海鮮丼定食」、佐々木八段は昨日と同じ「海鮮丼定食」と「すし」を選んだ。同館では大盤解説会が開かれ、ファン約１５０人が熱戦の行方に注目していた。 藤井竜王は６月に叡王を失い全八冠から七冠に後退したが、その後の棋聖戦、王位戦、王座戦に続いての防衛となった。通算タイトル獲得数は歴代６位の２６期となり、来年１月１２日に開幕する王将戦７番勝負を防衛すれば、５位の谷川浩司１７世名人（６２）が持つ２７期に並ぶ。 竜王戦７番勝負は藤井竜王が先勝後、２、４局で敗れ、第５局まで全て先手番が勝利。タイトル初挑戦の佐々木八段の序盤作戦に苦められたが、深い読みで退けた。 南日本新聞 | 鹿児島,[],[]
コスモラインのフェリー「プリンセスわかさ」、屋久島寄港に向け事業計画変更の申請手続き　フェリー屋久島2の長期欠航見据える（南日本新聞）,https://news.yahoo.co.jp/articles/effc1b5c864d2d2b7b1cad6e67105bc4ad3ebb90,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000013-minami-000-2-view.jpg?exp=10800,2024-12-12T21:05:22+09:00,2024-12-12T23:43:00+09:00,南日本新聞,minami,南日本新聞,532,〈資料写真〉プリンセスわかさ＝コスモラインＨＰから 鹿児島県本土と屋久島を直通で結ぶ「フェリー屋久島２」の長期欠航を見据え、コスモライン（鹿児島市）のフェリー「プリンセスわかさ」が屋久島寄港へ向け、事業計画変更の申請手続きを進めていることが１２日、関係者への取材で分かった。来年１月中旬をめどに運航したい考えという。 【関連】フェリー屋久島2 エンジン関連トラブルで欠航 交換部品調達できず再開未定 物資は別会社が輸送 コスモラインは、屋久島２を運航する折田汽船（同市）と同じ市丸グループ。同グループによると、わかさは現在、鹿児島－種子島を週６便で結び、屋久島寄港はわかさの運休日にあたる日曜日で調整中。船員の人繰りも進める。 わかさはかつて、種子島経由で県本土と屋久島を結んでいた。申請先となる九州運輸局によると、定期便の実績がある航路に再び参入する場合、新規航路への参入と比べて、審査期間は短くなる傾向にある。 屋久島２は１０月４日の定期点検で、エンジン機器のトラブルが見つかり、同５日から欠航を続ける。再開時期は未定。同業他社による臨時運航があるものの、島内では冬場の特産品出荷を控え、生産者らからは物流の滞りを懸念する声が出ている。 南日本新聞 | 鹿児島,[],[]
住家全焼、焼け跡から1人の遺体　住人女性と連絡取れず　日置市伊集院町（南日本新聞）,https://news.yahoo.co.jp/articles/5554a85518be29d2a256dd3cf1a00cd54d04962a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000012-minami-000-1-view.jpg?exp=10800,2024-12-12T20:25:21+09:00,2024-12-12T20:25:21+09:00,南日本新聞,minami,南日本新聞,156,（写真：南日本新聞社） １１日午後８時２５分ごろ、日置市伊集院町麦生田、無職の女性（８５）方から出火、木造平屋住家１棟約７２平方メートルを全焼、焼け跡から１人の遺体が見つかった。女性と連絡が取れておらず、日置署は身元を確認している。 同署によると、女性は１人暮らし。通行人が１１９番した。 南日本新聞 | 鹿児島,[],[]
経営していたマッサージ店で40代女性へ施術中に乱暴…容疑で逮捕の男は否認　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/57e029302b82f1d85d60025c4f67912110027e00,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000011-minami-000-1-view.jpg?exp=10800,2024-12-12T20:05:21+09:00,2024-12-12T20:05:21+09:00,南日本新聞,minami,南日本新聞,204,（写真：南日本新聞社） 鹿児島県警は１２日、不同意性交の疑いで、鹿児島市光山２丁目、無職の男（６５）を逮捕した。 逮捕容疑は１０月初旬、当時経営していた県内のアロママッサージ店で、客として訪れた県内の４０代女性に施術中に乱暴した疑い。県警によると、容疑を否認している。女性が１１月中旬に被害を届け出た。 男は１０月３１日と１１月２１日、別の女性への不同意わいせつ容疑で逮捕されている。 南日本新聞 | 鹿児島,[],[]
市バス12路線の安定運行黄信号…委託先の民間事業者「27年度以降の再契約は困難」　民間もひっ迫、運転手不足深刻化避けられず（南日本新聞）,https://news.yahoo.co.jp/articles/43236a59836b68dce369c54110e8a93de69bf72c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000010-minami-000-2-view.jpg?exp=10800,2024-12-12T18:00:22+09:00,2024-12-12T23:44:01+09:00,南日本新聞,minami,南日本新聞,661,（資料写真）南国交通の路線バス＝鹿児島市小野町 鹿児島市議会は１１日、本会議を開き、５議員が個人質問した。市交通局は、民間に委託している１２路線について、事業者が「２０２７年度以降の再契約は困難」との意向を示したと明らかにした。契約が更新できない場合、運転手不足が深刻化する恐れがある。枝元昌一郎局長は「路線バスを安定的に運行するため、今後も協議する」と答弁した。 【写真】鹿児島市営バス 同局は１２年度、経営改善を理由に南国交通へ路線委託を開始した。５年ごとの契約で現在３期目。今期は２６年度までとなる。全２５路線のうち現在、１２路線（同局との共同運行２路線を含む）、運転手４１人分に当たる３２勤務を委託している。 しかし２４年４月、同局はダイヤ維持のため委託していた３路線を戻した。同社で予定外の退職者が続き、運転手確保が見込めないため。今回再契約が不成立になれば、現行の業務量で試算した場合、同局では２７年度、６０人程度（２６年度末の同局の退職者を含む）の運転手が不足する見込み。 同社からは、来年度も追加で受託分の業務量を同局に返還したいとの要望が出ているという。 本会議ではほか、イオン鹿児島鴨池店（当時）の立て替え計画についても質疑があった。市は２１年１０月、イオングループから、同店と、隣接する鴨池ビル（鴨池２丁目）を含む土地活用の相談があったと説明。ただビル入居者の合意が不透明だとして、関係者による２４年３月の意見交換会で、同社から自社敷地のみで計画を検討するとの方針が示された。 南日本新聞 | 鹿児島,[],[]
地球の生命誕生と進化に影響か?!　太陽系は生きるに過酷な銀河系中心部から気の遠くなる時を超え約1万光年の旅　鹿児島大研究グループが移動メカニズムを解明（南日本新聞）,https://news.yahoo.co.jp/articles/3ba5beb291ec522a11ab5eb48e9279f897362342,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000009-minami-000-1-view.jpg?exp=10800,2024-12-12T15:30:21+09:00,2024-12-12T15:30:21+09:00,南日本新聞,minami,南日本新聞,668,太陽系の移動メカニズムのイメージ図（国立天文台、岩下慎吾作成） 鹿児島大・天の川銀河研究センターの馬場淳一特任准教授（４４）＝銀河天文学＝らの研究グループは、太陽系が銀河系中心部から４６億年かけて現在地まで、約１万光年移動したメカニズムを解明したと発表した。移動による環境変化が、地球上の生命誕生と進化に大きく影響した可能性を指摘。地球外生命の存在可能性に迫る道筋となることが期待されるという。１１月下旬、米学術誌に掲載された。 【写真】馬場淳一氏 太陽系は、銀河系の中心から約２万７０００光年の位置を周回しているが、誕生時は、現在より中心部に近い約１万７０００光年で形成されたと推測されている。ただ、どのように移動したかは分かっていなかった。 馬場特任准教授らは今回、数値シミュレーションにより、銀河系中心部で恒星が棒状に集まる範囲が拡大したことと、恒星やガスが渦巻き状に集まる渦状腕（かじょうわん）構造が消滅と形成を繰り返した影響で、太陽系が１万光年ほど外側へ押し出されたことを確認。現在地に到達できた確率は約１％のまれな現象だと分かった。 銀河系の中心部は超新星爆発などが頻発して放射線リスクが高く、生命が存在するには危険な領域。比較的安全な位置へ移動したことで、生命に適した環境が形成されたと考えられる。 馬場特任准教授は「太陽系の形成や地球上での生命誕生を解明するには、銀河系との関係性を考えることが重要だ」と指摘。今回の研究が、太陽系以外の惑星系形成や生命誕生を探るための指針にもなると意義を語った。 南日本新聞 | 鹿児島,[],[]
【速報】〈川内駅構内貨物列車脱線〉肥薩おれんじ鉄道が運行再開、JR川内－隈之城間は終日見合わせ（南日本新聞）,https://news.yahoo.co.jp/articles/193caac1b58df32378c02f37761c15f0a47410b6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000008-minami-000-1-view.jpg?exp=10800,2024-12-12T12:05:27+09:00,2024-12-12T12:05:27+09:00,南日本新聞,minami,南日本新聞,162,（写真：南日本新聞社） 鹿児島県薩摩川内市のＪＲ川内駅構内で１２日未明に発生した貨物列車の脱線事故の影響で、上川内－川内間の運転を見合わせていた肥薩おれんじ鉄道は、午前１１時３分に再開した。 一方でＪＲ九州は、鹿児島線の川内－隈之城間の運転を終日見合わせる。鹿児島中央方面からの便は隈之城で折り返す。 南日本新聞 | 鹿児島,[],[]
【速報】霧島連山・新燃岳、噴火警戒レベル2（火口周辺規制）に引き上げ　一部登山道が通行禁止に（南日本新聞）,https://news.yahoo.co.jp/articles/2ed716e173b6e8c02c89e9f98ac418073965afff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000007-minami-000-1-view.jpg?exp=10800,2024-12-12T12:05:24+09:00,2024-12-12T12:05:24+09:00,南日本新聞,minami,南日本新聞,271,（写真：南日本新聞社） 鹿児島地方気象台は１２日、鹿児島、宮崎両県にまたがる霧島連山・新燃岳の噴火警戒レベルを１（活火山であることに留意）から２（火口周辺規制）に引き上げた。火口からおおむね２キロの範囲で大きな噴石の飛散、１キロの範囲で火砕流への警戒を呼び掛けている。 気象台によると、火口直下を震源とする火山性地震が増えており、１１月ごろから、マグマや熱水の蓄積による地下膨張のわずかな兆候が確認されているため。 鹿児島県などは、登山道の中岳探勝路終点～中岳中腹、大幡山～獅子戸岳、獅子戸岳～韓国岳を通行禁止とした。 南日本新聞 | 鹿児島,[],[]
目の肥えたプロが選ぶ日本のホテル・旅館100選　県勢は69位に城山ホテル鹿児島、14位にいぶすき秀水園　トップ6位のホテルでは竜王戦第6局の熱戦中（南日本新聞）,https://news.yahoo.co.jp/articles/04d184e42a6002e18fd92778e121561361d1ebab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241212-00000006-minami-000-2-view.jpg?exp=10800,2024-12-12T11:30:23+09:00,2024-12-12T15:12:28+09:00,南日本新聞,minami,南日本新聞,336,城山ホテル鹿児島の「展望露天温泉 さつま乃湯」（同ホテル提供） 旅行新聞新社（東京）は１１日、プロが選ぶ日本のホテル・旅館１００選を発表した。鹿児島県内では指宿市の指宿白水館が６位（前年７位）、同市のいぶすき秀水園が１４位（同１０位）、鹿児島市の城山ホテル鹿児島が６９位（同７５位）に入った。 【写真】〈関連〉花束を手に笑顔を見せる藤井聡太竜王（右）と挑戦者の佐々木勇気八段＝１０日、指宿市の薩摩伝承館 １１位以下は順位がつかない「観光・食事・土産物施設１００選」に霧島市の黒酢の郷・桷志田、鹿児島市の仙巌園、南九州市のお茶のはまだ、「優良観光バス３０選」に南九州市の南薩観光が選ばれた。 調査は旅行会社の本社や支店などに投票を募り回答を集計した。 南日本新聞 | 鹿児島,[],[]
