headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
空港にある塔の上の巨大な丸い“アレ”１５年ぶりの更新　役割は何？　カメラが捉えたアレの中（MBC南日本放送）,https://news.yahoo.co.jp/articles/6f363829f99d1791a7f71f344b2e45eaac18a970,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070068-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-02-23T19:15:00+09:00,2024-02-23T19:17:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1995,\nMBC南日本放送\nこちら、鹿児島空港にある巨大な白い球体、見たことありますよね。\nこの物体、気象に関するものなんですが、１５年ぶりに新しくなりました。私たちの普段の暮らしにも関わりのあるこちらの丸い物体。その役割や更新作業の現場を取材しました。\n\n鹿児島空港にある塔の上の丸くて白い物体。巨大なサッカーボール？ゴルフボール？にも見える球体を一度は目にしたことがあるのではないでしょうか？\n\n高さ４０メートルに設置された直径１１メートルの球体。その正体は「空港気象ドップラーレーダー」雨と風を観測する装置です。\n\nこのレーダーを管理する福岡航空地方気象台の池亀孝光さんが装置の仕組みを教えてくれました。\n\n（福岡航空地方気象台 池亀孝光・主任技術専門官）「パラボラアンテナから電波を発射して、雨粒に反射したものを捉えて解析するシステム」\n\n白い球体はアンテナを保護するカバー「レーダードーム」と呼ばれます。そのなかにあるアンテナで雨の降っている範囲や風の流れを観測しています。\n\n（福岡航空地方気象台 池亀孝光・主任技術専門官）「ドップラーレーダーというのはドップラー効果による。救急車が通る前は甲高い音だが通り過ぎると低い音に変化」\n\n音を出す物体が移動することで聞こえる音が変化する「ドップラー効果」。ドップラーレーダーはこの効果を利用して雨が近づいてくるのか遠ざかっているのかを観測するレーダーです。\n\n\n通常の気象レーダーは雨の範囲などを測るだけですが、ドップラーレーダーは雨が近づくのか遠ざかるのかを調べることで、雨だけでなく「風の動き」も観測できます。そのドップラーレーダーがなぜ、空港にあるのでしょうか？\n\n背景にあるのが、今からおよそ５０年前にアメリカで起こった旅客機事故です。激しい雷雨のなか着陸態勢をとっていた飛行機が風で滑走路に叩きつけられ、犠牲者が１００人を超えました。\n\n原因は、発達した積乱雲から吹く激しい下向きの突風、「ダウンバースト」\n\n「空港気象ドップラーレーダー」は飛行機事故の原因となる「ダウンバースト」などを見つけ、より安全なフライトに活用するもので、日本では成田空港や羽田空港など主要な空港９か所に設置されています。\n\n（福岡航空地方気象台 池亀孝光・主任技術専門官）「データを航空機や管制官の方に情報を伝える。運航に役に立っている、安全のために」\n\n空港のドップラーレーダーの役割は飛行機の安全を守るだけではありません。\n\n（福岡航空地方気象台 池亀孝光・主任技術専門官）「データは天気予報の数値予報に取り込まれ、役に立っている」\n\n日々の天気予報にも観測したデータが使われ、予報精度の向上につながっています。この鹿児島空港のドップラーレーダーが、今月新しくなりました。\n\n作業が始まったのは飛行機の離着陸が終わった午後１０時。およそ１５年ぶりの更新です。\n\n（福岡航空地方気象台 池亀孝光・主任技術専門官）「（アンテナは）２４時間ずっと回る、１５年も使うと電気が入っているので経年劣化する」\n\n天高く伸びたクレーンから吊り下げられたロープを作業員たちが大きな球体、レーダードームに掛けていきます。そして・・・\n\nドームの中からパラボラアンテナの一部が見えました。\n\n風を観測する装置ですが、更新作業の難敵は「風」。巨大なドームが風にあおられ振れたり回転したりすると、作業員に危険を及ぼすおそれがあります。\n\n緊張感のある作業は続き・・・\n\n無事、１５年ぶりに新しくなりました。そして今回は特別に工事途中のレーダーのなかに入らせてもらえることに。\n\n（記者）「サッカーボールのなかに入っている。こんなに大きい」\n\nドームの直径は１１メートル、大型バスの長さほどあります。\n\n（福岡航空地方気象台 池亀孝光・主任技術専門官）「（Ｑ．レーダーに入るのは貴重？）観測中は回って強い電波を発射しているので、入れない」\n\nなかには組み立て途中のパラボラアンテナがありました。空港ドップラーレーダーのアンテナは７メートル。気象庁が使っている気象レーダーの倍近くあります。\n\n飛行機の離着陸に大きな影響を及ぼす風を細かく観測するためにより大きなアンテナを使っています。更新されたレーダーではさらに精度が向上します。\n\n（福岡航空地方気象台 池亀孝光・主任技術専門官）「今まで捉え切れきれなかった現象も捉えられるように、データの品質が向上する。航空機の運航に安全なものでありたい」\n\n飛行機の安全を守るため風を観測するドップラーレーダー。私たちが空港で目にする丸い物体はこの先１５年間、休まず働き続けます。\nMBC南日本放送 | 鹿児島,[],[]
薩摩おいどんカップ開幕　開幕戦は慶應大ｖｓＪＲ東日本　来月１０日まで熱戦続く　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/df3f5d6ab758d3cf1b15215e32cf74e76bc6d2d1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070070-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-23T19:21:00+09:00,2024-02-23T19:21:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,635,\nMBC南日本放送\n今年で２回目となる、プロ・アマの垣根を超えた野球の交流戦、「薩摩おいどんカップ」が、２３日、開幕。大学・社会人の伝統ある２チームが対戦しました。\n\n（記者）「小雨の中開幕した薩摩おいどんカップ。これからおよそ２週間、県内各地で熱戦が繰り広げられます」\n\n「薩摩おいどんカップ」は、大学から社会人、プロまでがカテゴリーを越えて戦う大規模な交流戦で、初開催となった去年は２万人以上が集まり、経済効果はおよそ６億３０００万円に上りました。\n\n今年は前回を上回る４３チームが参加。県内６つの会場で試合が行われます。\n\n姶良市で行われたオープニングゲームでは、大学日本一の慶應義塾と、社会人の強豪・ＪＲ東日本が対戦。\n\n試合は１回ウラ、ＪＲ東日本の先頭・海崎が３ベースで出塁すると、４番の山内。ＪＲ東日本が先制します。\n\nその後同点に追いつかれますが、３回ウラ、再びチャンスで山内が勝ち越しのタイムリー。勢いに乗ると５回には。\n\n３番・倉石が豪快な一発。その後も得点をあげたＪＲ東日本が、粘る慶應を押し切り５対２で勝利。社会人の力強さを見せつけました。\n\n（観客）\n「気になったところ、凄いなと思ったところをメモしている」\n\n「北九州市から来た。日帰りだが、また来たい」\n\n薩摩おいどんカップは、県内６球場で来月１０日まで行われ、入場は無料です。\n\n※海崎さんの崎は「たつさき」\nMBC南日本放送 | 鹿児島,[],[]
「それは戦争で燃やせない」ウクライナ女性（27）おばあちゃん、お母さんから受け継いだ伝統…ウクライナ料理と刺繍で前へ（MBC南日本放送）,https://news.yahoo.co.jp/articles/a2b8619f4d7e74fec0fa6d02e02103b965ca1cf6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070069-mbcnewsv-000-4-thumb.jpg?exp=10800,2024-02-23T19:18:00+09:00,2024-02-23T19:22:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,2027,\nMBC南日本放送\nロシアによるウクライナへの軍事侵攻が始まってから、あす２４日で２年です。国連によりますと、ウクライナではこれまでに、５００人以上の子どもを含む少なくとも１万人以上の民間人が亡くなりました。戦争が長期化する中、県内に住むウクライナ人女性が、祖国の文化を発信する拠点づくりを進めています。\n\n（郡山虹夏さん）「こんなに長くなると思わなかった。終わりはあるのか」\n\n鹿児島市に住む郡山虹夏さん（２７）です。ウクライナ東部のドニプロ出身で、７年前に日本に来ました。現在、鹿児島出身の夫と、２歳の息子・祥緒くんの３人で暮らしています。\n\n\nロシアによるウクライナへの侵攻が始まっておよそ２週間後の２０２２年３月には、ドニプロから５０歳の母親と１５歳の妹が日本に避難し、鹿児島市内で生活をしています。県内では、現在、虹夏さんの家族を含め２０人が避難生活を送っています。\n\n（郡山虹夏さん）「すごいうれしいと思う、いっぱい遊んでくれる」\n\nふるさとが戦場となって丸２年…。避難してきた母親と妹は鹿児島での生活にも慣れつつありますがウクライナに残る親戚や友人が心残りだといいます。\n\n多くの人が、将来を思い描くことができない暮らしを送っています。\n\n（郡山虹夏さん）「（現地に暮らす人は）未来を考えられない。明日なにが起こるか分からないので。きょうをとりあえず生きる、いつミサイルが飛んでくるかわからないから。この先の人生の予定は考えられない」\n\nこれまで母国について知ってほしいと講演や料理教室などを開いてきましたが、侵攻から２年が経ち、次第にウクライナへの周囲の関心が薄れていると感じています。\n\n（郡山虹夏さん）「前は毎日ウクライナのニュースを見たが、今はすごいことが起きてもニュースにならない。知らない人は、最近ニュース見ないから、終わったのかなと思っている。少しでも覚えていて、忘れないでほしい」\n\n少しでもウクライナに思いを寄せてほしい。ウクライナの文化を伝えようと、鹿児島市内の自宅の一部を改装し、郷土料理や雑貨を扱う店を作る計画を進めています。\n\n（郡山虹夏さん）「床としっくいは自分でやった。初心者だけど頑張った。ウクライナカラーにした」\n\n販売する雑貨は、ウクライナの家庭で作られる毛糸のお守り「モタンカ人形」や、「ペトリキウカ塗り」といわれる伝統的な手法で描いた絵画、刺繍などです。\n\n（郡山虹夏さん）「昔は女性は刺繍をして作っていた。お守りみたいな感じ」\n\n店で出す料理は、ウクライナ発祥のスープ「ボルシチ」などを予定しています。\n\n（郡山虹夏さん）「チーズから作るから難しいが、食べる人も愛情を感じると思う」\n\nオープンに向け、この日はウクライナで長く愛されるチーズケーキを試作しました。\n\n（郡山虹夏さん）「元々のレシピだとレーズンを入れるが、自分はドライフルーツを入れるとカラフルになるので、きょうはミックスしてみた」\n\n故郷の味を、自分なりにアレンジを加え再現します。\n\n（郡山虹夏さん）「料理はひいおばあちゃんからおばあちゃん、お母さんから虹夏に受け継がれる。それは（戦争で）燃やせない、一番残る歴史」\n\nこの日訪れたのは鹿児島市の古着店。友人で、店のオーナーの畠田絵美さんに、会計の仕方など店の運営に関する相談にのってもらっています。\n\n（ディスコテックヴィンテージ 畠田絵美さん）「ＰａｙＰａｙは使う方が多いから、あったら良いのかな」\n\n（郡山虹夏さん）「１人で悩むと解決しないから一緒に考える人がいれば解決する」\n\nこの日は、チーズケーキを試食してもらうことに。\n\n「甘さ控えめでおいしい」\n\n（ディスコテックヴィンテージ 畠田絵美さん）「ウクライナ文化に触れたことがなかったので、みんなが笑って過ごせる世の中に、少しでも早くなってくれたら。応援したいし、一緒に頑張れたら良いな」\n\n祖国に５年ほど帰れていない虹夏さんには、ウクライナに平穏が戻ったら叶えたい願いがあります。\n\nそれは、戦争が始まったころに生まれ、まだ一度もウクライナを訪れたことがない息子・祥緒くんに、ふるさとを見せることです。\n\n（郡山虹夏さん）「思い出の場所は全部消えてしまっていると思う。でもいつか見せたい、自分が過ごしていたところを。うれしい思い出もあるので」\n\n夢が叶うその日まで。祖国への思いを胸に、遠く離れた鹿児島からウクライナ文化を伝えます。\n\n（郡山虹夏さん）「文化が消えれば人種も消える。ウクライナの文化を広めたい。少しずつ絶対変わっていくと信じている」\n\n虹夏さんのお店は、今年春のオープンを目指していて、売り上げの一部はウクライナの人々へ寄付する予定です。\nMBC南日本放送 | 鹿児島,[],[]
県内死亡事故相次ぐ　和泊町と霧島市で車にはねられ高齢者２人死亡　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/c510ec00da3f60e7774496cbbbe90cd080e0b485,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070071-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-02-23T19:24:00+09:00,2024-02-23T19:26:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,435,\nMBC南日本放送\n県内では交通死亡事故が相次いでいて和泊町と霧島市であわせて２人が亡くなりました。\n\n沖永良部警察署によりますと２２日午後７時すぎ、和泊町和泊の県道を歩いて渡っていた近くに住む田中マスエさん（８３）が、軽乗用車にはねられました。田中さんは頭などを強く打ちおよそ２時間半後に死亡しました。\n\n警察は軽乗用車を運転していた知名町の３０代の会社員の男性から話を聞くなどして事故の原因を調べています。\n\nまた、２２日午後１０時半ごろ、霧島市隼人町真孝の国道１０号で、近くに住む無職岡元和男さん（７２）が軽乗用車にはねられました。岡元さんは頭などを強く打ち、およそ４時間半後に死亡しました。\n\n事故当時、雨が降っていたということで、警察は車を運転していた姶良市の４０代の男性に話を聞くなどして、当時の状況を調べています。\n\n\n※警察は当初、岡元さんの年齢を７０歳と発表していましたが７２歳に訂正しました。\nMBC南日本放送 | 鹿児島,[],[]
入浴時リスクがスマホに　ＬＩＮＥ配信サービス開始　鹿児島大学大学院（MBC南日本放送）,https://news.yahoo.co.jp/articles/9eaede2ea29eafe49d2f57ec9abd65d6e577f00d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070027-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-23T19:04:00+09:00,2024-02-23T19:04:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,475,\nMBC南日本放送\n浴室内突然死、いわゆる入浴死を防ごうと去年から運用が始まった「入浴時警戒情報」をＬＩＮＥで知らせるサービスが始まりました。\n\n入浴時警戒情報は鹿児島大学大学院・法医学分野とＭＢＣが共同で去年１１月から発表していて、入浴時のリスクを予想気温をもとに危険、警戒、注意の３段階で予報します。\n\n入浴死のリスクは冬場が高いことがわかっていて、県内では年間およそ１９０人が亡くなっています。これは交通事故死のおよそ２．５倍です。\n\n入浴時警戒情報はＭＢＣテレビやラジオで紹介していますが、鹿児島大学大学院は今月１２日から、入浴時警戒情報をＬＩＮＥで毎日配信するサービスを始めました。\n\n住んでるエリアなどを登録することで、その人に該当する入浴時警戒情報が毎日スマートフォンに届く仕組みです。また、どのような対応をとったかアンケートに回答する機能も付いています。\n\n開発した鹿児島大学大学院の林敬人教授は、「アンケート結果を生かして今後、入浴時警戒情報の改善につなげたい」としています。\nMBC南日本放送 | 鹿児島,[],[]
桜島やふるさとの風景描く　ＭＢＣ桜島美術展　大賞など３人の表彰式（MBC南日本放送）,https://news.yahoo.co.jp/articles/d190344453c2a644e47d8f1f2eb93924a7968fd9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070066-mbcnewsv-000-2-view.jpg?exp=10800,2024-02-23T14:49:00+09:00,2024-02-23T14:50:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,402,\n鹿児島市で開催中のＭＢＣ桜島美術展の、大賞作品などの表彰式がありました。\n\n鹿児島市立美術館で開かれているＭＢＣ桜島美術展は、桜島やふるさとの風景などをテーマにした展覧会です。今年は、洋画・日本画・工芸の３部門の入選作品など２５２点が展示されています。２３日は大賞などに選ばれた作品の表彰式が開かれました。\n\n「桜島部門」の大賞は鹿屋市の日高直子さんの洋画「大隅半島からの桜島」です。\n\n「ふるさとの風景・花部門」の大賞は鹿児島市の鹿野内美智代さんの日本画「休養」です。\n\n本坊酒造の焼酎「桜島」のラベルになる桜島アートラベル賞には霧島市の平野良光さんの洋画「桜島－麑藩名勝考－」が選ばれました。\n\nＭＢＣ桜島美術展はあさって２５日まで、鹿児島市立美術館で開かれます。入場料は３００円で、中学生以下は無料です。\n\n※日高さんの高は「はしごだか」\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070066-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/d190344453c2a644e47d8f1f2eb93924a7968fd9/images/000']
霧島市隼人町の国道１０号で軽乗用車が道路にいた男性をはねる事故　はねられた男性は死亡　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/6b6fa9aa53df47356477844099b870917538cf2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070062-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-23T09:46:00+09:00,2024-02-23T09:46:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,346,\n２２日夜、霧島市隼人町で軽乗用車が道路にいた男性をはねました。\nはねられた男性はその後死亡しました。\n\n霧島警察署によりますと、２２日午後１０時半ごろ、霧島市隼人町真孝の国道１０号で、姶良市加治木方向にむかっていた軽乗用車が道路にいた男性をはねました。\n\n男性は軽乗用車の左前方にぶつかって、頭などを強く打ち、病院に搬送されましたが、およそ４時間半後に死亡しました。現場は片側１車線の見通しの良い直線道路で、事故現場からおよそ５０メートル先に横断歩道があるということです。\n\n死亡した男性は身元が特定できておらず、警察は男性の身元の特定を急ぐとともに、軽乗用車を運転していた姶良市の無職の４０歳男性に話を聞くなどして当時の状況を調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070062-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/6b6fa9aa53df47356477844099b870917538cf2c/images/000']
霧島市の国道で車にはねられ死亡　現場近くに住む７０歳男性と判明　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/a55205f807f2be25c8b4b6a8928bc5b84416a7ee,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070065-mbcnewsv-000-2-view.jpg?exp=10800,2024-02-23T14:15:00+09:00,2024-02-23T14:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,246,\n霧島市の国道で、２２日夜、軽乗用車に男性がはねられ死亡した事故で、警察は、亡くなったのは近くに住む７０歳と判明したと発表しました。\n\n２２日午後１０時半ごろ、霧島市隼人町真孝の国道１０号で、男性が軽乗用車にはねられ死亡しました。警察で男性の身元の特定を進めていましたが、亡くなったのは、現場近くに住む無職・岡元和男さん（７０）と判明しました。\n\n警察で引き続き軽乗用車を運転していた姶良市の４０代の男性に話を聞くなどして、当時の状況を調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070065-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/a55205f807f2be25c8b4b6a8928bc5b84416a7ee/images/000']
桜島で３０チーム対戦　小学生のドッジボール大会「大好きだから最後の１秒まで全力で」（MBC南日本放送）,https://news.yahoo.co.jp/articles/4b8d8eb5cad0adf2b2e0c3ff6caf7d50fc293eb7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070063-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-23T11:59:00+09:00,2024-02-23T11:59:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,361,\nMBC南日本放送\n桜島で小学生のドッジ―ボール大会が開かれました。\n\n（ＫｕｓｈｉｋｉｎｏＷＰ’ｓ 上新彩夏キャプテン）\n「最後の最後の１秒まで全力でプレーすることを誓います。絶対に諦めない！私たちはドッジボールが大好きだから」\n\n桜島の南栄リース桜島アリーナで開かれた大会は、全国大会の予選を兼ねた「Ｄ－１」の部の１１チームを含む合わせて３０チーム、およそ５５０人が参加しました。\n\n開会式のあと早速試合が行われ、熱戦が繰り広げられました。\n\n（出場した選手）\n「良い調子だった。みんなで勝ってハイタッチしたり喜んだりするところが楽しい」\n\nＤ－１の部は鹿児島市の「ＨＩＲＯＫＩＳＰＩＲＩＴＳ」が優勝しました。来月３１日に福岡で開かれる全国大会に出場します。\nMBC南日本放送 | 鹿児島,[],[]
県内死亡事故相次ぐ　和泊町と霧島市で車にはねられ２人死亡　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/aaba0ef57e8525405367584b18e01d4f93d9f9be,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070064-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-23T12:00:00+09:00,2024-02-23T12:01:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,460,\nMBC南日本放送\n県内では２２日夜、交通事故が相次ぎ、和泊町と霧島市であわせて２人が死亡しました。\n\n沖永良部警察署によりますと、２２日午後７時すぎ、和泊町和泊の県道を歩いて渡っていた近くの、田中マスエさん（８３）が、軽乗用車にはねられました。\n\n田中さんは頭などを強く打ち病院に運ばれましたが、およそ２時間半後に死亡しました。\n\n現場は片側１車線の直線道路で、警察は軽乗用車を運転していた知名町の３０代の会社員の男性から話を聞くなどして、事故の原因を調べています。\n\nまた、２２日午後１０時半ごろ、霧島市隼人町真孝の国道１０号で、男性が軽乗用車にはねられました。\n\n男性は頭などを強く打ち、病院に搬送されましたが、およそ４時間半後に死亡しました。\n\n現場は片側１車線の直線道路で、発生当時、雨が降っていたということです。\n\n警察が男性の身元の特定を進めるとともに、軽乗用車を運転していた姶良市の４０代の男性に話を聞くなどして、当時の状況を調べています。\nMBC南日本放送 | 鹿児島,[],[]
道路を横断中の８３歳女性が軽乗用車にはねられ死亡　鹿児島県和泊町（MBC南日本放送）,https://news.yahoo.co.jp/articles/21df86260e352a0b7f0194342d8fd9371e8565b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070061-mbcnewsv-000-3-view.jpg?exp=10800,2024-02-23T00:12:00+09:00,2024-02-23T00:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,282,\n和泊町で２２日夜、県道を歩いて渡っていた８３歳の女性が、軽乗用車にはねられ死亡しました。\n\n沖永良部警察署によりますと、２２日午後７時過ぎ、和泊町和泊の県道を歩いて渡っていた近くの田中マスエさん（８３）が、走ってきた軽乗用車にはねられました。田中さんは病院に運ばれましたがおよそ２時間半後に死亡しました。\n\n現場は片側１車線の直線道路で、田中さんが横断した場所に横断歩道はなかったということです。\n\n警察は、軽乗用車を運転していた知名町瀬利覚の３４歳の会社員の男性に当時の状況を聞くなどして事故の原因を調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240223-00070061-mbcnewsv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/21df86260e352a0b7f0194342d8fd9371e8565b7/images/000']
