headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【ランニング桜島】「一生分の運を使ったかも…」レース後の抽選会で旅行券を当てる人も！ 記録更新、完走、それぞれの目標に向け3100人が溶岩路を駆け抜けた（南日本新聞）,https://news.yahoo.co.jp/articles/4bb6425c1b6b6c0c814a8239d7be541976d85620,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000012-minami-000-2-view.jpg?exp=10800,2024-12-01T21:30:21+09:00,2024-12-01T22:36:51+09:00,南日本新聞,minami,南日本新聞,904,一斉にスタートするハーフマラソンの参加者＝１日、鹿児島市桜島横山町 第４４回ランニング桜島（鹿児島市、南日本新聞社など主催、ＮＴＴ西日本特別協賛）は１日、鹿児島市の桜島溶岩ランニングコースであった。ハーフマラソンと１０キロ走に計約３１００人が出場。記録更新や完走などそれぞれの目標に向かって、小春日和の溶岩路を力強く駆け抜けた。 【写真】旅行券を引き当てた橋口大耶さん（右）＝１日、鹿児島市桜島横山町 初出場の会社員、山下裕美子さん（５３）＝鹿児島市和田２丁目＝は、ランニングサークルの約３０人と出場。目標の１０キロ１時間切りを達成し「心強い仲間がいたので走り切れた。タイムもクリアできてうれしい」と満面の笑みだった。 ◇ ゴール地点では、地元住民が特産・桜島小みかんのジュースを振る舞った。走り終えたランナーたちは一気に飲み干し、「おいしい」とうなった。 近くのさくらじま旬彩館で製造した小みかんジュースを桜洲校区コミュニティ協議会のメンバーが紙コップに注いで手渡した。鹿屋市串良の自営業有留周作さん（４０）は「疲れが吹き飛ぶ」。鹿児島市城西１丁目の保育士浦村かよさん（４８）は「体にしみ渡る甘さ。スタッフの笑顔にも癒やされた」と話した。 桜島フェリーで営業する「味の長老やぶ金」のミニうどんコーナーには長い列ができた。仕出し弁当製造・明和食品（同市）のオリジナル弁当も参加者に配られ、ランナーたちが堪能していた。 ■人生初レースで旅行券当てる レース終了後に抽選会があり、鹿屋市札元１丁目の病院職員橋口大耶さん（２８）が３０万円分の旅行券（ＮＴＴ西日本提供）を引き当てた。「まさか当たるとは。一生分の運を使ったかも」と喜んだ。 橋口さんは体力づくりのため５月からランニングを始めた。現在は近くのグラウンドで週２回計８キロを走っている。初心者が参加しやすい１０キロの部があり、自宅から会場が近い「ランニング桜島」を人生初レースに選んだ。 表彰式でＮＴＴ西日本の瓜生昌史鹿児島支店長（４８）から目録を受け取り、「大きな景品が当たるのは初めて。使い道はじっくり考えたい」と笑顔を見せた。 南日本新聞 | 鹿児島,[],[]
「能登の被災地が安心して年末年始を…」鹿児島のフードバンク大隅と志布志市の郵便局長有志がタッグ　物資や義援金受け付け　今月20日まで（南日本新聞）,https://news.yahoo.co.jp/articles/8e885ab74c49e9301f4629fa7c583e8295f74d8d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000011-minami-000-2-view.jpg?exp=10800,2024-12-01T21:00:21+09:00,2024-12-01T21:05:47+09:00,南日本新聞,minami,南日本新聞,437,能登半島地震被災地に送る物資を準備するフードバンク大隅と郵便局長＝志布志市志布志町安楽 フードバンク大隅（田浦天志〔たかし〕代表）と志布志市の郵便局長有志は能登半島地震の被災地に支援物資を届ける。１２月２０日まで物資や義援金を受け付ける。 【写真】能登半島地震被災地に送る物資を準備するフードバンク大隅と郵便局長＝２５日、志布志市志布志町安楽 １月の地震と９月の記録的豪雨の被災地を応援しようと企画。フードバンク能登（石川県穴水町）から要望があったペットボトル茶、レトルト食品、ウェットティッシュ、トイレットペーパーなど日用品を送る。 １１月２５日は初の物資の仕分けがあり、田浦代表は「被災地は復旧に追われ、買い物する余裕がない人も多いと聞く。年末年始を安心して迎えるため力になれれば」と話した。 送料はフードバンク大隅が全額負担する。持ち込み場所や品目・数量など詳細は同フードバンクの交流サイト（ＳＮＳ）を参照。丼や和華＝０９９（４７２）２６０７。 南日本新聞 | 鹿児島,[],[]
霧島連山の1年しめくくる紅葉 今年は寂しく…異常気象にもめげず足元に咲く花々可憐【スライドショーあり】（南日本新聞）,https://news.yahoo.co.jp/articles/bc597d5778b38518dffc77b8011d5316767f8ea4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000010-minami-000-1-view.jpg?exp=10800,2024-12-01T18:00:21+09:00,2024-12-01T18:00:21+09:00,南日本新聞,minami,南日本新聞,563,霧島連山の秋を彩る紅葉＝１１月６日、大浪池火口縁 鹿児島、宮崎にまたがる霧島連山の１年を締めくくるのは、山々を赤や黄色に彩る紅葉だ。名所として知られる大浪池に登った。平地は２５度以上の夏日が続く１１月６日。コミネカエデ、ドウダンツツジ、ミズナラが一部色づいているが、まだまだ緑が多い。 【写真】秋のリンドウ。春に比べ青紫色が濃く、花弁が大きい＝１０月１７日、大浪池火口縁 ２週間後の２０日に再挑戦した。今度は既に落葉した木が目立った。えびのエコミュージアムセンターによると、猛暑や台風が影響したようだ。例年のように湖岸を染める景色は見られなかったという。 異常気象の１年だった。連山でも秋の訪れが遅れた。それでも大浪池や韓国岳ではリンドウをはじめ、ツクシアザミやアキノキリンソウなどが足元で咲いていた。さまざまな場所でススキの穂が風に揺れていた。秋は確実に深まっていた。 雪と樹氷に覆われた冬、マンサクやキリシマミズキなどの黄色い花が競演する春、ノカイドウやミヤマキリシマの初夏、白い花々が深緑に映える夏。国立公園指定９０年の節目に、霧島連山の四季をカメラで追った。守られてきた自然の美しさと尊さを知った。木々の葉が落ちると、連山は長い冬を迎える。 （企画連載「『霧島の四季』国立公園指定90年」から） 南日本新聞 | 鹿児島,[],[]
国道447号 崩土のため全面通行止め　出水市上大川内鮎川から伊佐市大口白木の間（南日本新聞）,https://news.yahoo.co.jp/articles/92f6f62eb67680e8211f3113db3d9bdabbcfa7db,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000009-minami-000-3-view.jpg?exp=10800,2024-12-01T17:15:22+09:00,2024-12-01T20:53:53+09:00,南日本新聞,minami,南日本新聞,229,全面通行止めを案内する看板＝１日、出水市上大川内の国道４４７号 鹿児島県北薩地域振興局によると、出水市上大川内の国道４４７号で崩土があり、同市上大川内鮎川と伊佐市大口白木の間で全面通行止めとなっている。迂回路はある。 車道沿いに流れる川に向かって、路肩が幅約１０メートル、高さ約１５メートルに渡って崩れた。電柱１本が倒れ、電線が道路をふさいでいる。 １１月３０日午後１１時半ごろ、通行人が見つけ通報した。復旧は１２月２日以降の見込み。 南日本新聞 | 鹿児島,[],[]
日ごろ人影まばらな地元の駅は人が集まる「居場所」になるか…高専生が考えるとこんなのできた!　県産木材活用し社会実験スタート（南日本新聞）,https://news.yahoo.co.jp/articles/899cb74971964d2c5380dede3ac3a830417f0757,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000008-minami-000-1-view.jpg?exp=10800,2024-12-01T15:30:21+09:00,2024-12-01T15:30:21+09:00,南日本新聞,minami,南日本新聞,660,西都城駅１階コンコースに木製列車を完成させた都城高専の学生と県建築士会都城支部員ら＝都城市松元町 普段は人影まばらな宮崎県都城市のＪＲ日豊線西都城駅の１階コンコースに人が集う「居場所」をつくろうと、都城工業高等専門学校建築学科の学生が２３日、宮崎県産スギ材を使った木製列車を製作した。「列車図書館にっしー号」と命名され、社会実験として来年３月末まで設置され、アンケート調査で集客効果を確かめる。 【写真】宮崎県産スギ材で木製列車を組み立てる都城高専の学生ら＝都城市松元町 ＪＲ九州宮崎支社から同駅の管理を任されているゆずり葉大通り会と市地域プロジェクトマネジャーの池田浩二さん（４７）による駅活性化策の一環。木材産業の若手経営者で構成する都城地区木材青壮年会や県建築士会都城支部が、資金面で協力した。 木製列車は３両編成で全長７メートル、高さ２．２メートル、幅１．８メートル。建築学科５年生が、家族連れや学生を主な利用者に想定して考案した。車輪が付いており、それぞれ分離、移動させることが可能。運転席を模した１両目は記念撮影を楽しめ、２両目は屋台などに転用可能。３両目は後日取り付けるテーブルにより勉強や読書ができる。 ２３日は学生１０人に、県建築士会都城支部員５人が助太刀し、スギ材を加工して組み立てた。 デザインを考案した５年、津曲風花さんは「木のぬくもりが感じられる出来に仕上がって満足している」。鈴木花恵さんは「古ぼけて寂しかった駅コンコースの雰囲気が少しでも明るくなればいい」と話した。 南日本新聞 | 鹿児島,[],[]
【速報】B2鹿児島レブナイズ　ホーム戦連勝　山形に89－76（南日本新聞）,https://news.yahoo.co.jp/articles/1645d82daa9fe9b9a66f76a1e41fac35f2a851e9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000007-minami-000-1-view.jpg?exp=10800,2024-12-01T15:15:25+09:00,2024-12-01T15:15:25+09:00,南日本新聞,minami,南日本新聞,162,前半、相手陣内にボールを運ぶレブナイズの飴谷＝Ｆアリーナいちき串木野 バスケットボールＢリーグ２部（Ｂ２）西地区の鹿児島レブナイズは１日、Ｆアリーナいちき串木野（いちき串木野市総合体育館）で東地区の山形に８９－７６で勝利した。今季成績は１２勝７敗。 レブナイズの次節は７、８日、敵地で青森と対戦する。 南日本新聞 | 鹿児島,[],[]
天竺鼠・川原克己さんのアートな世界にほれ込んだファンが、「聖地」となったその生まれ故郷へも恩返し　ふるさと納税にとどまらず、集めたグッズや絵本も寄贈（南日本新聞）,https://news.yahoo.co.jp/articles/90598482b337016ce177e48cd5540be4be1d341b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000006-minami-000-1-view.jpg?exp=10800,2024-12-01T11:30:22+09:00,2024-12-01T11:30:22+09:00,南日本新聞,minami,南日本新聞,744,天竺鼠・川原克己さん（右）のグッズを大崎町に寄贈する武井理恵さん（左）＝町中央運動公園 鹿児島県大崎町出身の人気お笑いコンビ・天竺鼠（てんじくねずみ）の川原克己さんを地元で知ってほしいと、神奈川県茅ケ崎市の縫製業、武井理恵さん（３９）が町に自ら収集したグッズを贈った。川原さんがデザインした服やアート作品で部屋があふれるほどの大ファンで、「魅力的な作品や人柄が広がれば」と話す。２３日、同町で開かれた「ふれあいフェスタ」で来場者に配られた。 【写真】大崎町ふるさとＰＲ大使に委嘱された天竺鼠の川原克己さん＝町中央運動公園 ファンになったきっかけはお笑い番組「あらびき団」。活躍がお笑いにとどまらず、アート作品やブランド「ＰＯＴＥＮＨＩＴ（ポテンヒット）」を見て世界観にほれ込み、全国で開かれる個展やサイン会にほぼ全て足を運んでいる。 武井さんは鹿児島にゆかりはないが、町のふるさと納税で川原さんの絵画を手に入れ、“聖地”巡礼のため４回来町。今回、「収集するだけでなく多くの人に知ってほしい。大崎への恩返しにもなれば」と町や関係者に相談、川原さんの許可を得て寄贈が決まった。 グッズは缶バッジやシール、サイン入りスケッチブックなど約１００点。袋は川原さんの絵入りの布で手作りした。川原さんがフェスタで紹介すると、配布はあっという間に終了。武井さんが寄贈した川原さんの絵本も町図書館に置く予定。 武井さんは「川原さんの作品や言葉には考えさせられたり、生きづらさから救われたりするものが多い。特に子どもたちの自由で軟らかい感性で楽しんでもらえれば」と話した。 同日、町は川原さんに町ふるさとＰＲ大使を再委嘱。大抽選会の司会も務め、約１万２０００人が訪れた会場を沸かせた。 南日本新聞 | 鹿児島,[],[]
慌てた様子の男性が「ATMで送金したい」…郵便局員のアンテナが「もしやこれは」と警戒アラート　窓口でうそ電話詐欺防ぐ（南日本新聞）,https://news.yahoo.co.jp/articles/c23672807a693c48c456998461fe2b4715e1ba98,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000005-minami-000-2-view.jpg?exp=10800,2024-12-01T11:00:23+09:00,2024-12-01T20:51:45+09:00,南日本新聞,minami,南日本新聞,281,感謝状を受け取った田中郁美さん（中央）＝薩摩川内警察署 薩摩川内警察署は、うそ電話詐欺を窓口で防いだとして、鹿児島県薩摩川内市の川内郵便局の田中郁美さん（４９）に感謝状を贈った。 同署と田中さんによると、９月下旬に訪れた男性が慌てた様子で「裁判関係の費用をＡＴＭで送金したい」といった内容を話したため、窓口で対応した田中さんが上司に相談。詐欺の可能性が高いと判断して警察などに相談するように勧め、被害を防いだ。 同署で２０日、久保正弘署長から感謝状を受けた田中さんは「今後もお客さまの大切な財産を守れるようにアンテナを張りたい」と話した。 南日本新聞 | 鹿児島,[],[]
諏訪之瀬島で、噴火1回　噴煙は1200ｍまで上がる（南日本新聞）,https://news.yahoo.co.jp/articles/274d4af617cc2a8e2a7916792c7be30bc73360d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000004-minami-000-2-view.jpg?exp=10800,2024-12-01T08:30:22+09:00,2024-12-01T23:25:03+09:00,南日本新聞,minami,南日本新聞,145,噴煙を上げる諏訪之瀬島の御岳（資料写真） 鹿児島県十島村・諏訪之瀬島の御岳で30日、午後11時までに噴煙量が中量以上の噴火が1回あった。福岡管区気象台によると、噴煙の高さは最大1200メートル。大きな噴石の飛散は確認されていない。噴火警戒レベルは２（火口周辺規制）。 南日本新聞 | 鹿児島,[],[]
事前の運賃確定は大きな壁　「事務員の負担が増えれば意味がない」と事業者訴える　11月に鹿児島県でも始まった日本版ライドシェアに「制度複雑」「実態と乖離」の声（南日本新聞）,https://news.yahoo.co.jp/articles/8726fa544ee0f200013eb67efd879f881e286069,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000003-minami-000-2-view.jpg?exp=10800,2024-12-01T07:00:24+09:00,2024-12-01T11:10:43+09:00,南日本新聞,minami,南日本新聞,1479,日本版ライドシェアの運用を開始した下小薗タクシーの車両＝１１月２３日、伊佐市 住民や観光客の移動手段が乏しい「交通空白」解消を目的に、４月導入された日本版ライドシェアの運用が鹿児島県内でも１１月から始まった。地方の細る公共交通を補う切り札となる可能性がある一方、県内では様子見の動きが根強い。国は参入要件を緩和して普及を促すが、運用を担うタクシー事業者からは「制度が複雑」「地方の実態と乖離〔かいり〕している」と声が漏れる。 【関連】本業のスキマ時間に収入増…これは魅力！ 日本版ライドシェア県内初運用、市長も期待「市民の足になれば」 伊佐市 「配車アプリでキャッシュレス決済が前提だったのに、準備を進めるほど必要性が分からなくなった」。８月下旬、県内で初めてライドシェア参入の許可を得た「まいにち交通」（鹿屋市）の宮田正広所長（６０）は困惑する。 同市ではタクシー台数がピーク時の１０分の１程度まで減った。宮田所長は「住民の日常生活に支障を来す」といち早く手を挙げ、国の指針に沿ってアプリ導入の検討を始めた。 準備中の９月、電話での配車や現金支払いでの参入が可能となった。アプリをタクシーともひも付けようと考えたが、配車回数が増えると手数料も増す。「検討項目が多く負担も大きい。運用開始は見通せない」と宮田所長は声を落とす。 ◆ 日本版ライドシェアは４月、国指定の１２区域から始まった。いずれも大都市で、アプリ配車が進んでいた。国は全都道府県で展開したい考えだが、運行曜日や時間帯といった規制も足かせとなり広がりを欠いた。 ９月になり地方部に限り柔軟な運用を認め、電話配車や現金決済も可能とすると、全国で参入意向が相次いだ。県内でも１１月末で１６、うち９事業者に許可が下りた。一部は導入していた配車アプリを活用するものの、大半は電話配車や現金決済での運用を模索する。 ただライドシェア特有の「事前の運賃確定」が障壁となっている。電話配車では、地図アプリなどで距離を確定した上で、距離制運賃に時間料の代わりとなる営業区域ごとの係数を掛けて料金を算出、事前に客側へ示さなければならない。「事務員の負担が増えれば意味がない」。事業者は異口同音に訴える。 ◆ 電話配車や現金払いで１１月２３日に県内初の運用を始めた下小薗タクシー（伊佐市）の下小薗充社長（６８）は「まだまだ課題は多い」と漏らす。そもそも地方は人口減少で担い手がいない。登録ドライバーは自身と事務員２人を含む４人。新規は１人にとどまる。 料金面でも懸念は残る。都市部と違い地方は信号機や渋滞は少ない。それでも係数を掛ける時間料が発生するため、メーター計測のタクシーよりライドシェアが割高になるケースが考えられる。下小薗社長は「地方の事情に沿う運用にできないか」と改善を訴える。 国も運賃多様化やタクシー事業者以外の参入などを検討する。九州運輸局の担当者は「始まって間もない制度で事業者や業界からの課題点や要望は本庁とも共有している。より良い制度にしていきたい」と話した。 ■日本版ライドシェア 旅客運送に必要な２種免許を持たない一般ドライバーが、自家用車でタクシー営業できる制度。タクシー事業者が実施主体となり、ドライバー募集や安全管理、事故対応などを担う。地方部では現在、原則として金と土曜の午後４時台から翌日午前５時台に区域内のタクシー台数の５％を上限に運行できる。国土交通省によると、運行できる曜日や時間帯、供給車両の上限台数などは事業者からの申し出があれば拡充できる。 南日本新聞 | 鹿児島,[],[]
独自の電子地域通貨「つんPay」に利用者「便利」、お店「手間が省ける」　好評の一方で登録者数は…　高齢者向け教室、ポイント付与などで増加狙う　薩摩川内（南日本新聞）,https://news.yahoo.co.jp/articles/1451fc1ad7aca53e3d0434fbaaa7cf68c482de85,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241201-00000002-minami-000-2-view.jpg?exp=10800,2024-12-01T06:30:21+09:00,2024-12-01T11:12:19+09:00,南日本新聞,minami,南日本新聞,1108,運用開始から１年が過ぎた薩摩川内市の地域電子通貨「つんＰａｙ」＝同市西向田町 鹿児島県薩摩川内市が独自の電子地域通貨「つんＰａｙ」を導入してから、９月で１年が過ぎた。市から支給されるポイントをスマートフォンを使って買い物などに利用できるサービスに、利用者からは便利だと評価する声が聞かれる。一方で、登録者数は目標に届いておらず、どう普及させるかが課題となっている。 【写真】スマホ教室でつんＰａｙの使い方を習う参加者（手前）ら＝薩摩川内市の斧渕地区コミュニティセンター １１月上旬、高齢者らが熱心にスマホに向き合っていた。薩摩川内市東郷で開かれた、つんＰａｙの使い方教室。参加者は１時間ほどかけてアプリのインストールや支払い方法などを習うと、１０００円分のつんＰａｙポイントが贈られた。参加者からは「つんＰａｙは知らなかったが、丁寧に教えてもらえて助かった。早速、近所の店で使いたい」との声が聞かれた。 ■□■ つんＰａｙは、薩摩川内観光物産キャラクターの「西郷つん」をモチーフにしたアプリ。導入に伴い、市は商品券などを配布する際に紙か電子ポイントかを選べるようにした。消費者の利便性向上や事業者の事務負担の軽減が狙い。ポイントを支払いに使える加盟店の多くが市内にあるため、地域内でお金が回るというメリットもある。 電子化が好評なサービスの一つが、出産した世帯への応援券だ。以前は対象の市民が市役所窓口で申請し、紙で受け取っていた。つんＰａｙなら２４時間いつでもスマホで手続きし、ポイントで受け取れる。利用した同市平佐町の会社員平野亜利沙さん（２６）は「産後は動くのが大変なため、非常に助かった」と話す。 歓迎の声は店側からも聞かれる。利用者が店舗に置いてあるＱＲコードを読み取って支払うため、商品券の数え間違いや紛失などのリスクが低減できる。同市西向田町の衣料品店「ＴＭ．セカンド」の宮内加代子さん（４１）は「事務作業の手間が省けて人的なミスも減らせそう」と期待する。 ■□■ 利用者から好評な声が聞かれる一方で、アプリの普及が課題だ。１２日時点の登録者数は１７３０人。市が２４年度に目指す５０００人の３５％程度にとどまる。加盟店は２００店余り。 認知度を高めようと市が４月に始めたのが「ＳＤＧｓポイント」だ。先のスマホ教室参加のほか自治会の新規加入、市のアンケート回答などの活動にポイントを付与している。市スマートデジタル戦略室の福山勝広室長（５３）は「高齢者が対象となるメニューは限られている。高齢者が参加する既存の事業につんＰａｙを活用するなどして利用者を増やしていきたい」と話した。 南日本新聞 | 鹿児島,[],[]
