headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「すべての退路を断って挑みたい」知事選立候補に向け米丸県議が議員辞職願　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/3a502bd05175ab61248abea276e5622a83d77d36,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070454-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-19T19:58:00+09:00,2024-03-19T19:58:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,782,\nMBC南日本放送\n今年夏の鹿児島県知事選挙への立候補の意向を示している自民党県議の米丸麻希子さんが、１９日、県議会議長へ辞職願を提出しました。「すべての退路を断って挑みたい」と、自民党へ離党願も提出しました。\n\n（米丸麻希子県議）「辞職願を出しました。（Ｑ．議長からは？）健康に気を付けてと、温かいお言葉をいただいた」\n\n自民党県議の米丸麻希子さん（４８）は、この夏の県知事選挙へ無所属で立候補する意向を示していて、１９日朝、県議会議長に辞職願を提出しました。\n\n県知事選には、現職の塩田康一さん（５８）も立候補を表明していますが、米丸さんは、スポーツ・コンベンションセンターの必要性はあるものの、整備費が膨らむことや景観などの観点から、ドルフィンポート跡地での建設反対を訴えるとしています。\n\n自民党は、県知事選挙ではすでに現職の塩田さんを推薦することを決めているため、午後、米丸さんは自民党県連へ離党願を提出しました。\n\n（米丸麻希子県議）「すべての退路を断って挑みたい。病院に連れていけないような家庭もある。それよりも体育館建設を急がなければいけないことなのかは疑問が残る」\n\n米丸さんの辞職は今月２２日の県議会本会議で認められる見込みで、２８日に正式に出馬を表明します。\n\n一方、１９日の県議会予算特別委員会では、スポーツ・コンベンションセンターの整備費を含む新年度予算案の採決が行われました。\n\n（公明党・松田浩孝議員）「膨らんだ施設整備費をどのように準備するのか。十分な検討のもとに、県民への説明責任を果たしてほしい」\n\n膨らんだ整備費に注文も出ましたが、結局、賛成多数で原案通り可決されました。\n\n新年度予算案およそ８４０５億円は、今月２２日の本会議で成立する見通しです。\nMBC南日本放送 | 鹿児島,[],[]
桜島大規模噴火警戒範囲「全島」から「７キロ」へ拡大　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/373250390ad13e4dd32114e8fce8b3d41217010d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070450-mbcnewsv-000-2-view.jpg?exp=10800,2024-03-19T19:45:00+09:00,2024-03-19T19:46:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,626,\n桜島で噴火警戒レベルが４以上に引き上げられた場合の警戒範囲が、これまでの「桜島全島」から拡大され、垂水市の一部を含むことになりました。\n\nこれは、１９日に開かれた鹿児島市の防災会議で報告されました。\n\n桜島の噴火警戒レベルは現在、３の「入山規制」です。大正噴火のような大規模な噴火が発生、もしくはおそれがあるとして４の「高齢者等避難」や最高の５の「避難」に引き上げられた場合、立ち入りを制限する目安となる警戒範囲を、これまでの「全島」から「南岳山頂火口と昭和火口から７キロ」に拡大し、垂水市の一部を含むことになりました。\n\n噴火警戒レベルが「４」や「５」に引き上げられた場合、垂水市の国道２２０号では「道の駅たるみず」と荒崎パーキングで通行規制が行われます。\n\n警戒範囲の変更は、すでに火山防災協議会で決定しており、近く気象台が運用開始日を発表する予定です。\n\nまた会議では、能登半島地震の被災地に派遣された保健師の話が報告され、避難所では特に女性に配慮して運営するよう意見が出ました。\n\n（県看護協会・今村恵専務理事）「仕切りがない中で中学生、高校生の女子生徒が、同じ地域の男性と雑魚寝で寝ている状況。相談して、更衣するスペースの仕切りをつけさせてもらったと聞いている」\n\n鹿児島市は今後、能登半島地震を踏まえて災害対応の指針が国から示された場合は、地域防災計画に反映するとしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070450-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/373250390ad13e4dd32114e8fce8b3d41217010d/images/000']
外国人材の地域定着のカギは地域交流　人手不足の課題に官民一体で取り組み　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/b87472a4246057e8a45d8db80e24f03fe4bbd802,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070449-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-19T19:43:00+09:00,2024-03-19T19:43:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,770,\nMBC南日本放送\n人手不足が課題となる中、新たな担い手として期待される外国人労働者。鹿児島県内では外国人労働者が年々増え、去年、１万人を超えた一方、定着が課題となっています。\n\nいちき串木野市で１９日に開かれたのは、外国人労働者の受け入れについて取り組みを紹介する報告会です。\n\n県内の外国人労働者の数は年々増加し、去年は１０月時点で１万２０００人余りと、初めて１万人を突破しました。ベトナム人がおよそ４割を占めています。\n\n（みその 町田達美主任）「外国人労働者も日本人スタッフも安心して働ける、メリットがあると考えてこの事業を始めた」\n\n取り組みを報告した企業の１つ、いちき串木野市でラーメン店などを展開する「みその」です。正社員１５人のうち４人が外国人です。\n\nおととし、独自の奨学金制度をつくり、近くの日本語学校で日本語を学びながら働く外国人をサポートをしてきたことを報告しました。しかし、その一方で…。\n\n（インドネシア出身・来日２年目 イタ・ムスティカサリさん）「外国人は日本人ともっと仲良くしたいけど、言葉がわからなくて」\n\nこの不安を払しょくするきっかけになったのが、地域住民との交流だったといいます。\n\nいちき串木野市では、外国人労働者と地域住民が一緒になって、クリスマスのイルミネーションの設置やごみの回収活動などを行い、地域と交流することで定着を図っています。\n\n（イタ・ムスティカサリさん）「インドネシアでの経験を話したり、日本で何かあったら相談したり、いちき串木野市のみなさんが優しくてもっと仲良くしたい。参加して良かった」\n\n人材不足が課題となっている今、外国人労働者の定着をはかるには、「地域との交流」がカギのひとつと言えそうです。\nMBC南日本放送 | 鹿児島,[],[]
「どれも妥協せず全力で」鹿児島出身ミス日本「海の日」で航空宇宙の研究者目指す東大生が　塩田知事を表敬訪問（MBC南日本放送）,https://news.yahoo.co.jp/articles/315daa1454870a26b4dea31db3a2036de02e1c2f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070451-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-19T19:52:00+09:00,2024-03-19T19:53:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,516,\nMBC南日本放送\n海のイベントや安全啓発のシンボル、ミス日本「海の日」。今年は鹿児島市出身で、東京大学に通う理系の大学生が選ばれました。１９日、鹿児島県庁を表敬訪問し、将来の夢も語りました。\n\n県庁を訪れたのは、１月のミス日本コンテストで２０００人の応募の中からミス日本「海の日」に輝いた、東京大学工学部２年の有馬佳奈さん（２２）です。\n\n有馬さんは鹿児島市出身で、中学生まで一時期を南さつま市で過ごし、普段から海が身近だったといいます。１９日は、塩田知事に受賞と今後の活動を報告しました。\n\n（有馬佳奈さん）「どれも妥協せず、全部全力でやりたい。ミス日本『海の日』として、自分だからこそできることは何かを考えながら海の日をＰＲしたい」\n\n有馬さんは、大学でロケットや飛行機について学んでいて、将来の夢は宇宙や航空関係の研究者です。\n\n（有馬佳奈さん）「船の構造を応用したものが飛行機なので、つながりはすごく深いと思う。逆に飛行機について学んだことを、何か船にいかせないかということも考えていきたい」\n\n有馬さんは今後、海の日のイベントや安全啓発のＰＲなどで活動します。\nMBC南日本放送 | 鹿児島,[],[]
「自分の金がなく…」紛失した部費をＰＴＡ費で補填　小学校男性教諭（２８）停職３か月懲戒処分　鹿児島県教委（MBC南日本放送）,https://news.yahoo.co.jp/articles/a07e33504a0df00a88fdd900a0e70c713152cb51,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070453-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-19T19:54:00+09:00,2024-03-19T19:54:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,511,\nMBC南日本放送\n虚偽の申請をしてＰＴＡの予算から７万円余りを受け取ったとして、鹿児島県教育委員会は中学校の男性教諭を懲戒停職処分にしました。\n\n停職３か月の懲戒処分を受けたのは、鹿児島地区の中学校に勤務する２８歳の男性教諭です。\n\n県教委によりますと、男性教諭はおととし、ＰＴＡの会計担当者に虚偽の申請をして、あわせておよそ７万５０００円を受け取ったということです。\n\n県教委の聞き取りに対して、男性教諭は「部活に必要なものを購入する金を紛失し、自分の金がなく補填するためだった」と話しているということです。男性教諭はきょう１９日付けで依願退職しました。\n\nまた、鹿児島地区の小学校に勤務する４８歳の男性教諭は、去年、児童１人を指導する際に、手首をつねってけがをさせたなどとして戒告処分を受けました。\n\n鹿児島地区の小学校に勤務する６４歳の男性教諭は去年、児童１人の背中や頭を、少なくともあわせて１０回こぶしで叩いたとして１か月の減給処分を受けました。\n\n県教委の中島靖治教職員課長は「不祥事が発生したことは極めて遺憾。指導を徹底する」とコメントしています。\nMBC南日本放送 | 鹿児島,[],[]
マイナス金利解除で暮らしにどんな影響が？住宅ローン、企業の運転資金は今後…（MBC南日本放送）,https://news.yahoo.co.jp/articles/184e0f805b8a5d230128a095fc78e216b5b74f86,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070452-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-19T19:37:00+09:00,2024-03-19T19:38:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,908,\nMBC南日本放送\n日本銀行は１９日、「マイナス金利政策」を解除し、金利を引き上げることを決めました。１７年ぶりの利上げで、私たちの暮らしにどんな影響が出るのでしょうか？\n\n（７０代・飲食店経営）「景気が良くなってくるのかなと思う。人件費が高騰しているから、鹿児島も上がると思う」\n\n（６０代・映像制作）「基本的には（利上げは）いい影響。景気が回復するまでには痛みもある。賃金も上がって景気が良くなれば一番いい」\n\n（４０代・美容師）「『つみたてＮＩＳＡ』が話題になっている。自分で仕事以外に（財産を）増やさないと大変」\n\nそもそもマイナス金利とは、銀行が日本銀行に預けているお金にマイナスの金利を付ける、つまり、銀行は手数料を支払うことを指します。このため、銀行はお金をためておかずに積極的に貸し出すと期待され、消費者は住宅ローンなどを借りやすいとされてきました。\n\nでは、マイナス金利が解除されると、何が変わるのでしょうか？\n経済の専門家が想定する影響。その１つが住宅ローンの借り入れ金利です。\n\n（九州経済研究所経済調査部 福留一郎部長）「一番大きいのは、住宅ローンなど借り入れの金利。個人において住宅ローンは長い期間に渡るので、少し上がると若干、影響が出てくる。企業においては、設備投資や運転資金を借りる部分の（金利が）上がると影響や負担が出てくる」\n\n一方で、専門家は「マイナス金利を解除しても金利の上昇は緩やか」と予想し、「短期的な影響は限定的」とみています。\n\nまた、金利引き上げの要因となった賃金アップなどの好循環を、鹿児島で実感できるようになるには時間がかかるようです。\n\n（九州経済研究所経済調査部 福留一郎部長）「大企業は確かに良い流れが生まれつつあるが、中小企業にどれだけ広がるか、これから４月以降広がっていくかは、まだ不透明な部分がある。\nこれから先は人件費の上がった部分を価格に反映してもらう。賃金が上がったことで消費が拡大して好循環で（どちらも）上がるという、そんな世界をやっぱ作っていくべきだという風に思う」\nMBC南日本放送 | 鹿児島,[],[]
６０年前に閉山した枕崎の“鹿籠金山”遺構にカメラが専門家と潜入（MBC南日本放送）,https://news.yahoo.co.jp/articles/396ce8cc65c767b66df512f8640b4c16706bb95a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070448-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-19T19:41:00+09:00,2024-03-19T19:41:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1855,\nMBC南日本放送\n鹿児島県内にもかつて１００か所以上あった金や銀を採掘する鉱山。海外産の輸入や公害の問題で数は減り、今では４か所だけとなっています。\nかつて金の採掘で栄えた鉱山が枕崎市にあります。閉鎖から６０年経った今を取材しました。\n\n（志賀名誉教授）「ここが出発地点の古道入り口です」\n\n枕崎市金山町にある鹿籠金山跡。かつては県下有数の金の採掘量を誇ったとされています。この日は、金山の跡地を地元の住民とめぐろうと、金などの鉱物を研究する鹿児島大学の志賀美英名誉教授が見学会を開き、およそ１０人が参加しました。\n\n（志賀名誉教授）「坑口がみえます。もういっぱいある、この上にもある」\n\n山のいたるところに金を掘っていた坑道の入り口＝坑口が見られる鹿籠金山跡。今から３４０年ほど前、江戸時代初期に、地元の郷士・有川夢宅が発見したとされてます。\n\nその後、薩摩藩・島津家の金山として財をなし、最盛期の１７００年ごろには、３００人ほどが金の採掘にあたり、金山のまわりで家族とともに暮らしていたといわれています。\n\n♪金がこぼれる、たもとから～\n\n当時、労働者たちが口ずさんでいた歌です。金鉱石を採掘する労働者たちの様子を歌った「鹿籠金山せっと節」。採掘の機械がなかった当時、すべて手作業で坑道を切り開いていました。暗い坑内で仲間同士が励ましあうために歌われたといわれています。\n\n（志賀名誉教授）「これも坑口そのもの。タガネ（岩盤削る工具）の跡が見えた！」「この方向に筋が入っている。昔の人はタガネで掘っていったわけです。その証拠３００年前の掘ったあとと」\n\n鹿籠金山は明治時代に入り、全国の鉱山の開発も手がけていた鹿児島市出身の実業家・五代友厚の所有に。しかし、栄えていた鉱山も今は…。\n\n（記者）「こちらが金の鉱脈の入り口。この中で金が採掘されていたといいますが、想像がつきにくいです」\n\n当時、労働者たちが鉱山に入るために使っていた道も草木に覆われ、歩くのもやっとです。ピーク時、３００人以上が働いていたころの面影はありません。\n\n県内で今も採掘が続いているのは、伊佐市の菱刈鉱山、枕崎市の春日鉱山と岩戸鉱山、南九州市の赤石鉱山の４か所。\n\nかつて、日本各地に金のとれる鉱山は数多く存在し、県内だけでもおよそ１２０か所あったといいます。しかし、公害問題や外国産の鉱物資源の輸入などでほとんどが閉山。鹿籠金山も１９６５年・昭和４０年ごろ、およそ２８０年の歴史に幕を下ろしました。\n\n（志賀名誉教授）「そのまま放置すると、土砂崩れで埋まったり木で覆われり、忘れさられてしまう」\n\n歩いていると、いたるところに鉱石を含んだキラキラと光る石を見つけることができます。\n\n（記者）「この石は？」\n（志賀名誉教授）「石英脈（鉱脈）」\n\n（記者）「金は入っている？」\n（志賀名誉教授）「多分入っている。肉眼では見えない」\n\nかつての面影を失った金山跡。古道を進んでいくと、鉱山を中心とした生活の跡が少しずつ見えてきました。\n\n（志賀名誉教授）「これは電線。昭和３３年まだ新しい、昭和になってもまだ採掘や精錬をしていた」\n\n閉山前に使われていた古びた木製の電柱。さらに…\n\n（志賀名誉教授）「古道のわきに屋敷がある、その境に水路・排水溝だと思う」\n\n石でつくられた橋もありました。橋を渡った先にあったのは、草木に覆われた炭窯跡。鉱石から金を溶かして取り出すために、木炭をつくっていました。\n\n（志賀名誉教授）「真っ赤。これは元の岩石はわからない。焼けちゃっているから」\n\n炭窯跡の周りには、赤い焼けた石も落ちていました。鹿籠金山のかつての姿を、知らない住民も多くいます。\n\n（地元住民）「（普段は）ほとんど入らない。中学生くらいまで入って（遊んで）いた。うれしいような、さびれているのがさみしいような」\n\n（地元住民）「こんなにも大切なものが眠っているとは夢にも思わなかった。自分たちでなんとか守っていければいいなと思う」\n\n志賀さんは、忘れ去られつつあるかつて栄えた鹿籠金山の姿をこれからも地元の住民に伝えてきたいと話します。\n\n（志賀名誉教授）「日本は鉱物資源が乏しいと思っていると思う。それは大間違い。いつまでも保存して、地元の人の自信と誇りにつなげられたら」\nMBC南日本放送 | 鹿児島,[],[]
大雨で一部損壊の曽木発電所遺構“新たな手法”で復旧へ（MBC南日本放送）,https://news.yahoo.co.jp/articles/14930f35ddfccecf7f91ca5a371278d76f38abdb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070446-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-19T19:30:00+09:00,2024-03-19T19:30:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,449,\n４年前の大雨で一部が壊れた国の登録有形文化財・鹿児島県伊佐市の曽木発電所遺構で、新たな手法による復旧作業が始まっています。\n\n曽木発電所遺構は、明治時代の１９０９年につくられ、１９６５年に下流の鶴田ダムの建設に伴い水没した、国の登録有形文化財です。\n２０２０年７月の大雨で、壁などの３００個以上のレンガが崩れました。\n\n復旧に向けて、鶴田ダムの管理所や伊佐市などは、検討委員会をつくり、協議を進めています。\n\n１９日の委員会では、水位が下がる数か月間しか復旧作業ができないことから、回収したレンガを別の場所であらかじめ組み立てておく新たな修復方法を、先月から試験的に始めていることが報告されました。\n\n（鶴田ダム管理所・有嶋哲朗専門官）「復旧に時間がかかるかもしれないが、復旧の現場を子どもたちを含めて見てもらい、遺構の大事さを皆さんに感じてほしい」\n\nダム管理所では、修復のテスト結果をもとに、復旧の計画を委員会で協議したいとしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070446-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/14930f35ddfccecf7f91ca5a371278d76f38abdb/images/000']
台風で流失した橋が７か月ぶりに復旧　屋久島一周が再開（MBC南日本放送）,https://news.yahoo.co.jp/articles/6fa5b5862a6d9bfbc5b8577471bfb8488302e511,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070447-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-19T19:32:00+09:00,2024-03-19T19:32:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,458,\nMBC南日本放送\n屋久島町で去年８月、台風６号の影響で流失した橋が復旧し、およそ７か月ぶりにきょう１９日から通行できるようになりました。世界遺産エリアを車で通り抜け、屋久島を一周することができるようになりました。\n\n復旧したのは、屋久島の西側を結ぶ西部林道にある「川原１号橋」です。\n\n鹿児島県によりますと、去年８月の台風６号の影響で発生した土石流により、橋が流失しました。このため、橋を含む周辺の県道、およそ１．７キロが全面通行止めになっていました。\n\nこの道路は島の西側の集落を結ぶ唯一の道路で、世界自然遺産に登録されているエリアを通っています。\n\n屋久島町によりますと、橋の流失で屋久島を一周する予定だったツアー客らがコースの変更を余儀なくされるなど、影響が出ていたということです。\n\n屋久島町では、「橋の周辺は、世界遺産エリア内を車で通れる唯一の区間。橋が復旧したことで、再び多くの人に効率よく観光スポットを回ってもらえるようになる」と話しています。\nMBC南日本放送 | 鹿児島,[],[]
恋のパワースポットで天の川を“先撮り”！（MBC南日本放送）,https://news.yahoo.co.jp/articles/6b63b34f3c401ac517c619e42b180e985c24346e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00168614-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-19T19:24:00+09:00,2024-03-19T19:24:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,361,\nMBC南日本放送\nこちらは薩摩半島・最南端の岬、指宿市長崎鼻です。今月１６日の未明に、早起きして撮影しました。\n\n長崎鼻には灯台があって、午前４時ごろ、東の空にきれいな天の川が見えていました。写真は高感度撮影ですが、肉眼でも天の川の白っぽい星の集まりがはっきりと確認できました。\n\nそして灯台の近くには、ハートのモニュメントがあって、恋のパワースポットとしても人気があるそうです。ただ夜は、あかりを準備して足元にお気をつけください。\n\nさらに開聞岳とは、こんな写真が撮れます。夕暮れどきには、開聞岳付近に沈む夕日と、ハートの写真が撮れそうですね。\n\n季節は着実に移ろっていますが、あす２０日の春分の日は寒の戻りと強風にご注意ください。\n\nＭＢＣ気象予報士 亀田晃一\nMBC南日本放送 | 鹿児島,[],[]
スポーツ、学業、研究　優れた実績残した生徒・学生４人を表彰　「岩崎育英文化財団賞」授賞式（MBC南日本放送）,https://news.yahoo.co.jp/articles/e18d4ebd822ee7d572906dcb01660d4787b6d951,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240319-00070443-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-19T16:07:00+09:00,2024-03-19T16:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,861,\nMBC南日本放送\nスポーツや化学の研究などで、優れた成績をあげた生徒や学生を表彰する「岩崎育英文化財団賞」の表彰式が鹿児島市で行われました。\n\n「岩崎育英文化財団賞」はスポーツや研究、社会貢献活動などで活躍した生徒・学生を毎年、表彰しています。\n今年度は、高校生３人、大学生１人が受賞し、岩崎貴光副理事長から賞状と記念品が送られました。\n\n大口明光学園３年の植木春華さんは、去年のかごしま国体に出場し、カヌースプリント女子カヤックシングル２００メートルの部で優勝を果たしました。\n\n（大口明光学園３年 植木春華さん）\n「大学では自己管理がすごく大変になってくると思うので、そこもしっかりしながら、こつこつ頑張って、より高みを目指していきたい」\n\n甲南高校３年の杉崎健太さんは、スマートフォンから出る光をフィルターで調節することで、色覚異常がある人に色の違いの認識をサポートするアプリを開発したことなどが評価されました。\n\n（甲南高校３年 杉崎健太さん）\n「医学部に進学するが、ひとりひとりの患者に全力で向き合って、その患者さんを助けるように努力を惜しまないような医療人になれればと思う」\n\n鹿児島城西高校３年の立迫大徳さんは、かごしま国体の陸上少年男子共通８００メートルで優勝するなど、国内外の大会で活躍したことが評価されました。\n\n鹿児島大学からは、理学部４年の小瀬日奈子さんが受賞。南大隅町の化粧品メーカー・ボタニカルファクトリーと共同で、「ホーリーバジル」という植物から新型コロナウイルスの動きを阻害する化合物を発見し、その化学構造を明らかにしたことが受賞につながりました。\n\n（鹿児島大学４年 小瀬日奈子さん）\n「コロナウイルスだけでなくて、他にもいろいろな病気だったり、活性がある化合物の探索を鹿児島の資料を用いて研究を行っていこうと考えています」\n\n４人は大学や大学院へ進学し、これまでの競技や研究を継続していくということです。\nMBC南日本放送 | 鹿児島,[],[]
