headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「複合災害への対応が大事」原子力総合防災訓練に向け、浅尾原子力防災担当相が県庁訪問　塩田知事「避難道整備を要望」（南日本新聞）,https://news.yahoo.co.jp/articles/966abf7153ef74c5ec8ba616eb4d35614cbb0b10,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000016-minami-000-2-view.jpg?exp=10800,2024-12-07T21:45:25+09:00,2024-12-07T23:35:52+09:00,南日本新聞,minami,南日本新聞,551,原子力総合防災訓練に向け、塩田康一知事と面会する浅尾慶一郎原子力防災担当相（左）＝７日、県庁 九州電力川内原発が立地する鹿児島県薩摩川内市などで２０２５年２月に実施される国の原子力総合防災訓練に向け、浅尾慶一郎原子力防災担当相は７日、鹿児島県庁を訪れ、塩田康一知事と面会した。能登半島地震を踏まえ、訓練の実効性向上を図る点で一致した。 「AI進化で電力需要高まる」…川内原発の「増設・建て替え」、地元新市議の半数13人が賛成 福島第1事故後の1人から大幅増、核ごみ最終処分所は… 南日本新聞アンケート 会議は冒頭以外非公開。浅尾担当相は「複合災害への対応が大事。通信障害時の復旧や給水車を使った訓練も取り入れたい」と説明した。塩田知事は事故時の避難方法などをまとめた「緊急時対応」を訓練後に改定する必要性に言及した。 面会後、塩田知事は報道陣に「能登半島地震の教訓として、避難道の整備がある。半島防災を強化することも要望した」と述べた。 浅尾担当相は、８日に川内原発、放射線防護対策施設、県原子力防災センターなどを視察。同市の田中良二市長と面談する。 能登半島地震では、北陸電力志賀原発（石川県）周辺で道路が寸断され、避難計画への懸念が相次いだ。同地震後の国の防災訓練は初めて。 南日本新聞 | 鹿児島,[],[]
第１航空群司令「戦後最も厳しく複雑な安全保障環境」と式辞　開隊70周年記念式典に650人　海上自衛隊鹿屋航空基地（南日本新聞）,https://news.yahoo.co.jp/articles/0efcf6bb50eb3e6b2c8377dae4ce5ab5c2563801,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000015-minami-000-3-view.jpg?exp=10800,2024-12-07T21:05:30+09:00,2024-12-07T23:32:39+09:00,南日本新聞,minami,南日本新聞,410,開隊７０周年記念式典で式辞を述べる大西哲第１航空群司令＝７日、鹿屋市の海上自衛隊鹿屋航空基地 鹿児島県鹿屋市の海上自衛隊鹿屋航空基地で７日、開隊７０周年記念式典があった。県内外から関係者約６５０人が参列し、東シナ海などの警戒監視に当たる拠点の節目を祝った。 海洋監視強化へ滞空型無人機MQ－9Bシーガーディアンの導入決まる 海自鹿屋航空基地で今夏、同型機を試験運用 配備先は「今後検討」 防衛省 大西哲第１航空群司令は式辞で、周囲の支援に感謝した上で、日本の現状について「戦後最も厳しく複雑な安全保障環境に直面している」と指摘。困難な状況でも全力を発揮できる態勢を整えるなどとし、「わが国の安心・安全を守っていく」と誓った。 １９３６（昭和１１）年に発足した鹿屋海軍航空隊が戦後、警備隊鹿屋航空隊などを経て、５４年に海自鹿屋航空隊となり同基地で活動してきた。現在は７部隊の約１７００人が在籍する。 南日本新聞 | 鹿児島,[],[]
マイクオフ問題で国の姿勢問われた水俣病、誰一人こぼれ落ちない政治決着なるか　解散総選挙で躍進の立民が救済法案再提出へ　識者は実のある中身を注文、他党と連携見通せず（南日本新聞）,https://news.yahoo.co.jp/articles/fafbbdd68c027e0947dee998fa4261f64d3f0002,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000014-minami-000-2-view.jpg?exp=10800,2024-12-07T18:00:21+09:00,2024-12-07T22:49:21+09:00,南日本新聞,minami,南日本新聞,1267,水俣病救済法案の提出後に会見する立憲民主党の議員＝６月１８日、国会 水俣病問題の解決に向け、立憲民主党は３度目の「政治決着」を模索している。救済法案が先の衆院解散で廃案になり、再提出する予定だ。水俣病特別措置法に基づく救済策の再開や健康調査の実施を盛り込むが、他党の協力が得られるかは見通せない。 【写真】水俣病特別措置法を巡る集団訴訟の熊本地裁判決後に原告らが開いた集会＝３月２６日、東京・永田町 「先の通常国会は（法案を）出すことが第一だった。選挙後は関心を持っている党で集まり、より大きな勢力として法案が出せる形にしたい」。衆院解散前日の１０月８日、立民環境部門長（当時）の近藤昭一衆院議員は取材にこう答えた。 水俣病公式確認の日の５月１日、患者・被害者団体と環境相との懇談で、環境省職員が団体側の発言中にマイクの音を切る問題が起きた。その後の立民の現地ヒアリングで、団体側は議員立法による新たな救済策を要望。通常国会会期末の６月１８日、立民は衆院に単独で法案を提出した。 ２００９年施行の特措法は、一時金支給などの救済措置の対象者を３年以内をめどに確定するとし、申請を１２年７月で締め切った。 法案は未申請者に対する救済措置を明記。疫学を含む健康調査を２年間実施し、終了後１年以内に特措法を抜本的に見直すとした。 筆頭提出者だった近藤氏は「被害者は高齢化している。問題提起としてまずは党としての考え方を示した」と語る。改選後は衆院の環境委員長に就いた。 ■ □ ■ 水俣病の救済で、国は過去に２度「政治決着」を図っている。１９９５年、与党３党（自民、社会、さきがけ）が最終解決策を示し、裁判の取り下げなどを条件に約１万人に一時金などが支払われた。２回目が約３万８０００人が対象となった特措法に基づく対応だ。 居住地域や年齢で「線引き」した特措法の救済から漏れた人たちが、国や原因企業に損害賠償を求める訴訟は現在も続く。昨年９月の大阪地裁は原告１２８人全員を、今年春の熊本地裁と新潟地裁は原告の一部の水俣病罹患（りかん）を認めた。 立教大学の関礼子教授（環境社会学）は「特措法に基づく救済策の申請を再開するなら、恒久措置でないと根本解決にならない。公害健康被害補償法の認定基準が厳しく、それを補う形の救済策が時限措置である限り、必ずこぼれ落ちる人がいる」と指摘する。 ■ □ ■ 立民は単独提出した救済法案について、中身を再検討した上で次期通常国会に再提出する方針。他党との共同提出も視野に入れているが、関係者の一人は「他党との協議や調整はこれから。うまく進むかどうかは分からない」と話す。 超党派の「水俣病被害者とともに歩む国会議員連絡会」は今月１１日、一刻も早い被害者の救済に向けた院内集会を開く。衆院選前に約５０人だった加入者をさらに増やそうと、全国会議員に改めて参加を呼びかけた。 事務局長の野間健衆院議員（鹿児島３区）は「被害者の期待も大きい。次で必ず最終解決にしないといけない」と力を込める。 南日本新聞 | 鹿児島,[],[]
【速報】B2鹿児島レブナイズ、8敗目　青森に75－82（南日本新聞）,https://news.yahoo.co.jp/articles/e08bea40d4745361b9d1e446fee225f0b0f4b9c3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000013-minami-000-1-view.jpg?exp=10800,2024-12-07T17:35:22+09:00,2024-12-07T17:35:22+09:00,南日本新聞,minami,南日本新聞,116,（写真：南日本新聞社） バスケットボールＢリーグ２部（Ｂ２）西地区２位の鹿児島レブナイズは７日、東地区６位の青森と敵地で対戦し、７５－８２で敗れた。今季成績は１２勝８敗。 レブナイズは８日も青森と敵地で戦う。 南日本新聞 | 鹿児島,[],[]
鹿児島県警不祥事の原因は2つの「欠如」と1つの「不十分」に帰着…再発防止策は「全てをカバー」と自信みせる新本部長　内輪の論理脱却へ外部の意見反映にも言及（南日本新聞）,https://news.yahoo.co.jp/articles/3eddff1b798041b1ebbf651f1095d8913cf9915a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000012-minami-000-2-view.jpg?exp=10800,2024-12-07T15:30:22+09:00,2024-12-07T17:02:13+09:00,南日本新聞,minami,南日本新聞,501,答弁する県警の岩瀬聡本部長＝６日午後１時４５分ごろ、県議会 鹿児島県警の相次ぐ不祥事を巡り、岩瀬聡本部長は６日、県警が８月に公表した再発防止対策は「人事異動のあり方など具体策に踏み込んでいる」との認識を示した。不祥事の原因分析についても「対策に掲げた内容で全てカバーできている」と強調。一方「内輪の論理だけで気づかない視点があれば追加する。対策を進め責任を果たす」と述べた。県議会一般質問に答えた。 【写真】答弁する県警の岩瀬聡本部長＝６日、県議会 岩瀬本部長は、一連の不祥事の原因は対策に掲げる（１）職責および倫理観の欠如（２）個人情報の重要性とその取り扱いに関する認識の欠如（３）的確な指揮統率と組織的対処が不十分－の三つに帰着すると言及。原因分析を進める上で、再発防止対策は「網羅的で包括的な内容になっている」とした。 「警察以外の第三者など独立性の高い組織から意見をくみ上げるべきではないか」との問いには「（対策の進捗＝しんちょく＝を管理する）改革推進委員会に外部有識者を招くほか、県民からの意見や議員からの指摘を組織運営に反映させていく」と従来通りの説明を繰り返した。 南日本新聞 | 鹿児島,[],[]
【速報】都城志布志道路の通行止め解除　有明東－志布志間（南日本新聞）,https://news.yahoo.co.jp/articles/4ccb6665493c47e28706b70dfcf05009b03d708b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000011-minami-000-1-view.jpg?exp=10800,2024-12-07T15:15:24+09:00,2024-12-07T15:15:24+09:00,南日本新聞,minami,南日本新聞,95,（写真：南日本新聞社） 交通事故のため上下線で通行止めとなっていた、都城志布志道路の有明東インターチェンジ（ＩＣ）－志布志ＩＣ間は、７日午後３時ごろ規制が解除された。 南日本新聞 | 鹿児島,[],[]
【速報】Vリーグ男子・フラーゴラッド鹿児島3敗目　クボタに1-3（南日本新聞）,https://news.yahoo.co.jp/articles/4905fff89a46695b6eb011434972b3199c3ecb46,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000010-minami-000-1-view.jpg?exp=10800,2024-12-07T15:15:22+09:00,2024-12-07T15:15:22+09:00,南日本新聞,minami,南日本新聞,161,（写真：南日本新聞社） バレーボールＶリーグ男子西地区のフラーゴラッド鹿児島（Ｆ鹿児島）は７日、大阪市のフィットネス２１東淀川体育館でクボタスピアーズ大阪と戦った。１－３（２０－２５、２０－２５、２５－２１、２３－２５）で敗れ、通算成績を６勝３敗とした。 Ｆ鹿児島は８日、同会場でクボタと再戦する。 南日本新聞 | 鹿児島,[],[]
【速報】トラックが対向車線の乗用車と接触、横転　子供含む6人搬送、9歳女児が大けが　都城志布志道路志布志IC-有明東IC間（南日本新聞）,https://news.yahoo.co.jp/articles/bf745da39beac97696c8fbdebcf6f8ff59c80e64,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000009-minami-000-2-view.jpg?exp=10800,2024-12-07T14:05:25+09:00,2024-12-07T14:38:21+09:00,南日本新聞,minami,南日本新聞,287,（写真：南日本新聞社） ７日午前８時５５分ごろ、鹿児島県志布志市志布志町安楽の都城志布志道路で、都城市太郎坊町、会社員男性（５９）のトラックが対向車線を走っていた志布志市有明町野井倉、無職女性（４３）の乗用車と接触し、横転した。双方の運転手と女性の車に乗っていた子供４人の計６人が搬送された。志布志署によると、９歳女児１人は重傷。現場は志布志インターチェンジ（ＩＣ）と有明東ＩＣの間の片側１車線の直線道路で、事故の原因などを調べている。 【関連】都城志布志道路 事故のため通行止め 有明東IC－志布志IC間 事故のため同ＩＣ間は通行止めとなっている。 南日本新聞 | 鹿児島,[],[]
【速報】都城志布志道路 事故のため通行止め　有明東IC－志布志IC間　（南日本新聞）,https://news.yahoo.co.jp/articles/ca982cacfcca1cd2b8920eadb5709ecf8d05e4d2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000008-minami-000-2-view.jpg?exp=10800,2024-12-07T12:35:22+09:00,2024-12-07T13:59:03+09:00,南日本新聞,minami,南日本新聞,107,（写真：南日本新聞社） 鹿児島県警によると、都城志布志道路の有明東インターチェンジ（ＩＣ）－志布志ＩＣ間は、７日、交通事故のため上下線で通行止めとなっている。同日午後３時半ごろ解除の見込み。 南日本新聞 | 鹿児島,[],[]
米軍機とみられる低空飛行目撃情報 23年度は200件、目立つヘリやオスプレイ　夜間帯の騒音も　県は「安心安全な生活に影響及ぼさない配慮を要請したい」（南日本新聞）,https://news.yahoo.co.jp/articles/1620e90ac77701866738438ba6d7e12e187ef3da,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000007-minami-000-3-view.jpg?exp=10800,2024-12-07T11:30:23+09:00,2024-12-07T17:05:15+09:00,南日本新聞,minami,南日本新聞,779,（写真：南日本新聞社） 鹿児島県は６日、２０２３年度に住民が目撃した低空飛行情報２０５件のうち、米軍機とみられるのが２００件に上ることを明らかにした。市町村別では鹿児島市の８７件が最も多く、日置市４６件、奄美市４２件が続いた。集計方法が変わっているため以前と単純比較できないが、県内上空への頻繁な飛来を裏付けているといえそうだ。 【写真】米軍機とみられる低空飛行目撃情報 23年度は200件、目立つヘリやオスプレイ 夜間帯の騒音も 県は「安心安全な生活に影響及ぼさない配慮を要請したい」 危機管理課によると、０６年度から寄せられた情報を九州防衛局に問い合わせて公表している。２２年度までは目撃件数を機体の実数に直していたが、２３年度分からは市町村と集計方法を統一し、同一機を複数人が目撃するケースをそのまま計上するのみとした。 ２４年度は４～６月、目撃された低空飛行８１件の全てが米軍機の可能性があるとした。 ヘリやオスプレイといったプロペラ機の情報が目立つ。飛行ルートは日置市や鹿児島市松元から同市郡山の方向へ飛んだり、奄美市を南北に行き来したりする様子が報告されている。 飛行時間帯は、同局が奄美市名瀬知名瀬で常時計測する航空機騒音回数を基にすると、２３年度は午前７時～午後７時が５９回で最も多く、午後７～１０時が２０回で次いだ。このほか同１０時からの２時間が１回。 ６日の県議会で目撃状況を問われた桑代毅彦危機管理防災局長は「今後も国に対し、県民の安心安全な生活に影響を及ぼさないよう配慮を要請したい」と答弁した。 ◇奄美空港のオスプレイ駐機続ける １１月２１日に奄美空港（奄美市笠利）に緊急着陸した米軍輸送機ＣＭＶ２２オスプレイ１機は１２月６日午後５時現在、駐機を続けている。九州防衛局や県によると、新たな米軍機の飛来はない。 南日本新聞 | 鹿児島,[],[]
50代女性が見つけたのは「画像送ると報酬もらえる」サイト　登録後、報酬引き出そうとすると手数料が3万円…副業詐欺の疑いで無職男を逮捕　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/bdb1556bfc4d68b0733ec82e2989e7f731c16c5c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241207-00000006-minami-000-2-view.jpg?exp=10800,2024-12-07T11:00:22+09:00,2024-12-07T17:02:49+09:00,南日本新聞,minami,南日本新聞,419,（写真：南日本新聞社） 奄美署と県警組織犯罪対策課は６日までに、副業を持ちかけ、ウェブサイト上に表示される架空の報酬を引き出す手数料名目で現金を振り込ませたとして、詐欺の疑いで、奄美市名瀬石橋町、無職の男（４０）を逮捕した。認否は明らかにしていない。逮捕日は１１月１８日。 逮捕容疑は氏名不詳者と共謀し、５月７日、福岡県内の５０代女性から３万円をだまし取った疑い。 同署によると、スマートフォンのメールを通じ、ＴｉｋＴｏｋ（ティックトック）動画のスクリーンショット画像をメールで送ると報酬がもらえると勧誘。架空の報酬額が表示されるウェブサイトに登録させた。さらに指定口座に現金を振り込めば３０～４０％の利益が出ると偽った。 女性が報酬の現金化を求めた際「３万円を送金しなければ出金できない」とし、同容疑者名義の銀行口座に手数料名目として振り込ませた。別の事案で同口座が不正使用されている疑いがあり、発覚したという。 南日本新聞 | 鹿児島,[],[]
