headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
吹上砂丘荘の来年３月閉館　日置市が市議会に提案「判断もらうタイミング」鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/8f4bc5d8c83242fad3c92b71ac862c0b8cc73e26,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070034-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-21T19:23:00+09:00,2024-02-21T19:23:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,718,\nMBC南日本放送\n日置市は、直営の宿泊施設・吹上砂丘荘を来年の３月末で閉館する議案を、２１日に開会した市議会の３月定例会で提案しました。\n\n（日置市 永山由高市長）「日置市国民宿舎事業を廃止するため、関係条例の整備を図りたいので提案する」\n\n吹上砂丘荘は１９７０年にオープンした市直営の宿泊施設で、スポーツ合宿の拠点としても使われてきました。\n\nしかし、施設の老朽化や従業員確保の難しさなどから、市は今月１日に住民説明会を開いて、来年３月３１日で閉館する方針を伝え、一部の住民からは撤回を求める声も上がっていました。\n\n２１日の市議会では、反対の声もある中でなぜ閉館の提案をしたのかという質問も。\n\n（市議）「（説明会で）今度の議会に（廃止を）提案しないでくれという意見が次から次に出された。住民の声を無視して提案した見解、説明をお願いしたい」\n\n（総務企画部長）「施設の老朽化なども踏まえると、市が経営していくことは非常に厳しいと総合的に判断して、３月議会に提案した」\n\n市は３年前に「今後３年で道筋を示す」との方針を示して検討してきたため、このタイミングでの提案となったとしています。\n\n（日置市 永山由高市長）「地域にとっても従業員にとっても、しっかりとこの段階で、今後の方針を行政として示して議会の判断をもらう。やはりこのタイミングが必要であろう。必ずしも建物を除却することありきではなく、いろんな企業や団体に活用してもらえる可能性を提案してともに模索していきたい」\n\n市議会には、閉館の議案に反対する請願・陳情が５件提出されていて、今後、議論されます。\nMBC南日本放送 | 鹿児島,[],[]
薩摩地方に竜巻注意情報（MBC南日本放送）,https://news.yahoo.co.jp/articles/dd07eeb4fc17f4dae599aa33db901e89351d4b4d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070037-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-21T22:01:00+09:00,2024-02-21T22:01:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,168,\n薩摩地方に竜巻注意情報が発表されました。\n\n薩摩地方は竜巻などの激しい突風が発生しやすい状況になっています。気象台は、空の様子に注意し、雷や風の急な変化など、積乱雲が近づくきざしがある場合は、頑丈な建物の中に移動するなど安全確保を呼びかけています。\n\nこの情報は２１日午後１１時まで有効です。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070037-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/dd07eeb4fc17f4dae599aa33db901e89351d4b4d/images/000']
５日間で５３区間５８３．３キロ　県下一周駅伝を制したのは…（MBC南日本放送）,https://news.yahoo.co.jp/articles/b0469a02a40cc7d40466c9259b7c3bf3455c3f0e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070033-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-21T19:21:00+09:00,2024-02-21T19:22:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,965,\nMBC南日本放送\n５日間にわたる県下一周駅伝は２１日が最終日。５日間で５３区間、５８３．３キロにおよぶレースを制したのは？\n\n最終日の２１日は南大隅町根占から鹿児島市までの１１区間１１３．４キロのコースで競われました。\n\n雨が降る中で迎えた終盤９区では、高校生や大学生の選手が多い中、ベテラン選手の奮闘が光りました。曽於の四俣勇人選手（３７）は、１５回目の出場です。\n\n（曽於・四俣勇人選手）「若者に負けないように、ベテランらしくチームに貢献できるように頑張りたい」\n\n２０日に続き２日連続での出走となりましたが、必死に駆け抜けました。\n\n（曽於・四俣勇人選手）「きつかった。きのうも走ってきょうも走って、最後の上りがしんどかった。でも頑張った」\n\nさらに、大島・岸田賢吾選手（４３）は、１０回目出場。奄美大島から家族も駆けつけ、その姿も見守りました。\n\n（大島・岸田賢吾選手）「のぼり旗をつくってくれて応援してくれて、すぐ目につくので元気になる。可能性を信じて全力を尽くそうと思って、いい走りができた」\n\nそして、フィニッシュ地点の鹿児島市役所前に最初に姿を見せたのは。\n\n鹿児島が初日、２日目に続いて今大会３度目の日間優勝。５日間の総合でも２大会ぶりの優勝に輝きました。\n\n（鹿児島・永田宏一郎選手）「優勝の二文字目指してやってきたので、叶ってすごくうれしかった（Ｑ．胴上げは）気持ちよかった」\n\n（鹿児島・坂元義治監督）「５年連続で全区間タスキを継続できたのと、総合優勝奪還できて２つの目標を達成できたので、本当に選手たちに感謝」\n\n日間順位は１位鹿児島、２位姶良、３位日置でした。総合順位は１位鹿児島、２位姶良、３位川辺でした。\n\n【最終日の日間順位】\n１位・鹿児島\n２位・姶良\n３位・日置\n４位・川辺\n５位・川薩\n６位・肝属\n７位・出水\n８位・熊毛\n９位・指宿\n１０位・曽於\n１１位・大島\n１２位・伊佐\n\n【最終日の総合順位】\n１位・鹿児島\n２位・姶良\n３位・川辺\n４位・肝属\n５位・川薩\n６位・日置\n７位・出水\n８位・指宿\n９位・曽於\n１０位・熊毛\n１１位・大島\n１２位・伊佐\nMBC南日本放送 | 鹿児島,[],[]
追突事故多発の国道１０号・仙巌園前交差点　来月４日から通行方法を変更　事故減少効果は？　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/9c73999d5077d7fb5f6fa4d67c01fdeb5dba410b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070032-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-21T19:08:00+09:00,2024-02-21T19:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,503,\nMBC南日本放送\n鹿児島市と姶良市などを結び、朝夕は混雑する幹線道路の国道１０号。特に仙巌園前の交差点は、交通量が多く、事故が多発していることから、来月４日から通行方法が変わることになりました。\n\n国道１０号の仙巌園前交差点付近です。鹿児島市街地に向かう下り側では、２０１９年までの４年間で１５件の事故が発生。うち１２件が追突事故という事故の多発地点となっています。\n\nこの交差点では、直進する車と海岸沿いの市道へと左折する車が混在しています。しかし、左折した先には踏切があるため、交通量が多い時間帯は左折する車が列を作り、国道まであふれる状態となります。そこに直進する車が追突し、事故が起きるケースが多いというのです。\n\nそこで鹿児島国道事務所が取り組む新たな対策が・・・。\n\n旧集成館前からおよそ２００メートルの左折レーンの設置です。左折できるのは旧集成館前のみとなります。仙巌園前の市道の一方通行区間は通行できなくなり、来年度から着工する新駅の駅舎や駅前広場として活用されます。\n\nこの新たな通行方法への切り替えは、来月４日午前５時からです。\nMBC南日本放送 | 鹿児島,[],[]
九州南部はまるで梅雨　あす２２日にかけ大雨警報のおそれ　奄美地方は夏日、早くも海水浴・かき氷も　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/89764b2f5710d6d7dc77ee60cf679840d7c5a1be,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070036-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-21T19:30:00+09:00,2024-02-21T19:30:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,756,\nMBC南日本放送\nまだ２月ですが、九州南部はまるで梅雨のような天気となりました。２１日夜から２２日朝にかけて大雨警報が出るおそれがあります。いっぽう奄美地方では夏のような光景も見られました。\n\nどんよりとした空。前線の影響で、九州南部は大気の状態が非常に不安定になり、２１日は南九州市で１時間に６５ミリなど未明に非常に激しい雨も降りました。\n\n錦江町では２４度を観測するなど、気温も各地で上がり、平年を１０度以上上回ったところも。雨とあたたかさで、まるで梅雨が訪れたような天気となりました。\n\n一方、奄美地方では、各地で気温が２５度以上の夏日を観測。海岸では早くも海水浴を楽しむ人の姿も見られました。\n\n（神奈川からの観光客）「最初入る時だけ冷たかったんですけど、入ってしまえば、ぜんぜんあたたかい。みなさん泳いだほうがいいと思いますよ」\n\n３日連続で夏日となった奄美市名瀬では、かき氷や冷たい飲み物を求める人たちの姿も見られました。\n\n（かき氷を食べる子ども）「おいしい。すっぱいのがおいしい。（Ｑ暑くない？）暑い」\n\n（奄美海洋展示館 森田雅人施設長）「いつもよりお客さんが買い求めるのが多いですね。きのうも仕入れして、すぐドリンクなどが売り切れてしまったので、想定外」\n\n九州付近の前線は２２日にかけて奄美地方まで南下して、鹿児島県内は大気の状態が非常に不安定になる見込みです。\n\n薩摩、大隅地方と種子島・屋久島地方では、２１日夜から２２日朝にかけて１時間に３０ミリの激しい雨が降り、大雨警報が出される可能性もあります。２２日夕方までの２４時間に予想される雨の量は１２０ミリです。奄美地方でも昼前にかけて落雷や突風に注意が必要です。\nMBC南日本放送 | 鹿児島,[],[]
赤福…柿の葉寿司…紀伊半島３県のグルメがずらり　物産展が山形屋で開幕（MBC南日本放送）,https://news.yahoo.co.jp/articles/979af397c01437cab73c6af908426150024e26a4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070028-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-02-21T19:00:00+09:00,2024-02-21T19:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,602,\nMBC南日本放送\n三重、和歌山、奈良の特産品などを集めた物産展が２１日から鹿児島市の山形屋で始まりました。\n\n三重県の銘菓「赤福」に、奈良県の「柿の葉寿司」も。紀伊半島の３県のグルメや伝統工芸品などを集めた物産展は今年が１２回目です。\n\n和歌山からはふわふわな食感が特徴の銘菓「かげろう」が登場しましたが、今年は初めて本店でしか食べることができない特別なかげろうも。\n\n（レポーター）「軽い食感で優しい甘さの生地に濃厚な生クリームの相性が抜群、何個でも食べられてしまいそう」\n\nまた、会場中央には三重の吉良屋珈琲のオーナーによる「カフェ」も初登場しました。\n\n（客）「目の前で淹れてくれたのでうれしかった。ちょっと特別感がある」\n\nそして、名古屋名物の手羽先や天むすなどを販売する「愛知うまいもの」と、伊勢志摩地方の真珠のアクセサリーなどを販売する「伊勢・志摩パールフェア」も同時に開かれています。\n\n（客）\n「赤福を買いました。お茶と食べたい」\n「はじめてだったけど、いろいろ気になるものがあって来てよかった」\n\n（山形屋企画部 藥王寺隆文・企画専門課長）「いよいよ１２回目を迎える、三重・和歌山・奈良の物産展、ぜひ会場で現地の味を楽しんでもらえたら」\n\nこの３つのイベントは鹿児島市の山形屋で今月２７日まで開かれています。\nMBC南日本放送 | 鹿児島,[],[]
漂着ゴミ絡まったウミガメ見て「かわいそう」小学生が３年続けた海岸清掃　再び産卵も　鹿児島市喜入（MBC南日本放送）,https://news.yahoo.co.jp/articles/0bce1c4f3163cf1cf6e31b314cd87a39c76bc358,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070031-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-21T18:33:00+09:00,2024-02-21T18:33:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,700,\nMBC南日本放送\n産卵するウミガメのために。鹿児島市喜入の海岸で３年にわたってゴミ拾いを続けている小学６年生の男の子に、第十管区海上保安本部から感謝状が贈られました。\n\n感謝状を受け取った喜入小学校６年生のは浜田蓮音さん。２０２１年から毎朝、学校に行く前の午前６時半からおよそ３０分間、海岸でゴミ拾いをしています。そのきっかけとなったのは。\n\n（浜田蓮音さん）「３年前に動きづらそうにしているウミガメを見て、かわいそうだと思った」\n\n３年前の朝に海岸でウミガメと遭遇したことでした。ウミガメは通常、夜のうちに海岸での産卵を終えて海に帰りますが、この時は、脚に漂着していたゴミがからまってうまく動けず、午前８時ごろもまだ海岸にいたといいます。\n\nその姿に衝撃を受けた蓮音さんは海岸のゴミ拾いを開始。活動の環は徐々に広がり、海洋ゴミ専用のゴミ箱も設置されました。\n\n最近は塾などで、海岸に行くことができる時間は減ったものの、ゴミ箱をのぞくのが楽しみだといいます。\n\nこの海岸では去年８月にウミガメの産卵とふ化も確認されていて、蓮音さんはきれいな海岸を守っていこうと、全校児童およそ２４０人に呼びかけました。\n\n（浜田蓮音さん）「緊張したけど達成感がある。３年間やってきてよかったと改めて感じるきっかけになって嬉しい。（あの時のウミガメは）きれいになった砂浜を見て、やってくれたなと思っていると思う」\n\nウミガメとの出会いをきっかけに１人の少年が始めた地元の海岸を守る取り組みは、これからも続きます。\n\n※浜田さんの浜は「まゆはま」\nMBC南日本放送 | 鹿児島,[],[]
トカラ列島近海で地震　奄美市で最大震度１　津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/5e982e06af9aa79a64cd6f0ac6071533e7bcecff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00264956-mbcnewsv-000-2-view.jpg?exp=10800,2024-02-21T18:41:00+09:00,2024-02-21T18:42:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,146,\n２１日午後６時３９分ごろ、最大震度１の地震がありました。\n震源はトカラ列島近海で震源の深さは約６０キロメートル。地震の規模を示すマグニチュードは３．４と推定されています。\n\n各地の震度は、震度１が奄美市です。\nこの地震による津波の心配はありません。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00264956-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/5e982e06af9aa79a64cd6f0ac6071533e7bcecff/images/000']
林業女子にバングラ人…人手確保にあの手この手　鹿児島県新年度予算案（MBC南日本放送）,https://news.yahoo.co.jp/articles/2dd004693b6494cd02e857d79c3239a0bf18e60c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070029-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-21T19:02:00+09:00,2024-02-21T19:03:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1755,\nMBC南日本放送\nシリーズでお伝えしている鹿児島県の新年度予算案。２回目は「人材の確保」です。少子高齢化もあり、様々な業界で人手不足が問題となっていて、県内でも働き手を集めるために多様な人材を受け入れようという試みが動き出します。\n\n（森山リミさん）「やるならラストチャンス。死ぬときに後悔すると思った」\n\n薩摩川内市の森で杉を切るのは、森山リミさん（５４）。子どものころから自然に触れることが好きで、３人の子育てが一段落した去年３月、林業の会社に就職しました。\n\n（森山リミさん）「１日が終わって、きょうもよく頑張ったなというのがすごくある」\n\n県内の林業就業者は２０２１年度で１４０７人と、この２０年間で４割減りました。高齢化も課題となっています。\n\n県は林業の担い手を育てようと、来年４月、林業大学校を開校する予定で、カリキュラムの編成などに９１００万円を計上しました。定員は１５人程度、研修期間は１年で、チェーンソーの操作からシイタケ、タケノコの生産まで幅広い技術を学びます。\n\n森山さんは即戦力を育てるだけでなく、林業の魅力発信にも力を入れてほしいと話します。\n\n（森山リミさん）「ただ木を切るだけでなく、森で散歩したり、マウンテンバイクに乗ったり。森とのいろいろな関わりを提案ができたらいい」\n\n林業は男性の力仕事というイメージが強く、女性の就業者の割合は１割にも届きません。体力の差はあるものの、工夫次第でカバーもできるといいます。\n\n（森山リミさん）「今でも息が切れるが、少しは慣れる」\n\n（同僚の永田大地さん）「体力もいるけれど、そこはみんなでカバーし合えばできる」\n\n１次産業の人手不足を補うために欠かせないのが、作業省力化。ＡＩやドローンなど最新技術の導入を進めるため、県は新年度予算案に「スマート農林水産業」関連事業も盛り込みました。\n\n活路を海外に見出す動きも。\n\n（ジュバイル・サミルさん）「アニメが好き。呪術廻戦、ナルト、ブリーチ、鬼滅の刃、進撃の巨人」\n\n鹿児島市のＩＴ企業で先日、インターンシップを行ったのは、バングラデシュ人のジュバイル・サミルさん（２４）です。２週間近く鹿児島に滞在し、休日には同僚と観光も楽しんだといいます。\n\n（ジュバイル・サミルさん）「初めてそうめん流しを食べた。おいしかった」\n\nＩＴ教育に力を入れるバングラデシュから人材を確保しようと、県は今年度からバングラデシュからのインターンシップを受け入れた企業への助成を始め、来年度も７６４万円を計上しました。\n\n（エンジニア 米倉優介さん）「英語で大丈夫かなとか、日本語で話しても大丈夫なのか」\n\n最初は不安だった「言葉の壁」も、翻訳アプリを駆使して乗り越えたといいます。\n\n（エンジニア 米倉優介さん）「（サミルさんを受け入れるのは）僕はウェルカム。刺激をもらった。英語のモチベーションが上がっているのを感じた」\n\n（ジュバイル・サミルさん）「鹿児島で仕事がしたい。私はその文化が好きで、オフィスはすばらしい労働環境を持っているから」\n\n受け入れ側の企業は人手不足を補うだけでなく、新たなビジネス戦略にもつながると期待しています。\n\n（ＩＴ企業ウィズ 松岡宏満社長）「（バングラデシュ人は）スキルが高くて優秀。バングラデシュで事業所をつくって展開するのも展望としてある」\n\nこのほか、若い世代を県内に取り込もうと、鹿児島出身の大学生に向けた県内企業見学会の開催に３００万円、県内移住の体験ツアーの参加費助成に１７００万円を計上しました。\n\n一連の取り組みのキーワードを問われた塩田知事は。\n「稼ぐ力と人への投資」\n\n県は、鹿児島の将来に向けた“投資”として、人材確保などを促す事業に新年度、３３億円を計上しました。\n\n県内の１５歳から６４歳までの生産年齢人口は、おととしは８０万人余りで、この１０年余りでおよそ２割減少。今後、さらに減る見込みです。\n\nそうした中で多様な人材をどのように受け入れ、育てていくのか？いち早い対応が求められることになります。\nMBC南日本放送 | 鹿児島,[],[]
８０代夫婦が続けてきた自宅いっぱいの「つるし雛」公開　今年で最後に　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/6e36a581bcd049d71af2c5f175ad94a6e76edd8c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070030-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-02-21T19:05:00+09:00,2024-02-21T19:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,854,\nMBC南日本放送\n来月３日のひな祭りを前に飾られている「つるし雛」。鹿児島市の８０代夫婦が手作りして自宅に飾っています。夫婦で長年手作りし、飾ってきたこの飾りも今年が最後となるそうです。\n\n（レポーター）「この部屋にはつるし雛がずらりと飾ってありますが、これだけではありません。この棚の中にもお雛さまがたくさん並んでいます」\n\n１階のリビング。そして、２階の部屋にも。たくさんのつるし雛が飾られているのは、鹿児島市上竜尾町の今村勝之さん（８６）、多賀子さん（８０）夫婦の自宅です。いずれも多賀子さんが手作りしたものです。\n\n（多賀子さん）「（作り始めたのは）１５年ぐらい前。姶良市の先生が展示しているのを見に行って、それからが始まり」\n\n吊り下げ台などの台座は勝之さんが手作り。こだわりもあるそうで・・・\n\n（勝之さん）「定規で測って、人形の大きさから推定して木の幅や高さを計算して作り始めた」\n\n（多賀子さん）「（Ｑ．飾る方もうれしいのでは？）そうですね。ケースや台がないとね」\n\n手作りした飾りはひな飾りだけでなく、四季の花や行事、動物など様々で、小さなものも含めると２０００から３０００個になるのではないかということです。\n\n夫婦はこれまでひな祭りの時期、自宅に飾りつけて友人らに公開し、評判を呼んできました。\n\n（多賀子さん）「自分の身内の人とか友達を連れてきてもいいですか？と言われて、どうぞと言っていた（Ｑ．見てもらえるのはうれしい？）そうですね」\n\n新型コロナの影響で中断し、今年が４年ぶりの展示・公開となりましたが、夫婦ともに８０代となり、今年で最後とすることに決めたといいます。\n\n（多賀子さん）「４年ぐらいしていなかったから（飾りを）出すのも大変だった」\n\n（勝之さん）「これを毎年飾って、これを撤去。しまう場所がない」\n\n長年、夫婦で続けてきた「つるし雛」。来月２０日まで自宅で公開する予定です。\nMBC南日本放送 | 鹿児島,[],[]
屋久島沖オスプレイ墜落「ローターのギアボックスに不具合の可能性」米報道（MBC南日本放送）,https://news.yahoo.co.jp/articles/e38e7ca87591375e843449b5a778f1646e6ca72a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240221-00070021-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-21T16:08:00+09:00,2024-02-21T16:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,396,\nMBC南日本放送\n屋久島沖で墜落したアメリカ軍のオスプレイについて、ローターのギアボックスに不具合が生じた可能性があると、アメリカメディアが報じました。アメリカ軍は「調査中だ」としています。\n\nアメリカのＮＢＣテレビは１９日、アメリカ政府関係者の話として、墜落したオスプレイの調査チームが、「プロペラのローターのギアボックスが原因で事故が起きた可能性を調べている」と報じました。\n\nこの報道を受けて、アメリカ軍は２０日、「機材の不具合が発生したことはわかったが、不具合の原因は特定できておらず、試験と分析が続いている」との声明を出しました。\nどの機材で不具合が起きたかは明らかにしていません。\n\n事故を受けてオスプレイは全世界で飛行停止となっていますが、国防総省の副報道官は「調査は続けられていて現時点で飛行再開とはならない」としています。\nMBC南日本放送 | 鹿児島,[],[]
