headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
日米2拠点でVRゲームを開発する「X8」のThirdverse、約12億円を調達（CNET Japan）,https://news.yahoo.co.jp/articles/eccfa863c8f44bb2d8bfa04cd7e4f313316fa6c1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212189-cnetj-000-1-view.jpg?exp=10800,2023-11-30T18:37:00+09:00,2023-11-30T18:37:00+09:00,CNET Japan,cnetj,CNET Japan,676,\n日米2拠点でVRゲームを開発する「X8」のThirdverse、約12億円を調達の画像\nVRゲーム開発などを手がけるThirdverseは11月30日、第三者割当増資により、総額12億円の資金調達を実施したと発表した。\n\n 調達先は、B Dash Ventures、新生企業投資、NOW、三菱UFJキャピタルおよび、Thirdverse 代表取締役CEOの國光宏尚氏。5月1日に実施した会社分割前の資金調達額と合わせ、累計調達額は57億円になる。\n\n Thirdverseは、日米スタジオの2拠点でVRゲームを企画・開発・運営。11月10日には、Thirdverse USスタジオが開発したVRマルチプレイヒーローシューター「X8」の正式サービスを開始した。「Meta Quest ストア」および「Steamストア」で提供するほか、今後は、PlayStation VR2版とPICO版のサービス開始も予定する。\n\n VRタイトルであるX8は、5月からのMeta Quest App LabおよびSteamでアーリーアクセス期間の実績を含め、18万ダウンロードを達成。これまで、3回のVR eスポーツイベントを開催し、日本と海外でVR eスポーツの土台を築いているという。\n\n 今後は、11月10日に正式リリースしたX8ならびに、現在開発中の「SOUL COVENANT」（2024年初頭のリリース予定）の開発とグローバルマーケティングに注力する。さらに、新作VRゲームプロジェクト発足や開発チームの採用強化を進めていくとしている。
中小企業向けM＆Aサービスのオーナーズ、約11億円の資金調達--AI活用の強化へ（CNET Japan）,https://news.yahoo.co.jp/articles/404bc5f11f9b9c16327eae2866b3ba3238c9b438,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212114-cnetj-000-1-view.jpg?exp=10800,2023-11-30T18:58:00+09:00,2023-11-30T18:58:00+09:00,CNET Japan,cnetj,CNET Japan,977,\n中小企業向けM＆Aサービスのオーナーズ、約11億円の資金調達--AI活用の強化への画像\n中小企業向けに専属M＆Aエージェントサービス「RISONAL M＆A」などを運営するオーナーズは11月29日、シリーズAラウンドにおいて、で約11億円の資金調達を実施したと発表した。\n\n 同ラウンドでは、既存株主であるSMBCベンチャーキャピタルをリード投資家として、DEEPCORE、三菱UFJキャピタルおよび、新規参画となるSBIインベストメント、池森ベンチャーサポート、みずほキャピタルが出資している。\n\n 同社は、専属M＆Aエージェント（FA）サービスを中小企業に広く提供するRISONAL M&Aを運営。RISONALでは、M＆A・WEALTH領域において、業界をリードするプロフェッショナルチームの知識や経験と、人工知能やデータ活用、自動化を組み合わせた次世代のプロフェッショナルサービスを開発しているという。\n\n また、M＆Aの支援のほか、事業売却後のオーナーを対象として資産運用の支援（含む金融商品仲介業）を提供する。今回調達した資金については、LLM（大規模言語モデル）を用いた開発によるAI活用の強化に活用。また、RISONAL M＆Aおよび、RISONAL WEALTH（資産運用）の事業拡大、新規事業参入に充てる予定だという。\n\n 具体的には、独自の専門領域におけるLLMを用いたAI開発を行い、FAサービスの属人性を減らすことで、高品質のサービスをより多くの顧客に提供できる体制を整備。\n\n LLM活用をした機能としては、「面談議事録の自動記録・システムへの自動登録」「買い手候補先のリストアップ」「譲渡スキーム分析・手取り額試算」「提案書ドラフトの自動生成」などを予定。\n\n なお、これらの機能については、現在PoC（概念実証）を進めており、来春の実務導入を目指している。このほか、独自開発のナビゲーションシステムの高度化、顧客との情報授受・整理を効率化するツールの導入、AIを活用した財務データの分析自動化など、AI活用とDXにより既存機能のアップデートを予定する。\n\n さらに同社では、従来コストが見合わないことからFAサービスが提供できなかった中小企業に対して、サービスの提供を目指して行くという。
大和ハウス工業、建設DXへの取り組み語る--「守り」と「攻め」のDXを両立（CNET Japan）,https://news.yahoo.co.jp/articles/c5c1c789372fcb805bbeb084bc3ae7a1e5de5ffa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212129-cnetj-000-1-view.jpg?exp=10800,2023-11-30T10:58:00+09:00,2023-11-30T10:58:00+09:00,CNET Japan,cnetj,CNET Japan,1101,\n大和ハウス工業、建設DXへの取り組み語る--「守り」と「攻め」のDXを両立の画像\n大和ハウス工業は11月29日、「建設DX」をテーマに業界動向勉強会を開催。建設業界や自社における「2024年問題」に対する取り組み、第7次中期経営計画の中での進捗などについて語った。\n\n 大和ハウス工業で上席執行役員技術統括本部副本部長を務める河野宏氏は、まず第7次中期経営計画について説明。経営計画を達成するためにDXは欠かせないとし、顧客体験価値の向上、サプライチェーン進化、技術基盤の強化を行っていく中で、持続的な成長モデルを構築していきたいと語った。また、建設プロセスにおけるデジタル戦略として、同社で2017年から推進しているBIMと、2019年からプロジェクトを開始しているデジタルコンストラクションを関連させながら、取り組みを進化させていくとした。\n\n 河野氏はさらに、今後は生産性向上や業務効率化のような「守りのDX」から、収益力向上や新規事業創出などの「攻めのDX」につなげていき、自社だけでなく業界全体で改革していくことが重要だと語った。\n\n 続いて大和ハウス工業で技術統括本部建設DX推進部次長を務める宮内尊彰氏は、自社におけるDXの具体的な取り組みについて説明。住宅系の取り組みでは、スマートコントロール環境による業務効率化を行っており、総合カメラ管理システム「D-Camera」などによって、建設現場を遠隔で捉えているとした。またデジタルデータ、デジタルエビデンス数で振り返る取り組み効果を公開し、CO2排出量の削減など環境に対する貢献も進めていると説明した。\n\n 建築系の取り組みでは、BIMデータの活用が広がっているとし、同社が展開する「D’s BIM ROOM」（ディーズビムルーム）を紹介。D’s BIM ROOMは、建材情報が紐づいたBIMデータをXRで視覚化し、仮想空間上で原寸大表示しながら建物の仕上がりを確認できる。\n\n また宮内氏は、DX推進に向けた企業風土を醸成していくことも重要だと語る。同社では技術系従業員を対象にオンラインイベントを実施し、日本マイクロソフトで執行役員常務を務める前川敦氏などが発表する中、リアルタイムでコメント入力ができるようにするなど、双方向のコミュニケーションを行ったとした。\n\n 「DXにはテレワークツール導入のような業務効率化を図るものから、データを連携してBIMを活用するものまで幅広い。取り組みの深さや情報活用の幅を今後も広げていき、ステップに合わせて組織体系も構築していく」と、宮内氏は今後の展望を語った。
Spotify、2023年の音楽生活を振り返る「Spotifyまとめ」公開--タイプ診断も（CNET Japan）,https://news.yahoo.co.jp/articles/4615b0358070712babe072ff37c77330facca5d1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212174-cnetj-000-1-view.jpg?exp=10800,2023-11-30T13:21:00+09:00,2023-11-30T13:21:00+09:00,CNET Japan,cnetj,CNET Japan,717,\nSpotify、2023年の音楽生活を振り返る「Spotifyまとめ」公開--タイプ診断もの画像\n一定の条件を満たしたSpotifyユーザーは11月29日から「2023Spotifyまとめ」にアクセスし、さらにソーシャルメディアにこの情報を投稿できるようになった。これは音楽ストリーミングサービスのSpotifyが、各ユーザーの1年間のリスニング習慣をまとめたものだ。例年と同様に、このまとめには最もよく聴いたアーティスト、ジャンル、楽曲、ポッドキャスト、さらには再生時間などが表示されるほか、いくつかの新たな情報も追加されている。2023年版のまとめは、最新バージョンのアプリとspotify.com/wrappedで閲覧可能だ。\n\n 2023年版では、Spotifyの新機能「Me in 2023」によって、12タイプのストリーミング習慣の中から、その人の利用傾向を反映したタイプを診断してくれる。これらのタイプには、「Luminary」（明るく軽快な音楽をよく再生する）、「Alchemist」（ほかのユーザーと比べて多くのプレイリストを作成する）、「Shapeshifter」（アーティストを頻繁に変えて聴く傾向がある）などがある。Spotifyは、2022年にもユーザーをリスニングの特徴に基づいたパーソナリティーに分類していたが、Me in 2023はそれと似た機能のようだ。\n\n また、1年間のストリーミング状況に基づいて、似たテイストを持つ人が多い街を提示する新機能「Sound Town」もある。\n\nこの記事は海外Red Ventures発の記事を朝日インタラクティブが日本向けに編集したものです。
プラグ、ネーミングやキャッチコピーをAIが数秒で作成--「パッケージデザインAI」に新機能（CNET Japan）,https://news.yahoo.co.jp/articles/18de171f81d67338abf3e811a949381a19f0147d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212172-cnetj-000-1-view.jpg?exp=10800,2023-11-30T12:48:00+09:00,2023-11-30T12:48:00+09:00,CNET Japan,cnetj,CNET Japan,420,\nプラグ、ネーミングやキャッチコピーをAIが数秒で作成--「パッケージデザインAI」に新機能の画像\nプラグは11月30日、消費者の商品デザインの評価を算出する「パッケージデザインAI」に、ネーミング・キャッチコピーを生成する機能を追加したと発表した。東京大学 山崎研究室と共同研究した評価AIとの併用で、消費者の評価も瞬時にできるという。\n\n ネーミング・キャッチコピー生成機能は、商品のカテゴリー、ターゲット、特徴などを文章で入力すると、AIが数秒で作り出すというもの。生成したネーミング・キャッチコピーを「評価AI」に入力すれば、消費者がどの位好むか、どのようなイメージを持つかなどを確認できる。\n\n 料金は「1日3万円」と「1か月使い放題10万円（5アカウント）」コースを用意。ネーミングは一度に30、50、100案、キャッチコピーは10、20、30案を作成可能だ。初年度に100社の導入を目指すとしている。\n\nプラグ
通話中にスナック菓子を食べる音を消せるアプリ「Doritos Silent」が登場（CNET Japan）,https://news.yahoo.co.jp/articles/be56198791697a923fca10276c29727998c6063b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212143-cnetj-000-1-view.jpg?exp=10800,2023-11-30T10:56:00+09:00,2023-11-30T10:56:00+09:00,CNET Japan,cnetj,CNET Japan,898,\n通話中にスナック菓子を食べる音を消せるアプリ「Doritos Silent」が登場の画像\n仕事の電話中にこっそりおやつを食べたくなったが、食べる音が相手に聞こえてしまうのははばかられるという人に朗報だ。 \n\n スナック菓子「ドリトス」を手がけるFrito-Layは「Doritos Silent」と呼ばれる、人工知能（AI）搭載の咀嚼（そしゃく）音除去アプリを公開した。\n\n 同社によると、まず約500人を対象として、マイクに向かって10回ずつドリトスを食べてもらったという。この5000回分のそしゃく音を識別し、確実に分離できるようAIをトレーニングしたうえで、それらの音を人の話し声と混ぜ、話しながら食べた場合にどのように聞こえるかをシミュレーションした。\n\n このアプリは、ヘッドセットを介して何時間も通信する可能性のあるゲーマーを対象としているが、「Zoom」「Google Voice」「Discord」など、マイクを利用するあらゆるサービスで利用できるという。アプリがインストールされると、基本的にデフォルトのマイクに代わって機能する。この機能を利用するには、使用しているプログラムの設定からマイクを「DoritosSilent」に切り替える必要がある。\n\n また、このアプリはドリトスに限らず、ポテトチップのようなスナック菓子でも機能するという。\n\n 筆者も実際に試してみた。アプリをインストールしてからGoogle Voiceを起動し、通話を開始したところ、通常の状態だと確かにそしゃく音がすぐに煩わしくなったが、このアプリに切り替えると音が消えた。いくつかのスナック菓子を試したが、どれも通話中、そしゃく音が聞こえることはなかった。\n\n 残念ながらこのアプリは現在「Windows」PCでしか利用できない。また、Zoomでのビデオ通話中に食べ物を口に詰め込んでいる様子を隠してくれるAIはまだないが、その場合はカメラをオフにすればいいだろう。\n\nこの記事は海外Red Ventures発の記事を朝日インタラクティブが日本向けに編集したものです。
「YouTube」で直接プレイできるゲーム、Premium会員に提供開始--3月まで（CNET Japan）,https://news.yahoo.co.jp/articles/ef830650785db57d73498d27969963e07bbebd50,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212153-cnetj-000-1-view.jpg?exp=10800,2023-11-30T10:40:00+09:00,2023-11-30T10:40:00+09:00,CNET Japan,cnetj,CNET Japan,825,\n「YouTube」で直接プレイできるゲーム、Premium会員に提供開始--3月までの画像\nYouTubeは有料の「YouTube Premium」会員を対象に、YouTubeで直接プレイ可能な35本以上のミニゲームの提供を開始した。ダウンロードするのではなく、「Android」版、「iOS」版、デスクトップ版のYouTubeでプレイできる。\n\n この機能は9月から一部ユーザーに試験提供されていたもので、YouTubeのホームページにある新しいセクション「Playables」または「Explore」メニュー内のリンクから利用できる。2024年3月28日までの期間限定だ。\n\n 「popular」（人気作）セクションをざっと見てみると、「Farm Land」「Scooter Xtreme」「Merge Pirates」「Words of Wonder」「Color Burst」「Stack Bounce」「State.io」「8 Ball Billiards」「Magic Cat Academy」「Rainy Boba Cafe」「Brain Out」といったゲームが並んでいた。ただし、これらの作品のほとんどは新作ではなく、他のゲームストアでも提供されているものだ。\n\n Googleの無料HTMLゲームサイト「GameSnacks」にアクセスしたことがある人なら、これらの作品の多くになじみがあるだろう。一方、YouTube限定と思われる作品も少数ある。\n\n ゲーム関連のコンテンツは、YouTubeの人気を高める一因となっているが、今回の新機能は必ずしもそうしたオーディエンス向けではなく、有料会員向けの追加特典にすぎない。この8月にはNetflixが、ゲームの対象デバイスを携帯端末以外にも拡大していた。\n\nこの記事は海外Red Ventures発の記事を朝日インタラクティブが日本向けに編集したものです。
セールスイネーブルメントクラウドのナレッジワーク、45億円調達--2024年に新サービス（CNET Japan）,https://news.yahoo.co.jp/articles/5a409cfb9d7eb7a5a2edd6cc89310f544be70173,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212127-cnetj-000-1-view.jpg?exp=10800,2023-11-30T08:00:00+09:00,2023-11-30T08:00:00+09:00,CNET Japan,cnetj,CNET Japan,588,\nセールスイネーブルメントクラウドのナレッジワーク、45億円調達--2024年に新サービスの画像\nセールスイネーブルメントクラウド「ナレッジワーク」を提供するナレッジワークは11月29日、シリーズBラウンドで45億円の資金調達を実施したと発表した。\n\n World Innovation Lab（WiL）とグロービス・キャピタル・パートナーズ（GCP）をリード投資家とする既存投資家および、フォースタートアップスキャピタルなどからの調達となる。\n\n これまでの累計の調達金額は、61億2000万円。また、社外取締役として、WiLパートナーの難波俊充氏、Fond創業者の福山太郎氏が就く。\n\n ナレッジワークは2022年4月、セールスイネーブルメントクラウドを正式リリース。わずか1年半で数多くの大手企業が導入したという。\n\n 今後は、あらゆる仕事のイネーブルメントの実現に向けて、マルチプロダクト戦略に取り組む。今回調達した資金も、マルチプロダクト展開に充てる。\n\n 具体的には、現在提供するセールス職向けナレッジ領域のプロダクトに加え、3年で10個の新プロダクトをリリースしていく予定。直近では、2024年4月にセールス職向けワーク領域の新プロダクト、2024年7月にセールス職向けラーニング領域の新プロダクトをリリースする。\n\nニュースリリース
日本初のApple Store誕生から20周年--改装中のApple銀座、2025年後半までに完成へ（CNET Japan）,https://news.yahoo.co.jp/articles/142baf37a41b76a3b28a66cecbd173cdb33a28c9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212141-cnetj-000-1-view.jpg?exp=10800,2023-11-30T08:44:00+09:00,2023-11-30T08:44:00+09:00,CNET Japan,cnetj,CNET Japan,1183,\n日本初のApple Store誕生から20周年--改装中のApple銀座、2025年後半までに完成への画像\n2003年11月30日に日本初のApple Storeが東京・銀座にオープンしてから、20周年を迎えた。\n\n 日本は、米国以外で初めてApple Storeを展開した国として知られる。一号店となるApple銀座は、改装のため2022年より銀座8丁目に移転しているが、もとの銀座3丁目の店舗（サヱグサビル本館）は2025年後半までに完成を目指していることを明らかにした。\n\n Apple 直営店およびオンラインストア担当 シニアバイスプレジデントのディアドラ・オブライエン氏は「Apple Storeには、Appleの最高のものが集まっている。この節目を迎えるにあたり、日本への貢献を一層強化すべく、2025年後半までに銀座の新しいお店でお客様をお迎えできるよう、完成をめざしている。店舗でもオンラインでも、お客様に比類ない選択肢、さまざまな購入方法、そして情熱を追求し、目標を達成し、最高のアイデアを実現するために必要なあらゆるサポートをお届けするために、私たちは常にイノベーティブであり続けている」とコメントしている。\n\n 2003年にApple銀座がオープンして以来、Appleのストアチームは日本全体で1670名にまで拡大したという。\n\n 銀座をはじめとするApple Storeの直営店は、国内に10店舗ある。2030年までにすべての製品をカーボンニュートラルにする計画「Apple 2030」を掲げており、12月には、大阪にあるApple心斎橋の改装の第一段階を公開予定だ。Apple心斎橋は、100％自社で作り出した再生可能エネルギーによってまかなわれており、今後数年間で日本の店舗をさらに進化させる予定という。\n\n アップルは、過去20年以上にわたり、少人数のイベントやトークショー、日本や世界各地のカルチャーを象徴する人々によるディスカッションを主催しており、現在も「Today at Apple」として継続。\n\n プログラムを通じて、写真撮影のヒントやスモールビジネスへのサポート、学生や教育者へのアドバイス、身体機能に制限がある方や、視覚、聴覚に障がいのある方を支援するテクノロジーや機能に注目するセッションを提供している。\n\n さらにAppleのテクノロジーを使って創造力を高める日本のアーティストのライブパフォーマンスといった無料のイベントやワークショップも行われており、今回は日本のApple Storeの20周年を記念して、プロデューサーでありトラックメーカーであるSTUTSが、スペシャルゲストとともに11月30日午後7時からApple表参道で公演を行なう予定だ。なお、すでに満席となっている。
「Chrome」、緊急セキュリティアップデートをリリース--ゼロデイ脆弱性に対処（CNET Japan）,https://news.yahoo.co.jp/articles/d117eb65de9e118acc2f94c6dfc1d211d0e02d06,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-35212140-cnetj-000-2-view.jpg?exp=10800,2023-11-30T08:49:00+09:00,2023-11-30T09:32:02+09:00,CNET Japan,cnetj,CNET Japan,569,\n「Chrome」、緊急セキュリティアップデートをリリース--ゼロデイ脆弱性に対処の画像\nGoogleは米国時間11月28日、「Chrome」の新しい緊急セキュリティアップデートをリリースした。\n\n ゼロデイ脆弱性に対処する今回のアップデートは、デスクトップ版Stableチャンネルであるバージョン119.0.6045.199/.200（「Windows」向け）、バージョン119.0.6045.199（「Mac」および「Linux」向け）に適用されている。今後数日から数週間以内にすべてのユーザーに展開される見込みだ。\n\n 「CVE-2023-6345」として追跡されているこのゼロデイ脆弱性は、GoogleのThreat Analysis Group（TAG）によって24日に報告されたもので、オープンソースの2次元コンピュータグラフィックスライブラリーである「Skia」内における整数オーバーフローに起因するものだという。\n\n 最近の他のゼロデイ脆弱性と同様に、Googleは、大半のユーザーがこのアップデートを適用するまで問題の詳細を明らかにしないとしている。\n なお、今回のセキュリティアップデートには、他にも6つの脆弱性に対する修正が含まれており、いずれも深刻度が高いとされる。\n\nGoogleの公式発表
