headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
66歳男性運転のバイクが電柱に衝突、心破裂で死亡　阿久根（南日本新聞）,https://news.yahoo.co.jp/articles/929f0ea90ff68cfe59f16991bc806c57b7eebf28,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000015-minami-000-1-view.jpg?exp=10800,2023-11-30T20:48:22+09:00,2023-11-30T20:48:22+09:00,南日本新聞,minami,南日本新聞,195,\n（写真：南日本新聞社）\n３０日午後１時２０分ごろ、鹿児島県阿久根市赤瀬川の県道で、同市脇本、会社員男性（６６）のオートバイが、進行方向左側の電柱に衝突した。男性は搬送先の病院で間もなく死亡した。死因は心破裂。\n【写真】〈関連〉事故のあった阿久根市の位置を地図で確認する\n阿久根署によると、現場は片側１車線の直線。目撃者が通報した。同署が原因を調べている。\n南日本新聞 | 鹿児島
深夜の飲食店…64歳男が60代男性の顔や頭を殴り4週間のけが負わす　傷害容疑で逮捕、一部否認　徳之島署（南日本新聞）,https://news.yahoo.co.jp/articles/12b48bd0609c11fe5bed937f836b92cf1bf4177d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000016-minami-000-1-view.jpg?exp=10800,2023-11-30T20:55:22+09:00,2023-11-30T20:55:22+09:00,南日本新聞,minami,南日本新聞,204,\n（写真：南日本新聞社）\n鹿児島県警徳之島署は３０日、傷害の疑いで、伊仙町目手久、農業の男（６４）を逮捕した。\n【写真】〈関連〉伊仙町の位置を地図で確認する\n逮捕容疑は１４日午前０時２５分ごろ、大島郡内の飲食店で、同郡の６０代漁師男性の顔面や頭部を拳で殴るなどの暴行を加え、約４週間のけがを負わせた疑い。同署によると、２人は知人。男性が１１０番した。容疑を一部否認している。\n南日本新聞 | 鹿児島
強制性交罪で起訴 28歳警官を懲戒免職　少女とホテルで…「13歳未満とは知らなかった」　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/47b15febf9bd4a018ca566ec9bc08577efc591c4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000017-minami-000-2-view.jpg?exp=10800,2023-11-30T22:25:22+09:00,2023-12-01T00:35:04+09:00,南日本新聞,minami,南日本新聞,447,\n（写真：南日本新聞社）\n鹿児島県警は３０日、強制性交の罪で起訴された県警本部留置管理課巡査長の被告の男（２８）＝鹿児島市＝を懲戒免職処分にした。\n【写真】〈関連〉１１月２０日、送検される元巡査長＝鹿児島中央署\n上別府高宏首席監察官は「信頼回復に全力を尽くす」とコメント。九万田信行監察課長は「処分者はＳＮＳ（交流サイト）の安全利用など治安課題の当事者意識が欠如していた。このような事案が起こりにくい環境を整える」とした。\n\n 起訴状などによると、勤務外の２月２５日、１３歳未満と知りながら、ＳＮＳで知り合った県内の少女と鹿児島市のホテルで性交したとされる。当時は鹿児島西署留置管理課所属で少女に警察官と伝えていた。１０月１９日に逮捕され「性交したが、１３歳未満と知らなかった」と容疑を否認していた。\n\n 監察課によると、調査では警察官の立場を利用し性交に及んだ事実は確認されていない。被告の男は「県民や組織に迷惑をかけ申し訳ない」と話しているという。\n南日本新聞 | 鹿児島
”焼酎神社”に放火、社務所全焼　さい銭5万5000円盗も…容疑の36歳男を再逮捕　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/d1318e6374d0ce919a456fd25f6a559b067014f0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000014-minami-000-1-view.jpg?exp=10800,2023-11-30T20:45:22+09:00,2023-11-30T20:45:22+09:00,南日本新聞,minami,南日本新聞,490,\n２０２２年１１月２３日午前６時ごろ、炎を上げて燃える郡山八幡神社の社務所＝伊佐市大口大田\n鹿児島県警捜査１課と伊佐湧水署は１１月３０日、建造物侵入と非現住建造物等放火の疑いで宮崎県都城市早水町、アルバイト従業員の男（３６）を再逮捕した。\n【関連】さい銭箱から現金5万5000円盗む 36歳アルバイト男を容疑で逮捕 鹿児島県警\n逮捕容疑は２０２２年１１月２３日午前５時ごろから５時半ごろまでの間、伊佐市大口大田の郡山八幡神社に侵入して火をつけ、木造平屋の社務所約１２８平方メートルを全焼させた疑い。同署は「捜査に支障がある」として認否を明らかにしていない。\n\n 男は同神社に侵入し、さい銭箱から現金約５万５０００円を盗んだ建造物侵入と窃盗の容疑で２３年１０月３１日に逮捕され、起訴勾留中。\n\n 社務所の全焼後、氏子らはクラウドファンディングで再建資金を募り、約６００万円が集まった。総工費２６５０万円をかけ、新しい社務所が今年１０月に完成した。国内最古とされる「焼酎」の文字が書かれた木片が見つかった本殿は国の重要文化財に指定されている。\n南日本新聞 | 鹿児島
オスプレイ墜落の衝撃 生々しく　ひしゃげたブレードやドア?…原形とどめず　機体の残骸か、地元漁師ら漂流物陸揚げ　屋久島沖（南日本新聞）,https://news.yahoo.co.jp/articles/3170ddb09fffe7ec8e808c7156b2c1ac86d19ddd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000013-minami-000-5-view.jpg?exp=10800,2023-11-30T18:35:22+09:00,2023-12-01T09:18:24+09:00,南日本新聞,minami,南日本新聞,395,\n地元漁師らの捜索によって引き揚げられた漂流物＝屋久島町安房の安房港\n鹿児島県屋久島沖に米軍横田基地（東京都）所属のCV22輸送機オスプレイの墜落から一夜明けた３０日、地元漁師の捜索活動で多数の漂流物が見つかり、屋久島町安房の安房港に引き揚げられた。\n【写真】【別カット】海上捜索で回収された漂流物＝３０日、屋久島町の安房港\nオスプレイ特有のブレード（羽）やドア、金属製のいすとみられる機体の残骸が３０点以上見つかった。いずれも強い力によって引き裂かれたり、ひしゃげたりして原形をとどめていない。一つ一つが衝撃の大きさを物語っていた。\n\n スポーツシューズやバッグもあった。リュックサックのポケットからは、ＵＳＢケーブル、テーピング、ペンなどが確認できた。どれも搭乗員の私物だったのだろう。漁師たちは、やるせない思いをにじませながら、丁寧に陸揚げした。\n南日本新聞 | 鹿児島
鹿児島県全域にインフルエンザ警報発令　2019年1月以来、1医療機関当たり30人超す（南日本新聞）,https://news.yahoo.co.jp/articles/9228133172b60a2fecfe3b297c38156c4592676a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000012-minami-000-1-view.jpg?exp=10800,2023-11-30T17:35:21+09:00,2023-11-30T17:35:21+09:00,南日本新聞,minami,南日本新聞,533,\n（写真：南日本新聞社）\n鹿児島県は３０日、県内全域にインフルエンザ流行発生警報を発令した。２０～２６日の県内８９定点医療機関当たりの患者数は３４．２４人で、警報の基準となる３０人を超えた。警報発令は２０１９年１月以来。\nインフル感染者5週連続増、県全域に注意報継続 前週から726人増え2352人 警報発令中のプール熱も増加、新型コロナは41人減 鹿児島県内\n県健康増進課によると、報告数は３０４７人で、前週から７０１人増えた。定点当たりの患者報告数を保健所別で見ると、川薩の６２．４３人が最多。出水５６．６人、姶良５３人、鹿屋４４．７５人、鹿児島市３９．６８人が警報レベルを超えた。\n\n 注意報の基準となる定点当たり１０人を超えたのは指宿１４．６７人、伊集院１７．２人、大口１６．５人、志布志２１．２人、西之表２４人、屋久島１２．７５人、名瀬１０．５人、徳之島１２．８人。\n\n 県は１０月２６日に注意報を発令。全国で警報レベルを超える地域が増えており、県内の感染者は６週連続で増えている。同課の黒崎光生課長は「全国では高齢者の感染が増えつつあり、注視する。ワクチン接種や基本的な感染対策に取り組んでほしい」と呼びかけた。\n南日本新聞 | 鹿児島
J3 泣いても笑っても12月2日最終戦 「J2切符」はどちらに　2位鹿児島ユナイテッドFC、3位富山の昇格パターンをシミュレーション（南日本新聞）,https://news.yahoo.co.jp/articles/be573c39adf31509d6c886d9f197007b4a0bcbbb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000011-minami-000-1-view.jpg?exp=10800,2023-11-30T17:03:21+09:00,2023-11-30T17:03:21+09:00,南日本新聞,minami,南日本新聞,711,\nサッカーJ3リーグ勝敗表\nサッカーＪ３は１２月２日、全国各地で今季最終戦を迎える。鹿児島ユナイテッドＦＣ（鹿児島Ｕ）は、鳥取県のＡｘｉｓバードスタジアムで５位鳥取と対戦。“Ｊ２切符”の残り１枚を３位富山と争う中、勝利を挙げて５年ぶりの昇格を達成したい。\n【写真】【図解】最終節12月2日の勝敗・分けパターンと鹿児島ユナイテッド、富山の昇格条件\n勝ち点は鹿児島Ｕが６１、富山が５９。鹿児島Ｕは「２」上回っているため、勝てば無条件でＪ２復帰が決まる。鹿児島Ｕが負けた場合、富山は１１位ＹＳ横浜に勝てば昇格する。\n\n 富山が勝っても、鹿児島Ｕは引き分ければ可能性は残る。引き分けた場合は勝ち点は６２となる。両チームが勝ち点で並ぶため、得失点差で順位が決まる。現時点で鹿児島Ｕの得失点差は１７。富山は１０となっており、大量点を狙う必要がある。得失点差も同じだった場合は、総得点数（前節を終え鹿児島Ｕ、富山ともに５７）の比較となる。\n\n 鹿児島Ｕは前節、沼津に２－０と快勝した。大島康明監督は「（昇格が懸かったホーム最終戦の）プレッシャーを乗り越えた。次節も本来の姿を出せるのではないか」と自信を口にする。\n\n 対戦する鳥取は２連勝中と勢いがある。鹿児島Ｕは昨季敵地で０－６と大敗し、今年６月は０－１で敗れている。鹿児島Ｕから期限付きで移籍しているＭＦ牛之浜は今季９ゴールと好調だが、契約により鹿児島Ｕとの試合に出場することはできない。\n現時点で昇格に近い位置にいるのは鹿児島Ｕだが、選手たちは最後まで気を引き締める。五領は「これまで積み上げてきたものを１００％出す」と力を込める。\n南日本新聞 | 鹿児島
米オスプレイ「墜落」と認定　死亡男性は乗員 国内初の犠牲、飛行停止を要請　残る7人捜索、地元・屋久島の漁船も（南日本新聞）,https://news.yahoo.co.jp/articles/a254a7194bc6e1ad99372219696fb6f6e6ebb3b5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000010-minami-000-2-view.jpg?exp=10800,2023-11-30T13:15:24+09:00,2023-11-30T13:25:21+09:00,南日本新聞,minami,南日本新聞,623,\n捜索要請を受け、続々と出港する漁船＝３０日午前１０時４５分ごろ、屋久島町の安房港\n防衛省は３０日、米空軍の輸送機ＣＶ２２オスプレイが屋久島沖に不時着水したとしていた事故について、「墜落」と認定した。付近の海域で発見され、死亡が確認された男性は搭乗員の１人だったことも判明。国内で起きたオスプレイ事故での死者は初めて。第１０管区海上保安本部は６人としていた搭乗員は８人だったと訂正し、自衛隊、地元漁協とともに、残る７人の救助、捜索を続けている。\n【関連】「落ちる、落ちる」 米軍オスプレイ墜落、複数の漁師が目撃 陸地から1キロの海に残骸散乱\n鹿児島県は九州防衛局に対し、事故の原因究明と再発防止策が講じられるまでの飛行停止を米側へ要請するよう申し入れた。防衛省は同日、松本尚防衛政務官を鹿児島に派遣した。\n\n 事故現場に近い屋久島町安房港の屋久島漁協では、午前６時ごろから漁師が集まり始めた。「いつ救助要請が出てもいいように」と漁師の１人。重要な発見があった場合に備え、目印になるブイを手作りする漁師もいた。\n\n 慌ただしさが増したのは午前１０時半。町からの捜索要請を受け、港に待機していた４隻が続々と出港。羽生隆行組合長は「こんな大きな事故は初めて。米軍機ということもあり、どう対応すればいいのか難しいところだ」と漏らした。\n\n 午前１０時４０分ごろ、米軍機とみられる輸送機が屋久島空港に着陸した。\n南日本新聞 | 鹿児島
博多芸妓「こ蝶」さん、20歳の一本立ち　鹿児島の高校卒業2日後に飛び込んだ道…小学生の頃の夢 12月「博多をどり」の舞台へ（南日本新聞）,https://news.yahoo.co.jp/articles/2fcda61faa084f4af97c403ec36ed3268aa1eecd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000009-minami-000-1-view.jpg?exp=10800,2023-11-30T11:55:28+09:00,2023-11-30T11:55:28+09:00,南日本新聞,minami,南日本新聞,853,\n黒紋付の着物に博多帯を締め、博多芸妓の正装をするこ蝶さん\n鹿児島県霧島市牧園出身の２０歳の女性が、福岡の博多券番で芸妓（げいぎ）として一本立ちした。昨年３月の高校卒業後、半玉（見習い）として修業してきた「こ蝶」こと堀之内麻衣さん。「博多一の芸妓さんと言ってもらえるよう精進したい」と笑顔を見せ、初の大舞台となる１２月初めの博多座「博多をどり」に向け稽古に励んでいる。\n【写真】「博多をどり」本番に向け稽古に励むこ蝶さん＝福岡市の博多伝統芸能館\n日本舞踊の師匠だった祖母と母の影響で、４歳で舞台に立つ。高千穂小学校４年から宮崎拠点の大衆演劇一座に参加していたが、新型コロナウイルス禍で鹿児島城西高校２年の時に退団。「踊りに関わる仕事がしたい」と思いながら、進路が描けず悩んでいた。\n\n 導いたのは同郷で祖母と親交があった芸妓こまこさん。芸妓を取り次ぐ博多券番代表を務める。２０２２年の正月に声をかけられ、小学生の頃に見た「博多をどり」の感動を思い出した。両親も応援してくれ、高校の卒業式の２日後に券番入りした。\n\n 芸の披露だけでなく、宴席やイベントでのもてなしも大切な仕事だ。座敷の上座も下座も分からない状態から、先輩芸妓に助けられながら振る舞いを見て学んだ。頑張りが認められ、２０歳になった翌月の今年１０月、単独の座敷出演や指名が受けられる芸妓として独り立ちした。\n\n 券番に所属する１５人の中では最年少で、「芸どころ博多」の伝統の担い手としても期待を集める。「もっと博多芸妓を知ってほしい。この世界に魅力を感じる人が増えてくれたら」と願う。最近は海外客との交流も増える。「いろんな人に喜んでもらえるのがうれしい。尊敬できるお姉さんたちに囲まれ、人として成長できる」とやりがいを語る。\n博多ならではの歌や踊りを披露する「博多をどり」は１２月２、３日、４年ぶりに開かれる。かつて憧れた大舞台に、「今まで支えてくれた人たちに感謝しながら踊りたい」と意気込む。\n南日本新聞 | 鹿児島
24時間運航の桜島フェリー運賃上げ案「妥当」　大人 50円増の250円、普通車400円増2350円　鹿児島市、2024年7月予定（南日本新聞）,https://news.yahoo.co.jp/articles/beac3e41ba0134eb5a4b89c17d61f4040238ceb1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000008-minami-000-2-view.jpg?exp=10800,2023-11-30T11:52:22+09:00,2023-11-30T14:56:32+09:00,南日本新聞,minami,南日本新聞,578,\n桜島フェリーの値上げを「妥当」と判断した市船舶事業経営審議会＝鹿児島市の桜島港フェリーターミナル\n鹿児島市船舶事業経営審議会が２９日、同市であり、市が２０２４年７月に予定する桜島フェリーの運賃値上げ案を「妥当」と判断した。桜島住民に配慮し、軽自動車の４０枚つづり回数券（車長３～４メートル未満）の１枚当たりの金額を当初案の１１９０円から１１４８円に引き下げた。１２月２６日の次回会合で内容をまとめ、来年１月に市船舶局に答申する。\n【写真】来年７月に値上げが予定されている桜島フェリー（資料写真）\n市の値上げ案では、大人料金は５０円増の２５０円、普通乗用車（車長４～５メートル未満）は４００円増の２３５０円となる。市は運賃改定の条例改正案を来年の市議会３月定例会に提出する予定。\n\n 軽自動車の回数券の値下げは、桜島住民への説明会などで要望があったことから市が検討し、今回新たに提案した。桜島住民の１世帯当たりの軽自動車保有台数は１．０６台で、市全域の０．６３台より多い。\n\n 審議会では、前回会合で委員から質問のあった午前０時から同４時台の深夜運航の状況について、２２年度の収支は約８８００万円の赤字との説明もあった。答申には、深夜運航の今後のあり方について市船舶局に検討を要望する内容を盛り込むことも確認した。\n南日本新聞 | 鹿児島
屋久島沖・米軍CV22オスプレイ墜落　昨年8月、事故相次ぎ全機飛行停止　奄美空港 緊急着陸後に1カ月駐機 専門家「深刻なトラブル疑い」（南日本新聞）,https://news.yahoo.co.jp/articles/744cb1b44d6fb014a570eccd07648796d9d04546,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00000007-minami-000-1-view.jpg?exp=10800,2023-11-30T11:05:27+09:00,2023-11-30T11:05:27+09:00,南日本新聞,minami,南日本新聞,895,\n墜落したとみられる機体と同型の米空軍ＣＶ２２輸送機オスプレイ＝２０１８年６月、奄美市の奄美空港\n鹿児島県屋久島沖で29日墜落したCV22輸送機オスプレイを巡っては、米空軍が２０２２年８月、クラッチの不具合による事故が相次いでいるとして全機を一時飛行停止としていた。鹿児島県内の空港への緊急着陸も頻発している。死亡した１人が搭乗員と確認されれば、オスプレイで国内初の死亡事故となる。\n【写真】【11月29日オスプレイ墜落ドキュメント】14時40分「機影がレーダーから消える」以降、事故をめぐる動きを追う\n鹿児島県内では米軍普天間飛行場（沖縄県）所属のオスプレイが緊急着陸するケースが目立つ。今回事故を起こしたＣＶも１８年に奄美空港に緊急着陸し、駐機は異例の１カ月に。軍事評論家は「深刻なトラブルがあったことは疑いようがない」と指摘した。\n\n 今年９、１０月は急増。９月１４～２１日にかけ、整備用機材の輸送などを含めて奄美空港に着陸したのは延べ９回に上った。１０月１９日も天城町の徳之島空港に２機が着陸。他に新石垣空港（沖縄県）や大分空港にも降り立った。\n\n 鹿児島県の民間空港には２２年、オスプレイを含む米軍機が１１１回着陸した。過去１０年間で最も多く、都道府県別で２年連続最多だった。内訳は例年多い奄美は５０回（前年比７回増）、種子島は４９回（同２１回増）、与論は１２回（同１２回増）。\n\n オスプレイの事故は多発している。今年８月にはオーストラリア北部で墜落し、兵士が犠牲となった。２２年にも米カリフォルニア州の砂漠で墜落事故が起きた。国内では１６年１２月、沖縄県名護市沖に不時着して大破、搭乗員２人が負傷した。\n米軍は空軍のＣＶのほか、ＭＶ（海兵隊）、ＣＶＭ（海軍）の３種を配備。主に輸送機として使用する海兵隊仕様のＭＶに比べ、ＣＶは夜間や低空飛行など過酷な条件下で運用する例が多い。\n\n 日本は米国以外で初の運用国となり、陸自がＶ２２を１７機導入。離島防衛を担う水陸機動団（長崎県）との一体運用で佐賀空港が配備予定地となっている。\n南日本新聞 | 鹿児島
