headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
アメリカ軍輸送機　屋久島空港に到着　ボンベやゴムボートも（MBC南日本放送）,https://news.yahoo.co.jp/articles/363971cb7cbfdbe03c81ff597bd38b5945c64cb9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068722-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T19:16:00+09:00,2023-11-30T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,233,\nMBC南日本放送\n３０日午前１１時ごろ、屋久島空港にはアメリカ軍の輸送機１機が到着しました。\n輸送機の後ろのハッチからは、アメリカ軍関係者十数人がたくさんのボンベを下ろし運んでいました。\n\n輸送機から下ろした車両の荷台には、エンジンを装備した折り畳んだゴムボートが確認できます。ウェットスーツを身に着けた関係者もいました。\n\nアメリカ軍がオスプレイが墜落した周辺の海域に潜って捜索活動を行う準備をしているとみられます。\nMBC南日本放送 | 鹿児島
観光庁の事業経費　約２０００万円をだまし取った疑い　法人代表の男（５４）ら２人を逮捕　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/0b30c97d380878ab05ed8f7fe63004cf168c8530,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068730-mbcnewsv-000-4-view.jpg?exp=10800,2023-11-30T20:49:00+09:00,2023-11-30T20:52:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,352,\n観光庁にうその請求書などを提出し、およそ２０００万円をだまし取った疑いで、曽於市の法人代表の男（５４）と、大阪府の男（５６）が、逮捕されました。\n\n詐欺の疑いで逮捕されたのは、曽於市末吉町の法人代表・佐々木智康容疑者（５４）と、大阪府の生活支援員・古里充容疑者（５６）です。\n\n曽於警察署によりますと、２人は共謀しておととし３月から４月の間、観光庁の「誘客多角化などのための魅力的な滞在コンテンツ造成」事業の経費としてうその請求書などを提出し、観光庁に現金およそ１８９８万円を振り込ませだまし取った疑いです。\n\n\n２人は知人だということですが、認否などについて、警察は「捜査に支障がある」として明らかにしていません。警察が詳しい動機などを捜査しています。\nMBC南日本放送 | 鹿児島
大麻など1983万円相当押収 営利目的所持で姶良市の男女を逮捕　ＳＮＳで全国に大麻密売か　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/e998c76a6eb312803420a0dbc37375e5e65fdd57,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068729-mbcnewsv-000-3-view.jpg?exp=10800,2023-11-30T20:36:00+09:00,2023-11-30T20:38:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,679,\n密売目的で大麻を所持していたなどとして、姶良市の２５歳の男女が大麻取締法違反の疑いで逮捕されました。県警はこの２人から譲り受けたとして、関東や関西であわせて６人を逮捕していて、２人が全国に規制薬物を密売していたとみて捜査を進めています。\n\n大麻取締法違反の疑いで逮捕されたのは、姶良市東餅田の無職・有村仁容疑者（２５）と、同居する交際相手で無職・鈴木二葉容疑者（２５）です。鹿児島西警察署によりますと、２人は共謀し今年６月２７日、大麻０．５グラムを所持していたとして、自宅で現行犯逮捕。さらにその後、軽乗用車の中や霧島市のアパートに大麻を所持していたとして２回逮捕されました。\n\n県警は一連の捜査で大麻や大麻リキッド、合成麻薬など、合わせておよそ１９８３万円相当を押収したということです。\n密売目的の所持について、有村容疑者は一部否認、鈴木容疑者は容疑を認めています。\n\n\n一方、有村容疑者らから大麻のようなものを譲り受けたなどとして、県警は神戸市の塗装工の男（１９）と無職の男（２５）、横浜市の会社員で男（２３）の３人を麻薬特例法違反の疑いで８月から１１月にかけて逮捕。今年６月から共同で捜査していた福島県警も千葉県と東京都で男３人を逮捕しています。\n\n鹿児島県警は有村容疑者らが去年からＳＮＳで知り合った人に現金を振り込ませたうえで規制薬物を発送するなどして、少なくとも数百万円の利益を得ていたとみています。\n\n県警は今後、有村容疑者らがどこから規制薬物を仕入れたかや、販売先を調べる方針です。\nMBC南日本放送 | 鹿児島
奄美大島近海で地震 瀬戸内町などで最大震度２ 推定M3.7 津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/bf77edff4ee33d30005f9b950905077fca88142f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00272689-mbcnewsv-000-3-view.jpg?exp=10800,2023-11-30T20:38:00+09:00,2023-11-30T20:40:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,160,\n午後8時35分ごろ最大震度２の地震がありました。\n震源は奄美大島近海で震源の深さは10キロメートル。\n地震の規模を示すマグニチュードは3.7と推定されています。\nこの地震による津波の心配はありません。\n\n各地の震度は、\n震度２が、瀬戸内町\n震度１が、天城町、伊仙町です。\nMBC南日本放送 | 鹿児島
屋久島沖オスプレイ墜落で行方不明者の捜索続く　防衛政務官が屋久島町長らと面会「深くお詫び」（MBC南日本放送）,https://news.yahoo.co.jp/articles/e894c415f3b96f88f56d38f30b873714d9cca0cc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068727-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T19:18:00+09:00,2023-11-30T19:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,627,\nMBC南日本放送\n屋久島沖で２９日、アメリカ軍のオスプレイが墜落し、１人が死亡しました。残る７人の捜索が続けられるなか、午後は、松本防衛大臣政務官が屋久島町を訪れました。\n\n第十管区海上保安本部などによりますと、屋久島沖で２９日午後３時前、アメリカ軍横田基地所属のオスプレイが墜落しました。乗組員の男性１人が死亡し、日米地位協定に基づき遺体は３０日米軍関係者に引き渡されました。\n\nアメリカ軍は当初８人としていた乗組員について６人に訂正していましたが、その後再び８人に訂正。現在、行方が分かっていない７人の捜索を自衛隊や海保などが続けています。\n\n（救助に向かった漁師）「水柱が高く上がって、黒煙が上がった。油が浮いてすごいにおい。うつぶせにライフジャケットを着て浮いていた」\n\n現場海域では機体の残骸や無人の救命いかだが見つかっていますが新たな手がかりはないということです。\n\n３０日午後には、漁船が海から回収した機体の一部や装備品などが次々と安房港に引き揚げられました。\n\nそして、午後、松本防衛大臣政務官が屋久島町を訪れ、荒木町長と面会し、陳謝しました。\n\n（松本尚 防衛大臣政務官）「心配、不安をおかけしていることを、改めて深くお詫びしたい」\n\nその後、屋久島漁協を訪問し、漁業補償などについて意見交換をしました。松本政務官はこのあと、県庁を訪れ、塩田知事と面会する予定です。\nMBC南日本放送 | 鹿児島
中継・オスプレイ墜落　残骸引き上げられた港から（MBC南日本放送）,https://news.yahoo.co.jp/articles/badb38808223727b2fa5b04175f53ae6e9f089bc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068718-mbcnewsv-000-2-thumb.jpg?exp=10800,2023-11-30T19:14:00+09:00,2023-11-30T19:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,498,\nMBC南日本放送\nオスプレイの残骸が引き上げられた港から中継です。\n\n屋久島町の東側に位置する安房港です。\n辺りは暗くなり、漁船の姿も見えづらくなってきましたが、上空では捜索を続ける航空機の音が聞こえます。\n\nこちらの漁協の建物の前には、機体の残骸とみられる漂流物が集められていて、ブルーシートの隙間からはむき出しの部品が確認できます。\n\n私がいるこちらの港では３０日午前１１時ごろ、地元漁協の漁師らが機体が墜落した周辺海域の捜索に向かう姿が見られました。\n\n午後４時ごろには捜索を終えた漁船が海上で回収した漂流物を続々と運び込む姿が見られました。\n漂流物には機体の一部とみられるバラバラになった残骸やリュックサックなどの持ち物も事故当時そのままとみられる状態で発見されたものもあり、今回の墜落の激しさを物語っていました。\n\n捜索にあたった漁師らによりますと、現場周辺の海域には大小さまざまな漂流物が広がり、中には引き揚げが必要な数メートルの残骸も確認できたと話していて、漁協ではあす１２月１日の要請を待って捜索を呼びかける予定です。\nMBC南日本放送 | 鹿児島
１３歳未満の少女にみだらな行為　逮捕・起訴された巡査長を懲戒免職　鹿児島県（MBC南日本放送）,https://news.yahoo.co.jp/articles/f7285489dc5f7c52a1db204df66e9a35562c6c07,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068721-mbcnewsv-000-2-thumb.jpg?exp=10800,2023-11-30T19:06:00+09:00,2023-11-30T19:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,226,\nMBC南日本放送\n少女にみだらな行為をしたとして、逮捕・起訴された警察官が３０日付けで懲戒免職処分となりました。\n\n懲戒免職処分を受けたのは、県警留置管理課の巡査長・日高眞智被告（２８）です。\n\n今年２月、ＳＮＳで知り合った当時１３歳未満の少女と、みだらな行為をしたとして、逮捕・起訴されています。\n\n\n上別府高宏首席監察官は、「再発防止対策を徹底し、信頼の回復に全力を尽くす」とコメントしています。\nMBC南日本放送 | 鹿児島
過去に大破、今も緊急着陸あいつぐ「オスプレイ」とは？離島防衛で配備増　鹿児島・屋久島（MBC南日本放送）,https://news.yahoo.co.jp/articles/ee1fb80ca953d28a4951f7a344c2cee5004c7466,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068723-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T19:10:00+09:00,2023-11-30T19:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,870,\nMBC南日本放送\n墜落した「オスプレイ」は、ヘリコプターと飛行機の特徴をあわせもった機体です。過去に事故も起きていますが、離島防衛などのため自衛隊にも導入されていて、鹿児島県内でも日米双方のオスプレイが訓練で訪れています。どんな機体なのかまとめました。\n\nオスプレイは、アメリカで開発された軍用の輸送機です。最も大きな特徴が、ティルトローターと呼ばれる左右についたエンジンと大きな回転翼です。\n\n角度を変えることができ、ヘリコプターのように垂直に離着陸することも、飛行機のように高速で長い距離を飛ぶこともできます。\n滑走路がない離島でも運用でき、離島防衛に不可欠な機体とされています。\n\n今回、墜落したのはＣＶ２２と呼ばれるオスプレイで、おもにアメリカ空軍が運用している機体です。\n\n日本国内では、南西諸島や台湾有事での部隊の輸送などを念頭に、事故機を含めて６機が配備されています。\nアメリカ軍は来年までに１０機体制に増やす計画です。\n\nＣＶ２２のほかに、基本的な構造が同じ海兵隊のＭＶ２２と呼ばれるオスプレイが国内には２４機配備されています。\n日本の陸上自衛隊も離島の防衛などを目的にＶ２２というオスプレイを１４機配備しています。\n\n県内には日米ともに訓練などで飛来していますが、一方で、オスプレイを巡っては、事故やトラブルが目立っています。\n\n２０１６年１２月には、アメリカ軍のＭＶ２２オスプレイが、沖縄県の海岸で空中給油の訓練中、給油機のホースと接触し、不時着を試みて大破しました。\nその後、鹿児島でも離島の空港を中心に、アメリカ軍のオスプレイが緊急着陸するケースが相次いでいます。\n\n国によりますと、去年、県内の民間空港にオスプレイを含むアメリカ軍機が着陸した回数は、全国最多の１１１回に上りました。\n奄美では、低空飛行もたびたび目撃さています。\n\n防衛省によりますと、オスプレイで日本国内で死亡事故が起きたのは、今回の屋久島沖の墜落が初めてです。\nMBC南日本放送 | 鹿児島
元陸自陸将「オスプレイ独特の事故の起き方」「事故調査や防止策の検討進めなければならない」（MBC南日本放送）,https://news.yahoo.co.jp/articles/6209e82b23bd819a17515ef9615b5dff8af4c3b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068725-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T19:08:00+09:00,2023-11-30T19:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,791,\nMBC南日本放送\n目撃者の中には「墜落の前、機体が上下逆にひっくり返った」と話す人もいましたが、どういった原因が考えられるのか専門家に聞きました。\n\n（元陸上自衛隊陸将 山口昇氏）「『屋久島に目的地を変える』『緊急着陸をする』とレポート後、数分か１０分ぐらいして事故に」\n\n陸上自衛隊で航空機のパイロットも務めた元陸将で、新潟の国際大学・山口昇教授です。\n\n今回の事故で複数の目撃者が「機体がひっくり返ってバランスを崩した後に爆発した」という証言については…。\n\n（元陸上自衛隊陸将 山口昇氏）「爆発が墜落の原因ではないということ。その前にコントロールを失っていて、それは２つ可能性があって、１つは制御系統が制御できなくなった可能性、もう１つは動力系統の中でも２つのローターが回っていて、そのローターのどちらかがホバリングのモード、ヘリコプターのモードにしたときに、どちらかがなくなると片方の揚力が残るのでクルっとひっくり返る」\n\nその上で、今回の事故について「オスプレイの最大の特徴が影響している」と話します。\n\n（元陸上自衛隊陸将 山口昇氏）「飛行機とヘリコプターのいいところをあわせて作ったが、飛行機にもヘリコプターにもないようなタブーというか、やっちゃいけないことがあって、それが運用の中で改善されるまで、しばらく事故は続いた。今回も最後にひっくり返ったというのは、回転翼のアンバランスが相当影響している、オスプレイ独特の事故起き方」\n\n陸上自衛隊にもオスプレイの配備が進められているなかで起きた今回の事故。今後の対策については・・\n\n（元陸上自衛隊陸将 山口昇氏）「事故を起こさないような方策がある程度見えなければいけない。そのためには日米が協力して事故の調査、防止の方策の検討を進めなければいけない」\nMBC南日本放送 | 鹿児島
屋久島沖オスプレイ墜落事故　目撃者・住民からは不安の声「民家に落ちていたら…」「早く見つかってほしい」（MBC南日本放送）,https://news.yahoo.co.jp/articles/1e4f6ce191bee89da1c7b9e1e3e20e1bf801925c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068719-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T19:12:00+09:00,2023-11-30T19:12:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,855,\nMBC南日本放送\n今回のオスプレイの墜落事故では乗組員を近くで漁をしていた漁師が救助しました。\n２９日現場では何があったのか、救助に向かった漁師や目撃者に話を聞きました。\n\n（目撃した人）\n「左エンジンから火が出て、バーンと爆発した」\n「急に回転し始めて、炎が出て、１０秒しないうちに海面上に落ちた、こっぱみじんで（機体の破片が）散乱していた\n（Ｑ見た瞬間どう感じた？）\nまさか目の前で落ちるとは、現実とは思えなかった」\n\nオスプレイが墜落したのは屋久島の東にある田代海岸からおよそ１キロの沖合です。\n\n当時、周辺では漁船５隻ほどがシマアジ漁をしていて、漁船から目撃した人によりますと、オスプレイは安房港方向から空港方向に進んでいました。\n進行方向右に１８０度回転し上下逆にひっくり返って墜落したといいます。\n\nオスプレイは山口県・岩国基地から沖縄県・嘉手納基地に向かう途中で、目的地を屋久島空港に変更して向かっている際に墜落したという情報があるということです。\n\n墜落したオスプレイかどうかはわかっていませんが、墜落の前２９日午後２時ごろ南大隅町では南へ向かうオスプレイが目撃されていました。\n救助されたあと死亡が確認された乗組員を目撃した人は…。\n\n（目撃した人）\n「消防が２～３人来て白人男性に心臓マッサージしていた。交代でみんなで絶やさずに」\n「迷彩服着て黒いライフジャケット着ていた、非常時のため（ライフジャケット）着ていたのでは、早く見つかってほしい」\n\n陸からおよそ１キロほど沖合いで発生した今回の事故。住民からは不安の声があがっています。\n\n（住民）\n「海だったからよかったけど、民家に落ちていたらと思うと怖い」\n「オスプレイは欠陥あると思っていた、馬毛島に自衛隊基地整備や米軍機訓練移転が進んでいることが怖い」\n「捜索で船・航空機・ヘリが飛び回るかもしれない、私たちはできれば仕事（漁）を続けたい」\nMBC南日本放送 | 鹿児島
中学校に“南極の氷”プレゼント「パチパチはじける」「かき氷にして食べたい」鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/fde55a339139ec5a8579871a446fb03ccdcde33c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068720-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T19:04:00+09:00,2023-11-30T19:04:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,378,\nMBC南日本放送\n南極から持ち帰られた氷が、鹿児島市の中学校にプレゼントされました。\n\n鹿児島市の松元中学校に贈られたのは、南極の観測を行う砕氷艦「しらせ」が持ち帰った氷です。\n\n３０日は全校生徒およそ７４０人が、自衛隊鹿児島地方協力本部から日本では南極の観測を明治時代から１００年以上続けていることや、観測隊が南極でクリスマスにはケーキを、正月にはおせちを食べることを学びました。\n\nそして、実際に南極の氷に触れ、氷に閉じ込められた空気がはじける音を確かめました。\n\n（生徒）\n「ヌメヌメしている」\n「冷たい」\n「匂いがする、自然の匂いがする」\n「パチパチといっている」\n「（Ｑ.氷はどう使う？）かき氷にしたい。ブルーハワイ」\n\n南極の氷は来年以降も県内の小中学校に届けられる予定です。\nMBC南日本放送 | 鹿児島
