headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
全校児童２人の小学校でも“大谷グローブ”披露「独り占めできてラッキー」　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/31d301d62d90f3a0a72896aafac3c7a34a03f41d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069321-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-09T19:26:00+09:00,2024-01-09T19:26:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,552,\nMBC南日本放送\n鹿児島市喜入にある全校児童２人の一倉小学校でも３学期がスタートしました。始業式では、４年生の内琥蒼冴くんと３年生の弟・史結蒼くんに大谷グローブが手渡されました。\n\n（史結蒼くん）「お、いいな（Ｑ．大谷選手を感じる？）うん、なんか優しい感じ」\n\nＱ．グローブを独り占めできるけど？\n（琥蒼冴くん）「ラッキーだと思う」\n（史結蒼くん）「一倉小学校に来て最高」\n\n早速２人は大谷グローブでキャッチボール。そして、職員６人も学校にあったグローブを使って参加。体を張ってみんなで楽しみました。\n\n（竹下龍二校長）「ますます子どもたちが野球（２人は）ソフトボールをしているけど、野球好きになればなと思う」\n\n（琥蒼冴くん）「大谷選手みたいな優しい人になりたいです」\n\nそんな兄・琥蒼冴くんの将来の夢は。\n「プロ野球選手。（Ｑ．大谷選手のグローブを使ったらなれそう？）うん、なれそうだと思う」\n\nサッカーとソフトボールをしている弟の史結蒼くんは…？\n「（大谷グローブを使って）どっちもやりたくなった。サッカーとソフト・野球」「二刀流」\n\n大谷選手からの「野球しようぜ」のメッセージは、鹿児島にもしっかり届いているようです。\nMBC南日本放送 | 鹿児島,[],[]
横山欣司さん死去　ＭＢＣラジオユアヒットパレードやニューズナウキャスターで活躍　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/f27901a99f2b7e4075f083ee4bdd15f1e006735d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069318-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-09T19:15:00+09:00,2024-01-09T19:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1007,\nMBC南日本放送\nＭＢＣ南日本放送のキャスターやディスクジョッキーとして戦後の鹿児島のローカルニュースや音楽文化をリードした横山欣司さんが亡くなりました。８８歳でした。\n\n（横山欣司さん／２０２０年）「キャスターとして肝に銘じていたのは、沈着冷静、判断力、臨機応変。この３つを胸に放送していた」\n\n横山欣司さんは東京都出身で、１９５９年にアナウンサーとしてＭＢＣに入社し、ラジオやテレビで活躍しました。\n\n入社の年から担当したラジオの洋楽番組「ユアヒットパレード」は、「かっこが良くて音楽に強いのが現代のヤング」で始まる軽妙な語り口と、世界中のヒット曲をいち早く紹介する手法が、若者の圧倒的な支持を集めました。\n\n１９７０年代にはテレビに進出し、１９７３年に始まった地域密着の情報番組「奥様ワイドＭＢＣですこんにちは」では初代の司会を務めました。\n\nＭＢＣが１９７６年１０月にスタートさせた３０分間の夕方ワイドニュース「ＭＢＣ６時こちら報道」。横山さんは１９７９年からキャスターを務めました。\n\nそして、その後の「ＭＢＣニューズナウ」の時代も含めて、２１年間にわたって鹿児島の出来事や話題を伝え続けました。\n\n中でも横山さんが最も印象に残ったのは…。\n「平成５年８月６日、８・６水害ですね」\n\n１９９３年の８・６豪雨災害では、甲突川のはんらんや土砂崩れなどが相次ぎ、死者・行方不明者は４９人に上りました。川沿いにあるＭＢＣの社屋も水につかりましたが、排水作業をしながらテレビとラジオで放送を続けました。\n\n（横山欣司さん）「放送局の使命として、何をどう伝えるか。人々の役に立てるかどうかがある。使命感・役目で一生懸命だった」\n\nキャスター時代は国鉄の赤字路線の廃止や、難航した九州新幹線の建設問題、屋久島の世界自然遺産の登録など、鹿児島が大きく動いた時代でした。\n\nキャスターを引退したあとも、ＭＢＣラジオで歌謡番組を２０２１年まで担当するなど、８０代になっても活躍を続けました。\n\nその後、２０２１年１０月に病気療養のため入院。最近はリハビリにも励んでいたということですが、去年の年末の１２月２８日に鹿児島市の病院で亡くなりました。８８歳でした。\n\n葬儀、告別式や近親者だけで行ったということです。ご冥福をお祈りします。\nMBC南日本放送 | 鹿児島,[],[]
クイーンコーラルクロス事故　波消しブロックに衝突か　乗客「どーんと揺れた」　鹿児島・沖永良部島（MBC南日本放送）,https://news.yahoo.co.jp/articles/0717048e2140e8bdf1b622eefd837fbbacd5091d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069320-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-09T19:19:00+09:00,2024-01-09T19:19:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,547,\nMBC南日本放送\n鹿児島県の沖永良部島・和泊港で８日、フェリーが港に衝突しました。船には２８８人が乗っていて、乗客は「どーんと揺れた」と話します。\n\n８日午後２時すぎ、沖永良部島の和泊港に入港しようとしていたクイーンコーラルクロスの船長から「船首を岸壁にぶつけた」と通報がありました。\nフェリーは沖縄発鹿児島行きで、乗客２６２人と乗員２６人にけがはありませんでした。\n\n運航するマリックスラインは原因について、「停止させる際にエンジントラブルが起き、船が止まらなかった」としています。\n\n乗客のうち和泊港で降りた１２５人をのぞく１３７人は８日夜は船で過ごし、９日に飛行機や別の船で移動する予定だということです。\n\n（船の乗客）「下船する準備をしていた。車に乗った瞬間にどーんと揺れてグラグラと。大きな鉄がゴンと落ちたような音だった。ただただ唖然として呆然としていたというか。訳が分からなかった」\n\n奄美海上保安部によりますと、船首に長さおよそ６０センチ、幅およそ１０センチの亀裂が確認され、「波消しブロックに衝突したとみられる」ということです。\n\n運航再開は未定で、１０日の鹿児島発の便と１２日の那覇港発の便が欠航を決めています。\nMBC南日本放送 | 鹿児島,[],[]
３学期スタート「おみくじ大吉」「二重跳び１０回が目標」大谷グローブも披露　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/0297fea388d9b969122591cdac59b0e419705e00,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069322-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-09T19:30:00+09:00,2024-01-09T19:30:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,505,\nMBC南日本放送\n鹿児島県内の多くの公立の小中学校で９日から３学期がスタートしました。大リーグでプレーする大谷翔平選手からのグローブもお披露目されました。\n\n児童８１５人が通う鹿児島市の原良小学校では、９日朝、子どもたちが元気に登校しました。体育館では能登半島地震の犠牲者へ黙とうが捧げられた後、児童の代表が３学期の目標を発表しました。\n\n（児童代表２年生）「縄跳び大会が楽しみ。二重跳びの練習にとりかかる」\n\nまた界校長が、大リーグでプレーする大谷翔平選手からグローブが届いたことを伝え「目標に向け努力してほしい」と呼びかけました。\n\n式の後、子どもたちはそれぞれの教室で掃除をして気持ちを新たにしていました。\n\n（２年生）\n「おばあちゃん達といとこのお姉ちゃんに会いに行った。鬼ごっこをして遊んだ」\n\n「おみくじをしたら大吉だった。書いてあったのが調子に乗るな」\n\n「二重跳びは最初はできなかったけど、１回だけできてうれしかった。（Ｑ．何回できるようになりたい？）１０回」\n\n原良小学校では３学期、縄跳び大会や遠足が予定されています。\nMBC南日本放送 | 鹿児島,[],[]
死者２０２人…能登半島地震　倒壊・火災・津波から命守るカギ「揺れへの備え」「想像力」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/4fe4d2fa474c0dffb0b5b58fbf4beb05d2875783,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069316-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-09T19:41:00+09:00,2024-01-09T19:41:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1948,\nMBC南日本放送\n元日に起きた能登半島地震。石川県などによりますと、９日現在、死者は２０２人、安否不明者は１０２人となっています。\nニューズナウでは、大きな地震や津波から命を守るにはどうすればいいのか、シリーズでお伝えします。今回は、建物の倒壊に、火災、津波など今回の地震を振り返り、鹿児島県内で起こりうる地震やリスクについて専門家と考えます。\n\n（井村隆介准教授）「揺れによる建物の倒壊、土砂災害、火災、津波、液状化。地震による災害の全部が出ている」\n\n元日の午後４時すぎ。石川県・能登地方を震源とする地震で、最大震度７を観測しました。震源の深さは１６キロで、地震の規模を示すマグニチュードは７．６。そのエネルギーは、マグニチュード７．３だった同じ内陸直下型の阪神淡路大震災、熊本地震の３倍にあたります。\n各地で道路が寸断されるなどし、１週間が過ぎた今も、被害の全容は見えていません。\n\n今回の地震は、過去に大きな地震を引き起こした「活断層」が再び動いたことで発生しました。\n\n地震地質学が専門の鹿児島大学・井村隆介准教授が着目するのは、揺れの長さです。例えば、同じ直下型地震の熊本地震の場合は２０秒でしたが、その３倍のエネルギーを放出した今回の地震はさらに長く続きました。\n\n（井村准教授）「一番大きかったＭ７．６の地震は４０秒くらい揺れた。震度７だけが怖いのではなく、揺れている時間が長いことが家や建物の倒壊につながる。普通の揺れでは倒れないものが、倒れてしまう」\n\nこれまでに発生した地震などをもとに、鹿児島県が想定した、県内の主な地震と津波です。南海トラフの巨大地震や桜島の海底噴火も含め１２の地震があります。\n\n鹿児島湾直下では最大震度７で津波は３．４ｍ。桜島の海底噴火では桜島におよそ１５ｍ、鹿児島市街地に３ｍ以上です。\nこのほか、県西部直下で最大震度７、甑島東方沖で６強。薩摩半島で最大３ｍ以上、甑島では最大およそ９ｍです。\n\n国が対策を進める南海トラフの巨大地震は、最大震度６強。県内全ての沿岸で津波が予想されていて、大隅半島の太平洋側で最大およそ８．５ｍ。屋久島と西之表市で１０ｍ以上。\n種子島東方沖、トカラ列島太平洋沖、奄美群島太平洋沖北部・南部でも震度６弱から７の地震が想定され、最大で９ｍを超える津波が予想されています。\n\n内陸直下の活断層が動いた今回の地震では、広い範囲で建物の倒壊など壊滅的な被害が出ています。\n\n（珠洲市長）「（被害大きい地域は）ほとんど立っている家がない。９割がた、全壊もしくはほぼ全壊」\n\n追い打ちをかけるのが余震です。能登半島では元日から９日午後５時までに、震度１以上の地震が１２６３回。日に日に数は減っているものの、９日も１９回観測されています。\n\n（井村准教授）「大きな地震であれば、後に続く地震も多いし、規模も大きい。（揺れに）耐えた建物も、後の地震で壊れることも十分考えられる」\n\n大きな揺れに続いて、沿岸部は津波に襲われました。海岸沿いの断層が動いたため、津波がわずか１分ほどで到達した地域や、実際には最大５メートル近くの津波が押し寄せたことがこれまでの調査で分かっています。\n\n（井村准教授）「このあたりは後ろに森があって高台になっているので、近い家は逃げられるかもしれないが、少し離れた海岸沿いの人は２階に上がるしかない。しかし、２階に上がろうとした時に、建物が壊れていると、家ごと流されてしまう」\n\n被害をさらにひろげたのが、火災です。観光地「輪島朝市」ではおよそ２００棟が焼けました。\n\n（井村准教授）「木造建築がある限り、燃えるのが火事。季節風の強い時やフェーン現象（乾燥した風）があれば、もっと大火になった可能性がある。日本海側では大火が過去にいくつもあった。地震があった時の火事は、消防もなかなか来られない」\n\n鹿児島でもいつ起きるか分からない地震。建物の倒壊に、火災、津波など、短い時間で複合的に起きるリスクから身を守るには、どうすればいいのでしょうか？\n\n井村准教授は、まずは揺れからどう命を守り、どんな被害が起こり得るのか、普段から想像し、備えておくことが大切だといいます。\n\n（井村准教授）「震度７なら、まずは揺れから身を守ること。地震による揺れに最初は備えないといけない。その後に火を消すことや津波からの避難。\n防災は想像力だと思う。自分がその立場になったら、今起こったらというのを、この機会だけでも考える。その大変さを感じて防災に生かすことが、被災地の思いに応えることにもつながる」\nMBC南日本放送 | 鹿児島,[],[]
鹿屋Ｐ－１哨戒機が初訓練「技能みがき、いかなる時も対応」中国軍の警戒・監視で出動増　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/29817d08b93e47d9d264009cb9b28146f6ba4d89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069317-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-09T19:10:00+09:00,2024-01-09T19:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,379,\nMBC南日本放送\n海上自衛隊鹿屋航空基地で、今年初めての訓練飛行が行われました。\n\n訓練には東シナ海や南西諸島の警戒・監視を担う鹿屋基地のＰ－１哨戒機など９機が参加し、９日は報道関係者をのせて指宿沖へと飛行しました。\n\n（記者）「開聞岳が見えます。Ｐ－１哨戒機が２機並んで、編隊飛行しています」\n\n日本周辺の海域では、中国海軍の艦艇による領海侵入などが相次いでいて、今月３日にミサイル駆逐艦など２隻が奄美大島沖から太平洋へ航行した時も、鹿屋のＰ－１哨戒機が警戒・監視にあたりました。\n\n（大西哲第１航空群司令）「いざ、いかなる時も対応する準備整えている」\n\n鹿屋基地によりますと、中国海軍の警戒・監視を中心としたＰ－１哨戒機の出動は増えていて、「不測の事態にも対応できる準備も整えたい」としています。\nMBC南日本放送 | 鹿児島,[],[]
桜島で今年最初の爆発　噴煙１２００メートル　去年は８９回発生　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/de0e94bea394e17c68617a4a2b828db6bc9c16db,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069314-mbcnewsv-000-3-view.jpg?exp=10800,2024-01-09T16:21:00+09:00,2024-01-09T16:23:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,172,\n気象台によりますと、９日午後３時５２分に桜島の南岳山頂の火口で爆発＝爆発的噴火が発生しました。中量の噴煙が火口から１２００メートルの高さまで上がり、南東方向へ流れています。\n\n桜島で爆発が発生したのは今年最初です。去年は爆発が８９回発生しました。\n\n桜島では噴火警戒レベル３の入山規制が続いています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069314-mbcnewsv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/de0e94bea394e17c68617a4a2b828db6bc9c16db/images/000']
サッカー遠藤保仁選手（桜島出身）が現役引退「２６年間最高のサッカー人生を送れた」（MBC南日本放送）,https://news.yahoo.co.jp/articles/90e871c3656ea3468b5b39952006d36d018baed8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069311-mbcnewsv-000-4-view.jpg?exp=10800,2024-01-09T16:14:00+09:00,2024-01-09T19:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,576,\n鹿児島県の桜島出身のサッカー選手・遠藤保仁選手が現役引退を発表しました。\n\n（遠藤保仁選手）「２６年間という本当に長い、そして充実した最高のサッカー人生を送れたと思っております」\n\n遠藤保仁選手は９日午後、現役引退を発表しました。\n\n遠藤選手は桜島出身の４３歳で、鹿児島実業高校卒業後の１９９８年にＪリーグ入りし、２６年にわたって活躍。試合出場数はＪ１で６７２試合、日本代表で１５２試合で、いずれも歴代最多です。\n\n小学校時代のスポーツ少年団の監督藤崎信也さんは、今月５日に自宅を訪れた遠藤選手から直接、引退の報告を受けていました。\n\n（小学校時代の恩師・藤崎信也さん）「まだできるでしょ、という思いもありました。最後はユナイテッド鹿児島でプレイして欲しかった」\n\n遠藤選手とは定期的に会っていた藤崎さん。サッカー技術だけでなく、人として大きく成長したと振り返ります。\n\n（藤崎信也さん）「思いやりや気遣いがある。表裏なく接してくれて」「いろんな人にもまれ、いろんな経験をして、人として尊敬できる選手」\n\n遠藤選手は２０２４シーズンからはガンバ大阪のコーチに就任します。\n\n（遠藤選手）「本当に楽しいサッカー人生でした。それではまたみなさん、どこかでお会いしましょう。バイバイ～」\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069311-mbcnewsv-000-4-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/90e871c3656ea3468b5b39952006d36d018baed8/images/000']
Ｈ２Ａロケット４８号機　打ち上げは１１日から１２日に延期　悪天候のため　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/25d6beeec58bba5e6ff3b311db36b10fd847e561,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069312-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-01-09T16:12:00+09:00,2024-01-09T16:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,370,\nMBC南日本放送\nＨ２Ａロケット４８号機は、あさって１１日に種子島宇宙センターから打ち上げられる予定でしたが、悪天候が予想されるため翌１２日に延期されました。\n\n三菱重工業によりますと、Ｈ２Ａロケット４８号機は１１日午後１時から３時の間に種子島宇宙センターから打ち上げられる予定でしたが、天候不良で打ち上げに向けた作業が計画通り進められない可能性があるとして、打ち上げは１２日に延期されました。\n新しい打ち上げ日時は、１月１２日金曜日午後１時４４分２６秒から４５分２９秒です。\n\n４８号機には、政府の情報収集衛星で、安全保障などのために地上を撮影する事実上の偵察衛星「光学８号機」が搭載されています。\n４８号機が打ち上げに成功すれば、Ｈ２Ａロケットの打ち上げ成功率は、９７．９％となります。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島のお茶　今年最初の取引　平均は去年を６００円以上高い１８８４円「幸先いいスタート」（MBC南日本放送）,https://news.yahoo.co.jp/articles/0e7c910eb6bb62c7e4240be211620cbe34778c5e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069310-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-09T16:10:00+09:00,2024-01-09T16:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,276,\nMBC南日本放送\n県内で生産されたお茶の今年最初の取引会が、鹿児島市のかごしま茶流通センターで開かれました。\n\n９日の新春初取引会には、南九州市や志布志市など県内の６市１町から去年４月から１０月にかけて摘んで冷蔵施設で保管していたお茶８５点、およそ６．４トンが出されました。\n卸売り業者らおよそ２００人が参加して、茶葉の香りや手触りなどを確かめながら入札していました。\n\n９日の初取引での１キロあたりの平均単価は去年を６５３円上回る１８８４円で、県茶業会議所は「幸先がいいスタートが切れた」としています。\nMBC南日本放送 | 鹿児島,[],[]
薩摩川内市役所に誕生２０年記念の懸垂幕　公募のロゴマークも　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/260895518b26b5ff7a37e28ad455b0ed89eb2ed3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240109-00069313-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-09T16:08:00+09:00,2024-01-09T16:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,297,\nMBC南日本放送\nいわゆる「平成の大合併」で鹿児島県内第１号となった薩摩川内市で、誕生２０年を祝う懸垂幕がお披露目されました。\n\n薩摩川内市は、２００４年１０月に９市町村が合併し誕生しました。\n\n市役所では、職員らおよそ１００人を前に、公募した９４点の中から選ばれたロゴマークが書かれた誕生２０周年の懸垂幕が掲げられました。\nそして、節目の年を盛り上げようとシュプレヒコールを上げました。\n\n市の人口は現在９万１０００人余りで、この２０年間で１万３千人余り減少しており、市は２０年の節目を盛り上げるとともに、移住・定住促進に取り組む方針です。\nMBC南日本放送 | 鹿児島,[],[]
