headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
春分の日は“春の嵐”に…３月観測史上最大の強風も「何もかも飛ばされる、寒い」（MBC南日本放送）,https://news.yahoo.co.jp/articles/41e5cff9fc23e81e8edeb4f0e38ceaf6a1c8e305,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070467-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-20T20:11:00+09:00,2024-03-20T20:12:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1252,\nMBC南日本放送\n春分の日の２０日、鹿児島県内は風が強まり、３月としては観測史上最大の風を観測したところもありました。この「春の嵐」で、被害や交通への影響も広がっています。\n\n鹿児島市の天文館です。祝日とあって多くの買い物客らが行き交う中、街では木々やのぼり旗が風で大きく揺れていました。\n\n「街なかはもう少し穏やかと思ったが、風がすごい」\n\n２０日に観測された最大瞬間風速は、種子島で２７．８メートル、肝付町で２７．２メートル、鹿児島市でも２４．４メートルと、３月としては観測史上最大の風を観測したところもありました。\n\n北寄りの冷たい風で日中も気温があまり上がらない中、焼いも店には列ができていました。\n\n（買いに来た人）「寒い、風が強いので（Ｑ．やきいも買ってたけど寒いから？）寒いからでもあるし、おいしいから」\n\n（やきいも店）「きょうは風も強くて肌寒い。寒い時期にはよく売れるので、きょうも売れている」\n\n\nこちらは鹿児島市犬迫町の都市農業センターです。２３万本の菜の花が咲いていますが、一部は強風で倒れてしまっています。そんな中、真新しいランドセル姿で写真を撮る親子連れの姿がありました。\n\n（姶良市から）\n（息子）「鼻水がいっぱい出る」\n\n（母親）「寒いね」「こんなに風が強いと思わなかったが、記念に写真をたくさん撮れたので、この風もいい思い出」\n\n（父親）「（娘も）あたたかくはしてきたけど、写真撮る時は、かわいいオシャレな薄着。嫌々しながらも頑張って撮ってくれている」\n\n菜の花畑の隣にある市民農園では、強風の中、苗の手入れをする人も。\n\nＱ．この風は作業には影響ある？\n（鹿児島市から）「全然だめ。何もかも飛ばされるし、寒い」\n\n\n一方で、強風による被害や影響も出ています。鹿屋市東原町では、農業用ハウス３棟のうち１棟が、強風で骨組みが曲がっていました。\n\n鹿児島空港では、風にあおられた航空機が、機体を左右に揺らしながら着陸していました。２０日は強風の影響で、鹿児島と離島を結ぶ便を中心に１４便が欠航しました。\n\n強風の影響で海上はしけとなり、海の便も甑島、山川・根占航路の全便と、種子屋久航路のほとんどの便、奄美航路の一部が欠航となりました。\n\nまた、県内のＪＲ在来線と肥薩おれんじ鉄道では、木や竹が線路などに倒れかかるなどして、運転の見合わせが相次ぎました。\n\n「風強いと思ったけど、まさか電車まで止まっているとは」\n\n現在、県内全域に強風注意報が発表されていて、２０日夜にかけて注意が必要です。\n\n\n警察によりますと、車のドアを開けた際に、ドアが風にあおられて勢いよく開いて隣の車などにぶつかるケースが相次いでいます。鹿児島市内では、２０日これまでに４０件ほど起きているということです。\n\n夜にかけて強風が続く見込みなので、引き続きご注意ください。\nMBC南日本放送 | 鹿児島,[],[]
「イチゴ農園×パティシエ×サッカー」コロナ禍で生まれた“新しい農業の形”　地域の笑顔集う場所に（MBC南日本放送）,https://news.yahoo.co.jp/articles/e07ee48744a8ea00ae0983037c4c60462a08a78a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070463-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-20T19:36:00+09:00,2024-03-20T19:36:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,2147,\nMBC南日本放送\n春といえばイチゴ。こちらのイチゴは、鹿児島県薩摩川内市の農園で作られているものですが、育てているのは洋菓子店を営む男性です。\n洋菓子店がイチゴ農園を始めたきっかけとは？\n\n真っ赤に色づいたイチゴ。薩摩川内市東郷町に２年半前にできたイチゴ農園「ＬＰスイーツファーム」です。ハウスでは今、収穫の最盛期を迎えています。\n\nハウスのとなりにあるのが、イチゴの季節にだけオープンするカフェ。摘みたてのイチゴを使ったパフェやフラッペが味わえます。\n\n「イチゴが甘くておいしい」\n「新鮮なものをその日のうちに食べられるのは良い」\n\n一番人気のメニューは…\n「こちらがデカパフェになります」\n\n（記者）「イチゴがこぼれ落ちそうなほどたっぷり。見た目から心躍ります」\n\n自家製のイチゴジャムや生クリーム、カスタードなどを重ね、その上にイチゴを１０個以上トッピングしたパフェです。\n\n（記者）「イチゴがみずみずしい。甘みと酸味。華やかなイチゴの香りが広がって、とてもおいしいです」\n\n（畑さん）「びっくりするくらいイチゴを食べてもらいたいというのがコンセプト」\n\n農園を立ち上げた畑義康さん（５０）です。本業は農業ではなく…パティシエです。薩摩川内市内で父親が営んでいた洋菓子店を１０年前に引き継ぎました。しかし、直面したのが新型コロナでした。\n\n（畑さん）「ウエディングケーキなどがコロナの影響でほぼゼロに。長期化するにつれて大きくなる不安、まずいぞと」\n\n苦境の中、たどり着いたのが、菓子作りに欠かせないイチゴの栽培です。価格変動が大きく、当時、仕入れ値が高騰していたイチゴ。畑さんは、仕入れコストの削減などのため、２年前に農業法人を立ち上げました。\n\n１次産業の生産者が、その先の加工の２次産業や販売の３次産業まで手がける、いわゆる「６次産業化」は進んでいますが、その逆の例は少なく、県によりますと、畑さんのように菓子店が農業に参入した例は、県内で唯一だといいます。\n\n（畑さん）「コロナ禍だからこそ、ただ待っているだけではだめだと思った」\n\n農業は、ゼロからのスタート。一筋縄ではいきませんでした。\n\n（畑さん）「苗が弱っても何をすれば良いかわからない。水をあげても良くならず、そこは経験。お菓子は待ってくれるけれど、植物は待ってくれない」\n\n先輩のイチゴ農家にアドバイスをもらい、試行錯誤。１年目は５００キロに満たなかった収穫量は、今では１．２トンに増えました。\n\n農業とパティシエの「二刀流」。普通なら間引きしてしまう小さなイチゴや、市場に出回らない不揃いなイチゴも無駄にはしません。\n\n（畑さん）「１粒たりとも残さず、ソース、ジャム、ピューレにして、一切無駄がないのはケーキ屋として良かった。（育てると）イチゴがかわいく見えてくる。食材のありがたみが分かる」\n\n「二刀流」は従業員も。農場の管理を任されている石野佳菜さん（２０）です。２年前に市来農芸高校を卒業し、畑さんのもとで働きはじめました。水やり、収穫などの作業をほぼ１人でこなします。\n\n（石野さん）「いろいろな人に作ったイチゴを食べてもらえるのが楽しみだし、作って良かったと思える」\n\nそんな石野さんのもう一つの顔は、薩摩川内を拠点になでしこリーグ入りを目指す女子サッカークラブ「レイナ川内」のキーパーです。\n\n（石野さん）「サッカーが好き。仕事もサッカーも、どちらもあるから頑張れる。もっと練習して点をいっぱい止めたい」\n\nサッカーの夢を諦めず、追いかけ続けています。\n\n（レイナ川内 山口監督）「女子の大学サッカーが県内にはないので、県外の大学や社会人チームに進むか、サッカーをやめるという流れなので、地域の皆さんに支えられながら成長している」\n\n畑さんも、石野さんの挑戦に期待しています。\n\n（畑さん）「後継者不足で農業をやる人が少なくなっている。誰でもできるようになれば心強い」\n\nコロナ禍を経て、初めて迎えたイチゴの季節。この日、畑さんは、イチゴ狩り体験を初めて企画しました。\n\n（畑さん）「ここに手をこういう風に入れて、すっと。どうぞ」\n（子ども）「おいしい」\n\n（参加者）\n「粒が大きい。甘くておいしい」「おいしい。５０個食べる」\n\n「イチゴ―ゴー。（こういう場所は）近くにはないのでまた来たい」\n\n今後、イチゴの種類を増やして観光農園としても活用したいと考えています。\n\n（畑さん）「東郷町は過疎化が進んで子どもの声も聞こえなくなってきた。こういう場所があって少しでも人が来てくれれば、地域がぱっと明るくなる。常にわくわくを届けられたら」\n\nコロナ禍での苦悩をきっかけに始めたイチゴ農園。地域の笑顔が集う場所へと変わりつつあります。\n\n\n【ＬＰカフェ（農園カフェ）】\n▼５月の大型連休まで土日限定でオープンし、イチゴのメニューを提供。\n▼イチゴ狩り体験は来月から予約制で開始。詳細はＬＰカフェのインスタグラムで案内。\nMBC南日本放送 | 鹿児島,[],[]
地下で楽しめるお花見！？バスチカ花見村　２０日からはじまる（MBC南日本放送）,https://news.yahoo.co.jp/articles/85348ce254efa512cf934f5986095561bb475168,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070466-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-20T20:07:00+09:00,2024-03-20T20:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,580,\nMBC南日本放送\n鹿児島中央駅前にある「かごっまふるさと屋台村」が、今月２０日から期間限定で、花見をイメージした装いに生まれ変わりました。コンセプトは「地下で楽しむ新しいお花見」です。\n\n鹿児島中央駅前の「かごっまふるさと屋台村」で始まった「バスチカ花見村」。鹿児島の食を花見気分で楽しんでもらおうと、企画されました。\n\n桜と桜島をイメージしたみこしが練り歩く中、天井に広がる１０万輪の桜の花。まるで満開の桜の木の下にいるような雰囲気を楽しめます。\n\n天気に左右されず、花見気分を味わえる「バスターミナルの地下で楽しめる新しいお花見」がコンセプトです。\n\n料理も、「桜鯛の熟成刺身」に「桜島海鮮丼」、かわいらしい「花見大福」など、屋台村の１８店舗全店で春にちなんだメニューを楽しめます。\n\n２０日に開かれたオープニングイベントには関係者らが参加し、満開の桜の下でひと足早いお花見気分を味わっていました。\n\n「お寿司だけど、ほんのり甘さがある」\n\n（かごっまふるさと屋台村・吉田英雄副理事長）「花見が満開のなか、焼酎を楽しんでもらう企画をやっている。皆さんお越しいただければ。お待ちしています」\n\n「バスチカ花見村」は来月２１日まで、かごっまふるさと屋台村のバスチカエリアで開催されています。\nMBC南日本放送 | 鹿児島,[],[]
高校野球“名将”対談　鹿実・久保監督×樟南・枦山監督　伝説のプレー秘話を語る（MBC南日本放送）,https://news.yahoo.co.jp/articles/f704502a936d080c1d35838a93ef23ca44b2bc67,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070464-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-20T19:42:00+09:00,2024-03-20T19:43:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1005,\nMBC南日本放送\n「鹿児島実業・久保監督」、「樟南・枦山監督」といえば、鹿児島の高校野球を育てたお二人です。鹿児島代表として甲子園でチームの指揮を執り、また、互いにライバル校として県大会では熱戦を繰り広げてきました。\nそのお二人がＭＢＣの番組収録で対談。伝説となったプレーの秘話や高校野球への思いを語りました。\n\n\n「新米の久保です。ははは。」\n\nＭＢＣラジオのスタジオで行われた対談は、笑いとともに始まりました。\n\n（野口たくお）「こうやってお二人で並ばれるというのは、よくあることなんですか？」\n\n（久保さん）「めったにないですけど、鴨池球場でＯＢとなって、試合を観戦するときは一緒になりますよ。ユニフォームじゃないですよ、ユニフォームじゃ」\n\n（枦山さん）「ユニフォームだと、けんかですから（笑）」\n\n久保克之さん、８６歳。鹿児島実業高校野球部の監督として１９回、甲子園出場。１９９６年のセンバツでは全国制覇を果たしました。\n\n枦山智博さん、７９歳。鹿児島商工、樟南高校の監督として２３回の甲子園出場。９４年夏の大会では準優勝しました。\n\n（久保さん）「目標は、打倒・鹿商、打倒・鹿商ですよ。朝な夕な厳しくやりました。鹿商に並ぶために」\n\n（枦山さん）「鹿商、鹿実、玉龍、それが頭の上にありましたから、これを超えるにはどうしたらいいかなと。考え着いたのは点数をやらない野球」\n\n（久保さん）「私はどちらかというと文部省推薦型の野球。こっちは野獣型の野球、野性味のある野球」\n\n甲子園で全国の強豪校と戦ってきた二人。監督しか知らないエピソードも。\n\n７４年、定岡正二投手を擁した鹿実は東海大相模と対戦。延長１５回の死闘を制し、鹿児島は盛り上がりました。\n\n（久保さん）「帰ってきたとき、予想もしない、中央駅に１万人ぐらいの出迎えの人がおられた。バスまで歩くのに手を引っ張られ、袖を引っ張られ、大変でした」\n\n（久保さん）「やっぱり、人を磨く。人間を磨く。甲子園の目標と人間育成がイコールでやりました」\n\n（枦山さん）「逆に、選手たちから我々は指導を習ったというか、そういう点もあるんですよね」\n\n対談番組「名将と振り返る鹿児島の高校野球」は、ＭＢＣラジオで今月３１日（日曜日）午後１時から放送します。\nMBC南日本放送 | 鹿児島,[],[]
児童減で４校統合　上手小学校で７人が最後の卒業式「地域が大好き」「ありがとう」　鹿児島・薩摩川内市（MBC南日本放送）,https://news.yahoo.co.jp/articles/4b6c44c9d04bc53ad76ce3997070402c4594107f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070465-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-20T19:45:00+09:00,2024-03-20T19:46:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,864,\nMBC南日本放送\n鹿児島県内ではこの春、児童数の減少などで閉校する小学校が多くあります。このうち、１４５年の歴史がある薩摩川内市の上手小学校で２０日、最後の卒業式と閉校式がありました。\n\n全校児童３７人の上手小学校。この春、祁答院地域で統合される４つの小学校のひとつです。\n\n１８７８年＝明治１１年の創立で、昭和３０年代には４００人を超える子どもたちが通っていましたが、児童数が減少し、今年度で１４５年の歴史にピリオドを打ちます。\n\n最後の卒業式では６年生７人が、門出の日を迎えました。一人ひとり壇上に上がって両親や来場者に語りかけ、その後、卒業証書を受け取りました。\n\n米丸寛之校長は「これからの長い人生で、楽しいこと悲しいこと、何があってもその先に可能性を見つけ、粘り強く生きてください」とエールを送りました。\n\n「ただいまから薩摩川内市立上手小学校・閉校式を挙行いたします」\n\n続く閉校式には、かつての卒業生でもある地域住民らおよそ２５０人が出席。校長が１４５年の歴史を紹介したあと、校旗が返納され、全員で校歌を斉唱しました。\n校庭では記念碑のほか、郷土芸能「上手太鼓踊り」が披露されました。\n\n（母・萩原泉さん）「とうとう（卒業の）日がやって来た。けっこう涙が出た」\n\n（卒業生・萩原啓伍さん）「（大人になったら）お金を稼いで、地域とかの人たちに飲み物をあげる」\n\n（５世代にわたり上手小を卒業 卒業生・下村奈緒さん）「最後の卒業生なんだなと思う」\n\n（父・下村博さん）「ショックというか悲しい。受け入れるしかない」\n\n（郷土芸能を披露した父・高橋耕さん）「あしたから静かになって、無くなったんだなと思うのかな」\n\n（卒業生・高橋紗羽さん）「上手小学校は６年間通ってきたので、これからもありがとうと、心の中でいいたい」\n\n上手小学校など４校が閉校する祁答院地域では、４月から新たに児童数およそ１００人の祁答院小学校が開校します。\nMBC南日本放送 | 鹿児島,[],[]
子どもたち４５０人が気迫のこもった型を披露　少林寺流空手道大会「みんなで楽しく、強くなりたい」（MBC南日本放送）,https://news.yahoo.co.jp/articles/0804c1eedbf08ee2822846d6f9fcde42b2ee19c5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070462-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-03-20T19:33:00+09:00,2024-03-20T19:33:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,316,\nMBC南日本放送\n少林寺流空手道・錬心舘の大会が鹿児島市で開かれ、子どもたちが練習の成果を披露しました。\n\n鹿児島市で２０日に開かれた、県空手道連盟の少年少女かごしま空手道大会。県内の錬心舘の各支部から、中学３年生までのおよそ４５０人が参加しました。\n\n子どもたちは気迫のこもった型を披露し、日ごろの練習の成果を発揮していました。\n\n（６歳）「楽しかった」\n（５歳）「難しかった」\n\n（小学４年生）「勝ちたいという気持ちで臨んでいた。（空手道は）みんなで楽しくやって強くなるところがいいと思う」\n\n錬心舘では来月、空手道の県大会を開催し、今年８月には全国大会が開かれます。\nMBC南日本放送 | 鹿児島,[],[]
春の訪れ告げる「早馬祭」　五穀豊穣を祈る伝統行事「迫力があった」（MBC南日本放送）,https://news.yahoo.co.jp/articles/2de74a687dcf95ba3da5652b1e4da02eb980226e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070461-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-20T19:30:00+09:00,2024-03-20T19:31:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,343,\nMBC南日本放送\n春分の日の２０日、鹿児島県薩摩川内市の神社では、春の訪れを告げる伝統の「早馬祭」がありました。\n\n薩摩川内市・新田神社の早馬祭は、五穀豊穣などを祈る行事で、朝鮮出兵した島津義弘の凱旋祝いが起源といわれています。\n\n春の花で華やかに飾られた馬やポニーが、鈴の音を鳴らしながら踊るように境内をまわる「鈴懸馬踊り」を奉納しました。\n\n（観客）\n「楽しかった。（何が楽しかった？）お馬さんが歩いて迫力があった」\n\n「実際に目で見てほしいと思って連れてきた。見せられてよかった」\n\n「馬もみんな頑張っているので、負けないで私も頑張っていきたい」\n\n訪れた人たちは、手拍子したり写真を撮ったりして、楽しんでいました。\nMBC南日本放送 | 鹿児島,[],[]
日豊本線　西都城駅と国分駅間で運転再開　竹が線路上に倒れかかり運休や遅れ　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/1841d5354979ba324579856741534c2390d43d7b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070460-mbcnewsv-000-1-view.jpg?exp=10800,2024-03-20T17:19:00+09:00,2024-03-20T17:19:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,254,\nＪＲ九州によりますと、２０日午後１時半ごろ、日豊本線の財部駅と五十市駅（宮崎県）の間で、線路上に竹が倒れかかっているのが確認されました。\nまた、午後２時半ごろには、五十市駅と国分駅の間で竹が倒れ架線に接触し、停電が発生しました。\n\nこの影響で、日豊本線の西都城駅と国分駅の間は一時、上下線で運転を見合わせていましたが、午後４時４０分に運転を再開しました。\n\n日豊本線は特急列車と普通列車の合わせて６本が運休し、普通列車１本に４６分の遅れが出ているということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070460-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/1841d5354979ba324579856741534c2390d43d7b/images/000']
肥薩おれんじ鉄道　最大４時間遅れ　強風により倒木が架線接触　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/366827ebf010058a7f70b00b5e81ea47acc603d6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070459-mbcnewsv-000-2-view.jpg?exp=10800,2024-03-20T16:13:00+09:00,2024-03-20T16:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,146,\n肥薩おれんじ鉄道によりますと２０日正午ごろ、薩摩高城駅で強風により沿線の木が倒れ架線に接触しました。\n\nこの影響で出水駅と川内駅の間で一時、運転を見合わせていましたが午後４時前に運転を再開しました。\n\n最大４時間ほどの遅れが出ているということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070459-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/366827ebf010058a7f70b00b5e81ea47acc603d6/images/000']
ＪＲ日豊本線・国分～西都城で運転見合わせ　線路に竹が倒れかかる（MBC南日本放送）,https://news.yahoo.co.jp/articles/a5767113843f14e2c2f0a50fe97e08275594aa33,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070458-mbcnewsv-000-2-view.jpg?exp=10800,2024-03-20T15:01:00+09:00,2024-03-20T15:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,138,\nＪＲ九州によりますと、２０日午後１時半ごろ、日豊本線の財部駅と五十市駅（宮崎県）の間で、線路上に竹が倒れかかっているのが見つかりました。\n\nこの影響で、日豊本線の国分駅と西都城駅の間は、午後１時半ごろから上下線で運転を見合わせています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070458-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/a5767113843f14e2c2f0a50fe97e08275594aa33/images/000']
「すごい風が」春の嵐…最大瞬間風速２７．８メートル　しけで欠航相次ぐ（MBC南日本放送）,https://news.yahoo.co.jp/articles/8b19d1126b4a0f99364fd7b9ecaf683498c4430a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240320-00070457-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-03-20T12:00:00+09:00,2024-03-20T12:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,445,\nMBC南日本放送\n鹿児島県内は２０日、各地で風が強まり、２０日夜にかけて注意が必要です。交通にも影響が広がっています。\n\n県内は冬型の気圧配置の影響で、北寄りの風が強まっています。\n\n２０日、これまでに観測された最大瞬間風速は、種子島で２７．８メートル、肝付町で２７．２メートル、鹿児島市でも２３．９メートルで、天文館では木々やのぼり旗が大きく揺れていました。\n\n「街なかは穏やかと思ったら、すごい風が」\n\n県内全域に強風注意報が発表されていて、２０日夜にかけて注意が必要です。また、強風の影響で海上の波も高く、２０日は県内で最大４メートルのしけとなる見込みです。\n\nこの影響で、海の便に乱れが出ています。\n\n２０日、欠航が決まっているのは、\n▼甑島、山川・根占航路の全便と、\n▼種子屋久航路のほとんどの便、\n▼奄美航路の一部の便です。\n\n空の便は強風のため、\n▼鹿児島と屋久島を結ぶ３往復６便が欠航となっています。\nMBC南日本放送 | 鹿児島,[],[]
