headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
床に転がる男児を引きずったり、足で押したり…児童クラブの男性支援員が不適切対応　南九州市が運営法人へ改善指示書（南日本新聞）,https://news.yahoo.co.jp/articles/16f9aa43e14984453093b7b7a505ddca94ceed29,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000001-minamic-000-2-view.jpg?exp=10800,2024-11-27T22:10:21+09:00,2024-11-28T10:52:55+09:00,南日本新聞,minami,南日本新聞,436,（写真：南日本新聞社） 鹿児島県南九州市の放課後児童クラブで１０月下旬、４０代男性支援員が小学３年男児の体を引っ張ったり足で押しやったりしていたことが２７日、市などへの取材で分かった。男児にけがはなかった。市は不適切な行為として、クラブを運営する同市の社会福祉法人に２１日付で改善指示書を出した。 市や法人などによると１０月２５日、注意をまじめに聞かなかったとして、支援員が床に座っていた男児を別室に移動させようと体を引っ張った。抵抗した男児が床に転がった状態となり、約２メートル離れた別室まで引きずるようにして移動させ、足でも押しやった。 保護者からの相談や法人の報告を受けた市は１１月１２日、法人に聞き取りを実施。支援員が男児に乱暴な対応をし、管理者に事態をすぐに報告しなかったことを不適切と判断した。 法人によると、支援員は１０月２８日から別の事業所で勤務している。責任者は「職員研修の充実や保護者との信頼関係の再構築に取り組む」としている。 南日本新聞 | 鹿児島,[],[]
鹿児島湾にこんなのいたの?!　ルアー泳がせかかった獲物は体長2.3メートル　格闘7分「とったどーっ‼」（南日本新聞）,https://news.yahoo.co.jp/articles/1790f9765b208a93b97d973c7ab8295eca743dc1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000012-minami-000-3-view.jpg?exp=10800,2024-11-27T21:30:21+09:00,2024-11-28T10:51:48+09:00,南日本新聞,minami,南日本新聞,676,約２メートルのさおで釣り上げたバショウカジキと並ぶ山口龍之介さん（提供写真） 鹿児島県霧島市隼人の医師、山口龍之介さん（２８）が２３日、鹿児島市沖の鹿児島湾で体長２．３メートル、重さ２２．６キロのバショウカジキを釣り上げた。秋が旬で「秋太郎」とも呼ばれ、主な漁場は西薩地区や甑島地区。「大きさに足が震えた」と振り返る。 【写真】〈関連〉鹿児島市中央卸売市場魚類市場に並ぶ秋太郎 山口さんは釣り歴６年。友人２人と鹿児島市の遊漁船とんぼに乗船し、ブリやタイを狙ってマリンポート沖へ。瀬戸貴昭船長（２７）から「今月中旬から秋太郎が湾内に来ている」と聞いて「スイッチが入った」。 仕掛けは約２メートルのさおに道糸ＰＥ２号、１０号の先糸に１４センチのプラスチック製ルアーを付けた。海面を泳がせるように誘った。 出港２時間後の午後２時半、背びれが見えた。乗り合った４人で一人ずつ挑む。全員に当たりがあったが、針を外されたり糸を切られたりした。１時間後、魚影を再び発見。山口さんのさおに船から約６メートル先で掛かった。「一気に１５０メートル以上糸が出た。すごいスピードだった」。瀬戸船長も船を動かし、間合いを詰めていく。７分の格闘の末、ギャフ（かぎざお）で引き上げた。 鹿児島大学水産学部の大富潤教授は「回遊ルートから入り込む可能性はあるが、湾の内部で見られるのは珍しい」と話した。 釣果は釣具店で解体し分け合った。山口さんは家族や近所、同僚に配り、刺し身やソテーにして食べた。「脂が乗っておいしかった。今後も大物を釣りたい」と意欲を語った。 南日本新聞 | 鹿児島,[],[]
上司チェック後に超勤時間を改ざん、自身の手当増額　勤務時間管理の担当職員を懲戒免職　奄美海上保安部（南日本新聞）,https://news.yahoo.co.jp/articles/bfde3cf142722349b1e553a4e9a48b8011202e4d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000011-minami-000-3-view.jpg?exp=10800,2024-11-27T21:25:22+09:00,2024-11-28T13:06:02+09:00,南日本新聞,minami,南日本新聞,358,（写真：南日本新聞社） 奄美海上保安部は２７日、勤務時間報告書を改ざんして超過勤務手当を不正に受け取ったとして、古仁屋海上保安署の男性２等海上保安正（４７）を懲戒免職処分にしたと発表した。 同保安部によると、男性は職員の勤務時間を管理する担当をしていた。自身の２０２３年４月と２３年１０月～２４年３月の勤務時間について、上司が確認した後に計８０時間多く改ざんし、超過勤務手当２６万７２２８円を不正に受け取った。 今年４月に上司が関係書類を確認して発覚した。勤務管理を怠ったとして、上司の３等海上保安監（５６）を減給２０分の１（１カ月）の懲戒処分にした。 同保安部の大場伊佐大部長は「信頼を失墜させたことを深くおわびする。二度と起こさないよう職員に公務員としての自覚を強く促す」とコメントした。 南日本新聞 | 鹿児島,[],[]
名前も魅力…ちんこ団子「ごっちゃんです!」　プロレスラー・後藤洋央紀選手も大満足の薩摩川内の食　地元高校生は弁当や菓子開発でバージョンアップ（南日本新聞）,https://news.yahoo.co.jp/articles/3a8e7e8ad503fe74057d93b316ab6dfd55cd05ed,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000010-minami-000-2-view.jpg?exp=10800,2024-11-27T21:00:31+09:00,2024-11-28T10:57:39+09:00,南日本新聞,minami,南日本新聞,601,「ちんこ団子」を手に笑顔の後藤洋央紀選手＝１４日、薩摩川内市役所 鹿児島県薩摩川内市は豊富な食を発信しようと、大会で訪れたプロレスラーに地元産品をＰＲ。地元の高校生たちも知恵をしぼって新商品を開発し、市役所でこれまでの成果を披露した。 【写真】川内商工高校の生徒が地元事業者らと考案した弁当とフィナンシェ＝薩摩川内市役所 新日本プロレスの後藤洋央紀選手は１４日、１２月６日開催の薩摩川内大会を前に訪問。市は地元産のウナギや黒毛和牛のほか、商品名が交流サイト（ＳＮＳ）で話題になった「ちんこ団子」も出して開催地の魅力をアピールした。 後藤選手は写真に収めて味わい、「ＳＮＳで発信したい」と満足げ。４年ぶりとなる同市での大会に向けては「明日を生きる活力を感じられる試合にしたい」と意気込んだ。 川内商工高校商業科３年生２８人は、市内の生産者や事業者の協力を得て弁当や菓子を開発。生徒５人が１８日、市役所で披露した。 タカエビのだしを使ったキーマカレーや、パッションフルーツのクッキーなど５品。生徒たちは菓子店や甑島の水産業者を訪れ、アドバイスを受けて完成させた。 市役所では、文化祭で販売して好評だったことを報告。「みんなで考え、多くの企業と一緒に作った弁当が完売して達成感がある」と話した。抹茶やサツマイモを使ったフィナンシェは今後、地元の菓子店「かしの樹」で期間限定で販売予定。 南日本新聞 | 鹿児島,[],[]
見通しのよい直線で車同士が正面衝突、高齢女性が意識不明の重体　霧島市（南日本新聞）,https://news.yahoo.co.jp/articles/da0bbd6fbc0d487530e82be6d32b09f6e109d838,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000009-minami-000-1-view.jpg?exp=10800,2024-11-27T20:45:22+09:00,2024-11-27T20:45:22+09:00,南日本新聞,minami,南日本新聞,216,（写真：南日本新聞社） ２７日午後０時３５分ごろ、鹿児島県霧島市福山町福山の国道１０号で、同市福山町福沢、職業不詳の男性（８５）の軽乗用車と、同市福山町福山、会社員男性（４８）の軽貨物車が正面衝突した。霧島署によると、軽乗用車に同乗していた高齢女性が意識不明の重体。運転していた男性も首などにけがを負ったが意識はある。軽貨物車の男性は軽傷とみられる。現場は片側１車線で見通しのよい直線。通行人が１１０番した。 南日本新聞 | 鹿児島,[],[]
強い体をつくりたい？…「いっぱい食べて、いっぱい寝る」　十両・大奄美（190キロ）が母校の鹿児島商高で後輩にエール（南日本新聞）,https://news.yahoo.co.jp/articles/05efb9d020a4b33cbfecde9354485c578e011e3c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000008-minami-000-1-view.jpg?exp=10800,2024-11-27T17:03:21+09:00,2024-11-27T17:03:21+09:00,南日本新聞,minami,南日本新聞,428,生徒の質問に答える大奄美関（中央）。左隣は千賀ノ浦親方＝鹿児島市の鹿児島商業高校 大相撲九州場所を終えた十両の大奄美関や千賀ノ浦親方（元幕内里山）らが２６日、母校の鹿児島商業高校（鹿児島市）を訪れ、後輩にエールを送った。 【写真】生徒に拍手で送り出される現役力士の大奄美ら＝鹿児島市の鹿児島商業高 創立１３０周年記念行事で、２人のほか幕下の豊翔、伊波、海乃島、序二段の薩摩翔、序ノ口呼び出しの隈二郎が招かれた。いずれも同校相撲部出身。「頑張り続ければ見える景色も変わる」「嫌なことも徹底してするのが大事」などと努力の大切さを呼びかけた。 話すのが苦手という大奄美関は講話ではなく、自ら質問タイムに切り替え。生徒から強い体のつくり方を尋ねられると、１９０キロの巨体の胸を張り「いっぱい食べて、いっぱい寝ること」と答え、笑いを誘った。 相撲部の３年栁賢士朗さんは「歴史と伝統をつないでくれている。こういう先輩たちを目指したい」と話した。 南日本新聞 | 鹿児島,[],[]
サッカースタジアム整備で迷走した鹿児島市・下鶴市長…結果が求められる2期目、調整力不足を補うために必要なもの（南日本新聞）,https://news.yahoo.co.jp/articles/c6f6721257a311a59abc0ddd9bf3027e8853e1c6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000007-minami-000-1-view.jpg?exp=10800,2024-11-27T11:51:00+09:00,2024-11-27T11:51:00+09:00,南日本新聞,minami,南日本新聞,819,当選を確実にし、花束を手に笑顔を見せる下鶴隆央さん＝２４日、鹿児島市東千石町 ２４日の鹿児島市長選で下鶴隆央氏が続投を決めた。期待感を込めて選ばれた１期目とは異なり、２期目は結果が求められる。選挙戦で掲げた「選ばれるまち」の実現には、さまざまな意見を踏まえて合意へとまとめ上げる力が求められる。 １期目はサッカースタジアム整備を巡り迷走した。ドルフィンポート跡地、住吉町１５番街区、浜町バス車庫、北ふ頭の各候補地は、地権者である県・民間の同意を得られなかったことなどから白紙となった。前市長時代の発案から８年。移転方針の鹿児島サンロイヤルホテルの跡地が浮上しているものの、県や民間と連携した「オール鹿児島」の取り組みに具体的な進展は見られない。 ある市議は下鶴氏を「一方的に物事を進めようとし、相談や根回しが不十分だ」と指摘する。２０２３年５月、スタジアム構想を含む共通課題の情報共有を目的に県議を招いて説明会を開きながら、冒頭あいさつ後に途中退席しようとし物議を醸したこともあった。 今回の選挙でも調整力に疑問符がついた。立候補表明した今年９月上旬、県内各政党から推薦を得たいとの考えを公言。しかし市議会最大会派の自民党市議団から内諾を得られず、結局は他政党を含めて推薦願の提出自体を見送った。 市職員からは「もう少しビンタ（頭）を下げ、関係各所とうまくやってほしい」との本音も漏れる。 一方で、県議時代から無所属・草の根スタイルを貫く下鶴氏に対し、しがらみのない政治、既得権益に縛られないリーダーシップを期待する有権者の声もある。４年前の市長選では、政党・団体が支援する元副市長や元市議との激戦を制した。今回選挙の“信任”も引き続き、刷新への願いが込められている。 独自性が過ぎれば角が立ち、長いものに巻かれれば期待に背くことになる。下鶴氏の２期目は、政治家としてのバランス感覚が問われているともいえるだろう。 南日本新聞 | 鹿児島,[],[]
学びたい科目がない、進路指導担当もお薦めしない…県立短大の人気低迷、アンケートで浮き彫りに（南日本新聞）,https://news.yahoo.co.jp/articles/960eb83ab6efbc53d39f9b7aab00232db7560b8f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000006-minami-000-1-view.jpg?exp=10800,2024-11-27T11:34:22+09:00,2024-11-27T11:34:22+09:00,南日本新聞,minami,南日本新聞,963,鹿児島県立短期大学＝鹿児島市下伊敷１丁目 鹿児島県立短期大（鹿児島市）の活性化策を検討している県の有識者委員会で、県内高校の生徒や進路指導担当者、企業などに実施したアンケート調査結果が示された。時代の要請に対応した教育内容を探るのが目的で、学生確保に悩む県短の課題が浮き彫りとなった。 【写真】高校２年生を対象にしたアンケートの結果をグラフで見る 県内５７高校の２年生５８７７人が回答した。約７割に当たる４２９７人が進学を望んでいると答え、うち進学希望先に「短大」を選んだのは１４．３％の６１５人だった。短大希望者が志望する学部・学科系統（三つまで選択可）は「教育」が最多の１９６人で、「食物・栄養」８５人、「経済学」８３人などだった。 県内短大を希望する４８６人のうち、県立短大志望は１１６人、未定が２１８人。県短を志望していない１４６人に理由（三つまで選択可）を尋ねると、「学びたい内容の科目（授業）がない」が最も多く、「別の４年制大・短大を志望先としている」「希望する資格を取得できない」が続いた。 短大希望者は全国的に減少傾向にある上、県短の教育内容が高校生のニーズに応えられていない状況が浮かび上がる。 高校の進路指導担当１０２人へのアンケートでも、進学先がはっきりと定まっていない生徒へ県短を薦めているか聞いたところ、「あまり薦めていない」が４７人、「全く薦めていない」の７人と合わせて計５２．９％に上った。「よく薦めている」は２９人（２８．４％）、「回答しない」１９人（１８．６％）だった。 薦めない理由（三つまで選択可）は「生徒に学ばせたい内容の科目（授業）がない」や「別に薦めたい学校がある」が目立った。 企業側は、どう見ているのか。県内３００社へのアンケートでは、県短に取り組んでほしい教育内容を聞いた。コミュニケーション力やプログラミング、語学といった声が寄せられた。 検討委は、高校生や産業界のニーズを踏まえた教育内容の見直しが必要とみて議論を進める。５日に県庁であった第３回会合では、アンケート結果を基に「観光学」の導入について賛否が出たほか、社会人が学び直す「リカレント教育」の充実などについて意見を出し合った。 今後は本年度内に残り２回の会合を開き、提言をまとめる予定だ。 南日本新聞 | 鹿児島,[],[]
それ詐欺かもチェックシートが役立った…ファミマ店員が高額電子マネーカードを買おうとした高齢者説得（南日本新聞）,https://news.yahoo.co.jp/articles/683296d86b7191de171299630e658adf7b95f307,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000005-minami-000-1-view.jpg?exp=10800,2024-11-27T11:11:21+09:00,2024-11-27T11:11:21+09:00,南日本新聞,minami,南日本新聞,420,詐欺被害を防ぎ、感謝状を受けた下薗陸人さん（左）、牛堀杏香さん（中央）＝阿久根市の阿久根警察署 阿久根警察署は、うそ電話によるサポート詐欺被害を防いだとして、鹿児島県阿久根市塩浜町のファミリーマート阿久根波留店の店員、牛堀杏香さん（２０）と下薗陸人さん（１９）に感謝状を贈った。 米津玄師さん名乗り「契約で20万必要。助けて」…県警がうそ電話詐欺の手口公開 同署によると、９月７日深夜、市内の７０代男性が電子マネーカードを買いに来店。不審に思った牛堀さんが詐欺の事例を列挙したチェックシートを見せると、男性は「パソコンがウイルスに感染し、表示された番号に電話すると、５万円分のカードを買うよう指示された」と説明。下薗さんとともに購入をやめるよう説得し、警察に通報した。 贈呈式は同署で１２日あり、２人は「事件に遭遇するとは思わなかったが、被害を防げて良かった。今後も詐欺に遭う人を減らせるよう努めたい」と話していた。 南日本新聞 | 鹿児島,[],[]
離島の小さな集落の女性殺害から1週間、50人態勢で捜査続くも有力な手掛かりなし　「すぐ解決すると思ったが…」住民に募る不安　徳之島・伊仙（南日本新聞）,https://news.yahoo.co.jp/articles/07803c1342dddfe0913186100a1556c69d469f53,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000004-minami-000-2-view.jpg?exp=10800,2024-11-27T07:00:21+09:00,2024-11-28T10:47:26+09:00,南日本新聞,minami,南日本新聞,699,発生時間帯に合わせ現場付近で検問する徳之島署員ら＝２１日午後５時半ごろ、伊仙町佐弁 ２０日夕方、鹿児島県伊仙町佐弁の保育士の女性（５５）が自宅で死亡しているのが見つかった殺人事件は、２７日で発生から１週間を迎えた。県警は捜査本部を設置し、５０人態勢で聞き込みや現場検証を続けているが、「凶器は見つかっておらず、容疑者浮上には至っていない」。人口約７０人の集落で起きた凶行に、住民からは不安の声が聞かれる。 【写真】〈関連〉現場の鑑識作業に入る捜査員ら＝２２日午前８時２５分ごろ、伊仙町佐弁 女性の告別式は２５日に営まれた。参列者によると、数え切れないほどの花が手向けられ、遺族や集落の住民、同級生らが冥福を祈ったという。現場近くに住む男性（８２）は「本当にかわいそうだ。すぐ解決すると思っていたが、捜査は何も進展していないように感じる」と話した。 消防によると、２０日午後６時すぎ「帰宅すると妻が倒れており冷たくなっている。出血して切り傷がみられる」と１１９番があった。首から出血があったという。駆けつけた隊員がその場で死亡を確認し、１１０番した。消防は通報者を明らかにしておらず、県警は「被害者の関係者」と発表している。 県警は遺体発見から２日後の２２日、司法解剖により死因が「出血性ショック」と判明したことなどから殺人事件と断定。徳之島署に捜査本部を設置した。検問によるドライブレコーダー映像の確認など不審者の洗い出しを進めているが、有力な情報はないという。 現場近くの女性（８３）は「事件後からしっかり戸締まりをするようになった。早く犯人を捕まえてほしい」と心配した。 南日本新聞 | 鹿児島,[],[]
イプシロンSエンジン再び爆発…原因究明、施設の復旧と再々試験へ課題山積　「失敗糧に成功を」初号機打ち上げ予定地からは応援の声（南日本新聞）,https://news.yahoo.co.jp/articles/2a9cb79a798b5c4aabe7d2c92bc1958e12748bf9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241127-00000003-minami-000-1-view.jpg?exp=10800,2024-11-27T06:30:24+09:00,2024-11-27T06:30:24+09:00,南日本新聞,minami,南日本新聞,1077,爆発が起きた燃焼実験場＝２６日午後１時半ごろ、南種子町の種子島宇宙センター 小型固体燃料ロケット「イプシロンＳ」の２段目エンジンは２６日の地上燃焼試験で再び爆発を起こし、種子島宇宙センター（鹿児島県南種子町）の試験場が損傷した。原因究明の長期化が予想され、再々試験の場所の確保も難しく、内之浦宇宙空間観測所（肝付町）で予定されている本年度の打ち上げは事実上難しくなった。 【写真】燃焼試験中に爆発した「イプシロンＳ」の２段目エンジン＝２６日、南種子町の種子島宇宙センター（ＪＡＸＡ提供） 爆発から約５時間後。試験場周辺は焦げた破片が散乱し、設備の損傷を確認する関係者の姿が見られた。隣接する海にも部品が飛散した可能性があるという。 「これから２００項目のデータを詳細に評価する」「飛散したモーターを集めて確認しなければ」。同センターで会見した宇宙航空研究開発機構（ＪＡＸＡ）の井元隆行プロジェクトマネージャは、改めて多くの課題を突き付けられ、厳しい表情を崩さなかった。 ２０２３年７月、秋田県の実験場であった試験では爆発で施設が破壊され、再建は２７年度の見通し。同実験場の別の施設は大規模な保安対策が必要とされ、種子島宇宙センターの復旧を待つのが現実的だ。ただ、井元マネージャは「復旧には数カ月かかる可能性がある」と話す。 燃焼試験は「必須」とするだけに、年度内のイプシロンＳ打ち上げは「厳しい」とみる。「もう３度目はない。徹底的に全ての対策を打つことになる」と奮い立たせた。 ◇ ２６日に南種子町の種子島宇宙センターであったエンジンの燃焼試験で爆発が起きた小型固体燃料ロケット「イプシロンＳ」は、肝付町の内之浦宇宙空間観測所で本年度、初号機の打ち上げが予定されている。町関係者からは「残念だが、今回の失敗を成功につなげてほしい」と激励の声が上がった。 エンジンは、昨年７月の試験でも爆発事故を起こした。同町の永野和行町長（７３）は「開発に関わる人たちが一番悔しいだろう」と思いやる。今回の試験の行方を気にしていたところ、ネットの速報で爆発を知ったという。「本年度の打ち上げへの影響は気になるが、この失敗を次への手がかりにして頑張ってほしい」と励ました。 同町観光協会の山下建一会長（５７）も「結果は残念だが、応援の気持ちが強い」と力を込める。打ち上げは全国の宇宙ファンが楽しみにしているとして「ロケットの発射風景は美しく、迫力がある。宇宙産業に各国が力を入れて注目が集まる中で、内之浦から飛び立つのを楽しみにしている」と話した。 南日本新聞 | 鹿児島,[],[]
