headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
フィリピンから麻薬密輸しようとした罪に問われた男　初公判「共謀なかった」と無罪主張（MBC南日本放送）,https://news.yahoo.co.jp/articles/a9ac55a1994aa217011a210e39e5a32d645c0e99,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069715-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-01T19:53:00+09:00,2024-02-01T19:53:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,538,\nフィリピンから宅配便で麻薬を密輸しようとした罪に問われている男の裁判が１日、鹿児島地方裁判所で始まり、男は起訴内容を否認し無罪を主張しました。\n\n麻薬及び向精神薬取締法違反などの罪に問われているのは、大阪府東大阪市の建設業・金廣亮平被告（２６）です。\n\n起訴状などによりますと、金廣被告は去年８月、友人の男と共謀して、サイロシビンなどの麻薬およそ４．０４グラムをフィリピンから屋久島の宿泊施設に密輸しようとした罪に問われています。\n輸入検査場の職員が不審に思い確認したところ、コーヒー豆と共に麻薬が見つかりました。\n\n鹿児島地裁は先月１９日、共犯とされる友人の男に対し「金廣被告と情報交換する間柄で、共謀して麻薬を密輸しようとした」として懲役１年、執行猶予３年の有罪判決を出しています。\n\n１日の初公判で検察は、「共犯とされる男が金廣被告に対し、麻薬の取り分を伝えるＬＩＮＥを送っていた」とし、「共謀して密輸しようとした」と指摘しました。\n一方の弁護側は「取り分の連絡に対し返信はしておらず、共犯は成立しない」などと訴えていて、１日の裁判で「共謀はなかった」と無罪を主張しました。\n\n次の裁判は来月４日に行われます。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069715-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/a9ac55a1994aa217011a210e39e5a32d645c0e99/images/000']
月面探査機「ＳＬＩＭ」が再び休眠状態へ　２月中旬以降の運用再開目指す（MBC南日本放送）,https://news.yahoo.co.jp/articles/52646407ab6bdff8f3a978f146fe89394a396e97,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069714-mbcnewsv-000-2-view.jpg?exp=10800,2024-02-01T19:52:00+09:00,2024-02-01T19:53:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,396,\nＪＡＸＡ＝宇宙航空研究開発機構は、種子島から去年打ち上げられ先月から月面調査を行っていた探査機「ＳＬＩＭ」が休眠状態に入ったと明らかにしました。\n\nＳＬＩＭは、先月２０日に日本初の月面着陸をしましたが、エンジントラブルで想定外の姿勢で着陸したため、太陽電池パネルが西を向いて太陽光があたらず、一時的に運用が停止されました。\n太陽の向きが変わって発電ができるようになり２８日に通信が確認されたため、３０日から３１日にかけて岩の観測などの月面での運用が行われました。\n\nしかし、その後、着陸地点の太陽が沈んで再び発電が難しくなったため、休眠状態に入ったということです。ＪＡＸＡは、ＳＬＩＭに再び太陽光があたる今月中旬以降の運用再開を目指しています。\nただ、月が夜を迎えると、およそ氷点下１７０度まで下がるため、電子機器に影響がでる可能性もあります。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069714-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/52646407ab6bdff8f3a978f146fe89394a396e97/images/000']
「トマトショック」でケチャップや野菜ジュースなど高騰　２月は食品１６２６品目値上げ（MBC南日本放送）,https://news.yahoo.co.jp/articles/d11cdb8971b91c021a81e3a3766a6d8ed7453659,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069712-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-01T19:34:00+09:00,2024-02-01T19:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1111,\nMBC南日本放送\nきょうから２月、今年最初の値上げラッシュです。去年は３万品目以上の食品が値上がりし、家計に大きな打撃を与えました。ことしも値上げ傾向は続く見込みで、今月は１０００品目以上の価格があがります。\n\n帝国データバンクによりますと、去年秋以降、食品の値上げは緩やかでしたが、今月は１６２６品目と４か月ぶりに１０００品目を超えました。\n\n「今年最初の値上げの波。中でも目立つのが、トマトを使った商品です」\n\n去年、世界的な猛暑による不作で価格が高騰したトマト。鹿児島県内でも一時、１玉４００円近くまで上がりました。現在は平年並みに落ち着きましたが、この「トマトショック」の影響で、トマトを使った加工品の多くが値上がりします。\n\nパスタソースは、▼ニップンが最大４％、▼日清製粉ウェルナが最大７％値上げ。▼カゴメはパスタソースのほか、ケチャップなどが最大１６．４％、トマトジュースなどが最大１３．６％値上がりします。\n▼伊藤園も野菜ジュースなどを最大１５．８％値上げします。\n\n（買い物客）\n「ケチャップをよく使う。オムライスとか。痛手」\n「スパゲッティとかよく食べる。もう仕方ない、安いところを探すしかない」\n\n和食に欠かせない「だし」も値上げです。カツオの不漁や缶詰需要の高まりで、▼はごろもフーズ、▼ヤマキなどは、かつお節やだし製品などをそれぞれ最大２０％値上げ。\n\nまた菓子類は、包装資材や物流費高騰などの影響で、▼カンロがアメやグミなどを３～１６％、▼グリコがクッキーやチョコレートなどを３～１３％値上げします。\n\n（フレッシュフィールドなりざわ中山店 中間勝志店長）「２月１日からの納品分は値段が上がっているが、先月末までに店に在庫として入っている分は値上げ前の値段で提供している。今月いっぱいまでは、なんとか持ちこたえられるのでは」\n\nなお、農林水産省によりますと、２月の野菜の価格の見通しは、夏場の高温の影響などでタマネギや白菜、キャベツが全国的に高値の傾向です。\n\nフレッシュフィールドなりざわでは、今月１日時点ではタマネギは平年より２～３割高い３玉２３８円でしたが、白菜とキャベツはほぼ平年並みの価格でした。「仕入れる産地によって価格は変わるため、変動は見通せない」としています。\n\n４月には、トラックドライバーの労働時間の規制強化による輸送量の減少など「２０２４年問題」に対応するため、さらに３０００品目を超える食品の値上げが予想されています。\n\n今年も続く値上げの波、暮らしへの影響が長引きそうです。\nMBC南日本放送 | 鹿児島,[],[]
九州自動車道　人吉IC～八代JCT（上り）車両火災のため通行止め（MBC南日本放送）,https://news.yahoo.co.jp/articles/37601d2970cd77069ebfaf23e0893dfa70cef045,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069717-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-01T20:17:00+09:00,2024-02-01T20:17:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,93,\nネクスコ西日本によりますと、九州自動車道の人吉インターから八代ジャンクションに向かう上り線は、車両火災のため１日午後８時現在、通行止めとなっています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069717-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/37601d2970cd77069ebfaf23e0893dfa70cef045/images/000']
鹿児島ユナイテッドＦＣ　２０２４シーズンスローガン発表！　新キャプテンは木村に（MBC南日本放送）,https://news.yahoo.co.jp/articles/2d0e8212cb5324530a1f6e08f27828d5b8bb89f0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069716-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-01T20:18:00+09:00,2024-02-01T20:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,391,\n５年ぶりのＪ２に挑む鹿児島ユナイテッドＦＣは、１日、２０２４シーズンのスローガンと、チームキャプテンを発表しました。\n\n発表された今季のスローガンは、”Ｗｅ Ａｒｅ Ｔｈｅ Ｃｈａｌｌｅｎｇｅｒｓ”。「去年の昇格の喜びは胸の奥に大切にしまい、１年で降格した悔しさを思い出せ。時代を動かすことができるのは、勇気あるチャレンジャー。１つ１つの瞬間をアグレッシブに戦い抜く」との意味が込められました。\n\nまた、新シーズンのチームキャプテンに、チーム３年目で２年連続で３０試合以上に出場しているベテランの木村祐志選手が就任したことが合わせて発表されました。木村選手はクラブを通して、「より責任感・覚悟を持って１年間戦っていきたい」とコメントを出しました。\n\nこのほか、井林章選手・山口卓己選手・米澤怜衣選手の３人が副キャプテンに決まりました。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069716-mbcnewsv-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/2d0e8212cb5324530a1f6e08f27828d5b8bb89f0/images/000']
港湾関係者から「いまだ理解得られず」　市議「市長が動かないといけない」　膠着状態のスタジアム計画で市議会特別委（MBC南日本放送）,https://news.yahoo.co.jp/articles/55330143a5c8904382ff6cca77c99dcf6a7b94bb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069711-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-01T19:31:00+09:00,2024-02-01T19:31:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,637,\nMBC南日本放送\n鹿児島市が北ふ頭で整備を計画しているサッカースタジアムについて、港湾関係者と協議を続けている市は１日、「いまだ整備に理解が得られていない」ことを明らかにしました。\n\n（鹿児島市の担当者）「（協議に）目立った進展はない」\n\nサッカースタジアム整備に向け、鹿児島市は去年６月、北ふ頭を新たな候補地としました。\nただ、北ふ頭は離島航路の拠点となっていて、港湾施設の機能確保や人流・物流への影響を懸念する声が上がり、市は去年１０月、港湾機能を維持し、高架歩道を設けて歩行者と物流を分ける案を新たに示しました。\n\n市はこれまで、整備の実現性について港湾関係者と協議を続けてきましたが、１日の市議会特別委員会で、いまだ理解が得られていないことを明らかにしました。\n\n（市の担当者）「現時点では不安を払しょくするに至っていない。物流は渋滞とか安全対策の問題が解決していないという意見がある」\n\n北ふ頭は県が所有していますが、塩田知事は現時点でスタジアム整備に難色を示しています。１日は、首長同士が「もっと話し合うべき」との意見も出されました。\n\n（市議）「（知事に）伝える努力も見えないし、知事とどういう関係を構築しているのかも見えない。市長が最終判断をすべきだし、最終判断をするべく、動かないといけない。部下に行かせている場合じゃないという話」\n\n市は引き続き、県や港湾関係者と協議を続ける方針です。\nMBC南日本放送 | 鹿児島,[],[]
生活保護引き下げ訴訟で一部認定の原告「市は控訴取り下げて」声明発表（MBC南日本放送）,https://news.yahoo.co.jp/articles/db207175c01309d832ab2f4258d078a1dbf64f4d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069710-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-01T19:29:00+09:00,2024-02-01T19:29:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,527,\nMBC南日本放送\n鹿児島県内の受給者が生活保護の引き下げの取り消しなどを求めた裁判で、鹿児島地方裁判所は先月原告の訴えを一部認めました。\n鹿児島市と出水市はこの判決を不服として控訴しましたが、原告側は１日、控訴を取り消すよう求めました。\n\n（生存権裁判を支援する鹿児島２５条の会 伊藤周平会長）「厚生労働省の弱者への仕打ちに従い、司法の判断を無視して控訴するなど認められない」\n\nこの裁判は、県内に住む生活保護の受給者３０人が「支給額を引き下げたのは違法」とし、鹿児島市と出水市に対して引き下げの取り消しを求めたものです。\n\n鹿児島地裁は、先月１５日の判決で引き下げの取り消しを命じましたが、鹿児島市と出水市は判決を不服とし、福岡高裁宮崎支部に控訴しました。\nこれに対し、原告らが１日に会見し、控訴の取り下げを求める声明を発表しました。\n\n（出水市原告の田上和義さん）「怒りというよりもがく然とする。裁判（鹿児島地裁）が認めてくれたのなら本当は控訴してはいけない」\n\n裁判では、国による慰謝料の支払いは認められなかったことから、原告側は先月２９日付で福岡高裁宮崎支部に控訴したということです。\nMBC南日本放送 | 鹿児島,[],[]
「メロン農家になって家族に恩返し」鹿屋農業高校　営農の門出を励ます会（MBC南日本放送）,https://news.yahoo.co.jp/articles/8c33ad789c3be825f23a281d55fe196ca8284e15,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069709-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-01T19:27:00+09:00,2024-02-01T19:27:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,417,\nMBC南日本放送\n鹿児島県の鹿屋農業高校で、農業大学校などに進学したり農業を始めたりする３年生を激励する会が開かれました。\n\n「営農の門出を励ます会」は、鹿屋農業高校を卒業する生徒の中で、農業大学校などに進学したり、農業法人に就職したりする生徒を対象に毎年開かれています。\n今年は３年生１４１人のうち２２人が農業を志すということで、抱負を述べました。\n\n（県立農業大学校に進学する園芸科・戸口田和輝さん）「メロンの栽培を学んで、いつか父と祖父母に恩返しができるように頑張って、将来的には祖父母の背中を追い越したい」\n\n（北海道の農業専門学校に進学する畜産科・新羽坪真紀さん）「北海道の八紘学園で酪農を専門的に学んで、地元・鹿児島に帰ってきて、自分も酪農経営を一から始めたい」\n\n２２人のうち、１８人が県立農業大学校に進学、３人は県外に進学１人は農業関係の企業に就職する予定です。\nMBC南日本放送 | 鹿児島,[],[]
ばくだんおむすび「マグマ飯」　鹿児島・宮崎のコンビニで期間限定販売へ（MBC南日本放送）,https://news.yahoo.co.jp/articles/0e750c5780b41caaa6f2e9f0e489f024b3471bac,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069707-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-01T19:22:00+09:00,2024-02-01T19:22:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,592,\nMBC南日本放送\n鹿児島市の飲食店で桜島のマグマをイメージした「マグマ飯」の提供が始まっています。１日は、コンビニエンスストアで売られるおむすびがお披露目されました。\n\n鹿児島と宮崎県内のファミリーマートで今月６日から販売されるのは「マグマ飯ばくだんおむすび」です。\n\n「マグマ飯」は、焼き芋を食べながら鹿児島市電で街を巡る「マグマやきいも電車」が今月１０日から運行されるのにあわせて、沿線の２３の飲食店などで提供されるものです。\n\n南九州ファミリーマートの「ばくだんおむすび」は、通常のおにぎりの１．５倍の大きさで、桜島をイメージした三角型に赤のキムチチャーハン、県産の赤鶏さつまの唐揚げと黒豚みそで、鹿児島ならではの商品に仕上げました。\n\n１日はＰＲのため、南九州ファミリーマートの飯塚隆社長ら４人が市役所を訪れました。\n\n（下鶴市長）「食べ応えありますね。ひとつのおにぎりでいろんな味が楽しめるのが魅力ですね」\n\n（南九州ファミリーマート 飯塚隆社長）「それぞれの食材の魅力が鹿児島の魅力として伝わるように商品化してきましたので、いろんな方に食べていただければと思っています」\n\n「マグマ飯ばくだんおむすび」は今月６日から２６日まで、鹿児島、宮崎県内のおよそ３９０店舗のファミリーマートで２７８円で販売されます。\nMBC南日本放送 | 鹿児島,[],[]
ネコ好き必見！仙巌園で２月限定の工芸体験　元禄時代から伝わる垂水人形の絵付け（MBC南日本放送）,https://news.yahoo.co.jp/articles/7c30c66c17a4c693a165d6b531ac20161dd7ecde,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069708-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-01T19:24:00+09:00,2024-02-01T19:24:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,586,\nMBC南日本放送\n仙巌園で今月１日から期間限定で伝統工芸品の製作体験が始まりました。どんな体験なのでしょうか？ネコ好きの方、必見です。\n\n鹿児島市の仙巌園におととしオープンした「体験施設」。鹿児島の伝統や文化を学べる新たなスポットになっています。\n薩摩切子のかけらでつくるキーホルダーや薩摩焼の絵付けのほか、大島紬の匂い袋作りなど、思い出にもお土産にもなる製作体験が揃います。\n\nそして、２月限定で１日から始まったのが、元禄時代から伝わる「垂水人形の絵付け」です。２月２２日のネコの日にちなみ、ネコの形をした真っ白な垂水人形に薄い色から順番に色付けしていきます。\n\n（レポーター）「息が止まる…息が止まります」「なんとも言えない表情に仕上がりつつある、大丈夫ですか？」\n\n（担当スタッフ 三好玲央南さん）「大丈夫、でもグレーを使ったことでちょっと顔が優しく見える」\n\nおよそ３０分…。一見、牛のような？ネコが完成。楽しみながら鹿児島の伝統文化に触れられる時間です。\n\n（仙巌園業務企画課 岩川拓夫担当課長）「鹿児島県内、数百年の人々の歩みがあって、その人たちが作った匠の技がある。ぜひ体験してもらえたら」\n\n垂水人形の絵付け体験は２月いっぱい体験できます。\n（小１５００円／中２０００円／大２５００円）\nMBC南日本放送 | 鹿児島,[],[]
能登半島地震１か月　石川県防災助言の専門家　想定・初動に問題と振り返る「県への働きかけ不十分だった」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/288d8786dff68d470f633d553759e5a600db4972,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240201-00069705-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-01T19:17:00+09:00,2024-02-01T19:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,2049,\nMBC南日本放送\n能登半島地震は、明治時代の濃尾地震をも上回る内陸直下最悪の地震規模となりました。\n２９年前の阪神・淡路大震災を教訓に石川県の災害危機管理を助言していた専門家は、事前想定と実際に起きてからの初動ともに問題があったとして、自らの働きかけが不十分だったと振り返ります。\n\n（神戸大 室崎益輝名誉教授）\n「阪神・淡路大震災は比較的小さな家が軒並み倒れているとの印象。（能登半島地震は）本当に大規模な住宅が屋根から落ちている状況。（今後）家屋の耐震補強はどうすればいいかよく分からない」\n\nことし元日の午後４時１０分に起きた能登半島地震。\n最大震度７の揺れで石川県の輪島市と珠洲市（すずし）を中心に直接死２２５人に上りました。\n\n震源は輪島市の東北東３０キロ付近。深さ１６キロ。３つの断層が１５０キロにわたって連動し、マグニチュードは７．６に達しました。\n\n（神戸大 室崎益輝名誉教授）\n「すごくびっくりした。２０２０年ぐらいから石川・珠洲市の直下で最大・震度６弱程度の地震が繰り返していた。今回はその部分だけでなく、連続する３つの大きな断層が一斉に動いた」\n\n被災した石川県の災害危機管理アドバイザーと、震災対策部会長を務める神戸大学・室崎益輝名誉教授です。地震の６日後に現地入りし、そのすさまじさに圧倒されたと語ります。\n\n（神戸大 室崎益輝名誉教授）\n「壊れ方が持っている迫力は、阪神・淡路大震災をはるか上回る。衝撃・悲惨さは今回のほうが激しい。たまたま過疎地だったので２３０人～という犠牲者。人口密度当たりの犠牲者の比率は阪神・淡路大震災より多いと思う」\n\n内陸直下の地震だった今回の能登半島地震。気象庁マグニチュードと異なる国際的に使われるモーメントマグニチュードで地震の規模を比べるとさらにそのすさまじさが浮き彫りになります。\n\n直接死５５００人余りの阪神・淡路大震災の９倍。国が対策を進める死者想定２万３０００人の首都直下地震の２倍。これまで内陸最大とされた明治時代の濃尾地震をも上回り、直下型地震として観測史上最悪の規模と分かります。\n\n（神戸大 室崎益輝名誉教授）\n「（揺れの）質が違う。壊れていない箇所を捜すのが難しいぐらい、ことごとく壊れている。家屋の耐震化を（今後）どうすればいいのかよくわからない。揺れと隆起・地殻変動の両方で壊れている」\n\n未曽有の揺れを受け、鹿児島からもこの１か月、さまざまな部隊が被災地に向かいました。\n\nそのひとつ、川内川河川事務所。ドローンを使った被害状況調査の一員として１６日から４日間活動した米元博之専門官です。\n\n石川県珠洲市では・・・\n\n（川内川河川事務所 米元博之専門官）\n「いたるところが崩れていて、道路も何か所も全部寸断されている。大きい石も落ちてきている。２０メートルぐらいの大きい石。（現場は）まだ救助活動している場所。衝撃。ここまで崩れるのか」\n\nまた輪島市では山が崩壊して渓流の水も合わせて土石流化し１キロ下の集落の家々を飲み込んでいる現場も調査しました。\nすさまじい土砂災害のようすを鹿児島にも伝えていきたいと思いをかみしめます。\n\n（川内川河川事務所 米元博之専門官）\n「いつ私たちの近くで起こるかも分からない。調査した情報はしっかり届け、（鹿児島県民に）備えていただきたい」\n\n今回の地震を巡っては初動の遅れ・想定の甘さも指摘されています。\n国は当初、地震発生から、内閣総理大臣を本部長とする非常災害対策本部の設置まで６時間半かかり、会議に至っては翌２日の午前にずれこみました。\n\n石川県は、事前の防災計画で実際に起きた規模の８分の１に過ぎないマグニチュード７を想定した備えを２６年続けていました。\n\n犠牲者５５００人余りの阪神・淡路大震災では揺れの直後３万人が生き埋めになりました。\n\n室崎名誉教授は、気象庁がマグニチュード７．６と発表したあとですら、国・県ともに内陸最悪規模のこの数字が持つ意味を理解できないまま初動を突き進んだのではないかと推察します。\n\n（神戸大 室崎益輝名誉教授）\n「油断ということにつながるが、今回のようなとんでもない地震が起きるとは思っていない中で初動対応したと思う。状況判断として誤りだった」\n\n２９年前の阪神・淡路大震災で、神戸市の防災計画を主導していたとして激しい批判にさらされ、その教訓を伝え続けた室崎名誉教授。能登半島地震は自分自身にとって第二の失敗と声を絞ります。\n\n（神戸大 室崎益輝・名誉教授）\n「２回目の過ちを繰り返した。行政に対する働きかけが不十分だった。専門家と行政がいい意味での密接な関係をどう作るのかということが今回の反省材料。行政にもっと向き合わないといけない」\n\n※室崎名誉教授の崎は「たつさき」\nMBC南日本放送 | 鹿児島,[],[]
