headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「腹が…減った…」　和牛や黒豚、黒さつま鶏などの試食販売「元気もりもり!!畜産フェア」は12月1日まで　イオンモール鹿児島（南日本新聞）,https://news.yahoo.co.jp/articles/527f60b72a6ba7bdef8a781777f343f890954813,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000012-minami-000-2-view.jpg?exp=10800,2024-11-30T21:30:21+09:00,2024-11-30T22:54:10+09:00,南日本新聞,minami,南日本新聞,409,鹿児島黒牛の焼き肉を試食する来場者＝３０日、鹿児島市のイオンモール鹿児島 鹿児島県産畜産物の消費拡大を図る「元気もりもり！！畜産フェア」が３０日、鹿児島市のイオンモール鹿児島であった。和牛や黒豚、黒さつま鶏をはじめとする肉や加工品の試食販売があり、家族連れらでにぎわった。１２月１日まで。 【関連】牛、豚、鶏…あぁ、もううまい。肉にまみれる「肉月灯」が30日開幕 鹿児島市中央公園で12月1日も 食肉会社や畜産団体がブースを出し、鹿児島黒牛のＡ５ランクの肉やかごしま黒豚のウインナー、卵などを販売した。肉や飲むヨーグルトの試食、蜂蜜搾り体験も好評だった。試食した同市春山小学校４年の福島愛弓さんは「牛肉が好き。いつもの肉よりやわらかくておいしい」と話した。 フェアは「かごしま畜産の日」実行委員会（事務局・県畜産振興課）が、１１月２９日の「いい肉の日」前後に毎年開催。１２月１日は午後４時まで。 南日本新聞 | 鹿児島,[],[]
日航機、鹿児島空港で着陸後にタイヤがパンク　けが人なし、滑走路一時閉鎖（南日本新聞）,https://news.yahoo.co.jp/articles/3a60a61e5775edf8d125954d44bbd27490344f82,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000011-minami-000-3-view.jpg?exp=10800,2024-11-30T21:05:21+09:00,2024-11-30T22:56:24+09:00,南日本新聞,minami,南日本新聞,457,着陸後にタイヤがパンクし、白煙を上げた日航機＝３０日午後１時４５分ごろ、霧島市の鹿児島空港（冷水悠真さん提供） ３０日午後１時４５分ごろ、羽田発鹿児島行きの日本航空（ＪＡＬ）６４７便ボーイング７３７が、鹿児島空港着陸後に機体右側のタイヤがパンクした。白煙が上がったものの火災は発生せず、乗客１４４人と乗員６人にけがはなかった。滑走路は一時閉鎖され、欠航や遅れが出た。 【写真】鹿児島空港着陸後にパンクした日航機のタイヤ＝３０日午後１時４５分ごろ、霧島市の同空港（冷水悠真さん提供） 鹿児島空港事務所によると、滑走路の安全確認のため午後１時５９分まで閉鎖した。異常は見つからなかった。 目撃した霧島市の大学３年生冷水悠真さん（２０）によると、機体が着陸後、数秒間走行した後「バーン」という爆発音がし、白煙が上がった。 同機は午前１１時５５分ごろ羽田を出発。鹿児島から羽田に折り返す予定だったが、パンクの影響で欠航した。別の到着便２便に最大１０分の遅れが出た。１２月１日は通常通り運航する予定。 南日本新聞 | 鹿児島,[],[]
夢物語か、強い気持ちの表れか…石破首相の地方創生「再起動」、出生率全国一を誇った離島の町の取り組み示し「成功の学びを全国へ」　所信表明演説に県選出国会議員もひとこと（南日本新聞）,https://news.yahoo.co.jp/articles/5e14a91dfa828624b2e8b16ca03e04ce01458589,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000010-minami-000-2-view.jpg?exp=10800,2024-11-30T21:00:21+09:00,2024-12-01T11:12:58+09:00,南日本新聞,minami,南日本新聞,613,（写真：南日本新聞社） 石破茂首相は２９日の所信表明演説で、日本の活力を取り戻し多様な幸せを実現するための政策として「地方創生の再起動」を進めると強調した。各地の成功事例を全国に広げる必要があるとし、一例として合計特殊出生率を伸ばした鹿児島県伊仙町を紹介した。 【写真】記者の質問に答える森山裕幹事長＝２９日、東京・永田町の自民党本部 同町は２００３～１２年、女性１人が生涯に産む子どもの推定人数が「２．４２」「２．８１」と全国１位を誇った。町長が集落を回り財政状況を説明し、出産や子育て環境の充実を図ったことが要因とし、「一つの『まち』の物語にとどめてはならない。成功事例から学び、デジタル技術活用や規制・制度改革を大胆に進める」と訴えた。 衆院本会議後、記者団の取材に応じた自民党の森山裕幹事長（鹿児島４区）は「演説は非常にわかりやすい内容。わが党としては政府や各党とも連携を図り、着実に政策を進めることが大事だ」と評価。「首相は人口が最少の鳥取県が基盤。都市部と地方との連携も含め、地方創生をしっかりやろうという気持ちを強く感じた」と振り返った。 一方、立憲民主党の川内博史衆院議員（同１区）は「夢物語だ」と断じた。公共交通が減り、商店街はシャッターが並ぶ地方の現実を直視すべきだとし「輝かしい成功事例だけを追い求め、物価高にあえぐ地方の暮らしに何が必要なのか、その議論から逃げている」と語った。 南日本新聞 | 鹿児島,[],[]
【速報】B2鹿児島レブナイズ　山形に96－71　3試合ぶり勝利（南日本新聞）,https://news.yahoo.co.jp/articles/8db7165eeb1e656b994b559349502c344dbcd579,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000009-minami-000-1-view.jpg?exp=10800,2024-11-30T19:15:23+09:00,2024-11-30T19:15:23+09:00,南日本新聞,minami,南日本新聞,177,第１クオーター、リバウンドを狙う鹿児島レブナイズのハームス（３）＝Ｆアリーナいちき串木野 バスケットボールＢリーグ２部（Ｂ２）西地区の鹿児島レブナイズは３０日、Ｆアリーナいちき串木野（いちき串木野市総合体育館）で東地区の山形に９６－７１で勝った。今季成績は１１勝７敗。 レブナイズは１２月１日も同会場で午後１時から山形と対戦する。 南日本新聞 | 鹿児島,[],[]
発がん性懸念のPFAS 県内水道38事業中2カ所で検出、国の暫定目標値超えはなし　17事業は費用負担や「義務ない」理由に検査未実施（南日本新聞）,https://news.yahoo.co.jp/articles/913461507629d463260e86b462159cf049b026d1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000008-minami-000-3-view.jpg?exp=10800,2024-11-30T18:00:22+09:00,2024-11-30T23:52:13+09:00,南日本新聞,minami,南日本新聞,486,（写真：南日本新聞社） 発がん性が懸念される有機フッ素化合物（ＰＦＡＳ）が全国で検出されている問題を巡り、環境省と国土交通省は２９日、水道水の全国調査結果を公表した。鹿児島県内は２０２４年度、検査を実施した３８事業のうち２事業でＰＦＡＳを検出した。１リットル当たり５０ナノグラム（ナノは１０億分の１）の国の暫定目標値に対し、長島町水道事業が１１ナノグラム、東串良町水道事業が１０ナノグラムだった。 鹿児島市水道局や薩摩川内市水道事業、霧島市水道事業をはじめ、検査を実施した９割超は正確な数値が得られる濃度に達しない「未検出」だった。 ２０～２４年度の検査の実施状況に関し、県内では給水人口が５０００人超の「上水道事業」は３９事業、給水人口が１０１人以上５０００人以下の「簡易水道事業」は２６事業が回答。検査を実施した事業数は２０年度の６から、２４年度は６倍超に増えた。 一方、回答した計６５事業のうち１７事業は検査実績がなかった。未実施の理由として「周辺環境から検出される可能性が低い」「検査費用が負担」「水道法上の測定義務がない」などが挙がった。 南日本新聞 | 鹿児島,[],[]
28季連続「万羽ヅル」確認　ナベヅル、マナヅル、カナダヅル…越冬地・出水平野はおおにぎわい（南日本新聞）,https://news.yahoo.co.jp/articles/54c7b2f424c329d86e26b10a210762fd8c4b0fba,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000007-minami-000-2-view.jpg?exp=10800,2024-11-30T12:00:21+09:00,2024-11-30T12:30:23+09:00,南日本新聞,minami,南日本新聞,462,荒崎休遊地一帯を飛ぶツル＝３０日午前７時２５分、出水市荘 出水平野で越冬するツルの羽数調査が３０日、鹿児島県出水市高尾野町下水流の東干拓休遊地と同市荘の荒崎休遊地であり、１万２９９２羽を記録した。１万羽を超えたのは２８季連続。 【写真】羽を休めたり餌をついばんだりするツル＝３０日午前９時１２分、出水市高尾野町下水流 内訳はナベヅル１万２０３６羽、マナヅル９４８羽、クロヅル４羽、カナダヅル３羽、ナベクロヅル１羽。当初は２日に調べる予定だったが雨のため中止し、今季初の調査となった。 ３０日は夜明け前から、地元の高尾野中学校と義務教育学校・鶴荘学園の両ツルクラブ、県ツル保護会の計約１００人で数えた。東干拓を担当した高尾野中３年でツルクラブの神園樹里部長は「緊張したけど、みんなで助け合ってできた。１万羽を超えてうれしい」と喜んだ。 今季の飛来は、１０月１８日に第１陣としてナベヅル７羽、クロヅル１羽、カナダヅル１羽を確認。その後も順調に増えていた。今後は１２月２１日と来年１月１２日に調査する予定。 南日本新聞 | 鹿児島,[],[]
相次ぐ高齢者事故 免許更新前講習でも見える危険の芽　それでも車は「生活のため」手放せない　公共の足脆弱な地方の事情（南日本新聞）,https://news.yahoo.co.jp/articles/784cbe95c893641e9db125595a0c21404b9f1161,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000006-minami-000-3-view.jpg?exp=10800,2024-11-30T11:30:22+09:00,2024-12-01T11:21:00+09:00,南日本新聞,minami,南日本新聞,1313,事故をおこし歩道に乗り上げ大破した乗用車＝１１日午後６時４０分、鹿児島市下荒田１丁目 鹿児島県内で、６５歳以上の高齢運転者が関わる交通事故が後を絶たない。１１日には、鹿児島市下荒田１丁目の県道で、８４歳の女性が運転する乗用車が歩道に突っ込むなどし、歩行者４人が死傷した。この事故を機に、免許を更新しないと決める高齢者がいる一方、運転に必要な運動能力や判断力の低下がみられても、日常生活を送るには車を手放せない実情もうかがえる。 【写真】県内高齢者運転免許返納者数 ２０日午後、鹿屋市の鹿屋寿自動車学校。７５歳以上の男女１０人が、運転免許更新前に課される認知機能検査と高齢者講習に臨んだ。 「危ないですよ！」。教習所内のコースを走る「実車指導」では、受講者がサイドミラーを凝視するあまり、前方から数秒間目をそらしたり、停止線を１メートル以上過ぎたりし、教官に注意される場面があった。発進時にアクセルとブレーキの位置を間違える人もいた。 受講した錦江町神川の無職男性（８７）は、家族の送迎や買い物で毎日車を使う。「下荒田での事故は人ごとではないと思ったが、日中の路線バスは２時間に１本だけ。車のない生活は考えられず、免許は手放せない」と話した。 同校は年間で、県内最多の約７０００人の高齢者を受け入れる。１０月からは、運転に不安を抱くドライバーを対象に無料の相談会を開いており、必要に応じて返納も促していく方針だ。 同校シニアサポート課の下田まり子課長（５６）は、「加齢によって視野が狭くなる上、首や手を瞬時に動かす能力が低下する」と分析。「焦ったり、とっさの判断を要したりする場面で大きなミスを犯す。『運転歴が長いから大丈夫』と思い込んでいる人が多く、その都度指摘するよう心がけている」と打ち明けた。 鹿児島中央署によると、下荒田の事故では、運転者の女性が「アクセルとブレーキを間違えた」と話している。女性はこれまでに認知機能を複数回検査したが、いずれも認知症の恐れはないと判定されていた。 事故をきっかけに免許を手放すと決めた人も。鹿児島市鴨池新町の主婦（７９）は昨年初め、家族に説得されて車を処分したという。「自分が事故の当事者になったらと思うと恐ろしい。下荒田の事故を知って、免許も更新しないと決心した」と語った。 ◇ 鹿児島県内では、過失の重い「第１当事者」となる高齢者の割合が年々増えている。県警によると、今年１～１０月の事故のうち、６５歳以上が第１当事者になった件数は約３割を占め、約２割だった２０１４年以降、毎年増加している。 免許返納数は１９年の７５９７人をピークに減少が続く。今年は１１月２０日までに５２０７人が返納。前年総数の５２２８人と同程度が見込まれている。 県警は高齢化を背景に、今後も６５歳以上のドライバーは増えるとみる。交通企画課の森山英明理事官は「返納を勧めたいが、公共交通機関での移動が難しい地域事情も理解している」と話す。安全運転サポート車の導入なども選択肢だとして「高齢運転者の事故を一件でも食い止めたい。返納以外の解決策も社会全体で考えていく必要がある」と述べた。 南日本新聞 | 鹿児島,[],[]
衝撃により発火や爆発恐れのモバイルバッテリーに月1回の収集日新設　充電池内蔵の電子たばこや髭剃り、イヤホンなどもに対象に　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/ba5ae9d9c1355646f0606b183ee28277651fcb1a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000005-minami-000-2-view.jpg?exp=10800,2024-11-30T11:00:22+09:00,2024-12-01T20:48:25+09:00,南日本新聞,minami,南日本新聞,550,（写真：南日本新聞社） 鹿児島市は２０２５年１月から、リチウムイオン電池といった小型充電式電池と、それらを使った充電式電化製品の収集日を新設する。モバイルバッテリーや電子たばこなどが対象で、火災事故を防ぐのが狙い。下鶴隆央市長が２９日の定例会見で発表した。 【写真】定例会見で鹿児島市の取り組みを発表する下鶴隆央市長＝２９日、市役所 現在は不燃ごみに出すか、回収協力店へ持ち込むことになっている。充電池は、ごみ処理時に強い衝撃や圧力が加わることで、発火や破裂を起こす恐れがある。近年は、他のごみに交ぜて捨てられた電池が収集車内で火災を起こすなど、全国でトラブルが相次いでいる。 市資源政策課によると、市では収集車内の発火が２２年度６件、リサイクル工程での発火が２２年度１４件、２３年度７件あった。 月１回、電球や乾電池などを捨てる日に集める。対象は、ニカド電池やニッケル水素電池といった充電式電池と、充電池が取り外せない２５センチ以内の電化製品。充電式のひげそりや扇風機、ワイヤレスイヤホンなどがある。 ２５年１月６日からは、粗大ごみ収集のウェブ受け付けとネット決済を始める。電話受け付けは祝日を除く月～金曜午前８時半～午後５時１５分、番号は０９９（８０６）８１４１に変わる。 南日本新聞 | 鹿児島,[],[]
4人死傷の歩道乗り上げ事故 運転の84歳立ち会い現場検証　ペダル操作誤った位置など確認　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/7aef299c323b1173f7c8440d21fc287e58a022f9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000004-minami-000-3-view.jpg?exp=10800,2024-11-30T10:55:30+09:00,2024-11-30T21:40:57+09:00,南日本新聞,minami,南日本新聞,545,現場検証のため容疑者を乗せた乗用車＝３０日朝、鹿児島市下荒田１丁目（画像は一部加工してあります） 鹿児島市下荒田１丁目の県道で、乗用車が歩道に突っ込むなどして４人が死傷した事故で、鹿児島中央署は３０日、運転していた同市下荒田４丁目、クリーニング業女性（８４）立ち会いの下、現場検証した。女性は「アクセルとブレーキを踏み間違えた」と話しており、ペダル操作を誤った位置や、はねた場所などを調べた。 【写真】現場検証のため容疑者を乗せた乗用車＝３０日朝、鹿児島市下荒田１丁目（画像は一部加工してあります） 周辺を交通規制し、午前７～８時半に実施した。女性は警察車両の後部座席に乗り、人をはねた交差点では車内から、乗用車が乗り上げた歩道では車から降りて、事故当時の様子を警察官と確認した。同署によると、県警本部交通指導課、同署交通課、地域課の約３０人で検証した。 女性は１８日、自動車運転処罰法違反（過失致死傷）の疑いで同署に逮捕され、２０日に釈放された。 逮捕容疑は１１日午後５時５５分ごろ、同市下荒田１丁目の交差点を右折する際、横断歩道を歩いていた２２歳女性と４８歳女性をはね、さらに歩道に乗り上げ、男性（３７）と妻（３２）をはね、男性を死亡、他３人にけがをさせた疑い。 南日本新聞 | 鹿児島,[],[]
西日本の焼き菓子製造拠点に…シャトレーゼ鹿屋工場、25年3月本格稼働へ　12月中に一部操業開始（南日本新聞）,https://news.yahoo.co.jp/articles/7401b48a9170f3cf88f47c4ddddcc273bfe9ce92,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000003-minami-000-1-view.jpg?exp=10800,2024-11-30T07:03:21+09:00,2024-11-30T07:03:21+09:00,南日本新聞,minami,南日本新聞,425,１２月に一部操業を始めるシャトレーゼ鹿屋工場＝２９日、鹿屋市川西町 和洋菓子製造販売大手のシャトレーゼ（甲府市）が鹿児島県鹿屋市川西町に整備している鹿屋工場は２０２５年３月に本格稼働する見通しであることが２９日分かった。これに先立ち今年１２月に一部操業を始めるという。 【写真】〈関連〉シャトレーゼが工場整備を進める鹿屋市の位置を地図で確認する 市議会定例会の提案理由説明で、中西茂市長が明らかにした。市と同社によると、２５年３月までに全ての製造ラインが整備される予定。鹿屋工場は主にギフト用の焼き菓子を西日本の店舗に供給する製造拠点となる。既に約５０人を雇用し、本格稼働に向けてさらに雇用創出を計画している。 同社は市と２３年７月に立地協定を締結。鹿屋内陸工業団地内でＩＴ系企業の部品工場だった建屋を活用して今年７月に操業を始める予定だった。同社は遅れている理由について「建屋の改修に想定以上の時間を要した」と説明している。 南日本新聞 | 鹿児島,[],[]
馬毛島基地整備「隊員と共存共栄図る」　西之表市長、2期目最後の所信表明でも「賛否」踏み込まず　市長選は来年2月、最多7人で争う公算（南日本新聞）,https://news.yahoo.co.jp/articles/1cf2eb22ba42455239c6fe0e320dfd7b19f13980,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241130-00000002-minami-000-1-view.jpg?exp=10800,2024-11-30T06:30:22+09:00,2024-11-30T06:30:22+09:00,南日本新聞,minami,南日本新聞,738,所信表明で馬毛島の基地整備について考えを述べる八板俊輔市長＝２９日、西之表市役所 鹿児島県西之表市の八板俊輔市長は２９日開会した市議会定例会の所信表明で、馬毛島の自衛隊基地整備について「国は立ち止まる気配を見せない」と指摘する一方、今後の方針を巡っては「種子島駐在の自衛隊員と共存共栄を図る」と述べた。賛否には踏み込まず、「正確な情報収集と市民への判断材料の提供、最善の道の選択が基本だ」と従来の考え方を繰り返した。 【写真】〈馬毛島の変化を写真で比べる〉北側上空から見た馬毛島。左は２０２３年１月１２日撮影、右は２４年１月８日撮影＝いずれも本社チャーター機から 来年２月に次期市長選を控え、２期目で最後の所信表明。現実的な対応として「共存共栄」を打ち出しつつも、国の対応に一定の不信感をにじませた。 馬毛島を巡り、国が島の大半を持つ民間地権者と売買に合意した２０１９年１１月を起点に「激動の５年」と表現。「（２３年１月の）着工前後の発言で市民に十分な理解が得られていなかった」と改めて陳謝した上で「賛成、反対の二者択一で解決できる問題ではない」と強調した。 賛否の明言を避けた理由について、八板市長は本会議終了後の取材に「着工後に生じた問題の対応を優先している。中立という立場とも違う」と説明した。 八板市長は過去２度の市長選で基地整備に反対の立場を取った。しかし、２２年１月に日米両政府が米軍機訓練移転を伴う基地の整備地に馬毛島を正式決定したことで「新たな局面に入った」とし、現在まで賛否を明言していない。 任期満了に伴う西之表市長選は来年１月２６日告示、２月２日投開票。再選挙となった２０１７年の６人を超え、最多の７人で争う可能性が高まっている。 南日本新聞 | 鹿児島,[],[]
