headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
顔面から出血、畑で男性死亡　南九州市（南日本新聞）,https://news.yahoo.co.jp/articles/f50198ed209d7a57690e0c2cc609a2e6ccff47f7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000011-minami-000-1-view.jpg?exp=10800,2024-12-17T22:35:21+09:00,2024-12-17T22:35:21+09:00,南日本新聞,minami,南日本新聞,260,（写真：南日本新聞社） １７日午後４時４０分ごろ、鹿児島県南九州市頴娃町郡の茶畑で、同市頴娃町牧之内、農業男性（６４）が右の頬から出血して倒れている状態で発見され、その場で死亡が確認された。 【写真】〈関連〉南九州市の位置を地図で確認する 南九州署によると、男性は所有する茶畑で作業中だった。トラックの近くに倒れており、発見時、着衣の乱れはなかった。畑には草刈り機と脚立があった。 男性と連絡が取れないことから現場に向かった妻が発見し１１９番した。死因や原因を調べている。事件性は低いとみている。 南日本新聞 | 鹿児島,[],[]
預金が悪用、紙幣番号を調べる必要…70代女性は段ボールに現金を詰めた。計11回、総額1億2000万円を送った…警官なりすまし詐欺、受け子の男を容疑で逮捕　鹿児島県警（南日本新聞）,https://news.yahoo.co.jp/articles/e96f935ee5f40c5c9ff01549f10b71ca0d676138,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000001-minamic-000-2-view.jpg?exp=10800,2024-12-17T20:41:22+09:00,2024-12-18T11:14:56+09:00,南日本新聞,minami,南日本新聞,550,（写真：南日本新聞社） 鹿児島県内の７０代女性が、警察官になりすましたうそ電話詐欺に遭い約１億２０００万円だまし取られた事件で、県警組織犯罪対策課と南さつま署は１７日、被害額のうち約２４００万円を詐取したとして、詐欺の疑いで、千葉県市川市行徳駅前３丁目、無職の男（２６）を逮捕したと発表した。 「バレたらやめれば…」飲食代2万円に入力額は「1900」 電子決済詐欺 2年以上ごまかし続けた常連の思い上がり〈法廷傍聴記〉 逮捕容疑は７月下旬ごろから１０月中旬までの間、氏名不詳者らと共謀し、警視庁の警察官を装い、女性宅に電話。その後、ＬＩＮＥ（ライン）で警察手帳の画像を送り、通話機能で「あなたは詐欺の重要参考人。預金が悪用されており、紙幣番号を調べる必要がある」などとうそを言い、東京都内のアパートの空き部屋に現金約２４００万円を送らせだまし取った疑い。 同課によると、送金手段は宅配便。容疑者は受け子とみられる。警察手帳は偽造されていた。 女性は同時期に、都内の複数の送付先に１１回にわたり、段ボール箱で計約１億２０００万円を送った。県警は１０月下旬に被害届を受理。警視庁の「連合捜査班」と連携して摘発した。同課の重田克久理事官は「全容解明に向けて捜査を急ぐ」と話している。 南日本新聞 | 鹿児島,[],[]
あったまるぅ～　巨大なべ囲み「いただきます！」　有機、自然農法の「ありのままお野菜」使いスープ　南さつま市（南日本新聞）,https://news.yahoo.co.jp/articles/3087f11e0cf9899b36ac38634a99d56e5940f53c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000010-minami-000-2-view.jpg?exp=10800,2024-12-17T20:33:22+09:00,2024-12-18T11:13:59+09:00,南日本新聞,minami,南日本新聞,273,巨大なべで野菜スープを作るシェフら 有機農業の日の８日、鹿児島県南さつま市加世田の自然農法体験学校「ありのまま分校」で「１００人でいただきます！」と銘打ったイベントがあった。地元農家が有機栽培や自然農法で育てた「ありのままお野菜」を全日本司厨士協会鹿児島支部のシェフが巨大なべで野菜スープを調理した。 【写真】〈関連〉南さつま市の位置を地図で確認する 市自然農法・オーガニック野菜推進委員会と同市の主催。収穫祭もあり約４００人が訪れた。市農村振興課の現王園仁志さんは「体にいい野菜への関心を深めてもらえたのでは」と語った。 南日本新聞 | 鹿児島,[],[]
職場に戻ったら…書類ケースがない　介護関係4種類、個人情報7人分を紛失　4日後に警察へ届け出る　都城市委託法人（南日本新聞）,https://news.yahoo.co.jp/articles/193c00f3a5d67f9c08391d4f1cc6ce515a5616a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000009-minami-000-1-view.jpg?exp=10800,2024-12-17T20:27:22+09:00,2024-12-17T20:27:22+09:00,南日本新聞,minami,南日本新聞,360,イメージ 宮崎県都城市は１７日、市の地域包括支援センター業務を受託する法人職員が、介護保険被保険者の要介護認定状態など個人情報が記された書類７人分を紛失したと発表した。 通知表所見など児童158人分の情報入った私物のUSBを教諭が紛失 対象児童と保護者に説明会開き学校が謝罪 都城 紛失したのは介護保険資格者証や被保険者証など４種類。職員は６日、市介護保険課で該当書類を受け取った後、複数課で必要な手続きをした。センターに戻った後、書類を入れたケースがないことに気付いた。センターや市で捜したが見つからず、１０日付で都城署に届け出た。 センターは１３日までに対象者や家族に謝罪した。市は「当該の委託業者に個人情報の管理徹底を指導した。他の委託法人にも注意を呼びかけ、再発防止に努める」としている。 南日本新聞 | 鹿児島,[],[]
激戦地パラオ・ペリリュー島に伝わる日本語の歌　「風化させない」と鹿児島の親子が録音、現地の慰霊碑に捧げる（南日本新聞）,https://news.yahoo.co.jp/articles/9398afb90fb2d1bfee62f74d10702dfc202eded9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000008-minami-000-1-view.jpg?exp=10800,2024-12-17T18:00:21+09:00,2024-12-17T18:00:21+09:00,南日本新聞,minami,南日本新聞,834,「緑の島のお墓」を録音した（左から）黒木イツ子さん、猛さん親子と、伴奏の柴藤ひろ子さん＝鹿児島市桜ケ丘３丁目 鹿児島市平川町の会社員黒木猛さん（５３）が、太平洋戦争の激戦地であるパラオ・ペリリュー島に伝わる日本語の歌を発掘し、再録音して音源を制作した。歌唱を担当したのは、歌が趣味の母親イツ子さん（７６）。猛さんは音源を持って島の戦没者慰霊碑群を訪問。録音した歌声とピアノ伴奏を流して追悼した。 【写真】戦没者慰霊碑群の前で、歌をささげる花岡久子さんと佐野正幸さん＝パラオのペリリュー島（黒木猛さん提供） 猛さんは同市の共進組で外国船の入港手続きを代行する仕事に就いている。２０２１年、船の仕事をきっかけにパラオとの縁が生まれた。交流が広がり、「緑の島のお墓」という現地の人が作った歌があることを知った。 パラオは戦時中、日本の委任統治領だった。日米両軍の激戦が繰り広げられたペリリュー島（緑の島）には、今も日本兵の遺骨が残されている。歌詞は墓を守る島民の思いを表現した内容で「日本とペリリューは親善の友」と歌う。猛さんは現地でＣＤを探したが見つからず、「戦争の歴史を風化させてはいけない」と新たに音源を作って残すことにした。 フローラルミュージック（同市桜ケ丘３丁目）に依頼し、今年９月にレコーディングした。作・編曲とピアノ伴奏は柴藤ひろ子代表（５６）が担当。猛さんにはパラオから独立３０周年式典の招待状が届き、１０月１日に同国で参列した。 ２日には日本側の一行約２０人とペリリュー島に渡り、慰霊碑の前で音源を流した。イツ子さんの伸びやかな歌声が流れ、伴奏に合わせ、祖父がパラオで戦死したという歌手の花岡久子さんと、劇団四季の佐野正幸さんも夫婦で歌った。 イツ子さんは「自分の声が海を渡ったことが信じられない。すばらしい伴奏だった」と感慨深げ。猛さんは「今後も交流を進めたい」。音源の動画はフローラルミュージックのホームページで公開している。 南日本新聞 | 鹿児島,[],[]
負担軽減だけが先生の働き方改革じゃない…教員自ら課題を設定、研修成果を授業に還元し学力アップ目指す（南日本新聞）,https://news.yahoo.co.jp/articles/12c1fb5efb9d61fee67a902be705246fb328b7b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000007-minami-000-2-view.jpg?exp=10800,2024-12-17T14:45:22+09:00,2024-12-18T20:06:55+09:00,南日本新聞,minami,南日本新聞,1076,自分たちの研究課題について意見を交わす教員たち＝薩摩川内市の川内南中学校 教員の働き方改革は、負担軽減ばかりがクローズアップされがちだが、授業改善も狙いの一つだ。鹿児島県薩摩川内市の川内南中学校は２０２２年度から改革に取り組んできたが、さらに本年度からは教職員が自ら課題を設定した自主研修を年間を通じて実施。成果を授業に採り入れることで、生徒の学力向上などが期待される。 早く帰れと言われても…教員4割が文科省指針超す残業、過労死ライン月80時間超も 教育長は「管理職研修会で意識高める」 鹿児島市 「ここは２分の１じゃないかな」「もう１回解いてみるよ」。問題の解き方を議論する生徒たちの傍らでは、終えた生徒が別の問題に取りかかる。１１月下旬、２年数学の授業は、生徒が自分に合った方法やペースで学ぶ「自由進度学習」で進められていた。 教室で様子を見て回る廣（ひろし）玲門教諭（４４）は、事前に４種類のワークシートと、早く解き終えた生徒向けの課題を準備。正解にたどり着けない生徒には助言を行い、ヒント動画も用意していた。 自由進度学習を導入したのは６月に続き本年度２回目。日頃の授業で一部取り入れることもあるという。廣教諭は「初めは少し戸惑う生徒も見られたが、今は主体的に学ぼうとする姿勢が定着しつつある」と変化を感じている。 自主課題研修のうち数学の自由進度学習班に所属。この日の授業は、その成果を検証する場だった。研修班にはこのほか、「学び合いの充実」「ＩＣＴ（情報通信技術）活用」などがある。各班教職員３～５人で放課後などを活用し、授業改善に向けた議論を行う。 「絆づくり・仲間づくり」班は、新たな不登校生を生み出さないための授業を研究する。誰とでも苦手意識を持たずに話せるよう、生徒同士の対話を重視したペアワークなどを採り入れた浜野航平教諭（４３）は「全ての試みがうまくいったわけではないが、生徒同士の距離感が縮まった印象はある」と手応えを語った。 川内南中は昨年度、文部科学省の働き方改革事業に参加。民間コンサルからノウハウの提供や助言を受けながら、業務の見直しを行ってきた。プリントの印刷など教員でなくてもできる仕事は、学校校務支援員や保護者らの手を借りるよう改めた。 業務の見直しなどによって生み出した時間を使って、教員は授業や教材などの研究に力を入れられるようになった。自主課題研修を提案した松本眞一校長（５７）は「問題意識などを持ち主体的に取り組むことが大切。その成果を生徒たちに還元してほしい」と期待を寄せた。 南日本新聞 | 鹿児島,[],[]
海に沈む車の窓から「無我夢中」で引き出した…転落事故現場に居合わせた5人、連係プレーで運転手を救出（南日本新聞）,https://news.yahoo.co.jp/articles/62b7ed115edc234b744fd597c65865fad44d116d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000006-minami-000-2-view.jpg?exp=10800,2024-12-17T11:45:21+09:00,2024-12-17T12:05:42+09:00,南日本新聞,minami,南日本新聞,468,女性を救い感謝状を贈られる４人＝１２日、出水市消防本部 鹿児島県出水市消防本部は１２日、海中に転落した女性を救助したとして、薩摩機械産業の山崎春東さん（２１）、川畑和也さん（２１）、久野秀二さん（７３）と、無職俣川綾子さん（６６）に感謝状を贈呈した。出席できなかった熊本県御船町の自営業福永文雄さん（６１）にお礼状を贈った。 【写真】海中の女性を救助し感謝状を贈られた４人（前列）＝出水市消防本部 米ノ津町の築港で１１月９日午前９時２０分ごろ、女性が運転する軽自動車が海に転落するのを近くで作業をしていた山崎さん、川畑さん、久野さんが目撃。山崎さんが１１９番した。付近でウオーキング中の俣川さんも現場に向かった。船で釣りに出かける準備をしていた福永さんは交番へ駆け込み通報した。川畑さんが海に飛び込み、開いていた運転席の窓から女性を引き出し、船で待つ４人に引き継ぎ、女性を引き上げた。 表彰は市消防本部であり、戸崎博貴消防長（５６）から感謝状を受け取った４人は「無我夢中だった。女性が助かりほっとした」と語った。 南日本新聞 | 鹿児島,[],[]
不祥事続く鹿児島県警の再発防止策…問題の性犯罪への取り組みはいまだ「検討中」（南日本新聞）,https://news.yahoo.co.jp/articles/7e4b026a9a327219e1b5f14ff29fe9b2b6cb3bca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000005-minami-000-2-view.jpg?exp=10800,2024-12-17T11:20:22+09:00,2024-12-17T12:04:50+09:00,南日本新聞,minami,南日本新聞,572,（写真：南日本新聞社） 鹿児島県警は１６日、相次ぐ不祥事を受けて８月２日に公表した再発防止策の進捗（しんちょく）状況を初めて公表した。警察情報の取り扱いについて、職員のアクセス権を縮小するなどした。性犯罪に特化した取り組みは「検討中」と回答するにとどめた。 【写真】再発防止策の進捗状況を初めて公表した鹿児島県警ＨＰ 職務上知り得た秘密を漏らしたとして８月に有罪判決を受けた曽於署の元巡査長が、業務上必要のない警察情報を閲覧できる状態にあったことから、システムへのアクセス権を見直した。 警部補以下が本部長に課題を直言する「改革推進研究会」は５５部署で延べ１５５回実施。うち２回は本部長に出席要請があり、９月に野川明輝前本部長、１１月に岩瀬聡本部長が出た。 県警では２０２０年以降性犯罪関連で５人が逮捕され、１１月にも１６歳未満の少女と知りながら性交したとして、県警本部の男性巡査部長が懲戒免職となったが、性犯罪に特化した対策は「検討中」とした。 １６日の県議会総務警察委員会で、田之上耕三議員（自民）から組織運営について問われた岩瀬本部長は「幹部が適正な業務管理をしていれば不祥事は防げた。内輪の論理は県民や被害者には通用しないと自覚的になるべきと考えている」と述べた。 県警は同日、進捗状況をホームページで公開した。 南日本新聞 | 鹿児島,[],[]
諏訪之瀬島で火山活動　大きな噴石は最大300ｍ飛ぶ、噴煙は900ｍまで上がる　爆発は1回（南日本新聞）,https://news.yahoo.co.jp/articles/6e19e5e7920223f2d2562f9b47b25b4138cd82b0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000004-minami-000-1-view.jpg?exp=10800,2024-12-17T08:30:21+09:00,2024-12-17T08:30:21+09:00,南日本新聞,minami,南日本新聞,176,噴煙を上げる諏訪之瀬島の御岳（資料写真） 鹿児島県十島村・諏訪之瀬島の御岳で16日、午後11時までに爆発が1回あった。福岡管区気象台によると、同日の噴煙の高さは最大900メートル。大きな噴石が北東と南東に最大300メートル飛んだ。噴火警戒レベルは２（火口周辺規制）。 【写真】〈関連〉諏訪之瀬島など九州の主な火山を地図で確認する 南日本新聞 | 鹿児島,[],[]
秘技〝コロコロPK〟のコツ伝授　J1ガンバ大阪コーチ・遠藤保仁さんが故郷でサッカー教室　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/9bbae778dd0f970725fd0a6085469fe5a628ab2b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000003-minami-000-1-view.jpg?exp=10800,2024-12-17T07:03:22+09:00,2024-12-17T07:03:22+09:00,南日本新聞,minami,南日本新聞,488,子どもたちとミニゲームをする遠藤保仁さん＝鹿児島市の県立サッカー・ラグビー場 サッカー元日本代表でＪ１ガンバ大阪コーチの遠藤保仁さん＝鹿児島市出身＝によるサッカー教室が１６日、同市の県立サッカー・ラグビー場であった。小学生１２０人が参加し、Ｊ１最多６７２試合出場を誇る遠藤さんの技術を学んだ。 【写真】〈関連〉子どもたちとＰＫ合戦を楽しむ遠藤保仁さん＝鹿児島市の県立サッカー・ラグビー場 女子日本代表の田中美南（米ユタ・ロイヤルズ）や鹿児島市出身でＪ２愛媛のＧＫ徳重健太も参加した。遠藤さんは「ピッチを広く使い、パスコースをつくって」とパスの出し方などを指導。ミニゲームでは代名詞とも言える「コロコロＰＫ」など一流の技も披露し、「ぎりぎりまでＧＫの足元をよく見るのがコツ」とアドバイスした。 遠藤さんは「思った以上に子どもたちのレベルが高く、この中からプロが出てきてくれたらうれしい。自分もいい指導ができるように学んでいきたい」と話した。 妙円寺小３年の内山裕大さんは「ボールの置き所を教わり、ためになった。大会で優勝できるように生かしたい」と喜んだ。 南日本新聞 | 鹿児島,[],[]
JR貨物脱線、機関車ほぼ水平取り戻す　完了次第、レールに載せる作業に移行　川内駅　代替バスの運行も始まる（南日本新聞）,https://news.yahoo.co.jp/articles/b8d53fcd3327230b0d748f1b60e9a8ac74e94599,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000002-minami-000-1-view.jpg?exp=10800,2024-12-17T06:27:21+09:00,2024-12-17T06:27:21+09:00,南日本新聞,minami,南日本新聞,662,ＪＲ鹿児島線の運休区間で運行が始まった代替バスに乗り込む高校生ら＝１６日午前７時半ごろ、薩摩川内市の川内駅東口 鹿児島県薩摩川内市平佐町のＪＲ川内駅構内で１２日未明に発生した貨物列車の脱線事故を受けて、運休が続く鹿児島線川内－隈之城間の代替バスの運行が１６日、始まった。運行再開まで当面の間続ける。 【写真】〈脱線した機関車の傾きを写真で比べる〉左は水平に近づく機関車（１６日午前８時半ごろ）。右は傾いた機関車を水平にする作業員（１５日午前１０時ごろ）＝いずれも薩摩川内市の川内駅 列車の再開の見通しは立っておらず、九州新幹線による川内－鹿児島中央間の振り替え輸送は続ける。 代替バスは４台が午前６時から川内駅東口と隈之城駅前をピストン輸送した。川内駅では高校生らがＪＲの職員に列車の定期券を見せ、次々と乗り込んだ。 出水市からいちき串木野市の神村学園に通う高等部１年の女子生徒は事故翌日、九州新幹線で鹿児島中央駅まで行き、鹿児島線で折り返して登校した。「バスの方が早く着くため助かる。早く元通りの生活に戻ってほしい」と話した。 脱線現場では同日午前９時過ぎから、運輸安全委員会の鉄道事故調査官が３日ぶりに現場に入り車両やレールを確認した。１７日は関係者への聴取を進める。 ＪＲ九州とＪＲ貨物は１６日、前日に続き現場に残る２両のうち機関車を水平にする作業をした。完了次第、機関車と貨車をレールに載せる作業を始める。 貨物列車は１２両編成。１２日午前３時ごろ、先頭の機関車１両と続く貨車２両が脱線した。 南日本新聞 | 鹿児島,[],[]
署員盗撮捜査なぜ中断？　県警前本部長・野川氏の判断明らかに「直接証拠乏しく国賠訴訟の懸念」　本部指揮は早計との認識、所轄署捜査継続のはずが誤って伝わる　県議会参考人招致（南日本新聞）,https://news.yahoo.co.jp/articles/c1a0a872483f7c45f5e37304229fcb74bac15896,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241217-00000001-minami-000-1-view.jpg?exp=10800,2024-12-17T06:03:21+09:00,2024-12-17T06:03:21+09:00,南日本新聞,minami,南日本新聞,974,委員の質問に答える鹿児島県警の上別府高宏前首席監察官＝１６日、県議会 鹿児島県警の前生活安全部長が「野川明輝（前）本部長が隠蔽（いんぺい）しようとした」と主張する元枕崎署員の盗撮事件を巡り、当初から関与が疑われていた署員への捜査について野川前本部長が「直接証拠が乏しい。国賠訴訟の懸念もある」との認識を示し、本部長指揮としなかったことが１６日、分かった。署と本部の連絡役を担った前首席監察官の上別府高宏氏（現・鹿児島中央署長）は、捜査が２日ほど中断した経緯について、「署への説明が言葉足らずだった」と釈明した。 【写真】〈関連〉県議会総務警察委員会の県警側答弁ポイントを分かりやすく 県議会総務警察委員会が同日あり、県警不祥事を集中的に調査。上別府氏は参考人として呼ばれた。 初動段階で、上別府氏は野川前本部長から、２０２２年に奈良県警の警察官が違法な取り調べを受けたとして国賠訴訟を起こした事例を示されたと説明。「直接証拠のない段階で本部が捜査し、職員を被疑者扱いすることは不適切だ」などと伝えられたという。前署長に対しては「署で捜査を尽くし、新たな証拠が出た時点で本部長指揮事件にすると伝えたつもりだった」と答弁した。 署の捜査が２日ほど中断した経緯を巡っては、前署長から「署で捜査するなということかと思った」と聞かされたという。「職員を被疑者と認定して行う捜査は署長判断ではできないと伝えた」とした上で「署長指揮で捜査できないのであれば、署での捜査ができないと感じ取ってしまったのではないか」と推測した。 逮捕２カ月前に署が作った容疑者浮上報告書の存在は「知らなかった」とした。 同日は２３年に県内であった警察官によるストーカー事案の調査もあった。参考人で当時霧島署長だった南茂昭生活安全部長が「初動対応や本部との連携が悪かった。当事者に会って謝罪したい」と弁明した。 捜査書類の廃棄を促すようにも受け取れる「刑事企画課だより」についても質疑があり、当時課長だった川崎清警務部参事官は「各地で再審請求や国賠訴訟がある中、多くの人に心配や懸念を抱かせてしまった。おわびしたい」と陳謝。作成理由は「必要な書類を確実に送致、保管することを周知するため」と述べた。 同日の模様は常任委員会で初めて、インターネットで公開された。 南日本新聞 | 鹿児島,[],[]
