headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
鹿児島市当初予算案、過去最高２８００億円台前半の見通し　スタジアム整備検討費も（MBC南日本放送）,https://news.yahoo.co.jp/articles/ae674ae67bd07b2ba73f9de53898e98f1b1d307d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069804-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-07T19:19:00+09:00,2024-02-07T19:20:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,429,\nMBC南日本放送\n鹿児島市の新年度の一般会計当初予算案の総額が２８００億円台前半となり、２年連続で過去最高を更新する見通しであることが分かりました。\n\nＭＢＣの取材によりますと、鹿児島市の新年度一般会計当初予算案の総額は２８００億円台前半となる見通しとなりました。\n過去最高となった今年度当初の２７８９億円を上回り、２年連続で最高を更新する見込みです。\n\n増加の背景は、歳入面では今年６月からの定額減税で住民税が減少するものの、国からの補てんなどで市税全体が増加。\n歳出面でも２年後に開校する小中一貫の義務教育学校・桜島学校の整備費や、社会保障費の増加などが見込まれるためです。\n\n主な施策では、市が北ふ頭で目指すサッカースタジアムの整備検討費のほか、市が計画する独自の児童相談所の設置に向けた関連費用や、待機児童の対策費などが盛り込まれる見込みです。鹿児島市の新年度予算案は、今月１３日に発表されます。\nMBC南日本放送 | 鹿児島,[],[]
「医療費還付金受け取れる」市職員を装い約４９万円をだまし取った疑い　“出し子”の男（２５）逮捕　鹿児島県警（MBC南日本放送）,https://news.yahoo.co.jp/articles/e6597a692fe38deced48619171536614fc44a30d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069810-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-07T20:05:00+09:00,2024-02-07T20:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,380,\n市の職員を装って「医療費の還付金を受け取れる」と電話をかけ、鹿児島市に住む女性からおよそ４９万円をだまし取ったなどとして、千葉県が本籍の無職の男（２５）が逮捕されました。\n\n電子計算機使用詐欺などの疑いで逮捕されたのは、本籍・千葉県で住所不定、無職の丹彰良容疑者（２５）です。\n\n鹿児島西警察署によりますと、丹容疑者は去年１０月４日、氏名不詳の男らと共謀して鹿児島市に住む６０代女性に「医療費の還付金を受け取れる」などと電話をかけて金融機関のＡＴＭでおよそ４９万円を振り込ませ、３回にわたって金を引き出した疑いがもたれています。\n\n丹容疑者は取り調べに対し「よく思い出せない」と容疑を否認しています。\n\n警察は、丹容疑者が金を引き出すいわゆる「出し子」の可能性が高く、ほかにも共犯者がいるとみて調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069810-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/e6597a692fe38deced48619171536614fc44a30d/images/000']
川内原発の地震動最大１．４倍見直し　規制委が九電の設置変更申請を許可（MBC南日本放送）,https://news.yahoo.co.jp/articles/5e601217c530bcdb630f7d9682df24ac5f330bb3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069809-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-07T19:58:00+09:00,2024-02-07T19:58:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,410,\n川内原発の耐震設計の目安となる揺れの想定の見直すため、九州電力が提出していた原子炉設置変更許可申請を原子力規制委員会が許可しました。\n\n原発の耐震基準の目安となる揺れの想定・基準地震動を巡っては、規制委が熊本地震などを受けて２０２１年に基準を改め、地表に活断層が現れずに震源や規模の予測が難しい地震について、新たな評価手法を踏まえた見直しを求めていました。\n\n九州電力は当初、２０２１年４月に見直しを申請していましたが、去年１０月に揺れの最大加速度を水平方向で現在の１．１倍となる６８７ガル。垂直方向で１．４倍となる４５５ガルと見直す補正書を提出し、さらに翌１１月に原子炉設置変更許可を必要としない、補強工事の計画を追記する補正書を提出していました。\n\n７日の規制委の許可を受けて、九電は「引き続き原発の安全性と信頼性向上に取り組んでまいります」とのコメントを出しました。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069809-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/5e601217c530bcdb630f7d9682df24ac5f330bb3/images/000']
霧島市溝辺町の川で発見された遺体　姶良市の女性（７６）と判明　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/f3d712fcdaa30d57bc9d3f6b4c1af0601e7e9e6d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069808-mbcnewsv-000-2-view.jpg?exp=10800,2024-02-07T19:46:00+09:00,2024-02-07T19:47:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,278,\n霧島市溝辺町の川で先月、見つかった一部白骨化した遺体について、警察は７日、去年から行方不明になっていた姶良市の７６歳女性だったと発表しました。\n\n霧島警察署によりますと、先月１７日、霧島市溝辺町有川の川で、一部が白骨化した遺体が見つかりました。\n\n警察が身元の確認を進めていましたが、ＤＮＡ型鑑定などから、遺体は、姶良市加治木町辺川の無職・満塩ヒサ子さん（７６）と判明したということです。満塩さんは去年９月２９日に自宅を出たまま行方不明となっていました。\n\n警察は、満塩さんが死亡した経緯などを調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069808-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/f3d712fcdaa30d57bc9d3f6b4c1af0601e7e9e6d/images/000']
同僚の給与明細をこっそり…　システムに不正ログインした市職員（３０代）に減給処分　鹿児島県姶良市（MBC南日本放送）,https://news.yahoo.co.jp/articles/6be8ae7bf3861ed59ecb6f18b43fbd3196d8417e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-02-07T19:26:00+09:00,2024-02-07T19:26:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,374,\n鹿児島県姶良市の男性職員が、庁内のシステムに不正にログインして同僚の給与明細などを閲覧したとして、減給の懲戒処分を受けました。\n\n懲戒処分を受けたのは、姶良市の３０代の男性職員です。\n市によりますと、職員は去年１０月からおよそ２か月の間に、庁内のシステムに他人のパスワードを入力して不正にログインし、同僚の給与明細やメールのやり取りを閲覧していたということです。\n\n不審に思った同僚が上司に報告して発覚したもので、市の聞き取りに対し職員は「大変申し訳ないことをした」と話しているということです。\n市は全職員に、庁内システムのログインに必要なパスワードを変更するよう通達しました。\n\n姶良市の後藤博司総務課長は「公務員としてふさわしくない行為であり、信頼回復に努めていきたい」とコメントしています。\nMBC南日本放送 | 鹿児島,[],[]
能登半島地震を教訓に　同じ“半島”の鹿児島…救助・支援の手が届くには？（MBC南日本放送）,https://news.yahoo.co.jp/articles/4c76036b443d6042803ac397de69f7dd8784e635,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069802-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-07T19:13:00+09:00,2024-02-07T19:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,672,\nMBC南日本放送\n能登半島地震で道路の寸断などによる集落の孤立が課題となった中、７日県内の自治体の防災担当者らが同じ半島で起きうる地域の孤立のリスクなどについて意見を交わしました。\n\n（協議会会長・南さつま市本坊輝雄市長）\n「半島地域で生活する中で、災害に対してどう向きうか。孤立化する住民をどう支えていくか」\n\n会議では、薩摩半島と大隅半島の端に位置する南さつま市、錦江町、南大隅町、肝付町の防災担当者らが出席し、能登半島地震を受けて、それぞれの自治体が想定した地震被害などについて意見を交わしました。\n\n先月の能登半島地震では土砂崩れなどで道路が寸断されて各地で集落が孤立し、救助や支援の妨げとなりました。\n\n三方を海に囲まれた薩摩半島、大隅半島も同じように孤立するおそれがある中、７日の会議で南さつま市は、海沿いの笠沙地区などで集落につながる国道のがけが崩れた場合、孤立が懸念されることなどを報告しました。\n\n（南さつま市総務課 大迫雄作・危機管理官）\n「海岸線沿いを国道が走って集落をつないでいる。急峻な地形で土砂災害警戒区域も多く、至るところで道路の寸断が考えられる」\n\n（協議会会長・南さつま市本坊輝雄市長）\n「地域の置かれた状況がありますので、いろいろな災害に学びながら、自分たちの地域では相互に何ができるのか考えていきたい」\n\nまた、会議では、大規模な災害が起きた場合に、周辺の自治体などから救助や支援を受けるか、今後、協議を進めていくことを確認しました。\nMBC南日本放送 | 鹿児島,[],[]
希少な早咲きの桜「イズノオドリコ」　一本桜が去年より半月早く満開に　鹿児島県南さつま市（MBC南日本放送）,https://news.yahoo.co.jp/articles/ace5959a55f4dcb8260ade42225727f96d7b7855,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069800-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-07T19:08:00+09:00,2024-02-07T19:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,438,\nMBC南日本放送\n鹿児島県の南さつま市では、早咲きの桜が満開を迎えています。\n\n南さつま市加世田内山田の玉虫野集落にある一本桜。ピンク色が特徴の早咲きの桜、イズノオドリコです。\n\n１９６５年に静岡の伊豆半島で見つかって名付けられた品種で、見つけた造園業の男性がその後、鹿児島に移住して育てた希少な桜のうちの１本です。\n\n去年は２月２０日過ぎに満開を迎えましたが、今年は半月ほど早く満開を迎えています。７日は、風も少しあったものの、次々に人が訪れ、満開の桜を楽しんでいました。\n\n同じ、玉虫野集落のイズノオドリコを撮影した写真がＭＢＣスクープ投稿にも届きました。ペンネーム・ドカバイさんが６日夜、車のライトで照らして撮影した夜桜です。光を浴びて花がピンク色に輝き、鮮やかさが際立つ一枚です。\n\n今、まさに満開を迎えている玉虫野集落のイズノオドリコ。地元の人によりますと、週明けごろまで楽しめるのではないかということです。\nMBC南日本放送 | 鹿児島,[],[]
次期衆院選へ　鹿児島２区に日本維新の会が新人・辻健太郎氏（３７）を擁立へ（MBC南日本放送）,https://news.yahoo.co.jp/articles/663348186c8973ad511892fdd232f6178be346cb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069803-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-07T19:16:00+09:00,2024-02-07T19:17:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,397,\nMBC南日本放送\n次の衆議院議員選挙に向けた動きです。日本維新の会は７日、鹿児島２区に新人を擁立することを決めました。\n\n日本維新の会は７日、次の衆院選で鹿児島２区に新人の辻健太郎さんを擁立すると発表しました。\n\n本人のホームページによりますと、辻さんは奄美大島生まれの３７歳で、子ども時代を鹿児島市などで過ごし、アメリカの高校を卒業。\n帰国後は経営コンサルタントとして活動し、２０２１年の衆院選で日本維新の会の公認を受けて東京７区から出馬しましたが落選しました。\n\nその後、次の衆院選に向けて東京２７区の支部長として活動していましたが、日本維新の会は７日、選挙区を鹿児島２区に変えると発表しました。\n\n衆院鹿児島２区にはこのほか、無所属現職の三反園訓さん、自民党比例九州の保岡宏武さん、共産党新人の松崎真琴さんが立候補を予定しています。\nMBC南日本放送 | 鹿児島,[],[]
藤川天神の梅は２分咲き　銘菓・臥龍梅餅３年ぶりに復活　鹿児島・薩摩川内市（MBC南日本放送）,https://news.yahoo.co.jp/articles/fbff7adb05fe925f43a664a0ddfdb017a731986b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069801-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-07T19:10:00+09:00,2024-02-07T19:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,809,\nMBC南日本放送\nここ数日、暖かい日が続いていますが、鹿児島県薩摩川内市の梅の名所・藤川天神では、梅が徐々にほころび始めています。参道では地元の名物も３年ぶりに復活しました。\n\n薩摩川内市東郷町の藤川天神です。国の天然記念物に指定されている５５本を含む、およそ３００本の梅がほころび始め、今は２分咲きです。\n\n参道にあるみやげ店・河鹿の里です。３年前に途絶えた名産のもち・臥龍梅餅を復活させ、今月から販売を始めています。\n\n臥龍梅餅は、地元の和菓子店「きくや」の商品で藤川天神でも売られ、６０年余り親しまれてきましたが、店主の高齢化で閉店し、つくられなくなりました。\n\n河鹿の里を経営する津田盛吉さん（７５）です。地元の銘菓がこのまま無くならないよう、洋菓子店や地域住民らの協力を得て復活させました。餅のレシピも分からなかったため、手探りでの商品化でした。\n\n（臥龍梅餅を３年ぶりに復活させた津田盛吉さん）「レシピも無ければ、型枠もないというところから、みなさんの協力で作った餅。形が一番難しかった」\n\n購入した客は…\n「おいしい。シナモンですよね。あまり無い味。（復活して）よかったですよね」\n「白あんでおいしい。甘い上品な感じで」\n\n（津田盛吉さん）「わたしは地元の人間なので、小学生のころからこのお菓子をみて、高くて食べられなかったから食べたいなと思いながら…無くなったことがさびしくて、藤川地区に何とか残したいという気持ちで再現した。ここ藤川天神がある限り、５０年・１００年ずっとこのお菓子が藤川地区の銘菓として残ってもらえればと思う」\n\n復活した臥龍梅餅は６個入り７３０円で、藤川天神の河鹿の里と、同じ藤川地区にある久保茶屋の２か所で購入できます。\nなお、藤川天神の梅は今月下旬にも満開となり、３月中旬までが見ごろとなる見込みです。\nMBC南日本放送 | 鹿児島,[],[]
「マグマやきいも電車」出発式　４種類食べ比べと「アーモンドマヨ」味「ぷるるん抹茶」味のソースも　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/16ddad60e959fbe4fe4d8cf6e2c4bd981935df16,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069805-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-07T19:06:00+09:00,2024-02-07T19:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,751,\nMBC南日本放送\n焼き芋を味わいながら鹿児島市内を路面電車でめぐる人気のイベント、「マグマやきいも電車」。今週末から始まる運行を前に、７日は出発式が開かれました。\n\n今年で３回目となる「マグマやきいも電車」。鹿児島市のシンボルマーク赤と青の「マグマシティ」の柄でラッピングされた路面電車に乗って、鹿児島産の焼き芋を食べる人気のイベントです。\n\n（レポーター）「気になるマグマやきいも電車、中に入ると火山の妖精マグニョンが出迎えてくれて、ワクワクするような車内となっています」\n\n今年は、過去最高となる８倍の申し込みがあった「マグマやきいも電車」。７日は関係者や県内のインフルエンサーが参加し、出発式が開かれました。\n\n県産の紅はるかや安納芋、シルクスイート、種子島ゴールドといった４種類の焼き芋を食べ比べできます。「アーモンドマヨ」味と「ぷるるん抹茶」味のディップソースをつけて味変も楽しめます。\n\n（参加者）「鹿児島の芋ってやっぱりとろけますね」\n\n（鹿児島市・下鶴市長）「この寒い冬に美味しいホクホクした焼き芋、ぜひマグマやきいも電車を中心に、鹿児島の魅力を存分にＳＮＳなどでも発信していきたい」\n\nマグマやきいも電車は、今月１０日～１２日までと、今月１４日、今月２２日～２４日までの合わせて７日間、１日３便運行します。\n\n事前申し込みで、乗車できる人数はほとんど埋まっていますが、「直前申し込み」は各運行日の３日前の正午までに、マグマやきいも電車の公式ＬＩＮＥで受け付けています。\n\n今年は新たな企画として、今月１５日の「マグマ桜島大根電車」のほか、「マグマ深海魚電車」や「マグマミュージック電車」も運行を予定しています。\nMBC南日本放送 | 鹿児島,[],[]
奄美で始まった海底熟成ワイン、カギは波と水温「地域の新ビジネスに」　海守る工夫も　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/0dfb27481901d352d62f51e902dec96c97b22370,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240207-00069797-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-07T19:03:00+09:00,2024-02-07T19:03:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1089,\nMBC南日本放送\nワインを海底に沈めて熟成させるというプロジェクトが、奄美大島と加計呂麻島の間にある大島海峡で始まっています。\n地域の新たなビジネスにかける、関係者や地域の思いとは？\n\n奄美大島と加計呂麻島の間に挟まれた大島海峡。\n先月３０日、スペイン産のスパークリングワインと赤ワイン、フランス産の白ワインあわせて５００本が漁船に積み込まれ、ゆっくりと海底へ沈められました。\n\n大島海峡で始まったワインの海底熟成。\n中心となって手がけるのは、２０１８年から瀬戸内町の広報業務を請け負っている東京の広告会社アイスリーです。\n\nプロジェクトの中心メンバーで、町のＰＲ事業などを担う田仲亜希さん（４５）です。６年前に初めて瀬戸内町を訪れまちづくり事業に携わり、その時に自然の豊かさに魅了されたといいます。\n\n（海底熟成ワインプロジェクト 田仲亜希さん）\n「町の人たちが自然環境が豊かなところなのに、なにもないと話していて、そんなことはない。この環境をいかして、いろいろなことができるのではとかんがえた」\n\n大島海峡は、入り江が多く、外海に比べて波が穏やかなことなどから戦時中は軍港として使われていました。\n\n冬場の海水温も２０度前後と高く、年間を通して安定していることから、今ではマグロの養殖が盛んに行われています。\n\n田仲さんによりますと、ワインの熟成も２０度前後が最適で、波も穏やかな大島海峡は「香りや味を高めるのに最適な条件が揃っている」といいます。\n\nまた、豊かな海を守るため、海底に沈めるワインを入れる金属製のラックを独自に開発。海藻を付着させやすくして、新たな藻場にする考えです。\n\n（海底熟成ワインプロジェクト 田仲亜希さん）\n「海で沈めることなので、海の環境に配慮するのは絶対。地元と環境と共存するようなビジネス作りを目指している」\n\n今回、海底熟成ワインの取り組みに協力した地元の漁師や瀬戸内町の職員も、地域活性化のきっかけになればと期待を寄せています。\n\n（瀬戸内町の漁師 恵祐也さん）\n「ワインを新しい事業をするにあたり、もっと瀬戸内町の海を知ってもらえたらいいなと」\n\n（瀬戸内町水産観光課 禧久幸太・水産振興係長）\n「水産業以外にも、観光や飲食業につながることは、町全体が活性化され、盛り上がっていくのではないか」\n\nこれまでに大島海峡の海底に沈められたワインはあわせておよそ９００本。熟成期間はおよそ５か月間で、４月ごろからでネット販売が始まります。\nMBC南日本放送 | 鹿児島,[],[]
