headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
追悼、そして感謝。屋久島沖に墜落、全搭乗員8人が死亡…米オスプレイ事故から1年、現地で慰霊式（南日本新聞）,https://news.yahoo.co.jp/articles/62bf4725f22a4096340b672bdb58e412a83c340c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000016-minami-000-2-view.jpg?exp=10800,2024-11-29T21:30:22+09:00,2024-11-30T11:44:22+09:00,南日本新聞,minami,南日本新聞,682,石碑に花を手向ける米兵＝２９日午後２時２０分ごろ、屋久島町船行 鹿児島県・屋久島沖で米軍輸送機ＣＶ２２オスプレイが墜落し全搭乗員８人が死亡した事故から１年となった２９日、米空軍が犠牲者を追悼する慰霊式を屋久島町役場で開いた。捜索・回収に協力した屋久島町民には謝意を示した。遺族や米軍、防衛省関係者のほか、町職員や漁師ら８０人が参列。墜落現場近くの海岸に建てた石碑も公開され、遺族が弔問した。 【写真】記者の質問に答える米空軍のリチャード・シーザー大尉（左）＝２９日午後３時４０分ごろ、屋久島町役場 式典は「遺族の意向を尊重した」として非公開。米軍によると、軍と防衛省の代表が追悼の言葉を述べ、事故が起きた午後２時４０分に黙とうした。遺族と米兵有志は現場近くの田代海岸を訪問。亡くなった搭乗員全員の名前や肖像が刻まれた石碑に花を手向けた。 式後、取材に応じた米空軍のリチャード・シーザー大尉（３９）は「町民の協力に改めて感謝する。石碑が両国の癒やしの場所になることを願う」と話した。飛行再開後もトラブルが相次ぐオスプレイの安全性については「訓練や情報収集を通じて確保する」と述べた。 地元からは安全性への不安や日米両当局の説明不足を指摘する声が上がった。 荒木耕治町長は「近くを飛んでほしくないという思いが一番。安全性への懸念は拭えず、今後も米軍と防衛省に情報公開を求める」。捜索・回収の初動を担った屋久島漁協の羽生隆行組合長（７３）は「安全対策の説明が足りない。県内で相次ぐ緊急着陸を見ると、また事故が起きるのではと思ってしまう」と語った。 南日本新聞 | 鹿児島,[],[]
〈動画あり〉何度も来ちゃいたい！　暗闇に浮かぶ光の造形。イルミ100万個…だからミリオネーション！　1月13日まで鹿児島市の天文館公園（南日本新聞）,https://news.yahoo.co.jp/articles/a22c1cab0463e16fb21415e13090e53866ab57ce,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000015-minami-000-3-view.jpg?exp=10800,2024-11-29T21:15:21+09:00,2024-11-30T00:37:37+09:00,南日本新聞,minami,南日本新聞,406,天文館公園の広場を彩る色とりどりのイルミネーション＝２９日、鹿児島市千日町 鹿児島市の天文館公園を約１００万個の発光ダイオード（ＬＥＤ）電球で彩る「天文館ミリオネーション２０２５」が２９日夜、始まった。１月１３日まで。午後６～１０時。 【写真】〈関連〉光あふれる会場を楽しむ来場者。家族連れをはじめ、走り回る子どもやカップルの姿も＝２９日、鹿児島市の天文館公園 市や鹿児島観光コンベンション協会などでつくる実行委員会が主催。１０回目の節目となる今回は「シャン・ド・フルール」（花畑）をテーマに、長さ計５０メートルの「フラワー・トンネル」など華やかで幻想的な世界が楽しめる。 午後６時に点灯されると、暗闇から光のドームやツリーが一斉に浮かび上がり、家族連れなどから歓声が上がった。日之出町の教員松元未央さん（３９）、文吾ちゃん（１）親子は「クリスマスカラーできれい。何度も来たい」と話した。 南日本新聞 | 鹿児島,[],[]
繁華街で車内から人めがけエアガン撃つ…被害男性が届け出、防犯カメラで容疑者特定　24歳2人組を傷害容疑で逮捕　鹿児島中央署（南日本新聞）,https://news.yahoo.co.jp/articles/0db481f86e3ad0edb0befffcaa3f9bda6ae3032d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000014-minami-000-1-view.jpg?exp=10800,2024-11-29T20:47:22+09:00,2024-11-29T20:47:22+09:00,南日本新聞,minami,南日本新聞,299,（写真：南日本新聞社） 鹿児島中央署は２９日までに、傷害の疑いで、本籍鹿児島市、住所不定、自称建設業の男（２４）と本籍佐賀県三養基郡、住所不定、自称解体作業員の男（２４）を逮捕した。 「バレたらやめれば…」飲食代2万円に入力額は「1900」 電子決済詐欺 2年以上ごまかし続けた常連の思い上がり〈法廷傍聴記〉 逮捕容疑は６月３０日午前８時１０～１５分ごろ、共謀し、鹿児島市千日町の市道で、車内から同市の７０代男性に向けてエアガンを撃ち、腕に軽傷を負わせた疑い。 同署によると、容疑者２人は知人。男性と面識はない。男性が同日、交番に届け出た。防犯カメラの映像などから特定した。 南日本新聞 | 鹿児島,[],[]
息子を刺殺した父は、殺意を否認した。検察は「安易で短絡的な意志決定」と論告…71歳男に懲役12年求刑　鹿児島地検（南日本新聞）,https://news.yahoo.co.jp/articles/b31d6b29ca8211512b4dc6228b98be531af74ed1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000013-minami-000-1-view.jpg?exp=10800,2024-11-29T20:35:00+09:00,2024-11-29T20:35:00+09:00,南日本新聞,minami,南日本新聞,511,（写真：南日本新聞社） 同居する長男を包丁で刺殺したとして殺人の罪に問われた鹿児島市東坂元３丁目、飲食店手伝いの被告男（７１）の裁判員裁判論告求刑公判が２９日、鹿児島地裁（小泉満理子裁判長）であり、検察側は懲役１２年を求刑した。判決は１２月６日。 【関連】「仕事の話をすると馬乗りになって殴られた。許せず痛めつけようと…」 長男刺殺の父親は殺意を否認 鹿児島地裁初公判 被告は、殺意はなく背中を刺した記憶もないと主張している。検察側は「太ももよりも、より深く刺した背部のことを覚えていないのは不自然」と指摘。「被害者の言動に腹を立て、衝動的に殺意を抱いて犯行に及んだ。安易で短絡的な意志決定で、強い非難に値する」と論告した。 弁護側は、痛めつけようと太ももを刺した行為は傷害罪が成立するとした上で「背部を刺した記憶がないため、殺意の有無は行為ごとに判断するのが妥当」として適切な判決を求めた。 起訴状などによると、被告は２０２３年１１月２４日午後７時３４分ごろから同４８分ごろまでの間、自宅で長男＝当時（４８）＝の太ももや背中を刃体約１８センチの包丁で突き刺し、出血性ショックで死亡させたとされる。 南日本新聞 | 鹿児島,[],[]
白昼のJR駅構内、70代男性の顔を傘で殴る女…37歳の自称店員を容疑で現行犯逮捕　鹿児島西署（南日本新聞）,https://news.yahoo.co.jp/articles/5145b4a75df7cf6057ad51c933b2078c57c2170c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000012-minami-000-1-view.jpg?exp=10800,2024-11-29T20:17:22+09:00,2024-11-29T20:17:22+09:00,南日本新聞,minami,南日本新聞,209,（写真：南日本新聞社） 鹿児島県警鹿児島西署は２９日、傷害の疑いで、本籍愛知県海部郡、住所不詳、自称店員の女（３７）を現行犯逮捕した。 【写真】〈関連〉JR鹿児島中央駅 逮捕容疑は同日午前１１時１５分ごろ、鹿児島市中央町のＪＲ鹿児島中央駅構内で、同市の７０代男性の顔を傘で複数回殴り、けがを負わせた疑い。 同署によると、２人に面識はない。駅員が「女性が男性に暴力を振るっている」と１１０番した。 南日本新聞 | 鹿児島,[],[]
21日に緊急着陸…米軍輸送機CMV22オスプレイ1機の駐機続く　奄美空港（南日本新聞）,https://news.yahoo.co.jp/articles/de980697e965197a6d1a9202959a9d56fb299ec0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000011-minami-000-1-view.jpg?exp=10800,2024-11-29T20:05:26+09:00,2024-11-29T20:05:26+09:00,南日本新聞,minami,南日本新聞,184,〈資料写真〉奄美空港に駐機する米軍輸送機ＣＭＶ２２オスプレイ＝２２日午後３時ごろ、奄美市笠利 ２１日に奄美空港（鹿児島県奄美市笠利）に緊急着陸した米軍輸送機ＣＭＶ２２オスプレイ１機は２９日午後５時現在、駐機を続けている。九州防衛局や県によると、新たな米軍機の飛来はない。 【写真】〈関連〉米オスプレイが駐機を続ける奄美空港の位置を地図で確認する 南日本新聞 | 鹿児島,[],[]
海上に虹の架け橋、桜島すっぽり　鹿児島湾（南日本新聞）,https://news.yahoo.co.jp/articles/e2edebc2db5092df2ade8cc1dce93e443405e281,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000010-minami-000-1-view.jpg?exp=10800,2024-11-29T18:04:22+09:00,2024-11-29T18:04:22+09:00,南日本新聞,minami,南日本新聞,281,鹿児島湾にかかった虹の架け橋＝２９日午後４時１７分、鹿児島市与次郎１丁目 ２９日午後５時ごろ、鹿児島湾に大きな虹がかかった。鹿児島地方気象台によると、虹は雨の晴れ間に太陽を背にして見える。２９日は夕方に日が差してきたため、鹿児島市街地から桜島の方向に見えた。 【写真】〈別カット〉桜島をすっぽり覆うように。上空に出現した虹＝２９日午後４時２６分、鹿児島市の与次郎１丁目 鹿児島市は２９日、上空に寒気が入った影響で最高気温は平年より４．６度低い１３．６度と、１月上旬並みの寒さになった。３０日は次第に高気圧に覆われ、風も寒気も弱まる見込み。 南日本新聞 | 鹿児島,[],[]
すごいぞ小林産チーズ…国内最大級の品評会で加藤牧場とダイワファームがそろって金賞（南日本新聞）,https://news.yahoo.co.jp/articles/f1e956c609434355057da568d9443caa38243e34,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000009-minami-000-1-view.jpg?exp=10800,2024-11-29T18:00:22+09:00,2024-11-29T18:00:22+09:00,南日本新聞,minami,南日本新聞,701,宮原義久市長（左）にダブル金賞受賞を報告した大窪和利さん（中央）、加藤教昭さん＝小林市役所 宮崎県小林市に２軒だけのチーズ生産者、加藤牧場（同市北西方）とダイワファーム（同市東方）が１０月、東京で開かれたチーズコンテスト「ジャパンチーズアワード２０２４」で、ともに金賞を獲得した。両農場の代表者、加藤教昭さん（５０）と大窪和利さん（６９）が市役所を訪問。受賞報告を受けた宮原義久市長は「猛暑や資材高騰など、酪農を取り巻く環境が厳しい中、そろって素晴らしい結果を出された努力をたたえたい」とねぎらった。 【写真】ジャパンチーズアワードで金賞に輝いた加藤牧場の「カマンベールチーズ」（右）とダイワファームの「ロビダイワ」 加藤牧場は「カマンベールチーズ」が「ソフト／白カビ部門」、ダイワファームはウオッシュチーズ「ロビダイワ」が「ソフト／ウオッシュ部門」で金賞に選ばれた。加藤牧場は部門別の最優秀賞にも輝いた。 同アワードは、ＮＰＯ法人チーズプロフェッショナル協会が２年に１度開く国内最大級のチーズ品評会。今年は全国１２０工房から３７２点が出品され、２９点が金賞に選ばれた。ダイワファームは２０１４年の第１回大会から出場し、金賞獲得は４回目。２０年から挑戦する加藤牧場は初の金賞となった。 市役所を２０日訪れた大窪さんは「経験のない猛暑で熟成が難しかったが、これまでの経験でカバーできた。技術的に安定してきた手応えがある」。加藤さんは「尊敬する先輩の大窪さんに成績だけでも追いつけたことがうれしい」とそれぞれ喜びを語り、「今後も研さんし、小林産チーズの評判を高めたい」と前を向いた。 南日本新聞 | 鹿児島,[],[]
ルージュの伝言？…「米寿の伝言」です　80代後半にして「俳優」の夢かなえた元教師が主演　自主制作のコメディー映画上映へ（南日本新聞）,https://news.yahoo.co.jp/articles/d1b772dffb6b4bd7ead3793f7b046aee94bb6727,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000008-minami-000-1-view.jpg?exp=10800,2024-11-29T16:00:22+09:00,2024-11-29T16:00:22+09:00,南日本新聞,minami,南日本新聞,630,父が主役を務めた映画「米寿の伝言」をＰＲする西本浩子さん＝鹿児島市の南日本新聞社 一度諦めた俳優の夢をかなえた高齢の男性が主役を務めた自主制作映画「米寿の伝言」が１２月８日、鹿児島市国際交流センターで上映される。 【写真】自主制作映画「米寿の伝言」パンフレットを拡大で見る 変わり者の発明家だった男性が亡くなり、遺品を整理していた孫が男性の遺体と入れ替わるコメディー映画。映画は全都道府県で上映予定で鹿児島は６カ所目となる。 主役の西本匡克〔まさかつ〕さん（８７）＝大阪市＝は元教師。小学生で演劇の面白さに目覚め、大学まで演劇部で活動し、役者を夢見ていた。しかし、家庭の事情で断念。夢を封印し退職まで教職の道を全うした。 引退後も夢をくすぶらせているような父の姿を見た長女の西本浩子さん（５８）が「かなえてあげたい」と奔走。プロの俳優になった息子たちの協力を得て、２０１８年に今回の映画と同名の舞台を作り、大阪と東京で公演した。 映画では浩子さんがプロデューサーを務め、長男・健太朗さん（３２）、次男・銀二郎さん（２８）も孫役として出演。銀二郎さんがテレビドラマ「おいハンサム」で共演した俳優の浜野謙太さんも参加した。 「スクリーンの父の姿を見て、元気になってもらえるとありがたい」と浩子さんは来場を呼びかける。午前１１時と午後２時から上映。２５００円。詳細は映画のホームページにある。問い合わせは浩子さん＝０９０（５５３０）６０１９。 南日本新聞 | 鹿児島,[],[]
調理師の男、公園で下半身を露出 目撃者から通報される　鹿屋署（南日本新聞）,https://news.yahoo.co.jp/articles/aae1afcd4040c347aa9b03ce0dd7cde635bd6f9b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000007-minami-000-1-view.jpg?exp=10800,2024-11-29T13:35:21+09:00,2024-11-29T13:35:21+09:00,南日本新聞,minami,南日本新聞,152,（写真：南日本新聞社） 鹿屋署は２９日、公然わいせつの疑いで、いずれも自称、鹿児島県志布志市有明町原田、調理師の男（５５）を現行犯逮捕した。逮捕容疑は同日午前１時４５分ごろ、鹿屋市の公園で下半身を露出した疑い。同署によると、目撃者から通報があり、署員が現場周辺を捜索して見つけた。 南日本新聞 | 鹿児島,[],[]
尖閣諸島警備強化へ　海上保安庁最大のヘリコプター格納庫を公開　鹿児島市（南日本新聞）,https://news.yahoo.co.jp/articles/7b63bcea2d06e6d5a594dd7099822318092d93f7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241129-00000006-minami-000-1-view.jpg?exp=10800,2024-11-29T11:45:22+09:00,2024-11-29T11:45:22+09:00,南日本新聞,minami,南日本新聞,527,単独で海保最大のヘリコプター格納庫＝２８日、鹿児島市七ツ島２丁目の鹿児島港谷山２区 第１０管区海上保安本部は２８日、鹿児島市の鹿児島港谷山２区（七ツ島２丁目）で、１０月に運用を始めた七ツ島運航支援センター・船舶燃料給油施設を報道陣に公開した。 【写真】七ツ島運航支援センターについて説明する山本修所長＝２８日、鹿児島市七ツ島２丁目の鹿児島港谷山２区 両施設の設置は、沖縄県・尖閣諸島周辺の警備強化のために同港に相次いで投入したヘリコプター搭載型大型巡視船の機動力を高めるのがねらい。 センターの核は大型巡視船に搭載するヘリの格納庫（約４４００平方メートル）で、単独の格納庫として海保最大。現在５隻の巡視船に対しヘリ１０機が使用しており、効率的な整備と迅速な出動を図る。鹿児島航空基地に所属する整備士、パイロット、通信士など８２人が勤務する。船舶燃料給油施設（容量７０００キロリットル）は国内最大規模。これまで海上でタンカーから給油していたが、悪天候時などでも安定的に給油できるようになった。 センターの山本修所長は「巡視船の近くでヘリを整備できるようになり、効率化できた。国民の安心・安全につながるように領海を守りたい」と話した。 南日本新聞 | 鹿児島,[],[]
