headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
保育士の55歳女性が自宅で血を流し死亡、殺人容疑で捜査　徳之島署（南日本新聞）,https://news.yahoo.co.jp/articles/e4ca903b0d86326a509bf0c1b09cc64093dde8d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000014-minami-000-3-view.jpg?exp=10800,2024-11-20T23:35:21+09:00,2024-11-21T02:43:31+09:00,南日本新聞,minami,南日本新聞,268,（写真：南日本新聞社） ２０日午後６時ごろ、鹿児島県伊仙町佐弁、保育士の女性（５５）が、自宅で血を流して死亡しているのが見つかった。徳之島署は殺人容疑で捜査している。 【写真】伊仙町の場所を地図で確認する 同署によると、女性の体には鋭利なものでできたとみられる傷があった。死因は捜査中。凶器は見つかっていない。同６時３分に被害関係者が消防に通報。５分後に消防が「女性が血を流して倒れている」と１１０番した。施錠の状況や物色の有無などを調べている。 現場は、喜念小学校の南西約１㌔に位置し、畑や民家が点在している。 南日本新聞 | 鹿児島,[],[]
見積もり取らず修繕発注、「業務に追われ」13件の支払い怠る　会計担当参事補を減給処分　日置市教委（南日本新聞）,https://news.yahoo.co.jp/articles/b9122e2e83a5c24ad9b6d81856d731a3ab89726f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000013-minami-000-2-view.jpg?exp=10800,2024-11-20T22:00:21+09:00,2024-11-20T23:34:06+09:00,南日本新聞,minami,南日本新聞,414,（写真：南日本新聞社） 鹿児島県日置市教育委員会は２０日、２０１９～２３年度に市外の事業者が教育施設を修繕した費用計１３件１０４万円の支払いを怠ったとして、会計担当の参事補兼係長（６０）を減給１０分の１（３カ月）の懲戒処分にした。 市教委によると、参事補は約５０００円～２９万円の修繕について、見積書をもらわず発注、上司に報告しないなど職務を怠り未払いとなった。参事補は「見積書を再三出すよう求めたが、修繕が相次ぎ業務に追われた」と弁明している。 関連工事で市内業者からも見積もりを取るよう参事補に求めた際、発覚した。未払い分を盛り込んだ２４年度一般会計補正予算案を市議会定例会に提案予定。参事補は以前も、支払いを遅らせたとして訓告処分を受けていた。 上司の課長や元課長の計３人を厳重注意とした。永山由高市長は「教育行政の信頼を大きく損ねたことをおわびする。再発防止と信頼回復に取り組む」とコメントした。 南日本新聞 | 鹿児島,[],[]
〈詳報〉出水市の養鶏場、高病原性鳥インフルエンザ感染確認　今季県内初、国内10例目　12万羽の殺処分始まる　周辺10キロに鶏や卵の移動・搬出制限区域を設定（南日本新聞）,https://news.yahoo.co.jp/articles/d63bb5d63be06bfd6f269556eaddae668de81c3e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000012-minami-000-2-view.jpg?exp=10800,2024-11-20T21:45:22+09:00,2024-11-20T22:50:26+09:00,南日本新聞,minami,南日本新聞,915,鳥インフルエンザ発生農場で鶏の殺処分に当たる県職員ら＝２０日、出水市高尾野（鹿児島県提供） 高病原性鳥インフルエンザが疑われた鹿児島県出水市高尾野の養鶏場について、鹿児島県は２０日、遺伝子検査で感染を確認し、採卵鶏約１２万羽の殺処分を始めた。陽性確認は今季、県内初で国内１０例目。同日午前７時から、県職員らが交代で作業を進めており、同日午後３時現在で約１万６０００羽（１３％）を殺処分した。 【写真】鳥インフルエンザ発生農場でガスを用いた鶏の殺処分に当たる県職員ら＝２０日、出水市高尾野（鹿児島県提供） １９日通報があり、鹿児島中央家畜保健衛生所が検査していた。２０日朝、全１０検体からＨ５亜型ウイルスが検出され、農林水産省が高病原性の疑いがあると判定した。さらに詳しいウイルス型は国の専門機関で解析中。 県家畜防疫対策課によると、養鶏場は野鳥が多く集まるツル越冬地のすぐそばに立地し、２０２２年にも被害が出た。窓のないウインドレス型と開放型の鶏舎で鶏を飼っていて、前回はウインドレス、今回は開放鶏舎の鶏からウイルスが検出された。２０日午後、農水省の疫学調査チームが現地入りし、感染原因や経路を調べている。 県は発生農場から半径３キロ内の１６農場に立ち入り、目視で異常は確認されなかった。半径３キロ内を鶏や卵の移動を禁じる移動制限区域に、半径３～１０キロ内（７３農場）を域外への持ち出しを制限する搬出制限区域に設定。周辺６カ所に畜産関係車両の消毒ポイントを設置した。 塩田康一知事は農林水産副大臣とウェブ会談し、発生要因の究明や風評被害対策への協力を要請した。 ◇野鳥4羽の死骸からも「高病原性」検出 鹿児島県は２０日、出水市の東干拓地区と荒崎地区で回収していたナベヅル３羽とヒドリガモ１羽の死骸から、高病原性鳥インフルエンザウイルス（Ｈ５Ｎ１亜型）を検出したと発表した。野鳥からの高病原性の確認は今季初めて。 ４羽は１６、１７日に回収。簡易検査で鳥インフルの陽性反応が確認されたため、鹿児島大学で遺伝子検査をしていた。県自然保護課は「死んだ鳥を見つけた際は触らずに、各自治体に連絡してほしい」としている。 南日本新聞 | 鹿児島,[],[]
一般人が有料で客を送迎「日本版ライドシェア」　地域の足確保へ県内初の運用は23日 伊佐市でスタート　下小薗タクシーが電話とネットで予約受け付け（南日本新聞）,https://news.yahoo.co.jp/articles/36232e0599c3cfb7fac533e8f730288901f46821,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000011-minami-000-1-view.jpg?exp=10800,2024-11-20T21:00:21+09:00,2024-11-20T21:00:21+09:00,南日本新聞,minami,南日本新聞,558,ライドシェア車両に貼るステッカーを持つ下小薗充社長＝２０日、伊佐市大口里の下小薗タクシー タクシー事業者の管理下で一般人が有料で客を送迎する「日本版ライドシェア」について、鹿児島県伊佐市の下小薗タクシーが２３日から運用を始めることが２０日、分かった。タクシー運転手不足を補いつつ、地域の足を確保する狙い。運用開始は県内では初めて。 登録するドライバーは、４０代会社員男性１人のほか、同社の下小薗充社長（６７）と５０代と６０代の事務女性２人。４人とも１０月末から安全研修を受けていた。遊休車両１台と同社所有の乗用車１台の計２台を使う。 ライドシェアを運行する時間帯は、月～土曜が午前６時半～午前０時（運用車両２台）。日曜は午前８～１１時台、午後８時～午前０時（ともに１台）。予約は電話とネットで受け付け、支払いは現金やＰａｙＰａｙ（ペイペイ）、ａｕＰＡＹで対応する。 下小薗社長は「電話や現金払いなどお年寄りでも利用しやすいシステムにした。収入増を図りたい市民に登録してもらい、スキマ時間に運転してもらえれば。市民の足を守っていきたい」と話した。 県内のライドシェアを巡っては、鹿屋市の２社と鹿児島市の３社に加え、今月７日付で西川グループ（鹿児島市）の２社に九州運輸局から参入許可が下りている。 南日本新聞 | 鹿児島,[],[]
コメ価格の高止まり続く？　9月下旬以降の高温・台風が影響…県産米の登熟「不良」、作況指数「平年並み」から「やや不良」へ悪化　24年米・九州農政局（南日本新聞）,https://news.yahoo.co.jp/articles/6e3f82976171c53d345d4a3d90033e7a1a2a56b3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000010-minami-000-1-view.jpg?exp=10800,2024-11-20T18:03:21+09:00,2024-11-20T18:03:21+09:00,南日本新聞,minami,南日本新聞,522,〈資料写真〉変色や傷のある米粒をより分け、品質をチェックする様子 九州農政局は１９日、２０２４年産水稲の作付面積、予想収量（１０月２５日現在）を発表した。鹿児島県の作付面積は１万７１００ヘクタール（前年比１００ヘクタール減）で、普通栽培の１０アール当たり予想収量は平年より１５キロ少ない４７７キロ。早期栽培も含めた通年の作況指数は９７の「やや不良」が見込まれ、９月２５日現在の「平年並み」から悪化した。 引く手あまたの新米だから…1等米 農家への仮渡し金を倍増 JA県経済連、集荷競争激化に対抗…一方で高温障害も散見、2等米8割の地域も 同局鹿児島県拠点によると、２４年産の普通栽培は７月下旬以降の日照に恵まれ、全もみ数が平年よりやや多かった。ただ９月下旬以降の高温や台風１０号の影響で十分に発育できず、もみの肥大・充実を示す登熟は「不良」が見込まれている。 備蓄米、加工用米などを除いた主食用作付面積は１万５６００ヘクタール（同２００ヘクタール減）、予想収量は７万３３００トン（同３３００トン減）となっている。 地域別の普通栽培の作況指数は、大隅半島は１００の「平年並み」となったものの薩摩半島が９３の「不良」だった。 南日本新聞 | 鹿児島,[],[]
止まらない高齢者虐待…頼みのはずの施設発生が過去最多　介護放棄、暴言・暴力、勝手に金引き出し…家庭内の虐待者は息子、夫、娘の順　23年度・県内まとめ（南日本新聞）,https://news.yahoo.co.jp/articles/9ace5823807e39849d7b6cdbdbb430fc5f314f89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000009-minami-000-1-view.jpg?exp=10800,2024-11-20T15:03:22+09:00,2024-11-20T15:03:22+09:00,南日本新聞,minami,南日本新聞,617,（写真：南日本新聞社） 鹿児島県内で２０２３年度、介護施設職員による高齢者虐待が０６年度の調査開始以来最も多い１３件だったことが１９日、県のまとめで分かった。家族や親族による家庭内の虐待は１３２件。市町村が受けた相談・通報の総数も最多の６２８件だった。 【写真】〈関連〉鹿児島県内の高齢者虐待状況の推移を「家庭内」「施設」別にグラフで確認する 施設での虐待被害者は、特定できた１０件で２８人（女性２２人、男性６人）。１６人が日常生活の見守りが必要な認知症者だった。複数被害もあり、入浴回数を減らすなどの介護放棄が１３人、暴言など心理的虐待８人、たたいたりする身体的虐待４人。勝手に金を引き出すなどの経済的虐待４人、性的虐待も３人が受けた。 虐待をしたのは２１人。介護職が１２人で、施設長も４人いた。虐待の理由として、職員の指導管理体制や相談体制の不十分など組織運営上の問題が目立った。 家庭内の被害者は１３４人（女性９８人、男性３６人）で、７割が認知症者。身体的虐待が８４人と最多で、続く心理的虐待が６８人と前年度より１３人増えた。虐待者は１４１人で、息子が６１人、夫が２７人、娘が２４人だった。要因は「障害・疾病」「介護疲れ」が多かった。 相談・通報は施設関係が前年度から倍増、家庭内も１．２倍に増えた。県介護保険室の末吉智子室長は「意識が高まり相談が増えた。今後も関係機関と連携し防止に努めたい」と話した。 南日本新聞 | 鹿児島,[],[]
屋久島町・口永良部島、噴火警戒レベル下げ　23年6月以来の「1」に　気象庁（南日本新聞）,https://news.yahoo.co.jp/articles/d0a349e62def13a71d10f26c994ca1d45afc06a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000008-minami-000-1-view.jpg?exp=10800,2024-11-20T13:35:28+09:00,2024-11-20T13:35:28+09:00,南日本新聞,minami,南日本新聞,178,〈資料写真〉口永良部島・新岳 気象庁は２０日、鹿児島県屋久島町・口永良部島の噴火警戒レベルを２（火口周辺規制）から１（活火山であることに留意）に引き下げた。新岳と古岳の火口周辺に影響を及ぼす噴火の可能性は低くなったと判断した。レベル１となるのは２０２３年６月以来。 【写真】〈関連〉口永良部島など九州の主な火山の位置を地図で確認する 南日本新聞 | 鹿児島,[],[]
2歳女児が腸管出血性大腸菌（O26）感染　ベロ毒素を確認、同施設から3人目　志布志市（南日本新聞）,https://news.yahoo.co.jp/articles/8f4719d47ec745fbd1681f2953088e516381cb60,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000007-minami-000-1-view.jpg?exp=10800,2024-11-20T11:52:21+09:00,2024-11-20T11:52:21+09:00,南日本新聞,minami,南日本新聞,202,（写真：南日本新聞社） 鹿児島県は１９日、志布志市の女児（２）が腸管出血性大腸菌（Ｏ２６）に感染したと発表した。１０日から腹痛や軟便があり、１８日にベロ毒素が確認された。女児が通う同市の施設に関しては、県が１２日に別の２歳女児、１８日に１歳男児の感染を発表、志布志保健所がそれぞれの接触者や感染経路を調査中。いずれも回復傾向という。 【写真】〈関連〉志布志市の位置を地図で確認する 南日本新聞 | 鹿児島,[],[]
年収の壁見直し、地方の税収減になるのでは？　自民・森山幹事長「国民民主党の考え聞きながら対応」（南日本新聞）,https://news.yahoo.co.jp/articles/bba403a9f000934cd7ead610f7e87e3b0a7dfc99,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000006-minami-000-1-view.jpg?exp=10800,2024-11-20T11:45:21+09:00,2024-11-20T11:45:21+09:00,南日本新聞,minami,南日本新聞,480,会見に臨む森山〓幹事長＝１９日、東京・永田町の自民党本部 自民党の森山裕幹事長は１９日の記者会見で、所得税の「１０３万円の壁」見直しを巡り地方から税収減による行政サービスへの影響を不安視する声が上がっていることに「減収分の財源措置については、国民民主党の考えをしっかり聞きながら対応を検討していくことになる」と述べた。 自民県連は「事実上の自主投票」と決めたのに…現職出陣式に森山幹事長が出席「案内があった。一生懸命に応援」 自民市議は「組織として支援しない」〈鹿児島市長選〉 国民が求める所得税基礎控除などの計１７８万円への引き上げには「地方自治体は財源が非常に厳しい状況になる。国が補てんできればいいが、同じように減収になる。どうするかは今からの議論」とした。 政治改革に関連し、野党が主張する企業・団体献金の廃止に対する考えを問われ「企業・団体も社会を構成する一員。個人と同様に政治活動の自由が認められている」と強調。「企業が民主主義の健全な発展や社会貢献の一環として、自主的な判断で献金することまで妨げるものではない」と語った。 南日本新聞 | 鹿児島,[],[]
日米共同演習、世界自然遺産の山中も訓練地　自然保護団体は疑問視「なぜ、わざわざ…」　立ち入り規制なく環境省も「異存なし」同意（南日本新聞）,https://news.yahoo.co.jp/articles/4a1bea8bb29a953d36c83ad610fea9e8ec739bba,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000005-minami-000-1-view.jpg?exp=10800,2024-11-20T11:24:21+09:00,2024-11-20T11:24:21+09:00,南日本新聞,minami,南日本新聞,590,〈資料写真〉ホーバークラフト型揚陸艇（ＬＣＡＣ）を警護する水陸機動団の隊員＝１０月２７日、徳之島町花徳 自衛隊と米軍が１０、１１月に実施した日米共同統合演習で、世界自然遺産登録地となっている鹿児島県・徳之島の井之川岳も訓練地となっていたことが１９日、分かった。環境省によると、山中には希少な動植物が生育しているが、立ち入りは規制されていない。 【写真】〈関連〉伊仙町の犬田布岬で無人偵察機の発射台を準備する自衛隊員。左奥は戦艦大和の慰霊碑＝１０月２４日 防衛省統合幕僚監部によると、１０月２３～２５日、井之川岳山中を移動しながら偵察訓練などを行った。実際に登録地内で訓練したかどうかは「担当者が不在で確認できない」としている。計画では同じく登録地の天城岳と犬田布岳も訓練地となっている。 環境省によると、登録地は自然公園法の対象で、動植物の捕獲・採取など許可が必要な事項が定められている。山中に立ち入り、林道などを歩く行為に規制はない。環境省は防衛省と協議し、訓練に「異存はない」と回答したという。 世界自然遺産に登録された「奄美・沖縄」４島で徳之島の遺産地域は最も面積が小さく、人里に近い。自然保護に取り組むＮＰＯ法人「徳之島虹の会」の美延睦美事務局長（６１）は「保全に一層の努力が求められる地域。なぜわざわざ徳之島の山中で訓練をするのか」と疑問視した。 南日本新聞 | 鹿児島,[],[]
諏訪之瀬島で噴火6回　噴煙は最大1400ｍまで上がる（南日本新聞）,https://news.yahoo.co.jp/articles/f825d99e7ef0591a818a39971a208b9db81a2eb2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241120-00000004-minami-000-1-view.jpg?exp=10800,2024-11-20T08:30:21+09:00,2024-11-20T08:30:21+09:00,南日本新聞,minami,南日本新聞,137,噴煙を上げる諏訪之瀬島の御岳（資料写真） 鹿児島県十島村・諏訪之瀬島の御岳で19日、噴煙量が中量以上の噴火が6回あった。福岡管区気象台によると、噴煙の高さは最大1400メートル。大きな噴石の飛散は確認されていない。噴火警戒レベルは２（火口周辺規制）。 南日本新聞 | 鹿児島,[],[]
